year,quintil_oecd_hh,regtyp,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,3rd Quintile,Urban regions,No,0.99720,1760,1760,0.99473,0.99967
2019,3rd Quintile,Rural regions,No,0.99981,1034,1034,0.99898,1.00065
2019,4th Quintile,Urban regions,No,0.99860,1859,1859,0.99690,1.00030
2019,4th Quintile,Rural regions,No,0.99703,983,983,0.99363,1.00043
2019,5th Quintile,No answer / don't know,No,0.97943,106,106,0.95228,1.00658
2019,5th Quintile,Urban regions,No,0.99849,3081,3081,0.99712,0.99986
2019,5th Quintile,Rural regions,No,0.99501,1143,1143,0.99092,0.99910
2020,1st Quintile,Urban regions,No,0.99373,2307,2307,0.99051,0.99695
2020,1st Quintile,Rural regions,No,0.99845,1123,1123,0.99615,1.00075
2020,2nd Quintile,Urban regions,No,0.99894,2082,2082,0.99754,1.00034
2020,2nd Quintile,Rural regions,No,0.99432,1236,1236,0.99012,0.99851
2020,3rd Quintile,Urban regions,No,0.99422,1862,1862,0.99078,0.99767
2020,3rd Quintile,Rural regions,No,0.99820,1008,1008,0.99557,1.00082
2020,4th Quintile,Urban regions,No,0.99688,1923,1923,0.99439,0.99937
2020,4th Quintile,Rural regions,No,0.99816,930,930,0.99540,1.00092
2020,5th Quintile,Urban regions,No,0.99320,2750,2750,0.99013,0.99627
2020,5th Quintile,Rural regions,No,0.99200,967,967,0.98638,0.99762
2021,1st Quintile,Urban regions,No,0.99310,1346,1346,0.98867,0.99752
2021,2nd Quintile,Urban regions,No,0.99392,1318,1318,0.98973,0.99812
2021,2nd Quintile,Rural regions,No,0.99898,853,853,0.99684,1.00112
2021,3rd Quintile,Urban regions,No,0.99805,1304,1304,0.99565,1.00044
2021,3rd Quintile,Rural regions,No,0.99893,723,723,0.99655,1.00131
2021,4th Quintile,Urban regions,No,0.99820,1395,1395,0.99597,1.00043
2021,4th Quintile,Rural regions,No,0.98928,679,679,0.98153,0.99703
2021,5th Quintile,Urban regions,No,0.99654,2013,2013,0.99398,0.99911
2021,5th Quintile,Rural regions,No,0.99842,691,691,0.99546,1.00138
2022,Not included in this version of the questionnaire,Rural regions,No,0.99926,42,42,0.99094,1.00758
2022,1st Quintile,Urban regions,No,0.99954,3031,3031,0.99878,1.00030
2022,1st Quintile,Rural regions,No,0.99914,1444,1444,0.99763,1.00065
2022,2nd Quintile,Urban regions,No,0.99819,2531,2531,0.99653,0.99984
2022,2nd Quintile,Rural regions,No,0.99875,1324,1324,0.99684,1.00065
2022,3rd Quintile,Urban regions,No,0.99900,2256,2256,0.99770,1.00031
2022,3rd Quintile,Rural regions,No,0.99740,1132,1132,0.99444,1.00037
2022,4th Quintile,Urban regions,No,0.99723,2341,2341,0.99509,0.99936
2022,4th Quintile,Rural regions,No,0.99453,1065,1065,0.99010,0.99896
2022,5th Quintile,Urban regions,No,0.99355,2784,2784,0.99057,0.99652
2022,5th Quintile,Rural regions,No,0.98969,1027,1027,0.98351,0.99587
