"ple0018","year","age_gr","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Nein","2011","66 +","Westdeutschland","2115","0.534265164336583","0.518516634181695","0.55001369449147"
"Nein","2011","66 +","Ostdeutschland","594","0.464839885201852","0.437376545722951","0.492303224680754"
"Ja","2012","17-34","Westdeutschland","","","",""
"Ja","2012","17-34","Ostdeutschland","","","",""
"Ja","2012","35-65","Westdeutschland","","","",""
"Ja","2012","35-65","Ostdeutschland","","","",""
"Ja","2012","66 +","Westdeutschland","","","",""
"Ja","2012","66 +","Ostdeutschland","","","",""
"Nein","2012","17-34","Westdeutschland","","","",""
"Nein","2012","17-34","Ostdeutschland","","","",""
"Nein","2012","35-65","Westdeutschland","","","",""
"Nein","2012","35-65","Ostdeutschland","","","",""
"Nein","2012","66 +","Westdeutschland","","","",""
"Nein","2012","66 +","Ostdeutschland","","","",""
"Ja","2013","17-34","Westdeutschland","118","0.044610666022803","0.0371072256145986","0.0521141064310073"
"Ja","2013","17-34","Ostdeutschland","38","0.0486106809329868","0.0334407211685662","0.0637806406974074"
"Ja","2013","35-65","Westdeutschland","1903","0.260339707541714","0.250592566506405","0.270086848577023"
"Ja","2013","35-65","Ostdeutschland","827","0.358689901090944","0.339744767115881","0.377635035066007"
"Ja","2013","66 +","Westdeutschland","1822","0.496763316369383","0.480696215293408","0.512830417445358"
"Ja","2013","66 +","Ostdeutschland","710","0.580285786330697","0.552570316073417","0.608001256587978"
"Nein","2013","17-34","Westdeutschland","2790","0.955389333977197","0.947885893568993","0.962892774385401"
"Nein","2013","17-34","Ostdeutschland","734","0.951389319067013","0.936219359302592","0.966559278831434"
"Nein","2013","35-65","Westdeutschland","5883","0.739660292458286","0.729913151422977","0.749407433493595"
"Nein","2013","35-65","Ostdeutschland","1635","0.641310098909056","0.622364964933993","0.660255232884119"
"Nein","2013","66 +","Westdeutschland","1898","0.503236683630617","0.487169582554643","0.519303784706592"
"Nein","2013","66 +","Ostdeutschland","508","0.419714213669303","0.391998743412022","0.447429683926583"
"Ja","2014","17-34","Westdeutschland","","","",""
"Ja","2014","17-34","Ostdeutschland","","","",""
"Ja","2014","35-65","Westdeutschland","","","",""
"Ja","2014","35-65","Ostdeutschland","","","",""
"Ja","2014","66 +","Westdeutschland","","","",""
"Ja","2014","66 +","Ostdeutschland","","","",""
"Nein","2014","17-34","Westdeutschland","","","",""
"Nein","2014","17-34","Ostdeutschland","","","",""
"Nein","2014","35-65","Westdeutschland","","","",""
"Nein","2014","35-65","Ostdeutschland","","","",""
"Nein","2014","66 +","Westdeutschland","","","",""
"Nein","2014","66 +","Ostdeutschland","","","",""
"Ja","2015","17-34","Westdeutschland","173","0.0386192853460626","0.0331041294379693","0.044134441254156"
"Ja","2015","17-34","Ostdeutschland","60","0.0483139554378683","0.0352943633059807","0.0613335475697559"
"Ja","2015","35-65","Westdeutschland","2291","0.239984071800996","0.232155716198468","0.247812427403524"
"Ja","2015","35-65","Ostdeutschland","878","0.345789394051143","0.328746948270451","0.362831839831835"
"Ja","2015","66 +","Westdeutschland","1820","0.500325774000552","0.484138228070341","0.516513319930763"
"Ja","2015","66 +","Ostdeutschland","721","0.579357647387698","0.551645121677232","0.607070173098164"
"Nein","2015","17-34","Westdeutschland","4516","0.961380714653937","0.955865558745844","0.966895870562031"
"Nein","2015","17-34","Ostdeutschland","982","0.951686044562132","0.938666452430244","0.964705636694019"
"Nein","2015","35-65","Westdeutschland","9142","0.760015928199004","0.752187572596476","0.767844283801532"
"Nein","2015","35-65","Ostdeutschland","2114","0.654210605948857","0.637168160168165","0.671253051729549"
"Nein","2015","66 +","Westdeutschland","1845","0.499674225999448","0.483486680069237","0.515861771929659"
"Nein","2015","66 +","Ostdeutschland","498","0.420642352612302","0.392929826901836","0.448354878322768"
"Ja","2016","17-34","Westdeutschland","","","",""
"Ja","2016","17-34","Ostdeutschland","","","",""
"Ja","2016","35-65","Westdeutschland","","","",""
"Ja","2016","35-65","Ostdeutschland","","","",""
"Ja","2016","66 +","Westdeutschland","","","",""
"Ja","2016","66 +","Ostdeutschland","","","",""
"Nein","2016","17-34","Westdeutschland","","","",""
"Nein","2016","17-34","Ostdeutschland","","","",""
"Nein","2016","35-65","Westdeutschland","","","",""
"Nein","2016","35-65","Ostdeutschland","","","",""
"Nein","2016","66 +","Westdeutschland","","","",""
"Nein","2016","66 +","Ostdeutschland","","","",""
"Ja","2017","17-34","Westdeutschland","170","0.0342436574415834","0.02924137319933","0.0392459416838368"
"Ja","2017","17-34","Ostdeutschland","54","0.0476525641040776","0.0350863515947325","0.0602187766134227"
"Ja","2017","35-65","Westdeutschland","2622","0.246322934887456","0.238658119300263","0.253987750474649"
"Ja","2017","35-65","Ostdeutschland","981","0.335820471565074","0.319630840312365","0.352010102817783"
"Ja","2017","66 +","Westdeutschland","1885","0.512465152146743","0.49645213463939","0.528478169654096"
"Ja","2017","66 +","Ostdeutschland","700","0.575512080294758","0.547742923565301","0.603281237024215"
"Nein","2017","17-34","Westdeutschland","4907","0.965756342558417","0.960754058316163","0.97075862680067"
"Nein","2017","17-34","Ostdeutschland","1050","0.952347435895922","0.939781223386577","0.964913648405267"
"Nein","2017","35-65","Westdeutschland","9517","0.753677065112544","0.746012249525351","0.761341880699737"
"Nein","2017","35-65","Ostdeutschland","2288","0.664179528434926","0.647989897182217","0.680369159687635"
"Nein","2017","66 +","Westdeutschland","1858","0.487534847853257","0.471521830345904","0.50354786536061"
"Nein","2017","66 +","Ostdeutschland","517","0.424487919705242","0.396718762975785","0.452257076434699"
"Ja","2018","17-34","Westdeutschland","","","",""
"Ja","2018","17-34","Ostdeutschland","","","",""
"Ja","2018","35-65","Westdeutschland","","","",""
"Ja","2018","35-65","Ostdeutschland","","","",""
"Ja","2018","66 +","Westdeutschland","","","",""
"Ja","2018","66 +","Ostdeutschland","","","",""
"Nein","2018","17-34","Westdeutschland","","","",""
"Nein","2018","17-34","Ostdeutschland","","","",""
"Nein","2018","35-65","Westdeutschland","","","",""
"Nein","2018","35-65","Ostdeutschland","","","",""
"Nein","2018","66 +","Westdeutschland","","","",""
"Nein","2018","66 +","Ostdeutschland","","","",""
"Ja","2019","17-34","Westdeutschland","161","0.0367179617433556","0.0311947842707964","0.0422411392159148"
"Ja","2019","17-34","Ostdeutschland","53","0.0667798832004131","0.0509552366575905","0.0826045297432358"
"Ja","2019","35-65","Westdeutschland","2713","0.253082426624848","0.245243737664449","0.260921115585246"
"Ja","2019","35-65","Ostdeutschland","954","0.327509800415566","0.311502625651063","0.343516975180069"
"Ja","2019","66 +","Westdeutschland","2016","0.511480778269851","0.49581271923412","0.527148837305581"
"Ja","2019","66 +","Ostdeutschland","755","0.573113714342435","0.546349304267519","0.599878124417351"
"Nein","2019","17-34","Westdeutschland","4293","0.963282038256644","0.957758860784085","0.968805215729204"
"Nein","2019","17-34","Ostdeutschland","903","0.933220116799587","0.917395470256764","0.94904476334241"
"Nein","2019","35-65","Westdeutschland","9105","0.746917573375152","0.739078884414754","0.754756262335551"
"Nein","2019","35-65","Ostdeutschland","2348","0.672490199584434","0.656483024819931","0.688497374348937"
"Nein","2019","66 +","Westdeutschland","1894","0.488519221730149","0.472851162694419","0.50418728076588"
"Nein","2019","66 +","Ostdeutschland","557","0.426886285657565","0.400121875582649","0.453650695732481"
