year,migback,regtyp,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Indirect migration background,Rural regions,Germany,0.17149,41,41,0.05467,0.28830
1991,No migration background,Urban regions,Germany,0.84506,6265,6265,0.83610,0.85402
1991,No migration background,Rural regions,Germany,0.82124,4263,4263,0.80973,0.83274
1991,Direct migration background,Urban regions,Southern Europe,0.22302,925,1850,0.20404,0.24199
1991,Direct migration background,Urban regions,Western Asia,0.23177,749,1850,0.21254,0.25100
1991,Direct migration background,Urban regions,Eastern Europe,0.13936,132,1850,0.12358,0.15515
1991,Direct migration background,Urban regions,Western Europe,0.05575,44,1850,0.04529,0.06621
1991,Direct migration background,Rural regions,Southern Europe,0.13982,139,276,0.09883,0.18081
1991,Direct migration background,Rural regions,Western Asia,0.08253,71,276,0.05001,0.11506
1991,Direct migration background,Rural regions,Eastern Europe,0.26072,66,276,0.20883,0.31260
1991,Indirect migration background,Urban regions,Germany,0.21273,300,300,0.16634,0.25912
1991,Indirect migration background,Rural regions,Germany,0.19781,47,47,0.08269,0.31292
1992,No migration background,Urban regions,Germany,0.84183,6186,6186,0.83274,0.85093
1992,No migration background,Rural regions,Germany,0.81973,4056,4056,0.80790,0.83156
1992,Direct migration background,Urban regions,Southern Europe,0.23957,883,1799,0.21984,0.25930
1992,Direct migration background,Urban regions,Western Asia,0.24194,736,1799,0.22215,0.26174
1992,Direct migration background,Urban regions,Eastern Europe,0.13785,136,1799,0.12192,0.15379
1992,Direct migration background,Urban regions,Western Europe,0.05978,44,1799,0.04882,0.07074
1992,Direct migration background,Rural regions,Southern Europe,0.16347,142,279,0.12000,0.20694
1992,Direct migration background,Rural regions,Western Asia,0.07756,72,279,0.04611,0.10900
1992,Direct migration background,Rural regions,Eastern Europe,0.25088,65,279,0.19992,0.30185
1992,Indirect migration background,Urban regions,Germany,0.25772,344,344,0.21143,0.30401
1992,Indirect migration background,Rural regions,Germany,0.26666,61,61,0.15477,0.37856
1993,No migration background,Urban regions,Germany,0.83811,6151,6151,0.82890,0.84732
1993,No migration background,Rural regions,Germany,0.81946,4008,4008,0.80755,0.83137
1993,Direct migration background,Urban regions,Southern Europe,0.25378,862,1739,0.23332,0.27424
1993,Direct migration background,Urban regions,Western Asia,0.24185,703,1739,0.22171,0.26198
1993,Direct migration background,Urban regions,Eastern Europe,0.13034,133,1739,0.11451,0.14617
1993,Direct migration background,Urban regions,Western Europe,0.06110,41,1739,0.04984,0.07236
1993,Direct migration background,Rural regions,Southern Europe,0.15701,146,283,0.11455,0.19947
1993,Direct migration background,Rural regions,Western Asia,0.08386,72,283,0.05150,0.11621
1993,Direct migration background,Rural regions,Eastern Europe,0.25519,65,283,0.20431,0.30607
1993,Indirect migration background,Urban regions,Germany,0.31121,392,392,0.26532,0.35710
1993,Indirect migration background,Rural regions,Germany,0.33529,75,75,0.22773,0.44286
1994,No migration background,Urban regions,Germany,0.83808,6090,6090,0.82883,0.84733
1994,No migration background,Rural regions,Germany,0.81440,3936,3936,0.80225,0.82655
1994,Direct migration background,Urban regions,Southern Europe,0.26114,821,1659,0.23999,0.28228
1994,Direct migration background,Urban regions,Western Asia,0.24284,664,1659,0.22220,0.26348
1994,Direct migration background,Urban regions,Eastern Europe,0.12586,132,1659,0.10990,0.14183
1994,Direct migration background,Urban regions,Western Europe,0.06249,42,1659,0.05083,0.07414
1994,Direct migration background,Rural regions,Southern Europe,0.16510,142,261,0.11997,0.21023
1994,Direct migration background,Rural regions,Western Asia,0.05953,54,261,0.03077,0.08830
1994,Direct migration background,Rural regions,Eastern Europe,0.26834,65,261,0.21448,0.32220
1994,Indirect migration background,Urban regions,Germany,0.32940,416,416,0.28418,0.37462
1994,Indirect migration background,Rural regions,Germany,0.34933,74,74,0.23997,0.45870
1995,No migration background,Urban regions,Germany,0.83926,6003,6003,0.82997,0.84855
1995,No migration background,Rural regions,Germany,0.81375,3999,3999,0.80169,0.82582
1995,Direct migration background,Urban regions,Southern Europe,0.20350,814,1971,0.18572,0.22128
1995,Direct migration background,Urban regions,Central Asia,0.02066,57,1971,0.01437,0.02694
1995,Direct migration background,Urban regions,Western Asia,0.17984,659,1971,0.16288,0.19679
1995,Direct migration background,Urban regions,Eastern Europe,0.21492,391,1971,0.19678,0.23306
1995,Direct migration background,Urban regions,Western Europe,0.05143,50,1971,0.04168,0.06118
1995,Direct migration background,Rural regions,Southern Europe,0.11213,138,313,0.07712,0.14714
1995,Direct migration background,Rural regions,Western Asia,0.03788,50,313,0.01669,0.05906
1995,Direct migration background,Rural regions,Eastern Europe,0.31907,125,313,0.26735,0.37079
1995,Indirect migration background,Urban regions,Germany,0.32919,426,426,0.28452,0.37387
1995,Indirect migration background,Rural regions,Germany,0.31752,77,77,0.21286,0.42218
1996,No migration background,Urban regions,Germany,0.84000,5950,5950,0.83068,0.84931
1996,No migration background,Rural regions,Germany,0.81909,3958,3958,0.80709,0.83108
1996,Direct migration background,Urban regions,Southern Europe,0.21445,754,1854,0.19576,0.23314
1996,Direct migration background,Urban regions,Central Asia,0.02256,61,1854,0.01580,0.02933
1996,Direct migration background,Urban regions,Western Asia,0.18197,619,1854,0.16440,0.19953
1996,Direct migration background,Urban regions,Eastern Europe,0.21064,370,1854,0.19207,0.22920
1996,Direct migration background,Urban regions,Western Europe,0.05761,50,1854,0.04700,0.06821
1996,Direct migration background,Rural regions,Southern Europe,0.12110,141,306,0.08449,0.15772
1996,Direct migration background,Rural regions,Western Asia,0.03436,46,306,0.01392,0.05481
1996,Direct migration background,Rural regions,Eastern Europe,0.32289,119,306,0.27042,0.37537
1996,Indirect migration background,Urban regions,Germany,0.33557,453,453,0.29204,0.37910
1996,Indirect migration background,Rural regions,Germany,0.35539,89,89,0.25539,0.45540
1997,No migration background,Urban regions,Germany,0.84137,5866,5866,0.83202,0.85072
1997,No migration background,Rural regions,Germany,0.81929,3925,3925,0.80725,0.83133
1997,Direct migration background,Urban regions,Southern Europe,0.22457,721,1795,0.20526,0.24388
1997,Direct migration background,Urban regions,Central Asia,0.02488,64,1795,0.01767,0.03208
1997,Direct migration background,Urban regions,Western Asia,0.18454,587,1795,0.16659,0.20249
1997,Direct migration background,Urban regions,Eastern Europe,0.22798,372,1795,0.20857,0.24739
1997,Direct migration background,Urban regions,Western Europe,0.05942,51,1795,0.04848,0.07036
1997,Direct migration background,Rural regions,Southern Europe,0.12822,133,322,0.09165,0.16480
1997,Direct migration background,Rural regions,Central Asia,0.05343,31,322,0.02883,0.07803
1997,Direct migration background,Rural regions,Western Asia,0.03230,39,322,0.01296,0.05164
1997,Direct migration background,Rural regions,Eastern Europe,0.35531,119,322,0.30296,0.40767
1997,Indirect migration background,Urban regions,Germany,0.37479,481,481,0.33148,0.41809
1997,Indirect migration background,Rural regions,Germany,0.34375,85,85,0.24217,0.44532
1998,No migration background,Urban regions,Germany,0.84725,6802,6802,0.83870,0.85580
1998,No migration background,Rural regions,Germany,0.82035,4444,4444,0.80906,0.83164
1998,Direct migration background,Urban regions,Southern Europe,0.23400,682,1741,0.21411,0.25390
1998,Direct migration background,Urban regions,Central Asia,0.04012,81,1741,0.03090,0.04934
1998,Direct migration background,Urban regions,Western Asia,0.18973,541,1741,0.17131,0.20815
1998,Direct migration background,Urban regions,Eastern Europe,0.22264,386,1741,0.20309,0.24219
1998,Direct migration background,Urban regions,Western Europe,0.05412,51,1741,0.04349,0.06475
1998,Direct migration background,Rural regions,Southern Europe,0.12261,108,282,0.08426,0.16096
1998,Direct migration background,Rural regions,Western Asia,0.04743,42,282,0.02258,0.07228
1998,Direct migration background,Rural regions,Eastern Europe,0.37260,132,282,0.31607,0.42913
1998,Indirect migration background,Urban regions,Germany,0.40283,503,503,0.35992,0.44573
1998,Indirect migration background,Rural regions,Germany,0.34456,92,92,0.24692,0.44221
1999,No migration background,Urban regions,Germany,0.84866,6534,6534,0.83996,0.85735
1999,No migration background,Rural regions,Germany,0.82550,4332,4332,0.81419,0.83680
1999,Direct migration background,Urban regions,Southern Europe,0.23046,612,1647,0.21012,0.25081
1999,Direct migration background,Urban regions,Central Asia,0.04338,81,1647,0.03354,0.05322
1999,Direct migration background,Urban regions,Western Asia,0.19983,522,1647,0.18052,0.21915
1999,Direct migration background,Urban regions,Eastern Europe,0.24728,385,1647,0.22644,0.26812
1999,Direct migration background,Urban regions,Western Europe,0.05890,47,1647,0.04752,0.07027
1999,Direct migration background,Rural regions,Southern Europe,0.12507,96,260,0.08478,0.16536
1999,Direct migration background,Rural regions,Western Asia,0.05276,42,260,0.02553,0.07998
1999,Direct migration background,Rural regions,Eastern Europe,0.39209,122,260,0.33263,0.45155
1999,Indirect migration background,Urban regions,Germany,0.42139,517,517,0.37878,0.46400
1999,Indirect migration background,Rural regions,Germany,0.31365,87,87,0.21559,0.41171
2000,No migration background,Urban regions,Germany,0.85013,12315,12315,0.84383,0.85644
2000,No migration background,Rural regions,Germany,0.83295,7674,7674,0.82460,0.84130
2000,Direct migration background,Urban regions,Southern Asia,0.01098,33,2466,0.00687,0.01509
2000,Direct migration background,Urban regions,Southern Europe,0.20251,730,2466,0.18665,0.21838
2000,Direct migration background,Urban regions,Central Asia,0.05103,151,2466,0.04234,0.05972
2000,Direct migration background,Urban regions,Western Asia,0.18524,657,2466,0.16991,0.20058
2000,Direct migration background,Urban regions,Eastern Europe,0.27707,747,2466,0.25940,0.29474
2000,Direct migration background,Urban regions,Northern Europe,0.01857,32,2466,0.01324,0.02390
2000,Direct migration background,Urban regions,Western Europe,0.06397,116,2466,0.05431,0.07363
2000,Direct migration background,Rural regions,Southern Europe,0.09923,101,461,0.07191,0.12655
2000,Direct migration background,Rural regions,Central Asia,0.12852,81,461,0.09793,0.15910
2000,Direct migration background,Rural regions,Western Asia,0.08351,70,461,0.05823,0.10879
2000,Direct migration background,Rural regions,Eastern Europe,0.36181,209,461,0.31790,0.40573
2000,Indirect migration background,Urban regions,Germany,0.41347,706,706,0.37712,0.44983
2000,Indirect migration background,Rural regions,Germany,0.32041,112,112,0.23360,0.40722
2001,No migration background,Urban regions,Germany,0.85008,11268,11268,0.84349,0.85668
2001,No migration background,Rural regions,Germany,0.84095,6973,6973,0.83236,0.84953
2001,Direct migration background,Urban regions,Southern Asia,0.01345,31,2171,0.00861,0.01830
2001,Direct migration background,Urban regions,Southern Europe,0.20173,649,2171,0.18485,0.21862
2001,Direct migration background,Urban regions,Central Asia,0.06544,150,2171,0.05503,0.07584
2001,Direct migration background,Urban regions,Western Asia,0.19918,599,2171,0.18237,0.21598
2001,Direct migration background,Urban regions,Eastern Europe,0.27530,646,2171,0.25651,0.29409
2001,Direct migration background,Urban regions,Western Europe,0.06298,96,2171,0.05276,0.07320
2001,Direct migration background,Rural regions,Southern Europe,0.10077,92,408,0.07153,0.13002
2001,Direct migration background,Rural regions,Central Asia,0.13147,72,408,0.09864,0.16430
2001,Direct migration background,Rural regions,Western Asia,0.08548,62,408,0.05831,0.11264
2001,Direct migration background,Rural regions,Eastern Europe,0.34526,182,408,0.29906,0.39145
2001,Indirect migration background,Urban regions,Germany,0.40138,664,664,0.36406,0.43869
2001,Indirect migration background,Rural regions,Germany,0.27195,100,100,0.18430,0.35960
2002,No migration background,Urban regions,Germany,0.85176,12318,12318,0.84548,0.85803
2002,No migration background,Rural regions,Germany,0.84204,7143,7143,0.83359,0.85050
2002,Direct migration background,Urban regions,Southern Europe,0.20065,596,2075,0.18342,0.21789
2002,Direct migration background,Urban regions,Central Asia,0.06731,133,2075,0.05653,0.07810
2002,Direct migration background,Urban regions,Western Asia,0.20394,562,2075,0.18659,0.22128
2002,Direct migration background,Urban regions,Eastern Europe,0.28054,634,2075,0.26121,0.29988
2002,Direct migration background,Urban regions,Northern Europe,0.01561,31,2075,0.01028,0.02095
2002,Direct migration background,Urban regions,Western Europe,0.06271,119,2075,0.05228,0.07315
2002,Direct migration background,Rural regions,Southern Europe,0.11711,82,380,0.08473,0.14948
2002,Direct migration background,Rural regions,Central Asia,0.16067,73,380,0.12370,0.19765
2002,Direct migration background,Rural regions,Western Asia,0.08504,55,380,0.05696,0.11313
2002,Direct migration background,Rural regions,Eastern Europe,0.33346,170,380,0.28599,0.38092
2002,Indirect migration background,Urban regions,Germany,0.39847,672,672,0.36142,0.43551
2002,Indirect migration background,Rural regions,Germany,0.30067,97,97,0.20894,0.39240
2003,No migration background,Urban regions,Germany,0.85149,11927,11927,0.84511,0.85787
2003,No migration background,Rural regions,Germany,0.84686,6843,6843,0.83833,0.85540
2003,Direct migration background,Urban regions,Southern Europe,0.18768,530,1925,0.17024,0.20513
2003,Direct migration background,Urban regions,Central Asia,0.06469,126,1925,0.05370,0.07568
2003,Direct migration background,Urban regions,Western Asia,0.20727,524,1925,0.18916,0.22538
2003,Direct migration background,Urban regions,Eastern Europe,0.28155,599,1925,0.26145,0.30165
2003,Direct migration background,Urban regions,Northern Europe,0.02003,34,1925,0.01377,0.02629
2003,Direct migration background,Urban regions,Western Europe,0.06259,112,1925,0.05176,0.07341
2003,Direct migration background,Rural regions,Southern Europe,0.13793,87,360,0.10226,0.17360
2003,Direct migration background,Rural regions,Central Asia,0.13143,66,360,0.09648,0.16638
2003,Direct migration background,Rural regions,Western Asia,0.06714,40,360,0.04125,0.09303
2003,Direct migration background,Rural regions,Eastern Europe,0.34452,167,360,0.29536,0.39368
2003,Indirect migration background,Urban regions,Germany,0.41772,676,676,0.38051,0.45492
2003,Indirect migration background,Rural regions,Germany,0.32234,101,101,0.23074,0.41395
2004,No migration background,Urban regions,Germany,0.85347,11598,11598,0.84704,0.85991
2004,No migration background,Rural regions,Germany,0.85093,6680,6680,0.84239,0.85947
2004,Direct migration background,Urban regions,Southern Europe,0.20034,512,1881,0.18225,0.21843
2004,Direct migration background,Urban regions,Central Asia,0.07391,131,1881,0.06209,0.08574
2004,Direct migration background,Urban regions,Western Asia,0.20600,501,1881,0.18772,0.22428
2004,Direct migration background,Urban regions,Eastern Europe,0.27998,594,1881,0.25969,0.30028
2004,Direct migration background,Urban regions,Northern Europe,0.01820,32,1881,0.01216,0.02424
2004,Direct migration background,Urban regions,Western Europe,0.06681,111,1881,0.05552,0.07810
2004,Direct migration background,Rural regions,Southern Europe,0.15081,85,345,0.11299,0.18863
2004,Direct migration background,Rural regions,Central Asia,0.13489,64,345,0.09879,0.17099
2004,Direct migration background,Rural regions,Western Asia,0.08791,43,345,0.05799,0.11783
2004,Direct migration background,Rural regions,Eastern Europe,0.31579,153,345,0.26667,0.36491
2004,Indirect migration background,Urban regions,Germany,0.43354,683,683,0.39635,0.47073
2004,Indirect migration background,Rural regions,Germany,0.40699,115,115,0.31681,0.49717
2005,No migration background,Urban regions,Germany,0.85841,11104,11104,0.85192,0.86489
2005,No migration background,Rural regions,Germany,0.85116,6401,6401,0.84244,0.85988
2005,Direct migration background,Urban regions,Southern Europe,0.20898,478,1759,0.18997,0.22798
2005,Direct migration background,Urban regions,Central Asia,0.07865,127,1759,0.06607,0.09124
2005,Direct migration background,Urban regions,Western Asia,0.20441,472,1759,0.18556,0.22326
2005,Direct migration background,Urban regions,Eastern Europe,0.27036,549,1759,0.24960,0.29112
2005,Direct migration background,Urban regions,Northern Europe,0.02086,31,1759,0.01418,0.02754
2005,Direct migration background,Urban regions,Western Europe,0.06648,102,1759,0.05484,0.07813
2005,Direct migration background,Rural regions,Southern Europe,0.15193,73,315,0.11223,0.19163
2005,Direct migration background,Rural regions,Central Asia,0.12479,56,315,0.08824,0.16134
2005,Direct migration background,Rural regions,Western Asia,0.09977,43,315,0.06662,0.13291
2005,Direct migration background,Rural regions,Eastern Europe,0.31581,143,315,0.26439,0.36722
2005,Indirect migration background,Urban regions,Germany,0.47819,718,718,0.44163,0.51476
2005,Indirect migration background,Rural regions,Germany,0.41580,108,108,0.32241,0.50918
2006,No migration background,Urban regions,Germany,0.86033,11995,11995,0.85413,0.86653
2006,No migration background,Rural regions,Germany,0.85617,7037,7037,0.84797,0.86437
2006,Direct migration background,Urban regions,Southern Europe,0.20038,430,1705,0.18137,0.21938
2006,Direct migration background,Urban regions,Central Asia,0.08593,144,1705,0.07263,0.09924
2006,Direct migration background,Urban regions,Western Asia,0.21024,443,1705,0.19089,0.22958
2006,Direct migration background,Urban regions,Eastern Europe,0.26703,579,1705,0.24602,0.28803
2006,Direct migration background,Urban regions,Western Europe,0.06771,109,1705,0.05578,0.07964
2006,Direct migration background,Rural regions,Southern Europe,0.16583,73,332,0.12576,0.20590
2006,Direct migration background,Rural regions,Central Asia,0.11073,53,332,0.07692,0.14454
2006,Direct migration background,Rural regions,Western Asia,0.08936,45,332,0.05863,0.12009
2006,Direct migration background,Rural regions,Eastern Europe,0.32420,161,332,0.27378,0.37463
2006,Indirect migration background,Urban regions,Germany,0.49822,726,726,0.46182,0.53461
2006,Indirect migration background,Rural regions,Germany,0.41536,128,128,0.32965,0.50107
2007,No migration background,Urban regions,Germany,0.86039,11255,11255,0.85399,0.86680
2007,No migration background,Rural regions,Germany,0.86586,6627,6627,0.85765,0.87407
2007,Direct migration background,Urban regions,Southern Europe,0.21861,382,1532,0.19791,0.23932
2007,Direct migration background,Urban regions,Central Asia,0.08330,139,1532,0.06946,0.09714
2007,Direct migration background,Urban regions,Western Asia,0.20490,381,1532,0.18468,0.22512
2007,Direct migration background,Urban regions,Eastern Europe,0.27199,527,1532,0.24970,0.29428
2007,Direct migration background,Urban regions,Western Europe,0.07204,103,1532,0.05909,0.08499
2007,Direct migration background,Rural regions,Southern Europe,0.20267,75,308,0.15771,0.24764
2007,Direct migration background,Rural regions,Central Asia,0.10420,42,308,0.07002,0.13838
2007,Direct migration background,Rural regions,Western Asia,0.08686,41,308,0.05536,0.11836
2007,Direct migration background,Rural regions,Eastern Europe,0.32291,150,308,0.27061,0.37522
2007,Indirect migration background,Urban regions,Germany,0.52202,714,714,0.48535,0.55868
2007,Indirect migration background,Rural regions,Germany,0.42878,121,121,0.34023,0.51733
2008,No migration background,Urban regions,Germany,0.86387,10613,10613,0.85735,0.87039
2008,No migration background,Rural regions,Germany,0.86378,6226,6226,0.85526,0.87230
2008,Direct migration background,Urban regions,Southern Europe,0.23636,360,1368,0.21384,0.25888
2008,Direct migration background,Urban regions,Central Asia,0.07697,120,1368,0.06284,0.09110
2008,Direct migration background,Urban regions,Western Asia,0.19243,323,1368,0.17153,0.21333
2008,Direct migration background,Urban regions,Eastern Europe,0.26776,471,1368,0.24429,0.29124
2008,Direct migration background,Urban regions,Western Europe,0.07331,94,1368,0.05950,0.08713
2008,Direct migration background,Rural regions,Southern Europe,0.19384,64,275,0.14703,0.24064
2008,Direct migration background,Rural regions,Central Asia,0.13388,43,275,0.09356,0.17420
2008,Direct migration background,Rural regions,Western Asia,0.09903,39,275,0.06366,0.13440
2008,Direct migration background,Rural regions,Eastern Europe,0.29904,129,275,0.24483,0.35326
2008,Indirect migration background,Urban regions,Germany,0.53848,699,699,0.50150,0.57546
2008,Indirect migration background,Rural regions,Germany,0.55133,123,123,0.46307,0.63958
2009,No migration background,Urban regions,Germany,0.86593,9915,9915,0.85923,0.87264
2009,No migration background,Rural regions,Germany,0.86152,5921,5921,0.85272,0.87032
2009,Direct migration background,Urban regions,Southern Europe,0.24654,319,1195,0.22209,0.27099
2009,Direct migration background,Urban regions,Central Asia,0.07782,107,1195,0.06263,0.09302
2009,Direct migration background,Urban regions,Western Asia,0.18493,263,1195,0.16291,0.20695
2009,Direct migration background,Urban regions,Eastern Europe,0.26965,421,1195,0.24448,0.29482
2009,Direct migration background,Urban regions,Western Europe,0.07516,85,1195,0.06020,0.09011
2009,Direct migration background,Rural regions,Southern Europe,0.18690,57,255,0.13896,0.23484
2009,Direct migration background,Rural regions,Central Asia,0.12490,38,255,0.08424,0.16555
2009,Direct migration background,Rural regions,Western Asia,0.12289,41,255,0.08251,0.16327
2009,Direct migration background,Rural regions,Eastern Europe,0.29522,119,255,0.23912,0.35131
2009,Indirect migration background,Urban regions,Germany,0.56757,625,625,0.52870,0.60644
2009,Indirect migration background,Rural regions,Germany,0.57090,126,126,0.48413,0.65767
2010,No migration background,Urban regions,Germany,0.87194,12582,12582,0.86610,0.87778
2010,No migration background,Rural regions,Germany,0.86794,7582,7582,0.86031,0.87556
2010,Direct migration background,Urban regions,Northern Africa,0.00646,32,2263,0.00316,0.00976
2010,Direct migration background,Urban regions,Southern Asia,0.03110,80,2263,0.02395,0.03825
2010,Direct migration background,Urban regions,Southern Europe,0.24185,482,2263,0.22420,0.25949
2010,Direct migration background,Urban regions,Central Asia,0.08149,221,2263,0.07022,0.09277
2010,Direct migration background,Urban regions,Western Asia,0.16975,459,2263,0.15428,0.18522
2010,Direct migration background,Urban regions,Eastern Europe,0.26228,698,2263,0.24415,0.28041
2010,Direct migration background,Urban regions,Northern Europe,0.01912,55,2263,0.01348,0.02477
2010,Direct migration background,Urban regions,Western Europe,0.08460,130,2263,0.07313,0.09607
2010,Direct migration background,Urban regions,Sub-Saharan Africa,0.01349,57,2263,0.00874,0.01824
2010,Direct migration background,Urban regions,Latin America and the Caribbean,0.02559,49,2263,0.01909,0.03210
2010,Direct migration background,Rural regions,Southern Europe,0.20491,103,519,0.17015,0.23967
2010,Direct migration background,Rural regions,Central Asia,0.12600,118,519,0.09742,0.15458
2010,Direct migration background,Rural regions,Western Asia,0.09980,72,519,0.07399,0.12562
2010,Direct migration background,Rural regions,Eastern Europe,0.31207,226,519,0.27217,0.35197
2010,Indirect migration background,Urban regions,Germany,0.49444,960,960,0.46280,0.52609
2010,Indirect migration background,Rural regions,Germany,0.44655,207,207,0.37867,0.51444
2011,No migration background,Urban regions,Germany,0.86768,14888,14888,0.86223,0.87312
2011,No migration background,Rural regions,Germany,0.86269,9296,9296,0.85570,0.86969
2011,Direct migration background,Urban regions,Northern Africa,0.01002,37,2539,0.00615,0.01390
2011,Direct migration background,Urban regions,Northern America,0.00849,35,2539,0.00492,0.01206
2011,Direct migration background,Urban regions,Southern Asia,0.02480,75,2539,0.01875,0.03085
2011,Direct migration background,Urban regions,South-Eastern Asia,0.01723,39,2539,0.01217,0.02230
2011,Direct migration background,Urban regions,Southern Europe,0.21383,492,2539,0.19788,0.22978
2011,Direct migration background,Urban regions,Central Asia,0.09097,270,2539,0.07979,0.10216
2011,Direct migration background,Urban regions,Western Asia,0.15054,428,2539,0.13662,0.16445
2011,Direct migration background,Urban regions,Eastern Europe,0.30195,820,2539,0.28409,0.31981
2011,Direct migration background,Urban regions,Northern Europe,0.02055,62,2539,0.01503,0.02607
2011,Direct migration background,Urban regions,Western Europe,0.08470,162,2539,0.07387,0.09553
2011,Direct migration background,Urban regions,Sub-Saharan Africa,0.01412,61,2539,0.00953,0.01871
2011,Direct migration background,Urban regions,Latin America and the Caribbean,0.02435,58,2539,0.01836,0.03035
2011,Direct migration background,Rural regions,Southern Europe,0.14407,112,697,0.11798,0.17016
2011,Direct migration background,Rural regions,Central Asia,0.15321,149,697,0.12645,0.17997
