year,migback,sampreg,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Direct migration background,West,Latin America and the Caribbean,0.01324,31,2925,0.00910,0.01738
2000,Direct migration background,East,Eastern Europe,0.52578,81,81,0.41636,0.63520
2001,Direct migration background,West,Northern America,0.01403,31,2585,0.00949,0.01856
2001,Direct migration background,West,Southern Asia,0.01225,31,2585,0.00801,0.01649
2001,Direct migration background,West,Southern Europe,0.20414,740,2585,0.18860,0.21968
2001,Direct migration background,West,Central Asia,0.08335,214,2585,0.07269,0.09401
2001,Direct migration background,West,Western Asia,0.19881,661,2585,0.18342,0.21420
2001,Direct migration background,West,Eastern Europe,0.29636,757,2585,0.27875,0.31397
2001,Direct migration background,West,Northern Europe,0.02171,38,2585,0.01609,0.02733
2001,Direct migration background,West,Western Europe,0.06801,113,2585,0.05830,0.07771
2001,Direct migration background,East,Eastern Europe,0.55391,71,71,0.43746,0.67036
2002,Direct migration background,West,Northern America,0.01061,33,2449,0.00655,0.01467
2002,Direct migration background,West,Southern Europe,0.20491,677,2449,0.18892,0.22090
2002,Direct migration background,West,Central Asia,0.08896,198,2449,0.07768,0.10023
2002,Direct migration background,West,Western Asia,0.20172,617,2449,0.18582,0.21762
2002,Direct migration background,West,Eastern Europe,0.29663,737,2449,0.27854,0.31473
2002,Direct migration background,West,Northern Europe,0.02033,46,2449,0.01474,0.02593
2002,Direct migration background,West,Western Europe,0.06726,141,2449,0.05733,0.07718
2002,Direct migration background,East,Eastern Europe,0.53567,67,67,0.41534,0.65599
2003,Direct migration background,West,Northern America,0.01073,31,2311,0.00652,0.01493
2003,Direct migration background,West,Southern Asia,0.01552,31,2311,0.01048,0.02056
2003,Direct migration background,West,Southern Europe,0.19439,615,2311,0.17826,0.21053
2003,Direct migration background,West,Central Asia,0.08192,186,2311,0.07074,0.09311
2003,Direct migration background,West,Western Asia,0.19824,564,2311,0.18198,0.21449
2003,Direct migration background,West,Eastern Europe,0.30017,707,2311,0.28148,0.31886
2003,Direct migration background,West,Northern Europe,0.02400,47,2311,0.01776,0.03024
2003,Direct migration background,West,Western Europe,0.06753,130,2311,0.05730,0.07776
2003,Direct migration background,East,Eastern Europe,0.52848,59,59,0.40001,0.65695
2004,Direct migration background,West,Northern America,0.01127,33,2220,0.00688,0.01567
2004,Direct migration background,West,Southern Europe,0.20583,595,2220,0.18901,0.22265
2004,Direct migration background,West,Central Asia,0.08929,189,2220,0.07743,0.10116
2004,Direct migration background,West,Western Asia,0.19930,544,2220,0.18268,0.21592
2004,Direct migration background,West,Eastern Europe,0.28981,690,2220,0.27093,0.30868
2004,Direct migration background,West,Northern Europe,0.02206,43,2220,0.01595,0.02817
2004,Direct migration background,West,Western Europe,0.06912,126,2220,0.05856,0.07967
2004,Direct migration background,East,Eastern Europe,0.52856,57,57,0.39782,0.65931
2005,Direct migration background,West,Northern America,0.01191,31,2069,0.00723,0.01658
2005,Direct migration background,West,Southern Europe,0.21355,549,2069,0.19589,0.23121
2005,Direct migration background,West,Central Asia,0.08986,177,2069,0.07754,0.10219
2005,Direct migration background,West,Western Asia,0.20021,515,2069,0.18296,0.21746
2005,Direct migration background,West,Eastern Europe,0.28076,638,2069,0.26139,0.30012
2005,Direct migration background,West,Northern Europe,0.02420,42,2069,0.01758,0.03083
2005,Direct migration background,West,Western Europe,0.06932,117,2069,0.05837,0.08026
2005,Direct migration background,East,Eastern Europe,0.46693,54,54,0.33261,0.60125
2006,Direct migration background,West,Northern America,0.01481,37,2057,0.00959,0.02003
2006,Direct migration background,West,Southern Europe,0.20951,501,2057,0.19192,0.22710
2006,Direct migration background,West,Central Asia,0.09168,190,2057,0.07921,0.10416
2006,Direct migration background,West,Western Asia,0.20224,482,2057,0.18488,0.21961
2006,Direct migration background,West,Eastern Europe,0.28145,680,2057,0.26201,0.30089
2006,Direct migration background,West,Northern Europe,0.02000,40,2057,0.01395,0.02606
2006,Direct migration background,West,Western Europe,0.07228,127,2057,0.06109,0.08348
2006,Direct migration background,East,Eastern Europe,0.43663,60,60,0.31007,0.56318
2007,Direct migration background,West,Northern America,0.01340,35,1871,0.00819,0.01861
2007,Direct migration background,West,Southern Europe,0.22961,455,1871,0.21054,0.24867
2007,Direct migration background,West,Central Asia,0.08848,176,1871,0.07561,0.10135
2007,Direct migration background,West,Western Asia,0.19369,422,1871,0.17577,0.21160
2007,Direct migration background,West,Eastern Europe,0.28310,622,1871,0.26268,0.30352
2007,Direct migration background,West,Northern Europe,0.02110,39,1871,0.01459,0.02761
2007,Direct migration background,West,Western Europe,0.07645,122,1871,0.06441,0.08849
2007,Direct migration background,East,Eastern Europe,0.46982,55,55,0.33671,0.60294
2008,Direct migration background,West,Northern America,0.01398,32,1675,0.00836,0.01961
2008,Direct migration background,West,Southern Europe,0.24026,423,1675,0.21979,0.26072
2008,Direct migration background,West,Central Asia,0.09113,160,1675,0.07734,0.10492
2008,Direct migration background,West,Western Asia,0.18389,362,1675,0.16533,0.20245
2008,Direct migration background,West,Eastern Europe,0.27092,548,1675,0.24963,0.29221
2008,Direct migration background,West,Northern Europe,0.02414,39,1675,0.01679,0.03149
2008,Direct migration background,West,Western Europe,0.07649,111,1675,0.06376,0.08922
2008,Direct migration background,East,Eastern Europe,0.57102,52,52,0.43518,0.70686
2009,Direct migration background,West,Southern Europe,0.24597,375,1447,0.22377,0.26817
2009,Direct migration background,West,Central Asia,0.09005,143,1447,0.07530,0.10481
2009,Direct migration background,West,Western Asia,0.18109,304,1447,0.16124,0.20093
2009,Direct migration background,West,Eastern Europe,0.27068,489,1447,0.24778,0.29359
2009,Direct migration background,West,Northern Europe,0.02092,34,1447,0.01354,0.02829
2009,Direct migration background,West,Western Europe,0.07833,102,1447,0.06448,0.09218
2009,Direct migration background,East,Eastern Europe,0.56318,51,51,0.42570,0.70067
2010,Direct migration background,West,Northern Africa,0.00761,35,2820,0.00440,0.01082
2010,Direct migration background,West,Northern America,0.01694,39,2820,0.01217,0.02170
2010,Direct migration background,West,Southern Asia,0.02600,82,2820,0.02012,0.03187
2010,Direct migration background,West,South-Eastern Asia,0.01188,38,2820,0.00788,0.01588
2010,Direct migration background,West,Southern Europe,0.24682,577,2820,0.23090,0.26274
2010,Direct migration background,West,Central Asia,0.09381,326,2820,0.08305,0.10458
2010,Direct migration background,West,Western Asia,0.16336,527,2820,0.14971,0.17701
2010,Direct migration background,West,Eastern Europe,0.27124,844,2820,0.25483,0.28766
2010,Direct migration background,West,Northern Europe,0.02058,67,2820,0.01534,0.02582
2010,Direct migration background,West,Western Europe,0.08652,158,2820,0.07614,0.09689
2010,Direct migration background,West,Sub-Saharan Africa,0.01472,69,2820,0.01027,0.01916
2010,Direct migration background,West,Latin America and the Caribbean,0.02330,58,2820,0.01773,0.02887
2010,Direct migration background,East,Eastern Europe,0.57827,80,80,0.46937,0.68717
2011,Direct migration background,West,Northern Africa,0.01145,43,3170,0.00774,0.01515
2011,Direct migration background,West,Northern America,0.01442,45,3170,0.01027,0.01857
2011,Direct migration background,West,Southern Asia,0.02132,81,3170,0.01629,0.02635
2011,Direct migration background,West,South-Eastern Asia,0.01703,50,3170,0.01253,0.02154
2011,Direct migration background,West,Southern Europe,0.20914,596,3170,0.19498,0.22330
2011,Direct migration background,West,Central Asia,0.10932,408,3170,0.09846,0.12019
2011,Direct migration background,West,Western Asia,0.14468,497,3170,0.13243,0.15692
2011,Direct migration background,West,Eastern Europe,0.31221,1036,3170,0.29608,0.32835
2011,Direct migration background,West,Northern Europe,0.02421,81,3170,0.01885,0.02956
2011,Direct migration background,West,Western Europe,0.08550,195,3170,0.07577,0.09524
2011,Direct migration background,West,Sub-Saharan Africa,0.01602,72,3170,0.01165,0.02039
2011,Direct migration background,West,Latin America and the Caribbean,0.02216,66,3170,0.01704,0.02729
2011,Direct migration background,East,Eastern Europe,0.65315,105,105,0.56167,0.74463
2012,Direct migration background,West,Northern Africa,0.00822,39,3005,0.00499,0.01144
2012,Direct migration background,West,Northern America,0.01292,42,3005,0.00888,0.01695
2012,Direct migration background,West,Southern Asia,0.02002,70,3005,0.01501,0.02503
2012,Direct migration background,West,South-Eastern Asia,0.01663,46,3005,0.01206,0.02121
2012,Direct migration background,West,Southern Europe,0.20516,552,3005,0.19072,0.21960
2012,Direct migration background,West,Central Asia,0.11294,403,3005,0.10162,0.12426
2012,Direct migration background,West,Western Asia,0.13205,430,3005,0.11994,0.14416
2012,Direct migration background,West,Eastern Europe,0.32562,1022,3005,0.30886,0.34238
2012,Direct migration background,West,Northern Europe,0.02399,76,3005,0.01851,0.02946
2012,Direct migration background,West,Western Europe,0.09369,204,3005,0.08327,0.10411
2012,Direct migration background,West,Sub-Saharan Africa,0.01834,62,3005,0.01355,0.02314
2012,Direct migration background,West,Latin America and the Caribbean,0.01836,59,3005,0.01356,0.02316
2012,Direct migration background,East,Eastern Europe,0.62629,108,108,0.53463,0.71796
2013,Direct migration background,West,Northern Africa,0.01398,89,6067,0.01103,0.01693
2013,Direct migration background,West,Northern America,0.00918,49,6067,0.00678,0.01158
2013,Direct migration background,West,Southern Asia,0.03219,158,6067,0.02775,0.03663
2013,Direct migration background,West,South-Eastern Asia,0.01982,73,6067,0.01632,0.02333
2013,Direct migration background,West,Southern Europe,0.18692,1214,6067,0.17711,0.19673
2013,Direct migration background,West,Central Asia,0.11311,815,6067,0.10514,0.12108
2013,Direct migration background,West,Western Asia,0.15408,933,6067,0.14500,0.16317
2013,Direct migration background,West,Eastern Europe,0.31385,2199,6067,0.30217,0.32553
2013,Direct migration background,West,Northern Europe,0.02117,100,6067,0.01755,0.02480
2013,Direct migration background,West,Western Europe,0.07392,228,6067,0.06734,0.08051
2013,Direct migration background,West,Sub-Saharan Africa,0.02952,120,6067,0.02526,0.03378
2013,Direct migration background,West,Latin America and the Caribbean,0.01727,89,6067,0.01399,0.02055
2013,Direct migration background,East,Southern Europe,0.06657,51,378,0.04140,0.09173
2013,Direct migration background,East,Central Asia,0.08722,72,378,0.05873,0.11570
2013,Direct migration background,East,Eastern Europe,0.57865,255,378,0.52881,0.62850
2014,Direct migration background,West,Northern Africa,0.01280,63,4921,0.00966,0.01594
2014,Direct migration background,West,Northern America,0.01239,43,4921,0.00930,0.01548
2014,Direct migration background,West,Southern Asia,0.03633,124,4921,0.03110,0.04156
2014,Direct migration background,West,South-Eastern Asia,0.02290,55,4921,0.01872,0.02708
2014,Direct migration background,West,Southern Europe,0.18584,986,4921,0.17497,0.19671
2014,Direct migration background,West,Central Asia,0.10659,653,4921,0.09796,0.11521
2014,Direct migration background,West,Western Asia,0.16654,756,4921,0.15613,0.17695
2014,Direct migration background,West,Eastern Europe,0.28988,1782,4921,0.27721,0.30256
2014,Direct migration background,West,Northern Europe,0.02066,79,4921,0.01669,0.02464
2014,Direct migration background,West,Western Europe,0.07638,202,4921,0.06896,0.08380
2014,Direct migration background,West,Sub-Saharan Africa,0.03344,99,4921,0.02841,0.03846
2014,Direct migration background,West,Latin America and the Caribbean,0.02488,79,4921,0.02053,0.02924
2014,Direct migration background,East,Southern Europe,0.07966,39,310,0.04947,0.10985
2014,Direct migration background,East,Central Asia,0.12295,57,310,0.08633,0.15956
2014,Direct migration background,East,Eastern Europe,0.53937,214,310,0.48379,0.59494
2015,Direct migration background,West,Northern Africa,0.01518,107,5643,0.01199,0.01837
2015,Direct migration background,West,Northern America,0.01230,50,5643,0.00942,0.01517
2015,Direct migration background,West,Eastern Asia,0.00729,35,5643,0.00507,0.00951
2015,Direct migration background,West,Southern Asia,0.04060,184,5643,0.03545,0.04575
2015,Direct migration background,West,South-Eastern Asia,0.01863,56,5643,0.01510,0.02216
2015,Direct migration background,West,Southern Europe,0.19229,1111,5643,0.18201,0.20257
2015,Direct migration background,West,Central Asia,0.11205,611,5643,0.10382,0.12028
2015,Direct migration background,West,Western Asia,0.15959,759,5643,0.15003,0.16914
2015,Direct migration background,West,Eastern Europe,0.29952,2160,5643,0.28757,0.31148
2015,Direct migration background,West,Northern Europe,0.02211,125,5643,0.01827,0.02595
2015,Direct migration background,West,Western Europe,0.07120,219,5643,0.06449,0.07791
2015,Direct migration background,West,Sub-Saharan Africa,0.02304,108,5643,0.01913,0.02696
2015,Direct migration background,West,Latin America and the Caribbean,0.02319,118,5643,0.01926,0.02711
2015,Direct migration background,East,Southern Europe,0.09552,59,359,0.06507,0.12597
2015,Direct migration background,East,Central Asia,0.09247,49,359,0.06246,0.12248
2015,Direct migration background,East,Eastern Europe,0.53265,251,359,0.48096,0.58433
2016,Direct migration background,West,Northern Africa,0.01548,106,7264,0.01264,0.01832
2016,Direct migration background,West,Northern America,0.01504,45,7264,0.01224,0.01784
2016,Direct migration background,West,Southern Asia,0.04412,460,7264,0.03940,0.04884
2016,Direct migration background,West,South-Eastern Asia,0.01987,50,7264,0.01666,0.02308
2016,Direct migration background,West,Southern Europe,0.20124,1032,7264,0.19202,0.21046
2016,Direct migration background,West,Central Asia,0.09956,544,7264,0.09267,0.10644
2016,Direct migration background,West,Western Asia,0.17353,2553,7264,0.16482,0.18223
2016,Direct migration background,West,Eastern Europe,0.28016,1850,7264,0.26984,0.29049
2016,Direct migration background,West,Northern Europe,0.02318,104,7264,0.01972,0.02664
2016,Direct migration background,West,Western Europe,0.06962,191,7264,0.06376,0.07547
2016,Direct migration background,West,Sub-Saharan Africa,0.02381,239,7264,0.02030,0.02731
2016,Direct migration background,West,Latin America and the Caribbean,0.02519,90,7264,0.02159,0.02880
2016,Direct migration background,East,Southern Asia,0.05234,119,868,0.03751,0.06716
2016,Direct migration background,East,Southern Europe,0.08056,57,868,0.06244,0.09867
2016,Direct migration background,East,Central Asia,0.08210,45,868,0.06383,0.10037
2016,Direct migration background,East,Western Asia,0.11393,350,868,0.09278,0.13508
2016,Direct migration background,East,Eastern Europe,0.42542,253,868,0.39251,0.45833
2016,Direct migration background,East,Sub-Saharan Africa,0.03668,44,868,0.02417,0.04920
2017,Direct migration background,West,Northern Africa,0.01299,95,8016,0.01051,0.01546
2017,Direct migration background,West,Northern America,0.01705,42,8016,0.01421,0.01988
2017,Direct migration background,West,Southern Asia,0.05021,605,8016,0.04543,0.05499
2017,Direct migration background,West,South-Eastern Asia,0.02210,50,8016,0.01888,0.02532
2017,Direct migration background,West,Southern Europe,0.20798,884,8016,0.19909,0.21686
2017,Direct migration background,West,Central Asia,0.08648,506,8016,0.08033,0.09263
2017,Direct migration background,West,Western Asia,0.18269,3457,8016,0.17423,0.19115
2017,Direct migration background,West,Eastern Europe,0.26605,1726,8016,0.25638,0.27573
2017,Direct migration background,West,Northern Europe,0.01848,100,8016,0.01553,0.02143
2017,Direct migration background,West,Western Europe,0.07169,207,8016,0.06604,0.07734
2017,Direct migration background,West,Sub-Saharan Africa,0.02426,249,8016,0.02089,0.02763
2017,Direct migration background,West,Latin America and the Caribbean,0.03197,95,8016,0.02812,0.03582
2017,Direct migration background,East,Southern Asia,0.04626,133,940,0.03283,0.05970
2017,Direct migration background,East,Southern Europe,0.09551,56,940,0.07671,0.11431
2017,Direct migration background,East,Central Asia,0.08070,46,940,0.06328,0.09812
2017,Direct migration background,East,Western Asia,0.12436,419,940,0.10325,0.14546
2017,Direct migration background,East,Eastern Europe,0.46581,249,940,0.43391,0.49772
2017,Direct migration background,East,Sub-Saharan Africa,0.02254,37,940,0.01305,0.03204
2018,Direct migration background,West,Northern Africa,0.01441,104,7469,0.01171,0.01712
2018,Direct migration background,West,Northern America,0.01569,33,7469,0.01287,0.01851
2018,Direct migration background,West,Southern Asia,0.05384,530,7469,0.04872,0.05896
2018,Direct migration background,West,South-Eastern Asia,0.02013,45,7469,0.01695,0.02332
2018,Direct migration background,West,Southern Europe,0.18985,781,7469,0.18096,0.19875
2018,Direct migration background,West,Central Asia,0.08311,463,7469,0.07685,0.08937
2018,Direct migration background,West,Western Asia,0.18597,3233,7469,0.17715,0.19480
2018,Direct migration background,West,Eastern Europe,0.26981,1637,7469,0.25974,0.27987
2018,Direct migration background,West,Northern Europe,0.01952,91,7469,0.01638,0.02266
2018,Direct migration background,West,Western Europe,0.08484,205,7469,0.07852,0.09116
2018,Direct migration background,West,Sub-Saharan Africa,0.02598,258,7469,0.02237,0.02959
2018,Direct migration background,West,Latin America and the Caribbean,0.02740,89,7469,0.02369,0.03110
2018,Direct migration background,East,Southern Asia,0.07250,125,874,0.05530,0.08970
2018,Direct migration background,East,Southern Europe,0.10408,46,874,0.08382,0.12433
2018,Direct migration background,East,Central Asia,0.05325,37,874,0.03836,0.06815
2018,Direct migration background,East,Western Asia,0.13719,413,874,0.11437,0.16002
2018,Direct migration background,East,Eastern Europe,0.38171,208,874,0.34949,0.41394
2018,Direct migration background,East,Sub-Saharan Africa,0.04273,45,874,0.02931,0.05614
2019,Direct migration background,West,Northern Africa,0.01567,87,6772,0.01272,0.01863
2019,Direct migration background,West,Northern America,0.02069,36,6772,0.01730,0.02408
2019,Direct migration background,West,Southern Asia,0.04707,440,6772,0.04202,0.05211
2019,Direct migration background,West,South-Eastern Asia,0.01480,37,6772,0.01192,0.01767
2019,Direct migration background,West,Southern Europe,0.19454,648,6772,0.18511,0.20396
2019,Direct migration background,West,Central Asia,0.07852,382,6772,0.07211,0.08493
2019,Direct migration background,West,Western Asia,0.18690,3073,6772,0.17762,0.19619
2019,Direct migration background,West,Eastern Europe,0.26623,1449,6772,0.25570,0.27676
2019,Direct migration background,West,Northern Europe,0.01982,87,6772,0.01650,0.02314
2019,Direct migration background,West,Western Europe,0.08474,218,6772,0.07811,0.09137
2019,Direct migration background,West,Sub-Saharan Africa,0.02992,217,6772,0.02586,0.03398
2019,Direct migration background,West,Latin America and the Caribbean,0.03556,98,6772,0.03115,0.03997
2019,Direct migration background,East,Southern Asia,0.09877,111,745,0.07733,0.12020
2019,Direct migration background,East,Southern Europe,0.04735,32,745,0.03209,0.06261
2019,Direct migration background,East,Central Asia,0.06453,39,745,0.04687,0.08218
2019,Direct migration background,East,Western Asia,0.17292,342,745,0.14574,0.20009
2019,Direct migration background,East,Eastern Europe,0.42171,182,745,0.38623,0.45720
2019,Direct migration background,East,Sub-Saharan Africa,0.01991,39,745,0.00987,0.02995
2020,Direct migration background,West,Northern Africa,0.01283,130,8486,0.01044,0.01523
2020,Direct migration background,West,Northern America,0.02085,73,8486,0.01781,0.02389
2020,Direct migration background,West,Eastern Asia,0.00346,47,8486,0.00221,0.00471
2020,Direct migration background,West,Southern Asia,0.05530,636,8486,0.05043,0.06016
2020,Direct migration background,West,South-Eastern Asia,0.01630,74,8486,0.01361,0.01900
2020,Direct migration background,West,Southern Europe,0.20151,974,8486,0.19297,0.21004
2020,Direct migration background,West,Central Asia,0.08360,356,8486,0.07771,0.08949
2020,Direct migration background,West,Western Asia,0.18187,3189,8486,0.17367,0.19008
2020,Direct migration background,West,Eastern Europe,0.24041,2053,8486,0.23132,0.24951
2020,Direct migration background,West,Northern Europe,0.01929,85,8486,0.01637,0.02222
2020,Direct migration background,West,Western Europe,0.08644,215,8486,0.08046,0.09242
2020,Direct migration background,West,Sub-Saharan Africa,0.03889,471,8486,0.03478,0.04301
2020,Direct migration background,West,Latin America and the Caribbean,0.03503,183,8486,0.03112,0.03894
2020,Direct migration background,East,Southern Asia,0.04698,129,949,0.03351,0.06045
2020,Direct migration background,East,Southern Europe,0.06659,67,949,0.05072,0.08246
2020,Direct migration background,East,Central Asia,0.07039,35,949,0.05410,0.08667
2020,Direct migration background,East,Western Asia,0.15829,373,949,0.13505,0.18152
2020,Direct migration background,East,Eastern Europe,0.41661,293,949,0.38522,0.44799
2020,Direct migration background,East,Sub-Saharan Africa,0.02031,52,949,0.01133,0.02929
2021,Direct migration background,West,Northern Africa,0.00901,55,4963,0.00638,0.01164
2021,Direct migration background,West,Northern America,0.02061,51,4963,0.01665,0.02456
2021,Direct migration background,West,Southern Asia,0.05374,368,4963,0.04747,0.06001
2021,Direct migration background,West,South-Eastern Asia,0.01135,31,4963,0.00840,0.01429
2021,Direct migration background,West,Southern Europe,0.20696,476,4963,0.19569,0.21823
2021,Direct migration background,West,Central Asia,0.08410,205,4963,0.07638,0.09183
2021,Direct migration background,West,Western Asia,0.17905,2156,4963,0.16838,0.18972
2021,Direct migration background,West,Eastern Europe,0.26658,1062,4963,0.25428,0.27889
2021,Direct migration background,West,Northern Europe,0.02057,60,4963,0.01662,0.02452
2021,Direct migration background,West,Western Europe,0.07869,158,4963,0.07119,0.08618
2021,Direct migration background,West,Sub-Saharan Africa,0.03243,239,4963,0.02750,0.03736
2021,Direct migration background,West,Latin America and the Caribbean,0.02847,102,4963,0.02384,0.03310
2021,Direct migration background,East,Southern Asia,0.02669,32,440,0.01161,0.04177
2021,Direct migration background,East,Western Asia,0.16824,267,440,0.13325,0.20323
2021,Direct migration background,East,Eastern Europe,0.40145,141,440,0.35559,0.44730
2022,Direct migration background,West,Northern Africa,0.01222,190,7158,0.00968,0.01477
