"plb0022_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Voll erwerbstaetig","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","40","0.328753672556608","0.252027574445875","0.405479770667341"
"Voll erwerbstaetig","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","618","0.069345607238787","0.0637780962272246","0.0749131182503494"
"Teilzeitbeschaeftigung","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","130","0.0574679428694098","0.0490666670674587","0.0658692186713608"
"Teilzeitbeschaeftigung","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","211","0.0250902132657972","0.0216626002557855","0.028517826275809"
"Ausbildung/Lehre","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","55","0.0175111706981831","0.0127763258473844","0.0222460155489819"
"Ausbildung/Lehre","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","193","0.0223118457774037","0.019074975330772","0.0255487162240353"
"Geringfuegig erwerbstaetig","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","39","0.0166235858802417","0.0120082150495784","0.0212389567109051"
"Geringfuegig erwerbstaetig","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3460","0.472152849917365","0.46121195644755","0.48309374338718"
"Nicht erwerbstaetig","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","984","0.392972053633117","0.375341354777663","0.410602752488571"
"Nicht erwerbstaetig","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","77","0.499858714322708","0.418193551560547","0.581523877084868"
"Nicht erwerbstaetig","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","36","0.00399446367401679","0.00261211530212353","0.00537681204591005"
"Wehrpflicht/Zivildienst","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3337","0.409114597654084","0.398084621379849","0.42014457392832"
"Voll erwerbstaetig","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1644","0.499408731283302","0.481074501439352","0.517742961127252"
"Voll erwerbstaetig","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","50","0.338362917912023","0.264114519266924","0.412611316557122"
"Voll erwerbstaetig","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","512","0.0597366044087253","0.0544198635779677","0.0650533452394828"
"Teilzeitbeschaeftigung","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","118","0.05476831427723","0.0464252268703446","0.0631114016841155"
"Teilzeitbeschaeftigung","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","262","0.0321262702561837","0.028170418891924","0.0360821216204433"
"Ausbildung/Lehre","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","75","0.0222020465732951","0.0167993069553064","0.0276047861912838"
"Ausbildung/Lehre","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","219","0.0258238911031176","0.0222656937036478","0.0293820885025874"
"Geringfuegig erwerbstaetig","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","48","0.0210714598409402","0.0158050363606873","0.0263378833211931"
"Geringfuegig erwerbstaetig","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3255","0.467377922347383","0.456184983297904","0.478570861396861"
"Nicht erwerbstaetig","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","970","0.402306554655945","0.384325681737725","0.420287427574165"
"Nicht erwerbstaetig","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","65","0.433413878258431","0.355651387110528","0.511176369406334"
"Nicht erwerbstaetig","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","48","0.00582071423050645","0.00411415662001223","0.00752727184100067"
"Wehrpflicht/Zivildienst","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1987","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3286","0.41331771792474","0.402167259970964","0.424468175878516"
"Voll erwerbstaetig","1987","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1987","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1616","0.503991631018778","0.485616118561385","0.52236714347617"
"Voll erwerbstaetig","1987","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1987","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","55","0.344518814213188","0.274510753886836","0.414526874539541"
"Voll erwerbstaetig","1987","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1987","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","552","0.0675825318916023","0.0618983019723303","0.0732667618108743"
"Teilzeitbeschaeftigung","1987","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1987","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","129","0.0595856904334194","0.0508857977111654","0.0682855831556734"
"Teilzeitbeschaeftigung","1987","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1987","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1987","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1987","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","325","0.0358171505327502","0.0316091631996741","0.0400251378658262"
"Ausbildung/Lehre","1987","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1987","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","84","0.0228883283586642","0.0173921295566459","0.0283845271606824"
"Ausbildung/Lehre","1987","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1987","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1987","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1987","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","169","0.0211900255915797","0.017928925411369","0.0244511257717903"
"Geringfuegig erwerbstaetig","1987","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1987","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","44","0.0177036542497208","0.0128570671852264","0.0225502413142153"
"Geringfuegig erwerbstaetig","1987","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1987","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1987","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1987","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1987","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1987","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
