"plb0022_h","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Freiwilliger Wehrdienst","1984","direkter Migrationshintergrund","weiblich","","","",""
"Freiwilliger Wehrdienst","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Freiwilliger Wehrdienst","1984","indirekter Migrationshintergrund","weiblich","","","",""
"FSJ/FOeJ/BFD","1984","kein Migrationshintergrund","maennlich","","","",""
"FSJ/FOeJ/BFD","1984","kein Migrationshintergrund","weiblich","","","",""
"FSJ/FOeJ/BFD","1984","direkter Migrationshintergrund","maennlich","","","",""
"FSJ/FOeJ/BFD","1984","direkter Migrationshintergrund","weiblich","","","",""
"FSJ/FOeJ/BFD","1984","indirekter Migrationshintergrund","maennlich","","","",""
"FSJ/FOeJ/BFD","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Werkstatt fuer Behinderte","1984","kein Migrationshintergrund","maennlich","","","",""
"Werkstatt fuer Behinderte","1984","kein Migrationshintergrund","weiblich","","","",""
"Werkstatt fuer Behinderte","1984","direkter Migrationshintergrund","maennlich","","","",""
"Werkstatt fuer Behinderte","1984","direkter Migrationshintergrund","weiblich","","","",""
"Werkstatt fuer Behinderte","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Werkstatt fuer Behinderte","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Nicht erwerbstaetig","1984","kein Migrationshintergrund","maennlich","1155","0.307554212591403","0.293469678301634","0.321638746881172"
"Nicht erwerbstaetig","1984","kein Migrationshintergrund","weiblich","2702","0.627446005873903","0.613428434295913","0.641463577451893"
"Nicht erwerbstaetig","1984","direkter Migrationshintergrund","maennlich","301","0.218888390217476","0.199896813237764","0.237879967197187"
"Nicht erwerbstaetig","1984","direkter Migrationshintergrund","weiblich","827","0.55293040134917","0.528583727450621","0.577277075247719"
"Nicht erwerbstaetig","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Nicht erwerbstaetig","1984","indirekter Migrationshintergrund","weiblich","34","0.559751405429652","0.439988393742282","0.679514417117022"
"Betriebliches Praktikum","1984","kein Migrationshintergrund","maennlich","","","",""
"Betriebliches Praktikum","1984","kein Migrationshintergrund","weiblich","","","",""
"Betriebliches Praktikum","1984","direkter Migrationshintergrund","maennlich","","","",""
"Betriebliches Praktikum","1984","direkter Migrationshintergrund","weiblich","","","",""
"Betriebliches Praktikum","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Betriebliches Praktikum","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Wehrpflicht/Zivildienst","1984","kein Migrationshintergrund","maennlich","30","0.00738781118053778","0.00477422720823279","0.0100013951528428"
"Wehrpflicht/Zivildienst","1984","kein Migrationshintergrund","weiblich","","","",""
"Wehrpflicht/Zivildienst","1984","direkter Migrationshintergrund","maennlich","","","",""
"Wehrpflicht/Zivildienst","1984","direkter Migrationshintergrund","weiblich","","","",""
"Wehrpflicht/Zivildienst","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Wehrpflicht/Zivildienst","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Voll erwerbstaetig","1985","kein Migrationshintergrund","maennlich","2478","0.616683879024918","0.601261904938524","0.632105853111311"
"Voll erwerbstaetig","1985","kein Migrationshintergrund","weiblich","1002","0.224034240371483","0.211394491988934","0.236673988754032"
"Voll erwerbstaetig","1985","direkter Migrationshintergrund","maennlich","1230","0.714866310405685","0.692562328239064","0.737170292572306"
"Voll erwerbstaetig","1985","direkter Migrationshintergrund","weiblich","508","0.302798039182728","0.278503394383201","0.327092683982255"
"Voll erwerbstaetig","1985","indirekter Migrationshintergrund","maennlich","","","",""
"Voll erwerbstaetig","1985","indirekter Migrationshintergrund","weiblich","","","",""
"Teilzeitbeschaeftigung","1985","kein Migrationshintergrund","maennlich","45","0.012018023341618","0.00856164590339202","0.0154744007798439"
"Teilzeitbeschaeftigung","1985","kein Migrationshintergrund","weiblich","573","0.119422249227886","0.109591504309797","0.129252994145974"
"Teilzeitbeschaeftigung","1985","direkter Migrationshintergrund","maennlich","","","",""
"Teilzeitbeschaeftigung","1985","direkter Migrationshintergrund","weiblich","119","0.111372150693976","0.0947379097559155","0.128006391632037"
"Teilzeitbeschaeftigung","1985","indirekter Migrationshintergrund","maennlich","","","",""
"Teilzeitbeschaeftigung","1985","indirekter Migrationshintergrund","weiblich","","","",""
"Ausbildung/Lehre","1985","kein Migrationshintergrund","maennlich","117","0.0290814093506864","0.0237513841525821","0.0344114345487907"
"Ausbildung/Lehre","1985","kein Migrationshintergrund","weiblich","94","0.0216038340419702","0.0171964313008898","0.0260112367830506"
"Ausbildung/Lehre","1985","direkter Migrationshintergrund","maennlich","42","0.024805043687466","0.0171215020625161","0.0324885853124159"
"Ausbildung/Lehre","1985","direkter Migrationshintergrund","weiblich","","","",""
"Ausbildung/Lehre","1985","indirekter Migrationshintergrund","maennlich","","","",""
"Ausbildung/Lehre","1985","indirekter Migrationshintergrund","weiblich","","","",""
"Geringfuegig erwerbstaetig","1985","kein Migrationshintergrund","maennlich","46","0.0120218559851974","0.00856493416290342","0.0154787778074913"
"Geringfuegig erwerbstaetig","1985","kein Migrationshintergrund","weiblich","147","0.0313003308986341","0.0260216064746426","0.0365790553226257"
"Geringfuegig erwerbstaetig","1985","direkter Migrationshintergrund","maennlich","","","",""
"Geringfuegig erwerbstaetig","1985","direkter Migrationshintergrund","weiblich","","","",""
"Geringfuegig erwerbstaetig","1985","indirekter Migrationshintergrund","maennlich","","","",""
"Geringfuegig erwerbstaetig","1985","indirekter Migrationshintergrund","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","kein Migrationshintergrund","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","kein Migrationshintergrund","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","direkter Migrationshintergrund","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","direkter Migrationshintergrund","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","indirekter Migrationshintergrund","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","indirekter Migrationshintergrund","weiblich","","","",""
"Freiwilliger Wehrdienst","1985","kein Migrationshintergrund","maennlich","","","",""
"Freiwilliger Wehrdienst","1985","kein Migrationshintergrund","weiblich","","","",""
"Freiwilliger Wehrdienst","1985","direkter Migrationshintergrund","maennlich","","","",""
"Freiwilliger Wehrdienst","1985","direkter Migrationshintergrund","weiblich","","","",""
"Freiwilliger Wehrdienst","1985","indirekter Migrationshintergrund","maennlich","","","",""
"Freiwilliger Wehrdienst","1985","indirekter Migrationshintergrund","weiblich","","","",""
"FSJ/FOeJ/BFD","1985","kein Migrationshintergrund","maennlich","","","",""
"FSJ/FOeJ/BFD","1985","kein Migrationshintergrund","weiblich","","","",""
"FSJ/FOeJ/BFD","1985","direkter Migrationshintergrund","maennlich","","","",""
"FSJ/FOeJ/BFD","1985","direkter Migrationshintergrund","weiblich","","","",""
"FSJ/FOeJ/BFD","1985","indirekter Migrationshintergrund","maennlich","","","",""
"FSJ/FOeJ/BFD","1985","indirekter Migrationshintergrund","weiblich","","","",""
"Werkstatt fuer Behinderte","1985","kein Migrationshintergrund","maennlich","","","",""
"Werkstatt fuer Behinderte","1985","kein Migrationshintergrund","weiblich","","","",""
"Werkstatt fuer Behinderte","1985","direkter Migrationshintergrund","maennlich","","","",""
"Werkstatt fuer Behinderte","1985","direkter Migrationshintergrund","weiblich","","","",""
"Werkstatt fuer Behinderte","1985","indirekter Migrationshintergrund","maennlich","","","",""
"Werkstatt fuer Behinderte","1985","indirekter Migrationshintergrund","weiblich","","","",""
"Nicht erwerbstaetig","1985","kein Migrationshintergrund","maennlich","1096","0.321627519041393","0.306811182289018","0.336443855793767"
"Nicht erwerbstaetig","1985","kein Migrationshintergrund","weiblich","2364","0.603639345460027","0.588810955852345","0.618467735067708"
"Nicht erwerbstaetig","1985","direkter Migrationshintergrund","maennlich","278","0.245126720987467","0.223875784116976","0.266377657857958"
"Nicht erwerbstaetig","1985","direkter Migrationshintergrund","weiblich","706","0.550197552857489","0.523893361285826","0.576501744429151"
"Nicht erwerbstaetig","1985","indirekter Migrationshintergrund","maennlich","","","",""
"Nicht erwerbstaetig","1985","indirekter Migrationshintergrund","weiblich","48","0.624483732785412","0.517016582644112","0.731950882926713"
"Betriebliches Praktikum","1985","kein Migrationshintergrund","maennlich","","","",""
"Betriebliches Praktikum","1985","kein Migrationshintergrund","weiblich","","","",""
"Betriebliches Praktikum","1985","direkter Migrationshintergrund","maennlich","","","",""
"Betriebliches Praktikum","1985","direkter Migrationshintergrund","weiblich","","","",""
"Betriebliches Praktikum","1985","indirekter Migrationshintergrund","maennlich","","","",""
"Betriebliches Praktikum","1985","indirekter Migrationshintergrund","weiblich","","","",""
"Wehrpflicht/Zivildienst","1985","kein Migrationshintergrund","maennlich","36","0.00856731325618809","0.00564394135060218","0.011490685161774"
"Wehrpflicht/Zivildienst","1985","kein Migrationshintergrund","weiblich","","","",""
"Wehrpflicht/Zivildienst","1985","direkter Migrationshintergrund","maennlich","","","",""
"Wehrpflicht/Zivildienst","1985","direkter Migrationshintergrund","weiblich","","","",""
"Wehrpflicht/Zivildienst","1985","indirekter Migrationshintergrund","maennlich","","","",""
"Wehrpflicht/Zivildienst","1985","indirekter Migrationshintergrund","weiblich","","","",""
"Voll erwerbstaetig","1986","kein Migrationshintergrund","maennlich","2344","0.613505516820157","0.597716877442502","0.629294156197813"
"Voll erwerbstaetig","1986","kein Migrationshintergrund","weiblich","993","0.229431963191415","0.216367439603267","0.242496486779562"
"Voll erwerbstaetig","1986","direkter Migrationshintergrund","maennlich","1184","0.691649346710719","0.668584362981567","0.714714330439871"
"Voll erwerbstaetig","1986","direkter Migrationshintergrund","weiblich","460","0.292578739270344","0.268008146186755","0.317149332353934"
"Voll erwerbstaetig","1986","indirekter Migrationshintergrund","maennlich","","","",""
"Voll erwerbstaetig","1986","indirekter Migrationshintergrund","weiblich","","","",""
"Teilzeitbeschaeftigung","1986","kein Migrationshintergrund","maennlich","50","0.0122489836648874","0.00868252175683737","0.0158154455729375"
"Teilzeitbeschaeftigung","1986","kein Migrationshintergrund","weiblich","462","0.101483570636143","0.0921009965502044","0.110866144722082"
"Teilzeitbeschaeftigung","1986","direkter Migrationshintergrund","maennlich","","","",""
"Teilzeitbeschaeftigung","1986","direkter Migrationshintergrund","weiblich","105","0.0949574228090582","0.079124752493895","0.110790093124221"
"Teilzeitbeschaeftigung","1986","indirekter Migrationshintergrund","maennlich","","","",""
"Teilzeitbeschaeftigung","1986","indirekter Migrationshintergrund","weiblich","","","",""
"Ausbildung/Lehre","1986","kein Migrationshintergrund","maennlich","143","0.0376611048349433","0.0314884162477958","0.0438337934220907"
"Ausbildung/Lehre","1986","kein Migrationshintergrund","weiblich","119","0.0272605273822621","0.0222008069885482","0.032320247775976"
"Ausbildung/Lehre","1986","direkter Migrationshintergrund","maennlich","49","0.0277862096925531","0.0195773416672346","0.0359950777178715"
"Ausbildung/Lehre","1986","direkter Migrationshintergrund","weiblich","","","",""
"Ausbildung/Lehre","1986","indirekter Migrationshintergrund","maennlich","","","",""
"Ausbildung/Lehre","1986","indirekter Migrationshintergrund","weiblich","","","",""
"Geringfuegig erwerbstaetig","1986","kein Migrationshintergrund","maennlich","36","0.00999120431017528","0.00676648241761576","0.0132159262027348"
"Geringfuegig erwerbstaetig","1986","kein Migrationshintergrund","weiblich","183","0.0397426057171787","0.033672683574202","0.0458125278601555"
"Geringfuegig erwerbstaetig","1986","direkter Migrationshintergrund","maennlich","","","",""
"Geringfuegig erwerbstaetig","1986","direkter Migrationshintergrund","weiblich","44","0.040089569013984","0.0294949278304593","0.0506842101975087"
"Geringfuegig erwerbstaetig","1986","indirekter Migrationshintergrund","maennlich","","","",""
"Geringfuegig erwerbstaetig","1986","indirekter Migrationshintergrund","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","kein Migrationshintergrund","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","kein Migrationshintergrund","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","direkter Migrationshintergrund","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","direkter Migrationshintergrund","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","indirekter Migrationshintergrund","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1986","indirekter Migrationshintergrund","weiblich","","","",""
"Freiwilliger Wehrdienst","1986","kein Migrationshintergrund","maennlich","","","",""
"Freiwilliger Wehrdienst","1986","kein Migrationshintergrund","weiblich","","","",""
"Freiwilliger Wehrdienst","1986","direkter Migrationshintergrund","maennlich","","","",""
"Freiwilliger Wehrdienst","1986","direkter Migrationshintergrund","weiblich","","","",""
"Freiwilliger Wehrdienst","1986","indirekter Migrationshintergrund","maennlich","","","",""
"Freiwilliger Wehrdienst","1986","indirekter Migrationshintergrund","weiblich","","","",""
"FSJ/FOeJ/BFD","1986","kein Migrationshintergrund","maennlich","","","",""
"FSJ/FOeJ/BFD","1986","kein Migrationshintergrund","weiblich","","","",""
"FSJ/FOeJ/BFD","1986","direkter Migrationshintergrund","maennlich","","","",""
"FSJ/FOeJ/BFD","1986","direkter Migrationshintergrund","weiblich","","","",""
"FSJ/FOeJ/BFD","1986","indirekter Migrationshintergrund","maennlich","","","",""
"FSJ/FOeJ/BFD","1986","indirekter Migrationshintergrund","weiblich","","","",""
"Werkstatt fuer Behinderte","1986","kein Migrationshintergrund","maennlich","","","",""
"Werkstatt fuer Behinderte","1986","kein Migrationshintergrund","weiblich","","","",""
"Werkstatt fuer Behinderte","1986","direkter Migrationshintergrund","maennlich","","","",""
"Werkstatt fuer Behinderte","1986","direkter Migrationshintergrund","weiblich","","","",""
"Werkstatt fuer Behinderte","1986","indirekter Migrationshintergrund","maennlich","","","",""
"Werkstatt fuer Behinderte","1986","indirekter Migrationshintergrund","weiblich","","","",""
"Nicht erwerbstaetig","1986","kein Migrationshintergrund","maennlich","1033","0.314151351425003","0.299100972675546","0.32920173017446"
"Nicht erwerbstaetig","1986","kein Migrationshintergrund","weiblich","2222","0.602081333073002","0.586872851384058","0.617289814761945"
"Nicht erwerbstaetig","1986","direkter Migrationshintergrund","maennlich","288","0.259286874191102","0.237399028564796","0.281174719817407"
"Nicht erwerbstaetig","1986","direkter Migrationshintergrund","weiblich","682","0.556180174455128","0.52934735523408","0.583012993676176"
"Nicht erwerbstaetig","1986","indirekter Migrationshintergrund","maennlich","","","",""
"Nicht erwerbstaetig","1986","indirekter Migrationshintergrund","weiblich","42","0.518117859680024","0.410621503897443","0.625614215462605"
"Betriebliches Praktikum","1986","kein Migrationshintergrund","maennlich","","","",""
"Betriebliches Praktikum","1986","kein Migrationshintergrund","weiblich","","","",""
"Betriebliches Praktikum","1986","direkter Migrationshintergrund","maennlich","","","",""
"Betriebliches Praktikum","1986","direkter Migrationshintergrund","weiblich","","","",""
"Betriebliches Praktikum","1986","indirekter Migrationshintergrund","maennlich","","","",""
"Betriebliches Praktikum","1986","indirekter Migrationshintergrund","weiblich","","","",""
"Wehrpflicht/Zivildienst","1986","kein Migrationshintergrund","maennlich","48","0.0124418389448339","0.00884776135697149","0.0160359165326964"
"Wehrpflicht/Zivildienst","1986","kein Migrationshintergrund","weiblich","","","",""
"Wehrpflicht/Zivildienst","1986","direkter Migrationshintergrund","maennlich","","","",""
"Wehrpflicht/Zivildienst","1986","direkter Migrationshintergrund","weiblich","","","",""
"Wehrpflicht/Zivildienst","1986","indirekter Migrationshintergrund","maennlich","","","",""
"Wehrpflicht/Zivildienst","1986","indirekter Migrationshintergrund","weiblich","","","",""
"Voll erwerbstaetig","1987","kein Migrationshintergrund","maennlich","2310","0.618540274147305","0.602677301543385","0.634403246751224"
"Voll erwerbstaetig","1987","kein Migrationshintergrund","weiblich","976","0.232584054504401","0.219307705261435","0.245860403747367"
"Voll erwerbstaetig","1987","direkter Migrationshintergrund","maennlich","1159","0.705004025134565","0.682100518354062","0.727907531915068"
"Voll erwerbstaetig","1987","direkter Migrationshintergrund","weiblich","457","0.288309208399185","0.263882125158348","0.312736291640023"
"Voll erwerbstaetig","1987","indirekter Migrationshintergrund","maennlich","31","0.50644532564717","0.398887264978115","0.614003386316225"
"Voll erwerbstaetig","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Teilzeitbeschaeftigung","1987","kein Migrationshintergrund","maennlich","36","0.00989853645405888","0.00666556714793192","0.0131315057601858"
"Teilzeitbeschaeftigung","1987","kein Migrationshintergrund","weiblich","516","0.11838318464657","0.108231029822656","0.128535339470484"
"Teilzeitbeschaeftigung","1987","direkter Migrationshintergrund","maennlich","","","",""
"Teilzeitbeschaeftigung","1987","direkter Migrationshintergrund","weiblich","123","0.114636460983337","0.0974566301230275","0.131816291843647"
"Teilzeitbeschaeftigung","1987","indirekter Migrationshintergrund","maennlich","","","",""
"Teilzeitbeschaeftigung","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Ausbildung/Lehre","1987","kein Migrationshintergrund","maennlich","180","0.0409417589015702","0.0344706013174563","0.0474129164856841"
"Ausbildung/Lehre","1987","kein Migrationshintergrund","weiblich","145","0.0313040538189225","0.0258317862748478","0.0367763213629971"
"Ausbildung/Lehre","1987","direkter Migrationshintergrund","maennlich","49","0.022369124905662","0.0149421819020832","0.0297960679092408"
"Ausbildung/Lehre","1987","direkter Migrationshintergrund","weiblich","35","0.0234454236515617","0.0152857275483254","0.0316051197547979"
"Ausbildung/Lehre","1987","indirekter Migrationshintergrund","maennlich","","","",""
"Ausbildung/Lehre","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Geringfuegig erwerbstaetig","1987","kein Migrationshintergrund","maennlich","43","0.0130266831914767","0.00932375007159261","0.0167296163113608"
"Geringfuegig erwerbstaetig","1987","kein Migrationshintergrund","weiblich","126","0.0283792488664575","0.0231610319376688","0.0335974657952461"
"Geringfuegig erwerbstaetig","1987","direkter Migrationshintergrund","maennlich","","","",""
"Geringfuegig erwerbstaetig","1987","direkter Migrationshintergrund","weiblich","37","0.0273298659335664","0.0185376524758976","0.0361220793912351"
"Geringfuegig erwerbstaetig","1987","indirekter Migrationshintergrund","maennlich","","","",""
"Geringfuegig erwerbstaetig","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","kein Migrationshintergrund","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","kein Migrationshintergrund","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","direkter Migrationshintergrund","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","direkter Migrationshintergrund","weiblich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","indirekter Migrationshintergrund","maennlich","","","",""
"Altersteilzeit mit Arbeitszeit Null","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Freiwilliger Wehrdienst","1987","kein Migrationshintergrund","maennlich","","","",""
"Freiwilliger Wehrdienst","1987","kein Migrationshintergrund","weiblich","","","",""
"Freiwilliger Wehrdienst","1987","direkter Migrationshintergrund","maennlich","","","",""
"Freiwilliger Wehrdienst","1987","direkter Migrationshintergrund","weiblich","","","",""
"Freiwilliger Wehrdienst","1987","indirekter Migrationshintergrund","maennlich","","","",""
"Freiwilliger Wehrdienst","1987","indirekter Migrationshintergrund","weiblich","","","",""
"FSJ/FOeJ/BFD","1987","kein Migrationshintergrund","maennlich","","","",""
"FSJ/FOeJ/BFD","1987","kein Migrationshintergrund","weiblich","","","",""
"FSJ/FOeJ/BFD","1987","direkter Migrationshintergrund","maennlich","","","",""
"FSJ/FOeJ/BFD","1987","direkter Migrationshintergrund","weiblich","","","",""
"FSJ/FOeJ/BFD","1987","indirekter Migrationshintergrund","maennlich","","","",""
"FSJ/FOeJ/BFD","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Werkstatt fuer Behinderte","1987","kein Migrationshintergrund","maennlich","","","",""
"Werkstatt fuer Behinderte","1987","kein Migrationshintergrund","weiblich","","","",""
"Werkstatt fuer Behinderte","1987","direkter Migrationshintergrund","maennlich","","","",""
"Werkstatt fuer Behinderte","1987","direkter Migrationshintergrund","weiblich","","","",""
"Werkstatt fuer Behinderte","1987","indirekter Migrationshintergrund","maennlich","","","",""
"Werkstatt fuer Behinderte","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Nicht erwerbstaetig","1987","kein Migrationshintergrund","maennlich","983","0.30382533666937","0.288806118101782","0.318844555236959"
"Nicht erwerbstaetig","1987","kein Migrationshintergrund","weiblich","2127","0.589349458163649","0.573889940680614","0.604808975646684"
"Nicht erwerbstaetig","1987","direkter Migrationshintergrund","maennlich","300","0.253466637627622","0.231620073108505","0.275313202146738"
"Nicht erwerbstaetig","1987","direkter Migrationshintergrund","weiblich","669","0.546279041032349","0.519431879734667","0.573126202330032"
"Nicht erwerbstaetig","1987","indirekter Migrationshintergrund","maennlich","32","0.382596681405917","0.278037030657269","0.487156332154564"
"Nicht erwerbstaetig","1987","indirekter Migrationshintergrund","weiblich","52","0.548428069107167","0.447825870790156","0.649030267424178"
"Betriebliches Praktikum","1987","kein Migrationshintergrund","maennlich","","","",""
"Betriebliches Praktikum","1987","kein Migrationshintergrund","weiblich","","","",""
"Betriebliches Praktikum","1987","direkter Migrationshintergrund","maennlich","","","",""
"Betriebliches Praktikum","1987","direkter Migrationshintergrund","weiblich","","","",""
"Betriebliches Praktikum","1987","indirekter Migrationshintergrund","maennlich","","","",""
"Betriebliches Praktikum","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Wehrpflicht/Zivildienst","1987","kein Migrationshintergrund","maennlich","50","0.0137674106362189","0.00996208309312613","0.0175727381793117"
"Wehrpflicht/Zivildienst","1987","kein Migrationshintergrund","weiblich","","","",""
"Wehrpflicht/Zivildienst","1987","direkter Migrationshintergrund","maennlich","","","",""
"Wehrpflicht/Zivildienst","1987","direkter Migrationshintergrund","weiblich","","","",""
"Wehrpflicht/Zivildienst","1987","indirekter Migrationshintergrund","maennlich","","","",""
"Wehrpflicht/Zivildienst","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Voll erwerbstaetig","1988","kein Migrationshintergrund","maennlich","2192","0.617842142592926","0.601568755174656","0.634115530011197"
"Voll erwerbstaetig","1988","kein Migrationshintergrund","weiblich","926","0.234216032160284","0.220538470660747","0.24789359365982"
"Voll erwerbstaetig","1988","direkter Migrationshintergrund","maennlich","1062","0.684450661957856","0.660287388843","0.708613935072712"
"Voll erwerbstaetig","1988","direkter Migrationshintergrund","weiblich","420","0.286547124496","0.261660319896228","0.311433929095771"
"Voll erwerbstaetig","1988","indirekter Migrationshintergrund","maennlich","39","0.411181054547245","0.318381979213236","0.503980129881255"
"Voll erwerbstaetig","1988","indirekter Migrationshintergrund","weiblich","30","0.20745002154571","0.133661438996371","0.281238604095049"
"Teilzeitbeschaeftigung","1988","kein Migrationshintergrund","maennlich","33","0.00931284832160934","0.00609602407744403","0.0125296725657747"
"Teilzeitbeschaeftigung","1988","kein Migrationshintergrund","weiblich","503","0.121544744450535","0.110991763680876","0.132097725220193"
"Teilzeitbeschaeftigung","1988","direkter Migrationshintergrund","maennlich","","","",""
"Teilzeitbeschaeftigung","1988","direkter Migrationshintergrund","weiblich","125","0.110842405161323","0.0935629197095168","0.12812189061313"
"Teilzeitbeschaeftigung","1988","indirekter Migrationshintergrund","maennlich","","","",""
"Teilzeitbeschaeftigung","1988","indirekter Migrationshintergrund","weiblich","","","",""
"Ausbildung/Lehre","1988","kein Migrationshintergrund","maennlich","173","0.0392851249865386","0.0327788992054015","0.0457913507676758"
"Ausbildung/Lehre","1988","kein Migrationshintergrund","weiblich","134","0.0290710751671566","0.0236451787544595","0.0344969715798538"
"Ausbildung/Lehre","1988","direkter Migrationshintergrund","maennlich","49","0.0202410258881955","0.0129190728801777","0.0275629788962133"
"Ausbildung/Lehre","1988","direkter Migrationshintergrund","weiblich","41","0.0260459022902404","0.0172793785686883","0.0348124260117924"
"Ausbildung/Lehre","1988","indirekter Migrationshintergrund","maennlich","","","",""
"Ausbildung/Lehre","1988","indirekter Migrationshintergrund","weiblich","","","",""
