"plb0022_h","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Teilzeitbeschaeftigung","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","37","0.0386643463033285","0.0258607528925171","0.0514679397141399"
"Teilzeitbeschaeftigung","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","58","0.0741566477830211","0.0559195679852222","0.09239372758082"
"Teilzeitbeschaeftigung","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","210","0.0222045218247969","0.0188218579864748","0.0255871856631191"
"Ausbildung/Lehre","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","164","0.0762150250837107","0.064246163579487","0.0881838865879345"
"Ausbildung/Lehre","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","50","0.0638388392350077","0.0476036702257997","0.0800740082442158"
"Ausbildung/Lehre","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","198","0.0278748198995116","0.0240957820023832","0.0316538577966399"
"Geringfuegig erwerbstaetig","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","54","0.0293030337727402","0.0216954765977616","0.0369105909477187"
"Geringfuegig erwerbstaetig","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","44","0.0556477672215829","0.0404237281076992","0.0708718063354666"
"Geringfuegig erwerbstaetig","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","638","0.679718703172859","0.654471598957714","0.704965807388003"
"Nicht erwerbstaetig","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","3109","0.49843803047946","0.486959613403114","0.509916447555806"
"Nicht erwerbstaetig","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","704","0.403179314695271","0.381052538114346","0.425306091276195"
"Nicht erwerbstaetig","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","386","0.491153256209892","0.457953031191005","0.52435348122878"
"Nicht erwerbstaetig","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","169","0.24363837812355","0.213760545536663","0.273516210710437"
"Nicht erwerbstaetig","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","482","0.243001814435614","0.21771354387048","0.268290085000748"
"Voll erwerbstaetig","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","3039","0.397795376658049","0.385871135654759","0.40971961766134"
"Voll erwerbstaetig","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","839","0.444836171175565","0.421998996713485","0.467673345637646"
"Voll erwerbstaetig","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","314","0.353276175914734","0.32000806792085","0.386544283908618"
"Voll erwerbstaetig","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","521","0.660801876800067","0.627098311680614","0.69450544191952"
"Voll erwerbstaetig","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","458","0.0696176242686903","0.0634172318932439","0.0758180166441367"
"Teilzeitbeschaeftigung","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","159","0.0781742679369356","0.0658378786231747","0.0905106572506966"
"Teilzeitbeschaeftigung","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","53","0.0670686477968401","0.0496587542066949","0.0844785413869854"
"Teilzeitbeschaeftigung","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","50","0.0634464152680798","0.0460930643890119","0.0807997661471477"
"Teilzeitbeschaeftigung","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","122","0.0160236699435101","0.0129645101844989","0.0190828297025213"
"Ausbildung/Lehre","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","116","0.053942511835053","0.0435611079361928","0.0643239157339132"
"Ausbildung/Lehre","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","125","0.0190920526164832","0.0157580243723194","0.0224260808606471"
"Geringfuegig erwerbstaetig","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","44","0.0597665397319802","0.0432675100127814","0.076265569451179"
"Geringfuegig erwerbstaetig","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Geringfuegig erwerbstaetig","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Altersteilzeit mit Arbeitszeit Null","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Freiwilliger Wehrdienst","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"FSJ/FOeJ/BFD","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Werkstatt fuer Behinderte","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","574","0.70989861509958","0.683141454982338","0.736655775216821"
"Nicht erwerbstaetig","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","2719","0.495977385215735","0.483796333540567","0.508158436890903"
"Nicht erwerbstaetig","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","669","0.402752952333166","0.380214291221411","0.42529161344492"
"Nicht erwerbstaetig","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","339","0.455951444086826","0.421286570078287","0.490616318095366"
"Nicht erwerbstaetig","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstaetig","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","158","0.24163686276059","0.211162566189023","0.272111159332156"
"Nicht erwerbstaetig","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Betriebliches Praktikum","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Betriebliches Praktikum","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Wehrpflicht/Zivildienst","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1986","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","444","0.278977606240309","0.251745998665311","0.306209213815307"
"Voll erwerbstaetig","1986","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1986","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","2903","0.402810449721037","0.390521512416433","0.415099387025641"
"Voll erwerbstaetig","1986","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1986","Realschulabschluss","Westdeutschland, alte Bundeslaender","813","0.437860250549324","0.414806052192644","0.460914448906004"
"Voll erwerbstaetig","1986","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1986","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","327","0.350221067426404","0.317530279665972","0.382911855186836"
"Voll erwerbstaetig","1986","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Voll erwerbstaetig","1986","AkademikerInnen","Westdeutschland, alte Bundeslaender","485","0.631085745152436","0.596576534454814","0.665594955850057"
"Voll erwerbstaetig","1986","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1986","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1986","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1986","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","372","0.0596223306238836","0.0536894789263724","0.0655551823213947"
"Teilzeitbeschaeftigung","1986","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1986","Realschulabschluss","Westdeutschland, alte Bundeslaender","127","0.0639350692530484","0.0525671056510998","0.075303032854997"
"Teilzeitbeschaeftigung","1986","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1986","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","34","0.0384346377761922","0.0252604987948752","0.0516087767575091"
"Teilzeitbeschaeftigung","1986","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Teilzeitbeschaeftigung","1986","AkademikerInnen","Westdeutschland, alte Bundeslaender","77","0.0933407354622937","0.0725348701081672","0.11414660081642"
"Teilzeitbeschaeftigung","1986","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1986","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Ausbildung/Lehre","1986","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Ausbildung/Lehre","1986","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","152","0.0182333069440463","0.014880992617121","0.0215856212709716"
