,Unnamed: 0,year,hhtyp,hlf0261,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
39,39,2000,Couple without children,"Yes, Regularly",0.05641,194,12772,0.05283,0.05975
40,40,2000,Couple without children,"Yes, Occasionally",0.02859,100,12772,0.02608,0.0316
41,41,2000,Couple without children,No,0.915,3643,12772,0.90048,0.92988
42,42,2000,Single parent,No,1.0,719,12772,0.96949,1.03741
43,43,2000,Couple with children,"Yes, Regularly",0.04324,159,12772,0.03858,0.04827
44,44,2000,Couple with children,"Yes, Occasionally",0.02028,82,12772,0.01823,0.02292
45,45,2000,Couple with children,No,0.93648,4338,12772,0.92168,0.95127
46,46,2000,Multi-generational household,No,1.0,157,12772,0.92765,1.09607
47,47,2000,Other Combinations,No,1.0,151,12772,0.93215,1.09251
48,48,2001,Single-person household,"Yes, Regularly",0.0917,231,11580,0.087,0.09691
49,49,2001,Single-person household,"Yes, Occasionally",0.05373,138,11580,0.04999,0.05758
50,50,2001,Single-person household,No,0.85457,2552,11580,0.83735,0.86931
51,51,2001,Couple without children,"Yes, Regularly",0.06394,185,11580,0.059,0.06897
52,52,2001,Couple without children,"Yes, Occasionally",0.04007,120,11580,0.03664,0.04388
53,53,2001,Couple without children,No,0.89598,3270,11580,0.88045,0.91611
54,54,2001,Single parent,No,1.0,669,11580,0.95525,1.0448
55,55,2001,Couple with children,"Yes, Regularly",0.05002,171,11580,0.04519,0.05449
56,56,2001,Couple with children,"Yes, Occasionally",0.01866,78,11580,0.01681,0.02057
57,57,2001,Couple with children,No,0.93132,3909,11580,0.91245,0.94861
58,58,2001,Multi-generational household,No,1.0,147,11580,0.89694,1.11212
59,59,2001,Other Combinations,No,1.0,110,11580,0.90464,1.11276
60,60,2002,Single-person household,"Yes, Regularly",0.08347,231,12130,0.0783,0.08852
61,61,2002,Single-person household,"Yes, Occasionally",0.05178,128,12130,0.04728,0.05543
62,62,2002,Single-person household,No,0.86475,2559,12130,0.84854,0.88082
63,63,2002,Couple without children,"Yes, Regularly",0.05458,269,12130,0.04896,0.0612
64,64,2002,Couple without children,"Yes, Occasionally",0.0312,141,12130,0.02763,0.03473
65,65,2002,Couple without children,No,0.91422,3483,12130,0.89605,0.93533
66,66,2002,Single parent,"Yes, Regularly",0.03109,31,12130,0.02435,0.03919
67,67,2002,Single parent,No,0.96891,669,12130,0.92602,1.01834
68,68,2002,Couple with children,"Yes, Regularly",0.03638,265,12130,0.0328,0.04068
69,69,2002,Couple with children,"Yes, Occasionally",0.01883,102,12130,0.01592,0.02168
70,70,2002,Couple with children,No,0.9448,4001,12130,0.92314,0.96838
71,71,2002,Multi-generational household,No,1.0,136,12130,0.85177,1.14336
72,72,2002,Other Combinations,No,1.0,115,12130,0.87224,1.12507
73,73,2003,Single-person household,"Yes, Regularly",0.08683,229,11686,0.08123,0.09231
74,74,2003,Single-person household,"Yes, Occasionally",0.05171,135,11686,0.04726,0.05586
75,75,2003,Single-person household,No,0.86146,2536,11686,0.84564,0.87936
76,76,2003,Couple without children,"Yes, Regularly",0.06358,281,11686,0.05706,0.07061
77,77,2003,Couple without children,"Yes, Occasionally",0.03078,127,11686,0.02688,0.03574
78,78,2003,Couple without children,No,0.90563,3393,11686,0.88426,0.9274
79,79,2003,Single parent,No,1.0,657,11686,0.95633,1.04982
80,80,2003,Couple with children,"Yes, Regularly",0.04166,268,11686,0.03699,0.04657
81,81,2003,Couple with children,"Yes, Occasionally",0.02418,111,11686,0.01972,0.029
82,82,2003,Couple with children,No,0.93416,3739,11686,0.90947,0.95702
83,83,2003,Multi-generational household,No,1.0,112,11686,0.84785,1.1689
84,84,2003,Other Combinations,No,1.0,98,11686,0.87264,1.14327
85,85,2004,Single-person household,"Yes, Regularly",0.07119,183,11457,0.06541,0.07668
86,86,2004,Single-person household,"Yes, Occasionally",0.05269,132,11457,0.04786,0.05816
87,87,2004,Single-person household,No,0.87612,2528,11457,0.85747,0.89572
88,88,2004,Couple without children,"Yes, Regularly",0.04757,224,11457,0.04257,0.05346
89,89,2004,Couple without children,"Yes, Occasionally",0.03365,134,11457,0.0293,0.03761
90,90,2004,Couple without children,No,0.91879,3449,11457,0.89639,0.94136
91,91,2004,Single parent,No,1.0,651,11457,0.95913,1.0542
92,92,2004,Couple with children,"Yes, Regularly",0.03358,198,11457,0.02905,0.03887
93,93,2004,Couple with children,"Yes, Occasionally",0.0219,95,11457,0.01756,0.02703
94,94,2004,Couple with children,No,0.94453,3660,11457,0.91764,0.97389
95,95,2004,Multi-generational household,No,1.0,101,11457,0.81629,1.17897
96,96,2004,Other Combinations,No,1.0,102,11457,0.83125,1.1813
97,97,2005,Single-person household,"Yes, Regularly",0.08804,230,11112,0.08114,0.09398
98,98,2005,Single-person household,"Yes, Occasionally",0.0558,144,11112,0.0512,0.06058
99,99,2005,Single-person household,No,0.85616,2524,11112,0.83614,0.87531
100,100,2005,Couple without children,"Yes, Regularly",0.06072,282,11112,0.05485,0.06795
101,101,2005,Couple without children,"Yes, Occasionally",0.03781,144,11112,0.03259,0.04221
102,102,2005,Couple without children,No,0.90147,3254,11112,0.87467,0.92315
103,103,2005,Single parent,No,1.0,656,11112,0.95338,1.05604
104,104,2005,Couple with children,"Yes, Regularly",0.04004,213,11112,0.03465,0.0456
105,105,2005,Couple with children,"Yes, Occasionally",0.02143,89,11112,0.01745,0.02613
106,106,2005,Couple with children,No,0.93852,3388,11112,0.90983,0.96688
107,107,2005,Multi-generational household,No,1.0,98,11112,0.78104,1.17784
108,108,2005,Other Combinations,No,1.0,90,11112,0.81509,1.1836
109,109,2006,Single-person household,"Yes, Regularly",0.08579,256,12174,0.08006,0.09118
110,110,2006,Single-person household,"Yes, Occasionally",0.05438,160,12174,0.04993,0.05907
111,111,2006,Single-person household,No,0.85983,2866,12174,0.84285,0.87948
112,112,2006,Couple without children,"Yes, Regularly",0.05326,284,12174,0.04828,0.0592
113,113,2006,Couple without children,"Yes, Occasionally",0.03599,164,12174,0.03215,0.04047
114,114,2006,Couple without children,No,0.91076,3697,12174,0.88707,0.93002
115,115,2006,Single parent,No,1.0,729,12174,0.95014,1.05434
116,116,2006,Couple with children,"Yes, Regularly",0.03828,203,12174,0.03274,0.04416
117,117,2006,Couple with children,"Yes, Occasionally",0.02449,105,12174,0.01927,0.02964
118,118,2006,Couple with children,No,0.93723,3520,12174,0.90965,0.96544
119,119,2006,Multi-generational household,No,1.0,98,12174,0.85291,1.19244
120,120,2006,Other Combinations,No,1.0,92,12174,0.83609,1.17034
121,121,2007,Single-person household,"Yes, Regularly",0.09582,258,11386,0.08964,0.10153
122,122,2007,Single-person household,"Yes, Occasionally",0.0502,137,11386,0.04609,0.05522
123,123,2007,Single-person household,No,0.85398,2703,11386,0.83416,0.87175
124,124,2007,Couple without children,"Yes, Regularly",0.06226,298,11386,0.05566,0.06883
125,125,2007,Couple without children,"Yes, Occasionally",0.03324,147,11386,0.02831,0.0381
126,126,2007,Couple without children,No,0.9045,3420,11386,0.88089,0.92507
127,127,2007,Single parent,"Yes, Regularly",0.04012,34,11386,0.0309,0.04965
128,128,2007,Single parent,No,0.95988,665,11386,0.90922,1.02169
129,129,2007,Couple with children,"Yes, Regularly",0.04145,202,11386,0.03562,0.04769
130,130,2007,Couple with children,"Yes, Occasionally",0.02975,108,11386,0.02492,0.03542
131,131,2007,Couple with children,No,0.9288,3249,11386,0.90027,0.95293
132,132,2007,Multi-generational household,No,1.0,86,11386,0.77858,1.2287
133,133,2007,Other Combinations,No,1.0,79,11386,0.79395,1.22213
134,134,2008,Single-person household,"Yes, Regularly",0.08462,225,10741,0.07891,0.08995
135,135,2008,Single-person household,"Yes, Occasionally",0.04951,128,10741,0.04484,0.05392
136,136,2008,Single-person household,No,0.86587,2620,10741,0.84686,0.88301
137,137,2008,Couple without children,"Yes, Regularly",0.05539,258,10741,0.04941,0.06092
138,138,2008,Couple without children,"Yes, Occasionally",0.04064,163,10741,0.0352,0.04656
139,139,2008,Couple without children,No,0.90398,3291,10741,0.87794,0.9295
140,140,2008,Single parent,"Yes, Regularly",0.0323,31,10741,0.02257,0.04317
141,141,2008,Single parent,No,0.9677,636,10741,0.90582,1.02115
142,142,2008,Couple with children,"Yes, Regularly",0.04003,175,10741,0.03339,0.04628
143,143,2008,Couple with children,"Yes, Occasionally",0.02907,80,10741,0.0236,0.03413
144,144,2008,Couple with children,No,0.93089,2998,10741,0.90412,0.96517
145,145,2008,Multi-generational household,No,1.0,75,10741,0.83481,1.23758
146,146,2008,Other Combinations,No,1.0,61,10741,0.77511,1.27331
147,147,2009,Single-person household,"Yes, Regularly",0.08969,223,9986,0.08289,0.09578
148,148,2009,Single-person household,"Yes, Occasionally",0.04264,111,9986,0.03822,0.04759
149,149,2009,Single-person household,No,0.86768,2473,9986,0.84709,0.88641
150,150,2009,Couple without children,"Yes, Regularly",0.07417,291,9986,0.06494,0.08302
151,151,2009,Couple without children,"Yes, Occasionally",0.03051,120,9986,0.02659,0.03623
152,152,2009,Couple without children,No,0.89533,3108,9986,0.86838,0.91821
153,153,2009,Single parent,No,1.0,583,9986,0.92739,1.06081
154,154,2009,Couple with children,"Yes, Regularly",0.04301,164,9986,0.03496,0.05172
155,155,2009,Couple with children,"Yes, Occasionally",0.02822,81,9986,0.02216,0.03365
156,156,2009,Couple with children,No,0.92876,2711,9986,0.89561,0.9653
157,157,2009,Multi-generational household,No,1.0,61,9986,0.80958,1.21092
158,158,2009,Other Combinations,No,1.0,60,9986,0.74619,1.31461
159,159,2010,Single-person household,"Yes, Regularly",0.0758,197,13729,0.06953,0.08236
160,160,2010,Single-person household,"Yes, Occasionally",0.03944,90,13729,0.03484,0.04429
161,161,2010,Single-person household,No,0.88476,2398,13729,0.85941,0.90975
162,162,2010,Couple without children,"Yes, Regularly",0.06512,240,13729,0.05754,0.07188
163,163,2010,Couple without children,"Yes, Occasionally",0.02911,105,13729,0.02488,0.03411
164,164,2010,Couple without children,No,0.90576,3015,13729,0.877,0.93396
165,165,2010,Single parent,"Yes, Regularly",0.03418,51,13729,0.02631,0.0425
166,166,2010,Single parent,No,0.96582,1779,13729,0.91216,1.02612
167,167,2010,Couple with children,"Yes, Regularly",0.03772,267,13729,0.03148,0.04407
168,168,2010,Couple with children,"Yes, Occasionally",0.01666,87,13729,0.01262,0.02131
169,169,2010,Couple with children,No,0.94562,5342,13729,0.90852,0.98348
170,170,2010,Multi-generational household,No,1.0,98,13729,0.7127,1.39513
171,171,2010,Other Combinations,No,1.0,60,13729,0.76249,1.28673
172,172,2011,Single-person household,"Yes, Regularly",0.07605,264,16534,0.07124,0.08147
173,173,2011,Single-person household,"Yes, Occasionally",0.03308,106,16534,0.02868,0.03695
174,174,2011,Single-person household,No,0.89087,3159,16534,0.86997,0.9117
175,175,2011,Couple without children,"Yes, Regularly",0.06493,303,16534,0.05926,0.07116
176,176,2011,Couple without children,"Yes, Occasionally",0.02824,127,16534,0.02454,0.03254
177,177,2011,Couple without children,No,0.90682,3932,16534,0.87938,0.92939
178,178,2011,Single parent,"Yes, Regularly",0.03773,72,16534,0.02948,0.04766
179,179,2011,Single parent,No,0.96227,2203,16534,0.92178,1.00835
180,180,2011,Couple with children,"Yes, Regularly",0.05474,381,16534,0.04763,0.06289
181,181,2011,Couple with children,"Yes, Occasionally",0.01828,99,16534,0.01364,0.02378
182,182,2011,Couple with children,No,0.92698,5679,16534,0.89966,0.95938
183,183,2011,Multi-generational household,No,1.0,117,16534,0.78996,1.22885
184,184,2011,Other Combinations,No,1.0,92,16534,0.82681,1.16298
185,185,2012,Single-person household,"Yes, Regularly",0.07117,249,16231,0.06514,0.07585
186,186,2012,Single-person household,"Yes, Occasionally",0.03347,114,16231,0.02992,0.03753
187,187,2012,Single-person household,No,0.89537,3310,16231,0.87309,0.91639
188,188,2012,Couple without children,"Yes, Regularly",0.05945,302,16231,0.05369,0.06486
189,189,2012,Couple without children,"Yes, Occasionally",0.02486,119,16231,0.02113,0.02818
190,190,2012,Couple without children,No,0.91569,4017,16231,0.89066,0.94088
191,191,2012,Single parent,"Yes, Regularly",0.03684,57,16231,0.02936,0.04668
192,192,2012,Single parent,No,0.96316,2097,16231,0.91441,1.00059
193,193,2012,Couple with children,"Yes, Regularly",0.05422,336,16231,0.04711,0.0623
194,194,2012,Couple with children,"Yes, Occasionally",0.01431,85,16231,0.01099,0.01857
195,195,2012,Couple with children,No,0.93147,5341,16231,0.9014,0.96948
196,196,2012,Multi-generational household,No,1.0,114,16231,0.83133,1.19213
197,197,2012,Other Combinations,No,1.0,90,16231,0.84015,1.18491
198,198,2013,Single-person household,"Yes, Regularly",0.08573,284,17778,0.07987,0.09159
199,199,2013,Single-person household,"Yes, Occasionally",0.03544,115,17778,0.03157,0.03951
200,200,2013,Single-person household,No,0.87884,3432,17778,0.85741,0.90158
201,201,2013,Couple without children,"Yes, Regularly",0.06535,312,17778,0.059,0.07371
202,202,2013,Couple without children,"Yes, Occasionally",0.02035,105,17778,0.01708,0.02332
203,203,2013,Couple without children,No,0.91429,4209,17778,0.88894,0.94371
204,204,2013,Single parent,"Yes, Regularly",0.03675,63,17778,0.02854,0.04732
205,205,2013,Single parent,No,0.96325,2151,17778,0.91616,1.01515
206,206,2013,Couple with children,"Yes, Regularly",0.05897,388,17778,0.05195,0.0676
207,207,2013,Couple with children,"Yes, Occasionally",0.01631,97,17778,0.01225,0.01972
208,208,2013,Couple with children,No,0.92472,6138,17778,0.89345,0.95298
209,209,2013,Multi-generational household,No,1.0,142,17778,0.8008,1.19798
210,210,2013,Other Combinations,No,1.0,342,17778,0.86813,1.12477
211,211,2014,Single-person household,"Yes, Regularly",0.08015,258,15761,0.07511,0.08552
212,212,2014,Single-person household,"Yes, Occasionally",0.03332,98,15761,0.02856,0.03758
213,213,2014,Single-person household,No,0.88653,3199,15761,0.86549,0.9124
214,214,2014,Couple without children,"Yes, Regularly",0.06329,282,15761,0.05687,0.07037
215,215,2014,Couple without children,"Yes, Occasionally",0.02251,106,15761,0.01862,0.02666
216,216,2014,Couple without children,No,0.9142,3968,15761,0.8897,0.93977
217,217,2014,Single parent,"Yes, Regularly",0.03693,64,15761,0.03018,0.04548
218,218,2014,Single parent,No,0.96307,1732,15761,0.91214,1.02615
219,219,2014,Couple with children,"Yes, Regularly",0.06433,377,15761,0.0568,0.07355
220,220,2014,Couple with children,"Yes, Occasionally",0.01546,83,15761,0.01115,0.02014
221,221,2014,Couple with children,No,0.9202,5228,15761,0.88788,0.95036
222,222,2014,Multi-generational household,No,1.0,118,15761,0.78825,1.32511
223,223,2014,Other Combinations,No,1.0,248,15761,0.8989,1.12815
224,224,2015,Single-person household,"Yes, Regularly",0.08765,266,15712,0.08118,0.09459
225,225,2015,Single-person household,"Yes, Occasionally",0.03042,90,15712,0.02658,0.03454
226,226,2015,Single-person household,No,0.88193,3263,15712,0.86134,0.90761
227,227,2015,Couple without children,"Yes, Regularly",0.06328,281,15712,0.05585,0.07068
228,228,2015,Couple without children,"Yes, Occasionally",0.02612,95,15712,0.02125,0.0313
229,229,2015,Couple without children,No,0.9106,3994,15712,0.88082,0.94073
230,230,2015,Single parent,"Yes, Regularly",0.03995,67,15712,0.0314,0.04825
231,231,2015,Single parent,No,0.96005,1629,15712,0.90751,1.02187
232,232,2015,Couple with children,"Yes, Regularly",0.06252,339,15712,0.05553,0.07023
233,233,2015,Couple with children,"Yes, Occasionally",0.0132,67,15712,0.00904,0.01919
234,234,2015,Couple with children,No,0.92428,5241,15712,0.89671,0.95782
235,235,2015,Multi-generational household,No,1.0,138,15712,0.80528,1.1805
236,236,2015,Other Combinations,No,1.0,242,15712,0.87683,1.13469
237,237,2016,Single-person household,"Yes, Regularly",0.08422,255,14258,0.0775,0.09105
238,238,2016,Single-person household,"Yes, Occasionally",0.02381,72,14258,0.02007,0.02827
239,239,2016,Single-person household,No,0.89197,3056,14258,0.86953,0.91781
240,240,2016,Couple without children,"Yes, Regularly",0.05661,255,14258,0.04992,0.06501
241,241,2016,Couple without children,"Yes, Occasionally",0.01776,75,14258,0.01355,0.02264
242,242,2016,Couple without children,No,0.92563,3756,14258,0.89759,0.95253
243,243,2016,Single parent,"Yes, Regularly",0.04314,60,14258,0.03158,0.05745
244,244,2016,Single parent,No,0.95686,1451,14258,0.88457,1.01591
245,245,2016,Couple with children,"Yes, Regularly",0.05736,295,14258,0.04982,0.0651
246,246,2016,Couple with children,"Yes, Occasionally",0.0165,71,14258,0.01091,0.0224
247,247,2016,Couple with children,No,0.92613,4618,14258,0.89172,0.95903
248,248,2016,Multi-generational household,No,1.0,105,14258,0.76273,1.21525
249,249,2016,Other Combinations,No,1.0,189,14258,0.87194,1.13128
250,250,2017,Single-person household,"Yes, Regularly",0.07997,251,15624,0.07312,0.08747
251,251,2017,Single-person household,"Yes, Occasionally",0.02857,90,15624,0.02338,0.03275
252,252,2017,Single-person household,No,0.89146,3484,15624,0.86638,0.91099
253,253,2017,Couple without children,"Yes, Regularly",0.05627,271,15624,0.0499,0.06173
254,254,2017,Couple without children,"Yes, Occasionally",0.02322,94,15624,0.01915,0.02774
255,255,2017,Couple without children,No,0.92051,4242,15624,0.89175,0.94688
256,256,2017,Single parent,"Yes, Regularly",0.03714,59,15624,0.02919,0.04776
257,257,2017,Single parent,No,0.96286,1462,15624,0.9086,1.02084
258,258,2017,Couple with children,"Yes, Regularly",0.06138,328,15624,0.05329,0.06864
259,259,2017,Couple with children,"Yes, Occasionally",0.01381,55,15624,0.00865,0.01975
260,260,2017,Couple with children,No,0.92481,4928,15624,0.89271,0.95949
261,261,2017,Multi-generational household,No,1.0,109,15624,0.79145,1.28187
262,262,2017,Other Combinations,No,1.0,251,15624,0.89841,1.10906
263,263,2018,Single-person household,"Yes, Regularly",0.08893,283,15398,0.08163,0.09593
264,264,2018,Single-person household,"Yes, Occasionally",0.0265,89,15398,0.02276,0.03062
265,265,2018,Single-person household,No,0.88457,3642,15398,0.86148,0.90728
266,266,2018,Couple without children,"Yes, Regularly",0.06786,287,15398,0.06027,0.07507
267,267,2018,Couple without children,"Yes, Occasionally",0.01856,81,15398,0.01456,0.02244
268,268,2018,Couple without children,No,0.91359,4173,15398,0.89215,0.9402
269,269,2018,Single parent,"Yes, Regularly",0.04551,56,15398,0.03514,0.05858
270,270,2018,Single parent,No,0.95449,1440,15398,0.90186,1.00995
271,271,2018,Couple with children,"Yes, Regularly",0.07003,326,15398,0.0611,0.0815
272,272,2018,Couple with children,"Yes, Occasionally",0.01339,71,15398,0.00987,0.01718
273,273,2018,Couple with children,No,0.91658,4618,15398,0.87922,0.94988
274,274,2018,Multi-generational household,No,1.0,113,15398,0.81119,1.18955
275,275,2018,Other Combinations,No,1.0,219,15398,0.88473,1.15011
276,276,2019,Single-person household,"Yes, Regularly",0.09263,330,16052,0.08362,0.10173
277,277,2019,Single-person household,"Yes, Occasionally",0.02758,109,16052,0.02326,0.03077
278,278,2019,Single-person household,No,0.87979,3691,16052,0.85541,0.90513
279,279,2019,Couple without children,"Yes, Regularly",0.06404,435,16052,0.05617,0.07366
280,280,2019,Couple without children,"Yes, Occasionally",0.02233,136,16052,0.01744,0.02817
281,281,2019,Couple without children,No,0.91363,4504,16052,0.88108,0.94602
282,282,2019,Single parent,"Yes, Regularly",0.04581,73,16052,0.0329,0.06053
283,283,2019,Single parent,No,0.95419,1320,16052,0.8802,1.02311
284,284,2019,Couple with children,"Yes, Regularly",0.07934,521,16052,0.07081,0.09153
285,285,2019,Couple with children,"Yes, Occasionally",0.01353,99,16052,0.00974,0.01854
286,286,2019,Couple with children,No,0.90712,4527,16052,0.87002,0.93934
287,287,2019,Multi-generational household,No,1.0,101,16052,0.74883,1.25478
288,288,2019,Other Combinations,No,1.0,206,16052,0.86342,1.13143
289,289,2020,Single-person household,"Yes, Regularly",0.08312,303,16203,0.07496,0.09376
290,290,2020,Single-person household,"Yes, Occasionally",0.02641,91,16203,0.02163,0.03129
291,291,2020,Single-person household,No,0.89047,4195,16203,0.86313,0.92024
292,292,2020,Couple without children,"Yes, Regularly",0.06685,359,16203,0.05909,0.07728
293,293,2020,Couple without children,"Yes, Occasionally",0.0197,101,16203,0.01489,0.02495
294,294,2020,Couple without children,No,0.91345,4546,16203,0.88148,0.94958
295,295,2020,Single parent,"Yes, Regularly",0.05042,64,16203,0.03541,0.06871
296,296,2020,Single parent,No,0.94958,1260,16203,0.89344,1.02525
297,297,2020,Couple with children,"Yes, Regularly",0.07464,397,16203,0.06431,0.0857
298,298,2020,Couple with children,"Yes, Occasionally",0.01641,108,16203,0.01199,0.02095
299,299,2020,Couple with children,No,0.90894,4380,16203,0.86841,0.94603
300,300,2020,Multi-generational household,No,1.0,114,16203,0.75596,1.23674
301,301,2020,Other Combinations,No,1.0,285,16203,0.87371,1.16075
302,302,2021,Single-person household,"Yes, Regularly",0.09675,237,10934,0.08586,0.10835
303,303,2021,Single-person household,"Yes, Occasionally",0.03204,85,10934,0.02577,0.03844
304,304,2021,Single-person household,No,0.8712,2878,10934,0.83681,0.90666
305,305,2021,Couple without children,"Yes, Regularly",0.07296,279,10934,0.06405,0.08286
306,306,2021,Couple without children,"Yes, Occasionally",0.02496,90,10934,0.01939,0.03126
307,307,2021,Couple without children,No,0.90209,3036,10934,0.86925,0.93642
308,308,2021,Single parent,"Yes, Regularly",0.03542,40,10934,0.0247,0.04874
309,309,2021,Single parent,No,0.96458,838,10934,0.88368,1.05385
310,310,2021,Couple with children,"Yes, Regularly",0.07778,269,10934,0.06494,0.09607
311,311,2021,Couple with children,"Yes, Occasionally",0.01367,57,10934,0.00966,0.01917
312,312,2021,Couple with children,No,0.90855,2821,10934,0.86346,0.94536
313,313,2021,Multi-generational household,No,1.0,71,10934,0.70234,1.43614
314,314,2021,Other Combinations,No,1.0,233,10934,0.85102,1.13446
