year,sampreg,hlf0261,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2005,West,No,0.88259,7418,11164,0,0.86772,0,0.89749
2005,East,"Yes, Regularly",0.01821,51,11164,0,0.01432,0,0.02315
2005,East,"Yes, Occasionally",0.01681,37,11164,0,0.01302,0,0.02087
2005,East,No,0.96497,2592,11164,0,0.93633,0,0.99050
2006,West,"Yes, Regularly",0.07010,729,12230,0,0.06524,0,0.07442
2006,West,"Yes, Occasionally",0.04418,404,12230,0,0.04084,0,0.04748
2006,West,No,0.88572,8175,12230,0,0.87379,0,0.89928
2006,East,"Yes, Regularly",0.02102,57,12230,0,0.01682,0,0.02469
2006,East,"Yes, Occasionally",0.01479,38,12230,0,0.01118,0,0.01922
2006,East,No,0.96419,2827,12230,0,0.93863,0,0.99414
2007,West,"Yes, Regularly",0.08009,740,11411,0,0.07522,0,0.08582
2007,West,"Yes, Occasionally",0.04219,368,11411,0,0.03907,0,0.04584
2007,West,No,0.87771,7547,11411,0,0.86438,0,0.89080
2007,East,"Yes, Regularly",0.01933,62,11411,0,0.01575,0,0.02416
2007,East,"Yes, Occasionally",0.01621,39,11411,0,0.01303,0,0.01951
2007,East,No,0.96446,2655,11411,0,0.93259,0,0.99541
2008,West,"Yes, Regularly",0.07229,652,10771,0,0.06755,0,0.07708
2008,West,"Yes, Occasionally",0.04460,342,10771,0,0.04156,0,0.04824
2008,West,No,0.88310,7135,10771,0,0.86856,0,0.89939
2008,East,"Yes, Regularly",0.01965,53,10771,0,0.01519,0,0.02390
2008,East,"Yes, Occasionally",0.01586,43,10771,0,0.01185,0,0.02030
2008,East,No,0.96449,2546,10771,0,0.93386,0,0.99317
2009,West,"Yes, Regularly",0.08241,651,10037,0,0.07672,0,0.08823
2009,West,"Yes, Occasionally",0.03814,290,10037,0,0.03412,0,0.04159
2009,West,No,0.87945,6570,10037,0,0.86065,0,0.89823
2009,East,"Yes, Regularly",0.02482,67,10037,0,0.01778,0,0.03165
2009,East,"Yes, Occasionally",0.01252,33,10037,0,0.01008,0,0.01534
2009,East,No,0.96265,2426,10037,0,0.92711,0,0.99582
2010,West,"Yes, Regularly",0.06949,685,13727,0,0.06429,0,0.07520
2010,West,"Yes, Occasionally",0.03337,275,13727,0,0.03044,0,0.03742
2010,West,No,0.89714,9641,13727,0,0.87750,0,0.91282
2010,East,"Yes, Regularly",0.02347,75,13727,0,0.01771,0,0.02959
2010,East,No,0.97653,3051,13727,0,0.94003,0,1.01889
2011,West,"Yes, Regularly",0.07395,923,16575,0,0.06927,0,0.07808
2011,West,"Yes, Occasionally",0.03052,327,16575,0,0.02781,0,0.03319
2011,West,No,0.89553,11584,16575,0,0.87719,0,0.91100
2011,East,"Yes, Regularly",0.02580,106,16575,0,0.02174,0,0.03074
2011,East,"Yes, Occasionally",0.01077,37,16575,0,0.00817,0,0.01375
2011,East,No,0.96343,3598,16575,0,0.92678,0,1.00028
2012,West,"Yes, Regularly",0.06996,863,16268,0,0.06544,0,0.07406
2012,West,"Yes, Occasionally",0.02826,305,16268,0,0.02532,0,0.03141
2012,West,No,0.90178,11395,16268,0,0.88481,0,0.92081
2012,East,"Yes, Regularly",0.02343,92,16268,0,0.01934,0,0.02794
2012,East,"Yes, Occasionally",0.01073,39,16268,0,0.00814,0,0.01376
2012,East,No,0.96584,3574,16268,0,0.93259,0,0.99554
2013,West,"Yes, Regularly",0.07831,946,17825,0,0.07277,0,0.08446
2013,West,"Yes, Occasionally",0.02883,313,17825,0,0.02611,0,0.03148
2013,West,No,0.89286,12915,17825,0,0.87570,0,0.91105
2013,East,"Yes, Regularly",0.03151,114,17825,0,0.02665,0,0.03702
2013,East,"Yes, Occasionally",0.01078,38,17825,0,0.00819,0,0.01353
2013,East,No,0.95771,3499,17825,0,0.92104,0,0.99316
2014,West,"Yes, Regularly",0.07636,887,15795,0,0.07149,0,0.08134
2014,West,"Yes, Occasionally",0.02779,276,15795,0,0.02493,0,0.03149
2014,West,No,0.89585,11260,15795,0,0.87973,0,0.91298
2014,East,"Yes, Regularly",0.03062,106,15795,0,0.02577,0,0.03614
2014,East,"Yes, Occasionally",0.00926,33,15795,0,0.00623,0,0.01346
2014,East,No,0.96011,3233,15795,0,0.92528,0,0.99149
2015,West,"Yes, Regularly",0.08095,877,15738,0,0.07592,0,0.08713
2015,West,"Yes, Occasionally",0.02594,235,15738,0,0.02311,0,0.02896
2015,West,No,0.89311,11353,15738,0,0.87494,0,0.90828
2015,East,"Yes, Regularly",0.02686,87,15738,0,0.02174,0,0.03270
2015,East,"Yes, Occasionally",0.01357,32,15738,0,0.00999,0,0.01823
2015,East,No,0.95957,3154,15738,0,0.92500,0,0.99520
2016,West,"Yes, Regularly",0.07445,777,14249,0,0.06967,0,0.08019
2016,West,"Yes, Occasionally",0.02141,202,14249,0,0.01897,0,0.02428
2016,West,No,0.90414,10234,14249,0,0.88400,0,0.92127
2016,East,"Yes, Regularly",0.03283,95,14249,0,0.02732,0,0.03888
2016,East,No,0.96717,2941,14249,0,0.92623,0,1.00472
2017,West,"Yes, Regularly",0.07309,814,15654,0,0.06701,0,0.07928
2017,West,"Yes, Occasionally",0.02417,227,15654,0,0.02123,0,0.02742
2017,West,No,0.90274,11200,15654,0,0.87994,0,0.92044
2017,East,"Yes, Regularly",0.03044,104,15654,0,0.02466,0,0.03661
2017,East,"Yes, Occasionally",0.01357,33,15654,0,0.00934,0,0.01758
2017,East,No,0.95599,3276,15654,0,0.91843,0,0.99260
2018,West,"Yes, Regularly",0.08269,858,15425,0,0.07732,0,0.08745
2018,West,"Yes, Occasionally",0.02185,219,15425,0,0.01878,0,0.02454
2018,West,No,0.89545,10927,15425,0,0.87853,0,0.91304
2018,East,"Yes, Regularly",0.04063,107,15425,0,0.03379,0,0.04870
2018,East,"Yes, Occasionally",0.01213,36,15425,0,0.00886,0,0.01566
2018,East,No,0.94724,3278,15425,0,0.91396,0,0.98055
2019,West,"Yes, Regularly",0.08625,1177,16031,0,0.07874,0,0.09311
2019,West,"Yes, Occasionally",0.02425,324,16031,0,0.02084,0,0.02737
2019,West,No,0.88949,10954,16031,0,0.86574,0,0.90948
2019,East,"Yes, Regularly",0.03802,198,16031,0,0.03088,0,0.04598
2019,East,"Yes, Occasionally",0.01204,42,16031,0,0.00805,0,0.01604
2019,East,No,0.94994,3336,16031,0,0.91085,0,0.99325
2020,West,"Yes, Regularly",0.07925,969,16231,0,0.07323,0,0.08582
2020,West,"Yes, Occasionally",0.02320,267,16231,0,0.02014,0,0.02660
2020,West,No,0.89755,11567,16231,0,0.87840,0,0.91919
2020,East,"Yes, Regularly",0.04728,168,16231,0,0.03888,0,0.05866
2020,East,"Yes, Occasionally",0.00954,47,16231,0,0.00627,0,0.01389
2020,East,No,0.94318,3213,16231,0,0.89705,0,0.99112
2021,West,"Yes, Regularly",0.08560,714,11076,0,0.07725,0,0.09327
2021,West,"Yes, Occasionally",0.02812,223,11076,0,0.02395,0,0.03215
2021,West,No,0.88627,7747,11076,0,0.86474,0,0.91426
2021,East,"Yes, Regularly",0.06135,137,11076,0,0.04895,0,0.07500
2021,East,"Yes, Occasionally",0.01073,32,11076,0,0.00730,0,0.01422
2021,East,No,0.92792,2223,11076,0,0.88303,0,0.97362
