year,regtyp,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Urban regions,"Yes, Occasionally",0.04373,339,8144,0.03929,0.04817
2006,Urban regions,No,0.88414,7168,8144,0.87719,0.89110
2006,Rural regions,"Yes, Regularly",0.03602,149,4086,0.03031,0.04174
2006,Rural regions,"Yes, Occasionally",0.02745,103,4086,0.02244,0.03247
2006,Rural regions,No,0.93652,3834,4086,0.92904,0.94400
2007,Urban regions,"Yes, Regularly",0.08166,638,7576,0.07549,0.08783
2007,Urban regions,"Yes, Occasionally",0.04402,328,7576,0.03940,0.04864
2007,Urban regions,No,0.87432,6610,7576,0.86685,0.88178
2007,Rural regions,"Yes, Regularly",0.04023,164,3835,0.03401,0.04645
2007,Rural regions,"Yes, Occasionally",0.02260,79,3835,0.01789,0.02730
2007,Rural regions,No,0.93717,3592,3835,0.92949,0.94485
2008,Urban regions,"Yes, Regularly",0.07295,567,7151,0.06693,0.07898
2008,Urban regions,"Yes, Occasionally",0.04459,293,7151,0.03980,0.04937
2008,Urban regions,No,0.88246,6291,7151,0.87500,0.88993
2008,Rural regions,"Yes, Regularly",0.03938,138,3620,0.03305,0.04572
2008,Rural regions,"Yes, Occasionally",0.02746,92,3620,0.02214,0.03279
2008,Rural regions,No,0.93315,3390,3620,0.92501,0.94129
2009,Urban regions,"Yes, Regularly",0.08827,577,6595,0.08143,0.09512
2009,Urban regions,"Yes, Occasionally",0.03693,251,6595,0.03238,0.04148
2009,Urban regions,No,0.87479,5767,6595,0.86681,0.88278
2009,Rural regions,"Yes, Regularly",0.03512,141,3442,0.02897,0.04127
2009,Rural regions,"Yes, Occasionally",0.02544,72,3442,0.02018,0.03070
2009,Rural regions,No,0.93945,3229,3442,0.93148,0.94742
2010,Urban regions,"Yes, Regularly",0.07119,608,9057,0.06589,0.07649
2010,Urban regions,"Yes, Occasionally",0.03392,243,9057,0.03019,0.03764
2010,Urban regions,No,0.89489,8206,9057,0.88858,0.90121
2010,Rural regions,"Yes, Regularly",0.03827,152,4698,0.03278,0.04376
2010,Rural regions,"Yes, Occasionally",0.01805,60,4698,0.01424,0.02186
2010,Rural regions,No,0.94368,4486,4698,0.93709,0.95027
2011,Urban regions,"Yes, Regularly",0.07499,806,10740,0.07001,0.07997
2011,Urban regions,"Yes, Occasionally",0.03018,278,10740,0.02695,0.03342
2011,Urban regions,No,0.89483,9656,10740,0.88903,0.90063
2011,Rural regions,"Yes, Regularly",0.04358,223,5835,0.03834,0.04882
2011,Rural regions,"Yes, Occasionally",0.01979,86,5835,0.01622,0.02336
2011,Rural regions,No,0.93663,5526,5835,0.93038,0.94288
2012,Urban regions,"Yes, Regularly",0.06956,731,10429,0.06468,0.07444
2012,Urban regions,"Yes, Occasionally",0.02772,258,10429,0.02457,0.03087
2012,Urban regions,No,0.90272,9440,10429,0.89703,0.90840
2012,Rural regions,"Yes, Regularly",0.04420,224,5839,0.03893,0.04947
2012,Rural regions,"Yes, Occasionally",0.01922,86,5839,0.01570,0.02275
2012,Rural regions,No,0.93657,5529,5839,0.93032,0.94283
2013,Urban regions,"Yes, Regularly",0.08059,811,11821,0.07568,0.08550
2013,Urban regions,"Yes, Occasionally",0.02723,260,11821,0.02429,0.03016
2013,Urban regions,No,0.89219,10750,11821,0.88660,0.89778
2013,Rural regions,"Yes, Regularly",0.04747,249,6004,0.04209,0.05285
2013,Rural regions,"Yes, Occasionally",0.02195,91,6004,0.01824,0.02565
2013,Rural regions,No,0.93059,5664,6004,0.92416,0.93702
2014,Urban regions,"Yes, Regularly",0.07948,774,10376,0.07427,0.08468
2014,Urban regions,"Yes, Occasionally",0.02608,224,10376,0.02301,0.02915
2014,Urban regions,No,0.89444,9378,10376,0.88853,0.90036
2014,Rural regions,"Yes, Regularly",0.04434,219,5419,0.03886,0.04982
2014,Rural regions,"Yes, Occasionally",0.02098,85,5419,0.01716,0.02479
2014,Rural regions,No,0.93468,5115,5419,0.92811,0.94126
2015,Urban regions,"Yes, Regularly",0.07885,725,10362,0.07366,0.08404
2015,Urban regions,"Yes, Occasionally",0.02712,205,10362,0.02400,0.03025
2015,Urban regions,No,0.89403,9432,10362,0.88810,0.89995
2015,Rural regions,"Yes, Regularly",0.05484,239,5376,0.04875,0.06093
2015,Rural regions,"Yes, Occasionally",0.01654,62,5376,0.01313,0.01995
2015,Rural regions,No,0.92862,5075,5376,0.92173,0.93550
2016,Urban regions,"Yes, Regularly",0.07370,653,9364,0.06841,0.07899
2016,Urban regions,"Yes, Occasionally",0.02078,170,9364,0.01789,0.02367
2016,Urban regions,No,0.90552,8541,9364,0.89959,0.91144
2016,Rural regions,"Yes, Regularly",0.05306,219,4913,0.04679,0.05933
2016,Rural regions,"Yes, Occasionally",0.01573,60,4913,0.01225,0.01921
2016,Rural regions,No,0.93120,4634,4913,0.92413,0.93828
2017,Urban regions,"Yes, Regularly",0.07165,695,10228,0.06665,0.07664
2017,Urban regions,"Yes, Occasionally",0.02598,200,10228,0.02290,0.02906
2017,Urban regions,No,0.90238,9333,10228,0.89662,0.90813
2017,Rural regions,"Yes, Regularly",0.05220,223,5426,0.04628,0.05812
2017,Rural regions,"Yes, Occasionally",0.01344,60,5426,0.01038,0.01651
2017,Rural regions,No,0.93435,5143,5426,0.92776,0.94095
2018,Urban regions,"Yes, Regularly",0.08351,738,10160,0.07813,0.08889
2018,Urban regions,"Yes, Occasionally",0.02211,195,10160,0.01925,0.02497
2018,Urban regions,No,0.89438,9227,10160,0.88840,0.90036
2018,Rural regions,"Yes, Regularly",0.05720,227,5265,0.05092,0.06347
2018,Rural regions,"Yes, Occasionally",0.01562,60,5265,0.01227,0.01897
2018,Rural regions,No,0.92718,4978,5265,0.92016,0.93420
2019,No answer / don't know,"Yes, Regularly",0.09168,39,457,0.06520,0.11817
2019,No answer / don't know,No,0.88693,418,457,0.85787,0.91600
2019,Urban regions,"Yes, Regularly",0.08635,1009,10292,0.08092,0.09178
2019,Urban regions,"Yes, Occasionally",0.02305,268,10292,0.02015,0.02595
2019,Urban regions,No,0.89060,9015,10292,0.88457,0.89663
2019,Rural regions,"Yes, Regularly",0.05801,329,5335,0.05173,0.06428
2019,Rural regions,"Yes, Occasionally",0.02009,90,5335,0.01633,0.02386
2019,Rural regions,No,0.92190,4916,5335,0.91470,0.92910
2020,Urban regions,"Yes, Regularly",0.08311,862,10962,0.07795,0.08828
2020,Urban regions,"Yes, Occasionally",0.02232,246,10962,0.01956,0.02509
2020,Urban regions,No,0.89456,9854,10962,0.88881,0.90031
2020,Rural regions,"Yes, Regularly",0.05315,275,5269,0.04709,0.05920
2020,Rural regions,"Yes, Occasionally",0.01719,68,5269,0.01368,0.02070
2020,Rural regions,No,0.92966,4926,5269,0.92276,0.93657
2021,Urban regions,"Yes, Regularly",0.08662,617,7421,0.08022,0.09302
2021,Urban regions,"Yes, Occasionally",0.02667,194,7421,0.02301,0.03034
2021,Urban regions,No,0.88671,6610,7421,0.87949,0.89392
2021,Rural regions,"Yes, Regularly",0.06816,234,3654,0.05999,0.07633
2021,Rural regions,"Yes, Occasionally",0.02126,61,3654,0.01658,0.02594
2021,Rural regions,No,0.91058,3359,3654,0.90132,0.91983
2022,Urban regions,"Yes, Regularly",0.07155,849,13159,0.06714,0.07595
2022,Urban regions,"Yes, Occasionally",0.03241,352,13159,0.02939,0.03544
2022,Urban regions,No,0.89604,11958,13159,0.89082,0.90125
2022,Rural regions,"Yes, Regularly",0.06226,291,6071,0.05618,0.06834
2022,Rural regions,"Yes, Occasionally",0.01704,99,6071,0.01378,0.02029
2022,Rural regions,No,0.92071,5681,6071,0.91391,0.92750
