year,hhtyp,rentown,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single parent,Not included in this version of the questionnaire,No,0.32484,52,183,0.25680,0.39288
2016,Single parent,Owner,Yes,0.90611,360,360,0.87594,0.93628
2016,Single parent,Tenant,Yes,0.88588,1041,1142,0.86743,0.90433
2016,Single parent,Tenant,No,0.11412,101,1142,0.09567,0.13257
2016,Couple with children,Not included in this version of the questionnaire,Yes,0.78257,979,1210,0.75932,0.80582
2016,Couple with children,Not included in this version of the questionnaire,No,0.21743,231,1210,0.19418,0.24068
2016,Couple with children,Owner,Yes,0.98809,2630,2662,0.98397,0.99222
2016,Couple with children,Owner,No,0.01191,32,2662,0.00778,0.01603
2016,Couple with children,Tenant,Yes,0.94932,2240,2325,0.94040,0.95823
2016,Couple with children,Tenant,No,0.05068,85,2325,0.04177,0.05960
2016,Multi-generational household,Owner,Yes,0.97603,50,50,0.93320,1.01886
2016,Multi-generational household,Tenant,Yes,0.98014,54,54,0.94257,1.01770
2016,Other Combinations,Not included in this version of the questionnaire,Yes,0.73907,147,189,0.67630,0.80184
2016,Other Combinations,Not included in this version of the questionnaire,No,0.26093,42,189,0.19816,0.32370
2016,Other Combinations,Owner,Yes,0.87715,43,43,0.77787,0.97643
2016,Other Combinations,Tenant,Yes,0.88818,129,129,0.83358,0.94278
2017,Single-person household,Not included in this version of the questionnaire,Yes,0.64080,110,158,0.56575,0.71584
2017,Single-person household,Not included in this version of the questionnaire,No,0.35920,48,158,0.28416,0.43425
2017,Single-person household,Owner,Yes,0.63043,695,1015,0.60072,0.66014
2017,Single-person household,Owner,No,0.36957,320,1015,0.33986,0.39928
2017,Single-person household,Tenant,Yes,0.67726,2271,3111,0.66082,0.69369
2017,Single-person household,Tenant,No,0.32274,840,3111,0.30631,0.33918
2017,Couple without children,Owner,Yes,0.89118,2270,2525,0.87903,0.90333
2017,Couple without children,Owner,No,0.10882,255,2525,0.09667,0.12097
2017,Couple without children,Tenant,Yes,0.84717,1850,2147,0.83194,0.86239
2017,Couple without children,Tenant,No,0.15283,297,2147,0.13761,0.16806
2017,Single parent,Not included in this version of the questionnaire,Yes,0.66117,45,45,0.52131,0.80102
2017,Single parent,Owner,Yes,0.93564,390,390,0.91125,0.96002
2017,Single parent,Tenant,Yes,0.90701,1183,1289,0.89115,0.92287
2017,Single parent,Tenant,No,0.09299,106,1289,0.07713,0.10885
2017,Couple with children,Not included in this version of the questionnaire,Yes,0.82698,328,392,0.78949,0.86447
2017,Couple with children,Not included in this version of the questionnaire,No,0.17302,64,392,0.13553,0.21051
2017,Couple with children,Owner,Yes,0.99166,2927,2927,0.98837,0.99496
2017,Couple with children,Tenant,Yes,0.96443,3353,3478,0.95827,0.97059
2017,Couple with children,Tenant,No,0.03557,125,3478,0.02941,0.04173
2017,Multi-generational household,Owner,Yes,0.98363,55,55,0.94979,1.01748
2017,Multi-generational household,Tenant,Yes,0.95689,80,80,0.91211,1.00168
2017,Other Combinations,Not included in this version of the questionnaire,Yes,0.76547,106,106,0.68442,0.84651
2017,Other Combinations,Owner,Yes,0.86532,82,82,0.79097,0.93966
2017,Other Combinations,Tenant,Yes,0.90568,265,265,0.87043,0.94094
2018,Single-person household,Owner,Yes,0.65194,720,1007,0.62250,0.68137
2018,Single-person household,Owner,No,0.34806,287,1007,0.31863,0.37750
2018,Single-person household,Tenant,Yes,0.69633,2604,3447,0.68098,0.71169
2018,Single-person household,Tenant,No,0.30367,843,3447,0.28831,0.31902
2018,Couple without children,Owner,Yes,0.90396,2256,2462,0.89232,0.91560
2018,Couple without children,Owner,No,0.09604,206,2462,0.08440,0.10768
2018,Couple without children,Tenant,Yes,0.85890,1904,2171,0.84425,0.87355
2018,Couple without children,Tenant,No,0.14110,267,2171,0.12645,0.15575
2018,Single parent,Owner,Yes,0.94612,370,370,0.92308,0.96916
2018,Single parent,Tenant,Yes,0.92419,1257,1355,0.91010,0.93829
2018,Single parent,Tenant,No,0.07581,98,1355,0.06171,0.08990
2018,Couple with children,Owner,Yes,0.98926,2736,2736,0.98540,0.99312
2018,Couple with children,Tenant,Yes,0.96435,3577,3704,0.95838,0.97032
2018,Couple with children,Tenant,No,0.03565,127,3704,0.02968,0.04162
2018,Multi-generational household,Owner,Yes,0.97351,53,53,0.92986,1.01716
2018,Multi-generational household,Tenant,Yes,0.99359,103,103,0.97810,1.00908
2018,Other Combinations,Owner,Yes,0.87536,77,77,0.80110,0.94963
2018,Other Combinations,Tenant,Yes,0.91579,300,300,0.88432,0.94727
2019,Single-person household,Owner,Yes,0.68610,925,1186,0.65968,0.71253
2019,Single-person household,Owner,No,0.31390,261,1186,0.28747,0.34032
2019,Single-person household,Tenant,Yes,0.73869,2727,3403,0.72393,0.75345
2019,Single-person household,Tenant,No,0.26131,676,3403,0.24655,0.27607
2019,Couple without children,Owner,Yes,0.92302,2805,2981,0.91345,0.93259
2019,Couple without children,Owner,No,0.07698,176,2981,0.06741,0.08655
2019,Couple without children,Tenant,Yes,0.87876,1969,2186,0.86507,0.89245
2019,Couple without children,Tenant,No,0.12124,217,2186,0.10755,0.13493
2019,Single parent,Owner,Yes,0.97849,384,384,0.96396,0.99302
2019,Single parent,Tenant,Yes,0.94001,1168,1230,0.92673,0.95329
2019,Single parent,Tenant,No,0.05999,62,1230,0.04671,0.07327
2019,Couple with children,Owner,Yes,0.99612,3148,3148,0.99395,0.99829
2019,Couple with children,Tenant,Yes,0.98104,3294,3361,0.97643,0.98565
2019,Couple with children,Tenant,No,0.01896,67,3361,0.01435,0.02357
2019,Multi-generational household,Owner,Yes,0.94461,53,53,0.88244,1.00678
2019,Multi-generational household,Tenant,Yes,0.96689,80,80,0.92743,1.00634
2019,Other Combinations,Owner,Yes,0.96073,95,95,0.92146,1.00000
2019,Other Combinations,Tenant,Yes,0.93680,251,251,0.90664,0.96696
2020,Single-person household,Tenant,Yes,0.83322,622,733,0.80621,0.86022
2020,Single-person household,Tenant,No,0.16678,111,733,0.13978,0.19379
2020,Couple without children,Tenant,Yes,0.93899,129,129,0.89752,0.98045
2020,Single parent,Tenant,Yes,0.95401,247,247,0.92783,0.98019
2020,Couple with children,Tenant,Yes,0.98130,1604,1637,0.97474,0.98787
2020,Couple with children,Tenant,No,0.01870,33,1637,0.01213,0.02526
2020,Other Combinations,Tenant,Yes,0.96810,175,175,0.94199,0.99421
2021,No answer / don't know,Tenant,Yes,0.99330,46,46,0.96946,1.01714
2021,Single-person household,Owner,Yes,0.78774,726,862,0.76042,0.81505
2021,Single-person household,Owner,No,0.21226,136,862,0.18495,0.23958
2021,Single-person household,Tenant,Yes,0.79393,2304,2668,0.77858,0.80928
2021,Single-person household,Tenant,No,0.20607,364,2668,0.19072,0.22142
2021,Couple without children,Owner,Yes,0.94443,1844,1925,0.93419,0.95466
2021,Couple without children,Owner,No,0.05557,81,1925,0.04534,0.06581
2021,Couple without children,Tenant,Yes,0.92436,1466,1557,0.91122,0.93750
2021,Couple without children,Tenant,No,0.07564,91,1557,0.06250,0.08878
2021,Single parent,Owner,Yes,0.95537,245,245,0.92946,0.98128
2021,Single parent,Tenant,Yes,0.94575,741,777,0.92981,0.96169
2021,Single parent,Tenant,No,0.05425,36,777,0.03831,0.07019
2021,Couple with children,Owner,Yes,0.99746,1891,1891,0.99519,0.99973
2021,Couple with children,Tenant,Yes,0.98333,2088,2088,0.97784,0.98882
2021,Other Combinations,Owner,Yes,0.93307,104,104,0.88481,0.98133
2021,Other Combinations,Tenant,Yes,0.95070,238,238,0.92314,0.97826
