year,regtyp,sampreg,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Rural regions,West,No,0.27451,562,3254,0.25918,0.28985
2014,Rural regions,East,Yes,0.62095,1562,2160,0.60049,0.64142
2014,Rural regions,East,No,0.37905,598,2160,0.35858,0.39951
2015,Urban regions,West,Yes,0.79109,7989,9164,0.78277,0.79942
2015,Urban regions,West,No,0.20891,1175,9164,0.20058,0.21723
2015,Urban regions,East,Yes,0.74858,971,1193,0.72395,0.77321
2015,Urban regions,East,No,0.25142,222,1193,0.22679,0.27605
2015,Rural regions,West,Yes,0.76154,2808,3298,0.74700,0.77609
2015,Rural regions,West,No,0.23846,490,3298,0.22391,0.25300
2015,Rural regions,East,Yes,0.65449,1535,2066,0.63397,0.67500
2015,Rural regions,East,No,0.34551,531,2066,0.32500,0.36603
2016,Urban regions,West,Yes,0.80776,8299,9548,0.79985,0.81566
2016,Urban regions,West,No,0.19224,1249,9548,0.18434,0.20015
2016,Urban regions,East,Yes,0.78044,1028,1261,0.75758,0.80329
2016,Urban regions,East,No,0.21956,233,1261,0.19671,0.24242
2016,Rural regions,West,Yes,0.78314,2875,3376,0.76924,0.79705
2016,Rural regions,West,No,0.21686,501,3376,0.20295,0.23076
2016,Rural regions,East,Yes,0.70266,1645,2196,0.68354,0.72179
2016,Rural regions,East,No,0.29734,551,2196,0.27821,0.31646
2017,Urban regions,West,Yes,0.83152,9552,10617,0.82440,0.83864
2017,Urban regions,West,No,0.16848,1065,10617,0.16136,0.17560
2017,Urban regions,East,Yes,0.79702,1196,1403,0.77597,0.81808
2017,Urban regions,East,No,0.20298,207,1403,0.18192,0.22403
2017,Rural regions,West,Yes,0.79793,3402,3843,0.78523,0.81063
2017,Rural regions,West,No,0.20207,441,3843,0.18937,0.21477
2017,Rural regions,East,Yes,0.72718,1906,2390,0.70932,0.74504
2017,Rural regions,East,No,0.27282,484,2390,0.25496,0.29068
2018,Urban regions,West,Yes,0.84282,9580,10509,0.83586,0.84978
2018,Urban regions,West,No,0.15718,929,10509,0.15022,0.16414
2018,Urban regions,East,Yes,0.83027,1237,1417,0.81072,0.84982
2018,Urban regions,East,No,0.16973,180,1417,0.15018,0.18928
2018,Rural regions,West,Yes,0.80150,3201,3579,0.78843,0.81457
2018,Rural regions,West,No,0.19850,378,3579,0.18543,0.21157
2018,Rural regions,East,Yes,0.74781,1939,2357,0.73028,0.76535
2018,Rural regions,East,No,0.25219,418,2357,0.23465,0.26972
2019,No answer / don't know,Does not apply,Yes,0.96213,61,61,0.91383,1.01043
2019,No answer / don't know,West,Yes,0.89139,317,317,0.85708,0.92569
2019,No answer / don't know,East,Yes,0.92178,62,62,0.85440,0.98917
2019,Urban regions,West,Yes,0.86360,9818,10544,0.85705,0.87015
2019,Urban regions,West,No,0.13640,726,10544,0.12985,0.14295
2019,Urban regions,East,Yes,0.84973,1285,1424,0.83116,0.86830
2019,Urban regions,East,No,0.15027,139,1424,0.13170,0.16884
2019,Rural regions,West,Yes,0.84320,3287,3567,0.83126,0.85513
2019,Rural regions,West,No,0.15680,280,3567,0.14487,0.16874
2019,Rural regions,East,Yes,0.76803,2070,2415,0.75119,0.78487
2019,Rural regions,East,No,0.23197,345,2415,0.21513,0.24881
2021,Urban regions,West,Yes,0.90278,7233,7585,0.89611,0.90945
2021,Urban regions,West,No,0.09722,352,7585,0.09055,0.10389
2021,Urban regions,East,Yes,0.90389,968,1031,0.88589,0.92189
2021,Urban regions,East,No,0.09611,63,1031,0.07811,0.11411
2021,Rural regions,West,Yes,0.85670,2220,2385,0.84263,0.87076
2021,Rural regions,West,No,0.14330,165,2385,0.12924,0.15737
2021,Rural regions,East,Yes,0.84864,1382,1557,0.83083,0.86644
2021,Rural regions,East,No,0.15136,175,1557,0.13356,0.16917
