year,hhtyp,regtyp,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Single-person household,Urban regions,Yes,0.59837,1560,2416,0.57882,0.61793
2014,Single-person household,Urban regions,No,0.39540,856,2416,0.37590,0.41490
2014,Single-person household,Rural regions,Yes,0.47634,564,1138,0.44731,0.50538
2014,Single-person household,Rural regions,No,0.52038,574,1138,0.49134,0.54941
2014,Couple without children,Urban regions,Yes,0.80259,2245,2735,0.78767,0.81751
2014,Couple without children,Urban regions,No,0.19089,490,2735,0.17615,0.20562
2014,Couple without children,Rural regions,Yes,0.72616,1175,1608,0.70436,0.74797
2014,Couple without children,Rural regions,No,0.27075,433,1608,0.24903,0.29248
2014,Single parent,Urban regions,Yes,0.88044,1086,1177,0.86189,0.89898
2014,Single parent,Urban regions,No,0.11101,91,1177,0.09305,0.12896
2014,Single parent,Rural regions,Yes,0.85858,561,628,0.83130,0.88585
2014,Single parent,Rural regions,No,0.13451,67,628,0.10780,0.16122
2014,Couple with children,Urban regions,Yes,0.97279,3673,3777,0.96760,0.97798
2014,Couple with children,Urban regions,No,0.02564,104,3777,0.02060,0.03069
2014,Couple with children,Rural regions,Yes,0.94349,1841,1914,0.93315,0.95384
2014,Couple with children,Rural regions,No,0.05551,73,1914,0.04525,0.06577
2014,Multi-generational household,Urban regions,Yes,0.80833,62,62,0.70955,0.90711
2014,Multi-generational household,Rural regions,Yes,0.87959,49,49,0.78752,0.97166
2014,Other Combinations,Urban regions,Yes,0.85578,170,170,0.80281,0.90875
2014,Other Combinations,Rural regions,Yes,0.86674,64,64,0.78281,0.95066
2015,Single-person household,Urban regions,Yes,0.62472,1642,2444,0.60551,0.64392
2015,Single-person household,Urban regions,No,0.36543,802,2444,0.34633,0.38452
2015,Single-person household,Rural regions,Yes,0.51733,626,1163,0.48860,0.54606
2015,Single-person household,Rural regions,No,0.47770,537,1163,0.44898,0.50642
2015,Couple without children,Urban regions,Yes,0.84091,2391,2774,0.82730,0.85452
2015,Couple without children,Urban regions,No,0.15645,383,2774,0.14293,0.16998
2015,Couple without children,Rural regions,Yes,0.77547,1253,1586,0.75493,0.79602
2015,Couple without children,Rural regions,No,0.21116,333,1586,0.19107,0.23125
2015,Single parent,Urban regions,Yes,0.91239,1043,1122,0.89584,0.92894
2015,Single parent,Urban regions,No,0.08658,79,1122,0.07012,0.10305
2015,Single parent,Rural regions,Yes,0.81198,518,587,0.78035,0.84362
2015,Single parent,Rural regions,No,0.18802,69,587,0.15638,0.21965
2015,Couple with children,Urban regions,Yes,0.97479,3640,3750,0.96977,0.97981
2015,Couple with children,Urban regions,No,0.02500,110,3750,0.02000,0.02999
2015,Couple with children,Rural regions,Yes,0.96956,1834,1904,0.96184,0.97728
2015,Couple with children,Rural regions,No,0.02922,70,1904,0.02165,0.03678
2015,Multi-generational household,Urban regions,Yes,0.78084,72,72,0.68461,0.87706
2015,Multi-generational household,Rural regions,Yes,0.96857,56,56,0.92245,1.01468
2015,Other Combinations,Urban regions,Yes,0.92755,172,172,0.88869,0.96640
2015,Other Combinations,Rural regions,Yes,0.88177,56,56,0.79644,0.96711
2016,Single-person household,Urban regions,Yes,0.65650,1791,2603,0.63825,0.67475
2016,Single-person household,Urban regions,No,0.33941,812,2603,0.32122,0.35761
2016,Single-person household,Rural regions,Yes,0.56323,690,1194,0.53508,0.59137
2016,Single-person household,Rural regions,No,0.43436,504,1194,0.40623,0.46248
2016,Couple without children,Urban regions,Yes,0.86410,2297,2608,0.85094,0.87725
2016,Couple without children,Urban regions,No,0.13352,311,2608,0.12046,0.14657
2016,Couple without children,Rural regions,Yes,0.80589,1235,1543,0.78615,0.82564
2016,Couple without children,Rural regions,No,0.18831,308,1543,0.16879,0.20782
2016,Single parent,Urban regions,Yes,0.91636,1026,1118,0.90012,0.93259
2016,Single parent,Urban regions,No,0.08364,92,1118,0.06741,0.09988
2016,Single parent,Rural regions,Yes,0.84216,506,589,0.81269,0.87163
2016,Single parent,Rural regions,No,0.15784,83,589,0.12837,0.18731
2016,Couple with children,Urban regions,Yes,0.97013,3902,4121,0.96494,0.97533
2016,Couple with children,Urban regions,No,0.02918,219,4121,0.02404,0.03432
2016,Couple with children,Rural regions,Yes,0.97159,1947,2076,0.96444,0.97874
2016,Couple with children,Rural regions,No,0.02841,129,2076,0.02126,0.03556
2016,Multi-generational household,Urban regions,Yes,0.97040,83,83,0.93372,1.00708
2016,Multi-generational household,Rural regions,Yes,0.98564,51,51,0.95266,1.01862
2016,Other Combinations,Urban regions,Yes,0.86489,228,269,0.82396,0.90582
2016,Other Combinations,Urban regions,No,0.10575,41,269,0.06893,0.14257
2016,Other Combinations,Rural regions,Yes,0.84229,91,91,0.76699,0.91759
2017,Single-person household,Urban regions,Yes,0.69451,2170,2901,0.67775,0.71128
2017,Single-person household,Urban regions,No,0.30535,731,2901,0.28859,0.32211
2017,Single-person household,Rural regions,Yes,0.57716,906,1383,0.55111,0.60321
2017,Single-person household,Rural regions,No,0.41298,477,1383,0.38702,0.43894
2017,Couple without children,Urban regions,Yes,0.88810,2679,2964,0.87675,0.89945
2017,Couple without children,Urban regions,No,0.11035,285,2964,0.09907,0.12163
2017,Couple without children,Rural regions,Yes,0.83780,1471,1742,0.82048,0.85512
2017,Couple without children,Rural regions,No,0.15833,271,1742,0.14118,0.17548
2017,Single parent,Urban regions,Yes,0.92073,1084,1163,0.90519,0.93626
2017,Single parent,Urban regions,No,0.07927,79,1163,0.06374,0.09481
2017,Single parent,Rural regions,Yes,0.90277,534,596,0.87897,0.92658
2017,Single parent,Rural regions,No,0.09642,62,596,0.07271,0.12014
2017,Couple with children,Urban regions,Yes,0.97988,4396,4528,0.97579,0.98397
2017,Couple with children,Urban regions,No,0.01991,132,4528,0.01584,0.02398
2017,Couple with children,Rural regions,Yes,0.97806,2212,2298,0.97207,0.98405
2017,Couple with children,Rural regions,No,0.01971,86,2298,0.01403,0.02540
2017,Multi-generational household,Urban regions,Yes,0.97778,100,100,0.94874,1.00681
2017,Multi-generational household,Rural regions,Yes,0.96522,51,51,0.91443,1.01601
2017,Other Combinations,Urban regions,Yes,0.92123,319,357,0.89325,0.94921
2017,Other Combinations,Urban regions,No,0.07682,38,357,0.04915,0.10448
2017,Other Combinations,Rural regions,Yes,0.79212,134,134,0.72315,0.86108
2018,Single-person household,Urban regions,Yes,0.71664,2401,3077,0.70071,0.73256
2018,Single-person household,Urban regions,No,0.28104,676,3077,0.26516,0.29693
2018,Single-person household,Rural regions,Yes,0.59368,923,1377,0.56773,0.61963
2018,Single-person household,Rural regions,No,0.40512,454,1377,0.37919,0.43106
2018,Couple without children,Urban regions,Yes,0.89433,2674,2928,0.88320,0.90547
2018,Couple without children,Urban regions,No,0.10403,254,2928,0.09297,0.11509
2018,Couple without children,Rural regions,Yes,0.86233,1486,1705,0.84597,0.87869
2018,Couple without children,Rural regions,No,0.13421,219,1705,0.11803,0.15040
2018,Single parent,Urban regions,Yes,0.93625,1118,1182,0.92232,0.95018
2018,Single parent,Urban regions,No,0.06327,64,1182,0.04939,0.07716
2018,Single parent,Rural regions,Yes,0.91449,509,557,0.89125,0.93774
2018,Single parent,Rural regions,No,0.08157,48,557,0.05882,0.10432
2018,Couple with children,Urban regions,Yes,0.98070,4240,4333,0.97660,0.98479
2018,Couple with children,Urban regions,No,0.01930,93,4333,0.01520,0.02340
2018,Couple with children,Rural regions,Yes,0.97296,2073,2131,0.96607,0.97985
2018,Couple with children,Rural regions,No,0.02391,58,2131,0.01743,0.03040
2018,Multi-generational household,Urban regions,Yes,0.97683,108,108,0.94833,1.00534
2018,Other Combinations,Urban regions,Yes,0.96620,276,276,0.94485,0.98756
2018,Other Combinations,Rural regions,Yes,0.73216,101,101,0.64537,0.81896
2019,Single-person household,Urban regions,Yes,0.74570,2441,2990,0.73009,0.76131
2019,Single-person household,Urban regions,No,0.25154,549,2990,0.23598,0.26709
2019,Single-person household,Rural regions,Yes,0.64512,991,1357,0.61965,0.67058
2019,Single-person household,Rural regions,No,0.34857,366,1357,0.32321,0.37394
2019,Couple without children,Urban regions,Yes,0.91094,3003,3206,0.90108,0.92080
2019,Couple without children,Urban regions,No,0.08849,203,3206,0.07865,0.09832
2019,Couple without children,Rural regions,Yes,0.88774,1645,1830,0.87327,0.90221
2019,Couple without children,Rural regions,No,0.10933,185,1830,0.09503,0.12363
2019,Single parent,Urban regions,Yes,0.95342,1040,1082,0.94086,0.96598
2019,Single parent,Urban regions,No,0.04658,42,1082,0.03402,0.05914
2019,Single parent,Rural regions,Yes,0.94362,495,495,0.92328,0.96396
2019,Couple with children,Urban regions,Yes,0.99123,4312,4364,0.98846,0.99399
2019,Couple with children,Urban regions,No,0.00877,52,4364,0.00601,0.01154
2019,Couple with children,Rural regions,Yes,0.98728,2092,2125,0.98252,0.99205
2019,Couple with children,Rural regions,No,0.01272,33,2125,0.00795,0.01748
2019,Multi-generational household,Urban regions,Yes,0.93860,88,88,0.88816,0.98905
2019,Multi-generational household,Rural regions,Yes,0.99013,44,44,0.96058,1.01968
2019,Other Combinations,Urban regions,Yes,0.97635,219,219,0.95617,0.99652
2019,Other Combinations,Rural regions,Yes,0.82718,90,90,0.74862,0.90573
2020,Single-person household,Urban regions,Yes,0.00826,504,599,0.00101,0.01552
2020,Single-person household,Urban regions,No,0.00175,95,599,-0.00160,0.00511
2020,Single-person household,Rural regions,Yes,0.00656,120,120,-0.00795,0.02107
2020,Couple without children,Urban regions,Yes,0.00248,103,103,-0.00717,0.01212
2020,Single parent,Urban regions,Yes,0.01332,203,203,-0.00249,0.02912
2020,Single parent,Rural regions,Yes,0.00681,44,44,-0.01778,0.03140
2020,Couple with children,Urban regions,Yes,0.01978,1245,1245,0.01204,0.02752
2020,Couple with children,Rural regions,Yes,0.01406,371,371,0.00207,0.02606
2020,Other Combinations,Urban regions,Yes,0.05122,141,141,0.01471,0.08774
2020,Other Combinations,Rural regions,Yes,0.03956,35,35,-0.02596,0.10508
2021,Single-person household,Urban regions,Yes,0.82333,2244,2531,0.80847,0.83820
2021,Single-person household,Urban regions,No,0.17233,287,2531,0.15761,0.18704
2021,Single-person household,Rural regions,Yes,0.70948,785,998,0.68130,0.73766
2021,Single-person household,Rural regions,No,0.28849,213,998,0.26036,0.31661
2021,Couple without children,Urban regions,Yes,0.93746,2192,2272,0.92750,0.94742
2021,Couple without children,Urban regions,No,0.06254,80,2272,0.05258,0.07250
2021,Couple without children,Rural regions,Yes,0.92975,1119,1211,0.91534,0.94415
2021,Couple without children,Rural regions,No,0.06511,92,1211,0.05121,0.07901
2021,Single parent,Urban regions,Yes,0.95714,664,664,0.94172,0.97256
2021,Single parent,Rural regions,Yes,0.93325,322,322,0.90595,0.96056
2021,Couple with children,Urban regions,Yes,0.99170,2750,2750,0.98831,0.99509
2021,Couple with children,Rural regions,Yes,0.99191,1231,1231,0.98690,0.99691
2021,Other Combinations,Urban regions,Yes,0.93755,251,251,0.90755,0.96754
2021,Other Combinations,Rural regions,Yes,0.90197,91,91,0.84054,0.96340
