year,hhtyp,sampreg,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Multi-generational household,West,Yes,0.83430,53,53,0.73325,0.93536
2011,Other Combinations,West,Yes,0.72779,56,56,0.61016,0.84542
2013,Single-person household,West,Yes,0.58282,1747,2822,0.56462,0.60101
2013,Single-person household,West,No,0.41718,1075,2822,0.39899,0.43538
2013,Single-person household,East,Yes,0.48576,440,869,0.45251,0.51901
2013,Single-person household,East,No,0.51424,429,869,0.48099,0.54749
2013,Couple without children,West,Yes,0.79120,2808,3464,0.77766,0.80474
2013,Couple without children,West,No,0.20880,656,3464,0.19526,0.22234
2013,Couple without children,East,Yes,0.68474,759,1098,0.65725,0.71224
2013,Couple without children,East,No,0.31526,339,1098,0.28776,0.34275
2013,Single parent,West,Yes,0.86026,692,782,0.83594,0.88457
2013,Single parent,West,No,0.13974,90,782,0.11543,0.16406
2013,Single parent,East,Yes,0.81730,160,197,0.76320,0.87140
2013,Single parent,East,No,0.18270,37,197,0.12860,0.23680
2013,Couple with children,West,Yes,0.97799,3441,3534,0.97316,0.98283
2013,Couple with children,West,No,0.02201,93,3534,0.01717,0.02684
2013,Couple with children,East,Yes,0.92053,611,647,0.89967,0.94139
2013,Couple with children,East,No,0.07947,36,647,0.05861,0.10033
2013,Multi-generational household,West,Yes,0.94534,86,86,0.89701,0.99366
2013,Other Combinations,West,Yes,0.90859,281,281,0.87483,0.94235
2014,Single-person household,West,Yes,0.58620,1684,2674,0.56753,0.60487
2014,Single-person household,West,No,0.41380,990,2674,0.39513,0.43247
2014,Single-person household,East,Yes,0.47471,440,880,0.44170,0.50773
2014,Single-person household,East,No,0.52529,440,880,0.49227,0.55830
2014,Couple without children,West,Yes,0.79936,2661,3270,0.78563,0.81309
2014,Couple without children,West,No,0.20064,609,3270,0.18691,0.21437
2014,Couple without children,East,Yes,0.69831,759,1073,0.67083,0.72578
2014,Couple without children,East,No,0.30169,314,1073,0.27422,0.32917
2014,Single parent,West,Yes,0.88657,1308,1418,0.87006,0.90308
2014,Single parent,West,No,0.11343,110,1418,0.09692,0.12994
2014,Single parent,East,Yes,0.84850,339,387,0.81273,0.88427
2014,Single parent,East,No,0.15150,48,387,0.11573,0.18727
2014,Couple with children,West,Yes,0.96711,4581,4719,0.96202,0.97220
2014,Couple with children,West,No,0.03289,138,4719,0.02780,0.03798
2014,Couple with children,East,Yes,0.95329,933,972,0.94002,0.96657
2014,Couple with children,East,No,0.04671,39,972,0.03343,0.05998
2014,Multi-generational household,West,Yes,0.91785,92,92,0.86143,0.97427
2014,Other Combinations,West,Yes,0.85116,208,208,0.80267,0.89965
2015,Single-person household,West,Yes,0.61715,1808,2744,0.59896,0.63534
2015,Single-person household,West,No,0.38285,936,2744,0.36466,0.40104
2015,Single-person household,East,Yes,0.51402,460,863,0.48065,0.54738
2015,Single-person household,East,No,0.48598,403,863,0.45262,0.51935
2015,Couple without children,West,Yes,0.84020,2846,3302,0.82770,0.85270
2015,Couple without children,West,No,0.15980,456,3302,0.14730,0.17230
2015,Couple without children,East,Yes,0.75134,798,1058,0.72529,0.77740
2015,Couple without children,East,No,0.24866,260,1058,0.22260,0.27471
2015,Single parent,West,Yes,0.88989,1246,1346,0.87317,0.90662
2015,Single parent,West,No,0.11011,100,1346,0.09338,0.12683
2015,Single parent,East,Yes,0.82736,315,363,0.78843,0.86629
2015,Single parent,East,No,0.17264,48,363,0.13371,0.21157
2015,Couple with children,West,Yes,0.97530,4595,4740,0.97088,0.97972
2015,Couple with children,West,No,0.02470,145,4740,0.02028,0.02912
2015,Couple with children,East,Yes,0.96436,879,914,0.95233,0.97638
2015,Couple with children,East,No,0.03564,35,914,0.02362,0.04767
2015,Multi-generational household,West,Yes,0.85390,106,106,0.78634,0.92146
2015,Other Combinations,West,Yes,0.91790,196,196,0.87937,0.95643
2015,Other Combinations,East,Yes,0.92204,32,32,0.82766,1.01642
2016,Single-person household,West,Yes,0.64516,1948,2860,0.62762,0.66269
2016,Single-person household,West,No,0.35484,912,2860,0.33731,0.37238
2016,Single-person household,East,Yes,0.57561,533,937,0.54395,0.60728
2016,Single-person household,East,No,0.42439,404,937,0.39272,0.45605
2016,Couple without children,West,Yes,0.85695,2730,3132,0.84468,0.86921
2016,Couple without children,West,No,0.14305,402,3132,0.13079,0.15532
2016,Couple without children,East,Yes,0.80099,802,1019,0.77647,0.82552
2016,Couple without children,East,No,0.19901,217,1019,0.17448,0.22353
2016,Single parent,West,Yes,0.90039,1216,1324,0.88426,0.91653
2016,Single parent,West,No,0.09961,108,1324,0.08347,0.11574
2016,Single parent,East,Yes,0.84358,316,383,0.80715,0.88001
2016,Single parent,East,No,0.15642,67,383,0.11999,0.19285
2016,Couple with children,West,Yes,0.97176,4896,5166,0.96724,0.97628
2016,Couple with children,West,No,0.02824,270,5166,0.02372,0.03276
2016,Couple with children,East,Yes,0.96689,953,1031,0.95597,0.97782
2016,Couple with children,East,No,0.03311,78,1031,0.02218,0.04403
2016,Multi-generational household,West,Yes,0.97599,107,107,0.94686,1.00513
2016,Other Combinations,West,Yes,0.90567,277,328,0.87399,0.93735
2016,Other Combinations,West,No,0.09433,51,328,0.06265,0.12601
2016,Other Combinations,East,Yes,0.69521,42,42,0.55431,0.83612
2017,Single-person household,West,Yes,0.67439,2398,3236,0.65825,0.69054
2017,Single-person household,West,No,0.32561,838,3236,0.30946,0.34175
2017,Single-person household,East,Yes,0.61158,678,1048,0.58205,0.64110
2017,Single-person household,East,No,0.38842,370,1048,0.35890,0.41795
2017,Couple without children,West,Yes,0.88547,3217,3567,0.87502,0.89592
2017,Couple without children,West,No,0.11453,350,3567,0.10408,0.12498
2017,Couple without children,East,Yes,0.81678,933,1139,0.79430,0.83926
2017,Couple without children,East,No,0.18322,206,1139,0.16074,0.20570
2017,Single parent,West,Yes,0.92024,1291,1382,0.90595,0.93453
2017,Single parent,West,No,0.07976,91,1382,0.06547,0.09405
2017,Single parent,East,Yes,0.89046,327,377,0.85890,0.92203
2017,Single parent,East,No,0.10954,50,377,0.07797,0.14110
2017,Couple with children,West,Yes,0.98226,5521,5687,0.97883,0.98569
2017,Couple with children,West,No,0.01774,166,5687,0.01431,0.02117
2017,Couple with children,East,Yes,0.96781,1087,1139,0.95755,0.97806
2017,Couple with children,East,No,0.03219,52,1139,0.02194,0.04245
2017,Multi-generational household,West,Yes,0.97775,125,125,0.95179,1.00371
2017,Other Combinations,West,Yes,0.90503,402,453,0.87801,0.93206
2017,Other Combinations,West,No,0.09497,51,453,0.06794,0.12199
2017,Other Combinations,East,Yes,0.72334,51,51,0.59934,0.84734
2018,Single-person household,West,Yes,0.69058,2575,3364,0.67496,0.70621
2018,Single-person household,West,No,0.30942,789,3364,0.29379,0.32504
2018,Single-person household,East,Yes,0.64444,749,1090,0.61601,0.67287
2018,Single-person household,East,No,0.35556,341,1090,0.32713,0.38399
2018,Couple without children,West,Yes,0.89424,3198,3495,0.88404,0.90443
2018,Couple without children,West,No,0.10576,297,3495,0.09557,0.11596
2018,Couple without children,East,Yes,0.84607,962,1138,0.82509,0.86705
2018,Couple without children,East,No,0.15393,176,1138,0.13295,0.17491
2018,Single parent,West,Yes,0.93478,1293,1365,0.92167,0.94788
2018,Single parent,West,No,0.06522,72,1365,0.05212,0.07833
2018,Single parent,East,Yes,0.91192,334,374,0.88316,0.94069
2018,Single parent,East,No,0.08808,40,374,0.05931,0.11684
2018,Couple with children,West,Yes,0.98261,5251,5368,0.97911,0.98610
2018,Couple with children,West,No,0.01739,117,5368,0.01390,0.02089
2018,Couple with children,East,Yes,0.96031,1062,1096,0.94875,0.97188
2018,Couple with children,East,No,0.03969,34,1096,0.02812,0.05125
2018,Multi-generational household,West,Yes,0.97877,129,129,0.95380,1.00374
2018,Other Combinations,West,Yes,0.91810,335,335,0.88869,0.94751
2018,Other Combinations,East,Yes,0.70380,42,42,0.56404,0.84356
2019,Single-person household,Does not apply,Yes,0.94378,39,39,0.87054,1.01702
2019,Single-person household,West,Yes,0.73365,2832,3482,0.71896,0.74833
2019,Single-person household,West,No,0.26635,650,3482,0.25167,0.28104
2019,Single-person household,East,Yes,0.66566,781,1066,0.63733,0.69399
2019,Single-person household,East,No,0.33434,285,1066,0.30601,0.36267
2019,Couple without children,West,Yes,0.91376,3647,3889,0.90494,0.92259
2019,Couple without children,West,No,0.08624,242,3889,0.07741,0.09506
2019,Couple without children,East,Yes,0.86575,1115,1266,0.84696,0.88453
2019,Couple without children,East,No,0.13425,151,1266,0.11547,0.15304
2019,Single parent,West,Yes,0.95095,1210,1258,0.93901,0.96289
2019,Single parent,West,No,0.04905,48,1258,0.03711,0.06099
2019,Single parent,East,Yes,0.94833,337,337,0.92466,0.97200
2019,Couple with children,West,Yes,0.99125,5325,5387,0.98876,0.99374
2019,Couple with children,West,No,0.00875,62,5387,0.00626,0.01124
2019,Couple with children,East,Yes,0.98347,1114,1114,0.97598,0.99096
2019,Multi-generational household,West,Yes,0.96121,110,110,0.92496,0.99746
2019,Other Combinations,West,Yes,0.95715,298,298,0.93411,0.98018
2019,Other Combinations,East,Yes,0.83309,47,47,0.72533,0.94085
2020,Single-person household,West,Yes,0.83775,546,636,0.80908,0.86643
2020,Single-person household,West,No,0.16225,90,636,0.13357,0.19092
2020,Single-person household,East,Yes,0.81464,78,78,0.72784,0.90143
2020,Couple without children,West,Yes,0.93716,117,117,0.89300,0.98132
2020,Single parent,West,Yes,0.97546,204,204,0.95417,0.99674
2020,Single parent,East,Yes,0.87181,43,43,0.77071,0.97292
2020,Couple with children,West,Yes,0.97933,1399,1431,0.97196,0.98671
2020,Couple with children,West,No,0.02067,32,1431,0.01329,0.02804
2020,Couple with children,East,Yes,0.99370,217,217,0.98316,1.00425
2020,Other Combinations,West,Yes,0.96610,163,163,0.93823,0.99397
2021,Single-person household,West,Yes,0.79771,2415,2765,0.78274,0.81269
2021,Single-person household,West,No,0.20229,350,2765,0.18731,0.21726
2021,Single-person household,East,Yes,0.76588,615,765,0.73586,0.79591
2021,Single-person household,East,No,0.23412,150,765,0.20409,0.26414
2021,Couple without children,West,Yes,0.93727,2551,2659,0.92806,0.94649
2021,Couple without children,West,No,0.06273,108,2659,0.05351,0.07194
2021,Couple without children,East,Yes,0.93310,760,824,0.91603,0.95017
2021,Couple without children,East,No,0.06690,64,824,0.04983,0.08397
2021,Single parent,West,Yes,0.95146,745,745,0.93602,0.96690
2021,Single parent,East,Yes,0.93772,241,241,0.90714,0.96829
2021,Couple with children,West,Yes,0.99205,3328,3328,0.98904,0.99507
2021,Couple with children,East,Yes,0.99114,653,653,0.98394,0.99833
2021,Other Combinations,West,Yes,0.94332,293,293,0.91679,0.96984
2021,Other Combinations,East,Yes,0.94286,49,49,0.87720,1.00852
