year,regtyp,rentown,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Rural regions,Owner,No,0.27975,491,2340,0.26155,0.29794
2013,Rural regions,Tenant,Yes,0.61973,1518,2204,0.59946,0.64000
2013,Rural regions,Tenant,No,0.38027,686,2204,0.36000,0.40054
2014,Urban regions,Owner,Yes,0.79802,3733,4261,0.78597,0.81008
2014,Urban regions,Owner,No,0.20198,528,4261,0.18992,0.21403
2014,Urban regions,Tenant,Yes,0.73856,5063,6101,0.72753,0.74958
2014,Urban regions,Tenant,No,0.26144,1038,6101,0.25042,0.27247
2014,Rural regions,Owner,Yes,0.73809,2300,2774,0.72172,0.75445
2014,Rural regions,Owner,No,0.26191,474,2774,0.24555,0.27828
2014,Rural regions,Tenant,Yes,0.63479,1954,2640,0.61642,0.65316
2014,Rural regions,Tenant,No,0.36521,686,2640,0.34684,0.38358
2015,Urban regions,Owner,Yes,0.81892,3589,4040,0.80704,0.83079
2015,Urban regions,Owner,No,0.18108,451,4040,0.16921,0.19296
2015,Urban regions,Tenant,Yes,0.76271,5371,6317,0.75222,0.77320
2015,Urban regions,Tenant,No,0.23729,946,6317,0.22680,0.24778
2015,Rural regions,Owner,Yes,0.76311,2275,2682,0.74701,0.77920
2015,Rural regions,Owner,No,0.23689,407,2682,0.22080,0.25299
2015,Rural regions,Tenant,Yes,0.68138,2068,2682,0.66374,0.69902
2015,Rural regions,Tenant,No,0.31862,614,2682,0.30098,0.33626
2016,Urban regions,Not included in this version of the questionnaire,Yes,0.68483,1108,1447,0.66088,0.70877
2016,Urban regions,Not included in this version of the questionnaire,No,0.31517,339,1447,0.29123,0.33912
2016,Urban regions,Owner,Yes,0.83871,3407,3768,0.82697,0.85046
2016,Urban regions,Owner,No,0.16129,361,3768,0.14954,0.17303
2016,Urban regions,Tenant,Yes,0.78071,4812,5593,0.76986,0.79155
2016,Urban regions,Tenant,No,0.21929,781,5593,0.20845,0.23014
2016,Rural regions,Not included in this version of the questionnaire,Yes,0.66696,468,651,0.63072,0.70319
2016,Rural regions,Not included in this version of the questionnaire,No,0.33304,183,651,0.29681,0.36928
2016,Rural regions,Owner,Yes,0.79033,2179,2528,0.77445,0.80620
2016,Rural regions,Owner,No,0.20967,349,2528,0.19380,0.22555
2016,Rural regions,Tenant,Yes,0.71480,1873,2393,0.69670,0.73289
2016,Rural regions,Tenant,No,0.28520,520,2393,0.26711,0.30330
2017,Urban regions,Not included in this version of the questionnaire,Yes,0.72214,413,525,0.68379,0.76050
2017,Urban regions,Not included in this version of the questionnaire,No,0.27786,112,525,0.23950,0.31621
2017,Urban regions,Owner,Yes,0.86441,3944,4256,0.85412,0.87470
2017,Urban regions,Owner,No,0.13559,312,4256,0.12530,0.14588
2017,Urban regions,Tenant,Yes,0.80040,6391,7239,0.79119,0.80960
2017,Urban regions,Tenant,No,0.19960,848,7239,0.19040,0.20881
2017,Rural regions,Not included in this version of the questionnaire,Yes,0.77551,222,272,0.72583,0.82519
2017,Rural regions,Not included in this version of the questionnaire,No,0.22449,50,272,0.17481,0.27417
2017,Rural regions,Owner,Yes,0.80696,2475,2798,0.79234,0.82159
2017,Rural regions,Owner,No,0.19304,323,2798,0.17841,0.20766
2017,Rural regions,Tenant,Yes,0.73501,2611,3163,0.71962,0.75039
2017,Rural regions,Tenant,No,0.26499,552,3163,0.24961,0.28038
2018,Urban regions,Owner,Yes,0.86958,3799,4080,0.85924,0.87991
2018,Urban regions,Owner,No,0.13042,281,4080,0.12009,0.14076
2018,Urban regions,Tenant,Yes,0.81961,7018,7846,0.81110,0.82812
2018,Urban regions,Tenant,No,0.18039,828,7846,0.17188,0.18890
2018,Rural regions,Owner,Yes,0.82496,2413,2674,0.81056,0.83937
2018,Rural regions,Owner,No,0.17504,261,2674,0.16063,0.18944
2018,Rural regions,Tenant,Yes,0.73620,2727,3262,0.72107,0.75132
2018,Rural regions,Tenant,No,0.26380,535,3262,0.24868,0.27893
2019,No answer / don't know,Owner,Yes,0.92746,151,151,0.88596,0.96897
2019,No answer / don't know,Tenant,Yes,0.88646,289,289,0.84982,0.92310
2019,Urban regions,Owner,Yes,0.88608,4494,4728,0.87702,0.89513
2019,Urban regions,Owner,No,0.11392,234,4728,0.10487,0.12298
2019,Urban regions,Tenant,Yes,0.84341,6608,7239,0.83504,0.85179
2019,Urban regions,Tenant,No,0.15659,631,7239,0.14821,0.16496
2019,Rural regions,Owner,Yes,0.84897,2765,2994,0.83614,0.86180
2019,Rural regions,Owner,No,0.15103,229,2994,0.13820,0.16386
2019,Rural regions,Tenant,Yes,0.78007,2592,2988,0.76522,0.79493
2019,Rural regions,Tenant,No,0.21993,396,2988,0.20507,0.23478
2021,Urban regions,Owner,Yes,0.91982,3019,3136,0.91032,0.92933
2021,Urban regions,Owner,No,0.08018,117,3136,0.07067,0.08968
2021,Urban regions,Tenant,Yes,0.88940,5180,5478,0.88109,0.89771
2021,Urban regions,Tenant,No,0.11060,298,5478,0.10229,0.11891
2021,Rural regions,Owner,Yes,0.89440,1847,1961,0.88079,0.90800
2021,Rural regions,Owner,No,0.10560,114,1961,0.09200,0.11921
2021,Rural regions,Tenant,Yes,0.80916,1754,1980,0.79185,0.82647
2021,Rural regions,Tenant,No,0.19084,226,1980,0.17353,0.20815
