year,hhtyp,regtyp,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Single parent,Urban regions,No,0.47035,456,518,0.42732,0.51337
2011,Single parent,Rural regions,Yes,0.06088,37,266,0.03209,0.08967
2011,Single parent,Rural regions,No,0.46387,229,266,0.40383,0.52391
2011,Couple with children,Urban regions,Yes,0.11799,345,2087,0.10415,0.13184
2011,Couple with children,Urban regions,No,0.67737,1742,2087,0.65731,0.69744
2011,Couple with children,Rural regions,Yes,0.15840,242,1153,0.13732,0.17949
2011,Couple with children,Rural regions,No,0.63395,911,1153,0.60613,0.66176
2011,Multi-generational household,Urban regions,No,0.80950,42,42,0.68930,0.92971
2011,Multi-generational household,Rural regions,No,0.79198,33,33,0.65135,0.93262
2011,Other Combinations,Urban regions,No,0.91113,56,56,0.83592,0.98633
2011,Other Combinations,Rural regions,No,0.85102,32,32,0.72567,0.97636
2016,Single-person household,Urban regions,No,0.98631,2295,2295,0.98155,0.99106
2016,Single-person household,Rural regions,No,0.97573,1046,1046,0.96640,0.98506
2016,Couple without children,Urban regions,Yes,0.01412,36,2567,0.00955,0.01868
2016,Couple without children,Urban regions,No,0.98456,2531,2567,0.97979,0.98933
2016,Couple without children,Rural regions,Yes,0.03204,47,1529,0.02321,0.04087
2016,Couple without children,Rural regions,No,0.96744,1482,1529,0.95854,0.97634
2016,Single parent,Urban regions,Yes,0.05047,40,992,0.03684,0.06409
2016,Single parent,Urban regions,No,0.94272,952,992,0.92825,0.95719
2016,Single parent,Rural regions,No,0.94522,505,505,0.92535,0.96508
2016,Couple with children,Urban regions,Yes,0.03610,132,3297,0.02974,0.04247
2016,Couple with children,Urban regions,No,0.95635,3165,3297,0.94938,0.96333
2016,Couple with children,Rural regions,Yes,0.06663,105,1693,0.05474,0.07851
2016,Couple with children,Rural regions,No,0.92574,1588,1693,0.91325,0.93824
2016,Multi-generational household,Urban regions,No,0.91957,60,60,0.85018,0.98897
2016,Multi-generational household,Rural regions,No,0.96779,43,43,0.91440,1.02119
2016,Other Combinations,Urban regions,No,0.95302,136,136,0.91733,0.98872
2016,Other Combinations,Rural regions,No,0.94447,57,57,0.88449,1.00445
2021,Single-person household,Urban regions,No,0.97869,2225,2225,0.97269,0.98469
2021,Single-person household,Rural regions,No,0.97745,919,919,0.96784,0.98705
2021,Couple without children,Urban regions,Yes,0.01819,51,2217,0.01263,0.02376
2021,Couple without children,Urban regions,No,0.97971,2166,2217,0.97384,0.98558
2021,Couple without children,Rural regions,Yes,0.03890,41,1197,0.02794,0.04986
2021,Couple without children,Rural regions,No,0.95915,1156,1197,0.94793,0.97037
2021,Single parent,Urban regions,No,0.93877,547,547,0.91865,0.95888
2021,Single parent,Rural regions,No,0.91944,296,296,0.88839,0.95050
2021,Couple with children,Urban regions,Yes,0.05314,111,2101,0.04354,0.06273
2021,Couple with children,Urban regions,No,0.92319,1990,2101,0.91180,0.93458
2021,Couple with children,Rural regions,Yes,0.06742,85,1061,0.05233,0.08252
2021,Couple with children,Rural regions,No,0.91152,976,1061,0.89442,0.92861
2021,Multi-generational household,Urban regions,No,0.99250,47,47,0.96758,1.01743
2021,Other Combinations,Urban regions,No,0.94099,183,183,0.90675,0.97522
2021,Other Combinations,Rural regions,No,0.90580,71,71,0.83736,0.97423
