"year","bula_h","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2001","Nordrhein-Westfalen","342.43","372.5","2571","200","300","400","450","600","338.19","346.67","0","900","370","375"
"2001","Rheinland-Pfalz,Saarland","350.25","382.5","708","200","300","400","400","700","342.1","358.4","0","800","380","385"
"2001","Saarland","","","","","","","","","","","","","",""
"2001","Sachsen","","","","","","","","","","","","","",""
"2001","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2001","Schleswig-Holstein","344.68","365","355","200","300","400","450","600","333.75","355.61","40","650","360","380"
"2001","Thüringen","","","","","","","","","","","","","",""
"2002","Baden-Württemberg","336","365","1648","190","300","400","450","600","330.67","341.33","0","900","350","375"
"2002","Bayern","341.51","374.5","1918","180","300","400","425","650","336.18","346.84","0","980","370","375"
"2002","Berlin","","","","","","","","","","","","","",""
"2002","Brandenburg","","","","","","","","","","","","","",""
"2002","Bremen","316.56","325","97","100","300","400","410","600","290.7","342.42","0","700","300","385"
"2002","Hamburg","319.59","372.5","199","130","250","400","400","500","301.72","337.46","0","900","370","385"
"2002","Hessen","343.81","377.5","972","200","300","400","450","600","336.71","350.91","0","999","370","380"
"2002","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2002","Niedersachsen","352.83","377.5","1074","200","300","400","450","600","346.11","359.55","0","999","375","385"
"2002","Nordrhein-Westfalen","339.35","372.5","2697","190","300","400","450","600","335.06","343.64","0","990","370","375"
"2002","Rheinland-Pfalz,Saarland","341.73","377.5","733","200","300","400","430","600","333.36","350.1","0","840","370","380"
"2002","Saarland","","","","","","","","","","","","","",""
"2002","Sachsen","","","","","","","","","","","","","",""
"2002","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2002","Schleswig-Holstein","332.24","362.5","396","150","300","400","400","600","320.98","343.5","0","600","360","380"
"2002","Thüringen","","","","","","","","","","","","","",""
"2003","Baden-Württemberg","343.51","372.5","1566","200","300","400","450","600","338.01","349.01","0","900","370","380"
"2003","Bayern","337.98","372.5","1842","180","300","400","425","600","332.61","343.35","0","990","360","375"
"2003","Berlin","","","","","","","","","","","","","",""
"2003","Brandenburg","","","","","","","","","","","","","",""
"2003","Bremen","344.57","377.5","89","180","300","400","400","600","321.47","367.67","40","600","350","385"
"2003","Hamburg","336.41","377.5","165","150","300","400","450","600","318.18","354.64","0","600","375","400"
"2003","Hessen","348.27","377.5","877","200","300","400","450","600","341.14","355.4","0","999","375","385"
"2003","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2003","Niedersachsen","340.32","372.5","1051","190","300","400","450","600","333.35","347.29","0","900","375","380"
"2003","Nordrhein-Westfalen","339.45","373","2546","190","300","400","450","600","335","343.9","0","999","360","375"
"2003","Rheinland-Pfalz,Saarland","346.26","377.5","711","200","300","400","450","600","338.03","354.49","0","840","380","385"
"2003","Saarland","","","","","","","","","","","","","",""
"2003","Sachsen","","","","","","","","","","","","","",""
"2003","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2003","Schleswig-Holstein","337.12","365","343","200","300","400","420","500","326.12","348.12","30","600","350","380"
"2003","Thüringen","","","","","","","","","","","","","",""
"2004","Baden-Württemberg","347.49","373.5","1498","200","300","400","425","600","341.93","353.05","0","999","370","380"
"2004","Bayern","344.12","379","1776","180","300","400","450","600","338.85","349.39","0","999","375","380"
"2004","Berlin","","","","","","","","","","","","","",""
"2004","Brandenburg","","","","","","","","","","","","","",""
"2004","Bremen","328.29","360","86","150","250","400","400","500","303.93","352.65","0","600","350","400"
"2004","Hamburg","333.89","367.5","161","150","300","400","400","600","317.38","350.4","0","600","350","400"
"2004","Hessen","342.88","372.5","846","200","300","400","450","600","335.56","350.2","0","700","360","380"
"2004","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2004","Niedersachsen","343.35","377.5","1032","200","300","400","430","600","336.43","350.27","0","900","360","380"
"2004","Nordrhein-Westfalen","345.58","377.5","2458","200","300","400","450","600","341.1","350.06","0","999","375","380"
"2004","Rheinland-Pfalz,Saarland","346.83","382.5","696","200","300","400","420","600","338.59","355.07","0","800","380","385"
"2004","Saarland","","","","","","","","","","","","","",""
"2004","Sachsen","","","","","","","","","","","","","",""
"2004","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2004","Schleswig-Holstein","349.98","377.5","326","200","300","400","450","700","337.31","362.65","20","990","360","380"
"2004","Thüringen","","","","","","","","","","","","","",""
"2005","Baden-Württemberg","346.05","379","1420","200","300","400","450","600","340.39","351.71","0","990","375","380"
"2005","Bayern","347.11","379","1695","200","300","400","450","600","341.66","352.56","0","999","370","380"
"2005","Berlin","","","","","","","","","","","","","",""
"2005","Brandenburg","","","","","","","","","","","","","",""
"2005","Bremen","348.42","382.5","73","200","300","400","450","550","325.08","371.76","40","550","350","400"
"2005","Hamburg","360.58","395","153","200","320","400","450","500","345.18","375.98","50","600","385","400"
"2005","Hessen","346.22","377.5","817","200","300","400","450","600","338.71","353.73","0","700","375","385"
"2005","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2005","Niedersachsen","352.11","382.5","969","200","300","400","450","600","345.06","359.16","0","990","375","385"
"2005","Nordrhein-Westfalen","346.93","379","2345","200","300","400","450","600","342.38","351.48","0","990","375","380"
"2005","Rheinland-Pfalz,Saarland","347.31","382.5","673","200","300","400","420","600","339.05","355.57","0","730","380","385"
"2005","Saarland","","","","","","","","","","","","","",""
"2005","Sachsen","","","","","","","","","","","","","",""
"2005","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2005","Schleswig-Holstein","353","377.5","295","200","300","400","435","600","340.2","365.8","10","800","370","385"
"2005","Thüringen","","","","","","","","","","","","","",""
"2006","Baden-Württemberg","342.96","377.5","1530","200","300","400","420","600","337.47","348.45","0","700","375","380"
"2006","Bayern","343.38","377.5","1805","200","300","400","420","600","338.23","348.53","0","999","375","380"
"2006","Berlin","","","","","","","","","","","","","",""
"2006","Brandenburg","","","","","","","","","","","","","",""
"2006","Bremen","355.84","382.5","75","250","320","400","400","500","332.52","379.16","0","600","350","400"
"2006","Hamburg","348.03","382.5","149","200","300","400","450","500","330.6","365.46","0","700","360","400"
"2006","Hessen","345.1","382.5","861","200","300","400","450","550","338.15","352.05","0","800","375","385"
"2006","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2006","Niedersachsen","355.4","382.5","1047","200","300","400","450","600","348.75","362.05","0","999","380","385"
"2006","Nordrhein-Westfalen","346.1","377.5","2432","200","300","400","420","600","341.74","350.46","0","800","375","380"
"2006","Rheinland-Pfalz,Saarland","347.62","382.5","714","200","300","400","450","550","339.64","355.6","0","600","380","385"
"2006","Saarland","","","","","","","","","","","","","",""
"2006","Sachsen","","","","","","","","","","","","","",""
"2006","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2006","Schleswig-Holstein","351.68","382.5","361","200","300","400","500","600","339.86","363.5","0","720","375","385"
"2006","Thüringen","","","","","","","","","","","","","",""
"2007","Baden-Württemberg","343.84","372.5","1414","200","300","400","450","600","338.18","349.5","0","900","360","380"
"2007","Bayern","349.03","379","1735","200","300","400","450","650","343.57","354.49","0","990","375","380"
"2007","Berlin","","","","","","","","","","","","","",""
"2007","Brandenburg","","","","","","","","","","","","","",""
"2007","Bremen","352.98","387.5","79","200","300","400","400","600","328.8","377.16","0","600","350","400"
"2007","Hamburg","359.72","392.5","157","250","350","400","420","550","344.07","375.37","0","550","360","400"
"2007","Hessen","347.84","378","799","200","300","400","450","600","340.01","355.67","0","900","375","385"
"2007","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2007","Niedersachsen","352.59","387.5","1014","200","300","400","450","700","345.43","359.75","0","900","380","390"
"2007","Nordrhein-Westfalen","348.68","382.5","2286","200","300","400","450","600","344.14","353.22","0","750","375","380"
"2007","Rheinland-Pfalz,Saarland","344.07","382.5","656","200","300","400","450","600","335.63","352.51","0","700","375","385"
"2007","Saarland","","","","","","","","","","","","","",""
"2007","Sachsen","","","","","","","","","","","","","",""
"2007","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2007","Schleswig-Holstein","363.95","387.5","308","200","300","400","500","600","350.61","377.29","40","750","380","400"
"2007","Thüringen","","","","","","","","","","","","","",""
"2008","Baden-Württemberg","339.73","372.5","1383","200","300","400","420","550","333.89","345.57","0","800","360","380"
"2008","Bayern","340.5","377.5","1622","200","300","400","450","600","334.92","346.08","0","999","360","380"
"2008","Berlin","","","","","","","","","","","","","",""
"2008","Brandenburg","","","","","","","","","","","","","",""
"2008","Bremen","349.59","382.5","74","200","320","400","400","500","327.35","371.83","100","500","350","400"
"2008","Hamburg","354.68","382.5","150","200","350","400","400","500","338.13","371.23","0","500","355","400"
"2008","Hessen","340.47","377.5","775","200","300","400","450","600","332.65","348.29","10","700","365","385"
"2008","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2008","Niedersachsen","346.46","382.5","964","200","300","400","425","600","339.26","353.66","0","820","380","385"
"2008","Nordrhein-Westfalen","342.13","377.5","2204","200","300","400","420","600","337.56","346.7","0","800","370","380"
"2008","Rheinland-Pfalz,Saarland","339.76","377.5","595","200","300","400","400","600","331.85","347.67","30","600","370","385"
"2008","Saarland","","","","","","","","","","","","","",""
"2008","Sachsen","","","","","","","","","","","","","",""
"2008","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2008","Schleswig-Holstein","339.4","377.5","291","160","300","400","440","600","325.52","353.28","20","800","350","380"
"2008","Thüringen","","","","","","","","","","","","","",""
"2009","Baden-Württemberg","344.96","367.5","1218","200","300","400","450","600","338.86","351.06","0","800","370","380"
"2009","Bayern","344.09","377.5","1509","200","300","400","450","600","338.33","349.85","0","999","350","380"
"2009","Berlin","","","","","","","","","","","","","",""
"2009","Brandenburg","","","","","","","","","","","","","",""
"2009","Bremen","338.56","325","58","200","300","400","400","500","314.39","362.73","80","500","350","385"
"2009","Hamburg","352.92","395","146","200","300","400","425","500","337.08","368.76","50","500","375","400"
"2009","Hessen","347.16","377.5","713","200","300","400","450","600","339.18","355.14","0","650","350","380"
"2009","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2009","Niedersachsen","351.96","382.5","894","200","300","400","450","800","344.6","359.32","0","800","380","390"
"2009","Nordrhein-Westfalen","346.01","377.5","2011","200","300","400","450","600","341.33","350.69","0","800","370","380"
"2009","Rheinland-Pfalz,Saarland","342.77","378.5","560","200","300","400","400","500","334.58","350.96","0","650","375","385"
"2009","Saarland","","","","","","","","","","","","","",""
"2009","Sachsen","","","","","","","","","","","","","",""
"2009","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2009","Schleswig-Holstein","363.1","397.5","263","200","300","400","500","600","349.71","376.49","40","800","380","400"
"2009","Thüringen","","","","","","","","","","","","","",""
"2010","Baden-Württemberg","340.49","355","1324","200","300","400","420","600","334.56","346.42","0","900","350","375"
"2010","Bayern","346.46","377.5","1648","200","300","400","425","600","341.17","351.75","0","999","350","375"
"2010","Berlin","","","","","","","","","","","","","",""
"2010","Brandenburg","","","","","","","","","","","","","",""
"2010","Bremen","341.74","345","62","200","300","390","400","500","313.83","369.65","50","800","340","385"
"2010","Hamburg","371.12","395","167","250","350","400","500","500","355.38","386.86","0","500","380","400"
"2010","Hessen","342.22","372.5","783","200","300","400","450","600","334.36","350.08","0","700","350","380"
"2010","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2010","Niedersachsen","343.8","382.5","975","200","300","400","450","600","336.65","350.95","0","900","350","380"
"2010","Nordrhein-Westfalen","337.23","373.5","2139","200","300","400","430","550","332.5","341.96","0","700","360","380"
"2010","Rheinland-Pfalz,Saarland","339.54","377.5","595","150","300","400","448","600","330.41","348.67","0","800","360","385"
"2010","Saarland","","","","","","","","","","","","","",""
"2010","Sachsen","","","","","","","","","","","","","",""
"2010","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2010","Schleswig-Holstein","353.23","377.5","287","200","300","400","500","650","339.14","367.32","0","650","300","380"
"2010","Thüringen","","","","","","","","","","","","","",""
"2011","Baden-Württemberg","351.03","377.5","1650","200","300","400","450","600","345.71","356.35","0","800","350","380"
"2011","Bayern","348.08","379","2117","200","300","400","450","600","343.33","352.83","0","999","350","375"
"2011","Berlin","","","","","","","","","","","","","",""
"2011","Brandenburg","","","","","","","","","","","","","",""
"2011","Bremen","345.93","367.5","71","200","300","400","400","500","324.03","367.83","100","500","320","380"
"2011","Hamburg","361.35","395","198","240","300","400","450","500","347.2","375.5","0","600","375","400"
"2011","Hessen","344.67","372.5","954","200","300","400","450","600","337.47","351.87","20","750","350","375"
"2011","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2011","Niedersachsen","345.51","382.5","1210","200","300","400","420","600","339.41","351.61","10","800","350","380"
"2011","Nordrhein-Westfalen","347.95","377.5","2548","200","300","400","450","600","343.58","352.32","0","999","360","380"
"2011","Rheinland-Pfalz,Saarland","347.47","387.5","719","200","300","400","450","600","339.45","355.49","0","700","380","390"
"2011","Saarland","","","","","","","","","","","","","",""
"2011","Sachsen","","","","","","","","","","","","","",""
"2011","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2011","Schleswig-Holstein","347.05","389.5","415","160","300","400","450","600","335.91","358.19","0","750","350","380"
"2011","Thüringen","","","","","","","","","","","","","",""
"2012","Baden-Württemberg","346.18","377.5","1612","200","300","400","450","600","340.7","351.66","0","990","350","370"
"2012","Bayern","339.33","367.5","2087","200","300","400","410","600","334.68","343.98","0","999","350","355"
"2012","Berlin","","","","","","","","","","","","","",""
"2012","Brandenburg","","","","","","","","","","","","","",""
"2012","Bremen","349.54","382.5","81","200","300","400","400","500","328.1","370.98","20","500","330","385"
"2012","Hamburg","362.74","382.5","194","200","300","400","480","600","347.03","378.45","20","800","350","390"
"2012","Hessen","345.52","372.5","906","200","300","400","450","600","338.49","352.55","0","650","350","375"
"2012","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2012","Niedersachsen","339.15","377.5","1187","200","300","400","435","600","332.59","345.71","10","900","350","375"
"2012","Nordrhein-Westfalen","335.51","377.5","2563","160","300","400","420","600","331.16","339.86","0","800","350","370"
"2012","Rheinland-Pfalz,Saarland","346.97","382.5","707","200","300","400","410","600","339.07","354.87","0","700","350","385"
"2012","Saarland","","","","","","","","","","","","","",""
"2012","Sachsen","","","","","","","","","","","","","",""
"2012","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2012","Schleswig-Holstein","336.43","377.5","423","150","300","400","440","600","325.36","347.5","20","800","300","350"
"2012","Thüringen","","","","","","","","","","","","","",""
"2013","Baden-Württemberg","334.66","372.5","1440","150","300","400","450","500","328.81","340.51","0","800","350","360"
"2013","Bayern","334.2","345","1931","200","300","400","410","600","329.26","339.14","0","999","350","350"
"2013","Berlin","","","","","","","","","","","","","",""
"2013","Brandenburg","","","","","","","","","","","","","",""
"2013","Bremen","330.86","335","85","160","300","400","400","500","309.3","352.42","50","500","300","380"
"2013","Hamburg","360.36","377.5","185","260","300","400","460","500","345.09","375.63","60","600","350","380"
"2013","Hessen","343.28","377.5","876","200","300","400","410","600","336.22","350.34","0","600","350","380"
"2013","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2013","Niedersachsen","338.35","377.5","1112","180","300","400","420","600","331.47","345.23","20","990","350","375"
"2013","Nordrhein-Westfalen","337.78","372.5","2347","200","300","400","410","550","333.36","342.2","0","900","350","370"
"2013","Rheinland-Pfalz,Saarland","337.33","372.5","661","180","300","400","400","600","329.4","345.26","0","700","350","380"
"2013","Saarland","","","","","","","","","","","","","",""
"2013","Sachsen","","","","","","","","","","","","","",""
"2013","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2013","Schleswig-Holstein","329.42","372.5","395","150","290","400","410","600","318.45","340.39","20","600","350","360"
"2013","Thüringen","","","","","","","","","","","","","",""
"2014","Baden-Württemberg","336.34","367.5","1704","200","300","400","410","550","331.19","341.49","0","840","350","350"
"2014","Bayern","329.46","347.5","2366","200","300","400","400","500","325.21","333.71","0","999","350","350"
"2014","Berlin","","","","","","","","","","","","","",""
"2014","Brandenburg","","","","","","","","","","","","","",""
"2014","Bremen","320.45","337.5","90","130","300","400","400","500","297.72","343.18","30","600","300","350"
"2014","Hamburg","360.36","378.5","209","300","340","400","440","500","347.48","373.24","40","600","350","385"
"2014","Hessen","331.85","352.5","994","200","300","400","400","600","325.19","338.51","0","700","350","350"
"2014","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2014","Niedersachsen","338.58","367.5","1331","200","300","400","400","600","332.73","344.43","0","999","350","350"
"2014","Nordrhein-Westfalen","331.32","357.5","2750","160","300","400","420","550","327.14","335.5","0","999","350","360"
"2014","Rheinland-Pfalz,Saarland","343.54","377.5","752","200","300","400","400","500","336.26","350.82","0","700","350","380"
"2014","Saarland","","","","","","","","","","","","","",""
"2014","Sachsen","","","","","","","","","","","","","",""
"2014","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2014","Schleswig-Holstein","329.13","355","479","200","270","400","420","600","319.1","339.16","0","800","315","350"
"2014","Thüringen","","","","","","","","","","","","","",""
"2015","Baden-Württemberg","336.09","372.5","2068","180","300","400","410","550","331.35","340.83","0","990","350","370"
"2015","Bayern","333.81","355","2817","180","300","400","400","600","329.73","337.89","0","999","350","362"
"2015","Berlin","","","","","","","","","","","","","",""
"2015","Brandenburg","","","","","","","","","","","","","",""
"2015","Bremen","330.6","335","98","150","300","400","400","500","310.84","350.36","30","500","300","387"
"2015","Hamburg","351.25","377.5","275","250","320","400","400","500","338.6","363.9","10","720","350","380"
"2015","Hessen","337.12","377.5","1182","200","300","400","420","600","331.08","343.16","0","650","360","380"
"2015","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2015","Niedersachsen","338.74","377.5","1541","200","300","400","400","550","333.33","344.15","0","950","360","380"
"2015","Nordrhein-Westfalen","335.25","372.5","3214","160","300","400","410","600","331.35","339.15","0","999","360","380"
"2015","Rheinland-Pfalz,Saarland","345.9","377.5","929","200","300","400","400","600","338.57","353.23","0","900","370","390"
"2015","Saarland","","","","","","","","","","","","","",""
"2015","Sachsen","","","","","","","","","","","","","",""
"2015","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2015","Schleswig-Holstein","332.99","372.5","532","200","300","400","400","500","323.99","341.99","0","700","350","360"
"2015","Thüringen","","","","","","","","","","","","","",""
"2016","Baden-Württemberg","","","","","","","","","","","","","",""
"2016","Bayern","","","","","","","","","","","","","",""
"2016","Berlin","","","","","","","","","","","","","",""
"2016","Brandenburg","","","","","","","","","","","","","",""
"2016","Bremen","","","","","","","","","","","","","",""
"2016","Hamburg","","","","","","","","","","","","","",""
"2016","Hessen","","","","","","","","","","","","","",""
"2016","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2016","Niedersachsen","","","","","","","","","","","","","",""
"2016","Nordrhein-Westfalen","","","","","","","","","","","","","",""
"2016","Rheinland-Pfalz,Saarland","","","","","","","","","","","","","",""
"2016","Saarland","","","","","","","","","","","","","",""
"2016","Sachsen","","","","","","","","","","","","","",""
"2016","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2016","Schleswig-Holstein","","","","","","","","","","","","","",""
"2016","Thüringen","","","","","","","","","","","","","",""
"2017","Baden-Württemberg","330.86","345","2079","160","300","400","410","600","326.16","335.56","0","970","350","350"
"2017","Bayern","326.88","345","2843","160","250","400","400","600","322.81","330.95","0","990","350","350"
"2017","Berlin","","","","","","","","","","","","","",""
"2017","Brandenburg","","","","","","","","","","","","","",""
"2017","Bremen","322.03","335","128","150","300","400","400","600","303.09","340.97","20","600","300","350"
"2017","Hamburg","335.64","345","295","200","300","400","420","500","323.79","347.49","20","700","350","375"
"2017","Hessen","335.82","345","1139","200","300","400","400","550","329.87","341.77","30","700","350","360"
"2017","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2017","Niedersachsen","333.17","347.5","1718","200","300","400","410","600","328.19","338.15","0","840","350","370"
"2017","Nordrhein-Westfalen","333.8","357.5","3358","180","300","400","410","600","330.07","337.53","0","800","350","360"
"2017","Rheinland-Pfalz,Saarland","335.73","372.5","968","160","300","400","420","550","328.61","342.85","0","800","370","390"
"2017","Saarland","","","","","","","","","","","","","",""
"2017","Sachsen","","","","","","","","","","","","","",""
"2017","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2017","Schleswig-Holstein","332.04","355","608","200","300","400","400","500","324.25","339.83","0","800","350","365"
"2017","Thüringen","","","","","","","","","","","","","",""
"2018","Baden-Württemberg","330.62","345","1909","195","300","400","400","500","325.72","335.52","0","800","350","350"
"2018","Bayern","322.71","345","2670","200","250","400","400","535","318.72","326.7","0","990","350","350"
"2018","Berlin","","","","","","","","","","","","","",""
"2018","Brandenburg","","","","","","","","","","","","","",""
"2018","Bremen","350.89","387.5","141","200","300","400","400","500","332.42","369.36","20","600","350","400"
"2018","Hamburg","344.16","355","321","250","300","400","400","500","334.14","354.18","0","600","350","380"
"2018","Hessen","331.85","345","1131","200","300","400","400","600","325.67","338.03","0","660","350","375"
"2018","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2018","Niedersachsen","326.17","345","1688","180","300","400","400","600","321.01","331.33","0","800","350","360"
"2018","Nordrhein-Westfalen","325.93","347.5","3411","150","300","400","400","500","322.27","329.59","0","840","350","350"
"2018","Rheinland-Pfalz,Saarland","334.63","355","981","200","300","400","400","600","327.9","341.36","0","630","350","380"
"2018","Saarland","","","","","","","","","","","","","",""
"2018","Sachsen","","","","","","","","","","","","","",""
"2018","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2018","Schleswig-Holstein","329.82","345","614","200","300","400","400","600","321.29","338.35","0","800","350","350"
"2018","Thüringen","","","","","","","","","","","","","",""
"2019","Baden-Württemberg","382.78","395","118","250","400","400","500","600","362.3","403.26","30","700","400","400"
"2019","Bayern","405.24","395","162","300","400","420","500","700","388.92","421.56","50","1000","400","400"
"2019","Berlin","","","","","","","","","","","","","",""
"2019","Brandenburg","","","","","","","","","","","","","",""
"2019","Bremen","","","","","","","","","","","","","",""
"2019","Hamburg","","","","","","","","","","","","","",""
"2019","Hessen","344.75","390","88","180","350","400","400","450","318.55","370.95","10","800","370","400"
"2019","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2019","Niedersachsen","348.58","395","102","200","300","400","400","480","328.29","368.87","40","480","380","400"
"2019","Nordrhein-Westfalen","365.42","395","224","180","390","400","400","600","352.34","378.5","40","600","400","400"
"2019","Rheinland-Pfalz,Saarland","338.56","395","55","80","250","400","450","500","300.2","376.92","50","500","350","400"
"2019","Saarland","","","","","","","","","","","","","",""
"2019","Sachsen","","","","","","","","","","","","","",""
"2019","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2019","Schleswig-Holstein","382.96","395","48","350","400","400","400","500","356.59","409.33","20","500","400","400"
"2019","Thüringen","","","","","","","","","","","","","",""
