"erwst","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Teilzeit","1986","(noch) kein Abschluss","Westdeutschland","26","","",""
"Teilzeit","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Teilzeit","1986","Hauptschule","Westdeutschland","372","0.0599267270380869","0.0539655698069421","0.0658878842692318"
"Teilzeit","1986","Hauptschule","Ostdeutschland","","","",""
"Teilzeit","1986","Realschule","Westdeutschland","127","0.0642775605009218","0.0528587872937661","0.0756963337080774"
"Teilzeit","1986","Realschule","Ostdeutschland","","","",""
"Teilzeit","1986","(Fach-)Abitur","Westdeutschland","34","0.0391125843414363","0.0257454928751687","0.052479675807704"
"Teilzeit","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Teilzeit","1986","AkademikerIn","Westdeutschland","76","0.0929739027942626","0.0721770506338625","0.113770754954663"
"Teilzeit","1986","AkademikerIn","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","(noch) kein Abschluss","Westdeutschland","548","0.683025034156312","0.65458158061141","0.711468487701215"
"nicht erwerbstätig","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","Hauptschule","Westdeutschland","2528","0.492719964533886","0.480163614620166","0.505276314447606"
"nicht erwerbstätig","1986","Hauptschule","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","Realschule","Westdeutschland","656","0.408368713576962","0.385482811819115","0.431254615334809"
"nicht erwerbstätig","1986","Realschule","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","(Fach-)Abitur","Westdeutschland","369","0.493376013813888","0.458903393153753","0.527848634474023"
"nicht erwerbstätig","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","AkademikerIn","Westdeutschland","164","0.249320932214232","0.218338628552756","0.280303235875708"
"nicht erwerbstätig","1986","AkademikerIn","Ostdeutschland","","","",""
"Andere","1986","(noch) kein Abschluss","Westdeutschland","22","","",""
"Andere","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Andere","1986","Hauptschule","Westdeutschland","301","0.043408960644023","0.0382910547893591","0.048526866498687"
"Andere","1986","Hauptschule","Ostdeutschland","","","",""
"Andere","1986","Realschule","Westdeutschland","178","0.0866702842213534","0.073570470001155","0.0997700984415518"
"Andere","1986","Realschule","Ostdeutschland","","","",""
"Andere","1986","(Fach-)Abitur","Westdeutschland","82","0.114396589627661","0.0924499218459502","0.136343257409372"
"Andere","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Andere","1986","AkademikerIn","Westdeutschland","25","","",""
"Andere","1986","AkademikerIn","Ostdeutschland","","","",""
"voll erwerbstätig","1987","(noch) kein Abschluss","Westdeutschland","407","0.288361035210279","0.260312358430788","0.31640971198977"
"voll erwerbstätig","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"voll erwerbstätig","1987","Hauptschule","Westdeutschland","2841","0.405991198171897","0.39357978800039","0.418402608343404"
"voll erwerbstätig","1987","Hauptschule","Ostdeutschland","","","",""
"voll erwerbstätig","1987","Realschule","Westdeutschland","806","0.453758671727559","0.430492768466681","0.477024574988437"
"voll erwerbstätig","1987","Realschule","Ostdeutschland","","","",""
"voll erwerbstätig","1987","(Fach-)Abitur","Westdeutschland","304","0.339636695476841","0.306401398860217","0.372871992093466"
"voll erwerbstätig","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"voll erwerbstätig","1987","AkademikerIn","Westdeutschland","511","0.651860029431723","0.617583230377289","0.686136828486158"
"voll erwerbstätig","1987","AkademikerIn","Ostdeutschland","","","",""
"Teilzeit","1987","(noch) kein Abschluss","Westdeutschland","36","0.0309889312540316","0.0202593716050988","0.0417184909029643"
"Teilzeit","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Teilzeit","1987","Hauptschule","Westdeutschland","415","0.0696627413527904","0.0632286552778366","0.0760968274277442"
"Teilzeit","1987","Hauptschule","Ostdeutschland","","","",""
"Teilzeit","1987","Realschule","Westdeutschland","138","0.0732037002132589","0.0610313669636152","0.0853760334629026"
"Teilzeit","1987","Realschule","Ostdeutschland","","","",""
"Teilzeit","1987","(Fach-)Abitur","Westdeutschland","39","0.053529093767282","0.0377330121342612","0.0693251754003029"
"Teilzeit","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Teilzeit","1987","AkademikerIn","Westdeutschland","49","0.0613227237626388","0.0440597739111999","0.0785856736140777"
"Teilzeit","1987","AkademikerIn","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","(noch) kein Abschluss","Westdeutschland","533","0.652942261466114","0.623467351575351","0.682417171356878"
"nicht erwerbstätig","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","Hauptschule","Westdeutschland","2482","0.488287956139503","0.475654644638677","0.500921267640329"
"nicht erwerbstätig","1987","Hauptschule","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","Realschule","Westdeutschland","619","0.381364933214918","0.358666137479206","0.40406372895063"
"nicht erwerbstätig","1987","Realschule","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","(Fach-)Abitur","Westdeutschland","339","0.469820988900346","0.434795979350221","0.504845998450472"
"nicht erwerbstätig","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","AkademikerIn","Westdeutschland","161","0.260094739803886","0.228530162320421","0.291659317287351"
"nicht erwerbstätig","1987","AkademikerIn","Ostdeutschland","","","",""
"Andere","1987","(noch) kein Abschluss","Westdeutschland","26","","",""
"Andere","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Andere","1987","Hauptschule","Westdeutschland","276","0.0360581043358097","0.0313462348453563","0.0407699738262631"
"Andere","1987","Hauptschule","Ostdeutschland","","","",""
"Andere","1987","Realschule","Westdeutschland","196","0.0916726948442639","0.0781875270331018","0.105157862655426"
"Andere","1987","Realschule","Ostdeutschland","","","",""
"Andere","1987","(Fach-)Abitur","Westdeutschland","98","0.13701322185553","0.112881733978639","0.161144709732421"
"Andere","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Andere","1987","AkademikerIn","Westdeutschland","21","","",""
"Andere","1987","AkademikerIn","Ostdeutschland","","","",""
"voll erwerbstätig","1988","(noch) kein Abschluss","Westdeutschland","358","0.26111284198053","0.232542966873816","0.289682717087244"
"voll erwerbstätig","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"voll erwerbstätig","1988","Hauptschule","Westdeutschland","2662","0.399352961014101","0.386685061154016","0.412020860874186"
"voll erwerbstätig","1988","Hauptschule","Ostdeutschland","","","",""
"voll erwerbstätig","1988","Realschule","Westdeutschland","785","0.460299455950087","0.436613408610685","0.483985503289489"
"voll erwerbstätig","1988","Realschule","Ostdeutschland","","","",""
"voll erwerbstätig","1988","(Fach-)Abitur","Westdeutschland","288","0.3614996851056","0.326814112642534","0.396185257568666"
"voll erwerbstätig","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"voll erwerbstätig","1988","AkademikerIn","Westdeutschland","487","0.672557725814123","0.637843163668411","0.707272287959836"
"voll erwerbstätig","1988","AkademikerIn","Ostdeutschland","","","",""
"Teilzeit","1988","(noch) kein Abschluss","Westdeutschland","40","0.0299697061969202","0.018879514370822","0.0410598980230183"
"Teilzeit","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Teilzeit","1988","Hauptschule","Westdeutschland","402","0.0693521903765474","0.0627810723506435","0.0759233084024512"
"Teilzeit","1988","Hauptschule","Ostdeutschland","","","",""
"Teilzeit","1988","Realschule","Westdeutschland","140","0.0793624447201405","0.0665170398714204","0.0922078495688605"
"Teilzeit","1988","Realschule","Ostdeutschland","","","",""
"Teilzeit","1988","(Fach-)Abitur","Westdeutschland","40","0.0553505212335104","0.0388419096617844","0.0718591328052364"
"Teilzeit","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Teilzeit","1988","AkademikerIn","Westdeutschland","48","0.0615580937768607","0.0437783371111526","0.0793378504425688"
"Teilzeit","1988","AkademikerIn","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","(noch) kein Abschluss","Westdeutschland","495","0.695777567173252","0.665852440637618","0.725702693708885"
"nicht erwerbstätig","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","Hauptschule","Westdeutschland","2389","0.492383610547172","0.479452491524943","0.5053147295694"
"nicht erwerbstätig","1988","Hauptschule","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","Realschule","Westdeutschland","588","0.378136638672791","0.355092111649353","0.40118116569623"
"nicht erwerbstätig","1988","Realschule","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","(Fach-)Abitur","Westdeutschland","323","0.459023798027947","0.423047122576856","0.495000473479038"
"nicht erwerbstätig","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","AkademikerIn","Westdeutschland","147","0.239512858428049","0.20794174565666","0.271083971199437"
"nicht erwerbstätig","1988","AkademikerIn","Ostdeutschland","","","",""
"Andere","1988","(noch) kein Abschluss","Westdeutschland","15","","",""
"Andere","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Andere","1988","Hauptschule","Westdeutschland","289","0.0389112380621798","0.0339093292377244","0.0439131468866352"
"Andere","1988","Hauptschule","Ostdeutschland","","","",""
"Andere","1988","Realschule","Westdeutschland","188","0.0822014606569809","0.0691484893709013","0.0952544319430605"
"Andere","1988","Realschule","Ostdeutschland","","","",""
"Andere","1988","(Fach-)Abitur","Westdeutschland","86","0.124125995632942","0.100321085952496","0.147930905313389"
"Andere","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Andere","1988","AkademikerIn","Westdeutschland","20","","",""
"Andere","1988","AkademikerIn","Ostdeutschland","","","",""
"voll erwerbstätig","1989","(noch) kein Abschluss","Westdeutschland","340","0.23799195463534","0.209982637272165","0.266001271998515"
"voll erwerbstätig","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"voll erwerbstätig","1989","Hauptschule","Westdeutschland","2602","0.402553310908628","0.389585548517473","0.415521073299783"
"voll erwerbstätig","1989","Hauptschule","Ostdeutschland","","","",""
"voll erwerbstätig","1989","Realschule","Westdeutschland","804","0.486018097106094","0.461909347371498","0.51012684684069"
"voll erwerbstätig","1989","Realschule","Ostdeutschland","","","",""
"voll erwerbstätig","1989","(Fach-)Abitur","Westdeutschland","312","0.39118080431397","0.356347445433143","0.426014163194797"
"voll erwerbstätig","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"voll erwerbstätig","1989","AkademikerIn","Westdeutschland","481","0.655979823808595","0.620738064755971","0.691221582861218"
"voll erwerbstätig","1989","AkademikerIn","Ostdeutschland","","","",""
"Teilzeit","1989","(noch) kein Abschluss","Westdeutschland","38","0.030027434904181","0.0188025873740554","0.0412522824343066"
"Teilzeit","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Teilzeit","1989","Hauptschule","Westdeutschland","393","0.0715540275686366","0.0647385055724639","0.0783695495648093"
"Teilzeit","1989","Hauptschule","Ostdeutschland","","","",""
"Teilzeit","1989","Realschule","Westdeutschland","139","0.0803107021667827","0.0672013318326306","0.0934200725009349"
"Teilzeit","1989","Realschule","Ostdeutschland","","","",""
"Teilzeit","1989","(Fach-)Abitur","Westdeutschland","46","0.0591958299934651","0.0423513506340333","0.0760403093528968"
"Teilzeit","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Teilzeit","1989","AkademikerIn","Westdeutschland","50","0.0645364572294731","0.0463085683041687","0.0827643461547776"
"Teilzeit","1989","AkademikerIn","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","(noch) kein Abschluss","Westdeutschland","489","0.693932381413893","0.663620780298938","0.724243982528849"
"nicht erwerbstätig","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","Hauptschule","Westdeutschland","2234","0.487234439507948","0.474017461212636","0.500451417803261"
"nicht erwerbstätig","1989","Hauptschule","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","Realschule","Westdeutschland","547","0.362221051184644","0.339036617723348","0.38540548464594"
"nicht erwerbstätig","1989","Realschule","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","(Fach-)Abitur","Westdeutschland","326","0.442436970966155","0.406985430789217","0.477888511143092"
"nicht erwerbstätig","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","AkademikerIn","Westdeutschland","144","0.244812829941796","0.212914733383867","0.276710926499726"
"nicht erwerbstätig","1989","AkademikerIn","Ostdeutschland","","","",""
"Andere","1989","(noch) kein Abschluss","Westdeutschland","21","","",""
"Andere","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Andere","1989","Hauptschule","Westdeutschland","265","0.0386582220147875","0.0335606471867185","0.0437557968428565"
"Andere","1989","Hauptschule","Ostdeutschland","","","",""
"Andere","1989","Realschule","Westdeutschland","161","0.071450149542479","0.0590256547717062","0.0838746443132518"
"Andere","1989","Realschule","Ostdeutschland","","","",""
"Andere","1989","(Fach-)Abitur","Westdeutschland","70","0.10718639472641","0.0851057042633995","0.129267085189421"
"Andere","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Andere","1989","AkademikerIn","Westdeutschland","23","","",""
"Andere","1989","AkademikerIn","Ostdeutschland","","","",""
"voll erwerbstätig","1990","(noch) kein Abschluss","Westdeutschland","324","0.267716159816875","0.237862556684129","0.297569762949621"
"voll erwerbstätig","1990","(noch) kein Abschluss","Ostdeutschland","5","","",""
"voll erwerbstätig","1990","Hauptschule","Westdeutschland","2519","0.406015281725224","0.392853605057494","0.419176958392954"
"voll erwerbstätig","1990","Hauptschule","Ostdeutschland","909","0.467982620627993","0.444065564275431","0.491899676980555"
"voll erwerbstätig","1990","Realschule","Westdeutschland","799","0.486668574582872","0.462366856066978","0.510970293098766"
"voll erwerbstätig","1990","Realschule","Ostdeutschland","1108","0.698164635511055","0.675493577071076","0.720835693951033"
"voll erwerbstätig","1990","(Fach-)Abitur","Westdeutschland","298","0.386419119827081","0.351524175915203","0.421314063738958"
"voll erwerbstätig","1990","(Fach-)Abitur","Ostdeutschland","69","0.529029364187581","0.442892305001392","0.615166423373769"
"voll erwerbstätig","1990","AkademikerIn","Westdeutschland","475","0.654530840001129","0.619279210067089","0.689782469935169"
"voll erwerbstätig","1990","AkademikerIn","Ostdeutschland","782","0.767977247630048","0.741708962668241","0.794245532591855"
"Teilzeit","1990","(noch) kein Abschluss","Westdeutschland","41","0.0306919926722042","0.0190624354572696","0.0423215498871389"
"Teilzeit","1990","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Teilzeit","1990","Hauptschule","Westdeutschland","405","0.0775053385282988","0.0703389536077765","0.084671723448821"
"Teilzeit","1990","Hauptschule","Ostdeutschland","182","0.094512424677675","0.080490240902203","0.108534608453147"
"Teilzeit","1990","Realschule","Westdeutschland","160","0.0913620331354214","0.0773532721351653","0.105370794135677"
"Teilzeit","1990","Realschule","Ostdeutschland","149","0.0826128497425143","0.0690169504175467","0.096208749067482"
"Teilzeit","1990","(Fach-)Abitur","Westdeutschland","47","0.0638193602000514","0.0463026178155002","0.0813361025846025"
"Teilzeit","1990","(Fach-)Abitur","Ostdeutschland","8","","",""
"Teilzeit","1990","AkademikerIn","Westdeutschland","59","0.0861929968618445","0.0653877566366173","0.106998237087072"
"Teilzeit","1990","AkademikerIn","Ostdeutschland","68","0.0709126507441931","0.0549398016673084","0.0868854998210777"
"nicht erwerbstätig","1990","(noch) kein Abschluss","Westdeutschland","462","0.665459386456735","0.633646363511679","0.697272409401792"
"nicht erwerbstätig","1990","(noch) kein Abschluss","Ostdeutschland","39","0.871313026418782","0.77347757993637","0.969148472901195"
"nicht erwerbstätig","1990","Hauptschule","Westdeutschland","2188","0.479147078428716","0.465758194819828","0.492535962037604"
"nicht erwerbstätig","1990","Hauptschule","Ostdeutschland","568","0.430791446929978","0.407055902421858","0.454526991438099"
"nicht erwerbstätig","1990","Realschule","Westdeutschland","520","0.351144170494685","0.327936142203323","0.374352198786048"
"nicht erwerbstätig","1990","Realschule","Ostdeutschland","194","0.144999057566579","0.127610093964549","0.162388021168609"
"nicht erwerbstätig","1990","(Fach-)Abitur","Westdeutschland","324","0.43800388077418","0.402448696844803","0.473559064703558"
"nicht erwerbstätig","1990","(Fach-)Abitur","Ostdeutschland","49","0.399960936324506","0.315422971878981","0.48449890077003"
"nicht erwerbstätig","1990","AkademikerIn","Westdeutschland","151","0.239873675593257","0.20821857596975","0.271528775216765"
"nicht erwerbstätig","1990","AkademikerIn","Ostdeutschland","140","0.157592966606926","0.134919304905942","0.18026662830791"
"Andere","1990","(noch) kein Abschluss","Westdeutschland","18","","",""
"Andere","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Andere","1990","Hauptschule","Westdeutschland","236","0.0373323013177615","0.0322514911033216","0.0424131115322014"
"Andere","1990","Hauptschule","Ostdeutschland","13","","",""
"Andere","1990","Realschule","Westdeutschland","146","0.0708252217870215","0.0583524181180092","0.0832980254560338"
"Andere","1990","Realschule","Ostdeutschland","124","0.0742234571798523","0.0612775798428783","0.0871693345168264"
"Andere","1990","(Fach-)Abitur","Westdeutschland","79","0.111757639198688","0.0891787983615366","0.134336480035839"
"Andere","1990","(Fach-)Abitur","Ostdeutschland","3","","",""
"Andere","1990","AkademikerIn","Westdeutschland","14","","",""
"Andere","1990","AkademikerIn","Ostdeutschland","2","","",""
"voll erwerbstätig","1991","(noch) kein Abschluss","Westdeutschland","323","0.287499886157969","0.256615965766994","0.318383806548943"
"voll erwerbstätig","1991","(noch) kein Abschluss","Ostdeutschland","3","","",""
"voll erwerbstätig","1991","Hauptschule","Westdeutschland","2498","0.405432786128625","0.392163229346424","0.418702342910827"
"voll erwerbstätig","1991","Hauptschule","Ostdeutschland","679","0.385043497956646","0.360385410410943","0.409701585502348"
"voll erwerbstätig","1991","Realschule","Westdeutschland","792","0.472458684415654","0.448398968473707","0.496518400357602"
"voll erwerbstätig","1991","Realschule","Ostdeutschland","1003","0.663803726104032","0.639865135082846","0.687742317125218"
"voll erwerbstätig","1991","(Fach-)Abitur","Westdeutschland","321","0.413459954211918","0.37876684916178","0.448153059262057"
"voll erwerbstätig","1991","(Fach-)Abitur","Ostdeutschland","59","0.517754530825804","0.426822868933662","0.608686192717947"
"voll erwerbstätig","1991","AkademikerIn","Westdeutschland","482","0.631607360012584","0.596470910749231","0.666743809275936"
"voll erwerbstätig","1991","AkademikerIn","Ostdeutschland","697","0.689234187349399","0.659866217389968","0.718602157308831"
"Teilzeit","1991","(noch) kein Abschluss","Westdeutschland","46","0.0407718197342005","0.0272771540781725","0.0542664853902286"
"Teilzeit","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Teilzeit","1991","Hauptschule","Westdeutschland","409","0.0773979161770898","0.0701757353951763","0.0846200969590033"
"Teilzeit","1991","Hauptschule","Ostdeutschland","93","0.0513912212567808","0.0402027607520775","0.0625796817614842"
"Teilzeit","1991","Realschule","Westdeutschland","166","0.0954269474961928","0.0812677813693407","0.109586113623045"
"Teilzeit","1991","Realschule","Ostdeutschland","92","0.0551329516009985","0.043567215789495","0.0666986874125021"
"Teilzeit","1991","(Fach-)Abitur","Westdeutschland","54","0.0674272977077832","0.0497613541923374","0.085093241223229"
"Teilzeit","1991","(Fach-)Abitur","Ostdeutschland","2","","",""
"Teilzeit","1991","AkademikerIn","Westdeutschland","67","0.0972452590330501","0.0756629495637876","0.118827568502313"
"Teilzeit","1991","AkademikerIn","Ostdeutschland","45","0.0457543363850367","0.0324950505915341","0.0590136221785392"
"nicht erwerbstätig","1991","(noch) kein Abschluss","Westdeutschland","432","0.63057238963383","0.597637723332508","0.663507055935152"
