"erwst","year","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Teilzeit","1996","4","119","0.082011187143384","0.0683427815826976","0.0956795927040704"
"Teilzeit","1996","5 Einkommensstärkstes Quintil","67","0.0754264655947438","0.0574932488291841","0.0933596823603034"
"voll erwerbstätig","1996","1 Einkommensschwächstes Quintil","1384","0.25077272319752","0.238103978468057","0.263441467926982"
"voll erwerbstätig","1996","2","1702","0.385254324219229","0.369901936105351","0.400606712333107"
"voll erwerbstätig","1996","3","1300","0.501095779888496","0.480701654461565","0.521489905315427"
"voll erwerbstätig","1996","4","983","0.581948794798592","0.557377969768598","0.606519619828586"
"voll erwerbstätig","1996","5 Einkommensstärkstes Quintil","526","0.599566176848144","0.566291830739732","0.632840522956555"
"Andere","1997","1 Einkommensschwächstes Quintil","296","0.0586566898592946","0.051603715762969","0.0657096639556203"
"Andere","1997","2","183","0.0374324576957652","0.0314035393907046","0.0434613760008258"
"Andere","1997","3","119","0.0428107700953895","0.0346315376758891","0.0509900025148899"
"Andere","1997","4","62","0.0371299315917066","0.0278067216179509","0.0464531415654622"
"Andere","1997","5 Einkommensstärkstes Quintil","22","","",""
"nicht erwerbstätig","1997","1 Einkommensschwächstes Quintil","2389","0.617871136686654","0.603286575451862","0.632455697921446"
"nicht erwerbstätig","1997","2","1693","0.519503006929854","0.503634393115337","0.53537162074437"
"nicht erwerbstätig","1997","3","745","0.375257596512173","0.355693834740252","0.394821358284095"
"nicht erwerbstätig","1997","4","407","0.314430918531673","0.291537651116562","0.337324185946784"
"nicht erwerbstätig","1997","5 Einkommensstärkstes Quintil","197","0.261832455681871","0.231796781401662","0.29186812996208"
"Teilzeit","1997","1 Einkommensschwächstes Quintil","265","0.0709632816002661","0.0632565048625366","0.0786700583379956"
"Teilzeit","1997","2","318","0.0801345037697338","0.0715112421636528","0.0887577653758149"
"Teilzeit","1997","3","206","0.0847590593201636","0.073505292535128","0.0960128261051992"
"Teilzeit","1997","4","132","0.082607566150725","0.0690335913708018","0.0961815409306481"
"Teilzeit","1997","5 Einkommensstärkstes Quintil","71","0.0926871359233059","0.0728747655154039","0.112499506331208"
"voll erwerbstätig","1997","1 Einkommensschwächstes Quintil","1314","0.252508891853785","0.239468794119071","0.265548989588499"
"voll erwerbstätig","1997","2","1614","0.362930031604648","0.347657724769976","0.378202338439319"
"voll erwerbstätig","1997","3","1283","0.497172574072274","0.476970303291739","0.517374844852808"
"voll erwerbstätig","1997","4","979","0.565831583725895","0.541392087252192","0.590271080199598"
"voll erwerbstätig","1997","5 Einkommensstärkstes Quintil","533","0.621061919731074","0.587918314353433","0.654205525108715"
"Andere","1998","1 Einkommensschwächstes Quintil","348","0.064167881973034","0.0571016981919114","0.0712340657541566"
"Andere","1998","2","233","0.0475205214682669","0.0410131285388659","0.0540279143976679"
"Andere","1998","3","134","0.0467146502878318","0.0385607347540709","0.0548685658215927"
"Andere","1998","4","56","0.0245949808897748","0.0176794906706849","0.0315104711088648"
"Andere","1998","5 Einkommensstärkstes Quintil","25","","",""
"nicht erwerbstätig","1998","1 Einkommensschwächstes Quintil","2585","0.602482771989971","0.588371134960884","0.616594409019059"
"nicht erwerbstätig","1998","2","1858","0.516918754116066","0.501633950899182","0.53220355733295"
"nicht erwerbstätig","1998","3","879","0.401611687854958","0.382669814845553","0.420553560864362"
"nicht erwerbstätig","1998","4","544","0.321358310449476","0.300507532225187","0.342209088673765"
"nicht erwerbstätig","1998","5 Einkommensstärkstes Quintil","243","0.275724772135013","0.248192151946862","0.303257392323164"
"Teilzeit","1998","1 Einkommensschwächstes Quintil","317","0.072994012321226","0.0654931362323724","0.0804948884100797"
"Teilzeit","1998","2","318","0.0770959732953135","0.0689370521323552","0.0852548944582718"
"Teilzeit","1998","3","220","0.083259796335296","0.072584768677637","0.093934823992955"
"Teilzeit","1998","4","164","0.0928896012362268","0.079929128114715","0.105850074357739"
"Teilzeit","1998","5 Einkommensstärkstes Quintil","91","0.0887256891665614","0.0712067788566678","0.106244599476455"
"voll erwerbstätig","1998","1 Einkommensschwächstes Quintil","1370","0.260355333715769","0.247701506274391","0.273009161157147"
"voll erwerbstätig","1998","2","1697","0.358464751120354","0.343796710344805","0.373132791895902"
"voll erwerbstätig","1998","3","1340","0.468413865521915","0.449132850575984","0.487694880467845"
"voll erwerbstätig","1998","4","1163","0.561157107424523","0.539000462282668","0.583313752566377"
"voll erwerbstätig","1998","5 Einkommensstärkstes Quintil","653","0.611007163153486","0.580970492843315","0.641043833463656"
"Andere","1999","1 Einkommensschwächstes Quintil","353","0.0846985257186246","0.0759171620608255","0.0934798893764236"
"Andere","1999","2","284","0.0612401717364864","0.0539000277331907","0.0685803157397822"
"Andere","1999","3","130","0.0469381636639402","0.0387449987693602","0.0551313285585202"
"Andere","1999","4","83","0.0409617089874375","0.0322839768555588","0.0496394411193162"
"Andere","1999","5 Einkommensstärkstes Quintil","49","0.0492121700512446","0.0367047958989091","0.0617195442035801"
"nicht erwerbstätig","1999","1 Einkommensschwächstes Quintil","2120","0.593226538648959","0.577733787414185","0.608719289883733"
"nicht erwerbstätig","1999","2","1789","0.49426500869068","0.478959401391023","0.509570615990336"
"nicht erwerbstätig","1999","3","886","0.396559053238359","0.377609480121094","0.415508626355624"
"nicht erwerbstätig","1999","4","536","0.319020325891649","0.29861349882144","0.339427152961858"
"nicht erwerbstätig","1999","5 Einkommensstärkstes Quintil","285","0.297289253034304","0.270861150728842","0.323717355339767"
"Teilzeit","1999","1 Einkommensschwächstes Quintil","267","0.0677638889708132","0.0598369762164678","0.0756908017251586"
"Teilzeit","1999","2","338","0.0794508431112488","0.0711717669223297","0.0877299193001679"
"Teilzeit","1999","3","235","0.0893977172413946","0.0783453402429923","0.100450094239797"
"Teilzeit","1999","4","179","0.0916665258412924","0.0790329213127393","0.104300130369846"
"Teilzeit","1999","5 Einkommensstärkstes Quintil","97","0.0745365250713689","0.0593502140823837","0.0897228360603541"
"voll erwerbstätig","1999","1 Einkommensschwächstes Quintil","1122","0.254311046661603","0.240576844880951","0.268045248442256"
"voll erwerbstätig","1999","2","1688","0.365043976461585","0.350305467531313","0.379782485391857"
"voll erwerbstätig","1999","3","1309","0.467105065856306","0.447778433162106","0.486431698550507"
"voll erwerbstätig","1999","4","1206","0.548351439279621","0.526562853553055","0.570140025006188"
"voll erwerbstätig","1999","5 Einkommensstärkstes Quintil","718","0.578962051843082","0.550414179481783","0.607509924204381"
"Andere","2000","1 Einkommensschwächstes Quintil","566","0.0880587583034729","0.0810444632943777","0.0950730533125681"
"Andere","2000","2","421","0.0569093404444547","0.0514114945260666","0.0624071863628428"
"Andere","2000","3","282","0.0552011406108179","0.0486428288940329","0.0617594523276029"
"Andere","2000","4","153","0.0392358445669838","0.0330973369733222","0.0453743521606453"
"Andere","2000","5 Einkommensstärkstes Quintil","69","0.026625540417764","0.0203338363781356","0.0329172444573925"
"nicht erwerbstätig","2000","1 Einkommensschwächstes Quintil","3595","0.594878682815169","0.582727429577298","0.60702993605304"
"nicht erwerbstätig","2000","2","3194","0.498346340845939","0.486480686433526","0.510211995258351"
"nicht erwerbstätig","2000","3","1684","0.383314413211881","0.369352085638706","0.397276740785056"
"nicht erwerbstätig","2000","4","1149","0.319427384501324","0.304686070176761","0.334168698825888"
"nicht erwerbstätig","2000","5 Einkommensstärkstes Quintil","702","0.305394487362259","0.287394226215257","0.323394748509262"
"Teilzeit","2000","1 Einkommensschwächstes Quintil","479","0.0781451078410093","0.0715016145554177","0.0847886011266008"
"Teilzeit","2000","2","616","0.0835361140856795","0.0769698419377476","0.0901023862336114"
"Teilzeit","2000","3","512","0.105278294645683","0.0964645237725545","0.114092065518812"
"Teilzeit","2000","4","385","0.0980643570997846","0.0886615772828397","0.10746713691673"
"Teilzeit","2000","5 Einkommensstärkstes Quintil","240","0.0893111562202274","0.0781652095595849","0.10045710288087"
"voll erwerbstätig","2000","1 Einkommensschwächstes Quintil","1630","0.238917451040349","0.228362550653299","0.249472351427399"
"voll erwerbstätig","2000","2","2590","0.361208204623927","0.34980879042145","0.372607618826404"
"voll erwerbstätig","2000","3","2180","0.456206151531618","0.441902528276634","0.470509774786601"
"voll erwerbstätig","2000","4","2156","0.543272413831907","0.527523509416881","0.559021318246934"
"voll erwerbstätig","2000","5 Einkommensstärkstes Quintil","1504","0.578668815999749","0.559371098795021","0.597966533204478"
"Andere","2001","1 Einkommensschwächstes Quintil","517","0.0935493020507298","0.0856693002345798","0.10142930386688"
"Andere","2001","2","449","0.0688720918703099","0.062448362523724","0.0752958212168957"
"Andere","2001","3","245","0.0506375708691937","0.0442513000097709","0.0570238417286165"
"Andere","2001","4","165","0.0411065421239439","0.034721440821914","0.0474916434259739"
"Andere","2001","5 Einkommensstärkstes Quintil","82","0.0340574148321435","0.0268943747513147","0.0412204549129724"
"nicht erwerbstätig","2001","1 Einkommensschwächstes Quintil","2979","0.599584243458612","0.586325125538402","0.612843361378822"
"nicht erwerbstätig","2001","2","2781","0.493410911137455","0.480728751494608","0.506093070780303"
"nicht erwerbstätig","2001","3","1772","0.415645927449375","0.401291208817014","0.430000646081735"
"nicht erwerbstätig","2001","4","1150","0.330254546899888","0.315129162139618","0.345379931660158"
"nicht erwerbstätig","2001","5 Einkommensstärkstes Quintil","665","0.291944167774015","0.273988583602226","0.309899751945804"
"Teilzeit","2001","1 Einkommensschwächstes Quintil","420","0.0791420737539703","0.0718368423713344","0.0864473051366063"
"Teilzeit","2001","2","550","0.0883290736994547","0.0811307426471895","0.0955274047517198"
"Teilzeit","2001","3","481","0.0990383034529219","0.0903376946582851","0.107738912247559"
"Teilzeit","2001","4","373","0.0966391421390236","0.0871367202398673","0.10614156403818"
"Teilzeit","2001","5 Einkommensstärkstes Quintil","233","0.0884555873721856","0.077241409582311","0.0996697651620603"
"voll erwerbstätig","2001","1 Einkommensschwächstes Quintil","1330","0.227724380736688","0.216376235772339","0.239072525701036"
"voll erwerbstätig","2001","2","2190","0.34938792329278","0.337293757151262","0.361482089434298"
"voll erwerbstätig","2001","3","2030","0.43467819822851","0.420239545261258","0.449116851195762"
"voll erwerbstätig","2001","4","2026","0.531999768837145","0.515952323799435","0.548047213874855"
"voll erwerbstätig","2001","5 Einkommensstärkstes Quintil","1483","0.585542830021655","0.566087659243862","0.604998000799449"
"Andere","2002","1 Einkommensschwächstes Quintil","456","0.0962483595417967","0.0877786295363348","0.104718089547259"
"Andere","2002","2","377","0.0674301324313277","0.0607030538323611","0.0741572110302944"
"Andere","2002","3","273","0.0566539124847288","0.0498192176037016","0.063488607365756"
"Andere","2002","4","241","0.043071228143161","0.0369459572602528","0.0491964990260691"
"Andere","2002","5 Einkommensstärkstes Quintil","189","0.0362804122529137","0.0307647941695557","0.0417960303362717"
"nicht erwerbstätig","2002","1 Einkommensschwächstes Quintil","2762","0.613678094210493","0.599695320579489","0.627660867841497"
"nicht erwerbstätig","2002","2","2575","0.500328426176224","0.486915339935301","0.513741512417146"
"nicht erwerbstätig","2002","3","1795","0.428951266179318","0.414319080121877","0.443583452236758"
"nicht erwerbstätig","2002","4","1328","0.345960002050184","0.331608182497384","0.360311821602984"
"nicht erwerbstätig","2002","5 Einkommensstärkstes Quintil","1195","0.300510907456132","0.286986964495363","0.314034850416901"
"Teilzeit","2002","1 Einkommensschwächstes Quintil","381","0.0806277051333824","0.0728089753434467","0.088446434923318"
"Teilzeit","2002","2","505","0.0932550113110166","0.0854542412278426","0.101055781394191"
"Teilzeit","2002","3","438","0.0928621491966694","0.0842814108156493","0.101442887577689"
"Teilzeit","2002","4","440","0.0959029526098241","0.0870188128884563","0.104787092331192"
"Teilzeit","2002","5 Einkommensstärkstes Quintil","519","0.092770631882687","0.0842131390391807","0.101328124726193"
"voll erwerbstätig","2002","1 Einkommensschwächstes Quintil","1059","0.209445841114328","0.197760267561202","0.221131414667454"
"voll erwerbstätig","2002","2","1881","0.338986430081432","0.326287850337476","0.351685009825388"
"voll erwerbstätig","2002","3","1889","0.421532672139284","0.406933652611392","0.436131691667176"
"voll erwerbstätig","2002","4","2211","0.515065817196831","0.499987091911627","0.530144542482035"
"voll erwerbstätig","2002","5 Einkommensstärkstes Quintil","2512","0.570438048408267","0.555836467368356","0.585039629448178"
"Andere","2003","1 Einkommensschwächstes Quintil","439","0.0931175790402401","0.0844729864950748","0.101762171585405"
"Andere","2003","2","382","0.0695455028339625","0.0625613219805113","0.0765296836874136"
"Andere","2003","3","267","0.0583921994581152","0.0514216708841762","0.0653627280320541"
"Andere","2003","4","237","0.043799922314947","0.0377113666114972","0.0498884780183969"
"Andere","2003","5 Einkommensstärkstes Quintil","170","0.0354904646756353","0.0297867335849747","0.0411941957662959"
"nicht erwerbstätig","2003","1 Einkommensschwächstes Quintil","2645","0.634118691684408","0.619789932386156","0.648447450982661"
"nicht erwerbstätig","2003","2","2439","0.499745780603939","0.486017905176263","0.513473656031615"
"nicht erwerbstätig","2003","3","1820","0.431452014475716","0.416728784899426","0.446175244052007"
"nicht erwerbstätig","2003","4","1479","0.370409285195855","0.356042046211522","0.384776524180188"
"nicht erwerbstätig","2003","5 Einkommensstärkstes Quintil","1162","0.320544238098893","0.306157096541602","0.334931379656184"
"Teilzeit","2003","1 Einkommensschwächstes Quintil","356","0.0809051099752324","0.0727932331005319","0.0890169868499328"
"Teilzeit","2003","2","516","0.097150018688263","0.0890186692993069","0.105281368077219"
"Teilzeit","2003","3","465","0.093459173021872","0.0848063479949392","0.102111998048805"
"Teilzeit","2003","4","440","0.092042802248229","0.0834421610461624","0.100643443450296"
"Teilzeit","2003","5 Einkommensstärkstes Quintil","492","0.102750766863964","0.0933902674533414","0.112111266274587"
"voll erwerbstätig","2003","1 Einkommensschwächstes Quintil","901","0.191858619300119","0.180145096475754","0.203572142124484"
"voll erwerbstätig","2003","2","1759","0.333558697873835","0.320613745159125","0.346503650588546"
"voll erwerbstätig","2003","3","1795","0.416696613044297","0.402040780125688","0.431352445962905"
"voll erwerbstätig","2003","4","2184","0.493747990240969","0.478873596386086","0.508622384095852"
"voll erwerbstätig","2003","5 Einkommensstärkstes Quintil","2218","0.541214530361508","0.525852822994803","0.556576237728213"
"Andere","2004","1 Einkommensschwächstes Quintil","469","0.113884492631604","0.104293174648104","0.123475810615105"
"Andere","2004","2","376","0.0653669248207528","0.0584972139123512","0.0722366357291545"
"Andere","2004","3","270","0.0590759926497014","0.0518733279701978","0.0662786573292049"
"Andere","2004","4","226","0.0421015736209191","0.0360760379218842","0.048127109319954"
"Andere","2004","5 Einkommensstärkstes Quintil","185","0.0381582477387367","0.0322522134949236","0.0440642819825499"
"nicht erwerbstätig","2004","1 Einkommensschwächstes Quintil","2538","0.621875282764776","0.607234307504545","0.636516258025006"
"nicht erwerbstätig","2004","2","2445","0.512683778993842","0.498791641157413","0.526575916830271"
"nicht erwerbstätig","2004","3","1770","0.449496012643544","0.434299163082949","0.464692862204138"
"nicht erwerbstätig","2004","4","1480","0.376052956434573","0.361518957002548","0.390586955866599"
"nicht erwerbstätig","2004","5 Einkommensstärkstes Quintil","1149","0.306734901824141","0.292518777848184","0.320951025800098"
"Teilzeit","2004","1 Einkommensschwächstes Quintil","350","0.0799654020528278","0.0717759665366","0.0881548375690556"
"Teilzeit","2004","2","464","0.0881638191380021","0.0802835242553494","0.0960441140206548"
"Teilzeit","2004","3","452","0.101278445437408","0.0920616170731399","0.110495273801676"
"Teilzeit","2004","4","476","0.0985609477170225","0.089617450228748","0.107504445205297"
"Teilzeit","2004","5 Einkommensstärkstes Quintil","444","0.0855246774209186","0.0769032008163398","0.0941461540254974"
"voll erwerbstätig","2004","1 Einkommensschwächstes Quintil","857","0.184274822550792","0.172568896944603","0.195980748156982"
"voll erwerbstätig","2004","2","1688","0.333785477047403","0.320679191443098","0.346891762651708"
"voll erwerbstätig","2004","3","1624","0.390149549269347","0.375247786774628","0.405051311764066"
"voll erwerbstätig","2004","4","2085","0.483284522227485","0.468290645077539","0.498278399377431"
"voll erwerbstätig","2004","5 Einkommensstärkstes Quintil","2264","0.569582173016204","0.554318000851821","0.584846345180586"
"Andere","2005","1 Einkommensschwächstes Quintil","444","0.106913452625076","0.0975336198751473","0.116293285375004"
"Andere","2005","2","363","0.0738972199152146","0.0663200606945659","0.0814743791358633"
"Andere","2005","3","283","0.072453175958342","0.0642856740701093","0.0806206778465746"
"Andere","2005","4","231","0.0467572203212199","0.0402704226713342","0.0532440179711055"
"Andere","2005","5 Einkommensstärkstes Quintil","176","0.041549047849177","0.0353733328667627","0.0477247628315913"
"nicht erwerbstätig","2005","1 Einkommensschwächstes Quintil","2573","0.62254141966716","0.607826736331538","0.637256103002783"
"nicht erwerbstätig","2005","2","2346","0.531168378201303","0.516714402387658","0.545622354014948"
"nicht erwerbstätig","2005","3","1646","0.426083230652296","0.410503344247671","0.441663117056922"
"nicht erwerbstätig","2005","4","1385","0.357380836732052","0.342656127996759","0.372105545467345"
"nicht erwerbstätig","2005","5 Einkommensstärkstes Quintil","1175","0.298902164535698","0.284735239259947","0.313069089811449"
"Teilzeit","2005","1 Einkommensschwächstes Quintil","335","0.0874202339826307","0.0788464301369541","0.0959940378283073"
"Teilzeit","2005","2","422","0.0860524273581034","0.0779296420652546","0.0941752126509522"
"Teilzeit","2005","3","429","0.106642709781573","0.0969181312605841","0.116367288302561"
"Teilzeit","2005","4","462","0.0984231409363186","0.0892703354205298","0.107575946452107"
"Teilzeit","2005","5 Einkommensstärkstes Quintil","444","0.0899467807320697","0.0810926084668366","0.0988009529973028"
"voll erwerbstätig","2005","1 Einkommensschwächstes Quintil","817","0.183124893725134","0.171384472821533","0.194865314628734"
"voll erwerbstätig","2005","2","1448","0.308881974525379","0.295499538935392","0.322264410115367"
"voll erwerbstätig","2005","3","1512","0.394820883607789","0.379420390276152","0.410221376939426"
"voll erwerbstätig","2005","4","1991","0.497438802010409","0.482076066536418","0.5128015374844"
"voll erwerbstätig","2005","5 Einkommensstärkstes Quintil","2216","0.569602006883055","0.554279048070216","0.584924965695895"
"Andere","2006","1 Einkommensschwächstes Quintil","545","0.126485444851539","0.116640439248572","0.136330450454505"
"Andere","2006","2","422","0.0793941201470558","0.0718756054449931","0.0869126348491184"
"Andere","2006","3","302","0.0618395992727343","0.0545853367879541","0.0690938617575145"
"Andere","2006","4","254","0.053769967754241","0.0471641618052837","0.0603757737031982"
"Andere","2006","5 Einkommensstärkstes Quintil","170","0.0356781585043117","0.0300738447314102","0.0412824722772132"
"nicht erwerbstätig","2006","1 Einkommensschwächstes Quintil","2697","0.631234796346854","0.616944835091655","0.645524757602053"
"nicht erwerbstätig","2006","2","2533","0.513766937539023","0.499867208618692","0.527666666459355"
"nicht erwerbstätig","2006","3","1848","0.438772136654836","0.423826634336585","0.453717638973088"
"nicht erwerbstätig","2006","4","1573","0.356947594700298","0.342916777282724","0.370978412117871"
"nicht erwerbstätig","2006","5 Einkommensstärkstes Quintil","1299","0.300077606743136","0.286230725630321","0.31392448785595"
"Teilzeit","2006","1 Einkommensschwächstes Quintil","351","0.0731827930064278","0.0654691035163205","0.0808964824965351"
"Teilzeit","2006","2","485","0.0942628640979654","0.0861369465011664","0.102388781694764"
"Teilzeit","2006","3","448","0.101468551669516","0.0923745766824106","0.110562526656622"
"Teilzeit","2006","4","534","0.104172347749899","0.0952259950068931","0.113118700492904"
"Teilzeit","2006","5 Einkommensstärkstes Quintil","491","0.0934632443544611","0.0846684971564126","0.10225799155251"
"voll erwerbstätig","2006","1 Einkommensschwächstes Quintil","786","0.16909696579518","0.157994902518041","0.180199029072318"
"voll erwerbstätig","2006","2","1527","0.312576078215955","0.299684941907855","0.325467214524055"
"voll erwerbstätig","2006","3","1637","0.397919712402913","0.383178054967051","0.412661369838775"
"voll erwerbstätig","2006","4","2118","0.485110089795563","0.470473668413025","0.4997465111781"
"voll erwerbstätig","2006","5 Einkommensstärkstes Quintil","2248","0.570780990398091","0.555826058149612","0.585735922646571"
"Andere","2007","1 Einkommensschwächstes Quintil","463","0.117452690429183","0.107297252113888","0.127608128744478"
"Andere","2007","2","400","0.0814911178917893","0.0735969544500045","0.089385281333574"
"Andere","2007","3","293","0.0774633549179978","0.0691108702536406","0.085815839582355"
"Andere","2007","4","222","0.0491271949273395","0.0426708948083043","0.0555834950463746"
"Andere","2007","5 Einkommensstärkstes Quintil","170","0.0354138879019181","0.0297777994527096","0.0410499763511266"
"nicht erwerbstätig","2007","1 Einkommensschwächstes Quintil","2399","0.627511545231312","0.612261699207129","0.642761391255494"
"nicht erwerbstätig","2007","2","2286","0.503658809243727","0.489232086939977","0.518085531547476"
"nicht erwerbstätig","2007","3","1671","0.425895131870269","0.410445338500991","0.441344925239547"
"nicht erwerbstätig","2007","4","1504","0.354186410118445","0.339899738919754","0.368473081317136"
"nicht erwerbstätig","2007","5 Einkommensstärkstes Quintil","1275","0.286896204878682","0.273103187954727","0.300689221802637"
"Teilzeit","2007","1 Einkommensschwächstes Quintil","310","0.082232530648844","0.0735671758790993","0.0908978854185888"
"Teilzeit","2007","2","497","0.101707498723379","0.0929859287391406","0.110429068707618"
"Teilzeit","2007","3","467","0.107994229935033","0.098296728991594","0.117691730878472"
"Teilzeit","2007","4","529","0.106259170153576","0.0970536035937141","0.115464736713437"
"Teilzeit","2007","5 Einkommensstärkstes Quintil","487","0.102261239103409","0.0930216851186465","0.111500793088171"
"voll erwerbstätig","2007","1 Einkommensschwächstes Quintil","689","0.172803233690661","0.160877680416895","0.184728786964427"
"voll erwerbstätig","2007","2","1431","0.313142574141105","0.299760801294128","0.326524346988082"
"voll erwerbstätig","2007","3","1504","0.3886472832767","0.373417298682594","0.403877267870806"
"voll erwerbstätig","2007","4","2050","0.49042722480064","0.475494058310101","0.505360391291179"
"voll erwerbstätig","2007","5 Einkommensstärkstes Quintil","2199","0.575428668115991","0.560355950110439","0.590501386121543"
"Andere","2008","1 Einkommensschwächstes Quintil","435","0.132595749163472","0.121201316919544","0.143990181407399"
"Andere","2008","2","378","0.0930848772184279","0.0842042339488294","0.101965520488026"
"Andere","2008","3","299","0.0776405316634998","0.0691152349200843","0.0861658284069153"
"Andere","2008","4","238","0.0592144649657557","0.0520334924734996","0.0663954374580118"
"Andere","2008","5 Einkommensstärkstes Quintil","166","0.0319643838101026","0.0265937490265147","0.0373350185936905"
"nicht erwerbstätig","2008","1 Einkommensschwächstes Quintil","2083","0.617071105995145","0.600738939792869","0.633403272197421"
"nicht erwerbstätig","2008","2","2062","0.490772717472284","0.475492920779493","0.506052514165074"
"nicht erwerbstätig","2008","3","1586","0.427096629119199","0.411337982753934","0.442855275484464"
"nicht erwerbstätig","2008","4","1438","0.332703450454706","0.318367973901581","0.347038927007832"
"nicht erwerbstätig","2008","5 Einkommensstärkstes Quintil","1246","0.275738006180413","0.26209396733595","0.289382045024875"
"Teilzeit","2008","1 Einkommensschwächstes Quintil","279","0.0796975480952157","0.0705983129937555","0.0887967831966759"
"Teilzeit","2008","2","429","0.0969692299198067","0.0879246211531103","0.106013838686503"
"Teilzeit","2008","3","462","0.115043329088507","0.104878341021614","0.125208317155399"
"Teilzeit","2008","4","482","0.100071015966227","0.0909407733769523","0.109201258555501"
"Teilzeit","2008","5 Einkommensstärkstes Quintil","476","0.103381148895229","0.0940856780375454","0.112676619752912"
"voll erwerbstätig","2008","1 Einkommensschwächstes Quintil","606","0.170635596746167","0.157996249955375","0.18327494353696"
"voll erwerbstätig","2008","2","1243","0.319173175389482","0.304925203175214","0.33342114760375"
"voll erwerbstätig","2008","3","1438","0.380219510128794","0.364754461193897","0.395684559063691"
"voll erwerbstätig","2008","4","1992","0.508011068613311","0.49280075053148","0.523221386695142"
"voll erwerbstätig","2008","5 Einkommensstärkstes Quintil","2233","0.588916461114256","0.573894083522894","0.603938838705617"
"Andere","2009","1 Einkommensschwächstes Quintil","372","0.128598173179648","0.116682732053328","0.140513614305968"
"Andere","2009","2","339","0.095971565510358","0.0865277199339906","0.105415411086725"
"Andere","2009","3","301","0.0908167700664415","0.0811948189552026","0.10043872117768"
"Andere","2009","4","230","0.0582595551772509","0.0509834126824376","0.0655356976720643"
"Andere","2009","5 Einkommensstärkstes Quintil","179","0.0394881467210305","0.0335093230742077","0.0454669703678533"
"nicht erwerbstätig","2009","1 Einkommensschwächstes Quintil","1868","0.614136573435806","0.596809198152812","0.631463948718799"
"nicht erwerbstätig","2009","2","1900","0.502758523702188","0.486727917824717","0.518789129579659"
"nicht erwerbstätig","2009","3","1464","0.435943236416591","0.419338545753321","0.452547927079862"
"nicht erwerbstätig","2009","4","1413","0.346101428978284","0.331323659331314","0.360879198625254"
