"erwst","year","migback","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Teilzeit","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1985","direkter Migrationshintergrund","Westdeutschland","129","","",""
"Teilzeit","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1985","indirekter Migrationshintergrund","Westdeutschland","7","0.0732812114795935","0.030267309711186","0.116295113248001"
"Teilzeit","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Teilzeit","1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","kein Migrationshintergrund","Westdeutschland","3483","0.475014645982917","0.464057411578279","0.485971880387554"
"nicht erwerbstätig","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","direkter Migrationshintergrund","Westdeutschland","981","0.397348955571699","0.379557180448687","0.415140730694712"
"nicht erwerbstätig","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","indirekter Migrationshintergrund","Westdeutschland","75","0.464613505215952","0.382291080161636","0.546935930270267"
"nicht erwerbstätig","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Andere","1985","kein Migrationshintergrund","Westdeutschland","403","0.0474116096501967","0.0427485727663739","0.0520746465340195"
"Andere","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1985","direkter Migrationshintergrund","Westdeutschland","94","0.0348542951781013","0.0281858454785025","0.0415227448777001"
"Andere","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1985","indirekter Migrationshintergrund","Westdeutschland","19","","",""
"Andere","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Andere","1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"voll erwerbstätig","1986","kein Migrationshintergrund","Westdeutschland","3331","0.411017165083694","0.399958356634026","0.422075973533361"
"voll erwerbstätig","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"voll erwerbstätig","1986","direkter Migrationshintergrund","Westdeutschland","1616","","",""
"voll erwerbstätig","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"voll erwerbstätig","1986","indirekter Migrationshintergrund","Westdeutschland","50","0.364045876453093","0.288051985294704","0.440039767611481"
"voll erwerbstätig","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"voll erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"voll erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Teilzeit","1986","kein Migrationshintergrund","Westdeutschland","511","0.0599554762404344","0.0546194780045563","0.0652914744763125"
"Teilzeit","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1986","direkter Migrationshintergrund","Westdeutschland","118","","",""
"Teilzeit","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1986","indirekter Migrationshintergrund","Westdeutschland","12","","",""
"Teilzeit","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Teilzeit","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","kein Migrationshintergrund","Westdeutschland","3283","0.470957561948818","0.459738328632247","0.482176795265388"
"nicht erwerbstätig","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","direkter Migrationshintergrund","Westdeutschland","969","0.406101931698744","0.387992186123028","0.424211677274459"
"nicht erwerbstätig","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","indirekter Migrationshintergrund","Westdeutschland","63","0.391520668723968","0.314432453136121","0.468608884311816"
"nicht erwerbstätig","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Andere","1986","kein Migrationshintergrund","Westdeutschland","479","0.0580697967270542","0.052813116592807","0.0633264768613014"
"Andere","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1986","direkter Migrationshintergrund","Westdeutschland","122","","",""
"Andere","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1986","indirekter Migrationshintergrund","Westdeutschland","29","","",""
"Andere","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Andere","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"voll erwerbstätig","1987","kein Migrationshintergrund","Westdeutschland","3281","0.416009591209499","0.404826161880399","0.427193020538599"
"voll erwerbstätig","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"voll erwerbstätig","1987","direkter Migrationshintergrund","Westdeutschland","1593","","",""
"voll erwerbstätig","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"voll erwerbstätig","1987","indirekter Migrationshintergrund","Westdeutschland","55","0.369534290750187","0.298020932270084","0.44104764923029"
"voll erwerbstätig","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"voll erwerbstätig","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"voll erwerbstätig","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Teilzeit","1987","kein Migrationshintergrund","Westdeutschland","552","0.0679737116400001","0.0622628052421972","0.073684618037803"
"Teilzeit","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1987","direkter Migrationshintergrund","Westdeutschland","128","","",""
"Teilzeit","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1987","indirekter Migrationshintergrund","Westdeutschland","8","0.078374284408246","0.038555027327206","0.118193541489286"
"Teilzeit","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Teilzeit","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","kein Migrationshintergrund","Westdeutschland","3138","0.459088911274103","0.447782316888779","0.470395505659427"
"nicht erwerbstätig","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","direkter Migrationshintergrund","Westdeutschland","964","0.39775307192838","0.379663241294178","0.415842902562583"
"nicht erwerbstätig","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","indirekter Migrationshintergrund","Westdeutschland","83","0.447886086234951","0.374209889621842","0.521562282848061"
"nicht erwerbstätig","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Andere","1987","kein Migrationshintergrund","Westdeutschland","491","0.0569277858763984","0.0516705787275168","0.06218499302528"
"Andere","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1987","direkter Migrationshintergrund","Westdeutschland","127","","",""
"Andere","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1987","indirekter Migrationshintergrund","Westdeutschland","29","","",""
"Andere","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Andere","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"voll erwerbstätig","1988","kein Migrationshintergrund","Westdeutschland","3116","0.418608818127082","0.407116687829059","0.430100948425105"
"voll erwerbstätig","1988","kein Migrationshintergrund","Ostdeutschland","","","",""
"voll erwerbstätig","1988","direkter Migrationshintergrund","Westdeutschland","1462","","",""
"voll erwerbstätig","1988","direkter Migrationshintergrund","Ostdeutschland","","","",""
"voll erwerbstätig","1988","indirekter Migrationshintergrund","Westdeutschland","69","0.315973692411016","0.254818481411999","0.377128903410033"
"voll erwerbstätig","1988","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"voll erwerbstätig","1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"voll erwerbstätig","1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Teilzeit","1988","kein Migrationshintergrund","Westdeutschland","535","0.0690145940321381","0.0631098096963615","0.0749193783679147"
"Teilzeit","1988","kein Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1988","direkter Migrationshintergrund","Westdeutschland","134","","",""
"Teilzeit","1988","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1988","indirekter Migrationshintergrund","Westdeutschland","10","","",""
"Teilzeit","1988","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Teilzeit","1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","kein Migrationshintergrund","Westdeutschland","2965","","",""
"nicht erwerbstätig","1988","kein Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","direkter Migrationshintergrund","Westdeutschland","940","0.413293402590893","0.394604822528358","0.431981982653428"
"nicht erwerbstätig","1988","direkter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","indirekter Migrationshintergrund","Westdeutschland","101","","",""
"nicht erwerbstätig","1988","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Andere","1988","kein Migrationshintergrund","Westdeutschland","463","0.0549572499252021","0.0496484011014524","0.0602660987489518"
"Andere","1988","kein Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1988","direkter Migrationshintergrund","Westdeutschland","131","","",""
"Andere","1988","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1988","indirekter Migrationshintergrund","Westdeutschland","42","0.14770792034622","0.101034704879922","0.194381135812517"
"Andere","1988","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Andere","1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"voll erwerbstätig","1989","kein Migrationshintergrund","Westdeutschland","3083","0.427274219495205","0.415530382589673","0.439018056400738"
"voll erwerbstätig","1989","kein Migrationshintergrund","Ostdeutschland","","","",""
"voll erwerbstätig","1989","direkter Migrationshintergrund","Westdeutschland","1449","","",""
"voll erwerbstätig","1989","direkter Migrationshintergrund","Ostdeutschland","","","",""
"voll erwerbstätig","1989","indirekter Migrationshintergrund","Westdeutschland","82","0.265396211866184","0.211518123325753","0.319274300406615"
"voll erwerbstätig","1989","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"voll erwerbstätig","1989","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"voll erwerbstätig","1989","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Teilzeit","1989","kein Migrationshintergrund","Westdeutschland","529","0.0713131742904062","0.065203714278247","0.0774226343025654"
"Teilzeit","1989","kein Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1989","direkter Migrationshintergrund","Westdeutschland","128","","",""
"Teilzeit","1989","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1989","indirekter Migrationshintergrund","Westdeutschland","16","","",""
"Teilzeit","1989","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1989","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Teilzeit","1989","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","kein Migrationshintergrund","Westdeutschland","2778","","",""
"nicht erwerbstätig","1989","kein Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","direkter Migrationshintergrund","Westdeutschland","906","0.426269116718108","0.407216176552076","0.445322056884139"
"nicht erwerbstätig","1989","direkter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","indirekter Migrationshintergrund","Westdeutschland","121","","",""
"nicht erwerbstätig","1989","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1989","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Andere","1989","kein Migrationshintergrund","Westdeutschland","426","0.0532623700475518","0.0479313739622189","0.0585933661328847"
"Andere","1989","kein Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1989","direkter Migrationshintergrund","Westdeutschland","105","","",""
"Andere","1989","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1989","indirekter Migrationshintergrund","Westdeutschland","39","0.11934831628591","0.0797890278522989","0.158907604719521"
"Andere","1989","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1989","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Andere","1989","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"voll erwerbstätig","1990","kein Migrationshintergrund","Westdeutschland","2996","","",""
"voll erwerbstätig","1990","kein Migrationshintergrund","Ostdeutschland","2790","","",""
"voll erwerbstätig","1990","direkter Migrationshintergrund","Westdeutschland","1414","","",""
"voll erwerbstätig","1990","direkter Migrationshintergrund","Ostdeutschland","86","0.521676071391378","0.439802905462373","0.603549237320384"
"voll erwerbstätig","1990","indirekter Migrationshintergrund","Westdeutschland","96","0.287533053505708","0.235796121147935","0.339269985863482"
"voll erwerbstätig","1990","indirekter Migrationshintergrund","Ostdeutschland","2","","",""
"voll erwerbstätig","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"voll erwerbstätig","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Teilzeit","1990","kein Migrationshintergrund","Westdeutschland","562","0.0788473204022832","0.0723631535526246","0.0853314872519418"
"Teilzeit","1990","kein Migrationshintergrund","Ostdeutschland","398","0.084536527237714","0.0762022312850103","0.0928708231904177"
"Teilzeit","1990","direkter Migrationshintergrund","Westdeutschland","142","","",""
"Teilzeit","1990","direkter Migrationshintergrund","Ostdeutschland","10","","",""
"Teilzeit","1990","indirekter Migrationshintergrund","Westdeutschland","18","","",""
"Teilzeit","1990","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Teilzeit","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1990","kein Migrationshintergrund","Westdeutschland","2697","","",""
"nicht erwerbstätig","1990","kein Migrationshintergrund","Ostdeutschland","951","0.28050558162145","0.267046647268569","0.293964515974331"
"nicht erwerbstätig","1990","direkter Migrationshintergrund","Westdeutschland","889","0.406786300347533","0.387648555341635","0.425924045353431"
"nicht erwerbstätig","1990","direkter Migrationshintergrund","Ostdeutschland","46","0.408829030121475","0.328252699651857","0.489405360591093"
"nicht erwerbstätig","1990","indirekter Migrationshintergrund","Westdeutschland","128","","",""
"nicht erwerbstätig","1990","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Andere","1990","kein Migrationshintergrund","Westdeutschland","381","0.0510762254141844","0.0457793474936337","0.0563731033347351"
"Andere","1990","kein Migrationshintergrund","Ostdeutschland","141","","",""
"Andere","1990","direkter Migrationshintergrund","Westdeutschland","86","0.030122522926086","0.0234635672015956","0.0367814786505763"
"Andere","1990","direkter Migrationshintergrund","Ostdeutschland","1","","",""
"Andere","1990","indirekter Migrationshintergrund","Westdeutschland","52","0.137213636154945","0.0978835680246709","0.17654370428522"
"Andere","1990","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Andere","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"voll erwerbstätig","1991","kein Migrationshintergrund","Westdeutschland","2992","","",""
"voll erwerbstätig","1991","kein Migrationshintergrund","Ostdeutschland","2384","","",""
"voll erwerbstätig","1991","direkter Migrationshintergrund","Westdeutschland","1406","","",""
"voll erwerbstätig","1991","direkter Migrationshintergrund","Ostdeutschland","65","0.412256130820756","0.331007481502099","0.493504780139414"
"voll erwerbstätig","1991","indirekter Migrationshintergrund","Westdeutschland","110","","",""
"voll erwerbstätig","1991","indirekter Migrationshintergrund","Ostdeutschland","2","","",""
"voll erwerbstätig","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"voll erwerbstätig","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Teilzeit","1991","kein Migrationshintergrund","Westdeutschland","582","0.0816754706430734","0.0750772227930985","0.0882737184930484"
"Teilzeit","1991","kein Migrationshintergrund","Ostdeutschland","223","","",""
"Teilzeit","1991","direkter Migrationshintergrund","Westdeutschland","146","","",""
"Teilzeit","1991","direkter Migrationshintergrund","Ostdeutschland","9","0.0484888884586135","0.0130347790038973","0.0839429979133298"
"Teilzeit","1991","indirekter Migrationshintergrund","Westdeutschland","22","","",""
"Teilzeit","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Teilzeit","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1991","kein Migrationshintergrund","Westdeutschland","2617","","",""
"nicht erwerbstätig","1991","kein Migrationshintergrund","Ostdeutschland","1245","","",""
"nicht erwerbstätig","1991","direkter Migrationshintergrund","Westdeutschland","827","0.386266554004781","0.367115478019185","0.405417629990376"
"nicht erwerbstätig","1991","direkter Migrationshintergrund","Ostdeutschland","65","0.527181548685132","0.44477421861963","0.609588878750634"
"nicht erwerbstätig","1991","indirekter Migrationshintergrund","Westdeutschland","135","","",""
"nicht erwerbstätig","1991","indirekter Migrationshintergrund","Ostdeutschland","1","","",""
"nicht erwerbstätig","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Andere","1991","kein Migrationshintergrund","Westdeutschland","427","0.0574431090178801","0.0518370525914476","0.0630491654443126"
"Andere","1991","kein Migrationshintergrund","Ostdeutschland","143","","",""
"Andere","1991","direkter Migrationshintergrund","Westdeutschland","104","","",""
"Andere","1991","direkter Migrationshintergrund","Ostdeutschland","2","","",""
"Andere","1991","indirekter Migrationshintergrund","Westdeutschland","79","0.206682411837644","0.164016076394362","0.249348747280927"
"Andere","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Andere","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"voll erwerbstätig","1992","kein Migrationshintergrund","Westdeutschland","2966","","",""
"voll erwerbstätig","1992","kein Migrationshintergrund","Ostdeutschland","2052","","",""
"voll erwerbstätig","1992","direkter Migrationshintergrund","Westdeutschland","1311","","",""
"voll erwerbstätig","1992","direkter Migrationshintergrund","Ostdeutschland","52","0.32045263504155","0.244497720431539","0.396407549651562"
"voll erwerbstätig","1992","indirekter Migrationshintergrund","Westdeutschland","122","","",""
"voll erwerbstätig","1992","indirekter Migrationshintergrund","Ostdeutschland","1","","",""
"voll erwerbstätig","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"voll erwerbstätig","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Teilzeit","1992","kein Migrationshintergrund","Westdeutschland","603","0.0846913596809602","0.0779414897684204","0.0914412295935"
"Teilzeit","1992","kein Migrationshintergrund","Ostdeutschland","154","","",""
"Teilzeit","1992","direkter Migrationshintergrund","Westdeutschland","155","","",""
"Teilzeit","1992","direkter Migrationshintergrund","Ostdeutschland","5","0.0203325016744024","-0.00263950047731343","0.0433045038261181"
"Teilzeit","1992","indirekter Migrationshintergrund","Westdeutschland","26","","",""
"Teilzeit","1992","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Teilzeit","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1992","kein Migrationshintergrund","Westdeutschland","2635","","",""
"nicht erwerbstätig","1992","kein Migrationshintergrund","Ostdeutschland","1448","","",""
"nicht erwerbstätig","1992","direkter Migrationshintergrund","Westdeutschland","857","0.398914786169393","0.379352566320958","0.418477006017828"
"nicht erwerbstätig","1992","direkter Migrationshintergrund","Ostdeutschland","86","0.651498693593614","0.573941324279817","0.729056062907411"
"nicht erwerbstätig","1992","indirekter Migrationshintergrund","Westdeutschland","166","","",""
"nicht erwerbstätig","1992","indirekter Migrationshintergrund","Ostdeutschland","7","0.654070181463637","0.359251998118936","0.948888364808339"
"nicht erwerbstätig","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Andere","1992","kein Migrationshintergrund","Westdeutschland","332","0.0452998648471706","0.0402581995059868","0.0503415301883544"
"Andere","1992","kein Migrationshintergrund","Ostdeutschland","167","","",""
"Andere","1992","direkter Migrationshintergrund","Westdeutschland","84","0.0394916184807642","0.0317110184293258","0.0472722185322027"
"Andere","1992","direkter Migrationshintergrund","Ostdeutschland","2","","",""
"Andere","1992","indirekter Migrationshintergrund","Westdeutschland","83","0.191512365121716","0.152805505397865","0.230219224845567"
"Andere","1992","indirekter Migrationshintergrund","Ostdeutschland","2","","",""
"Andere","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Andere","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"voll erwerbstätig","1993","kein Migrationshintergrund","Westdeutschland","2934","","",""
"voll erwerbstätig","1993","kein Migrationshintergrund","Ostdeutschland","1878","","",""
"voll erwerbstätig","1993","direkter Migrationshintergrund","Westdeutschland","1252","","",""
"voll erwerbstätig","1993","direkter Migrationshintergrund","Ostdeutschland","43","0.275544295607859","0.200177016410493","0.350911574805225"
"voll erwerbstätig","1993","indirekter Migrationshintergrund","Westdeutschland","152","","",""
"voll erwerbstätig","1993","indirekter Migrationshintergrund","Ostdeutschland","2","","",""
"voll erwerbstätig","1993","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"voll erwerbstätig","1993","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Teilzeit","1993","kein Migrationshintergrund","Westdeutschland","595","0.0857409853624712","0.078921414203966","0.0925605565209763"
"Teilzeit","1993","kein Migrationshintergrund","Ostdeutschland","151","","",""
"Teilzeit","1993","direkter Migrationshintergrund","Westdeutschland","153","","",""
"Teilzeit","1993","direkter Migrationshintergrund","Ostdeutschland","3","","",""
