"erwst","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1985","30-45","kein Migrationshintergrund","1331","0.599937305892937","0.579814731687914","0.62005988009796"
"voll erwerbstätig","1985","30-45","direkter Migrationshintergrund","776","0.611200652161959","0.583398538751046","0.639002765572873"
"voll erwerbstätig","1985","30-45","indirekter Migrationshintergrund","6","","",""
"voll erwerbstätig","1985","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1985","46-65","kein Migrationshintergrund","1108","0.447159827351683","0.427391217012157","0.466928437691209"
"voll erwerbstätig","1985","46-65","direkter Migrationshintergrund","533","0.492756011022226","0.459400537284831","0.526111484759621"
"voll erwerbstätig","1985","46-65","indirekter Migrationshintergrund","1","","",""
"voll erwerbstätig","1985","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1985","66","kein Migrationshintergrund","","","",""
"voll erwerbstätig","1985","66","direkter Migrationshintergrund","","","",""
"voll erwerbstätig","1985","66","indirekter Migrationshintergrund","","","",""
"voll erwerbstätig","1985","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1985","17-29","kein Migrationshintergrund","91","0.0400002610747894","0.0318210622663912","0.0481794598831876"
"Teilzeit","1985","17-29","direkter Migrationshintergrund","28","","",""
"Teilzeit","1985","17-29","indirekter Migrationshintergrund","1","","",""
"Teilzeit","1985","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1985","30-45","kein Migrationshintergrund","301","0.127529006095696","0.113828186056453","0.14122982613494"
"Teilzeit","1985","30-45","direkter Migrationshintergrund","64","0.0723839505263966","0.0576055167330183","0.087162384319775"
"Teilzeit","1985","30-45","indirekter Migrationshintergrund","5","","",""
"Teilzeit","1985","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1985","46-65","kein Migrationshintergrund","211","0.082620405903118","0.0716742115689923","0.0935666002372437"
"Teilzeit","1985","46-65","direkter Migrationshintergrund","36","0.0682296243543673","0.0514073917969","0.0850518569118345"
"Teilzeit","1985","46-65","indirekter Migrationshintergrund","1","","",""
"Teilzeit","1985","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1985","66","kein Migrationshintergrund","","","",""
"Teilzeit","1985","66","direkter Migrationshintergrund","","","",""
"Teilzeit","1985","66","indirekter Migrationshintergrund","","","",""
"Teilzeit","1985","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1985","17-29","kein Migrationshintergrund","832","0.371086760939592","0.350922751461816","0.391250770417368"
"nicht erwerbstätig","1985","17-29","direkter Migrationshintergrund","330","0.386412989822043","0.353186454800799","0.419639524843287"
"nicht erwerbstätig","1985","17-29","indirekter Migrationshintergrund","59","0.416891296607002","0.324753478305457","0.509029114908547"
"nicht erwerbstätig","1985","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1985","30-45","kein Migrationshintergrund","567","0.239994991828007","0.2224531216624","0.257536861993615"
"nicht erwerbstätig","1985","30-45","direkter Migrationshintergrund","325","0.28947019850245","0.263604975880485","0.315335421124414"
"nicht erwerbstätig","1985","30-45","indirekter Migrationshintergrund","6","","",""
"nicht erwerbstätig","1985","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1985","46-65","kein Migrationshintergrund","1063","0.450925507204126","0.431141557923052","0.4707094564852"
"nicht erwerbstätig","1985","46-65","direkter Migrationshintergrund","290","0.431206602313833","0.39816488073245","0.464248323895215"
"nicht erwerbstätig","1985","46-65","indirekter Migrationshintergrund","8","","",""
"nicht erwerbstätig","1985","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1985","66","kein Migrationshintergrund","","","",""
"nicht erwerbstätig","1985","66","direkter Migrationshintergrund","","","",""
"nicht erwerbstätig","1985","66","indirekter Migrationshintergrund","","","",""
"nicht erwerbstätig","1985","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1985","17-29","kein Migrationshintergrund","263","0.122262595690871","0.108589309529783","0.13593588185196"
"Andere","1985","17-29","direkter Migrationshintergrund","74","0.0930546108304773","0.0732310971913189","0.112878124469636"
"Andere","1985","17-29","indirekter Migrationshintergrund","18","","",""
"Andere","1985","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1985","30-45","kein Migrationshintergrund","78","0.0325386961833594","0.0252511142452458","0.039826278121473"
"Andere","1985","30-45","direkter Migrationshintergrund","16","","",""
"Andere","1985","30-45","indirekter Migrationshintergrund","","","",""
"Andere","1985","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1985","46-65","kein Migrationshintergrund","48","0.0192942595410728","0.0138250020408483","0.0247635170412972"
"Andere","1985","46-65","direkter Migrationshintergrund","4","","",""
"Andere","1985","46-65","indirekter Migrationshintergrund","1","","",""
"Andere","1985","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1985","66","kein Migrationshintergrund","","","",""
"Andere","1985","66","direkter Migrationshintergrund","","","",""
"Andere","1985","66","indirekter Migrationshintergrund","","","",""
"Andere","1985","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1986","17-29","kein Migrationshintergrund","974","0.468195421756749","0.447024464238561","0.489366379274936"
"voll erwerbstätig","1986","17-29","direkter Migrationshintergrund","372","0.473214165467672","0.438594679615755","0.507833651319588"
"voll erwerbstätig","1986","17-29","indirekter Migrationshintergrund","39","0.438822081267965","0.350765321803197","0.526878840732733"
"voll erwerbstätig","1986","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1986","30-45","kein Migrationshintergrund","1267","0.609684401366652","0.589054770913713","0.630314031819591"
"voll erwerbstätig","1986","30-45","direkter Migrationshintergrund","695","0.574065694727158","0.544870632769295","0.603260756685021"
"voll erwerbstätig","1986","30-45","indirekter Migrationshintergrund","9","","",""
"voll erwerbstätig","1986","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1986","46-65","kein Migrationshintergrund","1080","0.44976659267706","0.429623366866778","0.469909818487342"
"voll erwerbstätig","1986","46-65","direkter Migrationshintergrund","549","0.529769857938904","0.496680279884841","0.562859435992967"
"voll erwerbstätig","1986","46-65","indirekter Migrationshintergrund","2","","",""
"voll erwerbstätig","1986","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1986","66","kein Migrationshintergrund","","","",""
"voll erwerbstätig","1986","66","direkter Migrationshintergrund","","","",""
"voll erwerbstätig","1986","66","indirekter Migrationshintergrund","","","",""
"voll erwerbstätig","1986","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1986","17-29","kein Migrationshintergrund","90","0.0421181985390948","0.0335961944480113","0.0506402026301784"
"Teilzeit","1986","17-29","direkter Migrationshintergrund","22","","",""
"Teilzeit","1986","17-29","indirekter Migrationshintergrund","4","","",""
"Teilzeit","1986","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1986","30-45","kein Migrationshintergrund","232","0.102947192421114","0.0900958880103047","0.115798496831924"
"Teilzeit","1986","30-45","direkter Migrationshintergrund","72","0.0980029983516261","0.0804488597868717","0.115557136916381"
"Teilzeit","1986","30-45","indirekter Migrationshintergrund","4","","",""
"Teilzeit","1986","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1986","46-65","kein Migrationshintergrund","180","0.0712280591307083","0.0608134722997156","0.0816426459617011"
"Teilzeit","1986","46-65","direkter Migrationshintergrund","24","","",""
"Teilzeit","1986","46-65","indirekter Migrationshintergrund","4","","",""
"Teilzeit","1986","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1986","66","kein Migrationshintergrund","","","",""
"Teilzeit","1986","66","direkter Migrationshintergrund","","","",""
"Teilzeit","1986","66","indirekter Migrationshintergrund","","","",""
"Teilzeit","1986","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1986","17-29","kein Migrationshintergrund","769","0.345080816738413","0.324910851586215","0.36525078189061"
"nicht erwerbstätig","1986","17-29","direkter Migrationshintergrund","319","0.3913386279526","0.35749795968236","0.42517929622284"
"nicht erwerbstätig","1986","17-29","indirekter Migrationshintergrund","50","0.372420579896349","0.28663399909891","0.458207160693789"
"nicht erwerbstätig","1986","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1986","30-45","kein Migrationshintergrund","552","0.245808151237721","0.227599825677686","0.264016476797756"
"nicht erwerbstätig","1986","30-45","direkter Migrationshintergrund","313","0.296864296290358","0.269889644109899","0.323838948470817"
"nicht erwerbstätig","1986","30-45","indirekter Migrationshintergrund","6","","",""
"nicht erwerbstätig","1986","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1986","46-65","kein Migrationshintergrund","1013","0.450025528249921","0.429881246480577","0.470169810019266"
"nicht erwerbstätig","1986","46-65","direkter Migrationshintergrund","287","0.407010396428699","0.374440328397437","0.439580464459961"
"nicht erwerbstätig","1986","46-65","indirekter Migrationshintergrund","5","","",""
"nicht erwerbstätig","1986","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1986","66","kein Migrationshintergrund","","","",""
"nicht erwerbstätig","1986","66","direkter Migrationshintergrund","","","",""
"nicht erwerbstätig","1986","66","indirekter Migrationshintergrund","","","",""
"nicht erwerbstätig","1986","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1986","17-29","kein Migrationshintergrund","301","0.144605562965744","0.129683578122514","0.159527547808974"
"Andere","1986","17-29","direkter Migrationshintergrund","86","0.112202422289471","0.0903181154367109","0.134086729142231"
"Andere","1986","17-29","indirekter Migrationshintergrund","29","","",""
"Andere","1986","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1986","30-45","kein Migrationshintergrund","97","0.0415602549745124","0.0331200603423815","0.0500004496066432"
"Andere","1986","30-45","direkter Migrationshintergrund","22","","",""
"Andere","1986","30-45","indirekter Migrationshintergrund","","","",""
"Andere","1986","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1986","46-65","kein Migrationshintergrund","70","0.0289798199423102","0.0221874095787114","0.0357722303059091"
"Andere","1986","46-65","direkter Migrationshintergrund","14","","",""
"Andere","1986","46-65","indirekter Migrationshintergrund","","","",""
"Andere","1986","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1986","66","kein Migrationshintergrund","","","",""
"Andere","1986","66","direkter Migrationshintergrund","","","",""
"Andere","1986","66","indirekter Migrationshintergrund","","","",""
"Andere","1986","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1987","17-29","kein Migrationshintergrund","907","0.464745195443564","0.443269810512735","0.486220580374393"
"voll erwerbstätig","1987","17-29","direkter Migrationshintergrund","367","0.478979838178491","0.444254186243471","0.513705490113511"
"voll erwerbstätig","1987","17-29","indirekter Migrationshintergrund","44","0.398398224955609","0.317590703431119","0.4792057464801"
"voll erwerbstätig","1987","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1987","30-45","kein Migrationshintergrund","1277","0.628722085788037","0.608033300452339","0.649410871123735"
"voll erwerbstätig","1987","30-45","direkter Migrationshintergrund","685","0.605629958021355","0.57608370815562","0.63517620788709"
"voll erwerbstätig","1987","30-45","indirekter Migrationshintergrund","7","","",""
"voll erwerbstätig","1987","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1987","46-65","kein Migrationshintergrund","1083","0.46369929601144","0.44325239988919","0.48414619213369"
"voll erwerbstätig","1987","46-65","direkter Migrationshintergrund","541","0.51454031638137","0.482067969043666","0.547012663719075"
"voll erwerbstätig","1987","46-65","indirekter Migrationshintergrund","4","","",""
"voll erwerbstätig","1987","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1987","66","kein Migrationshintergrund","","","",""
"voll erwerbstätig","1987","66","direkter Migrationshintergrund","","","",""
"voll erwerbstätig","1987","66","indirekter Migrationshintergrund","","","",""
"voll erwerbstätig","1987","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1987","17-29","kein Migrationshintergrund","92","0.0482384006499749","0.03901239418045","0.0574644071194997"
"Teilzeit","1987","17-29","direkter Migrationshintergrund","25","","",""
"Teilzeit","1987","17-29","indirekter Migrationshintergrund","2","","",""
"Teilzeit","1987","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1987","30-45","kein Migrationshintergrund","247","0.111600547251038","0.0981173347056432","0.125083759796433"
"Teilzeit","1987","30-45","direkter Migrationshintergrund","63","0.0853190614191901","0.0684300362864827","0.102208086551897"
"Teilzeit","1987","30-45","indirekter Migrationshintergrund","3","","",""
"Teilzeit","1987","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1987","46-65","kein Migrationshintergrund","203","0.0855015925690262","0.0740363415492605","0.0969668435887918"
"Teilzeit","1987","46-65","direkter Migrationshintergrund","39","0.0627738093817195","0.0470144396306152","0.0785331791328238"
"Teilzeit","1987","46-65","indirekter Migrationshintergrund","3","","",""
"Teilzeit","1987","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1987","66","kein Migrationshintergrund","","","",""
"Teilzeit","1987","66","direkter Migrationshintergrund","","","",""
"Teilzeit","1987","66","indirekter Migrationshintergrund","","","",""
"Teilzeit","1987","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1987","17-29","kein Migrationshintergrund","710","0.32041544816298","0.300323054073859","0.3405078422521"
"nicht erwerbstätig","1987","17-29","direkter Migrationshintergrund","302","0.367386914416047","0.33387529200677","0.400898536825325"
"nicht erwerbstätig","1987","17-29","indirekter Migrationshintergrund","67","0.437967207906738","0.35607545643991","0.519858959373566"
"nicht erwerbstätig","1987","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1987","30-45","kein Migrationshintergrund","497","0.227732916240312","0.209775132246421","0.245690700234204"
"nicht erwerbstätig","1987","30-45","direkter Migrationshintergrund","286","0.281893232993844","0.254692314575781","0.309094151411907"
"nicht erwerbstätig","1987","30-45","indirekter Migrationshintergrund","9","","",""
"nicht erwerbstätig","1987","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1987","46-65","kein Migrationshintergrund","955","0.429956083433249","0.409657244594099","0.4502549222724"
"nicht erwerbstätig","1987","46-65","direkter Migrationshintergrund","322","0.41051113059588","0.37854959270752","0.44247266848424"
"nicht erwerbstätig","1987","46-65","indirekter Migrationshintergrund","5","","",""
"nicht erwerbstätig","1987","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1987","66","kein Migrationshintergrund","","","",""
"nicht erwerbstätig","1987","66","direkter Migrationshintergrund","","","",""
"nicht erwerbstätig","1987","66","indirekter Migrationshintergrund","","","",""
"nicht erwerbstätig","1987","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1987","17-29","kein Migrationshintergrund","363","0.166600955743481","0.150556741272739","0.182645170214224"
"Andere","1987","17-29","direkter Migrationshintergrund","101","0.122001991374861","0.0992512919935502","0.144752690756173"
"Andere","1987","17-29","indirekter Migrationshintergrund","28","","",""
"Andere","1987","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1987","30-45","kein Migrationshintergrund","74","0.0319444507206129","0.0244142954868587","0.0394746059543672"
"Andere","1987","30-45","direkter Migrationshintergrund","17","","",""
"Andere","1987","30-45","indirekter Migrationshintergrund","1","","",""
"Andere","1987","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1987","46-65","kein Migrationshintergrund","44","0.0208430279862843","0.0149855379980895","0.026700517974479"
"Andere","1987","46-65","direkter Migrationshintergrund","8","","",""
"Andere","1987","46-65","indirekter Migrationshintergrund","","","",""
"Andere","1987","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1987","66","kein Migrationshintergrund","","","",""
"Andere","1987","66","direkter Migrationshintergrund","","","",""
"Andere","1987","66","indirekter Migrationshintergrund","","","",""
"Andere","1987","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1988","17-29","kein Migrationshintergrund","821","0.456096263898392","0.433776999118372","0.478415528678413"
"voll erwerbstätig","1988","17-29","direkter Migrationshintergrund","364","0.496006019529813","0.460645093540419","0.531366945519206"
"voll erwerbstätig","1988","17-29","indirekter Migrationshintergrund","58","0.313813037828989","0.247656325997292","0.379969749660686"
"voll erwerbstätig","1988","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1988","30-45","kein Migrationshintergrund","1224","0.632031788522617","0.610891237352787","0.653172339692446"
"voll erwerbstätig","1988","30-45","direkter Migrationshintergrund","588","0.598947108190157","0.567498434708167","0.630395781672146"
"voll erwerbstätig","1988","30-45","indirekter Migrationshintergrund","7","","",""
"voll erwerbstätig","1988","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1988","46-65","kein Migrationshintergrund","1056","0.472421380679913","0.451545662354387","0.493297099005438"
"voll erwerbstätig","1988","46-65","direkter Migrationshintergrund","510","0.488598264697086","0.455994986132106","0.521201543262066"
"voll erwerbstätig","1988","46-65","indirekter Migrationshintergrund","4","","",""
"voll erwerbstätig","1988","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1988","66","kein Migrationshintergrund","","","",""
"voll erwerbstätig","1988","66","direkter Migrationshintergrund","","","",""
"voll erwerbstätig","1988","66","indirekter Migrationshintergrund","","","",""
"voll erwerbstätig","1988","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1988","17-29","kein Migrationshintergrund","69","0.0371892879176783","0.0287097928058584","0.0456687830294983"
"Teilzeit","1988","17-29","direkter Migrationshintergrund","20","","",""
"Teilzeit","1988","17-29","indirekter Migrationshintergrund","3","","",""
"Teilzeit","1988","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1988","30-45","kein Migrationshintergrund","244","0.116368669454465","0.102311584117409","0.130425754791521"
"Teilzeit","1988","30-45","direkter Migrationshintergrund","75","0.0906483153910213","0.0722256240540193","0.109071006728023"
"Teilzeit","1988","30-45","indirekter Migrationshintergrund","5","","",""
"Teilzeit","1988","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1988","46-65","kein Migrationshintergrund","212","0.0921080502854142","0.0800160279732199","0.104200072597608"
"Teilzeit","1988","46-65","direkter Migrationshintergrund","38","0.0547800941537664","0.0399384493869851","0.0696217389205477"
"Teilzeit","1988","46-65","indirekter Migrationshintergrund","2","","",""
"Teilzeit","1988","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1988","66","kein Migrationshintergrund","","","",""
"Teilzeit","1988","66","direkter Migrationshintergrund","","","",""
"Teilzeit","1988","66","indirekter Migrationshintergrund","","","",""
"Teilzeit","1988","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1988","17-29","kein Migrationshintergrund","672","0.339306203331256","0.318089074158641","0.360523332503871"
"nicht erwerbstätig","1988","17-29","direkter Migrationshintergrund","278","0.351585269362578","0.31781696506869","0.385353573656467"
"nicht erwerbstätig","1988","17-29","indirekter Migrationshintergrund","88","0.478855549207944","0.407636116488757","0.550074981927131"
"nicht erwerbstätig","1988","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1988","30-45","kein Migrationshintergrund","466","0.222726574431272","0.20448700329479","0.240966145567754"
"nicht erwerbstätig","1988","30-45","direkter Migrationshintergrund","256","0.286009992126889","0.257013601673757","0.315006382580022"
"nicht erwerbstätig","1988","30-45","indirekter Migrationshintergrund","7","","",""
"nicht erwerbstätig","1988","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1988","46-65","kein Migrationshintergrund","891","0.416853211947195","0.396236776306941","0.437469647587449"
"nicht erwerbstätig","1988","46-65","direkter Migrationshintergrund","344","0.435283490193383","0.402946056156547","0.467620924230219"
"nicht erwerbstätig","1988","46-65","indirekter Migrationshintergrund","4","","",""
"nicht erwerbstätig","1988","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1988","66","kein Migrationshintergrund","","","",""
"nicht erwerbstätig","1988","66","direkter Migrationshintergrund","","","",""
"nicht erwerbstätig","1988","66","indirekter Migrationshintergrund","","","",""
"nicht erwerbstätig","1988","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1988","17-29","kein Migrationshintergrund","351","0.167408244852673","0.150678277997594","0.184138211707753"
"Andere","1988","17-29","direkter Migrationshintergrund","106","0.121034768763115","0.0979668506256425","0.144102686900587"
"Andere","1988","17-29","indirekter Migrationshintergrund","40","0.174721354970937","0.120584816010704","0.22885789393117"
"Andere","1988","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1988","30-45","kein Migrationshintergrund","65","0.0288729675916466","0.0215324712368704","0.0362134639464228"
"Andere","1988","30-45","direkter Migrationshintergrund","14","","",""
"Andere","1988","30-45","indirekter Migrationshintergrund","1","","",""
"Andere","1988","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1988","46-65","kein Migrationshintergrund","38","0.0186173570874782","0.0129652385258509","0.0242694756491056"
"Andere","1988","46-65","direkter Migrationshintergrund","11","","",""
"Andere","1988","46-65","indirekter Migrationshintergrund","1","","",""
"Andere","1988","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
