syear,regtyp,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2001,Urban regions,female,7.313612465184508,7.293266727567244,7.333958202801772,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0,7445.0
2001,Rural regions,male,7.144353961846416,7.115966184167187,7.1727417395256445,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,3685.0
2001,Rural regions,female,7.23588068429319,7.2085113644407945,7.263250004145585,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,3897.0
2002,Urban regions,male,6.9686626324928875,6.948204781015224,6.989120483970551,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,7328.0
2002,Urban regions,female,7.055470542070233,7.03562293348146,7.0753181506590055,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,7896.0
2002,Rural regions,male,6.859862574206097,6.830803449953104,6.8889216984590895,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,3760.0
2002,Rural regions,female,6.92664435053555,6.8979982854518695,6.955290415619231,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,3969.0
2003,Urban regions,male,6.982906609736794,6.962193805856112,7.003619413617477,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,7062.0
2003,Urban regions,female,7.052072587654598,7.031221879219596,7.072923296089599,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,7643.0
2003,Rural regions,male,6.8211540332071765,6.790771032312284,6.851537034102069,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,3590.0
2003,Rural regions,female,6.911451716123911,6.882043416965864,6.940860015281958,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,3823.0
2004,Urban regions,male,6.9179979220499686,6.896502946617669,6.9394928974822685,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,6837.0
2004,Urban regions,female,6.989150463990083,6.968140298051666,7.0101606299285,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,7445.0
2004,Rural regions,male,6.7461700341772755,6.714810822052545,6.777529246302006,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,3489.0
2004,Rural regions,female,6.897952270136945,6.868343820943263,6.927560719330627,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,3721.0
2005,Urban regions,male,6.9400648327585035,6.917473272980354,6.962656392536653,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,6538.0
2005,Urban regions,female,7.009882166080506,6.987856833777952,7.03190749838306,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,7164.0
2005,Rural regions,male,6.760337230029587,6.727175383548424,6.79349907651075,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,3326.0
2005,Rural regions,female,6.895450419564245,6.864288852834234,6.926611986294256,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,3589.0
2006,Urban regions,male,6.981585588988901,6.959407250350127,7.003763927627675,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,6858.0
2006,Urban regions,female,7.082110428193247,7.060505314391217,7.103715541995277,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,7543.0
2006,Rural regions,male,6.937902523970625,6.906058113921634,6.969746934019617,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,3583.0
2006,Rural regions,female,7.001995450149964,6.971624976550184,7.032365923749745,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,3912.0
2007,Urban regions,male,,,,,,,,,,,,
2007,Urban regions,female,,,,,,,,,,,,
2007,Rural regions,male,,,,,,,,,,,,
2007,Rural regions,female,,,,,,,,,,,,
2008,Urban regions,male,,,,,,,,,,,,
2008,Urban regions,female,,,,,,,,,,,,
2008,Rural regions,male,,,,,,,,,,,,
2008,Rural regions,female,,,,,,,,,,,,
2009,Urban regions,male,,,,,,,,,,,,
2009,Urban regions,female,,,,,,,,,,,,
2009,Rural regions,male,,,,,,,,,,,,
2009,Rural regions,female,,,,,,,,,,,,
2010,Urban regions,male,,,,,,,,,,,,
2010,Urban regions,female,,,,,,,,,,,,
2010,Rural regions,male,,,,,,,,,,,,
2010,Rural regions,female,,,,,,,,,,,,
2011,Urban regions,male,,,,,,,,,,,,
2011,Urban regions,female,,,,,,,,,,,,
2011,Rural regions,male,,,,,,,,,,,,
2011,Rural regions,female,,,,,,,,,,,,
2012,Urban regions,male,,,,,,,,,,,,
2012,Urban regions,female,,,,,,,,,,,,
2012,Rural regions,male,,,,,,,,,,,,
2012,Rural regions,female,,,,,,,,,,,,
2013,Urban regions,male,7.487803446865642,7.466680662261891,7.508926231469393,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7415.0
2013,Urban regions,female,7.556613508266959,7.536438868969895,7.576788147564023,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,8425.0
2013,Rural regions,male,7.305766527402384,7.275370918525707,7.336162136279062,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,3746.0
2013,Rural regions,female,7.4122073402134525,7.382967364697401,7.441447315729504,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,4147.0
2014,Urban regions,male,,,,,,,,,,,,
2014,Urban regions,female,,,,,,,,,,,,
2014,Rural regions,male,,,,,,,,,,,,
2014,Rural regions,female,,,,,,,,,,,,
2015,Urban regions,male,,,,,,,,,,,,
2015,Urban regions,female,,,,,,,,,,,,
2015,Rural regions,male,,,,,,,,,,,,
2015,Rural regions,female,,,,,,,,,,,,
2016,Urban regions,male,,,,,,,,,,,,
2016,Urban regions,female,,,,,,,,,,,,
2016,Rural regions,male,,,,,,,,,,,,
2016,Rural regions,female,,,,,,,,,,,,
2017,Urban regions,male,,,,,,,,,,,,
2017,Urban regions,female,,,,,,,,,,,,
2017,Rural regions,male,,,,,,,,,,,,
2017,Rural regions,female,,,,,,,,,,,,
2018,Urban regions,male,7.628661800235055,7.609709714238918,7.647613886231192,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7572.0
2018,Urban regions,female,7.7085951355798645,7.690307184384772,7.726883086774957,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,8970.0
2018,Rural regions,male,7.481697613819174,7.45538617562805,7.508009052010298,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4153.0
2018,Rural regions,female,7.498950268931406,7.473008083908289,7.524892453954522,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4782.0
2019,Urban regions,male,,,,,,,,,,,,
2019,Urban regions,female,,,,,,,,,,,,
2019,Rural regions,male,,,,,,,,,,,,
2019,Rural regions,female,,,,,,,,,,,,
2020,Urban regions,male,,,,,,,,,,,,
2020,Urban regions,female,,,,,,,,,,,,
2020,Rural regions,male,,,,,,,,,,,,
2020,Rural regions,female,,,,,,,,,,,,
2021,Urban regions,male,,,,,,,,,,,,
2021,Urban regions,female,,,,,,,,,,,,
2021,Rural regions,male,,,,,,,,,,,,
2021,Rural regions,female,,,,,,,,,,,,
