,Unnamed: 0,year,migback,quintil_oecd,plb0419_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
208,208,1996,No migration background,2nd Quintile,Easy,0.13966,62,2732,0.11297,0.16588
209,209,1996,No migration background,2nd Quintile,Difficult,0.5641,274,2732,0.52729,0.61395
210,210,1996,No migration background,2nd Quintile,Almost impossible,0.29624,126,2732,0.26473,0.3289
211,211,1996,No migration background,3rd Quintile,Easy,0.15171,62,2732,0.1285,0.1718
212,212,1996,No migration background,3rd Quintile,Difficult,0.5439,210,2732,0.49889,0.59752
213,213,1996,No migration background,3rd Quintile,Almost impossible,0.30439,113,2732,0.26562,0.34647
214,214,1996,No migration background,4th Quintile,Easy,0.16921,64,2732,0.1404,0.19376
215,215,1996,No migration background,4th Quintile,Difficult,0.48116,180,2732,0.44668,0.52241
216,216,1996,No migration background,4th Quintile,Almost impossible,0.34964,98,2732,0.30876,0.40143
217,217,1996,No migration background,5th Quintile,Easy,0.1589,50,2732,0.12792,0.19174
218,218,1996,No migration background,5th Quintile,Difficult,0.46053,156,2732,0.41523,0.5084
219,219,1996,No migration background,5th Quintile,Almost impossible,0.38057,111,2732,0.33641,0.42827
220,220,1996,Direct migration background,1st Quintile,Difficult,0.51089,178,2732,0.45313,0.56613
221,221,1996,Direct migration background,1st Quintile,Almost impossible,0.48911,173,2732,0.42778,0.55612
222,222,1996,Direct migration background,2nd Quintile,Difficult,0.61503,101,2732,0.49473,0.72216
223,223,1996,Direct migration background,2nd Quintile,Almost impossible,0.38497,68,2732,0.31483,0.4557
224,224,1996,Direct migration background,3rd Quintile,Difficult,0.59287,48,2732,0.44907,0.77098
225,225,1996,Direct migration background,3rd Quintile,Almost impossible,0.40713,34,2732,0.23662,0.63399
226,226,1996,Indirect migration background,1st Quintile,Difficult,1.0,48,2732,0.80673,1.16517
227,227,1996,Indirect migration background,2nd Quintile,Difficult,1.0,33,2732,0.71691,1.30312
228,228,1997,No migration background,1st Quintile,Easy,0.06303,37,2722,0.05035,0.08017
229,229,1997,No migration background,1st Quintile,Difficult,0.59507,299,2722,0.54306,0.65418
230,230,1997,No migration background,1st Quintile,Almost impossible,0.3419,168,2722,0.30507,0.38331
231,231,1997,No migration background,2nd Quintile,Easy,0.13822,64,2722,0.11394,0.15781
232,232,1997,No migration background,2nd Quintile,Difficult,0.55747,268,2722,0.5073,0.61283
233,233,1997,No migration background,2nd Quintile,Almost impossible,0.30431,133,2722,0.26951,0.34439
234,234,1997,No migration background,3rd Quintile,Easy,0.15096,59,2722,0.13098,0.18079
235,235,1997,No migration background,3rd Quintile,Difficult,0.55035,237,2722,0.49718,0.59477
236,236,1997,No migration background,3rd Quintile,Almost impossible,0.29869,107,2722,0.26751,0.33962
237,237,1997,No migration background,4th Quintile,Easy,0.13056,50,2722,0.10571,0.15708
238,238,1997,No migration background,4th Quintile,Difficult,0.53994,201,2722,0.4811,0.613
239,239,1997,No migration background,4th Quintile,Almost impossible,0.32949,104,2722,0.28422,0.37948
240,240,1997,No migration background,5th Quintile,Easy,0.12517,41,2722,0.10742,0.14222
241,241,1997,No migration background,5th Quintile,Difficult,0.49157,150,2722,0.4413,0.55353
242,242,1997,No migration background,5th Quintile,Almost impossible,0.38325,109,2722,0.32579,0.42943
243,243,1997,Direct migration background,1st Quintile,Difficult,0.48698,165,2722,0.42237,0.55541
244,244,1997,Direct migration background,1st Quintile,Almost impossible,0.51302,173,2722,0.4395,0.58181
245,245,1997,Direct migration background,2nd Quintile,Difficult,0.53437,95,2722,0.46513,0.61639
246,246,1997,Direct migration background,2nd Quintile,Almost impossible,0.46563,89,2722,0.36274,0.55962
247,247,1997,Direct migration background,3rd Quintile,Difficult,0.50613,45,2722,0.38284,0.7028
248,248,1997,Direct migration background,3rd Quintile,Almost impossible,0.49387,34,2722,0.30429,0.71206
249,249,1997,Indirect migration background,1st Quintile,Difficult,1.0,51,2722,0.83329,1.20723
250,250,1997,Indirect migration background,2nd Quintile,Difficult,1.0,43,2722,0.84682,1.18274
251,251,1998,No migration background,1st Quintile,Difficult,0.6517,321,2436,0.60072,0.70868
252,252,1998,No migration background,1st Quintile,Almost impossible,0.3483,159,2436,0.30571,0.38822
253,253,1998,No migration background,2nd Quintile,Easy,0.11354,54,2436,0.09837,0.1347
254,254,1998,No migration background,2nd Quintile,Difficult,0.61457,261,2436,0.56311,0.66905
255,255,1998,No migration background,2nd Quintile,Almost impossible,0.27188,115,2436,0.23708,0.3094
256,256,1998,No migration background,3rd Quintile,Easy,0.12639,50,2436,0.1033,0.15589
257,257,1998,No migration background,3rd Quintile,Difficult,0.58052,220,2436,0.50917,0.64842
258,258,1998,No migration background,3rd Quintile,Almost impossible,0.29309,97,2436,0.26,0.32678
259,259,1998,No migration background,4th Quintile,Easy,0.17355,60,2436,0.14207,0.20631
260,260,1998,No migration background,4th Quintile,Difficult,0.51593,170,2436,0.46228,0.56677
261,261,1998,No migration background,4th Quintile,Almost impossible,0.31052,102,2436,0.27427,0.36119
262,262,1998,No migration background,5th Quintile,Easy,0.11725,37,2436,0.09248,0.1491
263,263,1998,No migration background,5th Quintile,Difficult,0.49758,136,2436,0.44656,0.55317
264,264,1998,No migration background,5th Quintile,Almost impossible,0.38517,90,2436,0.34018,0.42609
265,265,1998,Direct migration background,1st Quintile,Difficult,0.48684,140,2436,0.42271,0.54587
266,266,1998,Direct migration background,1st Quintile,Almost impossible,0.51316,152,2436,0.44467,0.58686
267,267,1998,Direct migration background,2nd Quintile,Difficult,0.56567,74,2436,0.47264,0.68123
268,268,1998,Direct migration background,2nd Quintile,Almost impossible,0.43433,75,2436,0.36507,0.51596
269,269,1998,Direct migration background,3rd Quintile,Almost impossible,1.0,35,2436,0.60597,1.54843
270,270,1998,Indirect migration background,1st Quintile,Difficult,1.0,54,2436,0.80988,1.19652
271,271,1998,Indirect migration background,2nd Quintile,Difficult,1.0,34,2436,0.78567,1.16145
272,272,1999,No migration background,1st Quintile,Easy,0.08754,45,2522,0.06883,0.11024
273,273,1999,No migration background,1st Quintile,Difficult,0.57122,344,2522,0.5358,0.61308
274,274,1999,No migration background,1st Quintile,Almost impossible,0.34124,178,2522,0.30953,0.37977
275,275,1999,No migration background,2nd Quintile,Easy,0.12652,49,2522,0.09885,0.15631
276,276,1999,No migration background,2nd Quintile,Difficult,0.59822,270,2522,0.55161,0.64624
277,277,1999,No migration background,2nd Quintile,Almost impossible,0.27526,110,2522,0.23026,0.31158
278,278,1999,No migration background,3rd Quintile,Easy,0.18112,66,2522,0.14963,0.21406
279,279,1999,No migration background,3rd Quintile,Difficult,0.54201,220,2522,0.49797,0.60236
280,280,1999,No migration background,3rd Quintile,Almost impossible,0.27687,108,2522,0.23902,0.31705
281,281,1999,No migration background,4th Quintile,Easy,0.17846,50,2522,0.14068,0.20979
282,282,1999,No migration background,4th Quintile,Difficult,0.46552,158,2522,0.4206,0.51827
283,283,1999,No migration background,4th Quintile,Almost impossible,0.35603,98,2522,0.31273,0.40979
284,284,1999,No migration background,5th Quintile,Easy,0.12034,36,2522,0.09617,0.14649
285,285,1999,No migration background,5th Quintile,Difficult,0.47532,142,2522,0.43098,0.52526
286,286,1999,No migration background,5th Quintile,Almost impossible,0.40434,113,2522,0.35959,0.45662
287,287,1999,Direct migration background,1st Quintile,Difficult,0.55946,140,2522,0.50823,0.63845
288,288,1999,Direct migration background,1st Quintile,Almost impossible,0.44054,131,2522,0.38281,0.50713
289,289,1999,Direct migration background,2nd Quintile,Difficult,0.42073,72,2522,0.37084,0.48281
290,290,1999,Direct migration background,2nd Quintile,Almost impossible,0.57927,68,2522,0.45152,0.72057
291,291,1999,Direct migration background,3rd Quintile,Difficult,1.0,33,2522,0.69763,1.29708
292,292,1999,Indirect migration background,1st Quintile,Difficult,1.0,52,2522,0.79842,1.18579
293,293,1999,Indirect migration background,2nd Quintile,Difficult,1.0,39,2522,0.78061,1.18902
294,294,2000,No migration background,1st Quintile,Easy,0.13245,57,2392,0.10986,0.15924
295,295,2000,No migration background,1st Quintile,Difficult,0.54444,313,2392,0.50423,0.58046
296,296,2000,No migration background,1st Quintile,Almost impossible,0.32311,176,2392,0.29071,0.3579
297,297,2000,No migration background,2nd Quintile,Easy,0.13922,60,2392,0.11102,0.16877
298,298,2000,No migration background,2nd Quintile,Difficult,0.54271,244,2392,0.50384,0.58177
299,299,2000,No migration background,2nd Quintile,Almost impossible,0.31806,130,2392,0.28248,0.35432
300,300,2000,No migration background,3rd Quintile,Easy,0.13239,53,2392,0.1112,0.15881
301,301,2000,No migration background,3rd Quintile,Difficult,0.59348,232,2392,0.53651,0.65461
302,302,2000,No migration background,3rd Quintile,Almost impossible,0.27413,109,2392,0.24924,0.30462
303,303,2000,No migration background,4th Quintile,Easy,0.20273,52,2392,0.17508,0.23474
