year,bula_h,pgisced97,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,Baden-Wuerttemberg,Upper Secondary Level,Almost impossible,0.31525,39,118,0.23106,0.39944
1988,Bavaria,Lower Secondary Level,Difficult,0.55264,58,89,0.44875,0.65653
1988,Bavaria,Lower Secondary Level,Almost impossible,0.29650,31,89,0.20107,0.39192
1988,Bavaria,Upper Secondary Level,Easy,0.27194,38,116,0.19062,0.35327
1988,Bavaria,Upper Secondary Level,Difficult,0.53485,78,116,0.44369,0.62601
1989,Lower Saxony,Lower Secondary Level,Difficult,0.35402,39,79,0.24789,0.46015
1989,Lower Saxony,Lower Secondary Level,Almost impossible,0.55962,40,79,0.44945,0.66979
1989,Lower Saxony,Upper Secondary Level,Difficult,0.48590,48,82,0.37705,0.59474
1989,Lower Saxony,Upper Secondary Level,Almost impossible,0.29518,34,82,0.19584,0.39451
1989,North Rhine-Westphalia,Pre-primary Level,Difficult,0.67257,46,46,0.53545,0.80968
1989,North Rhine-Westphalia,Primary Level,Almost impossible,0.57560,49,49,0.43577,0.71542
1989,North Rhine-Westphalia,Lower Secondary Level,Difficult,0.41860,99,186,0.34751,0.48968
1989,North Rhine-Westphalia,Lower Secondary Level,Almost impossible,0.47415,87,186,0.40219,0.54610
1989,North Rhine-Westphalia,Upper Secondary Level,Easy,0.16294,54,313,0.12196,0.20392
1989,North Rhine-Westphalia,Upper Secondary Level,Difficult,0.55621,176,313,0.50108,0.61134
1989,North Rhine-Westphalia,Upper Secondary Level,Almost impossible,0.28086,83,313,0.23099,0.33072
1989,Hesse,Lower Secondary Level,Difficult,0.36984,32,32,0.19989,0.53978
1989,Hesse,Upper Secondary Level,Difficult,0.48501,54,54,0.35046,0.61957
1989,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Almost impossible,0.55086,37,37,0.38838,0.71335
1989,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Difficult,0.61238,36,36,0.45097,0.77379
1989,Baden-Wuerttemberg,Primary Level,Almost impossible,0.57878,38,38,0.41969,0.73788
1989,Baden-Wuerttemberg,Lower Secondary Level,Difficult,0.48899,56,56,0.35688,0.62110
1989,Baden-Wuerttemberg,Upper Secondary Level,Difficult,0.58273,77,110,0.49015,0.67530
1989,Baden-Wuerttemberg,Upper Secondary Level,Almost impossible,0.25042,33,110,0.16908,0.33175
1989,Bavaria,Lower Secondary Level,Difficult,0.39823,41,83,0.29227,0.50419
1989,Bavaria,Lower Secondary Level,Almost impossible,0.49182,42,83,0.38361,0.60003
1989,Bavaria,Upper Secondary Level,Easy,0.24414,33,103,0.16077,0.32751
1989,Bavaria,Upper Secondary Level,Difficult,0.54064,70,103,0.44393,0.63735
1990,Lower Saxony,Lower Secondary Level,Difficult,0.44614,34,34,0.27654,0.61575
1990,Lower Saxony,Upper Secondary Level,Difficult,0.53634,57,90,0.43273,0.63994
1990,Lower Saxony,Upper Secondary Level,Almost impossible,0.28479,33,90,0.19102,0.37855
1990,North Rhine-Westphalia,Primary Level,Difficult,0.50556,35,80,0.39531,0.61581
1990,North Rhine-Westphalia,Primary Level,Almost impossible,0.45258,45,80,0.34282,0.56234
1990,North Rhine-Westphalia,Lower Secondary Level,Difficult,0.43189,86,169,0.35699,0.50680
1990,North Rhine-Westphalia,Lower Secondary Level,Almost impossible,0.45306,83,169,0.37779,0.52834
1990,North Rhine-Westphalia,Upper Secondary Level,Easy,0.18034,51,277,0.13498,0.22570
1990,North Rhine-Westphalia,Upper Secondary Level,Difficult,0.48781,135,277,0.42884,0.54678
1990,North Rhine-Westphalia,Upper Secondary Level,Almost impossible,0.33186,91,277,0.27630,0.38741
1990,Hesse,Upper Secondary Level,Difficult,0.48096,43,43,0.32985,0.63207
1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Difficult,0.52172,35,35,0.35381,0.68963
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Difficult,0.42946,33,33,0.25795,0.60097
1990,Baden-Wuerttemberg,Lower Secondary Level,Difficult,0.51510,58,58,0.38536,0.64485
1990,Baden-Wuerttemberg,Upper Secondary Level,Easy,0.28969,41,100,0.20034,0.37905
1990,Baden-Wuerttemberg,Upper Secondary Level,Difficult,0.44351,59,100,0.34565,0.54138
1990,Bavaria,Lower Secondary Level,Difficult,0.40264,39,74,0.29014,0.51515
1990,Bavaria,Lower Secondary Level,Almost impossible,0.44442,35,74,0.33043,0.55841
1990,Bavaria,Upper Secondary Level,Easy,0.33641,43,103,0.24472,0.42811
1990,Bavaria,Upper Secondary Level,Difficult,0.41598,60,103,0.32033,0.51164
1991,Lower Saxony,Upper Secondary Level,Difficult,0.46482,46,46,0.31909,0.61054
1991,North Rhine-Westphalia,Primary Level,Almost impossible,0.58997,39,39,0.43359,0.74635
1991,North Rhine-Westphalia,Lower Secondary Level,Easy,0.16768,34,191,0.11456,0.22080
1991,North Rhine-Westphalia,Lower Secondary Level,Difficult,0.43239,83,191,0.36195,0.50284
1991,North Rhine-Westphalia,Lower Secondary Level,Almost impossible,0.39993,74,191,0.33027,0.46959
1991,North Rhine-Westphalia,Upper Secondary Level,Easy,0.20089,64,279,0.15379,0.24799
1991,North Rhine-Westphalia,Upper Secondary Level,Difficult,0.51327,140,279,0.45451,0.57203
1991,North Rhine-Westphalia,Upper Secondary Level,Almost impossible,0.28584,75,279,0.23273,0.33895
1991,Hesse,Upper Secondary Level,Difficult,0.46536,32,32,0.28977,0.64095
1991,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Almost impossible,0.52175,33,33,0.34867,0.69483
1991,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Difficult,0.59484,33,33,0.42474,0.76494
1991,Baden-Wuerttemberg,Lower Secondary Level,Difficult,0.48178,48,48,0.33892,0.62463
1991,Baden-Wuerttemberg,Upper Secondary Level,Easy,0.33059,46,101,0.23839,0.42279
1991,Baden-Wuerttemberg,Upper Secondary Level,Difficult,0.41854,55,101,0.32185,0.51523
1991,Bavaria,Lower Secondary Level,Difficult,0.44783,41,41,0.29373,0.60194
1991,Bavaria,Upper Secondary Level,Easy,0.27989,37,106,0.19402,0.36577
1991,Bavaria,Upper Secondary Level,Difficult,0.49459,69,106,0.39896,0.59023
1991,Brandenburg,Upper Secondary Level,Difficult,0.59347,38,38,0.43520,0.75174
1991,Mecklenburg-Western Pomerania,Upper Secondary Level,Difficult,0.69372,35,35,0.53877,0.84866
1991,Saxony,Upper Secondary Level,Difficult,0.52229,55,94,0.42077,0.62381
1991,Saxony,Upper Secondary Level,Almost impossible,0.40194,39,94,0.30229,0.50158
1991,Saxony-Anhalt,Upper Secondary Level,Difficult,0.72587,37,37,0.58016,0.87159
1991,Thuringa,Upper Secondary Level,Difficult,0.56121,37,37,0.39910,0.72331
1992,Lower Saxony,Upper Secondary Level,Difficult,0.48376,50,50,0.34383,0.62368
1992,North Rhine-Westphalia,Primary Level,Difficult,0.44458,31,64,0.32187,0.56729
1992,North Rhine-Westphalia,Primary Level,Almost impossible,0.45827,33,64,0.33524,0.58131
1992,North Rhine-Westphalia,Lower Secondary Level,Easy,0.25560,42,171,0.19003,0.32117
1992,North Rhine-Westphalia,Lower Secondary Level,Difficult,0.42118,74,171,0.34696,0.49541
1992,North Rhine-Westphalia,Lower Secondary Level,Almost impossible,0.32322,55,171,0.25291,0.39353
1992,North Rhine-Westphalia,Upper Secondary Level,Easy,0.21849,65,268,0.16893,0.26806
1992,North Rhine-Westphalia,Upper Secondary Level,Difficult,0.51619,138,268,0.45625,0.57613
1992,North Rhine-Westphalia,Upper Secondary Level,Almost impossible,0.26532,65,268,0.21236,0.31827
1992,Hesse,Upper Secondary Level,Difficult,0.53620,40,40,0.37969,0.69272
1992,Baden-Wuerttemberg,Lower Secondary Level,Difficult,0.43652,44,44,0.28828,0.58475
1992,Baden-Wuerttemberg,Upper Secondary Level,Easy,0.32236,39,101,0.23075,0.41397
1992,Baden-Wuerttemberg,Upper Secondary Level,Difficult,0.57177,62,101,0.47479,0.66876
1992,Bavaria,Lower Secondary Level,Difficult,0.46494,37,37,0.30201,0.62787
1992,Bavaria,Upper Secondary Level,Easy,0.32964,42,106,0.23973,0.41956
1992,Bavaria,Upper Secondary Level,Difficult,0.47857,64,106,0.38302,0.57412
1992,Brandenburg,Upper Secondary Level,Difficult,0.65638,50,50,0.52340,0.78936
1992,Saxony,Upper Secondary Level,Difficult,0.50338,73,135,0.41872,0.58803
1992,Saxony,Upper Secondary Level,Almost impossible,0.47013,62,135,0.38562,0.55464
1992,Saxony-Anhalt,Upper Secondary Level,Difficult,0.60090,51,51,0.46515,0.73664
1992,Thuringa,Upper Secondary Level,Difficult,0.62818,53,53,0.49682,0.75954
1993,Lower Saxony,Upper Secondary Level,Difficult,0.43222,47,47,0.28906,0.57538
1993,North Rhine-Westphalia,Primary Level,Almost impossible,0.60852,41,41,0.45727,0.75978
1993,North Rhine-Westphalia,Lower Secondary Level,Easy,0.22468,32,169,0.16156,0.28779
1993,North Rhine-Westphalia,Lower Secondary Level,Difficult,0.39215,75,169,0.31832,0.46598
1993,North Rhine-Westphalia,Lower Secondary Level,Almost impossible,0.38318,62,169,0.30966,0.45669
1993,North Rhine-Westphalia,Upper Secondary Level,Easy,0.19371,60,286,0.14782,0.23959
1993,North Rhine-Westphalia,Upper Secondary Level,Difficult,0.53161,156,286,0.47367,0.58954
1993,North Rhine-Westphalia,Upper Secondary Level,Almost impossible,0.27469,70,286,0.22286,0.32651
1993,Hesse,Upper Secondary Level,Difficult,0.62884,40,40,0.47722,0.78047
1993,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Difficult,0.63164,40,40,0.48025,0.78303
1993,Baden-Wuerttemberg,Primary Level,Almost impossible,0.48996,42,42,0.33694,0.64298
1993,Baden-Wuerttemberg,Lower Secondary Level,Difficult,0.49388,50,86,0.38759,0.60017
1993,Baden-Wuerttemberg,Lower Secondary Level,Almost impossible,0.38477,36,86,0.28134,0.48821
1993,Baden-Wuerttemberg,Upper Secondary Level,Easy,0.23164,33,142,0.16200,0.30128
1993,Baden-Wuerttemberg,Upper Secondary Level,Difficult,0.50118,69,142,0.41865,0.58371
1993,Baden-Wuerttemberg,Upper Secondary Level,Almost impossible,0.26718,40,142,0.19414,0.34022
1993,Bavaria,Lower Secondary Level,Difficult,0.44770,40,40,0.29164,0.60377
1993,Bavaria,Upper Secondary Level,Easy,0.27700,39,113,0.19412,0.35988
1993,Bavaria,Upper Secondary Level,Difficult,0.49905,74,113,0.40645,0.59165
1993,Brandenburg,Upper Secondary Level,Difficult,0.45537,38,71,0.33870,0.57203
1993,Brandenburg,Upper Secondary Level,Almost impossible,0.44101,33,71,0.32470,0.55732
1993,Mecklenburg-Western Pomerania,Upper Secondary Level,Difficult,0.54194,36,36,0.37688,0.70701
1993,Saxony,Upper Secondary Level,Difficult,0.48249,83,154,0.40331,0.56167
1993,Saxony,Upper Secondary Level,Almost impossible,0.48256,71,154,0.40338,0.56174
1993,Saxony-Anhalt,Upper Secondary Level,Difficult,0.45424,50,101,0.35665,0.55183
1993,Saxony-Anhalt,Upper Secondary Level,Almost impossible,0.50716,51,101,0.40917,0.60515
1993,Thuringa,Upper Secondary Level,Difficult,0.55960,52,83,0.45215,0.66705
1993,Thuringa,Upper Secondary Level,Almost impossible,0.40696,31,83,0.30063,0.51330
1994,Lower Saxony,Upper Secondary Level,Difficult,0.51614,53,88,0.41113,0.62116
1994,Lower Saxony,Upper Secondary Level,Almost impossible,0.33593,35,88,0.23668,0.43518
1994,North Rhine-Westphalia,Primary Level,Almost impossible,0.46331,31,31,0.28487,0.64175
1994,North Rhine-Westphalia,Lower Secondary Level,Difficult,0.41250,75,140,0.33066,0.49434
1994,North Rhine-Westphalia,Lower Secondary Level,Almost impossible,0.44770,65,140,0.36504,0.53037
1994,North Rhine-Westphalia,Upper Secondary Level,Easy,0.14758,53,296,0.10710,0.18805
1994,North Rhine-Westphalia,Upper Secondary Level,Difficult,0.46325,152,296,0.40634,0.52015
1994,North Rhine-Westphalia,Upper Secondary Level,Almost impossible,0.38918,91,296,0.33354,0.44481
1994,Hesse,Upper Secondary Level,Difficult,0.59973,42,42,0.44976,0.74971
1994,Baden-Wuerttemberg,Primary Level,Almost impossible,0.48977,41,41,0.33485,0.64469
1994,Baden-Wuerttemberg,Lower Secondary Level,Difficult,0.64332,65,65,0.52596,0.76068
1994,Baden-Wuerttemberg,Upper Secondary Level,Easy,0.20591,37,154,0.14183,0.26998
1994,Baden-Wuerttemberg,Upper Secondary Level,Difficult,0.51098,78,154,0.43177,0.59019
1994,Baden-Wuerttemberg,Upper Secondary Level,Almost impossible,0.28311,39,154,0.21173,0.35450
1994,Bavaria,Lower Secondary Level,Difficult,0.37121,35,67,0.25465,0.48777
1994,Bavaria,Lower Secondary Level,Almost impossible,0.48089,32,67,0.36034,0.60143
1994,Bavaria,Upper Secondary Level,Easy,0.27220,43,162,0.20345,0.34095
1994,Bavaria,Upper Secondary Level,Difficult,0.46447,81,162,0.38743,0.54151
1994,Bavaria,Upper Secondary Level,Almost impossible,0.26333,38,162,0.19529,0.33136
1994,Brandenburg,Upper Secondary Level,Difficult,0.49918,35,35,0.33111,0.66724
1994,Mecklenburg-Western Pomerania,Upper Secondary Level,Difficult,0.61263,38,38,0.45566,0.76960
1994,Saxony,Upper Secondary Level,Difficult,0.45671,82,154,0.37778,0.53565
1994,Saxony,Upper Secondary Level,Almost impossible,0.51250,72,154,0.43330,0.59170
1994,Saxony-Anhalt,Upper Secondary Level,Difficult,0.43096,43,103,0.33485,0.52706
1994,Saxony-Anhalt,Upper Secondary Level,Almost impossible,0.54158,60,103,0.44489,0.63828
1994,Thuringa,Upper Secondary Level,Difficult,0.69549,68,68,0.58530,0.80569
1995,Lower Saxony,Upper Secondary Level,Difficult,0.58669,65,98,0.48870,0.68469
1995,Lower Saxony,Upper Secondary Level,Almost impossible,0.29902,33,98,0.20791,0.39013
1995,North Rhine-Westphalia,Pre-primary Level,Difficult,0.65462,34,34,0.49239,0.81686
1995,North Rhine-Westphalia,Primary Level,Almost impossible,0.76533,38,38,0.62877,0.90188
1995,North Rhine-Westphalia,Lower Secondary Level,Difficult,0.42704,81,143,0.34568,0.50840
1995,North Rhine-Westphalia,Lower Secondary Level,Almost impossible,0.45302,62,143,0.37115,0.53490
1995,North Rhine-Westphalia,Upper Secondary Level,Easy,0.18081,59,308,0.13776,0.22387
1995,North Rhine-Westphalia,Upper Secondary Level,Difficult,0.49990,175,308,0.44397,0.55584
1995,North Rhine-Westphalia,Upper Secondary Level,Almost impossible,0.31928,74,308,0.26713,0.37143
1995,Hesse,Lower Secondary Level,Difficult,0.67177,35,35,0.51393,0.82961
1995,Hesse,Upper Secondary Level,Difficult,0.61697,46,46,0.47493,0.75900
1995,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Difficult,0.54833,42,42,0.39600,0.70066
1995,Baden-Wuerttemberg,Primary Level,Almost impossible,0.69483,47,47,0.56176,0.82790
1995,Baden-Wuerttemberg,Lower Secondary Level,Difficult,0.44190,53,94,0.34096,0.54283
1995,Baden-Wuerttemberg,Lower Secondary Level,Almost impossible,0.42597,41,94,0.32547,0.52647
1995,Baden-Wuerttemberg,Upper Secondary Level,Difficult,0.58840,88,132,0.50413,0.67267
1995,Baden-Wuerttemberg,Upper Secondary Level,Almost impossible,0.29484,44,132,0.21676,0.37292
1995,Bavaria,Lower Secondary Level,Difficult,0.37336,34,71,0.26005,0.48667
1995,Bavaria,Lower Secondary Level,Almost impossible,0.48532,37,71,0.36824,0.60240
1995,Bavaria,Upper Secondary Level,Easy,0.29045,50,172,0.22241,0.35850
1995,Bavaria,Upper Secondary Level,Difficult,0.46714,84,172,0.39236,0.54192
1995,Bavaria,Upper Secondary Level,Almost impossible,0.24240,38,172,0.17817,0.30663
1995,Brandenburg,Upper Secondary Level,Difficult,0.52318,34,34,0.35277,0.69360
1995,Saxony,Upper Secondary Level,Difficult,0.56880,90,138,0.48587,0.65173
1995,Saxony,Upper Secondary Level,Almost impossible,0.38896,48,138,0.30732,0.47059
1995,Saxony-Anhalt,Upper Secondary Level,Difficult,0.53108,49,84,0.42372,0.63844
1995,Saxony-Anhalt,Upper Secondary Level,Almost impossible,0.41287,35,84,0.30695,0.51879
1995,Thuringa,Upper Secondary Level,Difficult,0.64095,58,58,0.51641,0.76549
1996,Lower Saxony,Upper Secondary Level,Difficult,0.54554,63,96,0.44541,0.64567
1996,Lower Saxony,Upper Secondary Level,Almost impossible,0.33403,33,96,0.23918,0.42887
1996,North Rhine-Westphalia,Pre-primary Level,Difficult,0.63583,39,39,0.48284,0.78883
1996,North Rhine-Westphalia,Primary Level,Almost impossible,0.57840,32,32,0.40457,0.75224
1996,North Rhine-Westphalia,Lower Secondary Level,Difficult,0.44279,73,138,0.35962,0.52597
1996,North Rhine-Westphalia,Lower Secondary Level,Almost impossible,0.41893,65,138,0.33631,0.50155
1996,North Rhine-Westphalia,Upper Secondary Level,Easy,0.15289,49,288,0.11125,0.19452
1996,North Rhine-Westphalia,Upper Secondary Level,Difficult,0.50994,161,288,0.45210,0.56778
1996,North Rhine-Westphalia,Upper Secondary Level,Almost impossible,0.33717,78,288,0.28248,0.39186
1996,Hesse,Lower Secondary Level,Difficult,0.65623,38,38,0.50318,0.80927
1996,Hesse,Upper Secondary Level,Difficult,0.47406,50,50,0.33425,0.61387
1996,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Difficult,0.54736,39,39,0.38910,0.70562
1996,Baden-Wuerttemberg,Primary Level,Almost impossible,0.51012,33,33,0.33692,0.68333
1996,Baden-Wuerttemberg,Lower Secondary Level,Difficult,0.48099,47,91,0.37776,0.58422
1996,Baden-Wuerttemberg,Lower Secondary Level,Almost impossible,0.38767,44,91,0.28701,0.48833
1996,Baden-Wuerttemberg,Upper Secondary Level,Difficult,0.52687,80,121,0.43754,0.61620
1996,Baden-Wuerttemberg,Upper Secondary Level,Almost impossible,0.28730,41,121,0.20634,0.36827
1996,Bavaria,Lower Secondary Level,Difficult,0.49482,45,84,0.38726,0.60239
1996,Bavaria,Lower Secondary Level,Almost impossible,0.39896,39,84,0.29361,0.50430
1996,Bavaria,Upper Secondary Level,Easy,0.27621,43,157,0.20605,0.34638
1996,Bavaria,Upper Secondary Level,Difficult,0.48784,79,157,0.40940,0.56628
1996,Bavaria,Upper Secondary Level,Almost impossible,0.23595,35,157,0.16932,0.30258
1996,Brandenburg,Upper Secondary Level,Difficult,0.63748,49,49,0.50148,0.77348
1996,Mecklenburg-Western Pomerania,Upper Secondary Level,Difficult,0.47273,35,35,0.30491,0.64055
1996,Saxony,Upper Secondary Level,Difficult,0.54887,78,124,0.46093,0.63681
1996,Saxony,Upper Secondary Level,Almost impossible,0.40288,46,124,0.31620,0.48956
1996,Saxony-Anhalt,Upper Secondary Level,Difficult,0.58770,55,86,0.48305,0.69235
1996,Saxony-Anhalt,Upper Secondary Level,Almost impossible,0.34429,31,86,0.24328,0.44531
1996,Thuringa,Upper Secondary Level,Difficult,0.59668,56,88,0.49360,0.69977
1996,Thuringa,Upper Secondary Level,Almost impossible,0.33512,32,88,0.23593,0.43431
1997,Lower Saxony,Lower Secondary Level,Difficult,0.55197,31,31,0.37402,0.72993
1997,Lower Saxony,Upper Secondary Level,Difficult,0.55850,58,89,0.45475,0.66225
1997,Lower Saxony,Upper Secondary Level,Almost impossible,0.32055,31,89,0.22304,0.41805
1997,North Rhine-Westphalia,Pre-primary Level,Difficult,0.49470,35,35,0.32665,0.66276
1997,North Rhine-Westphalia,Lower Secondary Level,Difficult,0.40918,66,135,0.32593,0.49243
1997,North Rhine-Westphalia,Lower Secondary Level,Almost impossible,0.47698,69,135,0.39241,0.56155
1997,North Rhine-Westphalia,Upper Secondary Level,Easy,0.13384,43,293,0.09479,0.17290
1997,North Rhine-Westphalia,Upper Secondary Level,Difficult,0.51199,160,293,0.45466,0.56933
1997,North Rhine-Westphalia,Upper Secondary Level,Almost impossible,0.35416,90,293,0.29931,0.40902
1997,Hesse,Upper Secondary Level,Difficult,0.52177,44,44,0.37246,0.67108
1997,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Difficult,0.56784,39,39,0.41033,0.72534
1997,Baden-Wuerttemberg,Primary Level,Almost impossible,0.61129,38,38,0.45422,0.76836
1997,Baden-Wuerttemberg,Lower Secondary Level,Difficult,0.62224,68,112,0.53205,0.71244
1997,Baden-Wuerttemberg,Lower Secondary Level,Almost impossible,0.34750,44,112,0.25892,0.43609
1997,Baden-Wuerttemberg,Upper Secondary Level,Difficult,0.56998,95,144,0.48883,0.65112
1997,Baden-Wuerttemberg,Upper Secondary Level,Almost impossible,0.30031,49,144,0.22518,0.37545
1997,Bavaria,Lower Secondary Level,Difficult,0.51029,47,47,0.36582,0.65475
1997,Bavaria,Upper Secondary Level,Easy,0.21631,34,154,0.15107,0.28155
1997,Bavaria,Upper Secondary Level,Difficult,0.58674,89,154,0.50871,0.66476
1997,Bavaria,Upper Secondary Level,Almost impossible,0.19696,31,154,0.13394,0.25997
1997,Brandenburg,Upper Secondary Level,Difficult,0.55628,39,39,0.39831,0.71425
1997,Mecklenburg-Western Pomerania,Upper Secondary Level,Difficult,0.57359,32,32,0.39949,0.74768
1997,Saxony,Upper Secondary Level,Difficult,0.62187,85,127,0.53720,0.70654
1997,Saxony,Upper Secondary Level,Almost impossible,0.32487,42,127,0.24309,0.40664
1997,Saxony-Anhalt,Upper Secondary Level,Difficult,0.53136,48,81,0.42201,0.64071
1997,Saxony-Anhalt,Upper Secondary Level,Almost impossible,0.37078,33,81,0.26493,0.47662
1997,Thuringa,Upper Secondary Level,Difficult,0.61181,68,102,0.51677,0.70686
1997,Thuringa,Upper Secondary Level,Almost impossible,0.36231,34,102,0.26857,0.45605
1998,Lower Saxony,Upper Secondary Level,Difficult,0.55672,59,99,0.45836,0.65507
1998,Lower Saxony,Upper Secondary Level,Almost impossible,0.32352,40,99,0.23090,0.41615
1998,North Rhine-Westphalia,Pre-primary Level,Difficult,0.67459,38,38,0.52362,0.82556
1998,North Rhine-Westphalia,Lower Secondary Level,Difficult,0.48767,82,154,0.40846,0.56687
1998,North Rhine-Westphalia,Lower Secondary Level,Almost impossible,0.39428,72,154,0.31684,0.47172
1998,North Rhine-Westphalia,Upper Secondary Level,Easy,0.16105,46,291,0.11874,0.20335
1998,North Rhine-Westphalia,Upper Secondary Level,Difficult,0.50465,153,291,0.44710,0.56219
1998,North Rhine-Westphalia,Upper Secondary Level,Almost impossible,0.33431,92,291,0.28001,0.38860
1998,Hesse,Upper Secondary Level,Difficult,0.60177,54,54,0.46997,0.73356
1998,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Difficult,0.44800,33,66,0.32711,0.56890
1998,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Almost impossible,0.44725,33,66,0.32637,0.56813
