year,hhtyp,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1993,Couple with children,East,,,,,,,,,,,,
1993,Multi-generational household,West,,,,,,,,,,,,
1993,Multi-generational household,East,,,,,,,,,,,,
1993,Other Combinations,West,,,,,,,,,,,,
1993,Other Combinations,East,,,,,,,,,,,,
1994,Single-person household,West,,,,,,,,,,,,
1994,Single-person household,East,,,,,,,,,,,,
1994,Couple without children,West,,,,,,,,,,,,
1994,Couple without children,East,,,,,,,,,,,,
1994,Single parent,West,,,,,,,,,,,,
1994,Single parent,East,,,,,,,,,,,,
1994,Couple with children,West,,,,,,,,,,,,
1994,Couple with children,East,,,,,,,,,,,,
1994,Multi-generational household,West,,,,,,,,,,,,
1994,Multi-generational household,East,,,,,,,,,,,,
1994,Other Combinations,West,,,,,,,,,,,,
1994,Other Combinations,East,,,,,,,,,,,,
1995,Single-person household,West,,,,,,,,,,,,
1995,Single-person household,East,,,,,,,,,,,,
1995,Couple without children,West,,,,,,,,,,,,
1995,Couple without children,East,,,,,,,,,,,,
1995,Single parent,West,,,,,,,,,,,,
1995,Single parent,East,,,,,,,,,,,,
1995,Couple with children,West,,,,,,,,,,,,
1995,Couple with children,East,,,,,,,,,,,,
1995,Multi-generational household,West,,,,,,,,,,,,
1995,Multi-generational household,East,,,,,,,,,,,,
1995,Other Combinations,West,,,,,,,,,,,,
1995,Other Combinations,East,,,,,,,,,,,,
1996,Single-person household,West,,,,,,,,,,,,
1996,Single-person household,East,,,,,,,,,,,,
1996,Couple without children,West,,,,,,,,,,,,
1996,Couple without children,East,,,,,,,,,,,,
1996,Single parent,West,,,,,,,,,,,,
1996,Single parent,East,,,,,,,,,,,,
1996,Couple with children,West,,,,,,,,,,,,
1996,Couple with children,East,,,,,,,,,,,,
1996,Multi-generational household,West,,,,,,,,,,,,
1996,Multi-generational household,East,,,,,,,,,,,,
1996,Other Combinations,West,,,,,,,,,,,,
1996,Other Combinations,East,,,,,,,,,,,,
1997,Single-person household,West,,,,,,,,,,,,
1997,Single-person household,East,,,,,,,,,,,,
1997,Couple without children,West,,,,,,,,,,,,
1997,Couple without children,East,,,,,,,,,,,,
1997,Single parent,West,,,,,,,,,,,,
1997,Single parent,East,,,,,,,,,,,,
1997,Couple with children,West,,,,,,,,,,,,
1997,Couple with children,East,,,,,,,,,,,,
1997,Multi-generational household,West,,,,,,,,,,,,
1997,Multi-generational household,East,,,,,,,,,,,,
1997,Other Combinations,West,,,,,,,,,,,,
1997,Other Combinations,East,,,,,,,,,,,,
1998,Single-person household,West,246.9961744581819,242.60518782718123,251.3871610891826,153.0,205.0,307.0,41.0,538.0,205.0,154.0,205.0,655.0
1998,Single-person household,East,215.30801224328152,209.28067270834038,221.33535177822267,153.0,205.0,256.0,41.0,410.5,205.0,205.0,205.0,221.0
1998,Couple without children,West,419.8654521312372,413.8925974880192,425.8383067744552,307.0,409.0,511.0,51.0,817.0,409.0,409.0,409.0,897.0
1998,Couple without children,East,369.5004532614874,361.93127001044445,377.06963651253034,256.0,358.0,435.0,102.0,703.5,358.0,333.0,409.0,360.0
1998,Single parent,West,357.1912291465775,346.507325690964,367.87513260219094,256.0,308.3755607468799,409.0,51.0,638.5,307.0,256.0,307.0,180.0
1998,Single parent,East,298.34994864336176,285.6607450920339,311.0391521946896,205.0,256.0,409.0,102.0,511.0,256.0,205.0,256.0,64.0
1998,Couple with children,West,544.9998172315816,538.7452497874465,551.2543846757167,409.0,511.0,614.0,102.0,921.5,511.0,511.0,511.0,1189.0
1998,Couple with children,East,461.73248321322205,451.7572875543595,471.7076788720846,307.0,409.0,511.0,102.0,817.0,409.0,307.0,409.0,400.0
1998,Multi-generational household,West,563.8301340533142,531.8306456327878,595.8296224738406,399.0920166594613,530.8828088690253,671.5003168363987,128.0,1023.0,511.0,408.0,512.275,44.0
1998,Multi-generational household,East,,,,,,,,,,,,
1998,Other Combinations,West,413.9195451743172,386.4631474243534,441.375942924281,260.3250533108031,409.0,511.0,77.0,887.0124200337953,409.0,409.0,511.0,55.0
1998,Other Combinations,East,386.7752278718849,362.16829124476624,411.3821644990036,307.0,358.0,511.0,205.0,817.0,358.0,307.0,409.0,33.0
1999,Single-person household,West,,,,,,,,,,,,
1999,Single-person household,East,,,,,,,,,,,,
1999,Couple without children,West,,,,,,,,,,,,
1999,Couple without children,East,,,,,,,,,,,,
1999,Single parent,West,,,,,,,,,,,,
1999,Single parent,East,,,,,,,,,,,,
1999,Couple with children,West,,,,,,,,,,,,
1999,Couple with children,East,,,,,,,,,,,,
1999,Multi-generational household,West,,,,,,,,,,,,
1999,Multi-generational household,East,,,,,,,,,,,,
1999,Other Combinations,West,,,,,,,,,,,,
1999,Other Combinations,East,,,,,,,,,,,,
2000,Single-person household,West,241.89331517422863,238.6624684040022,245.12416194445507,153.0,205.0,307.0,20.0,538.0,205.0,180.0,205.0,1317.0
2000,Single-person household,East,216.54190791454226,211.41972482859597,221.66409100048855,153.0,205.0,256.0,20.0,410.5,205.0,205.0,205.0,385.0
2000,Couple without children,West,419.991305366195,415.16468063749556,424.8179300948944,256.0,409.0,511.0,77.0,893.5,409.0,409.0,435.0,1686.0
2000,Couple without children,East,363.9582754845027,357.0944225088474,370.82212846015796,256.0,307.0,409.0,77.0,638.5,307.0,256.0,307.0,493.0
2000,Single parent,West,367.15863819017335,358.0866356596631,376.2306407206836,256.0,307.0,460.0,41.0,766.0,307.0,255.3749999999999,307.0,262.0
2000,Single parent,East,301.6572830890017,289.59421784081667,313.7203483371867,205.0,307.0,383.0,87.0,650.0,307.0,256.0,358.0,91.0
2000,Couple with children,West,551.7997327543885,546.5732146975087,557.0262508112684,409.0,511.0,642.6736597538387,102.0,993.1841493845968,511.0,511.0,511.0,1973.0
2000,Couple with children,East,464.422360175668,456.0550513094347,472.78966904190133,307.0,409.0,562.0,102.0,944.5,409.0,307.0,409.0,517.0
2000,Multi-generational household,West,537.1259514750585,509.9480683467154,564.3038346034017,332.0,511.0,614.0,115.0,1037.0,511.0,509.7249999999997,613.0,76.0
2000,Multi-generational household,East,,,,,,,,,,,,
2000,Other Combinations,West,385.2528155551988,363.3053598352911,407.20027127510656,256.0,343.4426295450301,511.0,51.0,893.5,358.0,307.0,409.65,66.0
2000,Other Combinations,East,,,,,,,,,,,,
2001,Single-person household,West,245.6088888909576,241.78688024869024,249.43089753322494,153.0,205.0,307.0,0.0,538.0,205.0,180.0,205.0,1036.0
2001,Single-person household,East,224.55553621845436,218.6628142677805,230.44825816912822,153.0,205.0,256.0,26.0,410.5,205.0,205.0,205.0,312.0
2001,Couple without children,West,429.5469107392098,424.29645185055796,434.79736962786166,307.0,409.0,511.0,51.0,817.0,409.0,409.0,409.0,1408.0
2001,Couple without children,East,361.616898325212,354.56348693434376,368.6703097160802,256.0,307.0,409.0,51.0,638.5,307.0,307.0,307.0,467.0
2001,Single parent,West,364.02204643090084,354.0993091306437,373.944783731158,256.0,307.0,459.963692918551,51.0,765.9092322963775,307.0,256.0,307.0,228.0
2001,Single parent,East,306.9170282793128,292.1790605926888,321.65499596593673,205.0,256.0,358.0,128.0,587.5,256.0,205.0,256.65,79.0
2001,Couple with children,West,567.4711729199162,561.9469984273595,572.9953474124728,409.0,511.0,716.0,102.0,1176.5,511.0,511.0,511.0,1699.0
2001,Couple with children,East,458.0515823827803,448.9254768888755,467.17768787668507,307.0,435.0,562.0,72.0,944.5,435.0,359.0,461.0,445.0
2001,Multi-generational household,West,519.3109337313778,483.99094078137233,554.6309266813832,307.0,511.0,614.0,128.0,1074.5,511.0,511.0,613.0,67.0
2001,Multi-generational household,East,,,,,,,,,,,,
2001,Other Combinations,West,436.4649612377627,406.68173306751214,466.2481894080132,250.76178626561176,411.7328483249307,614.0,102.0,818.0,409.0,307.0,511.0,46.0
2001,Other Combinations,East,,,,,,,,,,,,
2002,Single-person household,West,,,,,,,,,,,,
2002,Single-person household,East,,,,,,,,,,,,
2002,Couple without children,West,,,,,,,,,,,,
2002,Couple without children,East,,,,,,,,,,,,
2002,Single parent,West,,,,,,,,,,,,
2002,Single parent,East,,,,,,,,,,,,
2002,Couple with children,West,,,,,,,,,,,,
2002,Couple with children,East,,,,,,,,,,,,
2002,Multi-generational household,West,,,,,,,,,,,,
2002,Multi-generational household,East,,,,,,,,,,,,
2002,Other Combinations,West,,,,,,,,,,,,
2002,Other Combinations,East,,,,,,,,,,,,
2003,Single-person household,West,261.6481854635114,257.56455815485003,265.7318127721728,174.3736463319673,250.0,300.0,0.0,488.439530502049,250.0,250.0,270.125,1098.0
2003,Single-person household,East,236.682549425701,230.34357503901515,243.02152381238687,150.0,200.0,300.0,20.0,525.0,200.0,200.0,200.0,295.0
2003,Couple without children,West,449.69210263271356,444.41463136600464,454.96957389942247,300.0,400.0,500.0,40.0,800.0,400.0,400.0,400.0,1562.0
2003,Couple without children,East,416.2690280330121,408.2456767030262,424.29237936299796,276.64521807405947,400.0,500.0,75.0,835.0321728889107,400.0,400.0,400.0,467.0
2003,Single parent,West,371.51754469271935,360.4656689222203,382.5694204632184,250.0,350.0,400.0,100.0,625.0,350.0,300.0,400.0,264.0
2003,Single parent,East,349.88248293919605,329.03306832676674,370.73189755162537,240.0,300.0,400.0,100.0,640.0,300.0,250.0,320.0,65.0
2003,Couple with children,West,563.24212717666,557.1376615628702,569.3465927904498,400.0,500.0,700.0,80.0,1150.0,500.0,500.0,500.0,1633.0
2003,Couple with children,East,481.8345106300463,471.73728024199323,491.93174101809933,350.0,450.0,600.0,90.0,975.0,450.0,419.4999999999999,500.0,404.0
2003,Multi-generational household,West,647.8506011433604,611.5282756737048,684.1729266130161,400.0,600.0,800.0,300.0,1400.0,600.0,400.0,700.0,47.0
2003,Multi-generational household,East,,,,,,,,,,,,
2003,Other Combinations,West,395.5338208893994,360.9950533798376,430.0725883989612,200.0,376.7618910610717,500.0,120.0,950.0,400.0,397.99999999999955,600.0,43.0
2003,Other Combinations,East,,,,,,,,,,,,
2004,Single-person household,West,,,,,,,,,,,,
2004,Single-person household,East,,,,,,,,,,,,
2004,Couple without children,West,,,,,,,,,,,,
2004,Couple without children,East,,,,,,,,,,,,
2004,Single parent,West,,,,,,,,,,,,
2004,Single parent,East,,,,,,,,,,,,
2004,Couple with children,West,,,,,,,,,,,,
2004,Couple with children,East,,,,,,,,,,,,
2004,Multi-generational household,West,,,,,,,,,,,,
2004,Multi-generational household,East,,,,,,,,,,,,
2004,Other Combinations,West,,,,,,,,,,,,
2004,Other Combinations,East,,,,,,,,,,,,
2005,Single-person household,West,260.7580000576822,256.81650104364627,264.6994990717181,180.0,240.0,300.0,25.0,480.0,240.0,230.0,280.0,1093.0
2005,Single-person household,East,239.14727264571926,232.840312358479,245.4542329329595,150.0,200.0,300.0,40.0,525.0,200.0,160.0,200.0,313.0
2005,Couple without children,West,450.3523554057291,445.08283995416645,455.62187085729175,300.0,400.0,500.0,30.0,800.0,400.0,400.0,400.0,1532.0
2005,Couple without children,East,419.9712864351029,411.00119519165554,428.9413776785503,280.0,400.0,500.0,50.0,830.0,400.0,400.0,400.0,460.0
2005,Single parent,West,363.9124255980297,354.1583032154364,373.666547980623,250.0,300.0,500.0,80.0,875.0,300.0,200.0,300.0,257.0
2005,Single parent,East,317.84703707875286,305.2074812799487,330.48659287755703,241.71933959591615,300.0,400.0,80.0,637.4209906061258,300.0,250.0,350.0,80.0
2005,Couple with children,West,576.9701893003569,570.7504052852431,583.1899733154706,400.0,500.0,700.0,50.0,1150.0,500.0,448.7499999999998,500.0,1494.0
2005,Couple with children,East,478.8878827530988,467.06155339633324,490.7142121098643,300.0,430.5983107163091,600.0,90.0,1050.0,450.0,400.0,500.0,370.0
2005,Multi-generational household,West,486.2674115337654,453.67166071058585,518.8631623569449,354.84212848431366,500.0,600.0,150.0,967.7368072735295,500.0,400.0,650.0,40.0
2005,Multi-generational household,East,,,,,,,,,,,,
2005,Other Combinations,West,399.30131069902563,371.1478002366256,427.4548211614257,296.0988914047109,355.43121608181895,412.1252047141826,122.0594214405034,586.1646746783902,350.0,300.0,400.0,40.0
2005,Other Combinations,East,,,,,,,,,,,,
2006,Single-person household,West,,,,,,,,,,,,
2006,Single-person household,East,,,,,,,,,,,,
2006,Couple without children,West,,,,,,,,,,,,
2006,Couple without children,East,,,,,,,,,,,,
2006,Single parent,West,,,,,,,,,,,,
2006,Single parent,East,,,,,,,,,,,,
2006,Couple with children,West,,,,,,,,,,,,
2006,Couple with children,East,,,,,,,,,,,,
2006,Multi-generational household,West,,,,,,,,,,,,
2006,Multi-generational household,East,,,,,,,,,,,,
2006,Other Combinations,West,,,,,,,,,,,,
2006,Other Combinations,East,,,,,,,,,,,,
2007,Single-person household,West,266.48511589799676,262.4815035494572,270.4887282465363,160.0,250.0,350.0,20.0,635.0,250.0,250.0,300.0,1194.0
2007,Single-person household,East,232.2207379763675,224.7742452697551,239.6672306829799,121.08247472278771,200.0,300.0,40.0,568.3762879158185,200.0,200.0,200.0,333.0
2007,Couple without children,West,466.23632181828265,460.44713041076403,472.02551322580126,300.0,400.0,600.0,50.0,1050.0,400.0,400.0,400.0,1590.0
2007,Couple without children,East,416.4095634909375,408.1941680209597,424.6249589609153,280.0,400.0,500.0,60.0,830.0,400.0,400.0,440.25,511.0
2007,Single parent,West,363.0351134626897,352.7816955585961,373.28853136678333,250.0,350.0,400.0,100.0,625.0,350.0,300.0,400.0,257.0
2007,Single parent,East,315.6356483841916,296.33858211034396,334.93271465803923,200.0,250.9034419190798,400.0,60.0,700.0,250.0,150.0,270.75,81.0
2007,Couple with children,West,592.0872231088566,584.9092755860629,599.2651706316503,400.0,500.0,750.0,100.0,1275.0,500.0,459.75,500.0,1429.0
2007,Couple with children,East,465.96699262193636,455.9229833532386,476.01100189063413,338.5260606578429,400.0,600.0,100.0,992.2109090132357,400.0,300.0,400.0,386.0
2007,Multi-generational household,West,,,,,,,,,,,,
2007,Multi-generational household,East,,,,,,,,,,,,
2007,Other Combinations,West,361.8707401633444,335.158227816428,388.5832525102608,250.0,356.2007887308723,400.0,50.0,625.0,350.0,300.0,450.0,35.0
2007,Other Combinations,East,,,,,,,,,,,,
2008,Single-person household,West,,,,,,,,,,,,
2008,Single-person household,East,,,,,,,,,,,,
2008,Couple without children,West,,,,,,,,,,,,
2008,Couple without children,East,,,,,,,,,,,,
2008,Single parent,West,,,,,,,,,,,,
2008,Single parent,East,,,,,,,,,,,,
2008,Couple with children,West,,,,,,,,,,,,
2008,Couple with children,East,,,,,,,,,,,,
2008,Multi-generational household,West,,,,,,,,,,,,
2008,Multi-generational household,East,,,,,,,,,,,,
2008,Other Combinations,West,,,,,,,,,,,,
2008,Other Combinations,East,,,,,,,,,,,,
2009,Single-person household,West,,,,,,,,,,,,
2009,Single-person household,East,,,,,,,,,,,,
2009,Couple without children,West,,,,,,,,,,,,
2009,Couple without children,East,,,,,,,,,,,,
2009,Single parent,West,,,,,,,,,,,,
2009,Single parent,East,,,,,,,,,,,,
2009,Couple with children,West,,,,,,,,,,,,
2009,Couple with children,East,,,,,,,,,,,,
2009,Multi-generational household,West,,,,,,,,,,,,
2009,Multi-generational household,East,,,,,,,,,,,,
2009,Other Combinations,West,,,,,,,,,,,,
2009,Other Combinations,East,,,,,,,,,,,,
2010,Single-person household,West,,,,,,,,,,,,
2010,Single-person household,East,,,,,,,,,,,,
2010,Couple without children,West,,,,,,,,,,,,
2010,Couple without children,East,,,,,,,,,,,,
2010,Single parent,West,,,,,,,,,,,,
2010,Single parent,East,,,,,,,,,,,,
2010,Couple with children,West,,,,,,,,,,,,
2010,Couple with children,East,,,,,,,,,,,,
2010,Multi-generational household,West,,,,,,,,,,,,
2010,Multi-generational household,East,,,,,,,,,,,,
2010,Other Combinations,West,,,,,,,,,,,,
2010,Other Combinations,East,,,,,,,,,,,,
2011,Single-person household,West,262.79126889925084,259.15465871377296,266.4278790847287,200.0,242.3565736749053,300.0,50.0,450.0,240.0,230.0,280.0,1338.0
2011,Single-person household,East,230.1878207896566,224.80179368036377,235.57384789894942,150.0,200.0,300.0,25.0,525.0,200.0,200.0,200.0,404.0
2011,Couple without children,West,464.6874071633613,459.6215581118692,469.75325621485337,300.0,400.0,600.0,75.0,1050.0,400.0,350.0,400.0,1861.0
2011,Couple without children,East,429.9403180958609,422.63040231885475,437.25023387286706,300.0,400.0,500.0,80.0,800.0,400.0,400.0,400.0,604.0
2011,Single parent,West,384.8015983214201,375.6846274729428,393.9185691698974,300.0,380.88696984542275,450.0,75.0,675.0,375.0,350.0,400.0,284.0
2011,Single parent,East,356.25964225178984,339.6794185853503,372.8398659182294,242.18734269064197,350.0,487.10590687419096,50.0,854.4837531495144,350.0,300.0,400.0,82.0
2011,Couple with children,West,591.0128427885925,584.0731743389754,597.9525112382096,400.0,540.9046840033006,700.0,100.0,1150.0,525.0,450.0,550.0,1333.0
2011,Couple with children,East,474.1118532425386,464.4895686056255,483.7341378794517,350.0,450.0,600.0,100.0,975.0,450.0,400.0,500.0,329.0
2011,Multi-generational household,West,504.9911061068998,464.1222972739966,545.8599149398029,334.5552531148113,400.0,746.1737045915548,140.0,1000.0,400.0,50.0,450.0,30.0
2011,Multi-generational household,East,,,,,,,,,,,,
2011,Other Combinations,West,353.21831755475097,327.81497509255354,378.6216600169484,204.7955380817409,347.3645316761872,400.0,150.0,692.8066928773887,350.0,300.0,480.0,38.0
2011,Other Combinations,East,,,,,,,,,,,,
2012,Single-person household,West,,,,,,,,,,,,
2012,Single-person household,East,,,,,,,,,,,,
2012,Couple without children,West,,,,,,,,,,,,
2012,Couple without children,East,,,,,,,,,,,,
2012,Single parent,West,,,,,,,,,,,,
2012,Single parent,East,,,,,,,,,,,,
2012,Couple with children,West,,,,,,,,,,,,
2012,Couple with children,East,,,,,,,,,,,,
2012,Multi-generational household,West,,,,,,,,,,,,
2012,Multi-generational household,East,,,,,,,,,,,,
2012,Other Combinations,West,,,,,,,,,,,,
2012,Other Combinations,East,,,,,,,,,,,,
2013,Single-person household,West,268.77368416893535,265.2799296143595,272.2674387235112,200.0,250.0,350.0,0.0,575.0,250.0,250.0,260.0,1356.0
2013,Single-person household,East,242.2367539296449,235.77828737589132,248.69522048339846,150.0,200.0,300.0,25.0,525.0,200.0,150.0,200.0,353.0
2013,Couple without children,West,471.41502238897135,465.87523533601296,476.95480944192974,300.0,400.0,560.071249182596,1.0,950.1781229564901,400.0,350.0,400.0,1904.0
2013,Couple without children,East,433.1582498232787,425.35947777338293,440.9570218731745,300.0,400.0,500.0,100.0,800.0,400.0,400.0,400.0,539.0
2013,Single parent,West,383.2670213005561,373.3566520166436,393.17739058446864,202.49731101082654,350.0,500.0,60.0,946.2540334837602,350.0,300.0,400.0,332.0
2013,Single parent,East,349.5903320878486,330.27108567423846,368.9095785014587,242.45757883826764,300.0,400.0,70.0,636.3136317425985,300.0,200.0,350.0,70.0
2013,Couple with children,West,575.9226694383788,569.6614481998122,582.1838906769453,400.0,500.0,650.0,100.0,1025.0,500.0,500.0,500.0,1638.0
2013,Couple with children,East,474.79614721390243,461.24771111221133,488.3445833155935,400.0,406.2297332546201,520.0,220.0,700.0,400.0,349.24999999999983,400.0,296.0
2013,Multi-generational household,West,587.6931749003295,536.8161033154444,638.5702464852146,281.26198560433323,559.1613107154143,983.7064594928411,120.0,1500.0,600.0,400.0,950.0,38.0
2013,Multi-generational household,East,,,,,,,,,,,,
2013,Other Combinations,West,407.613010114687,391.80900067989586,423.4170195494781,250.0,400.0,500.0,70.0,875.0,400.0,350.0,420.0,134.0
2013,Other Combinations,East,,,,,,,,,,,,
2014,Single-person household,West,,,,,,,,,,,,
2014,Single-person household,East,,,,,,,,,,,,
2014,Couple without children,West,,,,,,,,,,,,
2014,Couple without children,East,,,,,,,,,,,,
2014,Single parent,West,,,,,,,,,,,,
2014,Single parent,East,,,,,,,,,,,,
2014,Couple with children,West,,,,,,,,,,,,
2014,Couple with children,East,,,,,,,,,,,,
2014,Multi-generational household,West,,,,,,,,,,,,
2014,Multi-generational household,East,,,,,,,,,,,,
2014,Other Combinations,West,,,,,,,,,,,,
2014,Other Combinations,East,,,,,,,,,,,,
2015,Single-person household,West,,,,,,,,,,,,
2015,Single-person household,East,,,,,,,,,,,,
2015,Couple without children,West,,,,,,,,,,,,
2015,Couple without children,East,,,,,,,,,,,,
2015,Single parent,West,,,,,,,,,,,,
2015,Single parent,East,,,,,,,,,,,,
2015,Couple with children,West,,,,,,,,,,,,
2015,Couple with children,East,,,,,,,,,,,,
2015,Multi-generational household,West,,,,,,,,,,,,
2015,Multi-generational household,East,,,,,,,,,,,,
2015,Other Combinations,West,,,,,,,,,,,,
2015,Other Combinations,East,,,,,,,,,,,,
2016,Single-person household,West,287.6208478466683,282.7941561651533,292.4475395281833,200.0,250.0,350.0,40.0,575.0,250.0,230.0,250.0,1036.0
2016,Single-person household,East,267.33302907493373,260.13742328763044,274.528634862237,200.0,250.0,300.0,50.0,450.0,250.0,220.0,251.24999999999997,321.0
2016,Couple without children,West,470.7146510144987,465.0547291458447,476.3745728831527,337.0138899846512,400.0,600.0,75.0,994.4791650230231,400.0,350.0,400.0,1451.0
2016,Couple without children,East,457.2608410984326,446.8432236769601,467.67845851990506,300.0,400.0,500.0,70.0,800.0,400.0,350.0,400.0,427.0
2016,Single parent,West,384.1836602828571,375.34054858720344,393.02677197851074,250.0,380.0,500.0,60.0,875.0,380.0,360.0,440.5,403.0
2016,Single parent,East,348.33079711250025,333.0406015887771,363.6209926362234,250.0,350.0,450.0,50.0,750.0,350.0,300.0,400.0,86.0
2016,Couple with children,West,572.7370069311016,566.6619103428461,578.8121035193572,400.0,500.0,700.0,100.0,1150.0,500.0,500.0,500.0,1596.0
2016,Couple with children,East,478.47194974911866,465.9815865676347,490.96231293060265,325.0339094730549,450.0,600.0,45.0,1012.4491357904176,450.0,400.0,500.0,220.0
2016,Multi-generational household,West,,,,,,,,,,,,
2016,Multi-generational household,East,,,,,,,,,,,,
2016,Other Combinations,West,472.5321350222075,443.7606241976902,501.3036458467248,300.0,400.0,600.0,90.0,1050.0,400.0,200.0,450.0,62.0
2016,Other Combinations,East,,,,,,,,,,,,
2017,Single-person household,West,,,,,,,,,,,,
2017,Single-person household,East,,,,,,,,,,,,
2017,Couple without children,West,,,,,,,,,,,,
2017,Couple without children,East,,,,,,,,,,,,
2017,Single parent,West,,,,,,,,,,,,
2017,Single parent,East,,,,,,,,,,,,
2017,Couple with children,West,,,,,,,,,,,,
2017,Couple with children,East,,,,,,,,,,,,
2017,Multi-generational household,West,,,,,,,,,,,,
2017,Multi-generational household,East,,,,,,,,,,,,
2017,Other Combinations,West,,,,,,,,,,,,
2017,Other Combinations,East,,,,,,,,,,,,
2018,Single-person household,West,293.0298798724123,288.90780140417587,297.1519583406488,200.0,250.0,400.0,20.0,700.0,250.0,200.0,250.0,1449.0
2018,Single-person household,East,280.622760141857,272.4045377609836,288.84098252273037,200.0,250.0,400.0,20.0,700.0,250.0,250.0,300.0,377.0
2018,Couple without children,West,495.2246882976136,489.9116088680863,500.53776772714093,350.0,480.0,600.0,100.0,975.0,480.0,460.0,510.0,1659.0
2018,Couple without children,East,455.2329431860021,445.97948540623224,464.48640096577196,300.0,400.0,500.0,100.0,800.0,400.0,400.0,400.0,421.0
2018,Single parent,West,394.84768059372055,386.4747115520056,403.2206496354355,250.0,400.0,500.0,49.0,875.0,400.0,400.0,450.0,494.0
2018,Single parent,East,383.22941740761974,365.954307981498,400.50452683374147,300.0,400.0,450.0,100.0,675.0,400.0,400.0,500.0,87.0
2018,Couple with children,West,571.3827370884658,566.1741727597885,576.5913014171431,400.0,500.0,700.0,100.0,1150.0,500.0,450.0,500.0,2093.0
2018,Couple with children,East,533.836218161913,519.8845192789636,547.7879170448625,400.0,450.0,600.0,100.0,900.0,450.0,400.0,500.0,306.0
