year,age_gr,pgisced97,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,30-45 y.,Upper Secondary Level,No,0.97132,3401,3457,0.96576,0.97688
2015,30-45 y.,Post-secondary Non-tertiary Level,No,0.98232,987,987,0.97410,0.99055
2015,30-45 y.,First Stage of Tertiary Education,No,0.99764,387,387,0.99280,1.00248
2015,30-45 y.,Second Stage of Tertiary Education,Yes,0.02804,47,2352,0.02136,0.03471
2015,30-45 y.,Second Stage of Tertiary Education,No,0.97196,2305,2352,0.96529,0.97864
2015,46-65 y.,Primary Level,No,0.98435,147,147,0.96421,1.00448
2015,46-65 y.,Lower Secondary Level,No,0.99399,660,660,0.98808,0.99989
2015,46-65 y.,Upper Secondary Level,No,0.99564,4391,4391,0.99370,0.99759
2015,46-65 y.,Post-secondary Non-tertiary Level,No,0.99101,730,730,0.98415,0.99786
2015,46-65 y.,First Stage of Tertiary Education,No,0.99281,738,738,0.98671,0.99891
2015,46-65 y.,Second Stage of Tertiary Education,No,0.99308,2365,2365,0.98974,0.99642
2015,66 and older,Upper Secondary Level,No,0.99819,2525,2525,0.99653,0.99985
2015,66 and older,Post-secondary Non-tertiary Level,No,0.97842,134,134,0.95373,1.00312
2016,17-29 y.,Pre-primary Level,No,0.49341,353,353,0.44118,0.54564
2016,17-29 y.,Primary Level,No,0.96697,422,422,0.94990,0.98404
2016,17-29 y.,Lower Secondary Level,No,0.89273,972,972,0.87327,0.91220
2016,17-29 y.,Upper Secondary Level,Yes,0.02670,37,1663,0.01895,0.03445
2016,17-29 y.,Upper Secondary Level,No,0.97098,1626,1663,0.96291,0.97905
2016,17-29 y.,Post-secondary Non-tertiary Level,No,0.92811,269,269,0.89718,0.95903
2016,17-29 y.,First Stage of Tertiary Education,No,0.94002,49,49,0.87284,1.00719
2016,17-29 y.,Second Stage of Tertiary Education,No,0.98988,568,568,0.98164,0.99812
2016,30-45 y.,Primary Level,No,0.99883,680,680,0.99626,1.00140
2016,30-45 y.,Lower Secondary Level,No,0.97879,889,889,0.96932,0.98827
2016,30-45 y.,Upper Secondary Level,Yes,0.02141,53,3227,0.01642,0.02641
2016,30-45 y.,Upper Secondary Level,No,0.97849,3174,3227,0.97348,0.98349
2016,30-45 y.,Post-secondary Non-tertiary Level,No,0.98732,933,933,0.98014,0.99450
2016,30-45 y.,First Stage of Tertiary Education,No,0.96330,343,343,0.94337,0.98323
2016,30-45 y.,Second Stage of Tertiary Education,Yes,0.02116,59,2326,0.01531,0.02701
2016,30-45 y.,Second Stage of Tertiary Education,No,0.97884,2267,2326,0.97299,0.98469
2016,46-65 y.,Lower Secondary Level,No,0.99996,641,641,0.99945,1.00046
2016,46-65 y.,Upper Secondary Level,No,0.99623,4206,4206,0.99437,0.99808
2016,46-65 y.,Post-secondary Non-tertiary Level,No,0.99269,720,720,0.98646,0.99892
2016,46-65 y.,First Stage of Tertiary Education,No,0.99586,681,681,0.99104,1.00069
2016,46-65 y.,Second Stage of Tertiary Education,Yes,0.00921,32,2393,0.00538,0.01304
2016,46-65 y.,Second Stage of Tertiary Education,No,0.99079,2361,2393,0.98696,0.99462
2016,66 and older,Primary Level,No,0.95336,50,50,0.89431,1.01240
2016,66 and older,Upper Secondary Level,No,0.99979,2405,2405,0.99922,1.00037
2016,66 and older,First Stage of Tertiary Education,No,0.99573,322,322,0.98859,1.00286
2016,66 and older,Second Stage of Tertiary Education,No,0.99916,1192,1192,0.99751,1.00081
2017,17-29 y.,Pre-primary Level,No,0.54520,418,418,0.49741,0.59300
2017,17-29 y.,Primary Level,No,0.96711,580,580,0.95259,0.98164
2017,17-29 y.,Lower Secondary Level,No,0.89797,1104,1104,0.88011,0.91584
2017,17-29 y.,Upper Secondary Level,Yes,0.02125,39,2055,0.01501,0.02749
2017,17-29 y.,Upper Secondary Level,No,0.97622,2016,2055,0.96963,0.98281
2017,17-29 y.,Post-secondary Non-tertiary Level,No,0.96376,327,327,0.94348,0.98405
2017,17-29 y.,First Stage of Tertiary Education,No,0.99444,60,60,0.97547,1.01341
2017,17-29 y.,Second Stage of Tertiary Education,No,0.97492,689,689,0.96324,0.98661
2017,30-45 y.,Primary Level,No,0.98831,841,841,0.98104,0.99558
2017,30-45 y.,Lower Secondary Level,No,0.98492,1009,1009,0.97740,0.99244
2017,30-45 y.,Upper Secondary Level,Yes,0.01490,56,3233,0.01072,0.01908
2017,30-45 y.,Upper Secondary Level,No,0.98510,3177,3233,0.98092,0.98928
2017,30-45 y.,Post-secondary Non-tertiary Level,No,0.97840,940,940,0.96910,0.98769
2017,30-45 y.,First Stage of Tertiary Education,No,0.99655,345,345,0.99035,1.00275
2017,30-45 y.,Second Stage of Tertiary Education,Yes,0.02924,63,2519,0.02266,0.03582
2017,30-45 y.,Second Stage of Tertiary Education,No,0.97075,2456,2519,0.96417,0.97733
2017,46-65 y.,Primary Level,No,0.99169,367,367,0.98239,1.00099
2017,46-65 y.,Lower Secondary Level,No,0.99294,786,786,0.98709,0.99880
2017,46-65 y.,Upper Secondary Level,No,0.99592,4871,4871,0.99413,0.99771
2017,46-65 y.,Post-secondary Non-tertiary Level,No,0.99024,863,863,0.98368,0.99680
2017,46-65 y.,First Stage of Tertiary Education,No,0.98904,782,782,0.98174,0.99634
2017,46-65 y.,Second Stage of Tertiary Education,Yes,0.00963,42,2762,0.00599,0.01327
2017,46-65 y.,Second Stage of Tertiary Education,No,0.99037,2720,2762,0.98672,0.99401
2017,66 and older,Upper Secondary Level,No,0.99963,2548,2548,0.99888,1.00038
2018,17-29 y.,Pre-primary Level,No,0.54133,353,353,0.48927,0.59338
2018,17-29 y.,Primary Level,No,0.93289,526,526,0.91148,0.95429
2018,17-29 y.,Lower Secondary Level,No,0.90488,1095,1095,0.88749,0.92227
2018,17-29 y.,Upper Secondary Level,No,0.98203,1897,1897,0.97605,0.98801
2018,17-29 y.,Post-secondary Non-tertiary Level,No,0.96566,319,319,0.94564,0.98567
2018,17-29 y.,Second Stage of Tertiary Education,No,0.97832,636,636,0.96699,0.98965
2018,30-45 y.,Primary Level,No,0.97786,771,771,0.96746,0.98825
2018,30-45 y.,Lower Secondary Level,No,0.96438,908,908,0.95232,0.97644
2018,30-45 y.,Upper Secondary Level,Yes,0.01982,58,2941,0.01478,0.02486
2018,30-45 y.,Upper Secondary Level,No,0.98018,2883,2941,0.97514,0.98522
2018,30-45 y.,Post-secondary Non-tertiary Level,No,0.98024,858,858,0.97093,0.98956
2018,30-45 y.,First Stage of Tertiary Education,No,0.94959,310,310,0.92519,0.97398
2018,30-45 y.,Second Stage of Tertiary Education,Yes,0.01936,48,2376,0.01382,0.02490
2018,30-45 y.,Second Stage of Tertiary Education,No,0.98056,2328,2376,0.97500,0.98611
2018,46-65 y.,Primary Level,No,0.99882,377,377,0.99534,1.00229
2018,46-65 y.,Lower Secondary Level,No,0.99098,772,772,0.98431,0.99765
2018,46-65 y.,Upper Secondary Level,No,0.99768,4702,4702,0.99631,0.99906
2018,46-65 y.,Post-secondary Non-tertiary Level,No,0.99100,848,848,0.98464,0.99736
2018,46-65 y.,First Stage of Tertiary Education,No,0.99838,727,727,0.99545,1.00131
2018,46-65 y.,Second Stage of Tertiary Education,Yes,0.00688,32,2661,0.00374,0.01002
2018,46-65 y.,Second Stage of Tertiary Education,No,0.99312,2629,2661,0.98998,0.99626
2018,66 and older,First Stage of Tertiary Education,No,0.99438,346,346,0.98650,1.00227
2018,66 and older,Second Stage of Tertiary Education,No,0.99852,1285,1285,0.99642,1.00062
2019,17-29 y.,Pre-primary Level,No,0.59754,332,332,0.54471,0.65037
2019,17-29 y.,Primary Level,No,0.88803,423,423,0.85794,0.91812
2019,17-29 y.,Lower Secondary Level,No,0.86658,954,954,0.84499,0.88817
2019,17-29 y.,Upper Secondary Level,No,0.98572,1694,1694,0.98006,0.99137
2019,17-29 y.,Post-secondary Non-tertiary Level,No,0.96271,291,291,0.94090,0.98452
2019,17-29 y.,First Stage of Tertiary Education,No,0.95665,60,60,0.90469,1.00861
2019,17-29 y.,Second Stage of Tertiary Education,No,0.97889,566,566,0.96704,0.99075
2019,30-45 y.,Primary Level,No,0.97163,779,779,0.95996,0.98329
2019,30-45 y.,Lower Secondary Level,No,0.98460,813,813,0.97613,0.99307
2019,30-45 y.,Upper Secondary Level,Yes,0.01828,49,2630,0.01316,0.02340
2019,30-45 y.,Upper Secondary Level,No,0.98172,2581,2630,0.97660,0.98684
2019,30-45 y.,Post-secondary Non-tertiary Level,No,0.98476,818,818,0.97636,0.99316
2019,30-45 y.,First Stage of Tertiary Education,No,0.95787,348,348,0.93673,0.97900
2019,30-45 y.,Second Stage of Tertiary Education,Yes,0.01198,40,2337,0.00757,0.01640
2019,30-45 y.,Second Stage of Tertiary Education,No,0.98802,2297,2337,0.98360,0.99243
2019,46-65 y.,Primary Level,No,0.99810,386,386,0.99374,1.00245
2019,46-65 y.,Lower Secondary Level,No,0.99140,737,737,0.98473,0.99807
2019,46-65 y.,Upper Secondary Level,No,0.99574,4727,4727,0.99388,0.99760
2019,46-65 y.,Post-secondary Non-tertiary Level,No,0.99821,948,948,0.99552,1.00090
2019,46-65 y.,First Stage of Tertiary Education,No,0.98652,866,866,0.97883,0.99420
2019,46-65 y.,Second Stage of Tertiary Education,Yes,0.00947,31,3213,0.00612,0.01282
2019,46-65 y.,Second Stage of Tertiary Education,No,0.99052,3182,3213,0.98717,0.99387
2019,66 and older,Lower Secondary Level,No,0.99996,549,549,0.99941,1.00050
2019,66 and older,Upper Secondary Level,No,0.99934,2570,2570,0.99834,1.00033
2019,66 and older,Post-secondary Non-tertiary Level,No,0.99820,164,164,0.99168,1.00471
2019,66 and older,First Stage of Tertiary Education,No,0.99688,380,380,0.99127,1.00249
2019,66 and older,Second Stage of Tertiary Education,No,0.99693,1449,1449,0.99408,0.99978
2020,17-29 y.,Pre-primary Level,No,0.47834,353,353,0.42615,0.53052
2020,17-29 y.,Primary Level,No,0.99231,499,499,0.98463,0.99998
2020,17-29 y.,Lower Secondary Level,No,0.90157,1034,1034,0.88341,0.91974
2020,17-29 y.,Upper Secondary Level,No,0.97834,1830,1830,0.97166,0.98501
2020,17-29 y.,Post-secondary Non-tertiary Level,No,0.93639,339,339,0.91037,0.96241
2020,17-29 y.,First Stage of Tertiary Education,No,0.94266,55,55,0.88065,1.00467
2020,17-29 y.,Second Stage of Tertiary Education,No,0.97273,773,773,0.96124,0.98422
2020,30-45 y.,Primary Level,No,0.99827,876,876,0.99552,1.00102
2020,30-45 y.,Lower Secondary Level,No,0.97841,920,920,0.96902,0.98781
2020,30-45 y.,Upper Secondary Level,Yes,0.00983,39,2636,0.00607,0.01360
2020,30-45 y.,Upper Secondary Level,No,0.99011,2597,2636,0.98633,0.99389
2020,30-45 y.,Post-secondary Non-tertiary Level,No,0.98501,844,844,0.97680,0.99321
2020,30-45 y.,First Stage of Tertiary Education,No,0.99687,289,289,0.99042,1.00332
2020,30-45 y.,Second Stage of Tertiary Education,Yes,0.01608,53,2525,0.01118,0.02099
2020,30-45 y.,Second Stage of Tertiary Education,No,0.98383,2472,2525,0.97891,0.98875
2020,46-65 y.,Primary Level,No,0.99994,376,376,0.99916,1.00072
2020,46-65 y.,Lower Secondary Level,No,0.99629,727,727,0.99187,1.00071
2020,46-65 y.,Upper Secondary Level,No,0.99561,4399,4399,0.99366,0.99757
2020,46-65 y.,Post-secondary Non-tertiary Level,No,0.99243,970,970,0.98697,0.99788
2020,46-65 y.,First Stage of Tertiary Education,No,0.99955,764,764,0.99804,1.00106
2020,46-65 y.,Second Stage of Tertiary Education,No,0.99078,3034,3034,0.98738,0.99418
2020,66 and older,Upper Secondary Level,No,0.99929,2438,2438,0.99822,1.00035
2020,66 and older,First Stage of Tertiary Education,No,0.99416,354,354,0.98621,1.00211
2020,66 and older,Second Stage of Tertiary Education,No,0.99613,1383,1383,0.99285,0.99940
2021,17-29 y.,Pre-primary Level,No,0.51071,194,194,0.44019,0.58124
2021,17-29 y.,Primary Level,No,0.96171,239,239,0.93732,0.98609
2021,17-29 y.,Lower Secondary Level,No,0.89428,559,559,0.86876,0.91979
2021,17-29 y.,Upper Secondary Level,No,0.98617,1191,1191,0.97954,0.99281
2021,17-29 y.,Post-secondary Non-tertiary Level,No,0.96042,229,229,0.93512,0.98573
2021,17-29 y.,First Stage of Tertiary Education,No,0.99218,35,35,0.96256,1.02179
2021,17-29 y.,Second Stage of Tertiary Education,No,0.97559,516,516,0.96227,0.98892
2021,30-45 y.,Primary Level,No,0.99586,497,497,0.99021,1.00151
2021,30-45 y.,Lower Secondary Level,No,0.96243,503,503,0.94579,0.97906
2021,30-45 y.,Upper Secondary Level,Yes,0.01880,34,1554,0.01204,0.02555
2021,30-45 y.,Upper Secondary Level,No,0.97939,1520,1554,0.97232,0.98645
2021,30-45 y.,Post-secondary Non-tertiary Level,No,0.98189,535,535,0.97058,0.99320
2021,30-45 y.,Second Stage of Tertiary Education,Yes,0.01917,45,1762,0.01276,0.02557
2021,30-45 y.,Second Stage of Tertiary Education,No,0.98063,1717,1762,0.97420,0.98707
2021,46-65 y.,Primary Level,No,0.99842,250,250,0.99348,1.00335
2021,46-65 y.,Lower Secondary Level,No,0.99139,428,428,0.98263,1.00015
2021,46-65 y.,Upper Secondary Level,No,0.99481,2886,2886,0.99219,0.99743
2021,46-65 y.,Post-secondary Non-tertiary Level,No,0.99397,688,688,0.98818,0.99976
2021,46-65 y.,First Stage of Tertiary Education,No,0.99715,509,509,0.99252,1.00179
2021,46-65 y.,Second Stage of Tertiary Education,No,0.99392,2277,2277,0.99072,0.99711
2021,66 and older,Lower Secondary Level,No,0.98443,308,308,0.97058,0.99828
2021,66 and older,Upper Secondary Level,No,0.99215,1710,1710,0.98797,0.99633
2021,66 and older,First Stage of Tertiary Education,No,0.94711,254,254,0.91954,0.97469
2021,66 and older,Second Stage of Tertiary Education,No,0.99634,1103,1103,0.99278,0.99991
