year,age_gr,quintil_oecd,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,2nd Quintile,No,0.88553,851,851,0.86413,0.90694
2016,17-29 y.,3rd Quintile,No,0.90335,686,686,0.88122,0.92548
2016,17-29 y.,4th Quintile,No,0.90310,565,565,0.87868,0.92751
2016,17-29 y.,5th Quintile,No,0.90460,415,415,0.87630,0.93290
2016,30-45 y.,1st Quintile,Yes,0.02919,52,1628,0.02101,0.03737
2016,30-45 y.,1st Quintile,No,0.97066,1576,1628,0.96246,0.97886
2016,30-45 y.,2nd Quintile,No,0.98352,1584,1584,0.97725,0.98979
2016,30-45 y.,3rd Quintile,No,0.97883,1374,1374,0.97121,0.98644
2016,30-45 y.,4th Quintile,No,0.97417,1327,1327,0.96564,0.98271
2016,30-45 y.,5th Quintile,No,0.98453,1097,1097,0.97722,0.99184
2016,46-65 y.,1st Quintile,No,0.99202,1399,1399,0.98736,0.99668
2016,46-65 y.,2nd Quintile,No,0.99679,1477,1477,0.99391,0.99968
2016,46-65 y.,3rd Quintile,No,0.99505,1524,1524,0.99152,0.99857
2016,46-65 y.,4th Quintile,No,0.99492,1824,1824,0.99166,0.99818
2016,46-65 y.,5th Quintile,No,0.99586,2323,2323,0.99325,0.99847
2016,66 and older,2nd Quintile,No,0.99934,1203,1203,0.99788,1.00079
2016,66 and older,4th Quintile,No,0.99847,831,831,0.99580,1.00113
2016,66 and older,5th Quintile,No,0.99611,952,952,0.99216,1.00007
2017,17-29 y.,1st Quintile,Yes,0.01657,37,1687,0.01047,0.02266
2017,17-29 y.,1st Quintile,No,0.91406,1650,1687,0.90068,0.92744
2017,17-29 y.,2nd Quintile,No,0.90754,803,803,0.88749,0.92759
2017,17-29 y.,3rd Quintile,No,0.90323,667,667,0.88077,0.92568
2017,17-29 y.,4th Quintile,No,0.92543,583,583,0.90409,0.94678
2017,17-29 y.,5th Quintile,No,0.89660,400,400,0.86673,0.92648
2017,30-45 y.,1st Quintile,Yes,0.02476,57,2261,0.01835,0.03117
2017,30-45 y.,1st Quintile,No,0.97522,2204,2261,0.96881,0.98163
2017,30-45 y.,2nd Quintile,No,0.99013,1529,1529,0.98518,0.99509
2017,30-45 y.,3rd Quintile,No,0.98987,1227,1227,0.98427,0.99548
2017,30-45 y.,4th Quintile,No,0.97622,1127,1127,0.96732,0.98512
2017,30-45 y.,5th Quintile,No,0.97874,971,971,0.96966,0.98781
2017,46-65 y.,1st Quintile,No,0.99253,1530,1530,0.98822,0.99685
2017,46-65 y.,2nd Quintile,No,0.99301,1418,1418,0.98867,0.99735
2017,46-65 y.,3rd Quintile,No,0.99126,1472,1472,0.98651,0.99602
2017,46-65 y.,4th Quintile,No,0.99688,1766,1766,0.99428,0.99948
2017,46-65 y.,5th Quintile,No,0.99557,2224,2224,0.99280,0.99833
2017,66 and older,3rd Quintile,No,0.99940,1028,1028,0.99790,1.00090
2017,66 and older,4th Quintile,No,0.99964,824,824,0.99833,1.00094
2018,17-29 y.,1st Quintile,No,0.92805,2020,2020,0.91678,0.93933
2018,17-29 y.,2nd Quintile,No,0.90294,977,977,0.88437,0.92151
2018,17-29 y.,3rd Quintile,No,0.92508,767,767,0.90644,0.94373
2018,17-29 y.,4th Quintile,No,0.94175,611,611,0.92316,0.96034
2018,17-29 y.,5th Quintile,No,0.90475,465,465,0.87804,0.93146
2018,30-45 y.,1st Quintile,Yes,0.03197,66,2532,0.02511,0.03882
2018,30-45 y.,1st Quintile,No,0.96803,2466,2532,0.96118,0.97489
2018,30-45 y.,2nd Quintile,No,0.97952,1574,1574,0.97252,0.98652
2018,30-45 y.,3rd Quintile,No,0.97818,1315,1315,0.97028,0.98608
2018,30-45 y.,4th Quintile,No,0.98883,1196,1196,0.98288,0.99479
2018,30-45 y.,5th Quintile,No,0.97554,1056,1056,0.96622,0.98486
2018,46-65 y.,1st Quintile,No,0.99576,1795,1795,0.99275,0.99877
2018,46-65 y.,2nd Quintile,No,0.99648,1661,1661,0.99363,0.99933
2018,46-65 y.,3rd Quintile,No,0.99539,1669,1669,0.99214,0.99864
2018,46-65 y.,4th Quintile,No,0.99560,1950,1950,0.99267,0.99854
2018,46-65 y.,5th Quintile,No,0.99579,2560,2560,0.99328,0.99830
2018,66 and older,3rd Quintile,No,0.99912,1028,1028,0.99731,1.00093
2018,66 and older,4th Quintile,No,0.99857,848,848,0.99602,1.00111
2018,66 and older,5th Quintile,No,0.99859,968,968,0.99623,1.00096
2019,17-29 y.,1st Quintile,No,0.92922,1846,1846,0.91751,0.94092
2019,17-29 y.,2nd Quintile,No,0.88953,891,891,0.86893,0.91012
2019,17-29 y.,3rd Quintile,No,0.90028,699,699,0.87806,0.92251
2019,17-29 y.,4th Quintile,No,0.90490,548,548,0.88032,0.92949
2019,17-29 y.,5th Quintile,No,0.91307,419,419,0.88606,0.94008
2019,30-45 y.,1st Quintile,Yes,0.02680,44,2596,0.02059,0.03301
2019,30-45 y.,1st Quintile,No,0.97320,2552,2596,0.96699,0.97941
2019,30-45 y.,2nd Quintile,No,0.99483,1307,1307,0.99094,0.99872
2019,30-45 y.,3rd Quintile,No,0.97235,1213,1213,0.96312,0.98158
2019,30-45 y.,4th Quintile,No,0.99106,1023,1023,0.98529,0.99683
2019,30-45 y.,5th Quintile,No,0.98635,921,921,0.97886,0.99385
2019,46-65 y.,1st Quintile,No,0.99327,1787,1787,0.98947,0.99706
2019,46-65 y.,2nd Quintile,No,0.99336,1481,1481,0.98922,0.99749
2019,46-65 y.,3rd Quintile,No,0.99742,1607,1607,0.99494,0.99990
2019,46-65 y.,4th Quintile,No,0.98978,1815,1815,0.98516,0.99441
2019,46-65 y.,5th Quintile,No,0.99412,2467,2467,0.99111,0.99714
2019,66 and older,1st Quintile,No,0.99995,758,758,0.99947,1.00044
2019,66 and older,4th Quintile,No,0.99692,841,841,0.99317,1.00067
2019,66 and older,5th Quintile,No,0.99627,943,943,0.99238,1.00016
2020,17-29 y.,1st Quintile,No,0.93421,1688,1688,0.92238,0.94604
2020,17-29 y.,2nd Quintile,No,0.88556,789,789,0.86333,0.90779
2020,17-29 y.,3rd Quintile,No,0.91526,682,682,0.89434,0.93617
2020,17-29 y.,4th Quintile,No,0.90993,595,595,0.88690,0.93295
2020,17-29 y.,5th Quintile,No,0.85956,472,472,0.82818,0.89094
2020,30-45 y.,1st Quintile,Yes,0.02713,35,2355,0.02056,0.03369
2020,30-45 y.,1st Quintile,No,0.97219,2320,2355,0.96554,0.97883
2020,30-45 y.,2nd Quintile,No,0.98876,1230,1230,0.98286,0.99465
2020,30-45 y.,3rd Quintile,No,0.98854,1106,1106,0.98226,0.99481
2020,30-45 y.,4th Quintile,No,0.99041,1048,1048,0.98451,0.99632
2020,30-45 y.,5th Quintile,No,0.98945,1125,1125,0.98348,0.99542
2020,46-65 y.,1st Quintile,No,0.99248,1764,1764,0.98844,0.99651
2020,46-65 y.,2nd Quintile,No,0.99694,1485,1485,0.99412,0.99975
2020,46-65 y.,3rd Quintile,No,0.99579,1586,1586,0.99261,0.99898
2020,46-65 y.,4th Quintile,No,0.99356,1958,1958,0.99001,0.99710
2020,46-65 y.,5th Quintile,No,0.99503,3197,3197,0.99259,0.99747
2020,66 and older,2nd Quintile,No,0.99840,1161,1161,0.99610,1.00070
2020,66 and older,4th Quintile,No,0.99768,788,788,0.99432,1.00104
2020,66 and older,5th Quintile,No,0.99521,1162,1162,0.99124,0.99918
2021,17-29 y.,1st Quintile,No,0.93943,1210,1210,0.92598,0.95288
2021,17-29 y.,2nd Quintile,No,0.88802,606,606,0.86289,0.91315
2021,17-29 y.,3rd Quintile,No,0.91773,457,457,0.89252,0.94295
2021,17-29 y.,4th Quintile,No,0.94854,457,457,0.92826,0.96882
2021,17-29 y.,5th Quintile,No,0.92586,313,313,0.89678,0.95493
2021,30-45 y.,1st Quintile,No,0.99013,1614,1614,0.98531,0.99496
2021,30-45 y.,2nd Quintile,No,0.97291,1007,1007,0.96288,0.98294
2021,30-45 y.,3rd Quintile,No,0.97087,815,815,0.95932,0.98242
2021,30-45 y.,4th Quintile,No,0.98636,780,780,0.97821,0.99450
2021,30-45 y.,5th Quintile,No,0.98313,802,802,0.97422,0.99205
2021,46-65 y.,1st Quintile,No,0.98999,1231,1231,0.98443,0.99556
2021,46-65 y.,2nd Quintile,No,0.99805,1126,1126,0.99547,1.00063
2021,46-65 y.,3rd Quintile,No,0.99873,1112,1112,0.99664,1.00082
2021,46-65 y.,4th Quintile,No,0.99294,1366,1366,0.98850,0.99738
2021,46-65 y.,5th Quintile,No,0.99326,2300,2300,0.98991,0.99660
2021,66 and older,1st Quintile,No,0.97624,622,622,0.96426,0.98822
2021,66 and older,2nd Quintile,No,0.99320,822,822,0.98758,0.99882
2021,66 and older,3rd Quintile,No,0.99440,632,632,0.98858,1.00022
2021,66 and older,4th Quintile,No,0.99126,623,623,0.98395,0.99858
2021,66 and older,5th Quintile,No,0.99182,853,853,0.98578,0.99787
