,Unnamed: 0,year,migback,sex,pli0097_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
31,31,1988,Direct migration background,male,Never,0.9417,1325,9772,0.887,0.9996
32,32,1988,Direct migration background,female,Never,1.0,1231,9772,0.94246,1.06104
33,33,1988,Indirect migration background,male,Never,1.0,96,9772,0.75102,1.24356
34,34,1988,Indirect migration background,female,Never,1.0,110,9772,0.79583,1.27918
35,35,1990,No migration background,male,At least once per week,0.0213,123,13625,0.01901,0.02391
36,36,1990,No migration background,male,At least once per month,0.04431,247,13625,0.04106,0.04794
37,37,1990,No migration background,male,Seldom,0.16154,796,13625,0.1556,0.16817
38,38,1990,No migration background,male,Never,0.77285,4006,13625,0.75994,0.78558
39,39,1990,No migration background,female,At least once per week,0.00855,52,13625,0.0068,0.01032
40,40,1990,No migration background,female,At least once per month,0.02201,149,13625,0.01968,0.02472
41,41,1990,No migration background,female,Seldom,0.10241,587,13625,0.09823,0.10755
42,42,1990,No migration background,female,Never,0.86702,4807,13625,0.85201,0.88304
43,43,1990,Direct migration background,male,Seldom,0.08937,86,13625,0.06892,0.10916
44,44,1990,Direct migration background,male,Never,0.91063,1250,13625,0.85986,0.96685
45,45,1990,Direct migration background,female,Seldom,0.06679,63,13625,0.05197,0.08264
46,46,1990,Direct migration background,female,Never,0.93321,1189,13625,0.87922,0.99507
47,47,1990,Indirect migration background,male,Never,1.0,132,13625,0.85428,1.1692
48,48,1990,Indirect migration background,female,Never,1.0,138,13625,0.79834,1.22334
49,49,1992,No migration background,male,At least once per week,0.01454,81,13035,0.01298,0.01619
50,50,1992,No migration background,male,At least once per month,0.02684,129,13035,0.02424,0.03009
51,51,1992,No migration background,male,Seldom,0.07553,364,13035,0.07029,0.08019
52,52,1992,No migration background,male,Never,0.88309,4300,13035,0.86827,0.8965
53,53,1992,No migration background,female,At least once per month,0.0168,89,13035,0.01488,0.01881
54,54,1992,No migration background,female,Seldom,0.0457,253,13035,0.04221,0.04891
55,55,1992,No migration background,female,Never,0.9375,4965,13035,0.92137,0.95315
56,56,1992,Direct migration background,male,Seldom,0.05756,63,13035,0.04406,0.07457
57,57,1992,Direct migration background,male,Never,0.94244,1221,13035,0.88434,0.99302
58,58,1992,Direct migration background,female,Seldom,0.03519,31,13035,0.02419,0.04596
59,59,1992,Direct migration background,female,Never,0.96481,1166,13035,0.90924,1.02276
60,60,1992,Indirect migration background,male,Never,1.0,186,13035,0.87544,1.12791
61,61,1992,Indirect migration background,female,Never,1.0,187,13035,0.86457,1.17836
62,62,1994,No migration background,male,At least once per week,0.01381,74,12640,0.01218,0.01578
63,63,1994,No migration background,male,At least once per month,0.02017,110,12640,0.01826,0.02276
64,64,1994,No migration background,male,Seldom,0.09171,401,12640,0.08526,0.09751
65,65,1994,No migration background,male,Never,0.87432,4117,12640,0.85764,0.89235
66,66,1994,No migration background,female,At least once per month,0.01372,78,12640,0.01208,0.01598
67,67,1994,No migration background,female,Seldom,0.04764,252,12640,0.04363,0.05252
68,68,1994,No migration background,female,Never,0.93864,4850,12640,0.92154,0.95591
69,69,1994,Direct migration background,male,Seldom,0.05482,61,12640,0.04429,0.06826
70,70,1994,Direct migration background,male,Never,0.94518,1109,12640,0.89653,1.00049
71,71,1994,Direct migration background,female,Seldom,0.03993,45,12640,0.03059,0.04811
72,72,1994,Direct migration background,female,Never,0.96007,1086,12640,0.90903,1.01669
73,73,1994,Indirect migration background,male,Never,1.0,231,12640,0.89605,1.11438
74,74,1994,Indirect migration background,female,Never,1.0,226,12640,0.86356,1.13502
75,75,1995,No migration background,male,At least once per week,0.01796,94,13109,0.01607,0.02057
76,76,1995,No migration background,male,At least once per month,0.02937,135,13109,0.02698,0.03238
77,77,1995,No migration background,male,Seldom,0.11122,498,13109,0.10492,0.11843
78,78,1995,No migration background,male,Never,0.84145,3992,13109,0.82648,0.86122
79,79,1995,No migration background,female,At least once per week,0.0056,32,13109,0.00447,0.00667
80,80,1995,No migration background,female,At least once per month,0.01396,74,13109,0.01199,0.01677
81,81,1995,No migration background,female,Seldom,0.07414,378,13109,0.06753,0.08223
82,82,1995,No migration background,female,Never,0.90629,4720,13109,0.88712,0.92151
83,83,1995,Direct migration background,male,Seldom,0.06144,82,13109,0.04851,0.07456
84,84,1995,Direct migration background,male,Never,0.93856,1287,13109,0.89222,0.98539
85,85,1995,Direct migration background,female,Seldom,0.03168,38,13109,0.02409,0.04353
86,86,1995,Direct migration background,female,Never,0.96832,1307,13109,0.90978,1.02241
87,87,1995,Indirect migration background,male,Never,1.0,229,13109,0.88314,1.15806
88,88,1995,Indirect migration background,female,Never,1.0,243,13109,0.86876,1.13073
89,89,1996,No migration background,male,At least once per week,0.01229,70,12892,0.01091,0.01399
90,90,1996,No migration background,male,At least once per month,0.02375,107,12892,0.02052,0.02712
91,91,1996,No migration background,male,Seldom,0.11625,499,12892,0.1081,0.12303
92,92,1996,No migration background,male,Never,0.84771,4018,12892,0.83049,0.86474
93,93,1996,No migration background,female,At least once per month,0.01058,65,12892,0.00918,0.01225
94,94,1996,No migration background,female,Seldom,0.06865,342,12892,0.06327,0.07485
95,95,1996,No migration background,female,Never,0.92077,4723,12892,0.9016,0.93731
96,96,1996,Direct migration background,male,Seldom,0.07858,75,12892,0.06336,0.09791
97,97,1996,Direct migration background,male,Never,0.92142,1214,12892,0.87184,0.97581
98,98,1996,Direct migration background,female,Seldom,0.04396,42,12892,0.03157,0.05497
99,99,1996,Direct migration background,female,Never,0.95604,1233,12892,0.91094,1.0101
100,100,1996,Indirect migration background,male,Never,1.0,245,12892,0.89545,1.12962
101,101,1996,Indirect migration background,female,Never,1.0,259,12892,0.88385,1.11693
102,102,1997,No migration background,male,At least once per week,0.0139,60,12621,0.01161,0.01634
103,103,1997,No migration background,male,At least once per month,0.02587,120,12621,0.02324,0.02905
104,104,1997,No migration background,male,Seldom,0.08597,373,12621,0.07973,0.09301
105,105,1997,No migration background,male,Never,0.87425,4077,12621,0.85368,0.89399
106,106,1997,No migration background,female,At least once per month,0.01151,66,12621,0.00961,0.01293
107,107,1997,No migration background,female,Seldom,0.06297,300,12621,0.05693,0.0684
108,108,1997,No migration background,female,Never,0.92552,4672,12621,0.90808,0.94379
109,109,1997,Direct migration background,male,Seldom,0.06148,60,12621,0.0454,0.07853
110,110,1997,Direct migration background,male,Never,0.93852,1159,12621,0.88397,0.98829
111,111,1997,Direct migration background,female,Seldom,0.04065,35,12621,0.02812,0.05514
112,112,1997,Direct migration background,female,Never,0.95935,1164,12621,0.90883,1.01775
113,113,1997,Indirect migration background,male,Never,1.0,273,12621,0.89768,1.15228
114,114,1997,Indirect migration background,female,Never,1.0,262,12621,0.87129,1.14775
115,115,1998,No migration background,male,At least once per week,0.01516,84,14035,0.01352,0.01701
116,116,1998,No migration background,male,At least once per month,0.02233,122,14035,0.01979,0.02493
117,117,1998,No migration background,male,Seldom,0.12575,615,14035,0.12047,0.13214
118,118,1998,No migration background,male,Never,0.83676,4517,14035,0.82156,0.8526
119,119,1998,No migration background,female,At least once per month,0.01277,87,14035,0.01116,0.01467
120,120,1998,No migration background,female,Seldom,0.0872,499,14035,0.08207,0.09205
121,121,1998,No migration background,female,Never,0.90003,5223,14035,0.88211,0.91541
122,122,1998,Direct migration background,male,Seldom,0.09014,97,14035,0.07448,0.10853
123,123,1998,Direct migration background,male,Never,0.90986,1083,14035,0.8652,0.95328
124,124,1998,Direct migration background,female,Seldom,0.06397,65,14035,0.05095,0.07945
125,125,1998,Direct migration background,female,Never,0.93603,1103,14035,0.88687,0.99002
126,126,1998,Indirect migration background,male,Never,1.0,276,14035,0.89358,1.11944
127,127,1998,Indirect migration background,female,Never,1.0,264,14035,0.9051,1.10487
128,128,1999,No migration background,male,At least once per week,0.0155,85,13466,0.01371,0.01713
129,129,1999,No migration background,male,At least once per month,0.0226,124,13466,0.02032,0.0254
130,130,1999,No migration background,male,Seldom,0.09736,482,13466,0.09059,0.10436
131,131,1999,No migration background,male,Never,0.86454,4470,13466,0.84708,0.88351
132,132,1999,No migration background,female,At least once per month,0.01294,78,13466,0.01109,0.01507
133,133,1999,No migration background,female,Seldom,0.05923,364,13466,0.05514,0.06325
134,134,1999,No migration background,female,Never,0.92783,5142,13466,0.91137,0.94491
135,135,1999,Direct migration background,male,Seldom,0.05105,49,13466,0.03839,0.06385
136,136,1999,Direct migration background,male,Never,0.94895,1036,13466,0.90132,1.00268
137,137,1999,Direct migration background,female,Seldom,0.05077,46,13466,0.03698,0.06514
138,138,1999,Direct migration background,female,Never,0.94923,1031,13466,0.90807,1.0112
139,139,1999,Indirect migration background,male,Never,1.0,284,13466,0.89475,1.12793
140,140,1999,Indirect migration background,female,Never,1.0,275,13466,0.88573,1.16117
141,141,2001,No migration background,male,At least once per week,0.01536,138,21563,0.01414,0.01668
142,142,2001,No migration background,male,At least once per month,0.02561,222,21563,0.02352,0.02745
143,143,2001,No migration background,male,Seldom,0.08201,715,21563,0.07855,0.08623
144,144,2001,No migration background,male,Never,0.87703,7536,21563,0.86546,0.88662
145,145,2001,No migration background,female,At least once per week,0.00451,39,21563,0.0038,0.00528
146,146,2001,No migration background,female,At least once per month,0.01331,128,21563,0.01185,0.01432
147,147,2001,No migration background,female,Seldom,0.05789,560,21563,0.05482,0.0618
148,148,2001,No migration background,female,Never,0.9243,8654,21563,0.91277,0.93504
149,149,2001,Direct migration background,male,Seldom,0.03004,40,21563,0.024,0.03858
150,150,2001,Direct migration background,male,Never,0.96996,1354,21563,0.93318,1.00367
151,151,2001,Direct migration background,female,Seldom,0.03146,46,21563,0.02578,0.03759
152,152,2001,Direct migration background,female,Never,0.96854,1406,21563,0.93634,1.00663
153,153,2001,Indirect migration background,male,Never,1.0,350,21563,0.91571,1.08838
154,154,2001,Indirect migration background,female,Never,1.0,375,21563,0.91329,1.08409
155,155,2003,No migration background,male,At least once per week,0.01535,157,21932,0.01381,0.01741
156,156,2003,No migration background,male,At least once per month,0.0286,276,21932,0.02565,0.03153
157,157,2003,No migration background,male,Seldom,0.11412,1035,21932,0.10865,0.11993
158,158,2003,No migration background,male,Never,0.84194,7516,21932,0.82717,0.85588
159,159,2003,No migration background,female,At least once per week,0.00563,73,21932,0.00458,0.00671
160,160,2003,No migration background,female,At least once per month,0.01357,147,21932,0.01218,0.01523
161,161,2003,No migration background,female,Seldom,0.07886,804,21932,0.07396,0.08359
162,162,2003,No migration background,female,Never,0.90194,8646,21932,0.88909,0.91614
163,163,2003,Direct migration background,male,Seldom,0.05784,62,21932,0.04912,0.06805
164,164,2003,Direct migration background,male,Never,0.94216,1169,21932,0.90059,0.99304
165,165,2003,Direct migration background,female,Seldom,0.04816,49,21932,0.03841,0.05933
166,166,2003,Direct migration background,female,Never,0.95184,1284,21932,0.91228,0.99004
167,167,2003,Indirect migration background,male,Never,1.0,336,21932,0.91198,1.08857
168,168,2003,Indirect migration background,female,Never,1.0,378,21932,0.91168,1.10724
169,169,2005,No migration background,male,At least once per week,0.01662,154,20469,0.01435,0.01882
170,170,2005,No migration background,male,At least once per month,0.02663,225,20469,0.02375,0.03086
171,171,2005,No migration background,male,Seldom,0.08358,746,20469,0.07821,0.08807
172,172,2005,No migration background,male,Never,0.87317,7204,20469,0.85577,0.8894
173,173,2005,No migration background,female,At least once per week,0.00511,63,20469,0.00403,0.0063
174,174,2005,No migration background,female,At least once per month,0.01433,142,20469,0.01229,0.01635
175,175,2005,No migration background,female,Seldom,0.06536,614,20469,0.06052,0.07029
176,176,2005,No migration background,female,Never,0.91521,8217,20469,0.90127,0.93281
177,177,2005,Direct migration background,male,Seldom,0.05443,54,20469,0.04484,0.06544
178,178,2005,Direct migration background,male,Never,0.94557,1038,20469,0.89802,0.99579
179,179,2005,Direct migration background,female,Seldom,0.04437,47,20469,0.03336,0.05511
180,180,2005,Direct migration background,female,Never,0.95563,1193,20469,0.90859,0.99652
181,181,2005,Indirect migration background,male,Never,1.0,369,20469,0.90994,1.09878
182,182,2005,Indirect migration background,female,Never,1.0,403,20469,0.90166,1.08052
183,183,2007,No migration background,male,At least once per week,0.01416,132,20241,0.01205,0.01647
184,184,2007,No migration background,male,At least once per month,0.02036,193,20241,0.01857,0.02297
185,185,2007,No migration background,male,Seldom,0.06982,630,20241,0.06393,0.07533
186,186,2007,No migration background,male,Never,0.89566,7398,20241,0.87769,0.91121
187,187,2007,No migration background,female,At least once per week,0.00565,54,20241,0.00432,0.00697
188,188,2007,No migration background,female,At least once per month,0.00819,98,20241,0.00671,0.01007
189,189,2007,No migration background,female,Seldom,0.04387,447,20241,0.03984,0.04787
190,190,2007,No migration background,female,Never,0.94229,8484,20241,0.92599,0.95875
191,191,2007,Direct migration background,male,Seldom,0.03507,32,20241,0.02524,0.04664
192,192,2007,Direct migration background,male,Never,0.96493,917,20241,0.91561,1.01894
193,193,2007,Direct migration background,female,Seldom,0.02963,35,20241,0.0234,0.0366
194,194,2007,Direct migration background,female,Never,0.97037,1081,20241,0.92923,1.01044
195,195,2007,Indirect migration background,male,Never,1.0,341,20241,0.90663,1.10062
196,196,2007,Indirect migration background,female,Never,1.0,399,20241,0.91211,1.0902
197,197,2008,No migration background,male,At least once per week,0.01232,120,19131,0.01085,0.01472
198,198,2008,No migration background,male,At least once per month,0.02246,228,19131,0.0196,0.02515
199,199,2008,No migration background,male,Seldom,0.09011,776,19131,0.08466,0.0978
200,200,2008,No migration background,male,Never,0.87511,6798,19131,0.8572,0.89306
201,201,2008,No migration background,female,At least once per week,0.00512,60,19131,0.00413,0.0065
202,202,2008,No migration background,female,At least once per month,0.01188,132,19131,0.01022,0.01382
203,203,2008,No migration background,female,Seldom,0.06034,563,19131,0.05597,0.0644
204,204,2008,No migration background,female,Never,0.92267,7889,19131,0.90563,0.93988
205,205,2008,Direct migration background,male,Seldom,0.07321,57,19131,0.05768,0.08925
206,206,2008,Direct migration background,male,Never,0.92679,796,19131,0.8737,0.9768
207,207,2008,Direct migration background,female,Seldom,0.04418,46,19131,0.03601,0.05671
208,208,2008,Direct migration background,female,Never,0.95582,961,19131,0.91204,1.00034
209,209,2008,Indirect migration background,male,Never,1.0,338,19131,0.90708,1.0829
210,210,2008,Indirect migration background,female,Never,1.0,367,19131,0.90241,1.09917
211,211,2009,No migration background,male,At least once per week,0.0113,103,17780,0.0096,0.01325
212,212,2009,No migration background,male,At least once per month,0.02047,185,17780,0.01773,0.02436
213,213,2009,No migration background,male,Seldom,0.07527,570,17780,0.06963,0.08275
214,214,2009,No migration background,male,Never,0.89296,6595,17780,0.8735,0.91385
215,215,2009,No migration background,female,At least once per week,0.00415,38,17780,0.00293,0.00573
216,216,2009,No migration background,female,At least once per month,0.00796,85,17780,0.00648,0.00954
217,217,2009,No migration background,female,Seldom,0.05251,441,17780,0.04814,0.05834
218,218,2009,No migration background,female,Never,0.93537,7503,17780,0.91583,0.9551
219,219,2009,Direct migration background,male,Seldom,0.03932,34,17780,0.02869,0.05296
220,220,2009,Direct migration background,male,Never,0.96068,711,17780,0.90162,1.01855
221,221,2009,Direct migration background,female,Never,1.0,852,17780,0.93903,1.06201
222,222,2009,Indirect migration background,male,Never,1.0,315,17780,0.88342,1.10473
223,223,2009,Indirect migration background,female,Never,1.0,348,17780,0.89281,1.10606
224,224,2011,No migration background,male,At least once per week,0.01535,173,28129,0.01305,0.01802
225,225,2011,No migration background,male,At least once per month,0.0225,272,28129,0.01972,0.02561
226,226,2011,No migration background,male,Seldom,0.07668,821,28129,0.07105,0.08197
227,227,2011,No migration background,male,Never,0.88547,9524,28129,0.86727,0.90712
228,228,2011,No migration background,female,At least once per week,0.00627,90,28129,0.0048,0.00777
229,229,2011,No migration background,female,At least once per month,0.00892,152,28129,0.0074,0.01081
230,230,2011,No migration background,female,Seldom,0.05397,698,28129,0.04924,0.05886
231,231,2011,No migration background,female,Never,0.93084,11982,28129,0.91288,0.94855
232,232,2011,Direct migration background,male,Seldom,0.05675,64,28129,0.04262,0.07437
233,233,2011,Direct migration background,male,Never,0.94325,1354,28129,0.88554,1.00697
234,234,2011,Direct migration background,female,Seldom,0.0235,41,28129,0.01384,0.03419
235,235,2011,Direct migration background,female,Never,0.9765,1789,28129,0.93059,1.0356
236,236,2011,Indirect migration background,male,Never,1.0,515,28129,0.89303,1.12479
237,237,2011,Indirect migration background,female,Never,1.0,654,28129,0.90047,1.10737
238,238,2013,No migration background,male,At least once per week,0.01746,200,25282,0.01476,0.02043
239,239,2013,No migration background,male,At least once per month,0.02752,285,25282,0.02427,0.03092
240,240,2013,No migration background,male,Seldom,0.10616,993,25282,0.09902,0.11343
241,241,2013,No migration background,male,Never,0.84887,8290,25282,0.82921,0.86917
242,242,2013,No migration background,female,At least once per week,0.00665,69,25282,0.00461,0.00887
243,243,2013,No migration background,female,At least once per month,0.01262,176,25282,0.01073,0.01487
244,244,2013,No migration background,female,Seldom,0.07696,872,25282,0.07113,0.08321
245,245,2013,No migration background,female,Never,0.90378,10592,25282,0.88838,0.92265
246,246,2013,Direct migration background,male,Seldom,0.08096,84,25282,0.06027,0.10553
247,247,2013,Direct migration background,male,Never,0.91904,1079,25282,0.84746,1.00826
248,248,2013,Direct migration background,female,Seldom,0.05267,86,25282,0.04082,0.06553
249,249,2013,Direct migration background,female,Never,0.94733,1460,25282,0.88251,1.01679
250,250,2013,Indirect migration background,male,Seldom,0.11332,56,25282,0.07396,0.15108
251,251,2013,Indirect migration background,male,Never,0.88668,446,25282,0.78006,1.01009
252,252,2013,Indirect migration background,female,Seldom,0.08261,42,25282,0.05261,0.12113
253,253,2013,Indirect migration background,female,Never,0.91739,552,25282,0.81375,1.01065
254,254,2015,No migration background,male,At least once per week,0.01446,146,26574,0.01163,0.0169
255,255,2015,No migration background,male,At least once per month,0.0223,234,26574,0.01939,0.02586
256,256,2015,No migration background,male,Seldom,0.07698,709,26574,0.07137,0.0839
257,257,2015,No migration background,male,Never,0.88626,7706,26574,0.86284,0.90542
258,258,2015,No migration background,female,At least once per week,0.00755,64,26574,0.0058,0.00913
259,259,2015,No migration background,female,At least once per month,0.00993,127,26574,0.00824,0.01173
260,260,2015,No migration background,female,Seldom,0.05201,599,26574,0.04775,0.05651
261,261,2015,No migration background,female,Never,0.9305,9499,26574,0.90969,0.94876
262,262,2015,Direct migration background,male,Seldom,0.03695,108,26574,0.0297,0.04686
263,263,2015,Direct migration background,male,Never,0.96305,2580,26574,0.91082,1.01743
264,264,2015,Direct migration background,female,Seldom,0.03566,110,26574,0.02557,0.04563
265,265,2015,Direct migration background,female,Never,0.96434,3102,26574,0.91287,1.01057
266,266,2015,Indirect migration background,male,Seldom,0.04858,36,26574,0.03207,0.06976
267,267,2015,Indirect migration background,male,Never,0.95142,690,26574,0.8631,1.04252
268,268,2015,Indirect migration background,female,Seldom,0.05705,38,26574,0.03591,0.08024
269,269,2015,Indirect migration background,female,Never,0.94295,826,26574,0.87107,1.03046
270,270,2017,No migration background,male,At least once per week,0.01661,165,26337,0.01441,0.01924
271,271,2017,No migration background,male,At least once per month,0.02544,241,26337,0.02235,0.02891
272,272,2017,No migration background,male,Seldom,0.07482,715,26337,0.06847,0.08104
273,273,2017,No migration background,male,Never,0.88313,8231,26337,0.86569,0.90379
274,274,2017,No migration background,female,At least once per week,0.00792,75,26337,0.00621,0.00964
275,275,2017,No migration background,female,At least once per month,0.01081,137,26337,0.00862,0.01267
276,276,2017,No migration background,female,Seldom,0.05544,597,26337,0.04986,0.06021
277,277,2017,No migration background,female,Never,0.92584,9905,26337,0.90778,0.94753
278,278,2017,Direct migration background,male,Seldom,0.04465,85,26337,0.03433,0.05808
279,279,2017,Direct migration background,male,Never,0.95535,1977,26337,0.8968,1.00048
280,280,2017,Direct migration background,female,Seldom,0.02861,76,26337,0.01871,0.03926
281,281,2017,Direct migration background,female,Never,0.97139,2532,26337,0.92447,1.02552
282,282,2017,Indirect migration background,male,Seldom,0.0375,37,26337,0.02298,0.05186
283,283,2017,Indirect migration background,male,Never,0.9625,708,26337,0.87697,1.07783
284,284,2017,Indirect migration background,female,Seldom,0.05633,37,26337,0.037,0.07786
285,285,2017,Indirect migration background,female,Never,0.94367,819,26337,0.85413,1.03209
286,286,2019,No migration background,male,At least once per week,0.02011,256,25422,0.01708,0.02301
287,287,2019,No migration background,male,At least once per month,0.02601,342,25422,0.02277,0.02935
288,288,2019,No migration background,male,Seldom,0.11069,1146,25422,0.10315,0.11852
289,289,2019,No migration background,male,Never,0.84319,7956,25422,0.81778,0.86848
290,290,2019,No migration background,female,At least once per week,0.00993,134,25422,0.00759,0.01248
291,291,2019,No migration background,female,At least once per month,0.01571,221,25422,0.0135,0.01811
292,292,2019,No migration background,female,Seldom,0.08882,974,25422,0.08259,0.09688
293,293,2019,No migration background,female,Never,0.88554,9009,25422,0.86187,0.90687
294,294,2019,Direct migration background,male,Seldom,0.08611,153,25422,0.06596,0.11199
295,295,2019,Direct migration background,male,Never,0.91389,1566,25422,0.85704,0.98787
296,296,2019,Direct migration background,female,Seldom,0.06537,144,25422,0.05408,0.07731
297,297,2019,Direct migration background,female,Never,0.93463,2002,25422,0.86103,0.993
298,298,2019,Indirect migration background,male,Seldom,0.11344,79,25422,0.08926,0.14247
299,299,2019,Indirect migration background,male,Never,0.88656,634,25422,0.78198,0.97899
300,300,2019,Indirect migration background,female,Seldom,0.09479,72,25422,0.07261,0.13165
301,301,2019,Indirect migration background,female,Never,0.90521,734,25422,0.81319,0.98996
