"pli0097_h","year","bildungsniveau","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Min 1x pro Woche","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","AkademikerIn","Westdeutschland","21","","",""
"Min 1x pro Woche","1986","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1986","(noch) kein Abschluss","Westdeutschland","5","","",""
"Min 1x pro Monat","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1986","Hauptschule","Westdeutschland","92","0.0176217569505091","0.014292860785598","0.0209506531154201"
"Min 1x pro Monat","1986","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1986","Realschule","Westdeutschland","21","","",""
"Min 1x pro Monat","1986","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1986","(Fach-)Abitur","Westdeutschland","26","","",""
"Min 1x pro Monat","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1986","AkademikerIn","Westdeutschland","24","","",""
"Min 1x pro Monat","1986","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1986","(noch) kein Abschluss","Westdeutschland","16","","",""
"Seltener","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1986","Hauptschule","Westdeutschland","199","0.0339055542130346","0.0293264398080471","0.0384846686180222"
"Seltener","1986","Hauptschule","Ostdeutschland","","","",""
"Seltener","1986","Realschule","Westdeutschland","114","0.0629461524285452","0.0515965136406181","0.0742957912164724"
"Seltener","1986","Realschule","Ostdeutschland","","","",""
"Seltener","1986","(Fach-)Abitur","Westdeutschland","74","0.109677588509193","0.0880910627640124","0.131264114254373"
"Seltener","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1986","AkademikerIn","Westdeutschland","94","0.128362674930327","0.10427880483593","0.152446545024725"
"Seltener","1986","AkademikerIn","Ostdeutschland","","","",""
"Nie","1986","(noch) kein Abschluss","Westdeutschland","990","0.971135792261529","0.960835848081736","0.981435736441322"
"Nie","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1986","Hauptschule","Westdeutschland","5665","0.940912833321397","0.934947186257167","0.946878480385627"
"Nie","1986","Hauptschule","Ostdeutschland","","","",""
"Nie","1986","Realschule","Westdeutschland","1612","0.918030176196406","0.905210689070447","0.930849663322366"
"Nie","1986","Realschule","Ostdeutschland","","","",""
"Nie","1986","(Fach-)Abitur","Westdeutschland","691","0.832729113226686","0.806947374396378","0.858510852056994"
"Nie","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1986","AkademikerIn","Westdeutschland","602","0.810612733506774","0.782401564306472","0.838823902707076"
"Nie","1986","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1987","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1987","Hauptschule","Westdeutschland","","","",""
"Taeglich","1987","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1987","Realschule","Westdeutschland","","","",""
"Taeglich","1987","Realschule","Ostdeutschland","","","",""
"Taeglich","1987","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1987","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1987","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1987","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Woche","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1987","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Woche","1987","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1987","Realschule","Westdeutschland","","","",""
"Min 1x pro Woche","1987","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1987","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Woche","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1987","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Woche","1987","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1987","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Monat","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1987","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Monat","1987","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1987","Realschule","Westdeutschland","","","",""
"Min 1x pro Monat","1987","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1987","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Monat","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1987","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Monat","1987","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1987","(noch) kein Abschluss","Westdeutschland","","","",""
"Seltener","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1987","Hauptschule","Westdeutschland","","","",""
"Seltener","1987","Hauptschule","Ostdeutschland","","","",""
"Seltener","1987","Realschule","Westdeutschland","","","",""
"Seltener","1987","Realschule","Ostdeutschland","","","",""
"Seltener","1987","(Fach-)Abitur","Westdeutschland","","","",""
"Seltener","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1987","AkademikerIn","Westdeutschland","","","",""
"Seltener","1987","AkademikerIn","Ostdeutschland","","","",""
"Nie","1987","(noch) kein Abschluss","Westdeutschland","","","",""
"Nie","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1987","Hauptschule","Westdeutschland","","","",""
"Nie","1987","Hauptschule","Ostdeutschland","","","",""
"Nie","1987","Realschule","Westdeutschland","","","",""
"Nie","1987","Realschule","Ostdeutschland","","","",""
"Nie","1987","(Fach-)Abitur","Westdeutschland","","","",""
"Nie","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1987","AkademikerIn","Westdeutschland","","","",""
"Nie","1987","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1988","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1988","Hauptschule","Westdeutschland","","","",""
"Taeglich","1988","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1988","Realschule","Westdeutschland","","","",""
"Taeglich","1988","Realschule","Ostdeutschland","","","",""
"Taeglich","1988","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1988","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1988","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1988","(noch) kein Abschluss","Westdeutschland","2","","",""
"Min 1x pro Woche","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1988","Hauptschule","Westdeutschland","32","0.0053571049132729","0.00345625948721014","0.00725795033933566"
"Min 1x pro Woche","1988","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1988","Realschule","Westdeutschland","12","","",""
"Min 1x pro Woche","1988","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1988","(Fach-)Abitur","Westdeutschland","9","","",""
"Min 1x pro Woche","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1988","AkademikerIn","Westdeutschland","14","","",""
"Min 1x pro Woche","1988","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1988","(noch) kein Abschluss","Westdeutschland","1","","",""
"Min 1x pro Monat","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1988","Hauptschule","Westdeutschland","57","0.0109502919716006","0.00824028727832278","0.0136602966648783"
"Min 1x pro Monat","1988","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1988","Realschule","Westdeutschland","23","","",""
"Min 1x pro Monat","1988","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1988","(Fach-)Abitur","Westdeutschland","16","","",""
"Min 1x pro Monat","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1988","AkademikerIn","Westdeutschland","27","","",""
"Min 1x pro Monat","1988","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1988","(noch) kein Abschluss","Westdeutschland","18","","",""
"Seltener","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1988","Hauptschule","Westdeutschland","194","0.0373869148181233","0.0324468365624629","0.0423269930737837"
"Seltener","1988","Hauptschule","Ostdeutschland","","","",""
"Seltener","1988","Realschule","Westdeutschland","107","0.0679509381381907","0.0559525790873589","0.0799492971890225"
"Seltener","1988","Realschule","Ostdeutschland","","","",""
"Seltener","1988","(Fach-)Abitur","Westdeutschland","72","0.0963902122189632","0.0750106168262294","0.117769807611697"
"Seltener","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1988","AkademikerIn","Westdeutschland","112","0.155090157367391","0.128254835654103","0.181925479080678"
"Seltener","1988","AkademikerIn","Ostdeutschland","","","",""
"Nie","1988","(noch) kein Abschluss","Westdeutschland","880","0.96653198852616","0.954788185289508","0.978275791762811"
"Nie","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1988","Hauptschule","Westdeutschland","5382","0.946305688297003","0.940435824838336","0.952175551755671"
"Nie","1988","Hauptschule","Ostdeutschland","","","",""
"Nie","1988","Realschule","Westdeutschland","1548","0.912014424116452","0.898508903422711","0.925519944810193"
"Nie","1988","Realschule","Ostdeutschland","","","",""
"Nie","1988","(Fach-)Abitur","Westdeutschland","635","0.858012610313286","0.832727533724877","0.883297686901694"
"Nie","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1988","AkademikerIn","Westdeutschland","546","0.7825451986911","0.751964407362918","0.813125990019282"
"Nie","1988","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1989","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1989","Hauptschule","Westdeutschland","","","",""
"Taeglich","1989","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1989","Realschule","Westdeutschland","","","",""
"Taeglich","1989","Realschule","Ostdeutschland","","","",""
"Taeglich","1989","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1989","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1989","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1989","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Woche","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1989","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Woche","1989","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1989","Realschule","Westdeutschland","","","",""
"Min 1x pro Woche","1989","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1989","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Woche","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1989","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Woche","1989","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1989","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Monat","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1989","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Monat","1989","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1989","Realschule","Westdeutschland","","","",""
"Min 1x pro Monat","1989","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1989","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Monat","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1989","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Monat","1989","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1989","(noch) kein Abschluss","Westdeutschland","","","",""
"Seltener","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1989","Hauptschule","Westdeutschland","","","",""
"Seltener","1989","Hauptschule","Ostdeutschland","","","",""
"Seltener","1989","Realschule","Westdeutschland","","","",""
"Seltener","1989","Realschule","Ostdeutschland","","","",""
"Seltener","1989","(Fach-)Abitur","Westdeutschland","","","",""
"Seltener","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1989","AkademikerIn","Westdeutschland","","","",""
"Seltener","1989","AkademikerIn","Ostdeutschland","","","",""
"Nie","1989","(noch) kein Abschluss","Westdeutschland","","","",""
"Nie","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1989","Hauptschule","Westdeutschland","","","",""
"Nie","1989","Hauptschule","Ostdeutschland","","","",""
"Nie","1989","Realschule","Westdeutschland","","","",""
"Nie","1989","Realschule","Ostdeutschland","","","",""
"Nie","1989","(Fach-)Abitur","Westdeutschland","","","",""
"Nie","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1989","AkademikerIn","Westdeutschland","","","",""
"Nie","1989","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1990","(noch) kein Abschluss","Westdeutschland","2","","",""
"Taeglich","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1990","Hauptschule","Westdeutschland","13","","",""
"Taeglich","1990","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1990","Realschule","Westdeutschland","4","","",""
"Taeglich","1990","Realschule","Ostdeutschland","","","",""
"Taeglich","1990","(Fach-)Abitur","Westdeutschland","2","","",""
"Taeglich","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1990","AkademikerIn","Westdeutschland","3","","",""
"Taeglich","1990","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Westdeutschland","4","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Min 1x pro Woche","1990","Hauptschule","Westdeutschland","35","0.0073211385402395","0.00503142061249342","0.00961085646798557"
"Min 1x pro Woche","1990","Hauptschule","Ostdeutschland","16","","",""
"Min 1x pro Woche","1990","Realschule","Westdeutschland","17","","",""
"Min 1x pro Woche","1990","Realschule","Ostdeutschland","24","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","Westdeutschland","6","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","Ostdeutschland","3","","",""
"Min 1x pro Woche","1990","AkademikerIn","Westdeutschland","19","","",""
"Min 1x pro Woche","1990","AkademikerIn","Ostdeutschland","47","0.0482909599008798","0.0347859337729423","0.0617959860288172"
"Min 1x pro Monat","1990","(noch) kein Abschluss","Westdeutschland","6","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Min 1x pro Monat","1990","Hauptschule","Westdeutschland","99","0.0195848815478566","0.0158630753103429","0.0233066877853703"
"Min 1x pro Monat","1990","Hauptschule","Ostdeutschland","53","0.0328489746678879","0.0241370697628489","0.0415608795729269"
"Min 1x pro Monat","1990","Realschule","Westdeutschland","44","0.0283431733383732","0.0202570656298004","0.036429281046946"
"Min 1x pro Monat","1990","Realschule","Ostdeutschland","57","0.0339730869081801","0.0248956237786935","0.0430505500376668"
"Min 1x pro Monat","1990","(Fach-)Abitur","Westdeutschland","24","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","Ostdeutschland","4","","",""
"Min 1x pro Monat","1990","AkademikerIn","Westdeutschland","39","0.0689729203402874","0.0501331262223327","0.0878127144582421"
"Min 1x pro Monat","1990","AkademikerIn","Ostdeutschland","110","0.11916366614022","0.0987542796127633","0.139573052667677"
"Seltener","1990","(noch) kein Abschluss","Westdeutschland","36","0.0634349447619928","0.0469713259165841","0.0798985636074015"
"Seltener","1990","(noch) kein Abschluss","Ostdeutschland","2","","",""
"Seltener","1990","Hauptschule","Westdeutschland","546","0.111423974635116","0.102972647674885","0.119875301595348"
"Seltener","1990","Hauptschule","Ostdeutschland","90","0.0498908962239712","0.0392494057327344","0.0605323867152081"
"Seltener","1990","Realschule","Westdeutschland","230","0.147205905587915","0.129941821559941","0.16446998961589"
"Seltener","1990","Realschule","Ostdeutschland","149","0.0894881221625658","0.0751850977184644","0.103791146606667"
"Seltener","1990","(Fach-)Abitur","Westdeutschland","110","0.157662703566347","0.131494286392666","0.183831120740028"
"Seltener","1990","(Fach-)Abitur","Ostdeutschland","18","","",""
"Seltener","1990","AkademikerIn","Westdeutschland","169","0.24597130426665","0.213953477709406","0.277989130823894"
"Seltener","1990","AkademikerIn","Ostdeutschland","181","0.183727939539563","0.159332116162133","0.208123762916993"
"Nie","1990","(noch) kein Abschluss","Westdeutschland","794","0.922528252574613","0.904470921577235","0.940585583571992"
"Nie","1990","(noch) kein Abschluss","Ostdeutschland","41","0.906329952793669","0.821199416330364","0.991460489256973"
"Nie","1990","Hauptschule","Westdeutschland","4632","0.859125626198246","0.849781630690203","0.868469621706288"
"Nie","1990","Hauptschule","Ostdeutschland","1449","0.906850269447794","0.89264453593283","0.921056002962759"
"Nie","1990","Realschule","Westdeutschland","1323","0.812900196720645","0.793897549225005","0.831902844216286"
"Nie","1990","Realschule","Ostdeutschland","1300","0.863164951789591","0.84594436486601","0.880385538713172"
"Nie","1990","(Fach-)Abitur","Westdeutschland","603","0.786823796555437","0.757414945391932","0.816232647718942"
"Nie","1990","(Fach-)Abitur","Ostdeutschland","102","0.79878997563246","0.729065165484434","0.868514785780485"
"Nie","1990","AkademikerIn","Westdeutschland","465","0.649577456814552","0.614106967499416","0.685047946129689"
"Nie","1990","AkademikerIn","Ostdeutschland","630","0.648817434419337","0.618747108056756","0.678887760781918"
"Taeglich","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1991","Hauptschule","Westdeutschland","","","",""
"Taeglich","1991","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1991","Realschule","Westdeutschland","","","",""
"Taeglich","1991","Realschule","Ostdeutschland","","","",""
"Taeglich","1991","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1991","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1991","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Woche","1991","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","Realschule","Westdeutschland","","","",""
"Min 1x pro Woche","1991","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Woche","1991","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Monat","1991","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","Realschule","Westdeutschland","","","",""
"Min 1x pro Monat","1991","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Monat","1991","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Seltener","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1991","Hauptschule","Westdeutschland","","","",""
"Seltener","1991","Hauptschule","Ostdeutschland","","","",""
"Seltener","1991","Realschule","Westdeutschland","","","",""
"Seltener","1991","Realschule","Ostdeutschland","","","",""
"Seltener","1991","(Fach-)Abitur","Westdeutschland","","","",""
"Seltener","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1991","AkademikerIn","Westdeutschland","","","",""
"Seltener","1991","AkademikerIn","Ostdeutschland","","","",""
"Nie","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Nie","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1991","Hauptschule","Westdeutschland","","","",""
"Nie","1991","Hauptschule","Ostdeutschland","","","",""
"Nie","1991","Realschule","Westdeutschland","","","",""
"Nie","1991","Realschule","Ostdeutschland","","","",""
"Nie","1991","(Fach-)Abitur","Westdeutschland","","","",""
"Nie","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1991","AkademikerIn","Westdeutschland","","","",""
"Nie","1991","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1992","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1992","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1992","Hauptschule","Westdeutschland","","","",""
"Taeglich","1992","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1992","Realschule","Westdeutschland","","","",""
"Taeglich","1992","Realschule","Ostdeutschland","","","",""
"Taeglich","1992","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1992","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1992","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1992","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","Westdeutschland","2","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Min 1x pro Woche","1992","Hauptschule","Westdeutschland","23","","",""
"Min 1x pro Woche","1992","Hauptschule","Ostdeutschland","8","","",""
"Min 1x pro Woche","1992","Realschule","Westdeutschland","13","","",""
"Min 1x pro Woche","1992","Realschule","Ostdeutschland","7","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","Westdeutschland","12","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","Ostdeutschland","1","","",""
"Min 1x pro Woche","1992","AkademikerIn","Westdeutschland","15","","",""
"Min 1x pro Woche","1992","AkademikerIn","Ostdeutschland","29","","",""
