year,hhtyp,sampreg,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Other Combinations,West,No,0.97427,163,163,0.94989,0.99865
2021,No answer / don't know,West,No,0.86384,44,44,0.76133,0.96635
2021,Single-person household,West,No,0.98781,2449,2449,0.98346,0.99215
2021,Single-person household,East,No,0.97294,689,689,0.96082,0.98507
2021,Couple without children,West,Yes,0.02557,82,2595,0.01950,0.03164
2021,Couple without children,West,No,0.97443,2513,2595,0.96836,0.98050
2021,Couple without children,East,Yes,0.04252,40,819,0.02869,0.05635
2021,Couple without children,East,No,0.95748,779,819,0.94365,0.97131
2021,Single parent,West,Yes,0.05215,39,657,0.03514,0.06917
2021,Single parent,West,No,0.94785,618,657,0.93083,0.96486
2021,Single parent,East,No,0.89174,221,221,0.85069,0.93280
2021,Couple with children,West,Yes,0.06099,161,2611,0.05181,0.07017
2021,Couple with children,West,No,0.93901,2450,2611,0.92983,0.94819
2021,Couple with children,East,Yes,0.10223,61,551,0.07691,0.12755
2021,Couple with children,East,No,0.89777,490,551,0.87245,0.92309
2021,Multi-generational household,West,No,0.93937,55,55,0.87572,1.00303
2021,Other Combinations,West,No,0.97974,210,210,0.96064,0.99884
2021,Other Combinations,East,No,0.95528,42,42,0.89202,1.01855
