year,hhtyp,regtyp,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Single-person household,Urban regions,Yes,0.02188,54,2389,0.01601,0.02775
2011,Single-person household,Urban regions,No,0.97812,2335,2389,0.97225,0.98399
2011,Single-person household,Rural regions,No,0.97622,1093,1093,0.96718,0.98525
2011,Couple without children,Urban regions,Yes,0.04871,141,2772,0.04070,0.05673
2011,Couple without children,Urban regions,No,0.95129,2631,2772,0.94327,0.95930
2011,Couple without children,Rural regions,Yes,0.05005,92,1599,0.03936,0.06075
2011,Couple without children,Rural regions,No,0.94995,1507,1599,0.93925,0.96064
2011,Single parent,Urban regions,No,0.94849,496,496,0.92902,0.96796
2011,Single parent,Rural regions,No,0.95970,248,248,0.93518,0.98423
2011,Couple with children,Urban regions,Yes,0.10095,224,2087,0.08802,0.11388
2011,Couple with children,Urban regions,No,0.89905,1863,2087,0.88612,0.91198
2011,Couple with children,Rural regions,Yes,0.12013,139,1153,0.10136,0.13891
2011,Couple with children,Rural regions,No,0.87987,1014,1153,0.86109,0.89864
2011,Multi-generational household,Urban regions,No,0.96754,43,43,0.91395,1.02114
2011,Multi-generational household,Rural regions,No,0.95070,36,36,0.87897,1.02242
2011,Other Combinations,Urban regions,No,0.98375,60,60,0.95149,1.01601
2011,Other Combinations,Rural regions,No,0.98283,33,33,0.93782,1.02784
2016,Single-person household,Urban regions,No,0.99194,2299,2299,0.98828,0.99560
2016,Single-person household,Rural regions,No,0.97194,1046,1046,0.96193,0.98195
2016,Couple without children,Urban regions,Yes,0.03208,87,2568,0.02526,0.03889
2016,Couple without children,Urban regions,No,0.96792,2481,2568,0.96111,0.97474
2016,Couple without children,Rural regions,Yes,0.03832,73,1529,0.02870,0.04795
2016,Couple without children,Rural regions,No,0.96168,1456,1529,0.95205,0.97130
2016,Single parent,Urban regions,Yes,0.03317,41,992,0.02202,0.04432
2016,Single parent,Urban regions,No,0.96683,951,992,0.95568,0.97798
2016,Single parent,Rural regions,Yes,0.05191,32,532,0.03304,0.07078
2016,Single parent,Rural regions,No,0.94809,500,532,0.92922,0.96696
2016,Couple with children,Urban regions,Yes,0.06021,227,3297,0.05209,0.06833
2016,Couple with children,Urban regions,No,0.93979,3070,3297,0.93167,0.94791
2016,Couple with children,Rural regions,Yes,0.11672,173,1693,0.10142,0.13202
2016,Couple with children,Rural regions,No,0.88328,1520,1693,0.86798,0.89858
2016,Multi-generational household,Urban regions,No,0.95600,61,61,0.90410,1.00790
2016,Multi-generational household,Rural regions,No,0.86971,41,41,0.76539,0.97403
2016,Other Combinations,Urban regions,No,0.97281,133,133,0.94506,1.00055
2016,Other Combinations,Rural regions,No,0.98589,57,57,0.95499,1.01678
2021,No answer / don't know,Urban regions,No,0.79535,36,36,0.66168,0.92901
2021,Single-person household,Urban regions,No,0.98821,2219,2219,0.98372,0.99270
2021,Single-person household,Rural regions,No,0.97789,918,918,0.96837,0.98740
2021,Couple without children,Urban regions,Yes,0.02514,66,2217,0.01863,0.03166
2021,Couple without children,Urban regions,No,0.97486,2151,2217,0.96834,0.98137
2021,Couple without children,Rural regions,Yes,0.03597,56,1197,0.02541,0.04652
2021,Couple without children,Rural regions,No,0.96403,1141,1197,0.95348,0.97459
2021,Single parent,Urban regions,No,0.94775,542,542,0.92900,0.96650
2021,Single parent,Rural regions,No,0.91561,297,297,0.88394,0.94728
2021,Couple with children,Urban regions,Yes,0.04824,129,2101,0.03908,0.05741
2021,Couple with children,Urban regions,No,0.95176,1972,2101,0.94259,0.96092
2021,Couple with children,Rural regions,Yes,0.10683,93,1061,0.08824,0.12543
2021,Couple with children,Rural regions,No,0.89317,968,1061,0.87457,0.91176
2021,Multi-generational household,Urban regions,No,0.93031,44,44,0.85420,1.00642
2021,Other Combinations,Urban regions,No,0.96760,176,176,0.94136,0.99383
2021,Other Combinations,Rural regions,No,0.99781,76,76,0.98724,1.00838
