,Unnamed: 0,year,migback,regtyp,plj0047,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
39,39,1996,No migration background,Rural regions,Not concerned at all,0.17214,710,12822,0.1631,0.17951
40,40,1996,Direct migration background,Urban regions,Very concerned,0.34448,759,12822,0.32519,0.36843
41,41,1996,Direct migration background,Urban regions,Somewhat concerned,0.5014,1078,12822,0.46981,0.53071
42,42,1996,Direct migration background,Urban regions,Not concerned at all,0.15411,271,12822,0.13819,0.1736
43,43,1996,Direct migration background,Rural regions,Very concerned,0.36223,172,12822,0.30778,0.41889
44,44,1996,Direct migration background,Rural regions,Somewhat concerned,0.50355,217,12822,0.44406,0.5725
45,45,1996,Direct migration background,Rural regions,Not concerned at all,0.13421,64,12822,0.10692,0.16081
46,46,1996,Indirect migration background,Urban regions,Very concerned,0.41515,174,12822,0.35371,0.48254
47,47,1996,Indirect migration background,Urban regions,Somewhat concerned,0.48072,226,12822,0.4277,0.54621
48,48,1996,Indirect migration background,Urban regions,Not concerned at all,0.10413,53,12822,0.07246,0.14759
49,49,1996,Indirect migration background,Rural regions,Somewhat concerned,1.0,45,12822,0.69377,1.39569
50,50,1997,No migration background,Urban regions,Very concerned,0.29285,1684,12664,0.28477,0.30435
51,51,1997,No migration background,Urban regions,Somewhat concerned,0.5189,3022,12664,0.50573,0.53266
52,52,1997,No migration background,Urban regions,Not concerned at all,0.18826,1070,12664,0.17946,0.19516
53,53,1997,No migration background,Rural regions,Very concerned,0.31017,1135,12664,0.29766,0.32417
54,54,1997,No migration background,Rural regions,Somewhat concerned,0.51243,2039,12664,0.49616,0.52883
55,55,1997,No migration background,Rural regions,Not concerned at all,0.1774,737,12664,0.1685,0.18707
56,56,1997,Direct migration background,Urban regions,Very concerned,0.34477,727,12664,0.32139,0.37046
57,57,1997,Direct migration background,Urban regions,Somewhat concerned,0.47999,996,12664,0.44722,0.50798
58,58,1997,Direct migration background,Urban regions,Not concerned at all,0.17524,299,12664,0.15634,0.2023
59,59,1997,Direct migration background,Rural regions,Very concerned,0.35418,140,12664,0.30829,0.40326
60,60,1997,Direct migration background,Rural regions,Somewhat concerned,0.45664,207,12664,0.38962,0.51648
61,61,1997,Direct migration background,Rural regions,Not concerned at all,0.18918,80,12664,0.1503,0.2267
62,62,1997,Indirect migration background,Urban regions,Very concerned,0.34441,166,12664,0.29534,0.41373
63,63,1997,Indirect migration background,Urban regions,Somewhat concerned,0.4831,229,12664,0.41379,0.55822
64,64,1997,Indirect migration background,Urban regions,Not concerned at all,0.17248,81,12664,0.13562,0.21841
65,65,1997,Indirect migration background,Rural regions,Somewhat concerned,1.0,52,12664,0.8233,1.22809
66,66,1998,No migration background,Urban regions,Very concerned,0.28916,1893,13958,0.28129,0.29797
67,67,1998,No migration background,Urban regions,Somewhat concerned,0.513,3412,13958,0.50079,0.52334
68,68,1998,No migration background,Urban regions,Not concerned at all,0.19784,1336,13958,0.19133,0.20384
69,69,1998,No migration background,Rural regions,Very concerned,0.31578,1307,13958,0.30563,0.32822
70,70,1998,No migration background,Rural regions,Somewhat concerned,0.51292,2265,13958,0.4991,0.52864
71,71,1998,No migration background,Rural regions,Not concerned at all,0.17131,827,13958,0.16302,0.18038
72,72,1998,Direct migration background,Urban regions,Very concerned,0.37308,719,13958,0.35135,0.3966
73,73,1998,Direct migration background,Urban regions,Somewhat concerned,0.45056,919,13958,0.42698,0.47521
74,74,1998,Direct migration background,Urban regions,Not concerned at all,0.17636,319,13958,0.15836,0.19203
75,75,1998,Direct migration background,Rural regions,Very concerned,0.3493,128,13958,0.30582,0.39584
76,76,1998,Direct migration background,Rural regions,Somewhat concerned,0.5058,213,13958,0.4429,0.57649
77,77,1998,Direct migration background,Rural regions,Not concerned at all,0.1449,63,13958,0.11986,0.17481
78,78,1998,Indirect migration background,Urban regions,Very concerned,0.35139,173,13958,0.30336,0.39666
79,79,1998,Indirect migration background,Urban regions,Somewhat concerned,0.4721,255,13958,0.42282,0.53755
80,80,1998,Indirect migration background,Urban regions,Not concerned at all,0.17651,72,13958,0.13823,0.22253
81,81,1998,Indirect migration background,Rural regions,Somewhat concerned,1.0,57,13958,0.76669,1.25782
82,82,1999,No migration background,Urban regions,Very concerned,0.29362,1907,13570,0.28446,0.30297
83,83,1999,No migration background,Urban regions,Somewhat concerned,0.54981,3624,13570,0.53691,0.56241
84,84,1999,No migration background,Urban regions,Not concerned at all,0.15657,949,13570,0.14925,0.16451
85,85,1999,No migration background,Rural regions,Very concerned,0.29222,1219,13570,0.27949,0.30559
86,86,1999,No migration background,Rural regions,Somewhat concerned,0.56104,2497,13570,0.54525,0.57751
87,87,1999,No migration background,Rural regions,Not concerned at all,0.14674,617,13570,0.13796,0.1563
88,88,1999,Direct migration background,Urban regions,Very concerned,0.32481,600,13570,0.2998,0.35279
89,89,1999,Direct migration background,Urban regions,Somewhat concerned,0.49315,914,13570,0.46903,0.52296
90,90,1999,Direct migration background,Urban regions,Not concerned at all,0.18204,320,13570,0.16556,0.19977
91,91,1999,Direct migration background,Rural regions,Very concerned,0.32002,115,13570,0.26812,0.37251
92,92,1999,Direct migration background,Rural regions,Somewhat concerned,0.48508,173,13570,0.43893,0.53822
93,93,1999,Direct migration background,Rural regions,Not concerned at all,0.19489,74,13570,0.15773,0.23982
94,94,1999,Indirect migration background,Urban regions,Very concerned,0.39323,193,13570,0.34432,0.44707
95,95,1999,Indirect migration background,Urban regions,Somewhat concerned,0.47567,256,13570,0.42169,0.52697
96,96,1999,Indirect migration background,Urban regions,Not concerned at all,0.1311,66,13570,0.10196,0.15619
97,97,1999,Indirect migration background,Rural regions,Somewhat concerned,1.0,46,13570,0.70816,1.39546
98,98,2000,No migration background,Urban regions,Very concerned,0.32929,3953,23820,0.32408,0.33444
99,99,2000,No migration background,Urban regions,Somewhat concerned,0.49274,6132,23820,0.48671,0.49981
100,100,2000,No migration background,Urban regions,Not concerned at all,0.17797,2068,23820,0.17424,0.18204
101,101,2000,No migration background,Rural regions,Very concerned,0.28691,2231,23820,0.28048,0.29389
102,102,2000,No migration background,Rural regions,Somewhat concerned,0.54081,4151,23820,0.53094,0.55081
103,103,2000,No migration background,Rural regions,Not concerned at all,0.17227,1239,23820,0.16754,0.17695
104,104,2000,Direct migration background,Urban regions,Very concerned,0.33798,880,23820,0.32411,0.35334
105,105,2000,Direct migration background,Urban regions,Somewhat concerned,0.44738,1227,23820,0.43237,0.46638
106,106,2000,Direct migration background,Urban regions,Not concerned at all,0.21464,573,23820,0.20229,0.22845
107,107,2000,Direct migration background,Rural regions,Very concerned,0.27505,150,23820,0.24938,0.30104
108,108,2000,Direct migration background,Rural regions,Somewhat concerned,0.52812,311,23820,0.48508,0.57466
109,109,2000,Direct migration background,Rural regions,Not concerned at all,0.19683,119,23820,0.17244,0.21996
110,110,2000,Indirect migration background,Urban regions,Very concerned,0.36481,247,23820,0.33034,0.39836
111,111,2000,Indirect migration background,Urban regions,Somewhat concerned,0.45231,314,23820,0.41513,0.4877
112,112,2000,Indirect migration background,Urban regions,Not concerned at all,0.18288,130,23820,0.15807,0.20823
113,113,2000,Indirect migration background,Rural regions,Very concerned,0.44194,36,23820,0.37043,0.50648
114,114,2000,Indirect migration background,Rural regions,Somewhat concerned,0.55806,59,23820,0.4524,0.71282
115,115,2001,No migration background,Urban regions,Very concerned,0.35238,4015,21653,0.34479,0.35887
116,116,2001,No migration background,Urban regions,Somewhat concerned,0.48522,5394,21653,0.47799,0.49307
117,117,2001,No migration background,Urban regions,Not concerned at all,0.1624,1692,21653,0.15809,0.16641
118,118,2001,No migration background,Rural regions,Very concerned,0.34775,2480,21653,0.33874,0.35566
119,119,2001,No migration background,Rural regions,Somewhat concerned,0.49994,3454,21653,0.49054,0.51115
120,120,2001,No migration background,Rural regions,Not concerned at all,0.15231,996,21653,0.14728,0.15881
121,121,2001,Direct migration background,Urban regions,Very concerned,0.35549,841,21653,0.33563,0.37043
122,122,2001,Direct migration background,Urban regions,Somewhat concerned,0.44642,1068,21653,0.42821,0.46267
123,123,2001,Direct migration background,Urban regions,Not concerned at all,0.19809,466,21653,0.18662,0.21197
124,124,2001,Direct migration background,Rural regions,Very concerned,0.33607,165,21653,0.3047,0.37535
125,125,2001,Direct migration background,Rural regions,Somewhat concerned,0.493,258,21653,0.45035,0.5347
126,126,2001,Direct migration background,Rural regions,Not concerned at all,0.17093,89,21653,0.14203,0.20006
127,127,2001,Indirect migration background,Urban regions,Very concerned,0.44001,275,21653,0.39914,0.47278
128,128,2001,Indirect migration background,Urban regions,Somewhat concerned,0.40974,271,21653,0.3696,0.45234
129,129,2001,Indirect migration background,Urban regions,Not concerned at all,0.15025,108,21653,0.1305,0.17288
130,130,2001,Indirect migration background,Rural regions,Very concerned,0.48022,33,21653,0.3619,0.60717
131,131,2001,Indirect migration background,Rural regions,Somewhat concerned,0.51978,48,21653,0.42686,0.63261
132,132,2002,No migration background,Urban regions,Very concerned,0.27586,3421,22800,0.26976,0.28295
133,133,2002,No migration background,Urban regions,Somewhat concerned,0.53856,6640,22800,0.52692,0.54775
134,134,2002,No migration background,Urban regions,Not concerned at all,0.18558,2140,22800,0.18038,0.19082
135,135,2002,No migration background,Rural regions,Very concerned,0.27942,2014,22800,0.27032,0.28814
136,136,2002,No migration background,Rural regions,Somewhat concerned,0.56365,4030,22800,0.5501,0.57837
137,137,2002,No migration background,Rural regions,Not concerned at all,0.15693,1076,22800,0.15177,0.16241
138,138,2002,Direct migration background,Urban regions,Very concerned,0.2902,618,22800,0.27227,0.30754
139,139,2002,Direct migration background,Urban regions,Somewhat concerned,0.50329,1184,22800,0.47907,0.5271
140,140,2002,Direct migration background,Urban regions,Not concerned at all,0.2065,477,22800,0.19276,0.22046
141,141,2002,Direct migration background,Rural regions,Very concerned,0.26485,126,22800,0.23325,0.30199
142,142,2002,Direct migration background,Rural regions,Somewhat concerned,0.50773,254,22800,0.46116,0.54951
143,143,2002,Direct migration background,Rural regions,Not concerned at all,0.22742,105,22800,0.19756,0.25552
144,144,2002,Indirect migration background,Urban regions,Very concerned,0.32517,209,22800,0.2858,0.36845
145,145,2002,Indirect migration background,Urban regions,Somewhat concerned,0.53688,342,22800,0.49808,0.58916
146,146,2002,Indirect migration background,Urban regions,Not concerned at all,0.13795,113,22800,0.11829,0.1594
147,147,2002,Indirect migration background,Rural regions,Somewhat concerned,1.0,51,22800,0.79298,1.26063
148,148,2003,No migration background,Urban regions,Very concerned,0.22485,2620,21913,0.21831,0.2318
149,149,2003,No migration background,Urban regions,Somewhat concerned,0.55121,6621,21913,0.54154,0.56062
150,150,2003,No migration background,Urban regions,Not concerned at all,0.22394,2560,21913,0.21773,0.23027
151,151,2003,No migration background,Rural regions,Very concerned,0.23178,1571,21913,0.22266,0.23939
152,152,2003,No migration background,Rural regions,Somewhat concerned,0.57772,3974,21913,0.56493,0.59064
153,153,2003,No migration background,Rural regions,Not concerned at all,0.19049,1264,21913,0.18209,0.19754
154,154,2003,Direct migration background,Urban regions,Very concerned,0.25038,478,21913,0.23458,0.26786
155,155,2003,Direct migration background,Urban regions,Somewhat concerned,0.4873,1053,21913,0.45862,0.50738
156,156,2003,Direct migration background,Urban regions,Not concerned at all,0.26232,590,21913,0.24573,0.27865
157,157,2003,Direct migration background,Rural regions,Very concerned,0.23927,106,21913,0.20751,0.27386
158,158,2003,Direct migration background,Rural regions,Somewhat concerned,0.5019,240,21913,0.45651,0.5486
159,159,2003,Direct migration background,Rural regions,Not concerned at all,0.25883,116,21913,0.22737,0.28757
160,160,2003,Indirect migration background,Urban regions,Very concerned,0.26318,164,21913,0.22537,0.30581
161,161,2003,Indirect migration background,Urban regions,Somewhat concerned,0.48794,327,21913,0.4437,0.53236
162,162,2003,Indirect migration background,Urban regions,Not concerned at all,0.24888,171,21913,0.21507,0.28385
163,163,2003,Indirect migration background,Rural regions,Somewhat concerned,1.0,58,21913,0.81525,1.22388
164,164,2004,No migration background,Urban regions,Very concerned,0.23696,2691,21373,0.22978,0.24684
165,165,2004,No migration background,Urban regions,Somewhat concerned,0.53885,6288,21373,0.5294,0.55056
166,166,2004,No migration background,Urban regions,Not concerned at all,0.22418,2503,21373,0.21755,0.23074
167,167,2004,No migration background,Rural regions,Very concerned,0.22544,1516,21373,0.21702,0.23363
168,168,2004,No migration background,Rural regions,Somewhat concerned,0.55741,3765,21373,0.54365,0.57248
169,169,2004,No migration background,Rural regions,Not concerned at all,0.21714,1368,21373,0.20843,0.22577
170,170,2004,Direct migration background,Urban regions,Very concerned,0.25579,470,21373,0.23482,0.27315
171,171,2004,Direct migration background,Urban regions,Somewhat concerned,0.49447,1061,21373,0.4678,0.51487
172,172,2004,Direct migration background,Urban regions,Not concerned at all,0.24974,518,21373,0.23443,0.26611
173,173,2004,Direct migration background,Rural regions,Very concerned,0.25173,112,21373,0.21442,0.29231
174,174,2004,Direct migration background,Rural regions,Somewhat concerned,0.48823,214,21373,0.42735,0.54659
175,175,2004,Direct migration background,Rural regions,Not concerned at all,0.26004,111,21373,0.22649,0.29508
176,176,2004,Indirect migration background,Urban regions,Very concerned,0.24903,168,21373,0.21782,0.28904
177,177,2004,Indirect migration background,Urban regions,Somewhat concerned,0.52071,342,21373,0.47,0.57163
178,178,2004,Indirect migration background,Urban regions,Not concerned at all,0.23026,161,21373,0.19522,0.27029
179,179,2004,Indirect migration background,Rural regions,Very concerned,0.34751,33,21373,0.2526,0.44295
180,180,2004,Indirect migration background,Rural regions,Somewhat concerned,0.65249,52,21373,0.49792,0.79778
181,181,2005,No migration background,Urban regions,Very concerned,0.30358,3262,20509,0.29396,0.31217
182,182,2005,No migration background,Urban regions,Somewhat concerned,0.5115,5745,20509,0.49966,0.52326
183,183,2005,No migration background,Urban regions,Not concerned at all,0.18492,1995,20509,0.17818,0.19249
184,184,2005,No migration background,Rural regions,Very concerned,0.30441,1958,20509,0.29333,0.31618
185,185,2005,No migration background,Rural regions,Somewhat concerned,0.51807,3390,20509,0.50278,0.53611
186,186,2005,No migration background,Rural regions,Not concerned at all,0.17752,1033,20509,0.17017,0.18721
187,187,2005,Direct migration background,Urban regions,Very concerned,0.32126,584,20509,0.30074,0.34338
188,188,2005,Direct migration background,Urban regions,Somewhat concerned,0.47151,912,20509,0.44548,0.49677
189,189,2005,Direct migration background,Urban regions,Not concerned at all,0.20724,439,20509,0.19149,0.22082
190,190,2005,Direct migration background,Rural regions,Very concerned,0.29409,116,20509,0.25299,0.33582
191,191,2005,Direct migration background,Rural regions,Somewhat concerned,0.50644,216,20509,0.46404,0.56797
192,192,2005,Direct migration background,Rural regions,Not concerned at all,0.19947,75,20509,0.15952,0.23776
193,193,2005,Indirect migration background,Urban regions,Very concerned,0.3458,222,20509,0.29776,0.39483
194,194,2005,Indirect migration background,Urban regions,Somewhat concerned,0.48132,352,20509,0.4371,0.52119
195,195,2005,Indirect migration background,Urban regions,Not concerned at all,0.17288,134,20509,0.15016,0.20412
196,196,2005,Indirect migration background,Rural regions,Somewhat concerned,0.58167,45,20509,0.42717,0.74203
197,197,2005,Indirect migration background,Rural regions,Not concerned at all,0.41833,31,20509,0.32149,0.54559
198,198,2006,No migration background,Urban regions,Very concerned,0.28339,3241,21707,0.27494,0.29131
199,199,2006,No migration background,Urban regions,Somewhat concerned,0.52458,6297,21707,0.51511,0.53686
200,200,2006,No migration background,Urban regions,Not concerned at all,0.19203,2168,21707,0.18596,0.19803
201,201,2006,No migration background,Rural regions,Very concerned,0.27914,1880,21707,0.26934,0.29245
202,202,2006,No migration background,Rural regions,Somewhat concerned,0.54364,3833,21707,0.52924,0.55738
203,203,2006,No migration background,Rural regions,Not concerned at all,0.17721,1192,21707,0.16973,0.18663
204,204,2006,Direct migration background,Urban regions,Very concerned,0.31325,568,21707,0.29287,0.33546
205,205,2006,Direct migration background,Urban regions,Somewhat concerned,0.47454,943,21707,0.45034,0.50262
206,206,2006,Direct migration background,Urban regions,Not concerned at all,0.21222,412,21707,0.19932,0.22822
207,207,2006,Direct migration background,Rural regions,Very concerned,0.29654,123,21707,0.26001,0.33946
208,208,2006,Direct migration background,Rural regions,Somewhat concerned,0.4366,193,21707,0.39433,0.47797
209,209,2006,Direct migration background,Rural regions,Not concerned at all,0.26686,107,21707,0.23303,0.30418
210,210,2006,Indirect migration background,Urban regions,Very concerned,0.31937,209,21707,0.27324,0.36024
211,211,2006,Indirect migration background,Urban regions,Somewhat concerned,0.49013,340,21707,0.4477,0.53652
212,212,2006,Indirect migration background,Urban regions,Not concerned at all,0.1905,133,21707,0.16475,0.21186
213,213,2006,Indirect migration background,Rural regions,Somewhat concerned,1.0,68,21707,0.76683,1.27703
214,214,2007,No migration background,Urban regions,Very concerned,0.27262,2955,20291,0.26435,0.28012
215,215,2007,No migration background,Urban regions,Somewhat concerned,0.53423,5936,20291,0.52189,0.54744
216,216,2007,No migration background,Urban regions,Not concerned at all,0.19315,2055,20291,0.18601,0.1998
217,217,2007,No migration background,Rural regions,Very concerned,0.2756,1761,20291,0.26398,0.28615
218,218,2007,No migration background,Rural regions,Somewhat concerned,0.52837,3518,20291,0.514,0.54205
219,219,2007,No migration background,Rural regions,Not concerned at all,0.19603,1232,20291,0.18701,0.20534
220,220,2007,Direct migration background,Urban regions,Very concerned,0.2918,484,20291,0.27204,0.31411
221,221,2007,Direct migration background,Urban regions,Somewhat concerned,0.48665,836,20291,0.46354,0.51007
222,222,2007,Direct migration background,Urban regions,Not concerned at all,0.22156,377,20291,0.2045,0.24124
223,223,2007,Direct migration background,Rural regions,Very concerned,0.24173,90,20291,0.20327,0.27135
224,224,2007,Direct migration background,Rural regions,Somewhat concerned,0.51343,212,20291,0.4558,0.58361
225,225,2007,Direct migration background,Rural regions,Not concerned at all,0.24484,88,20291,0.20469,0.28631
226,226,2007,Indirect migration background,Urban regions,Very concerned,0.28515,192,20291,0.24998,0.3286
227,227,2007,Indirect migration background,Urban regions,Somewhat concerned,0.48419,312,20291,0.43648,0.53909
228,228,2007,Indirect migration background,Urban regions,Not concerned at all,0.23066,151,20291,0.19852,0.2653
229,229,2007,Indirect migration background,Rural regions,Very concerned,0.35982,33,20291,0.24183,0.48741
230,230,2007,Indirect migration background,Rural regions,Somewhat concerned,0.64018,59,20291,0.5008,0.78655
231,231,2008,No migration background,Urban regions,Very concerned,0.233,2411,19168,0.22533,0.24057
232,232,2008,No migration background,Urban regions,Somewhat concerned,0.55295,5799,19168,0.54137,0.56583
233,233,2008,No migration background,Urban regions,Not concerned at all,0.21405,2188,19168,0.20592,0.22201
234,234,2008,No migration background,Rural regions,Very concerned,0.24,1390,19168,0.23025,0.25407
235,235,2008,No migration background,Rural regions,Somewhat concerned,0.55383,3493,19168,0.53763,0.5675
236,236,2008,No migration background,Rural regions,Not concerned at all,0.20617,1255,19168,0.1972,0.21565
237,237,2008,Direct migration background,Urban regions,Very concerned,0.27026,402,19168,0.24591,0.29136
238,238,2008,Direct migration background,Urban regions,Somewhat concerned,0.50885,772,19168,0.48163,0.53995
239,239,2008,Direct migration background,Urban regions,Not concerned at all,0.22088,367,19168,0.20101,0.2413
240,240,2008,Direct migration background,Rural regions,Very concerned,0.22478,81,19168,0.18996,0.25772
241,241,2008,Direct migration background,Rural regions,Somewhat concerned,0.51153,181,19168,0.45688,0.56836
242,242,2008,Direct migration background,Rural regions,Not concerned at all,0.26369,86,19168,0.21474,0.30934
243,243,2008,Indirect migration background,Urban regions,Very concerned,0.26915,179,19168,0.2334,0.30834
244,244,2008,Indirect migration background,Urban regions,Somewhat concerned,0.48875,326,19168,0.43447,0.5373
245,245,2008,Indirect migration background,Urban regions,Not concerned at all,0.2421,144,19168,0.20376,0.28414
246,246,2008,Indirect migration background,Rural regions,Somewhat concerned,0.63697,59,19168,0.49975,0.77357
247,247,2008,Indirect migration background,Rural regions,Not concerned at all,0.36303,35,19168,0.25009,0.4881
248,248,2009,No migration background,Urban regions,Very concerned,0.19681,1877,17862,0.18889,0.20438
249,249,2009,No migration background,Urban regions,Somewhat concerned,0.58126,5583,17862,0.56539,0.59634
250,250,2009,No migration background,Urban regions,Not concerned at all,0.22193,2217,17862,0.21418,0.22965
251,251,2009,No migration background,Rural regions,Very concerned,0.1954,1097,17862,0.18378,0.20579
252,252,2009,No migration background,Rural regions,Somewhat concerned,0.58635,3508,17862,0.56801,0.60475
253,253,2009,No migration background,Rural regions,Not concerned at all,0.21825,1259,17862,0.20686,0.22815
254,254,2009,Direct migration background,Urban regions,Very concerned,0.2276,279,17862,0.20574,0.24574
255,255,2009,Direct migration background,Urban regions,Somewhat concerned,0.50044,653,17862,0.46972,0.53533
256,256,2009,Direct migration background,Urban regions,Not concerned at all,0.27196,396,17862,0.24565,0.29205
257,257,2009,Direct migration background,Rural regions,Very concerned,0.21375,65,17862,0.16425,0.27299
258,258,2009,Direct migration background,Rural regions,Somewhat concerned,0.4576,158,17862,0.3927,0.52192
259,259,2009,Direct migration background,Rural regions,Not concerned at all,0.32865,92,17862,0.28638,0.38385
260,260,2009,Indirect migration background,Urban regions,Very concerned,0.2777,150,17862,0.2297,0.32334
261,261,2009,Indirect migration background,Urban regions,Somewhat concerned,0.50317,294,17862,0.44871,0.5758
262,262,2009,Indirect migration background,Urban regions,Not concerned at all,0.21912,140,17862,0.18426,0.25838
263,263,2009,Indirect migration background,Rural regions,Somewhat concerned,0.66743,61,17862,0.495,0.90267
264,264,2009,Indirect migration background,Rural regions,Not concerned at all,0.33257,33,17862,0.2345,0.44788
265,265,2010,No migration background,Urban regions,Very concerned,0.20146,2566,23787,0.19147,0.21155
266,266,2010,No migration background,Urban regions,Somewhat concerned,0.57474,7111,23787,0.55822,0.58946
267,267,2010,No migration background,Urban regions,Not concerned at all,0.2238,2627,23787,0.21346,0.23464
268,268,2010,No migration background,Rural regions,Very concerned,0.20946,1572,23787,0.1967,0.22275
269,269,2010,No migration background,Rural regions,Somewhat concerned,0.57334,4293,23787,0.55238,0.59691
270,270,2010,No migration background,Rural regions,Not concerned at all,0.2172,1602,23787,0.20584,0.22944
271,271,2010,Direct migration background,Urban regions,Very concerned,0.22556,561,23787,0.19855,0.25262
272,272,2010,Direct migration background,Urban regions,Somewhat concerned,0.48082,1112,23787,0.44769,0.52263
273,273,2010,Direct migration background,Urban regions,Not concerned at all,0.29362,620,23787,0.26237,0.32633
274,274,2010,Direct migration background,Rural regions,Very concerned,0.21407,142,23787,0.16508,0.26746
275,275,2010,Direct migration background,Rural regions,Somewhat concerned,0.50297,322,23787,0.41996,0.56844
276,276,2010,Direct migration background,Rural regions,Not concerned at all,0.28296,159,23787,0.2285,0.34897
277,277,2010,Indirect migration background,Urban regions,Very concerned,0.21394,225,23787,0.17051,0.25934
278,278,2010,Indirect migration background,Urban regions,Somewhat concerned,0.5301,456,23787,0.46917,0.6077
279,279,2010,Indirect migration background,Urban regions,Not concerned at all,0.25596,223,23787,0.21636,0.30708
280,280,2010,Indirect migration background,Rural regions,Very concerned,0.1672,60,23787,0.12463,0.21161
281,281,2010,Indirect migration background,Rural regions,Somewhat concerned,0.53709,97,23787,0.36123,0.72053
282,282,2010,Indirect migration background,Rural regions,Not concerned at all,0.29571,39,23787,0.18698,0.41675
283,283,2011,No migration background,Urban regions,Very concerned,0.18783,2072,20382,0.1809,0.19451
284,284,2011,No migration background,Urban regions,Somewhat concerned,0.55251,6176,20382,0.53887,0.56749
285,285,2011,No migration background,Urban regions,Not concerned at all,0.25966,2798,20382,0.25112,0.27169
286,286,2011,No migration background,Rural regions,Very concerned,0.19763,1217,20382,0.18674,0.20886
287,287,2011,No migration background,Rural regions,Somewhat concerned,0.5519,3770,20382,0.53664,0.57074
288,288,2011,No migration background,Rural regions,Not concerned at all,0.25047,1652,20382,0.23994,0.26295
289,289,2011,Direct migration background,Urban regions,Very concerned,0.1911,289,20382,0.17449,0.21462
290,290,2011,Direct migration background,Urban regions,Somewhat concerned,0.49178,749,20382,0.45519,0.52685
