year,regtyp,plj0047,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Rural regions,Somewhat concerned,0.57389,4259,7344,0.56257,0.58520
2003,Rural regions,Not concerned at all,0.19371,1391,7344,0.18467,0.20275
2004,Urban regions,Very concerned,0.24007,3330,14225,0.23305,0.24709
2004,Urban regions,Somewhat concerned,0.53126,7708,14225,0.52306,0.53947
2004,Urban regions,Not concerned at all,0.22867,3187,14225,0.22176,0.23557
2004,Rural regions,Very concerned,0.22881,1660,7175,0.21909,0.23853
2004,Rural regions,Somewhat concerned,0.55109,4014,7175,0.53958,0.56260
2004,Rural regions,Not concerned at all,0.22010,1501,7175,0.21051,0.22969
2005,Urban regions,Very concerned,0.30767,4069,13673,0.29994,0.31541
2005,Urban regions,Somewhat concerned,0.50347,7021,13673,0.49509,0.51185
2005,Urban regions,Not concerned at all,0.18886,2583,13673,0.18230,0.19542
2005,Rural regions,Very concerned,0.30552,2101,6864,0.29462,0.31642
2005,Rural regions,Somewhat concerned,0.51588,3639,6864,0.50406,0.52771
2005,Rural regions,Not concerned at all,0.17860,1124,6864,0.16954,0.18766
2006,Urban regions,Very concerned,0.28959,4026,14359,0.28217,0.29701
2006,Urban regions,Somewhat concerned,0.51459,7601,14359,0.50642,0.52277
2006,Urban regions,Not concerned at all,0.19582,2732,14359,0.18933,0.20231
2006,Rural regions,Very concerned,0.28070,2021,7397,0.27046,0.29094
2006,Rural regions,Somewhat concerned,0.53625,4073,7397,0.52489,0.54762
2006,Rural regions,Not concerned at all,0.18305,1303,7397,0.17423,0.19186
2007,Urban regions,Very concerned,0.27524,3632,13344,0.26766,0.28282
2007,Urban regions,Somewhat concerned,0.52395,7110,13344,0.51548,0.53243
2007,Urban regions,Not concerned at all,0.20081,2602,13344,0.19401,0.20760
2007,Rural regions,Very concerned,0.27537,1883,6967,0.26488,0.28586
2007,Rural regions,Somewhat concerned,0.52768,3763,6967,0.51595,0.53940
2007,Rural regions,Not concerned at all,0.19696,1321,6967,0.18762,0.20630
2008,Urban regions,Very concerned,0.24067,3000,12626,0.23321,0.24812
2008,Urban regions,Somewhat concerned,0.54317,6921,12626,0.53448,0.55186
2008,Urban regions,Not concerned at all,0.21617,2705,12626,0.20899,0.22335
2008,Rural regions,Very concerned,0.23842,1482,6561,0.22811,0.24873
2008,Rural regions,Somewhat concerned,0.54809,3709,6561,0.53605,0.56013
2008,Rural regions,Not concerned at all,0.21349,1370,6561,0.20358,0.22341
2009,Urban regions,Very concerned,0.20558,2309,11624,0.19823,0.21293
2009,Urban regions,Somewhat concerned,0.56484,6548,11624,0.55582,0.57385
2009,Urban regions,Not concerned at all,0.22958,2767,11624,0.22194,0.23723
2009,Rural regions,Very concerned,0.19907,1180,6259,0.18918,0.20897
2009,Rural regions,Somewhat concerned,0.57473,3709,6259,0.56248,0.58697
2009,Rural regions,Not concerned at all,0.22620,1370,6259,0.21583,0.23657
2010,Urban regions,Very concerned,0.20577,3356,15549,0.19942,0.21213
2010,Urban regions,Somewhat concerned,0.55742,8706,15549,0.54962,0.56523
2010,Urban regions,Not concerned at all,0.23680,3487,15549,0.23012,0.24348
2010,Rural regions,Very concerned,0.20977,1770,8238,0.20098,0.21856
2010,Rural regions,Somewhat concerned,0.56612,4685,8238,0.55542,0.57683
2010,Rural regions,Not concerned at all,0.22411,1783,8238,0.21510,0.23311
2011,Urban regions,Very concerned,0.18949,2497,13238,0.18281,0.19616
2011,Urban regions,Somewhat concerned,0.54099,7254,13238,0.53250,0.54948
2011,Urban regions,Not concerned at all,0.26953,3487,13238,0.26197,0.27709
2011,Rural regions,Very concerned,0.20099,1340,7200,0.19173,0.21024
2011,Rural regions,Somewhat concerned,0.54400,4047,7200,0.53249,0.55550
2011,Rural regions,Not concerned at all,0.25502,1813,7200,0.24495,0.26509
2012,Urban regions,Very concerned,0.21856,2793,12978,0.21145,0.22567
2012,Urban regions,Somewhat concerned,0.55643,7317,12978,0.54788,0.56497
2012,Urban regions,Not concerned at all,0.22501,2868,12978,0.21782,0.23219
2012,Rural regions,Very concerned,0.19901,1378,7368,0.18989,0.20812
2012,Rural regions,Somewhat concerned,0.54650,4164,7368,0.53513,0.55786
2012,Rural regions,Not concerned at all,0.25450,1826,7368,0.24455,0.26444
2013,Urban regions,Very concerned,0.18991,2897,15826,0.18380,0.19602
2013,Urban regions,Somewhat concerned,0.54514,8141,15826,0.53738,0.55290
2013,Urban regions,Not concerned at all,0.26496,4788,15826,0.25808,0.27183
2013,Rural regions,Very concerned,0.17661,1322,7837,0.16817,0.18505
2013,Rural regions,Somewhat concerned,0.53421,4127,7837,0.52317,0.54526
2013,Rural regions,Not concerned at all,0.28918,2388,7837,0.27914,0.29922
2014,Urban regions,Very concerned,0.21769,3979,17561,0.21158,0.22379
2014,Urban regions,Somewhat concerned,0.55463,9637,17561,0.54728,0.56198
2014,Urban regions,Not concerned at all,0.22768,3945,17561,0.22148,0.23389
2014,Rural regions,Very concerned,0.20128,1896,9338,0.19315,0.20941
2014,Rural regions,Somewhat concerned,0.54568,5164,9338,0.53558,0.55578
2014,Rural regions,Not concerned at all,0.25304,2278,9338,0.24422,0.26186
2015,Urban regions,Very concerned,0.34332,5770,17374,0.33626,0.35038
2015,Urban regions,Somewhat concerned,0.50257,8634,17374,0.49514,0.51001
2015,Urban regions,Not concerned at all,0.15411,2970,17374,0.14874,0.15948
2015,Rural regions,Very concerned,0.32196,2866,9189,0.31240,0.33151
2015,Rural regions,Somewhat concerned,0.50720,4651,9189,0.49698,0.51743
2015,Rural regions,Not concerned at all,0.17084,1672,9189,0.16314,0.17854
2016,Urban regions,Very concerned,0.47968,7674,17731,0.47233,0.48704
2016,Urban regions,Somewhat concerned,0.41144,6866,17731,0.40420,0.41868
2016,Urban regions,Not concerned at all,0.10888,3191,17731,0.10429,0.11346
2016,Rural regions,Very concerned,0.44181,3873,9303,0.43171,0.45190
2016,Rural regions,Somewhat concerned,0.42994,3816,9303,0.41988,0.44000
2016,Rural regions,Not concerned at all,0.12826,1614,9303,0.12146,0.13505
2017,Urban regions,Very concerned,0.42075,7255,19810,0.41387,0.42762
2017,Urban regions,Somewhat concerned,0.46034,8560,19810,0.45339,0.46728
2017,Urban regions,Not concerned at all,0.11892,3995,19810,0.11441,0.12342
2017,Rural regions,Very concerned,0.40709,3818,10475,0.39768,0.41650
2017,Rural regions,Somewhat concerned,0.46710,4613,10475,0.45754,0.47665
2017,Rural regions,Not concerned at all,0.12581,2044,10475,0.11946,0.13216
2018,Urban regions,Very concerned,0.34198,5943,19160,0.33526,0.34869
2018,Urban regions,Somewhat concerned,0.52387,9324,19160,0.51680,0.53095
2018,Urban regions,Not concerned at all,0.13415,3893,19160,0.12932,0.13898
2018,Rural regions,Very concerned,0.32182,2963,9878,0.31261,0.33104
2018,Rural regions,Somewhat concerned,0.51527,4832,9878,0.50541,0.52513
2018,Rural regions,Not concerned at all,0.16291,2083,9878,0.15562,0.17019
2019,No answer / don't know,Very concerned,0.59646,330,553,0.55553,0.63738
2019,No answer / don't know,Somewhat concerned,0.32758,183,553,0.28843,0.36673
2019,No answer / don't know,Not concerned at all,0.07596,40,553,0.05386,0.09806
2019,Urban regions,Very concerned,0.37311,6563,18726,0.36618,0.38003
2019,Urban regions,Somewhat concerned,0.49818,8493,18726,0.49102,0.50534
2019,Urban regions,Not concerned at all,0.12871,3670,18726,0.12391,0.13351
2019,Rural regions,Very concerned,0.34677,3213,9633,0.33727,0.35628
2019,Rural regions,Somewhat concerned,0.50914,4670,9633,0.49915,0.51912
2019,Rural regions,Not concerned at all,0.14409,1750,9633,0.13708,0.15111
2020,Urban regions,Very concerned,0.37238,6219,19836,0.36565,0.37911
2020,Urban regions,Somewhat concerned,0.49430,9073,19836,0.48734,0.50126
2020,Urban regions,Not concerned at all,0.13332,4544,19836,0.12859,0.13805
2020,Rural regions,Very concerned,0.33864,2847,9372,0.32906,0.34822
2020,Rural regions,Somewhat concerned,0.51352,4613,9372,0.50340,0.52364
2020,Rural regions,Not concerned at all,0.14784,1912,9372,0.14066,0.15503
2021,Urban regions,Very concerned,0.36815,4351,13225,0.35993,0.37637
2021,Urban regions,Somewhat concerned,0.50442,6159,13225,0.49590,0.51294
2021,Urban regions,Not concerned at all,0.12743,2715,13225,0.12175,0.13311
2021,Rural regions,Very concerned,0.32499,1953,6205,0.31334,0.33665
2021,Rural regions,Somewhat concerned,0.53189,3159,6205,0.51947,0.54431
2021,Rural regions,Not concerned at all,0.14311,1093,6205,0.13440,0.15183
2022,Urban regions,Very concerned,0.30515,5394,17607,0.29835,0.31195
2022,Urban regions,Somewhat concerned,0.54126,9478,17607,0.53390,0.54862
2022,Urban regions,Not concerned at all,0.15359,2735,17607,0.14827,0.15892
2022,Rural regions,Very concerned,0.30847,2520,8353,0.29856,0.31837
2022,Rural regions,Somewhat concerned,0.54416,4553,8353,0.53348,0.55485
2022,Rural regions,Not concerned at all,0.14737,1280,8353,0.13977,0.15497
