"ple0013","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Ja","2017","17-34","weiblich","235","0.0835523507170439","0.074076694151386","0.0930280072827019"
"Ja","2017","35-65","maennlich","418","0.0625925297250343","0.0568787544310456","0.0683063050190231"
"Ja","2017","35-65","weiblich","600","0.0743113799312294","0.0687369996763332","0.0798857601861257"
"Ja","2017","66 +","maennlich","106","0.0478498446146731","0.0394013205527404","0.0562983686766058"
"Ja","2017","66 +","weiblich","164","0.0759029349456166","0.0655378609948437","0.0862680088963895"
"Nein","2017","17-34","maennlich","2698","0.942235782091554","0.933752102304109","0.950719461878998"
"Nein","2017","17-34","weiblich","3041","0.916447649282956","0.906971992717298","0.925923305848614"
"Nein","2017","35-65","maennlich","6486","0.937407470274966","0.931693694980977","0.943121245568954"
"Nein","2017","35-65","weiblich","7904","0.925688620068771","0.920114239813874","0.931263000323667"
"Nein","2017","66 +","maennlich","2346","0.952150155385327","0.943701631323394","0.96059867944726"
"Nein","2017","66 +","weiblich","2344","0.924097065054383","0.913731991103611","0.934462139005156"
"Ja","2018","17-34","maennlich","","","",""
"Ja","2018","17-34","weiblich","","","",""
"Ja","2018","35-65","maennlich","","","",""
"Ja","2018","35-65","weiblich","","","",""
"Ja","2018","66 +","maennlich","","","",""
"Ja","2018","66 +","weiblich","","","",""
"Nein","2018","17-34","maennlich","","","",""
"Nein","2018","17-34","weiblich","","","",""
"Nein","2018","35-65","maennlich","","","",""
"Nein","2018","35-65","weiblich","","","",""
"Nein","2018","66 +","maennlich","","","",""
"Nein","2018","66 +","weiblich","","","",""
"Ja","2019","17-34","maennlich","194","0.0666300118410988","0.0570035100513191","0.0762565136308785"
"Ja","2019","17-34","weiblich","216","0.0830108347983467","0.0728798571029535","0.0931418124937398"
"Ja","2019","35-65","maennlich","480","0.0682475488850888","0.062384422032451","0.0741106757377266"
"Ja","2019","35-65","weiblich","626","0.0819759710125197","0.0759859034833364","0.0879660385417029"
"Ja","2019","66 +","maennlich","146","0.0597882541402743","0.0507492563209541","0.0688272519595945"
"Ja","2019","66 +","weiblich","182","0.073051548992268","0.0630279295017346","0.0830751684828014"
"Nein","2019","17-34","maennlich","2384","0.933369988158901","0.923743486369121","0.942996489948681"
"Nein","2019","17-34","weiblich","2633","0.916989165201653","0.90685818750626","0.927120142897046"
"Nein","2019","35-65","maennlich","6626","0.931752451114911","0.925889324262273","0.937615577967549"
"Nein","2019","35-65","weiblich","7431","0.91802402898748","0.912033961458297","0.924014096516664"
"Nein","2019","66 +","maennlich","2497","0.940211745859726","0.931172748040406","0.949250743679046"
"Nein","2019","66 +","weiblich","2407","0.926948451007732","0.916924831517199","0.936972070498265"
