year,quintil_oecd,sex,plj0587,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,4th Quintile,female,Often,0.14171,272,1676,0.12501,0.15841
2021,4th Quintile,female,Sometimes,0.31777,626,1676,0.29547,0.34006
2021,4th Quintile,female,Seldom,0.25223,512,1676,0.23143,0.27303
2021,4th Quintile,female,Never,0.09340,177,1676,0.07947,0.10734
2021,5th Quintile,male,Very often,0.03193,73,2269,0.02469,0.03916
2021,5th Quintile,male,Often,0.10192,253,2269,0.08947,0.11437
2021,5th Quintile,male,Sometimes,0.31502,800,2269,0.29591,0.33414
2021,5th Quintile,male,Seldom,0.32604,842,2269,0.30675,0.34533
2021,5th Quintile,male,Never,0.10409,301,2269,0.09152,0.11666
2021,5th Quintile,female,Very often,0.03089,91,2017,0.02334,0.03844
2021,5th Quintile,female,Often,0.12279,298,2017,0.10846,0.13712
2021,5th Quintile,female,Sometimes,0.35142,758,2017,0.33058,0.37226
2021,5th Quintile,female,Seldom,0.27930,619,2017,0.25971,0.29888
2021,5th Quintile,female,Never,0.10277,251,2017,0.08952,0.11603
2022,1st Quintile,male,Very often,0.01288,120,771,0.00492,0.02085
2022,1st Quintile,male,Often,0.01186,139,771,0.00421,0.01950
2022,1st Quintile,male,Sometimes,0.02223,286,771,0.01181,0.03264
2022,1st Quintile,male,Seldom,0.00907,97,771,0.00237,0.01577
2022,1st Quintile,male,Never,0.00897,129,771,0.00231,0.01563
2022,1st Quintile,female,Very often,0.00435,98,615,-0.00086,0.00955
2022,1st Quintile,female,Often,0.00617,106,615,-0.00002,0.01236
2022,1st Quintile,female,Sometimes,0.01258,260,615,0.00376,0.02139
2022,1st Quintile,female,Seldom,0.00461,63,615,-0.00075,0.00997
2022,1st Quintile,female,Never,0.00303,88,615,-0.00132,0.00738
2022,2nd Quintile,male,Sometimes,0.00750,74,107,-0.00892,0.02392
2022,2nd Quintile,male,Never,0.00237,33,107,-0.00688,0.01162
2022,2nd Quintile,female,Sometimes,0.00211,38,38,-0.01267,0.01689
