year,quintil_oecd,regtyp,plj0587,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,2nd Quintile,Urban regions,Often,0.09482,261,2906,0.08417,0.10548
2017,2nd Quintile,Urban regions,Sometimes,0.31753,934,2906,0.30060,0.33445
2017,2nd Quintile,Urban regions,Seldom,0.36233,1017,2906,0.34485,0.37981
2017,2nd Quintile,Urban regions,Never,0.20215,619,2906,0.18754,0.21675
2017,2nd Quintile,Rural regions,Very often,0.02251,35,1873,0.01579,0.02923
2017,2nd Quintile,Rural regions,Often,0.08370,145,1873,0.07116,0.09625
2017,2nd Quintile,Rural regions,Sometimes,0.34481,598,1873,0.32328,0.36634
2017,2nd Quintile,Rural regions,Seldom,0.36634,686,1873,0.34451,0.38816
2017,2nd Quintile,Rural regions,Never,0.18264,409,1873,0.16514,0.20014
2017,3rd Quintile,Urban regions,Very often,0.01966,41,2680,0.01440,0.02492
2017,3rd Quintile,Urban regions,Often,0.07076,194,2680,0.06105,0.08047
2017,3rd Quintile,Urban regions,Sometimes,0.34047,877,2680,0.32252,0.35841
2017,3rd Quintile,Urban regions,Seldom,0.37217,1013,2680,0.35386,0.39047
2017,3rd Quintile,Urban regions,Never,0.19694,555,2680,0.18188,0.21200
2017,3rd Quintile,Rural regions,Often,0.09329,151,1707,0.07949,0.10709
2017,3rd Quintile,Rural regions,Sometimes,0.31647,558,1707,0.29440,0.33854
2017,3rd Quintile,Rural regions,Seldom,0.39124,673,1707,0.36808,0.41439
2017,3rd Quintile,Rural regions,Never,0.18992,325,1707,0.17131,0.20854
2017,4th Quintile,Urban regions,Often,0.05438,159,2801,0.04599,0.06278
2017,4th Quintile,Urban regions,Sometimes,0.29511,838,2801,0.27822,0.31200
2017,4th Quintile,Urban regions,Seldom,0.43312,1215,2801,0.41477,0.45148
2017,4th Quintile,Urban regions,Never,0.20378,589,2801,0.18886,0.21870
2017,4th Quintile,Rural regions,Often,0.06495,92,1511,0.05252,0.07738
2017,4th Quintile,Rural regions,Sometimes,0.33161,494,1511,0.30787,0.35536
2017,4th Quintile,Rural regions,Seldom,0.43014,643,1511,0.40517,0.45511
2017,4th Quintile,Rural regions,Never,0.16592,282,1511,0.14716,0.18468
2017,5th Quintile,Urban regions,Often,0.04733,180,3393,0.04018,0.05447
2017,5th Quintile,Urban regions,Sometimes,0.27136,907,3393,0.25639,0.28632
2017,5th Quintile,Urban regions,Seldom,0.46503,1572,3393,0.44825,0.48182
2017,5th Quintile,Urban regions,Never,0.20607,734,3393,0.19246,0.21968
2017,5th Quintile,Rural regions,Often,0.05684,64,1122,0.04328,0.07039
2017,5th Quintile,Rural regions,Sometimes,0.34429,377,1122,0.31648,0.37210
2017,5th Quintile,Rural regions,Seldom,0.43134,471,1122,0.40235,0.46034
2017,5th Quintile,Rural regions,Never,0.16043,210,1122,0.13895,0.18192
2021,1st Quintile,Urban regions,Very often,0.06529,416,3330,0.05690,0.07368
2021,1st Quintile,Urban regions,Often,0.17451,630,3330,0.16162,0.18740
2021,1st Quintile,Urban regions,Sometimes,0.35625,1177,3330,0.33998,0.37252
2021,1st Quintile,Urban regions,Seldom,0.27622,683,3330,0.26103,0.29141
2021,1st Quintile,Urban regions,Never,0.12773,424,3330,0.11639,0.13907
2021,1st Quintile,Rural regions,Very often,0.07009,146,1451,0.05695,0.08323
2021,1st Quintile,Rural regions,Often,0.18354,271,1451,0.16361,0.20346
2021,1st Quintile,Rural regions,Sometimes,0.30203,489,1451,0.27840,0.32566
2021,1st Quintile,Rural regions,Seldom,0.33469,371,1451,0.31040,0.35897
2021,1st Quintile,Rural regions,Never,0.10966,174,1451,0.09357,0.12574
2021,2nd Quintile,Urban regions,Very often,0.05545,157,2193,0.04587,0.06503
2021,2nd Quintile,Urban regions,Often,0.16348,372,2193,0.14800,0.17897
2021,2nd Quintile,Urban regions,Sometimes,0.37786,801,2193,0.35756,0.39816
2021,2nd Quintile,Urban regions,Seldom,0.31815,636,2193,0.29865,0.33765
2021,2nd Quintile,Urban regions,Never,0.08505,227,2193,0.07337,0.09673
2021,2nd Quintile,Rural regions,Very often,0.04303,69,1358,0.03223,0.05383
2021,2nd Quintile,Rural regions,Often,0.16868,213,1358,0.14876,0.18861
2021,2nd Quintile,Rural regions,Sometimes,0.36808,486,1358,0.34242,0.39374
2021,2nd Quintile,Rural regions,Seldom,0.32057,427,1358,0.29573,0.34540
2021,2nd Quintile,Rural regions,Never,0.09965,163,1358,0.08371,0.11559
2021,3rd Quintile,Urban regions,Very often,0.04099,117,2013,0.03232,0.04965
2021,3rd Quintile,Urban regions,Often,0.16955,332,2013,0.15315,0.18595
2021,3rd Quintile,Urban regions,Sometimes,0.34039,711,2013,0.31969,0.36110
2021,3rd Quintile,Urban regions,Seldom,0.35433,643,2013,0.33343,0.37523
2021,3rd Quintile,Urban regions,Never,0.09475,210,2013,0.08195,0.10754
2021,3rd Quintile,Rural regions,Very often,0.03937,43,1135,0.02805,0.05069
2021,3rd Quintile,Rural regions,Often,0.14058,169,1135,0.12034,0.16081
2021,3rd Quintile,Rural regions,Sometimes,0.35814,423,1135,0.33023,0.38605
2021,3rd Quintile,Rural regions,Seldom,0.35807,382,1135,0.33017,0.38598
2021,3rd Quintile,Rural regions,Never,0.10384,118,1135,0.08608,0.12159
2021,4th Quintile,Urban regions,Very often,0.04068,92,2120,0.03227,0.04909
2021,4th Quintile,Urban regions,Often,0.14674,321,2120,0.13168,0.16181
2021,4th Quintile,Urban regions,Sometimes,0.37587,809,2120,0.35525,0.39649
2021,4th Quintile,Urban regions,Seldom,0.32773,671,2120,0.30774,0.34771
2021,4th Quintile,Urban regions,Never,0.10898,227,2120,0.09571,0.12225
2021,4th Quintile,Rural regions,Very often,0.04894,47,1082,0.03608,0.06180
2021,4th Quintile,Rural regions,Often,0.13724,164,1082,0.11672,0.15775
2021,4th Quintile,Rural regions,Sometimes,0.36662,355,1082,0.33790,0.39535
2021,4th Quintile,Rural regions,Seldom,0.34510,395,1082,0.31676,0.37344
2021,4th Quintile,Rural regions,Never,0.10211,121,1082,0.08406,0.12016
2021,5th Quintile,Urban regions,Very often,0.03941,130,3171,0.03264,0.04618
2021,5th Quintile,Urban regions,Often,0.12055,407,3171,0.10921,0.13188
2021,5th Quintile,Urban regions,Sometimes,0.37232,1143,3171,0.35549,0.38915
2021,5th Quintile,Urban regions,Seldom,0.35919,1078,3171,0.34249,0.37589
2021,5th Quintile,Urban regions,Never,0.10853,413,3171,0.09770,0.11936
2021,5th Quintile,Rural regions,Very often,0.02498,34,1115,0.01582,0.03415
2021,5th Quintile,Rural regions,Often,0.14192,144,1115,0.12143,0.16241
2021,5th Quintile,Rural regions,Sometimes,0.38448,415,1115,0.35591,0.41304
2021,5th Quintile,Rural regions,Seldom,0.30673,383,1115,0.27965,0.33381
2021,5th Quintile,Rural regions,Never,0.14189,139,1115,0.12140,0.16238
