"ple0009","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nicht eingeschraenkt","2016","Staedtischer Raum","1633","","",""
"Nein, nicht eingeschraenkt","2016","Laendlicher Raum","649","0.806769552115394","0.780381253175779","0.833157851055009"
"Ja, stark eingeschraenkt","2017","Staedtischer Raum","1440","","",""
"Ja, stark eingeschraenkt","2017","Laendlicher Raum","927","0.108766306737152","0.102649650430321","0.114882963043983"
"Ja, etwas eingeschraenkt","2017","Staedtischer Raum","4039","0.248501911924215","0.242219653539472","0.254784170308957"
"Ja, etwas eingeschraenkt","2017","Laendlicher Raum","2469","","",""
"Nein, nicht eingeschraenkt","2017","Staedtischer Raum","12698","","",""
"Nein, nicht eingeschraenkt","2017","Laendlicher Raum","6557","0.616464027941906","0.60691128678315","0.626016769100661"
"Ja, stark eingeschraenkt","2018","Staedtischer Raum","12","","",""
"Ja, stark eingeschraenkt","2018","Laendlicher Raum","7","0.0391502923482692","0.00811200872174861","0.0701885759747897"
"Ja, etwas eingeschraenkt","2018","Staedtischer Raum","31","0.168356848730663","0.119680380036483","0.217033317424844"
"Ja, etwas eingeschraenkt","2018","Laendlicher Raum","27","","",""
"Nein, nicht eingeschraenkt","2018","Staedtischer Raum","184","","",""
"Nein, nicht eingeschraenkt","2018","Laendlicher Raum","116","","",""
"Ja, stark eingeschraenkt","2019","Staedtischer Raum","1544","","",""
"Ja, stark eingeschraenkt","2019","Laendlicher Raum","875","0.109591271119315","0.103388200650235","0.115794341588395"
"Ja, etwas eingeschraenkt","2019","Staedtischer Raum","4247","0.248960238312246","0.24276826189472","0.255152214729773"
"Ja, etwas eingeschraenkt","2019","Laendlicher Raum","2536","","",""
"Nein, nicht eingeschraenkt","2019","Staedtischer Raum","12943","","",""
"Nein, nicht eingeschraenkt","2019","Laendlicher Raum","6331","0.594096237126069","0.584344904565194","0.603847569686945"
"Ja, stark eingeschraenkt","2020","Staedtischer Raum","116","","",""
"Ja, stark eingeschraenkt","2020","Laendlicher Raum","51","0.0615924960717675","0.0453441286428808","0.0778408635006543"
"Ja, etwas eingeschraenkt","2020","Staedtischer Raum","322","0.0977115614739387","0.0869029562114356","0.108520166736442"
"Ja, etwas eingeschraenkt","2020","Laendlicher Raum","92","0.0874545655312722","0.06836181118889","0.106547319873654"
"Nein, nicht eingeschraenkt","2020","Staedtischer Raum","2461","","",""
"Nein, nicht eingeschraenkt","2020","Laendlicher Raum","698","0.85095293839696","0.82688357668412","0.875022300109801"
