,Unnamed: 0,year,pgisced97,regtyp,ple0009,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
72,72,2013,Second Stage of Tertiary Education,Rural regions,"Yes, strongly limited",0.06896,109,29740,0.05507,0.08426
73,73,2013,Second Stage of Tertiary Education,Rural regions,"Yes, somewhat limited",0.25303,408,29740,0.22921,0.27675
74,74,2013,Second Stage of Tertiary Education,Rural regions,"No, not limited at all",0.67802,1322,29740,0.62675,0.71943
75,75,2015,Pre-primary Level,Urban regions,"No, not limited at all",1.0,214,25613,0.81613,1.15925
76,76,2015,Pre-primary Level,Rural regions,"No, not limited at all",1.0,107,25613,0.74098,1.30429
77,77,2015,Primary Level,Urban regions,"Yes, strongly limited",0.25895,58,25613,0.2007,0.33967
78,78,2015,Primary Level,Urban regions,"Yes, somewhat limited",0.24793,82,25613,0.19647,0.31543
79,79,2015,Primary Level,Urban regions,"No, not limited at all",0.49312,237,25613,0.41484,0.57568
80,80,2015,Primary Level,Rural regions,"Yes, somewhat limited",0.35346,35,25613,0.2204,0.52979
81,81,2015,Primary Level,Rural regions,"No, not limited at all",0.64654,87,25613,0.47148,0.8992
82,82,2015,Lower Secondary Level,Urban regions,"Yes, strongly limited",0.16442,242,25613,0.14735,0.1852
83,83,2015,Lower Secondary Level,Urban regions,"Yes, somewhat limited",0.26861,471,25613,0.24267,0.29849
84,84,2015,Lower Secondary Level,Urban regions,"No, not limited at all",0.56697,1224,25613,0.53154,0.61345
85,85,2015,Lower Secondary Level,Rural regions,"Yes, strongly limited",0.14381,123,25613,0.12301,0.16808
86,86,2015,Lower Secondary Level,Rural regions,"Yes, somewhat limited",0.29517,246,25613,0.26015,0.33421
87,87,2015,Lower Secondary Level,Rural regions,"No, not limited at all",0.56102,619,25613,0.50786,0.61691
88,88,2015,Upper Secondary Level,Urban regions,"Yes, strongly limited",0.12786,733,25613,0.12027,0.13644
89,89,2015,Upper Secondary Level,Urban regions,"Yes, somewhat limited",0.27102,1851,25613,0.259,0.28253
90,90,2015,Upper Secondary Level,Urban regions,"No, not limited at all",0.60113,4603,25613,0.58114,0.62121
91,91,2015,Upper Secondary Level,Rural regions,"Yes, strongly limited",0.12191,502,25613,0.11188,0.13278
92,92,2015,Upper Secondary Level,Rural regions,"Yes, somewhat limited",0.29148,1250,25613,0.27584,0.30867
93,93,2015,Upper Secondary Level,Rural regions,"No, not limited at all",0.58661,2986,25613,0.56147,0.61241
94,94,2015,Post-secondary Non-tertiary Level,Urban regions,"Yes, strongly limited",0.07017,93,25613,0.05487,0.08895
95,95,2015,Post-secondary Non-tertiary Level,Urban regions,"Yes, somewhat limited",0.21054,294,25613,0.18277,0.24246
96,96,2015,Post-secondary Non-tertiary Level,Urban regions,"No, not limited at all",0.71929,1170,25613,0.67125,0.78181
97,97,2015,Post-secondary Non-tertiary Level,Rural regions,"Yes, somewhat limited",0.23209,108,25613,0.17895,0.28665
98,98,2015,Post-secondary Non-tertiary Level,Rural regions,"No, not limited at all",0.76791,450,25613,0.67991,0.8488
99,99,2015,First Stage of Tertiary Education,Urban regions,"Yes, strongly limited",0.10044,78,25613,0.07943,0.1266
100,100,2015,First Stage of Tertiary Education,Urban regions,"Yes, somewhat limited",0.2573,247,25613,0.22793,0.29018
101,101,2015,First Stage of Tertiary Education,Urban regions,"No, not limited at all",0.64226,569,25613,0.58477,0.7048
102,102,2015,First Stage of Tertiary Education,Rural regions,"Yes, strongly limited",0.1207,58,25613,0.09083,0.15663
103,103,2015,First Stage of Tertiary Education,Rural regions,"Yes, somewhat limited",0.26206,149,25613,0.22344,0.3126
104,104,2015,First Stage of Tertiary Education,Rural regions,"No, not limited at all",0.61724,392,25613,0.54542,0.69412
105,105,2015,Second Stage of Tertiary Education,Urban regions,"Yes, strongly limited",0.06144,216,25613,0.05525,0.07065
106,106,2015,Second Stage of Tertiary Education,Urban regions,"Yes, somewhat limited",0.18817,813,25613,0.17255,0.20363
107,107,2015,Second Stage of Tertiary Education,Urban regions,"No, not limited at all",0.75039,3570,25613,0.72039,0.78085
108,108,2015,Second Stage of Tertiary Education,Rural regions,"Yes, strongly limited",0.05873,94,25613,0.04993,0.06787
109,109,2015,Second Stage of Tertiary Education,Rural regions,"Yes, somewhat limited",0.24947,412,25613,0.22485,0.27545
110,110,2015,Second Stage of Tertiary Education,Rural regions,"No, not limited at all",0.69181,1230,25613,0.63396,0.7446
111,111,2019,Pre-primary Level,Urban regions,"No, not limited at all",1.0,220,27531,0.84,1.19804
112,112,2019,Pre-primary Level,Rural regions,"No, not limited at all",1.0,74,27531,0.69059,1.34321
113,113,2019,Primary Level,Urban regions,"Yes, strongly limited",0.18303,129,27531,0.1384,0.24002
114,114,2019,Primary Level,Urban regions,"Yes, somewhat limited",0.29717,214,27531,0.21644,0.36549
115,115,2019,Primary Level,Urban regions,"No, not limited at all",0.5198,807,27531,0.43533,0.63792
116,116,2019,Primary Level,Rural regions,"Yes, strongly limited",0.15711,38,27531,0.08127,0.26073
117,117,2019,Primary Level,Rural regions,"Yes, somewhat limited",0.41298,95,27531,0.25081,0.59943
118,118,2019,Primary Level,Rural regions,"No, not limited at all",0.4299,358,27531,0.33875,0.53908
119,119,2019,Lower Secondary Level,Urban regions,"Yes, strongly limited",0.15895,214,27531,0.1386,0.17907
120,120,2019,Lower Secondary Level,Urban regions,"Yes, somewhat limited",0.27712,443,27531,0.24707,0.30909
121,121,2019,Lower Secondary Level,Urban regions,"No, not limited at all",0.56393,1280,27531,0.51419,0.61654
122,122,2019,Lower Secondary Level,Rural regions,"Yes, strongly limited",0.16993,138,27531,0.13535,0.20717
123,123,2019,Lower Secondary Level,Rural regions,"Yes, somewhat limited",0.28638,268,27531,0.24998,0.32786
124,124,2019,Lower Secondary Level,Rural regions,"No, not limited at all",0.54369,688,27531,0.4892,0.60878
125,125,2019,Upper Secondary Level,Urban regions,"Yes, strongly limited",0.1254,734,27531,0.11381,0.135
126,126,2019,Upper Secondary Level,Urban regions,"Yes, somewhat limited",0.28063,1830,27531,0.2657,0.29446
127,127,2019,Upper Secondary Level,Urban regions,"No, not limited at all",0.59398,4381,27531,0.5716,0.62061
128,128,2019,Upper Secondary Level,Rural regions,"Yes, strongly limited",0.11226,455,27531,0.1009,0.12391
129,129,2019,Upper Secondary Level,Rural regions,"Yes, somewhat limited",0.32947,1319,27531,0.30937,0.34809
130,130,2019,Upper Secondary Level,Rural regions,"No, not limited at all",0.55828,2656,27531,0.52748,0.58536
131,131,2019,Post-secondary Non-tertiary Level,Urban regions,"Yes, strongly limited",0.0961,106,27531,0.07447,0.11709
132,132,2019,Post-secondary Non-tertiary Level,Urban regions,"Yes, somewhat limited",0.21351,335,27531,0.18215,0.24408
133,133,2019,Post-secondary Non-tertiary Level,Urban regions,"No, not limited at all",0.69038,1130,27531,0.63846,0.7434
134,134,2019,Post-secondary Non-tertiary Level,Rural regions,"Yes, strongly limited",0.05577,39,27531,0.03697,0.07716
135,135,2019,Post-secondary Non-tertiary Level,Rural regions,"Yes, somewhat limited",0.23942,138,27531,0.19509,0.28833
136,136,2019,Post-secondary Non-tertiary Level,Rural regions,"No, not limited at all",0.70481,443,27531,0.62725,0.78975
137,137,2019,First Stage of Tertiary Education,Urban regions,"Yes, strongly limited",0.07932,69,27531,0.05717,0.10126
138,138,2019,First Stage of Tertiary Education,Urban regions,"Yes, somewhat limited",0.29159,254,27531,0.24393,0.34273
139,139,2019,First Stage of Tertiary Education,Urban regions,"No, not limited at all",0.62909,619,27531,0.56521,0.6893
140,140,2019,First Stage of Tertiary Education,Rural regions,"Yes, strongly limited",0.09293,47,27531,0.06301,0.12032
141,141,2019,First Stage of Tertiary Education,Rural regions,"Yes, somewhat limited",0.27223,177,27531,0.22675,0.32044
142,142,2019,First Stage of Tertiary Education,Rural regions,"No, not limited at all",0.63484,464,27531,0.56456,0.72963
143,143,2019,Second Stage of Tertiary Education,Urban regions,"Yes, strongly limited",0.04984,235,27531,0.04374,0.05627
144,144,2019,Second Stage of Tertiary Education,Urban regions,"Yes, somewhat limited",0.1967,1049,27531,0.18165,0.21223
145,145,2019,Second Stage of Tertiary Education,Urban regions,"No, not limited at all",0.75346,4061,27531,0.72065,0.78801
146,146,2019,Second Stage of Tertiary Education,Rural regions,"Yes, strongly limited",0.07545,120,27531,0.06232,0.08851
147,147,2019,Second Stage of Tertiary Education,Rural regions,"Yes, somewhat limited",0.24759,473,27531,0.21929,0.28148
148,148,2019,Second Stage of Tertiary Education,Rural regions,"No, not limited at all",0.67696,1431,27531,0.62712,0.73715
149,149,2021,Pre-primary Level,Urban regions,"No, not limited at all",1.0,121,18642,0.7333,1.28239
150,150,2021,Pre-primary Level,Rural regions,"No, not limited at all",1.0,50,18642,0.64746,1.43281
151,151,2021,Primary Level,Urban regions,"Yes, strongly limited",0.14811,72,18642,0.08443,0.22818
152,152,2021,Primary Level,Urban regions,"Yes, somewhat limited",0.27484,156,18642,0.19108,0.38469
153,153,2021,Primary Level,Urban regions,"No, not limited at all",0.57706,567,18642,0.46486,0.70605
154,154,2021,Primary Level,Rural regions,"Yes, somewhat limited",0.3446,41,18642,0.19829,0.55711
155,155,2021,Primary Level,Rural regions,"No, not limited at all",0.6554,161,18642,0.46925,0.89747
156,156,2021,Lower Secondary Level,Urban regions,"Yes, strongly limited",0.18015,124,18642,0.13224,0.23208
157,157,2021,Lower Secondary Level,Urban regions,"Yes, somewhat limited",0.2881,269,18642,0.24404,0.34164
158,158,2021,Lower Secondary Level,Urban regions,"No, not limited at all",0.53175,795,18642,0.46966,0.5987
159,159,2021,Lower Secondary Level,Rural regions,"Yes, strongly limited",0.18185,82,18642,0.14276,0.22964
160,160,2021,Lower Secondary Level,Rural regions,"Yes, somewhat limited",0.28938,169,18642,0.21877,0.3497
161,161,2021,Lower Secondary Level,Rural regions,"No, not limited at all",0.52877,379,18642,0.44218,0.60389
162,162,2021,Upper Secondary Level,Urban regions,"Yes, strongly limited",0.10813,427,18642,0.09825,0.11924
163,163,2021,Upper Secondary Level,Urban regions,"Yes, somewhat limited",0.27036,1140,18642,0.25395,0.29067
164,164,2021,Upper Secondary Level,Urban regions,"No, not limited at all",0.62151,2998,18642,0.59143,0.6495
165,165,2021,Upper Secondary Level,Rural regions,"Yes, strongly limited",0.11275,278,18642,0.09999,0.12614
166,166,2021,Upper Secondary Level,Rural regions,"Yes, somewhat limited",0.30291,799,18642,0.27787,0.32626
167,167,2021,Upper Secondary Level,Rural regions,"No, not limited at all",0.58434,1741,18642,0.55098,0.62023
168,168,2021,Post-secondary Non-tertiary Level,Urban regions,"Yes, strongly limited",0.07408,72,18642,0.05041,0.09756
169,169,2021,Post-secondary Non-tertiary Level,Urban regions,"Yes, somewhat limited",0.2426,254,18642,0.20632,0.279
170,170,2021,Post-secondary Non-tertiary Level,Urban regions,"No, not limited at all",0.68332,846,18642,0.61566,0.74957
171,171,2021,Post-secondary Non-tertiary Level,Rural regions,"Yes, somewhat limited",0.28068,94,18642,0.20383,0.3612
172,172,2021,Post-secondary Non-tertiary Level,Rural regions,"No, not limited at all",0.71932,311,18642,0.6224,0.84755
173,173,2021,First Stage of Tertiary Education,Urban regions,"Yes, strongly limited",0.0692,45,18642,0.04999,0.08893
174,174,2021,First Stage of Tertiary Education,Urban regions,"Yes, somewhat limited",0.25077,146,18642,0.19705,0.32166
175,175,2021,First Stage of Tertiary Education,Urban regions,"No, not limited at all",0.68002,396,18642,0.59259,0.76273
176,176,2021,First Stage of Tertiary Education,Rural regions,"Yes, strongly limited",0.13136,36,18642,0.09416,0.18024
177,177,2021,First Stage of Tertiary Education,Rural regions,"Yes, somewhat limited",0.23813,118,18642,0.19632,0.29782
178,178,2021,First Stage of Tertiary Education,Rural regions,"No, not limited at all",0.63051,260,18642,0.55113,0.73389
179,179,2021,Second Stage of Tertiary Education,Urban regions,"Yes, strongly limited",0.03831,143,18642,0.03187,0.04491
180,180,2021,Second Stage of Tertiary Education,Urban regions,"Yes, somewhat limited",0.17809,744,18642,0.15845,0.19648
181,181,2021,Second Stage of Tertiary Education,Urban regions,"No, not limited at all",0.7836,3311,18642,0.74698,0.81931
182,182,2021,Second Stage of Tertiary Education,Rural regions,"Yes, strongly limited",0.06332,80,18642,0.0495,0.0772
183,183,2021,Second Stage of Tertiary Education,Rural regions,"Yes, somewhat limited",0.22594,330,18642,0.19231,0.25259
184,184,2021,Second Stage of Tertiary Education,Rural regions,"No, not limited at all",0.71074,1087,18642,0.65893,0.77756
