year,sampreg,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2010,West,No,0.97011,10119,10636,0.96687,0.97334
2010,East,Yes,0.06878,239,3157,0.05995,0.07761
2010,East,No,0.93122,2918,3157,0.92239,0.94005
2011,West,Yes,0.02992,681,12658,0.02695,0.03289
2011,West,No,0.97008,11977,12658,0.96711,0.97305
2011,East,Yes,0.05906,328,3659,0.05142,0.06670
2011,East,No,0.94094,3331,3659,0.93330,0.94858
2012,West,Yes,0.02831,612,12362,0.02539,0.03124
2012,West,No,0.97169,11750,12362,0.96876,0.97461
2012,East,Yes,0.05416,304,3616,0.04678,0.06154
2012,East,No,0.94584,3312,3616,0.93846,0.95322
2013,West,Yes,0.02479,599,13974,0.02222,0.02737
2013,West,No,0.97521,13375,13974,0.97263,0.97778
2013,East,Yes,0.05168,273,3568,0.04442,0.05895
2013,East,No,0.94832,3295,3568,0.94105,0.95558
2014,West,Yes,0.02493,489,12343,0.02218,0.02768
2014,West,No,0.97507,11854,12343,0.97232,0.97782
2014,East,Yes,0.04317,210,3357,0.03629,0.05005
2014,East,No,0.95683,3147,3357,0.94995,0.96371
2015,West,Yes,0.02044,397,12193,0.01792,0.02295
2015,West,No,0.97956,11796,12193,0.97705,0.98208
2015,East,Yes,0.04081,162,3183,0.03393,0.04768
2015,East,No,0.95919,3021,3183,0.95232,0.96607
2016,West,Yes,0.02078,343,11118,0.01813,0.02343
2016,West,No,0.97922,10775,11118,0.97657,0.98187
2016,East,Yes,0.03152,127,3033,0.02531,0.03774
2016,East,No,0.96848,2906,3033,0.96226,0.97469
2017,West,Yes,0.01856,444,13654,0.01630,0.02083
2017,West,No,0.98144,13210,13654,0.97917,0.98370
2017,East,Yes,0.03730,156,3689,0.03118,0.04341
2017,East,No,0.96270,3533,3689,0.95659,0.96882
2018,West,Yes,0.02028,688,13988,0.01795,0.02262
2018,West,No,0.97972,13300,13988,0.97738,0.98205
2018,East,Yes,0.03616,188,3748,0.03018,0.04214
2018,East,No,0.96384,3560,3748,0.95786,0.96982
2019,Does not apply,No,0.94569,61,61,0.88834,1.00303
2019,West,Yes,0.02353,481,14381,0.02106,0.02601
2019,West,No,0.97647,13900,14381,0.97399,0.97894
2019,East,Yes,0.03236,139,3873,0.02679,0.03794
2019,East,No,0.96764,3734,3873,0.96206,0.97321
2020,West,Yes,0.02004,478,15287,0.01782,0.02226
2020,West,No,0.97996,14809,15287,0.97774,0.98218
2020,East,Yes,0.02720,114,3794,0.02202,0.03238
2020,East,No,0.97280,3680,3794,0.96762,0.97798
2021,West,Yes,0.01873,366,9904,0.01606,0.02140
2021,West,No,0.98127,9538,9904,0.97860,0.98394
2021,East,Yes,0.02475,75,2569,0.01874,0.03076
2021,East,No,0.97525,2494,2569,0.96924,0.98126
2022,West,Yes,0.01778,392,15853,0.01572,0.01984
2022,West,No,0.98222,15461,15853,0.98016,0.98428
2022,East,Yes,0.02694,107,4319,0.02211,0.03177
2022,East,No,0.97306,4212,4319,0.96823,0.97789
