"e11102","year","sampreg","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"erwerbstätig","1987","Westdeutschland","maennlich","4045","0.735740105334532","0.723723088300855","0.747757122368209"
"erwerbstätig","1987","Westdeutschland","weiblich","2635","0.451132207073431","0.437710216789024","0.464554197357837"
"erwerbstätig","1987","Ostdeutschland","maennlich","","","",""
"erwerbstätig","1987","Ostdeutschland","weiblich","","","",""
"nicht erwerbstätig","1988","Westdeutschland","maennlich","1077","0.268741882359345","0.256367382391596","0.281116382327095"
"nicht erwerbstätig","1988","Westdeutschland","weiblich","2468","0.537250062591633","0.523484491155783","0.551015634027483"
"nicht erwerbstätig","1988","Ostdeutschland","maennlich","","","",""
"nicht erwerbstätig","1988","Ostdeutschland","weiblich","","","",""
"erwerbstätig","1988","Westdeutschland","maennlich","3853","0.731258117640654","0.718883617672905","0.743632617608404"
"erwerbstätig","1988","Westdeutschland","weiblich","2572","0.462749937408367","0.448984365972517","0.476515508844217"
"erwerbstätig","1988","Ostdeutschland","maennlich","","","",""
"erwerbstätig","1988","Ostdeutschland","weiblich","","","",""
"nicht erwerbstätig","1989","Westdeutschland","maennlich","1058","0.271727466228641","0.259091375502324","0.284363556954959"
"nicht erwerbstätig","1989","Westdeutschland","weiblich","2357","0.533973315825465","0.520007352109566","0.547939279541365"
"nicht erwerbstätig","1989","Ostdeutschland","maennlich","","","",""
"nicht erwerbstätig","1989","Ostdeutschland","weiblich","","","",""
"erwerbstätig","1989","Westdeutschland","maennlich","3703","0.728272533771359","0.715636443045041","0.740908624497676"
"erwerbstätig","1989","Westdeutschland","weiblich","2544","0.466026684174535","0.452060720458635","0.479992647890434"
"erwerbstätig","1989","Ostdeutschland","maennlich","","","",""
"erwerbstätig","1989","Ostdeutschland","weiblich","","","",""
"nicht erwerbstätig","1990","Westdeutschland","maennlich","1052","0.260909758019223","0.248304380652921","0.273515135385525"
"nicht erwerbstätig","1990","Westdeutschland","weiblich","2260","0.517660873546725","0.503523405617404","0.531798341476046"
"nicht erwerbstätig","1990","Ostdeutschland","maennlich","","","",""
"nicht erwerbstätig","1990","Ostdeutschland","weiblich","","","",""
"erwerbstätig","1990","Westdeutschland","maennlich","3610","0.739090241980777","0.726484864614475","0.751695619347079"
"erwerbstätig","1990","Westdeutschland","weiblich","2539","0.482339126453275","0.468201658523955","0.496476594382596"
"erwerbstätig","1990","Ostdeutschland","maennlich","","","",""
"erwerbstätig","1990","Ostdeutschland","weiblich","","","",""
"nicht erwerbstätig","1991","Westdeutschland","maennlich","1034","0.262678874253646","0.250006504015184","0.275351244492108"
"nicht erwerbstätig","1991","Westdeutschland","weiblich","2206","0.511347787013499","0.497169638264534","0.525525935762465"
"nicht erwerbstätig","1991","Ostdeutschland","maennlich","","","",""
"nicht erwerbstätig","1991","Ostdeutschland","weiblich","","","",""
"erwerbstätig","1991","Westdeutschland","maennlich","3599","0.737321125746354","0.724648755507893","0.749993495984816"
"erwerbstätig","1991","Westdeutschland","weiblich","2569","0.488652212986501","0.474474064237535","0.502830361735466"
"erwerbstätig","1991","Ostdeutschland","maennlich","","","",""
"erwerbstätig","1991","Ostdeutschland","weiblich","","","",""
"nicht erwerbstätig","1992","Westdeutschland","maennlich","1022","0.264939408228041","0.252147662115087","0.277731154340995"
"nicht erwerbstätig","1992","Westdeutschland","weiblich","2180","0.509676106819408","0.495486556471285","0.523865657167532"
"nicht erwerbstätig","1992","Ostdeutschland","maennlich","343","0.223360652909136","0.204588444954556","0.242132860863716"
"nicht erwerbstätig","1992","Ostdeutschland","weiblich","690","0.408421676775775","0.387322982488708","0.429520371062842"
"erwerbstätig","1992","Westdeutschland","maennlich","3550","0.735060591771959","0.722268845659005","0.747852337884913"
"erwerbstätig","1992","Westdeutschland","weiblich","2588","0.490323893180592","0.476134342832468","0.504513443528715"
"erwerbstätig","1992","Ostdeutschland","maennlich","1548","0.776639347090864","0.757867139136284","0.795411555045444"
"erwerbstätig","1992","Ostdeutschland","weiblich","1395","0.591578323224225","0.570479628937158","0.612677017511292"
"nicht erwerbstätig","1993","Westdeutschland","maennlich","1035","0.269407547253702","0.256510928988763","0.282304165518641"
"nicht erwerbstätig","1993","Westdeutschland","weiblich","2122","0.502376136501333","0.488121165683481","0.516631107319186"
"nicht erwerbstätig","1993","Ostdeutschland","maennlich","425","0.284872564157629","0.264130652803061","0.305614475512197"
"nicht erwerbstätig","1993","Ostdeutschland","weiblich","820","0.482626564074422","0.460781277989002","0.504471850159842"
"erwerbstätig","1993","Westdeutschland","maennlich","3511","0.730592452746298","0.71769583448136","0.743489071011237"
"erwerbstätig","1993","Westdeutschland","weiblich","2604","0.497623863498667","0.483368892680814","0.511878834316519"
"erwerbstätig","1993","Ostdeutschland","maennlich","1394","0.71512743584237","0.694385524487802","0.735869347196939"
"erwerbstätig","1993","Ostdeutschland","weiblich","1190","0.517373435925578","0.495528149840159","0.539218722010998"
"nicht erwerbstätig","1994","Westdeutschland","maennlich","1053","0.281619444887534","0.268357882475351","0.294881007299717"
"nicht erwerbstätig","1994","Westdeutschland","weiblich","2168","0.51333261747452","0.499011163269621","0.527654071679419"
"nicht erwerbstätig","1994","Ostdeutschland","maennlich","476","0.320615262677073","0.299030617477752","0.342199907876394"
"nicht erwerbstätig","1994","Ostdeutschland","weiblich","848","0.508707610612519","0.486681930389149","0.53073329083589"
"erwerbstätig","1994","Westdeutschland","maennlich","3366","0.718380555112466","0.705118992700283","0.731642117524649"
"erwerbstätig","1994","Westdeutschland","weiblich","2511","0.48666738252548","0.472345928320581","0.500988836730379"
"erwerbstätig","1994","Ostdeutschland","maennlich","1320","0.679384737322927","0.657800092123606","0.700969382522248"
"erwerbstätig","1994","Ostdeutschland","weiblich","1131","0.491292389387481","0.46926670916411","0.513318069610851"
"nicht erwerbstätig","1995","Westdeutschland","maennlich","1159","0.294510952740193","0.281420815129931","0.307601090350455"
"nicht erwerbstätig","1995","Westdeutschland","weiblich","2329","0.525820638723365","0.511886418465262","0.539754858981467"
"nicht erwerbstätig","1995","Ostdeutschland","maennlich","469","0.323444789913316","0.301540320316807","0.345349259509826"
"nicht erwerbstätig","1995","Ostdeutschland","weiblich","832","0.515117377450721","0.492883933813532","0.53735082108791"
"erwerbstätig","1995","Westdeutschland","maennlich","3499","0.705489047259807","0.692398909649545","0.718579184870069"
"erwerbstätig","1995","Westdeutschland","weiblich","2604","0.474179361276635","0.460245141018533","0.488113581534738"
"erwerbstätig","1995","Ostdeutschland","maennlich","1283","0.676555210086684","0.654650740490174","0.698459679683193"
"erwerbstätig","1995","Ostdeutschland","weiblich","1109","0.484882622549279","0.46264917891209","0.507116066186468"
"nicht erwerbstätig","1996","Westdeutschland","maennlich","1105","0.292074521267964","0.278843166635704","0.305305875900224"
"nicht erwerbstätig","1996","Westdeutschland","weiblich","2235","0.520867611608341","0.506774694976375","0.534960528240307"
"nicht erwerbstätig","1996","Ostdeutschland","maennlich","473","0.322408172553729","0.300547025992405","0.344269319115053"
"nicht erwerbstätig","1996","Ostdeutschland","weiblich","812","0.511322807057015","0.48901005221452","0.53363556189951"
"erwerbstätig","1996","Westdeutschland","maennlich","3432","0.707925478732036","0.694694124099776","0.721156833364296"
"erwerbstätig","1996","Westdeutschland","weiblich","2592","0.479132388391659","0.465039471759694","0.493225305023625"
"erwerbstätig","1996","Ostdeutschland","maennlich","1283","0.677591827446271","0.655730680884947","0.699452974007595"
"erwerbstätig","1996","Ostdeutschland","weiblich","1116","0.488677192942985","0.46636443810049","0.51098994778548"
"nicht erwerbstätig","1997","Westdeutschland","maennlich","1142","0.298953232732187","0.285522188786089","0.312384276678285"
"nicht erwerbstätig","1997","Westdeutschland","weiblich","2237","0.527907868301573","0.513682482105621","0.542133254497525"
"nicht erwerbstätig","1997","Ostdeutschland","maennlich","494","0.33409696700111","0.311966420516558","0.356227513485661"
"nicht erwerbstätig","1997","Ostdeutschland","weiblich","828","0.522767888713086","0.500243584068089","0.545292193358082"
"erwerbstätig","1997","Westdeutschland","maennlich","3321","0.701046767267813","0.687615723321715","0.714477811213912"
"erwerbstätig","1997","Westdeutschland","weiblich","2494","0.472092131698427","0.457866745502475","0.486317517894379"
"erwerbstätig","1997","Ostdeutschland","maennlich","1251","0.66590303299889","0.643772486514339","0.688033579483442"
"erwerbstätig","1997","Ostdeutschland","weiblich","1061","0.477232111286914","0.454707806641918","0.499756415931911"
"nicht erwerbstätig","1998","Westdeutschland","maennlich","1390","0.315468682922806","0.302611152822232","0.32832621302338"
"nicht erwerbstätig","1998","Westdeutschland","weiblich","2578","0.531407644674039","0.518042309577001","0.544772979771076"
"nicht erwerbstätig","1998","Ostdeutschland","maennlich","530","0.333649650125362","0.31227869464088","0.355020605609845"
"nicht erwerbstätig","1998","Ostdeutschland","weiblich","885","0.525415727146855","0.503503584513911","0.547327869779799"
"erwerbstätig","1998","Westdeutschland","maennlich","3628","0.684531317077194","0.67167378697662","0.697388847177768"
"erwerbstätig","1998","Westdeutschland","weiblich","2777","0.468592355325961","0.455227020228924","0.481957690422999"
"erwerbstätig","1998","Ostdeutschland","maennlich","1340","0.666350349874638","0.644979394390155","0.68772130535912"
"erwerbstätig","1998","Ostdeutschland","weiblich","1110","0.474584272853145","0.452672130220202","0.496496415486089"
"nicht erwerbstätig","1999","Westdeutschland","maennlich","1219","0.294491673618689","0.281584754531374","0.307398592706005"
"nicht erwerbstätig","1999","Westdeutschland","weiblich","2322","0.501396858414507","0.487674419300817","0.515119297528197"
"nicht erwerbstätig","1999","Ostdeutschland","maennlich","516","0.328603195719913","0.30701200081582","0.350194390624007"
"nicht erwerbstätig","1999","Ostdeutschland","weiblich","852","0.522700707463282","0.500616147367084","0.544785267559481"
"erwerbstätig","1999","Westdeutschland","maennlich","3572","0.705508326381311","0.692601407293995","0.718415245468626"
"erwerbstätig","1999","Westdeutschland","weiblich","2778","0.498603141585493","0.484880702471803","0.512325580699183"
"erwerbstätig","1999","Ostdeutschland","maennlich","1302","0.671396804280087","0.649805609375994","0.69298799918418"
"erwerbstätig","1999","Ostdeutschland","weiblich","1113","0.477299292536718","0.455214732440519","0.499383852632916"
"nicht erwerbstätig","2000","Westdeutschland","maennlich","2396","0.289130766328318","0.279650528752067","0.298611003904569"
"nicht erwerbstätig","2000","Westdeutschland","weiblich","4377","0.491648831365504","0.481582045757327","0.501715616973681"
"nicht erwerbstätig","2000","Ostdeutschland","maennlich","871","0.342984436140874","0.325395107178705","0.360573765103043"
"nicht erwerbstätig","2000","Ostdeutschland","weiblich","1349","0.504228865500676","0.486484820023345","0.521972910978007"
"erwerbstätig","2000","Westdeutschland","maennlich","6389","0.710869233671682","0.701388996095431","0.720349471247933"
"erwerbstätig","2000","Westdeutschland","weiblich","5097","0.508351168634496","0.498284383026319","0.518417954242673"
"erwerbstätig","2000","Ostdeutschland","maennlich","1927","0.657015563859126","0.639426234896957","0.674604892821295"
"erwerbstätig","2000","Ostdeutschland","weiblich","1701","0.495771134499324","0.478027089021993","0.513515179976655"
"nicht erwerbstätig","2001","Westdeutschland","maennlich","2180","0.291355884729433","0.2813373186273","0.301374450831566"
"nicht erwerbstätig","2001","Westdeutschland","weiblich","3784","0.471908669676807","0.461348114902818","0.482469224450795"
"nicht erwerbstätig","2001","Ostdeutschland","maennlich","849","0.35088265829397","0.332618843103743","0.369146473484197"
"nicht erwerbstätig","2001","Ostdeutschland","weiblich","1253","0.50266365892024","0.484183560731613","0.521143757108866"
"erwerbstätig","2001","Westdeutschland","maennlich","5722","0.708644115270567","0.698625549168434","0.7186626813727"
"erwerbstätig","2001","Westdeutschland","weiblich","4800","0.528091330323193","0.517530775549205","0.538651885097182"
"erwerbstätig","2001","Ostdeutschland","maennlich","1774","0.64911734170603","0.630853526515804","0.667381156896257"
"erwerbstätig","2001","Ostdeutschland","weiblich","1559","0.49733634107976","0.478856242891134","0.515816439268387"
"nicht erwerbstätig","2002","Westdeutschland","maennlich","2290","0.303309715958082","0.293533855340687","0.313085576575476"
"nicht erwerbstätig","2002","Westdeutschland","weiblich","3852","0.474089460836806","0.463831951825743","0.484346969847869"
"nicht erwerbstätig","2002","Ostdeutschland","maennlich","876","0.372025218878571","0.353563167573366","0.390487270183776"
"nicht erwerbstätig","2002","Ostdeutschland","weiblich","1222","0.508498200190965","0.489967715725056","0.527028684656874"
"erwerbstätig","2002","Westdeutschland","maennlich","6204","0.696690284041918","0.686914423424524","0.706466144659313"
"erwerbstätig","2002","Westdeutschland","weiblich","5251","0.525910539163194","0.515653030152131","0.536168048174257"
"erwerbstätig","2002","Ostdeutschland","maennlich","1757","0.627974781121429","0.609512729816224","0.646436832426634"
"erwerbstätig","2002","Ostdeutschland","weiblich","1574","0.491501799809035","0.472971315343126","0.510032284274944"
"nicht erwerbstätig","2003","Westdeutschland","maennlich","2290","0.314546634752812","0.304429637501056","0.324663632004568"
"nicht erwerbstätig","2003","Westdeutschland","weiblich","3732","0.478588309853685","0.468109489518495","0.489067130188876"
"nicht erwerbstätig","2003","Ostdeutschland","maennlich","890","0.383842145160235","0.365094784222398","0.402589506098071"
"nicht erwerbstätig","2003","Ostdeutschland","weiblich","1227","0.516434169384227","0.497787231328031","0.535081107440423"
"erwerbstätig","2003","Westdeutschland","maennlich","5802","0.685453365247188","0.675336367995432","0.695570362498944"
"erwerbstätig","2003","Westdeutschland","weiblich","4998","0.521411690146315","0.510932869811124","0.531890510481505"
"erwerbstätig","2003","Ostdeutschland","maennlich","1695","0.616157854839765","0.597410493901929","0.634905215777602"
"erwerbstätig","2003","Ostdeutschland","weiblich","1532","0.483565830615773","0.464918892559577","0.502212768671969"
"nicht erwerbstätig","2004","Westdeutschland","maennlich","2330","0.326736774346812","0.316379832013185","0.33709371668044"
"nicht erwerbstätig","2004","Westdeutschland","weiblich","3668","0.474849012392866","0.464239933998485","0.485458090787246"
"nicht erwerbstätig","2004","Ostdeutschland","maennlich","911","0.406874515753585","0.387625524506256","0.426123507000914"
"nicht erwerbstätig","2004","Ostdeutschland","weiblich","1236","0.522887649805713","0.504120499099622","0.541654800511804"
"erwerbstätig","2004","Westdeutschland","maennlich","5548","0.673263225653188","0.66290628331956","0.683620167986815"
"erwerbstätig","2004","Westdeutschland","weiblich","4843","0.525150987607134","0.514541909212754","0.535760066001515"
"erwerbstätig","2004","Ostdeutschland","maennlich","1591","0.593125484246415","0.573876492999086","0.612374475493744"
"erwerbstätig","2004","Ostdeutschland","weiblich","1485","0.477112350194287","0.458345199488196","0.495879500900378"
"nicht erwerbstätig","2005","Westdeutschland","maennlich","2269","0.317698573904189","0.307144765227807","0.32825238258057"
"nicht erwerbstätig","2005","Westdeutschland","weiblich","3493","0.461103880530154","0.450304703368745","0.471903057691562"
"nicht erwerbstätig","2005","Ostdeutschland","maennlich","897","0.389129532917029","0.369716515462174","0.408542550371884"
"nicht erwerbstätig","2005","Ostdeutschland","weiblich","1195","0.520384387277311","0.501232830402359","0.539535944152264"
"erwerbstätig","2005","Westdeutschland","maennlich","5207","0.682301426095811","0.67174761741943","0.692855234772193"
"erwerbstätig","2005","Westdeutschland","weiblich","4692","0.538896119469847","0.528096942308438","0.549695296631255"
"erwerbstätig","2005","Ostdeutschland","maennlich","1526","0.610870467082971","0.591457449628116","0.630283484537826"
"erwerbstätig","2005","Ostdeutschland","weiblich","1419","0.479615612722689","0.460464055847736","0.498767169597641"
"nicht erwerbstätig","2006","Westdeutschland","maennlich","2599","0.326602510223111","0.316356622017779","0.336848398428442"
"nicht erwerbstätig","2006","Westdeutschland","weiblich","3918","0.473283364389771","0.462884092198301","0.48368263658124"
"nicht erwerbstätig","2006","Ostdeutschland","maennlich","1009","0.397794734335988","0.37891239152297","0.416677077149005"
"nicht erwerbstätig","2006","Ostdeutschland","weiblich","1293","0.524413052534992","0.505865474753696","0.542960630316288"
"erwerbstätig","2006","Westdeutschland","maennlich","5449","0.673397489776889","0.663151601571558","0.683643377982221"
"erwerbstätig","2006","Westdeutschland","weiblich","4937","0.526716635610229","0.51631736341876","0.537115907801699"
"erwerbstätig","2006","Ostdeutschland","maennlich","1572","0.602205265664012","0.583322922850995","0.62108760847703"
"erwerbstätig","2006","Ostdeutschland","weiblich","1492","0.475586947465008","0.457039369683712","0.494134525246304"
"nicht erwerbstätig","2007","Westdeutschland","maennlich","2461","0.327535418678318","0.316911196490627","0.338159640866008"
"nicht erwerbstätig","2007","Westdeutschland","weiblich","3641","0.471019853936058","0.4602578727228","0.481781835149316"
"nicht erwerbstätig","2007","Ostdeutschland","maennlich","967","0.400278722488666","0.380901572941723","0.41965587203561"
"nicht erwerbstätig","2007","Ostdeutschland","weiblich","1203","0.508791609720087","0.489699977289831","0.527883242150342"
"erwerbstätig","2007","Westdeutschland","maennlich","5035","0.672464581321682","0.661840359133992","0.683088803509373"
"erwerbstätig","2007","Westdeutschland","weiblich","4623","0.528980146063942","0.518218164850684","0.5397421272772"
"erwerbstätig","2007","Ostdeutschland","maennlich","1489","0.599721277511334","0.58034412796439","0.619098427058277"
"erwerbstätig","2007","Ostdeutschland","weiblich","1431","0.491208390279913","0.472116757849658","0.510300022710169"
"nicht erwerbstätig","2008","Westdeutschland","maennlich","2279","0.320431863595639","0.309505733084204","0.331357994107074"
"nicht erwerbstätig","2008","Westdeutschland","weiblich","3391","0.460038025876251","0.448946082480731","0.471129969271772"
"nicht erwerbstätig","2008","Ostdeutschland","maennlich","900","0.380394261581614","0.360677388503977","0.400111134659251"
"nicht erwerbstätig","2008","Ostdeutschland","weiblich","1106","0.495631485718631","0.475949756374268","0.515313215062993"
"erwerbstätig","2008","Westdeutschland","maennlich","4728","0.679568136404361","0.668642005892926","0.690494266915796"
"erwerbstätig","2008","Westdeutschland","weiblich","4365","0.539961974123749","0.528870030728228","0.551053917519269"
"erwerbstätig","2008","Ostdeutschland","maennlich","1429","0.619605738418386","0.599888865340749","0.639322611496023"
"erwerbstätig","2008","Ostdeutschland","weiblich","1373","0.504368514281369","0.484686784937007","0.524050243625732"
"nicht erwerbstätig","2009","Westdeutschland","maennlich","2141","0.317927981103544","0.306631647460135","0.329224314746953"
"nicht erwerbstätig","2009","Westdeutschland","weiblich","3018","0.437847999016759","0.426353197141351","0.449342800892167"
"nicht erwerbstätig","2009","Ostdeutschland","maennlich","836","0.378628732237964","0.358360348503037","0.398897115972891"
"nicht erwerbstätig","2009","Ostdeutschland","weiblich","1041","0.462977069652668","0.442902322961587","0.48305181634375"
"erwerbstätig","2009","Westdeutschland","maennlich","4387","0.682072018896456","0.670775685253047","0.693368352539865"
"erwerbstätig","2009","Westdeutschland","weiblich","4138","0.562152000983241","0.550657199107833","0.573646802858649"
"erwerbstätig","2009","Ostdeutschland","maennlich","1364","0.621371267762036","0.601102884027109","0.641639651496963"
"erwerbstätig","2009","Ostdeutschland","weiblich","1329","0.537022930347332","0.51694818365625","0.557097677038413"
"nicht erwerbstätig","2010","Westdeutschland","maennlich","2352","0.322173336154437","0.312269738767783","0.332076933541091"
"nicht erwerbstätig","2010","Westdeutschland","weiblich","4295","0.438527442797212","0.428925051509598","0.448129834084827"
"nicht erwerbstätig","2010","Ostdeutschland","maennlich","853","0.365962478509239","0.347207328346834","0.384717628671644"
"nicht erwerbstätig","2010","Ostdeutschland","weiblich","1246","0.447090832296244","0.429248721080257","0.46493294351223"
"erwerbstätig","2010","Westdeutschland","maennlich","6201","0.677826663845563","0.667923066458909","0.687730261232217"
"erwerbstätig","2010","Westdeutschland","weiblich","5963","0.561472557202788","0.551870165915173","0.571074948490402"
"erwerbstätig","2010","Ostdeutschland","maennlich","1681","0.634037521490761","0.615282371328356","0.652792671653166"
"erwerbstätig","2010","Ostdeutschland","weiblich","1737","0.552909167703756","0.53506705648777","0.570751278919743"
"nicht erwerbstätig","2011","Westdeutschland","maennlich","2991","0.316228398457605","0.30720650798003","0.325250288935179"
"nicht erwerbstätig","2011","Westdeutschland","weiblich","5146","0.438459588509504","0.4296937795981","0.447225397420907"
"nicht erwerbstätig","2011","Ostdeutschland","maennlich","1019","0.356908604867284","0.339540655595661","0.374276554138906"
"nicht erwerbstätig","2011","Ostdeutschland","weiblich","1452","0.447700329235539","0.431133919809078","0.464266738661999"
"erwerbstätig","2011","Westdeutschland","maennlich","7214","0.683771601542395","0.674749711064821","0.69279349201997"
"erwerbstätig","2011","Westdeutschland","weiblich","7163","0.561540411490496","0.552774602579093","0.5703062204019"
"erwerbstätig","2011","Ostdeutschland","maennlich","1904","0.643091395132716","0.625723445861094","0.660459344404339"
"erwerbstätig","2011","Ostdeutschland","weiblich","2009","0.552299670764462","0.535733261338001","0.568866080190922"
"nicht erwerbstätig","2012","Westdeutschland","maennlich","3048","0.318888778237144","0.30973290597285","0.328044650501437"
"nicht erwerbstätig","2012","Westdeutschland","weiblich","4785","0.428208747913716","0.419344014524273","0.437073481303159"
"nicht erwerbstätig","2012","Ostdeutschland","maennlich","1030","0.367001906750573","0.349337443902518","0.384666369598628"
"nicht erwerbstätig","2012","Ostdeutschland","weiblich","1422","0.459416414731686","0.442625761397727","0.476207068065644"
"erwerbstätig","2012","Westdeutschland","maennlich","6905","0.681111221762856","0.671955349498563","0.690267094027149"
"erwerbstätig","2012","Westdeutschland","weiblich","7184","0.571791252086284","0.562926518696841","0.580655985475727"
"erwerbstätig","2012","Ostdeutschland","maennlich","1830","0.632998093249427","0.615333630401371","0.650662556097482"
"erwerbstätig","2012","Ostdeutschland","weiblich","1962","0.540583585268314","0.523792931934356","0.557374238602273"
"nicht erwerbstätig","2013","Westdeutschland","maennlich","5015","0.403066212300927","0.394070650512003","0.412061774089851"
"nicht erwerbstätig","2013","Westdeutschland","weiblich","6668","0.477910638776923","0.469501023215076","0.486320254338771"
"nicht erwerbstätig","2013","Ostdeutschland","maennlich","1129","0.378972167592224","0.361098484095983","0.396845851088464"
"nicht erwerbstätig","2013","Ostdeutschland","weiblich","1491","0.46584880627224","0.44901203146702","0.482685581077461"
"erwerbstätig","2013","Westdeutschland","maennlich","6407","0.596933787699073","0.587938225910149","0.605929349487997"
"erwerbstätig","2013","Westdeutschland","weiblich","6885","0.522089361223077","0.513679745661229","0.530498976784924"
"erwerbstätig","2013","Ostdeutschland","maennlich","1701","0.621027832407776","0.603154148911536","0.638901515904017"
"erwerbstätig","2013","Ostdeutschland","weiblich","1881","0.53415119372776","0.517314418922539","0.55098796853298"
"nicht erwerbstätig","2014","Westdeutschland","maennlich","3130","0.330634254097974","0.32147493255256","0.339793575643387"
"nicht erwerbstätig","2014","Westdeutschland","weiblich","4536","0.423224008263668","0.414329109595435","0.432118906931901"
"nicht erwerbstätig","2014","Ostdeutschland","maennlich","947","0.360598501211379","0.342102372053264","0.379094630369493"
"nicht erwerbstätig","2014","Ostdeutschland","weiblich","1274","0.444061718634277","0.426511674847098","0.461611762421455"
"erwerbstätig","2014","Westdeutschland","maennlich","7004","0.669365745902026","0.660206424356613","0.67852506744744"
"erwerbstätig","2014","Westdeutschland","weiblich","7316","0.576775991736332","0.567881093068099","0.585670890404565"
"erwerbstätig","2014","Ostdeutschland","maennlich","1642","0.639401498788622","0.620905369630507","0.657897627946736"
"erwerbstätig","2014","Ostdeutschland","weiblich","1805","0.555938281365723","0.538388237578545","0.573488325152902"
"nicht erwerbstätig","2015","Westdeutschland","maennlich","3575","0.343185280716088","0.333915066363968","0.352455495068208"
"nicht erwerbstätig","2015","Westdeutschland","weiblich","4887","0.425221127486603","0.41628976584124","0.434152489131967"
"nicht erwerbstätig","2015","Ostdeutschland","maennlich","957","0.35670801576232","0.337967923074021","0.375448108450619"
"nicht erwerbstätig","2015","Ostdeutschland","weiblich","1298","0.453941403506167","0.436083819097123","0.471798987915211"
"erwerbstätig","2015","Westdeutschland","maennlich","6501","0.656814719283912","0.647544504931792","0.666084933636032"
"erwerbstätig","2015","Westdeutschland","weiblich","6883","0.574778872513397","0.565847510868033","0.58371023415876"
"erwerbstätig","2015","Ostdeutschland","maennlich","1553","0.64329198423768","0.624551891549381","0.662032076925979"
"erwerbstätig","2015","Ostdeutschland","weiblich","1688","0.546058596493833","0.528201012084789","0.563916180902877"
"nicht erwerbstätig","2016","Westdeutschland","maennlich","4227","0.329596818795449","0.320606571813477","0.338587065777421"
"nicht erwerbstätig","2016","Westdeutschland","weiblich","4966","0.411428866522119","0.402495779770878","0.420361953273359"
"nicht erwerbstätig","2016","Ostdeutschland","maennlich","1152","0.327980216318311","0.310061459342718","0.345898973293903"
"nicht erwerbstätig","2016","Ostdeutschland","weiblich","1338","0.417983264864717","0.400339554079622","0.435626975649811"
"erwerbstätig","2016","Westdeutschland","maennlich","6275","0.670403181204551","0.661412934222579","0.679393428186523"
"erwerbstätig","2016","Westdeutschland","weiblich","6691","0.588571133477881","0.579638046726641","0.597504220229122"
"erwerbstätig","2016","Ostdeutschland","maennlich","1485","0.672019783681689","0.654101026706097","0.689938540657282"
"erwerbstätig","2016","Ostdeutschland","weiblich","1664","0.582016735135284","0.564373024350189","0.599660445920378"
"nicht erwerbstätig","2017","Westdeutschland","maennlich","4754","0.322251830203077","0.313848460586697","0.330655199819456"
"nicht erwerbstätig","2017","Westdeutschland","weiblich","5532","0.4037069442357","0.39527153366642","0.412142354804979"
