"e11102","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"erwerbstätig","1987","indirekter Migrationshintergrund","Westdeutschland","101","0.650440281001512","0.579793322088085","0.721087239914939"
"erwerbstätig","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"erwerbstätig","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","kein Migrationshintergrund","Westdeutschland","2638","0.414574265690972","0.40309884708413","0.426049684297814"
"nicht erwerbstätig","1988","kein Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","direkter Migrationshintergrund","Westdeutschland","810","0.364720736662566","0.34645581784252","0.382985655482613"
"nicht erwerbstätig","1988","direkter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","indirekter Migrationshintergrund","Westdeutschland","97","0.405078501817873","0.34050251778981","0.469654485845937"
"nicht erwerbstätig","1988","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"erwerbstätig","1988","kein Migrationshintergrund","Westdeutschland","4442","0.585425734309028","0.573950315702186","0.59690115291587"
"erwerbstätig","1988","kein Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1988","direkter Migrationshintergrund","Westdeutschland","1858","0.635279263337433","0.617014344517387","0.65354418215748"
"erwerbstätig","1988","direkter Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1988","indirekter Migrationshintergrund","Westdeutschland","125","0.594921498182126","0.530345514154063","0.65949748221019"
"erwerbstätig","1988","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"erwerbstätig","1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","kein Migrationshintergrund","Westdeutschland","2502","0.41205196657541","0.400366965228652","0.423736967922168"
"nicht erwerbstätig","1989","kein Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","direkter Migrationshintergrund","Westdeutschland","806","0.381853462771546","0.363135436951032","0.40057148859206"
"nicht erwerbstätig","1989","direkter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","indirekter Migrationshintergrund","Westdeutschland","107","0.437186543639604","0.376658886017561","0.497714201261647"
"nicht erwerbstätig","1989","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1989","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"erwerbstätig","1989","kein Migrationshintergrund","Westdeutschland","4314","0.587948033424591","0.576263032077833","0.599633034771349"
"erwerbstätig","1989","kein Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1989","direkter Migrationshintergrund","Westdeutschland","1782","0.618146537228454","0.59942851140794","0.636864563048968"
"erwerbstätig","1989","direkter Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1989","indirekter Migrationshintergrund","Westdeutschland","151","0.562813456360396","0.502285798738353","0.623341113982439"
"erwerbstätig","1989","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1989","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"erwerbstätig","1989","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1990","kein Migrationshintergrund","Westdeutschland","2396","0.39685934544096","0.385088097439153","0.408630593442767"
"nicht erwerbstätig","1990","kein Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1990","direkter Migrationshintergrund","Westdeutschland","799","0.374237048759153","0.355384054656584","0.393090042861721"
"nicht erwerbstätig","1990","direkter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1990","indirekter Migrationshintergrund","Westdeutschland","117","0.435358580004077","0.378684517295531","0.492032642712624"
"nicht erwerbstätig","1990","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"erwerbstätig","1990","kein Migrationshintergrund","Westdeutschland","4240","0.603140654559039","0.591369406557232","0.614911902560846"
"erwerbstätig","1990","kein Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1990","direkter Migrationshintergrund","Westdeutschland","1732","0.625762951240847","0.606909957138279","0.644615945343416"
"erwerbstätig","1990","direkter Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1990","indirekter Migrationshintergrund","Westdeutschland","177","0.564641419995923","0.507967357287376","0.621315482704469"
"erwerbstätig","1990","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"erwerbstätig","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1991","kein Migrationshintergrund","Westdeutschland","2351","0.398268632335941","0.3864402726812","0.410096991990681"
"nicht erwerbstätig","1991","kein Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1991","direkter Migrationshintergrund","Westdeutschland","757","0.35443708746118","0.335618541322935","0.373255633599424"
"nicht erwerbstätig","1991","direkter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1991","indirekter Migrationshintergrund","Westdeutschland","132","0.382899406281502","0.331680491764884","0.434118320798121"
"nicht erwerbstätig","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"erwerbstätig","1991","kein Migrationshintergrund","Westdeutschland","4229","0.601731367664059","0.589903008009319","0.6135597273188"
"erwerbstätig","1991","kein Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1991","direkter Migrationshintergrund","Westdeutschland","1725","0.64556291253882","0.626744366400576","0.664381458677065"
"erwerbstätig","1991","direkter Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1991","indirekter Migrationshintergrund","Westdeutschland","214","0.617100593718498","0.565881679201879","0.668319508235116"
"erwerbstätig","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"erwerbstätig","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"erwerbstätig","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1992","kein Migrationshintergrund","Westdeutschland","2314","0.398969400114026","0.387097775518632","0.410841024709419"
"nicht erwerbstätig","1992","kein Migrationshintergrund","Ostdeutschland","963","0.31068682356768","0.296013473467177","0.325360173668183"
"nicht erwerbstätig","1992","direkter Migrationshintergrund","Westdeutschland","737","0.347608587555647","0.328584255736116","0.366632919375177"
"nicht erwerbstätig","1992","direkter Migrationshintergrund","Ostdeutschland","65","0.513122999099534","0.431767959596392","0.594478038602676"
"nicht erwerbstätig","1992","indirekter Migrationshintergrund","Westdeutschland","151","0.385596129943392","0.337717011871052","0.433475248015732"
"nicht erwerbstätig","1992","indirekter Migrationshintergrund","Ostdeutschland","5","","",""
"nicht erwerbstätig","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"erwerbstätig","1992","kein Migrationshintergrund","Westdeutschland","4222","0.601030599885974","0.589158975290581","0.612902224481368"
"erwerbstätig","1992","kein Migrationshintergrund","Ostdeutschland","2858","0.68931317643232","0.674639826331817","0.703986526532823"
"erwerbstätig","1992","direkter Migrationshintergrund","Westdeutschland","1670","0.652391412444353","0.633367080624823","0.671415744263884"
"erwerbstätig","1992","direkter Migrationshintergrund","Ostdeutschland","80","0.486877000900466","0.405521961397323","0.568232040403608"
"erwerbstätig","1992","indirekter Migrationshintergrund","Westdeutschland","246","0.614403870056608","0.566524751984268","0.662282988128948"
"erwerbstätig","1992","indirekter Migrationshintergrund","Ostdeutschland","5","","",""
"erwerbstätig","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"erwerbstätig","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1993","kein Migrationshintergrund","Westdeutschland","2258","0.396596507949639","0.384681164714741","0.408511851184537"
"nicht erwerbstätig","1993","kein Migrationshintergrund","Ostdeutschland","1166","0.378357082432462","0.362690054732567","0.394024110132358"
"nicht erwerbstätig","1993","direkter Migrationshintergrund","Westdeutschland","739","0.348066142711713","0.328773696241548","0.367358589181878"
"nicht erwerbstätig","1993","direkter Migrationshintergrund","Ostdeutschland","74","0.601124117489436","0.518523713377071","0.683724521601801"
"nicht erwerbstätig","1993","indirekter Migrationshintergrund","Westdeutschland","160","0.391273432177384","0.34643053110813","0.436116333246637"
"nicht erwerbstätig","1993","indirekter Migrationshintergrund","Ostdeutschland","5","","",""
"nicht erwerbstätig","1993","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1993","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"erwerbstätig","1993","kein Migrationshintergrund","Westdeutschland","4217","0.603403492050361","0.591488148815463","0.615318835285259"
"erwerbstätig","1993","kein Migrationshintergrund","Ostdeutschland","2515","0.621642917567538","0.605975889867642","0.637309945267433"
"erwerbstätig","1993","direkter Migrationshintergrund","Westdeutschland","1603","0.651933857288287","0.632641410818122","0.671226303758452"
"erwerbstätig","1993","direkter Migrationshintergrund","Ostdeutschland","61","0.398875882510564","0.316275478398199","0.481476286622929"
"erwerbstätig","1993","indirekter Migrationshintergrund","Westdeutschland","295","0.608726567822617","0.563883666753363","0.65356946889187"
"erwerbstätig","1993","indirekter Migrationshintergrund","Ostdeutschland","8","","",""
"erwerbstätig","1993","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"erwerbstätig","1993","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1994","kein Migrationshintergrund","Westdeutschland","2301","0.406960221024806","0.394930969054964","0.418989472994647"
"nicht erwerbstätig","1994","kein Migrationshintergrund","Ostdeutschland","1238","0.408635643631613","0.392615384680139","0.424655902583087"
"nicht erwerbstätig","1994","direkter Migrationshintergrund","Westdeutschland","754","0.37455409127535","0.354397672334784","0.394710510215917"
"nicht erwerbstätig","1994","direkter Migrationshintergrund","Ostdeutschland","81","0.605152909438538","0.525035461610706","0.68527035726637"
"nicht erwerbstätig","1994","indirekter Migrationshintergrund","Westdeutschland","166","0.392315320336854","0.348452011216556","0.436178629457153"
"nicht erwerbstätig","1994","indirekter Migrationshintergrund","Ostdeutschland","5","","",""
"nicht erwerbstätig","1994","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1994","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"erwerbstätig","1994","kein Migrationshintergrund","Westdeutschland","4106","0.593039778975194","0.581010527005353","0.605069030945036"
"erwerbstätig","1994","kein Migrationshintergrund","Ostdeutschland","2379","0.591364356368387","0.575344097416913","0.607384615319861"
"erwerbstätig","1994","direkter Migrationshintergrund","Westdeutschland","1461","0.62544590872465","0.605289489784083","0.645602327665216"
"erwerbstätig","1994","direkter Migrationshintergrund","Ostdeutschland","62","0.394847090561462","0.31472964273363","0.474964538389294"
"erwerbstätig","1994","indirekter Migrationshintergrund","Westdeutschland","310","0.607684679663146","0.563821370542847","0.651547988783445"
"erwerbstätig","1994","indirekter Migrationshintergrund","Ostdeutschland","10","","",""
"erwerbstätig","1994","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"erwerbstätig","1994","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1995","kein Migrationshintergrund","Westdeutschland","2311","0.412398438207089","0.400397063659731","0.424399812754447"
"nicht erwerbstätig","1995","kein Migrationshintergrund","Ostdeutschland","1214","0.413263046482721","0.397030435188224","0.429495657777218"
"nicht erwerbstätig","1995","direkter Migrationshintergrund","Westdeutschland","1011","0.429257516680063","0.410369352456251","0.448145680903876"
"nicht erwerbstätig","1995","direkter Migrationshintergrund","Ostdeutschland","83","0.621938092794646","0.542462255591592","0.701413929997699"
"nicht erwerbstätig","1995","indirekter Migrationshintergrund","Westdeutschland","166","0.383820362928493","0.34076098732403","0.426879738532955"
"nicht erwerbstätig","1995","indirekter Migrationshintergrund","Ostdeutschland","4","","",""
"nicht erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"erwerbstätig","1995","kein Migrationshintergrund","Westdeutschland","4152","0.587601561792911","0.575600187245554","0.599602936340269"
"erwerbstätig","1995","kein Migrationshintergrund","Ostdeutschland","2321","0.586736953517279","0.570504342222782","0.602969564811776"
"erwerbstätig","1995","direkter Migrationshintergrund","Westdeutschland","1627","0.570742483319937","0.551854319096124","0.589630647543749"
"erwerbstätig","1995","direkter Migrationshintergrund","Ostdeutschland","60","0.378061907205355","0.298586070002301","0.457537744408408"
"erwerbstätig","1995","indirekter Migrationshintergrund","Westdeutschland","324","0.616179637071507","0.573120261467045","0.65923901267597"
"erwerbstätig","1995","indirekter Migrationshintergrund","Ostdeutschland","11","","",""
"erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1996","kein Migrationshintergrund","Westdeutschland","2228","0.407820320897889","0.39576166415621","0.419878977639567"
"nicht erwerbstätig","1996","kein Migrationshintergrund","Ostdeutschland","1197","0.4095406169464","0.39330712183144","0.425774112061359"
"nicht erwerbstätig","1996","direkter Migrationshintergrund","Westdeutschland","936","0.429009861127408","0.409443723988465","0.448575998266352"
"nicht erwerbstätig","1996","direkter Migrationshintergrund","Ostdeutschland","82","0.643044512107004","0.563682691374807","0.722406332839201"
"nicht erwerbstätig","1996","indirekter Migrationshintergrund","Westdeutschland","176","0.388099784859839","0.346454367111329","0.429745202608349"
"nicht erwerbstätig","1996","indirekter Migrationshintergrund","Ostdeutschland","6","","",""
"nicht erwerbstätig","1996","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1996","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"erwerbstätig","1996","kein Migrationshintergrund","Westdeutschland","4152","0.592179679102111","0.580121022360433","0.604238335843789"
"erwerbstätig","1996","kein Migrationshintergrund","Ostdeutschland","2328","0.5904593830536","0.574225887938641","0.60669287816856"
"erwerbstätig","1996","direkter Migrationshintergrund","Westdeutschland","1522","0.570990138872592","0.551424001733649","0.590556276011535"
"erwerbstätig","1996","direkter Migrationshintergrund","Ostdeutschland","58","0.356955487892996","0.2775936671608","0.436317308625193"
"erwerbstätig","1996","indirekter Migrationshintergrund","Westdeutschland","350","0.611900215140161","0.570254797391651","0.653545632888671"
"erwerbstätig","1996","indirekter Migrationshintergrund","Ostdeutschland","13","","",""
"erwerbstätig","1996","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"erwerbstätig","1996","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1997","kein Migrationshintergrund","Westdeutschland","2256","0.415501583196889","0.403338347602139","0.427664818791639"
"nicht erwerbstätig","1997","kein Migrationshintergrund","Ostdeutschland","1235","0.420332438766414","0.403939481515906","0.436725396016921"
"nicht erwerbstätig","1997","direkter Migrationshintergrund","Westdeutschland","928","0.432574185163293","0.412504885005253","0.452643485321333"
"nicht erwerbstätig","1997","direkter Migrationshintergrund","Ostdeutschland","78","0.648821712010433","0.566767112373387","0.730876311647478"
"nicht erwerbstätig","1997","indirekter Migrationshintergrund","Westdeutschland","195","0.396517889350757","0.355524104162052","0.437511674539463"
"nicht erwerbstätig","1997","indirekter Migrationshintergrund","Ostdeutschland","9","","",""
"nicht erwerbstätig","1997","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1997","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"erwerbstätig","1997","kein Migrationshintergrund","Westdeutschland","4050","0.584498416803111","0.572335181208361","0.596661652397861"
"erwerbstätig","1997","kein Migrationshintergrund","Ostdeutschland","2248","0.579667561233586","0.563274603983079","0.596060518484094"
"erwerbstätig","1997","direkter Migrationshintergrund","Westdeutschland","1413","0.567425814836707","0.547356514678667","0.587495114994747"
"erwerbstätig","1997","direkter Migrationshintergrund","Ostdeutschland","52","0.351178287989567","0.269123688352522","0.433232887626613"
"erwerbstätig","1997","indirekter Migrationshintergrund","Westdeutschland","352","0.603482110649243","0.562488325460537","0.644475895837948"
"erwerbstätig","1997","indirekter Migrationshintergrund","Ostdeutschland","12","","",""
"erwerbstätig","1997","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"erwerbstätig","1997","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1998","kein Migrationshintergrund","Westdeutschland","2847","0.42991357236163","0.418723600938616","0.441103543784644"
"nicht erwerbstätig","1998","kein Migrationshintergrund","Ostdeutschland","1331","0.421712296846654","0.405847298987927","0.43757729470538"
"nicht erwerbstätig","1998","direkter Migrationshintergrund","Westdeutschland","924","0.422575392884064","0.402303925166737","0.442846860601392"
"nicht erwerbstätig","1998","direkter Migrationshintergrund","Ostdeutschland","75","0.68321826034111","0.599278661426564","0.767157859255657"
"nicht erwerbstätig","1998","indirekter Migrationshintergrund","Westdeutschland","197","0.378976519773328","0.339254534870941","0.418698504675716"
"nicht erwerbstätig","1998","indirekter Migrationshintergrund","Ostdeutschland","9","","",""
"nicht erwerbstätig","1998","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1998","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"erwerbstätig","1998","kein Migrationshintergrund","Westdeutschland","4672","0.57008642763837","0.558896456215356","0.581276399061384"
"erwerbstätig","1998","kein Migrationshintergrund","Ostdeutschland","2391","0.578287703153346","0.56242270529462","0.594152701012073"
"erwerbstätig","1998","direkter Migrationshintergrund","Westdeutschland","1357","0.577424607115936","0.557153139398609","0.597696074833263"
"erwerbstätig","1998","direkter Migrationshintergrund","Ostdeutschland","43","0.31678173965889","0.232842140744343","0.400721338573436"
"erwerbstätig","1998","indirekter Migrationshintergrund","Westdeutschland","376","0.621023480226672","0.581301495324284","0.660745465129059"
"erwerbstätig","1998","indirekter Migrationshintergrund","Ostdeutschland","16","","",""
"erwerbstätig","1998","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"erwerbstätig","1998","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1999","kein Migrationshintergrund","Westdeutschland","2526","0.40324099776783","0.391919547532553","0.414562448003108"
"nicht erwerbstätig","1999","kein Migrationshintergrund","Ostdeutschland","1292","0.41891194420619","0.402912474040563","0.434911414371817"
"nicht erwerbstätig","1999","direkter Migrationshintergrund","Westdeutschland","829","0.399748360383757","0.378772677894712","0.420724042872801"
"nicht erwerbstätig","1999","direkter Migrationshintergrund","Ostdeutschland","70","0.667276627180478","0.578820187871325","0.755733066489631"
"nicht erwerbstätig","1999","indirekter Migrationshintergrund","Westdeutschland","186","0.358801054249618","0.319899681899572","0.397702426599663"
"nicht erwerbstätig","1999","indirekter Migrationshintergrund","Ostdeutschland","6","","",""
"nicht erwerbstätig","1999","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1999","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"erwerbstätig","1999","kein Migrationshintergrund","Westdeutschland","4686","0.59675900223217","0.585437551996892","0.608080452467447"
"erwerbstätig","1999","kein Migrationshintergrund","Ostdeutschland","2361","0.58108805579381","0.565088585628183","0.597087525959437"
"erwerbstätig","1999","direkter Migrationshintergrund","Westdeutschland","1266","0.600251639616243","0.579275957127199","0.621227322105288"
"erwerbstätig","1999","direkter Migrationshintergrund","Ostdeutschland","39","0.332723372819522","0.244266933510369","0.421179812128675"
"erwerbstätig","1999","indirekter Migrationshintergrund","Westdeutschland","398","0.641198945750382","0.602297573400337","0.680100318100428"
"erwerbstätig","1999","indirekter Migrationshintergrund","Ostdeutschland","15","","",""
"erwerbstätig","1999","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"erwerbstätig","1999","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","2000","kein Migrationshintergrund","Westdeutschland","5289","0.396964912307581","0.388947460973247","0.404982363641915"
"nicht erwerbstätig","2000","kein Migrationshintergrund","Ostdeutschland","2111","0.417936581909493","0.405103121617041","0.430770042201944"
"nicht erwerbstätig","2000","direkter Migrationshintergrund","Westdeutschland","1251","0.394097639411688","0.377049270570566","0.411146008252809"
"nicht erwerbstätig","2000","direkter Migrationshintergrund","Ostdeutschland","96","0.6848499128559","0.610254628295073","0.759445197416728"
