year,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2010,Probably,0.01990,943,9552,0.01710,0.02270
2010,"Yes, definitely",0.07400,3082,9552,0.06875,0.07925
2011,"No, definitely not",0.24549,6690,11049,0.23746,0.25351
2011,Probably not,0.01069,474,11049,0.00877,0.01260
2011,Probably,0.01841,923,11049,0.01590,0.02091
2011,"Yes, definitely",0.06574,2962,11049,0.06111,0.07036
2012,"No, definitely not",0.24449,6609,10639,0.23632,0.25265
2012,Probably not,0.01234,480,10639,0.01024,0.01444
2012,Probably,0.01954,857,10639,0.01691,0.02217
2012,"Yes, definitely",0.06693,2693,10639,0.06218,0.07168
2013,"No, definitely not",0.24301,6509,11341,0.23512,0.25091
2013,Probably not,0.01273,515,11341,0.01066,0.01479
2013,Probably,0.01775,954,11341,0.01532,0.02018
2013,"Yes, definitely",0.06913,3363,11341,0.06446,0.07380
2014,"No, definitely not",0.23853,6078,10046,0.23020,0.24686
2014,Probably not,0.01262,449,10046,0.01044,0.01480
2014,Probably,0.01824,799,10046,0.01562,0.02085
2014,"Yes, definitely",0.06776,2720,10046,0.06284,0.07267
2015,"No, definitely not",0.24116,5969,10031,0.23278,0.24953
2015,Probably not,0.01251,491,10031,0.01033,0.01468
2015,Probably,0.01716,780,10031,0.01461,0.01970
2015,"Yes, definitely",0.06705,2791,10031,0.06216,0.07194
2016,"No, definitely not",0.23428,5785,11605,0.22657,0.24198
2016,Probably not,0.01197,506,11605,0.00999,0.01395
2016,Probably,0.01882,1220,11605,0.01635,0.02129
2016,"Yes, definitely",0.06752,4094,11605,0.06295,0.07208
2017,"No, definitely not",0.22869,6062,12678,0.22138,0.23600
2017,Probably not,0.01333,549,12678,0.01134,0.01533
2017,Probably,0.01678,1269,12678,0.01455,0.01902
2017,"Yes, definitely",0.06699,4798,12678,0.06264,0.07134
2018,"No, definitely not",0.23086,5995,11792,0.22325,0.23847
2018,Probably not,0.01143,481,11792,0.00951,0.01335
2018,Probably,0.01602,1150,11792,0.01376,0.01829
2018,"Yes, definitely",0.06396,4166,11792,0.05954,0.06837
2019,"No, definitely not",0.22852,5920,10805,0.22060,0.23644
2019,Probably not,0.01169,427,10805,0.00966,0.01371
2019,Probably,0.01674,979,10805,0.01432,0.01916
2019,"Yes, definitely",0.05897,3479,10805,0.05453,0.06342
2020,"No, definitely not",0.22601,5606,10777,0.21811,0.23391
2020,Probably not,0.01247,472,10777,0.01038,0.01457
2020,Probably,0.01775,1028,10777,0.01526,0.02025
2020,"Yes, definitely",0.05819,3671,10777,0.05377,0.06261
2021,"No, definitely not",0.21638,3917,7154,0.20683,0.22592
2021,Probably not,0.01305,311,7154,0.01042,0.01568
2021,Probably,0.02101,815,7154,0.01769,0.02434
2021,"Yes, definitely",0.05711,2111,7154,0.05173,0.06248
