,Unnamed: 0,year,bula_h,quintil_oecd,plj0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
113,113,2014,Schleswig-Holstein,2nd Quintile,"Yes, depending on situation",0.25254,50,24963,0.18082,0.33831
114,114,2014,Schleswig-Holstein,2nd Quintile,Rather not,0.29975,46,24963,0.20558,0.4021
115,115,2014,Schleswig-Holstein,2nd Quintile,Never,0.44771,65,24963,0.33887,0.58052
116,116,2014,Schleswig-Holstein,3rd Quintile,"Yes, depending on situation",0.27408,52,24963,0.203,0.3644
117,117,2014,Schleswig-Holstein,3rd Quintile,Rather not,0.35216,40,24963,0.26528,0.45587
118,118,2014,Schleswig-Holstein,3rd Quintile,Never,0.37376,59,24963,0.28124,0.49429
119,119,2014,Schleswig-Holstein,4th Quintile,"Yes, depending on situation",0.32695,60,24963,0.25254,0.4101
120,120,2014,Schleswig-Holstein,4th Quintile,Rather not,0.31171,48,24963,0.24356,0.39591
121,121,2014,Schleswig-Holstein,4th Quintile,Never,0.36133,60,24963,0.29286,0.43042
122,122,2014,Schleswig-Holstein,5th Quintile,"Yes, depending on situation",0.47283,51,24963,0.33961,0.63319
123,123,2014,Schleswig-Holstein,5th Quintile,Rather not,0.29489,47,24963,0.20227,0.39388
124,124,2014,Schleswig-Holstein,5th Quintile,Never,0.23229,41,24963,0.17944,0.2914
125,125,2014,Hamburg,1st Quintile,Never,1.0,39,24963,0.77069,1.24616
126,126,2014,Hamburg,2nd Quintile,Never,1.0,36,24963,0.76256,1.27094
127,127,2014,Hamburg,4th Quintile,"Yes, depending on situation",1.0,37,24963,0.6119,1.50511
128,128,2014,Hamburg,5th Quintile,"Yes, depending on situation",0.54424,35,24963,0.35723,0.78819
129,129,2014,Hamburg,5th Quintile,Never,0.45576,33,24963,0.32478,0.59945
130,130,2014,Lower Saxony,1st Quintile,"Yes, happily",0.04804,35,24963,0.03381,0.06218
131,131,2014,Lower Saxony,1st Quintile,"Yes, depending on situation",0.27144,154,24963,0.22163,0.33186
132,132,2014,Lower Saxony,1st Quintile,Rather not,0.19013,145,24963,0.15993,0.23583
133,133,2014,Lower Saxony,1st Quintile,Never,0.49039,278,24963,0.41865,0.55774
134,134,2014,Lower Saxony,2nd Quintile,"Yes, depending on situation",0.30206,138,24963,0.2367,0.35787
135,135,2014,Lower Saxony,2nd Quintile,Rather not,0.26572,116,24963,0.20468,0.32442
136,136,2014,Lower Saxony,2nd Quintile,Never,0.43222,181,24963,0.35458,0.49327
137,137,2014,Lower Saxony,3rd Quintile,"Yes, depending on situation",0.31267,159,24963,0.26285,0.3696
138,138,2014,Lower Saxony,3rd Quintile,Rather not,0.3185,135,24963,0.25376,0.38422
139,139,2014,Lower Saxony,3rd Quintile,Never,0.36883,154,24963,0.31111,0.43421
140,140,2014,Lower Saxony,4th Quintile,"Yes, depending on situation",0.32649,163,24963,0.27376,0.38385
141,141,2014,Lower Saxony,4th Quintile,Rather not,0.34326,164,24963,0.29454,0.39553
142,142,2014,Lower Saxony,4th Quintile,Never,0.33025,173,24963,0.29137,0.37446
143,143,2014,Lower Saxony,5th Quintile,"Yes, happily",0.04095,34,24963,0.02862,0.05473
144,144,2014,Lower Saxony,5th Quintile,"Yes, depending on situation",0.41077,201,24963,0.359,0.47384
145,145,2014,Lower Saxony,5th Quintile,Rather not,0.28656,135,24963,0.23927,0.35335
146,146,2014,Lower Saxony,5th Quintile,Never,0.26172,117,24963,0.22166,0.305
147,147,2014,Bremen,1st Quintile,Never,1.0,40,24963,0.77206,1.34332
148,148,2014,North Rhine-Westphalia,1st Quintile,"Yes, happily",0.02784,40,24963,0.02015,0.03881
149,149,2014,North Rhine-Westphalia,1st Quintile,"Yes, depending on situation",0.21517,279,24963,0.18472,0.2592
150,150,2014,North Rhine-Westphalia,1st Quintile,Rather not,0.27216,322,24963,0.22725,0.31959
151,151,2014,North Rhine-Westphalia,1st Quintile,Never,0.48483,606,24963,0.43759,0.52605
152,152,2014,North Rhine-Westphalia,2nd Quintile,"Yes, happily",0.02544,51,24963,0.01936,0.03342
153,153,2014,North Rhine-Westphalia,2nd Quintile,"Yes, depending on situation",0.23351,230,24963,0.19245,0.27063
154,154,2014,North Rhine-Westphalia,2nd Quintile,Rather not,0.24865,271,24963,0.21277,0.28222
155,155,2014,North Rhine-Westphalia,2nd Quintile,Never,0.4924,491,24963,0.44728,0.54708
156,156,2014,North Rhine-Westphalia,3rd Quintile,"Yes, happily",0.03434,37,24963,0.02229,0.04599
157,157,2014,North Rhine-Westphalia,3rd Quintile,"Yes, depending on situation",0.2706,269,24963,0.22581,0.31448
158,158,2014,North Rhine-Westphalia,3rd Quintile,Rather not,0.2773,284,24963,0.2339,0.31982
159,159,2014,North Rhine-Westphalia,3rd Quintile,Never,0.41777,423,24963,0.37332,0.45706
160,160,2014,North Rhine-Westphalia,4th Quintile,"Yes, happily",0.03427,32,24963,0.02367,0.04431
161,161,2014,North Rhine-Westphalia,4th Quintile,"Yes, depending on situation",0.32832,320,24963,0.29277,0.37072
162,162,2014,North Rhine-Westphalia,4th Quintile,Rather not,0.2997,297,24963,0.2701,0.33604
163,163,2014,North Rhine-Westphalia,4th Quintile,Never,0.33771,394,24963,0.30627,0.36291
164,164,2014,North Rhine-Westphalia,5th Quintile,"Yes, happily",0.04848,56,24963,0.0374,0.05808
165,165,2014,North Rhine-Westphalia,5th Quintile,"Yes, depending on situation",0.31654,371,24963,0.28358,0.35545
166,166,2014,North Rhine-Westphalia,5th Quintile,Rather not,0.28025,331,24963,0.24492,0.31109
167,167,2014,North Rhine-Westphalia,5th Quintile,Never,0.35473,387,24963,0.31583,0.39109
168,168,2014,Hesse,1st Quintile,"Yes, depending on situation",0.24876,81,24963,0.19439,0.29849
169,169,2014,Hesse,1st Quintile,Rather not,0.21862,96,24963,0.17978,0.2601
170,170,2014,Hesse,1st Quintile,Never,0.53262,165,24963,0.45066,0.61978
171,171,2014,Hesse,2nd Quintile,"Yes, depending on situation",0.21742,75,24963,0.16138,0.27932
172,172,2014,Hesse,2nd Quintile,Rather not,0.31067,98,24963,0.24894,0.40302
173,173,2014,Hesse,2nd Quintile,Never,0.47192,135,24963,0.38704,0.58673
174,174,2014,Hesse,3rd Quintile,"Yes, depending on situation",0.24827,80,24963,0.19961,0.29839
175,175,2014,Hesse,3rd Quintile,Rather not,0.40209,113,24963,0.33579,0.47247
176,176,2014,Hesse,3rd Quintile,Never,0.34964,114,24963,0.28018,0.4233
177,177,2014,Hesse,4th Quintile,"Yes, depending on situation",0.33567,121,24963,0.27628,0.40574
178,178,2014,Hesse,4th Quintile,Rather not,0.28153,96,24963,0.22136,0.35044
179,179,2014,Hesse,4th Quintile,Never,0.3828,123,24963,0.32055,0.45492
180,180,2014,Hesse,5th Quintile,"Yes, depending on situation",0.42195,203,24963,0.3676,0.47786
181,181,2014,Hesse,5th Quintile,Rather not,0.31898,166,24963,0.2652,0.37426
182,182,2014,Hesse,5th Quintile,Never,0.25907,94,24963,0.21524,0.30602
183,183,2014,"Rhineland-Palatinate, Saarland",1st Quintile,"Yes, depending on situation",0.23154,82,24963,0.19117,0.29296
184,184,2014,"Rhineland-Palatinate, Saarland",1st Quintile,Rather not,0.27584,94,24963,0.21359,0.35247
185,185,2014,"Rhineland-Palatinate, Saarland",1st Quintile,Never,0.49261,151,24963,0.41822,0.59868
186,186,2014,"Rhineland-Palatinate, Saarland",2nd Quintile,"Yes, depending on situation",0.18984,69,24963,0.14329,0.2384
187,187,2014,"Rhineland-Palatinate, Saarland",2nd Quintile,Rather not,0.28447,91,24963,0.22241,0.3716
188,188,2014,"Rhineland-Palatinate, Saarland",2nd Quintile,Never,0.52569,161,24963,0.4616,0.59226
189,189,2014,"Rhineland-Palatinate, Saarland",3rd Quintile,"Yes, depending on situation",0.21723,74,24963,0.16152,0.27113
190,190,2014,"Rhineland-Palatinate, Saarland",3rd Quintile,Rather not,0.33289,74,24963,0.26459,0.41403
191,191,2014,"Rhineland-Palatinate, Saarland",3rd Quintile,Never,0.44988,163,24963,0.38591,0.52498
192,192,2014,"Rhineland-Palatinate, Saarland",4th Quintile,"Yes, depending on situation",0.24843,64,24963,0.18231,0.31931
193,193,2014,"Rhineland-Palatinate, Saarland",4th Quintile,Rather not,0.32796,83,24963,0.27934,0.38838
194,194,2014,"Rhineland-Palatinate, Saarland",4th Quintile,Never,0.42361,121,24963,0.35583,0.48975
195,195,2014,"Rhineland-Palatinate, Saarland",5th Quintile,"Yes, depending on situation",0.34358,95,24963,0.27896,0.43682
196,196,2014,"Rhineland-Palatinate, Saarland",5th Quintile,Rather not,0.31985,79,24963,0.25941,0.38511
197,197,2014,"Rhineland-Palatinate, Saarland",5th Quintile,Never,0.33657,91,24963,0.27046,0.40889
198,198,2014,Baden-Wuerttemberg,1st Quintile,"Yes, depending on situation",0.25415,77,24963,0.188,0.33575
199,199,2014,Baden-Wuerttemberg,1st Quintile,Rather not,0.28266,127,24963,0.22944,0.34352
200,200,2014,Baden-Wuerttemberg,1st Quintile,Never,0.46318,228,24963,0.40208,0.52586
201,201,2014,Baden-Wuerttemberg,2nd Quintile,"Yes, depending on situation",0.24712,134,24963,0.19119,0.31307
202,202,2014,Baden-Wuerttemberg,2nd Quintile,Rather not,0.29234,171,24963,0.24012,0.34842
203,203,2014,Baden-Wuerttemberg,2nd Quintile,Never,0.46054,254,24963,0.40505,0.53018
204,204,2014,Baden-Wuerttemberg,3rd Quintile,"Yes, depending on situation",0.23806,125,24963,0.19794,0.2778
205,205,2014,Baden-Wuerttemberg,3rd Quintile,Rather not,0.31227,201,24963,0.2627,0.36087
206,206,2014,Baden-Wuerttemberg,3rd Quintile,Never,0.44966,284,24963,0.39286,0.50404
207,207,2014,Baden-Wuerttemberg,4th Quintile,"Yes, happily",0.03725,31,24963,0.02284,0.05312
208,208,2014,Baden-Wuerttemberg,4th Quintile,"Yes, depending on situation",0.21014,154,24963,0.17301,0.249
209,209,2014,Baden-Wuerttemberg,4th Quintile,Rather not,0.32304,225,24963,0.28047,0.36853
210,210,2014,Baden-Wuerttemberg,4th Quintile,Never,0.42957,259,24963,0.38121,0.47474
211,211,2014,Baden-Wuerttemberg,5th Quintile,"Yes, happily",0.0452,41,24963,0.0301,0.063
212,212,2014,Baden-Wuerttemberg,5th Quintile,"Yes, depending on situation",0.28502,234,24963,0.25128,0.31766
213,213,2014,Baden-Wuerttemberg,5th Quintile,Rather not,0.34225,288,24963,0.29463,0.3905
214,214,2014,Baden-Wuerttemberg,5th Quintile,Never,0.32753,262,24963,0.29129,0.36631
215,215,2014,Bavaria,1st Quintile,"Yes, depending on situation",0.19705,138,24963,0.15631,0.24132
216,216,2014,Bavaria,1st Quintile,Rather not,0.18737,149,24963,0.14889,0.2269
217,217,2014,Bavaria,1st Quintile,Never,0.61557,412,24963,0.54928,0.69745
218,218,2014,Bavaria,2nd Quintile,"Yes, depending on situation",0.14878,134,24963,0.11742,0.18499
219,219,2014,Bavaria,2nd Quintile,Rather not,0.24175,213,24963,0.19774,0.28303
220,220,2014,Bavaria,2nd Quintile,Never,0.60947,468,24963,0.54869,0.66237
221,221,2014,Bavaria,3rd Quintile,"Yes, depending on situation",0.1704,152,24963,0.13772,0.20626
222,222,2014,Bavaria,3rd Quintile,Rather not,0.3086,234,24963,0.26065,0.36167
223,223,2014,Bavaria,3rd Quintile,Never,0.521,387,24963,0.47876,0.57877
224,224,2014,Bavaria,4th Quintile,"Yes, happily",0.03923,40,24963,0.02618,0.05403
225,225,2014,Bavaria,4th Quintile,"Yes, depending on situation",0.21034,168,24963,0.17409,0.25302
226,226,2014,Bavaria,4th Quintile,Rather not,0.27264,285,24963,0.23654,0.30299
227,227,2014,Bavaria,4th Quintile,Never,0.4778,401,24963,0.42325,0.52426
228,228,2014,Bavaria,5th Quintile,"Yes, happily",0.02933,36,24963,0.01901,0.04415
229,229,2014,Bavaria,5th Quintile,"Yes, depending on situation",0.27003,296,24963,0.23277,0.30396
230,230,2014,Bavaria,5th Quintile,Rather not,0.31059,314,24963,0.27652,0.34746
231,231,2014,Bavaria,5th Quintile,Never,0.39005,367,24963,0.35225,0.43013
232,232,2014,Berlin,1st Quintile,"Yes, happily",0.1711,34,24963,0.12636,0.20734
233,233,2014,Berlin,1st Quintile,"Yes, depending on situation",0.37724,85,24963,0.29681,0.4777
234,234,2014,Berlin,1st Quintile,Rather not,0.23194,47,24963,0.17751,0.30719
235,235,2014,Berlin,1st Quintile,Never,0.21972,51,24963,0.16133,0.27667
236,236,2014,Berlin,2nd Quintile,"Yes, depending on situation",0.51484,86,24963,0.42635,0.62956
237,237,2014,Berlin,2nd Quintile,Rather not,0.1743,45,24963,0.13562,0.21608
238,238,2014,Berlin,2nd Quintile,Never,0.31086,44,24963,0.24279,0.39425
239,239,2014,Berlin,3rd Quintile,"Yes, depending on situation",0.46941,72,24963,0.3574,0.58694
240,240,2014,Berlin,3rd Quintile,Rather not,0.30123,46,24963,0.22438,0.37494
241,241,2014,Berlin,3rd Quintile,Never,0.22936,31,24963,0.16079,0.29336
242,242,2014,Berlin,4th Quintile,"Yes, happily",0.19177,34,24963,0.15499,0.23072
243,243,2014,Berlin,4th Quintile,"Yes, depending on situation",0.36856,78,24963,0.28127,0.48102
244,244,2014,Berlin,4th Quintile,Rather not,0.26872,44,24963,0.20035,0.32696
245,245,2014,Berlin,4th Quintile,Never,0.17095,31,24963,0.13372,0.22048
246,246,2014,Berlin,5th Quintile,"Yes, depending on situation",0.63468,82,24963,0.50021,0.77714
247,247,2014,Berlin,5th Quintile,Rather not,0.36532,57,24963,0.26519,0.49075
248,248,2014,Brandenburg,1st Quintile,"Yes, depending on situation",0.3276,79,24963,0.23791,0.44254
249,249,2014,Brandenburg,1st Quintile,Rather not,0.20366,61,24963,0.15755,0.26046
250,250,2014,Brandenburg,1st Quintile,Never,0.46874,118,24963,0.38843,0.54779
251,251,2014,Brandenburg,2nd Quintile,"Yes, depending on situation",0.24478,54,24963,0.17838,0.32037
252,252,2014,Brandenburg,2nd Quintile,Rather not,0.24123,59,24963,0.19156,0.30792
253,253,2014,Brandenburg,2nd Quintile,Never,0.51399,111,24963,0.44561,0.59141
254,254,2014,Brandenburg,3rd Quintile,"Yes, depending on situation",0.22682,52,24963,0.17233,0.29276
255,255,2014,Brandenburg,3rd Quintile,Rather not,0.33758,62,24963,0.24692,0.45486
256,256,2014,Brandenburg,3rd Quintile,Never,0.4356,85,24963,0.36891,0.53553
257,257,2014,Brandenburg,4th Quintile,"Yes, depending on situation",0.37699,59,24963,0.26542,0.46257
258,258,2014,Brandenburg,4th Quintile,Rather not,0.32792,50,24963,0.25445,0.42992
259,259,2014,Brandenburg,4th Quintile,Never,0.29509,51,24963,0.24385,0.37103
260,260,2014,Brandenburg,5th Quintile,"Yes, depending on situation",0.57713,48,24963,0.42247,0.75191
261,261,2014,Brandenburg,5th Quintile,Rather not,0.42287,39,24963,0.32467,0.52726
262,262,2014,Mecklenburg-Western Pomerania,1st Quintile,"Yes, depending on situation",0.23023,57,24963,0.17772,0.27872
263,263,2014,Mecklenburg-Western Pomerania,1st Quintile,Rather not,0.34002,37,24963,0.2413,0.48326
264,264,2014,Mecklenburg-Western Pomerania,1st Quintile,Never,0.42975,64,24963,0.34251,0.50681
265,265,2014,Mecklenburg-Western Pomerania,2nd Quintile,"Yes, depending on situation",0.20576,37,24963,0.13649,0.31271
266,266,2014,Mecklenburg-Western Pomerania,2nd Quintile,Rather not,0.32788,39,24963,0.24117,0.42861
267,267,2014,Mecklenburg-Western Pomerania,2nd Quintile,Never,0.46636,67,24963,0.39858,0.5398
268,268,2014,Mecklenburg-Western Pomerania,3rd Quintile,Never,1.0,39,24963,0.76596,1.23864
269,269,2014,Saxony,1st Quintile,"Yes, depending on situation",0.24159,89,24963,0.1918,0.29239
270,270,2014,Saxony,1st Quintile,Rather not,0.30087,110,24963,0.24863,0.35914
271,271,2014,Saxony,1st Quintile,Never,0.45753,126,24963,0.3863,0.526
272,272,2014,Saxony,2nd Quintile,"Yes, depending on situation",0.25647,108,24963,0.20474,0.32575
273,273,2014,Saxony,2nd Quintile,Rather not,0.37005,138,24963,0.30202,0.45762
274,274,2014,Saxony,2nd Quintile,Never,0.37348,167,24963,0.32826,0.41884
