year,pgisced97,quintil_oecd,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Upper Secondary Level,3rd Quintile,Rather not,0.36061,308,949,0.33004,0.39118
2009,Upper Secondary Level,3rd Quintile,Never,0.22578,198,949,0.19917,0.25240
2009,Upper Secondary Level,4th Quintile,"Yes, happily",0.05692,53,1010,0.04263,0.07122
2009,Upper Secondary Level,4th Quintile,"Yes, depending on situation",0.36889,378,1010,0.33911,0.39866
2009,Upper Secondary Level,4th Quintile,Rather not,0.36514,374,1010,0.33543,0.39485
2009,Upper Secondary Level,4th Quintile,Never,0.20905,205,1010,0.18396,0.23414
2009,Upper Secondary Level,5th Quintile,"Yes, happily",0.04890,50,982,0.03540,0.06240
2009,Upper Secondary Level,5th Quintile,"Yes, depending on situation",0.33828,340,982,0.30867,0.36789
2009,Upper Secondary Level,5th Quintile,Rather not,0.41370,407,982,0.38289,0.44452
2009,Upper Secondary Level,5th Quintile,Never,0.19912,185,982,0.17413,0.22411
2009,Post-secondary Non-tertiary Level,1st Quintile,Rather not,0.36311,34,34,0.19903,0.52719
2009,Post-secondary Non-tertiary Level,2nd Quintile,"Yes, depending on situation",0.31103,33,66,0.19849,0.42357
2009,Post-secondary Non-tertiary Level,2nd Quintile,Rather not,0.33917,33,66,0.22408,0.45427
2009,Post-secondary Non-tertiary Level,3rd Quintile,"Yes, depending on situation",0.36328,51,95,0.26605,0.46051
2009,Post-secondary Non-tertiary Level,3rd Quintile,Rather not,0.39648,44,95,0.29759,0.49537
2009,Post-secondary Non-tertiary Level,4th Quintile,"Yes, depending on situation",0.38175,56,119,0.29409,0.46941
2009,Post-secondary Non-tertiary Level,4th Quintile,Rather not,0.41191,63,119,0.32311,0.50072
2009,Post-secondary Non-tertiary Level,5th Quintile,"Yes, depending on situation",0.33401,87,219,0.27140,0.39662
2009,Post-secondary Non-tertiary Level,5th Quintile,Rather not,0.44714,93,219,0.38114,0.51315
2009,Post-secondary Non-tertiary Level,5th Quintile,Never,0.19583,39,219,0.14315,0.24851
2009,First Stage of Tertiary Education,2nd Quintile,"Yes, depending on situation",0.43601,33,33,0.26420,0.60783
2009,First Stage of Tertiary Education,3rd Quintile,"Yes, depending on situation",0.36642,62,122,0.28057,0.45228
2009,First Stage of Tertiary Education,3rd Quintile,Rather not,0.40078,60,122,0.31346,0.48809
2009,First Stage of Tertiary Education,4th Quintile,"Yes, depending on situation",0.47758,97,161,0.40018,0.55498
2009,First Stage of Tertiary Education,4th Quintile,Rather not,0.34641,64,161,0.27268,0.42014
2009,First Stage of Tertiary Education,5th Quintile,"Yes, depending on situation",0.36097,87,196,0.29356,0.42839
2009,First Stage of Tertiary Education,5th Quintile,Rather not,0.41325,76,196,0.34414,0.48237
2009,First Stage of Tertiary Education,5th Quintile,Never,0.17070,33,196,0.11789,0.22351
2009,Second Stage of Tertiary Education,1st Quintile,"Yes, depending on situation",0.45516,70,118,0.36492,0.54540
2009,Second Stage of Tertiary Education,1st Quintile,Rather not,0.34994,48,118,0.26351,0.43636
2009,Second Stage of Tertiary Education,2nd Quintile,"Yes, depending on situation",0.52714,104,164,0.45050,0.60379
2009,Second Stage of Tertiary Education,2nd Quintile,Rather not,0.27940,60,164,0.21052,0.34829
2009,Second Stage of Tertiary Education,3rd Quintile,"Yes, depending on situation",0.44547,157,297,0.38885,0.50210
2009,Second Stage of Tertiary Education,3rd Quintile,Rather not,0.36137,107,297,0.30664,0.41609
2009,Second Stage of Tertiary Education,3rd Quintile,Never,0.13288,33,297,0.09421,0.17155
2009,Second Stage of Tertiary Education,4th Quintile,"Yes, depending on situation",0.48245,243,496,0.43843,0.52647
2009,Second Stage of Tertiary Education,4th Quintile,Rather not,0.35833,200,496,0.31608,0.40057
2009,Second Stage of Tertiary Education,4th Quintile,Never,0.10817,53,496,0.08081,0.13553
2009,Second Stage of Tertiary Education,5th Quintile,"Yes, happily",0.07574,114,1441,0.06207,0.08941
2009,Second Stage of Tertiary Education,5th Quintile,"Yes, depending on situation",0.43107,690,1441,0.40549,0.45665
2009,Second Stage of Tertiary Education,5th Quintile,Rather not,0.37533,483,1441,0.35032,0.40034
2009,Second Stage of Tertiary Education,5th Quintile,Never,0.11786,154,1441,0.10121,0.13451
2014,No answer / don't know,1st Quintile,"Yes, depending on situation",0.22680,73,234,0.17303,0.28057
2014,No answer / don't know,1st Quintile,Rather not,0.19615,58,234,0.14516,0.24714
2014,No answer / don't know,1st Quintile,Never,0.46631,103,234,0.40225,0.53037
2014,No answer / don't know,2nd Quintile,Never,0.49236,46,46,0.34628,0.63843
2014,No answer / don't know,3rd Quintile,"Yes, depending on situation",0.39086,38,38,0.23363,0.54809
2014,No answer / don't know,5th Quintile,"Yes, depending on situation",0.47424,31,31,0.29556,0.65293
2014,Pre-primary Level,1st Quintile,"Yes, depending on situation",0.48219,60,101,0.38425,0.58013
2014,Pre-primary Level,1st Quintile,Rather not,0.24341,41,101,0.15930,0.32752
2014,Pre-primary Level,2nd Quintile,"Yes, depending on situation",0.47046,41,41,0.31578,0.62514
2014,Pre-primary Level,4th Quintile,"Yes, depending on situation",0.50662,39,39,0.34766,0.66559
2014,Pre-primary Level,5th Quintile,"Yes, depending on situation",0.54290,37,37,0.38017,0.70563
2014,Primary Level,1st Quintile,"Yes, depending on situation",0.17529,50,311,0.13296,0.21762
2014,Primary Level,1st Quintile,Rather not,0.16938,66,311,0.12762,0.21113
2014,Primary Level,1st Quintile,Never,0.60872,195,311,0.55439,0.66305
2014,Primary Level,2nd Quintile,Never,0.57214,53,53,0.43766,0.70662
2014,Lower Secondary Level,1st Quintile,"Yes, happily",0.03371,58,1245,0.02368,0.04374
2014,Lower Secondary Level,1st Quintile,"Yes, depending on situation",0.15790,230,1245,0.13763,0.17816
2014,Lower Secondary Level,1st Quintile,Rather not,0.20536,283,1245,0.18291,0.22781
2014,Lower Secondary Level,1st Quintile,Never,0.60303,674,1245,0.57584,0.63022
2014,Lower Secondary Level,2nd Quintile,"Yes, happily",0.03986,38,804,0.02633,0.05339
2014,Lower Secondary Level,2nd Quintile,"Yes, depending on situation",0.14883,140,804,0.12421,0.17345
2014,Lower Secondary Level,2nd Quintile,Rather not,0.20485,172,804,0.17694,0.23277
2014,Lower Secondary Level,2nd Quintile,Never,0.60646,454,804,0.57267,0.64025
2014,Lower Secondary Level,3rd Quintile,"Yes, depending on situation",0.15452,88,521,0.12345,0.18558
2014,Lower Secondary Level,3rd Quintile,Rather not,0.28649,139,521,0.24763,0.32535
2014,Lower Secondary Level,3rd Quintile,Never,0.52232,294,521,0.47939,0.56525
2014,Lower Secondary Level,4th Quintile,"Yes, depending on situation",0.16569,62,310,0.12424,0.20715
2014,Lower Secondary Level,4th Quintile,Rather not,0.25642,73,310,0.20774,0.30511
2014,Lower Secondary Level,4th Quintile,Never,0.54363,175,310,0.48809,0.59917
2014,Lower Secondary Level,5th Quintile,Never,0.49231,59,59,0.36365,0.62098
2014,Upper Secondary Level,1st Quintile,"Yes, happily",0.05332,135,2701,0.04485,0.06179
2014,Upper Secondary Level,1st Quintile,"Yes, depending on situation",0.24877,629,2701,0.23246,0.26507
2014,Upper Secondary Level,1st Quintile,Rather not,0.24038,686,2701,0.22426,0.25650
2014,Upper Secondary Level,1st Quintile,Never,0.45754,1251,2701,0.43874,0.47633
2014,Upper Secondary Level,2nd Quintile,"Yes, happily",0.03377,117,2949,0.02725,0.04029
2014,Upper Secondary Level,2nd Quintile,"Yes, depending on situation",0.21564,658,2949,0.20079,0.23049
2014,Upper Secondary Level,2nd Quintile,Rather not,0.26859,800,2949,0.25259,0.28459
2014,Upper Secondary Level,2nd Quintile,Never,0.48200,1374,2949,0.46396,0.50003
2014,Upper Secondary Level,3rd Quintile,"Yes, happily",0.03183,95,2592,0.02507,0.03859
2014,Upper Secondary Level,3rd Quintile,"Yes, depending on situation",0.23120,604,2592,0.21497,0.24744
2014,Upper Secondary Level,3rd Quintile,Rather not,0.29602,737,2592,0.27845,0.31360
2014,Upper Secondary Level,3rd Quintile,Never,0.44094,1156,2592,0.42182,0.46005
2014,Upper Secondary Level,4th Quintile,"Yes, happily",0.03662,87,2371,0.02905,0.04418
2014,Upper Secondary Level,4th Quintile,"Yes, depending on situation",0.23106,534,2371,0.21409,0.24803
2014,Upper Secondary Level,4th Quintile,Rather not,0.29734,702,2371,0.27894,0.31574
2014,Upper Secondary Level,4th Quintile,Never,0.43498,1048,2371,0.41502,0.45494
2014,Upper Secondary Level,5th Quintile,"Yes, happily",0.04490,73,1645,0.03489,0.05491
2014,Upper Secondary Level,5th Quintile,"Yes, depending on situation",0.27317,465,1645,0.25163,0.29471
2014,Upper Secondary Level,5th Quintile,Rather not,0.29311,497,1645,0.27111,0.31512
2014,Upper Secondary Level,5th Quintile,Never,0.38882,610,1645,0.36526,0.41239
2014,Post-secondary Non-tertiary Level,1st Quintile,"Yes, depending on situation",0.27591,97,337,0.22812,0.32371
2014,Post-secondary Non-tertiary Level,1st Quintile,Rather not,0.29242,99,337,0.24379,0.34106
2014,Post-secondary Non-tertiary Level,1st Quintile,Never,0.35288,141,337,0.30178,0.40398
2014,Post-secondary Non-tertiary Level,2nd Quintile,"Yes, depending on situation",0.31463,125,388,0.26837,0.36090
2014,Post-secondary Non-tertiary Level,2nd Quintile,Rather not,0.35609,119,388,0.30838,0.40380
2014,Post-secondary Non-tertiary Level,2nd Quintile,Never,0.30623,144,388,0.26031,0.35216
2014,Post-secondary Non-tertiary Level,3rd Quintile,"Yes, depending on situation",0.33071,135,392,0.28408,0.37734
2014,Post-secondary Non-tertiary Level,3rd Quintile,Rather not,0.35337,143,392,0.30599,0.40075
2014,Post-secondary Non-tertiary Level,3rd Quintile,Never,0.26275,114,392,0.21912,0.30637
2014,Post-secondary Non-tertiary Level,4th Quintile,"Yes, depending on situation",0.34063,148,424,0.29547,0.38580
2014,Post-secondary Non-tertiary Level,4th Quintile,Rather not,0.30533,155,424,0.26144,0.34922
2014,Post-secondary Non-tertiary Level,4th Quintile,Never,0.26843,121,424,0.22620,0.31066
2014,Post-secondary Non-tertiary Level,5th Quintile,"Yes, depending on situation",0.36525,130,361,0.31551,0.41499
2014,Post-secondary Non-tertiary Level,5th Quintile,Rather not,0.28925,122,361,0.24242,0.33609
2014,Post-secondary Non-tertiary Level,5th Quintile,Never,0.27463,109,361,0.22852,0.32074
2014,First Stage of Tertiary Education,1st Quintile,"Yes, depending on situation",0.22129,33,120,0.14671,0.29588
2014,First Stage of Tertiary Education,1st Quintile,Rather not,0.27601,34,120,0.19569,0.35632
2014,First Stage of Tertiary Education,1st Quintile,Never,0.43144,53,120,0.34246,0.52043
2014,First Stage of Tertiary Education,2nd Quintile,"Yes, depending on situation",0.21316,63,265,0.16376,0.26257
2014,First Stage of Tertiary Education,2nd Quintile,Rather not,0.29542,80,265,0.24039,0.35046
2014,First Stage of Tertiary Education,2nd Quintile,Never,0.46815,122,265,0.40796,0.52835
2014,First Stage of Tertiary Education,3rd Quintile,"Yes, depending on situation",0.20675,86,317,0.16210,0.25140
2014,First Stage of Tertiary Education,3rd Quintile,Rather not,0.36663,106,317,0.31350,0.41976
2014,First Stage of Tertiary Education,3rd Quintile,Never,0.37464,125,317,0.32127,0.42801
2014,First Stage of Tertiary Education,4th Quintile,"Yes, depending on situation",0.27508,126,413,0.23196,0.31820
2014,First Stage of Tertiary Education,4th Quintile,Rather not,0.37087,142,413,0.32422,0.41751
2014,First Stage of Tertiary Education,4th Quintile,Never,0.32384,145,413,0.27865,0.36902
2014,First Stage of Tertiary Education,5th Quintile,"Yes, depending on situation",0.29938,132,380,0.25327,0.34548
2014,First Stage of Tertiary Education,5th Quintile,Rather not,0.31163,117,380,0.26500,0.35826
2014,First Stage of Tertiary Education,5th Quintile,Never,0.33564,131,380,0.28810,0.38318
2014,Second Stage of Tertiary Education,1st Quintile,"Yes, happily",0.09580,49,526,0.07063,0.12098
2014,Second Stage of Tertiary Education,1st Quintile,"Yes, depending on situation",0.36932,183,526,0.32804,0.41060
2014,Second Stage of Tertiary Education,1st Quintile,Rather not,0.24865,133,526,0.21168,0.28563
2014,Second Stage of Tertiary Education,1st Quintile,Never,0.28622,161,526,0.24756,0.32488
2014,Second Stage of Tertiary Education,2nd Quintile,"Yes, happily",0.04943,45,647,0.03271,0.06614
2014,Second Stage of Tertiary Education,2nd Quintile,"Yes, depending on situation",0.33676,199,647,0.30031,0.37320
2014,Second Stage of Tertiary Education,2nd Quintile,Rather not,0.27787,198,647,0.24332,0.31241
2014,Second Stage of Tertiary Education,2nd Quintile,Never,0.33595,205,647,0.29952,0.37237
2014,Second Stage of Tertiary Education,3rd Quintile,"Yes, happily",0.08488,69,974,0.06737,0.10240
2014,Second Stage of Tertiary Education,3rd Quintile,"Yes, depending on situation",0.34730,375,974,0.31738,0.37722
2014,Second Stage of Tertiary Education,3rd Quintile,Rather not,0.29292,270,974,0.26433,0.32152
2014,Second Stage of Tertiary Education,3rd Quintile,Never,0.27489,260,974,0.24684,0.30295
2014,Second Stage of Tertiary Education,4th Quintile,"Yes, happily",0.05894,85,1338,0.04632,0.07157
2014,Second Stage of Tertiary Education,4th Quintile,"Yes, depending on situation",0.41687,513,1338,0.39044,0.44329
2014,Second Stage of Tertiary Education,4th Quintile,Rather not,0.31270,420,1338,0.28785,0.33755
2014,Second Stage of Tertiary Education,4th Quintile,Never,0.21149,320,1338,0.18960,0.23338
2014,Second Stage of Tertiary Education,5th Quintile,"Yes, happily",0.06383,175,2603,0.05444,0.07322
2014,Second Stage of Tertiary Education,5th Quintile,"Yes, depending on situation",0.40024,986,2603,0.38141,0.41906
2014,Second Stage of Tertiary Education,5th Quintile,Rather not,0.30686,846,2603,0.28914,0.32458
2014,Second Stage of Tertiary Education,5th Quintile,Never,0.22907,596,2603,0.21292,0.24522
2019,No answer / don't know,1st Quintile,"Yes, happily",0.23689,33,210,0.17925,0.29454
2019,No answer / don't know,1st Quintile,"Yes, depending on situation",0.31162,51,210,0.24882,0.37441
2019,No answer / don't know,1st Quintile,Rather not,0.22397,52,210,0.16745,0.28050
2019,No answer / don't know,1st Quintile,Never,0.22752,74,210,0.17068,0.28435
2019,No answer / don't know,2nd Quintile,"Yes, depending on situation",0.27572,33,100,0.18769,0.36375
2019,No answer / don't know,2nd Quintile,Rather not,0.44034,34,100,0.34255,0.53813
2019,No answer / don't know,2nd Quintile,Never,0.20571,33,100,0.12609,0.28534
2019,Pre-primary Level,1st Quintile,"Yes, depending on situation",0.54329,40,71,0.42660,0.65999
2019,Pre-primary Level,1st Quintile,Rather not,0.33261,31,71,0.22224,0.44299
2019,Pre-primary Level,2nd Quintile,"Yes, depending on situation",0.46201,34,34,0.29191,0.63211
2019,Primary Level,1st Quintile,"Yes, depending on situation",0.16391,38,219,0.11477,0.21306
2019,Primary Level,1st Quintile,Rather not,0.16434,41,219,0.11515,0.21354
2019,Primary Level,1st Quintile,Never,0.61110,140,219,0.54639,0.67582
2019,Primary Level,2nd Quintile,Never,0.59360,50,50,0.45608,0.73113
2019,Lower Secondary Level,1st Quintile,"Yes, happily",0.04750,57,895,0.03356,0.06144
2019,Lower Secondary Level,1st Quintile,"Yes, depending on situation",0.19127,190,895,0.16549,0.21705
2019,Lower Secondary Level,1st Quintile,Rather not,0.19923,201,895,0.17305,0.22542
2019,Lower Secondary Level,1st Quintile,Never,0.56199,447,895,0.52947,0.59452
2019,Lower Secondary Level,2nd Quintile,"Yes, depending on situation",0.15333,129,599,0.12445,0.18220
2019,Lower Secondary Level,2nd Quintile,Rather not,0.25179,159,599,0.21700,0.28658
2019,Lower Secondary Level,2nd Quintile,Never,0.56994,311,599,0.53025,0.60962
2019,Lower Secondary Level,3rd Quintile,"Yes, depending on situation",0.20534,80,347,0.16278,0.24790
2019,Lower Secondary Level,3rd Quintile,Rather not,0.22491,94,347,0.18092,0.26891
2019,Lower Secondary Level,3rd Quintile,Never,0.52277,173,347,0.47013,0.57540
2019,Lower Secondary Level,4th Quintile,"Yes, depending on situation",0.16533,47,232,0.11743,0.21324
2019,Lower Secondary Level,4th Quintile,Rather not,0.32309,65,232,0.26278,0.38340
2019,Lower Secondary Level,4th Quintile,Never,0.49192,120,232,0.42745,0.55639
2019,Lower Secondary Level,5th Quintile,Rather not,0.39004,35,86,0.28634,0.49373
2019,Lower Secondary Level,5th Quintile,Never,0.37215,51,86,0.26939,0.47491
2019,Upper Secondary Level,1st Quintile,"Yes, happily",0.05350,108,2030,0.04371,0.06329
2019,Upper Secondary Level,1st Quintile,"Yes, depending on situation",0.21830,436,2030,0.20033,0.23627
2019,Upper Secondary Level,1st Quintile,Rather not,0.26772,503,2030,0.24845,0.28698
2019,Upper Secondary Level,1st Quintile,Never,0.46048,983,2030,0.43879,0.48217
2019,Upper Secondary Level,2nd Quintile,"Yes, happily",0.05038,118,2519,0.04184,0.05893
2019,Upper Secondary Level,2nd Quintile,"Yes, depending on situation",0.18827,517,2519,0.17300,0.20354
2019,Upper Secondary Level,2nd Quintile,Rather not,0.25726,652,2519,0.24018,0.27433
2019,Upper Secondary Level,2nd Quintile,Never,0.50409,1232,2519,0.48456,0.52362
2019,Upper Secondary Level,3rd Quintile,"Yes, happily",0.04795,91,2155,0.03893,0.05698
2019,Upper Secondary Level,3rd Quintile,"Yes, depending on situation",0.23022,486,2155,0.21244,0.24800
2019,Upper Secondary Level,3rd Quintile,Rather not,0.29520,611,2155,0.27594,0.31447
2019,Upper Secondary Level,3rd Quintile,Never,0.42662,967,2155,0.40573,0.44751
2019,Upper Secondary Level,4th Quintile,"Yes, happily",0.04894,79,1900,0.03924,0.05865
2019,Upper Secondary Level,4th Quintile,"Yes, depending on situation",0.21921,488,1900,0.20060,0.23782
2019,Upper Secondary Level,4th Quintile,Rather not,0.29379,552,1900,0.27330,0.31427
2019,Upper Secondary Level,4th Quintile,Never,0.43806,781,1900,0.41575,0.46038
2019,Upper Secondary Level,5th Quintile,"Yes, happily",0.03833,54,1420,0.02834,0.04832
2019,Upper Secondary Level,5th Quintile,"Yes, depending on situation",0.25563,403,1420,0.23293,0.27833
2019,Upper Secondary Level,5th Quintile,Rather not,0.34191,467,1420,0.31723,0.36659
2019,Upper Secondary Level,5th Quintile,Never,0.36413,496,1420,0.33909,0.38917
2019,Post-secondary Non-tertiary Level,1st Quintile,"Yes, depending on situation",0.28038,82,280,0.22767,0.33308
2019,Post-secondary Non-tertiary Level,1st Quintile,Rather not,0.27010,77,280,0.21800,0.32220
2019,Post-secondary Non-tertiary Level,1st Quintile,Never,0.38810,121,280,0.33092,0.44529
2019,Post-secondary Non-tertiary Level,2nd Quintile,"Yes, depending on situation",0.28922,113,408,0.24517,0.33327
2019,Post-secondary Non-tertiary Level,2nd Quintile,Rather not,0.32232,142,408,0.27691,0.36773
2019,Post-secondary Non-tertiary Level,2nd Quintile,Never,0.34449,153,408,0.29833,0.39066
2019,Post-secondary Non-tertiary Level,3rd Quintile,"Yes, depending on situation",0.26369,123,421,0.22154,0.30583
2019,Post-secondary Non-tertiary Level,3rd Quintile,Rather not,0.29481,132,421,0.25120,0.33842
2019,Post-secondary Non-tertiary Level,3rd Quintile,Never,0.40058,166,421,0.35372,0.44745
2019,Post-secondary Non-tertiary Level,4th Quintile,"Yes, depending on situation",0.33824,121,335,0.28750,0.38898
2019,Post-secondary Non-tertiary Level,4th Quintile,Rather not,0.27721,104,335,0.22920,0.32521
2019,Post-secondary Non-tertiary Level,4th Quintile,Never,0.31978,110,335,0.26976,0.36980
2019,Post-secondary Non-tertiary Level,5th Quintile,"Yes, depending on situation",0.31777,111,336,0.26791,0.36763
2019,Post-secondary Non-tertiary Level,5th Quintile,Rather not,0.34006,124,336,0.28933,0.39079
2019,Post-secondary Non-tertiary Level,5th Quintile,Never,0.28756,101,336,0.23909,0.33603
2019,First Stage of Tertiary Education,1st Quintile,Never,0.42820,41,41,0.27485,0.58154
2019,First Stage of Tertiary Education,2nd Quintile,"Yes, depending on situation",0.15966,51,214,0.11046,0.20885
2019,First Stage of Tertiary Education,2nd Quintile,Rather not,0.21071,58,214,0.15594,0.26547
2019,First Stage of Tertiary Education,2nd Quintile,Never,0.56514,105,214,0.49857,0.63172
2019,First Stage of Tertiary Education,3rd Quintile,"Yes, depending on situation",0.24499,82,281,0.19461,0.29536
2019,First Stage of Tertiary Education,3rd Quintile,Rather not,0.34732,91,281,0.29155,0.40309
2019,First Stage of Tertiary Education,3rd Quintile,Never,0.35156,108,281,0.29563,0.40748
2019,First Stage of Tertiary Education,4th Quintile,"Yes, depending on situation",0.26434,84,311,0.21525,0.31343
2019,First Stage of Tertiary Education,4th Quintile,Rather not,0.35111,98,311,0.29798,0.40425
2019,First Stage of Tertiary Education,4th Quintile,Never,0.34910,129,311,0.29604,0.40217
2019,First Stage of Tertiary Education,5th Quintile,"Yes, depending on situation",0.25667,102,350,0.21084,0.30250
2019,First Stage of Tertiary Education,5th Quintile,Rather not,0.28019,118,350,0.23308,0.32731
2019,First Stage of Tertiary Education,5th Quintile,Never,0.39071,130,350,0.33952,0.44190
2019,Second Stage of Tertiary Education,1st Quintile,"Yes, happily",0.12715,61,472,0.09706,0.15724
2019,Second Stage of Tertiary Education,1st Quintile,"Yes, depending on situation",0.29960,144,472,0.25823,0.34097
2019,Second Stage of Tertiary Education,1st Quintile,Rather not,0.26915,131,472,0.22910,0.30921
2019,Second Stage of Tertiary Education,1st Quintile,Never,0.30410,136,472,0.26255,0.34564
2019,Second Stage of Tertiary Education,2nd Quintile,"Yes, happily",0.06678,34,613,0.04700,0.08656
2019,Second Stage of Tertiary Education,2nd Quintile,"Yes, depending on situation",0.32530,192,613,0.28819,0.36242
2019,Second Stage of Tertiary Education,2nd Quintile,Rather not,0.27195,176,613,0.23670,0.30721
2019,Second Stage of Tertiary Education,2nd Quintile,Never,0.33596,211,613,0.29854,0.37339
2019,Second Stage of Tertiary Education,3rd Quintile,"Yes, happily",0.06001,68,924,0.04469,0.07533
2019,Second Stage of Tertiary Education,3rd Quintile,"Yes, depending on situation",0.36804,344,924,0.33693,0.39915
2019,Second Stage of Tertiary Education,3rd Quintile,Rather not,0.27469,251,924,0.24589,0.30349
2019,Second Stage of Tertiary Education,3rd Quintile,Never,0.29726,261,924,0.26777,0.32675
2019,Second Stage of Tertiary Education,4th Quintile,"Yes, happily",0.06996,83,1256,0.05585,0.08407
2019,Second Stage of Tertiary Education,4th Quintile,"Yes, depending on situation",0.36164,453,1256,0.33506,0.38823
2019,Second Stage of Tertiary Education,4th Quintile,Rather not,0.34524,406,1256,0.31894,0.37155
2019,Second Stage of Tertiary Education,4th Quintile,Never,0.22316,314,1256,0.20012,0.24619
2019,Second Stage of Tertiary Education,5th Quintile,"Yes, happily",0.08395,165,2355,0.07275,0.09515
2019,Second Stage of Tertiary Education,5th Quintile,"Yes, depending on situation",0.34528,848,2355,0.32607,0.36449
2019,Second Stage of Tertiary Education,5th Quintile,Rather not,0.33654,775,2355,0.31745,0.35563
2019,Second Stage of Tertiary Education,5th Quintile,Never,0.23423,567,2355,0.21712,0.25134
