,Unnamed: 0,year,bula_h,pgisced97,plj0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
17,17,2009,North Rhine-Westphalia,Upper Secondary Level,Never,0.29879,266,7252,0.26939,0.32808
18,18,2009,North Rhine-Westphalia,Post-secondary Non-tertiary Level,"Yes, depending on situation",0.30022,61,7252,0.22819,0.37262
19,19,2009,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Rather not,0.42631,74,7252,0.34812,0.50972
20,20,2009,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Never,0.27347,46,7252,0.19521,0.36101
21,21,2009,North Rhine-Westphalia,First Stage of Tertiary Education,"Yes, depending on situation",0.52734,61,7252,0.36925,0.72149
22,22,2009,North Rhine-Westphalia,First Stage of Tertiary Education,Rather not,0.47266,60,7252,0.36291,0.60496
23,23,2009,North Rhine-Westphalia,Second Stage of Tertiary Education,"Yes, depending on situation",0.46627,227,7252,0.39917,0.54132
24,24,2009,North Rhine-Westphalia,Second Stage of Tertiary Education,Rather not,0.38996,164,7252,0.33891,0.46827
25,25,2009,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.14377,59,7252,0.1053,0.18626
26,26,2009,Hesse,Upper Secondary Level,"Yes, depending on situation",0.34953,116,7252,0.30072,0.40976
27,27,2009,Hesse,Upper Secondary Level,Rather not,0.38416,129,7252,0.31787,0.45749
28,28,2009,Hesse,Upper Secondary Level,Never,0.26631,79,7252,0.22153,0.31104
29,29,2009,Hesse,Second Stage of Tertiary Education,"Yes, depending on situation",0.51949,115,7252,0.40591,0.63077
30,30,2009,Hesse,Second Stage of Tertiary Education,Rather not,0.48051,91,7252,0.39503,0.5931
31,31,2009,"Rhineland-Palatinate, Saarland",Upper Secondary Level,"Yes, depending on situation",0.35544,101,7252,0.28788,0.41439
32,32,2009,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Rather not,0.39246,109,7252,0.32533,0.45542
33,33,2009,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Never,0.2521,72,7252,0.2069,0.29998
34,34,2009,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,"Yes, depending on situation",0.47493,47,7252,0.33566,0.62505
35,35,2009,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Rather not,0.52507,40,7252,0.35815,0.74016
36,36,2009,Baden-Wuerttemberg,Lower Secondary Level,Rather not,0.33335,31,7252,0.26282,0.42736
37,37,2009,Baden-Wuerttemberg,Lower Secondary Level,Never,0.66665,52,7252,0.47982,0.85039
38,38,2009,Baden-Wuerttemberg,Upper Secondary Level,"Yes, depending on situation",0.24882,135,7252,0.2139,0.2937
39,39,2009,Baden-Wuerttemberg,Upper Secondary Level,Rather not,0.49346,231,7252,0.42991,0.56732
40,40,2009,Baden-Wuerttemberg,Upper Secondary Level,Never,0.25772,136,7252,0.21425,0.30004
41,41,2009,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Rather not,1.0,32,7252,0.63396,1.39434
42,42,2009,Baden-Wuerttemberg,Second Stage of Tertiary Education,"Yes, depending on situation",0.38444,122,7252,0.30272,0.45274
43,43,2009,Baden-Wuerttemberg,Second Stage of Tertiary Education,Rather not,0.41164,111,7252,0.33013,0.49449
44,44,2009,Baden-Wuerttemberg,Second Stage of Tertiary Education,Never,0.20392,38,7252,0.13667,0.28521
45,45,2009,Bavaria,Lower Secondary Level,Never,1.0,55,7252,0.80351,1.21316
46,46,2009,Bavaria,Upper Secondary Level,"Yes, depending on situation",0.22537,165,7252,0.18437,0.26639
47,47,2009,Bavaria,Upper Secondary Level,Rather not,0.45261,287,7252,0.40406,0.50814
48,48,2009,Bavaria,Upper Secondary Level,Never,0.32201,193,7252,0.2815,0.36823
49,49,2009,Bavaria,Post-secondary Non-tertiary Level,Rather not,1.0,37,7252,0.71424,1.31243
50,50,2009,Bavaria,First Stage of Tertiary Education,Rather not,0.55432,39,7252,0.40321,0.71005
51,51,2009,Bavaria,First Stage of Tertiary Education,Never,0.44568,33,7252,0.30262,0.63727
52,52,2009,Bavaria,Second Stage of Tertiary Education,"Yes, depending on situation",0.33287,119,7252,0.27099,0.40408
53,53,2009,Bavaria,Second Stage of Tertiary Education,Rather not,0.51166,168,7252,0.44177,0.57298
54,54,2009,Bavaria,Second Stage of Tertiary Education,Never,0.15547,59,7252,0.11199,0.19145
55,55,2009,Berlin,Upper Secondary Level,"Yes, depending on situation",0.60684,88,7252,0.50215,0.72184
56,56,2009,Berlin,Upper Secondary Level,Rather not,0.39316,53,7252,0.31159,0.48087
57,57,2009,Berlin,Second Stage of Tertiary Education,"Yes, depending on situation",0.6401,97,7252,0.50704,0.7795
58,58,2009,Berlin,Second Stage of Tertiary Education,Rather not,0.3599,43,7252,0.25323,0.47117
59,59,2009,Brandenburg,Upper Secondary Level,"Yes, depending on situation",0.70672,115,7252,0.57331,0.8431
60,60,2009,Brandenburg,Upper Secondary Level,Rather not,0.29328,56,7252,0.23312,0.35771
61,61,2009,Brandenburg,Second Stage of Tertiary Education,"Yes, depending on situation",0.66746,81,7252,0.51265,0.81686
62,62,2009,Brandenburg,Second Stage of Tertiary Education,Rather not,0.33254,36,7252,0.2275,0.46451
63,63,2009,Mecklenburg-Western Pomerania,Upper Secondary Level,"Yes, depending on situation",0.589,63,7252,0.47777,0.75477
64,64,2009,Mecklenburg-Western Pomerania,Upper Secondary Level,Rather not,0.411,31,7252,0.31829,0.56491
65,65,2009,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,"Yes, depending on situation",1.0,45,7252,0.77881,1.24089
66,66,2009,Saxony,Upper Secondary Level,"Yes, depending on situation",0.53034,172,7252,0.45275,0.60671
67,67,2009,Saxony,Upper Secondary Level,Rather not,0.36399,126,7252,0.31603,0.42412
68,68,2009,Saxony,Upper Secondary Level,Never,0.10567,33,7252,0.07718,0.14718
69,69,2009,Saxony,Second Stage of Tertiary Education,"Yes, depending on situation",0.69143,120,7252,0.57664,0.84807
70,70,2009,Saxony,Second Stage of Tertiary Education,Rather not,0.30857,60,7252,0.24474,0.37459
71,71,2009,Saxony-Anhalt,Upper Secondary Level,"Yes, depending on situation",0.71555,107,7252,0.60221,0.84358
72,72,2009,Saxony-Anhalt,Upper Secondary Level,Rather not,0.28445,46,7252,0.20486,0.39149
73,73,2009,Saxony-Anhalt,Second Stage of Tertiary Education,"Yes, depending on situation",0.65588,65,7252,0.49618,0.80906
74,74,2009,Saxony-Anhalt,Second Stage of Tertiary Education,Rather not,0.34412,36,7252,0.23563,0.46517
75,75,2009,Thuringa,Upper Secondary Level,"Yes, depending on situation",0.77777,119,7252,0.63335,0.9248
76,76,2009,Thuringa,Upper Secondary Level,Rather not,0.22223,52,7252,0.15794,0.28955
77,77,2009,Thuringa,Second Stage of Tertiary Education,"Yes, depending on situation",1.0,55,7252,0.73808,1.30543
78,78,2014,Schleswig-Holstein,Lower Secondary Level,Never,1.0,55,23282,0.79607,1.2693
79,79,2014,Schleswig-Holstein,Upper Secondary Level,"Yes, depending on situation",0.26097,118,23282,0.21357,0.31248
80,80,2014,Schleswig-Holstein,Upper Secondary Level,Rather not,0.36145,128,23282,0.30423,0.42148
81,81,2014,Schleswig-Holstein,Upper Secondary Level,Never,0.37758,162,23282,0.31711,0.43191
82,82,2014,Schleswig-Holstein,Second Stage of Tertiary Education,"Yes, depending on situation",0.46886,54,23282,0.33022,0.59636
83,83,2014,Schleswig-Holstein,Second Stage of Tertiary Education,Rather not,0.24853,39,23282,0.14547,0.35645
84,84,2014,Schleswig-Holstein,Second Stage of Tertiary Education,Never,0.2826,42,23282,0.20074,0.36471
85,85,2014,Hamburg,Upper Secondary Level,"Yes, depending on situation",0.24703,41,23282,0.15904,0.35588
86,86,2014,Hamburg,Upper Secondary Level,Rather not,0.23839,45,23282,0.16605,0.32534
87,87,2014,Hamburg,Upper Secondary Level,Never,0.51458,68,23282,0.41393,0.61159
88,88,2014,Hamburg,Second Stage of Tertiary Education,"Yes, depending on situation",0.45865,62,23282,0.34863,0.59709
89,89,2014,Hamburg,Second Stage of Tertiary Education,Rather not,0.32198,40,23282,0.19656,0.45555
90,90,2014,Hamburg,Second Stage of Tertiary Education,Never,0.21937,33,23282,0.14579,0.33451
91,91,2014,Lower Saxony,Primary Level,Never,1.0,35,23282,0.73936,1.37463
92,92,2014,Lower Saxony,Lower Secondary Level,"Yes, depending on situation",0.18335,76,23282,0.13247,0.23007
93,93,2014,Lower Saxony,Lower Secondary Level,Rather not,0.2342,76,23282,0.17054,0.30257
94,94,2014,Lower Saxony,Lower Secondary Level,Never,0.58245,176,23282,0.48228,0.68385
95,95,2014,Lower Saxony,Upper Secondary Level,"Yes, happily",0.03058,49,23282,0.02462,0.03852
96,96,2014,Lower Saxony,Upper Secondary Level,"Yes, depending on situation",0.29756,348,23282,0.26743,0.32523
97,97,2014,Lower Saxony,Upper Secondary Level,Rather not,0.28281,335,23282,0.24948,0.3139
98,98,2014,Lower Saxony,Upper Secondary Level,Never,0.38906,474,23282,0.35666,0.41799
99,99,2014,Lower Saxony,Post-secondary Non-tertiary Level,"Yes, depending on situation",0.40884,70,23282,0.30387,0.51849
100,100,2014,Lower Saxony,Post-secondary Non-tertiary Level,Rather not,0.36007,58,23282,0.25631,0.462
101,101,2014,Lower Saxony,Post-secondary Non-tertiary Level,Never,0.23109,43,23282,0.14799,0.31288
102,102,2014,Lower Saxony,First Stage of Tertiary Education,"Yes, depending on situation",0.37471,40,23282,0.26731,0.49904
103,103,2014,Lower Saxony,First Stage of Tertiary Education,Rather not,0.28301,37,23282,0.201,0.39714
104,104,2014,Lower Saxony,First Stage of Tertiary Education,Never,0.34228,41,23282,0.23823,0.46611
105,105,2014,Lower Saxony,Second Stage of Tertiary Education,"Yes, happily",0.05246,31,23282,0.03552,0.07458
106,106,2014,Lower Saxony,Second Stage of Tertiary Education,"Yes, depending on situation",0.45891,222,23282,0.37788,0.53179
107,107,2014,Lower Saxony,Second Stage of Tertiary Education,Rather not,0.26949,140,23282,0.2231,0.32563
108,108,2014,Lower Saxony,Second Stage of Tertiary Education,Never,0.21914,104,23282,0.17594,0.26909
109,109,2014,Bremen,Upper Secondary Level,Never,1.0,41,23282,0.67686,1.32984
110,110,2014,North Rhine-Westphalia,Pre-primary Level,"Yes, depending on situation",0.63264,48,23282,0.45642,0.89647
111,111,2014,North Rhine-Westphalia,Pre-primary Level,Rather not,0.36736,31,23282,0.229,0.52682
112,112,2014,North Rhine-Westphalia,Primary Level,Never,1.0,98,23282,0.84112,1.16328
113,113,2014,North Rhine-Westphalia,Lower Secondary Level,"Yes, depending on situation",0.18524,141,23282,0.15145,0.22461
114,114,2014,North Rhine-Westphalia,Lower Secondary Level,Rather not,0.2364,175,23282,0.19341,0.28228
115,115,2014,North Rhine-Westphalia,Lower Secondary Level,Never,0.57836,419,23282,0.52261,0.64072
116,116,2014,North Rhine-Westphalia,Upper Secondary Level,"Yes, happily",0.02956,83,23282,0.02237,0.03634
117,117,2014,North Rhine-Westphalia,Upper Secondary Level,"Yes, depending on situation",0.24495,527,23282,0.21696,0.26693
118,118,2014,North Rhine-Westphalia,Upper Secondary Level,Rather not,0.26177,617,23282,0.24113,0.28998
119,119,2014,North Rhine-Westphalia,Upper Secondary Level,Never,0.46372,1110,23282,0.43673,0.49307
120,120,2014,North Rhine-Westphalia,Post-secondary Non-tertiary Level,"Yes, depending on situation",0.29064,168,23282,0.2406,0.35933
121,121,2014,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Rather not,0.37472,209,23282,0.31012,0.45358
122,122,2014,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Never,0.33464,189,23282,0.27993,0.40342
123,123,2014,North Rhine-Westphalia,First Stage of Tertiary Education,"Yes, depending on situation",0.33144,98,23282,0.26696,0.4076
124,124,2014,North Rhine-Westphalia,First Stage of Tertiary Education,Rather not,0.35433,85,23282,0.27394,0.44591
125,125,2014,North Rhine-Westphalia,First Stage of Tertiary Education,Never,0.31423,90,23282,0.24363,0.38192
126,126,2014,North Rhine-Westphalia,Second Stage of Tertiary Education,"Yes, happily",0.05806,64,23282,0.04837,0.0676
127,127,2014,North Rhine-Westphalia,Second Stage of Tertiary Education,"Yes, depending on situation",0.38834,417,23282,0.3493,0.43421
128,128,2014,North Rhine-Westphalia,Second Stage of Tertiary Education,Rather not,0.28263,317,23282,0.2458,0.32378
129,129,2014,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.27097,327,23282,0.2407,0.30643
130,130,2014,Hesse,Lower Secondary Level,"Yes, depending on situation",0.10854,34,23282,0.07928,0.14247
131,131,2014,Hesse,Lower Secondary Level,Rather not,0.27282,57,23282,0.19305,0.36476
132,132,2014,Hesse,Lower Secondary Level,Never,0.61864,106,23282,0.53428,0.71346
133,133,2014,Hesse,Upper Secondary Level,"Yes, depending on situation",0.25954,198,23282,0.22646,0.2966
134,134,2014,Hesse,Upper Secondary Level,Rather not,0.3113,231,23282,0.26579,0.36131
135,135,2014,Hesse,Upper Secondary Level,Never,0.42916,308,23282,0.38094,0.47895
136,136,2014,Hesse,Post-secondary Non-tertiary Level,"Yes, depending on situation",0.34708,43,23282,0.23467,0.47936
137,137,2014,Hesse,Post-secondary Non-tertiary Level,Rather not,0.26522,50,23282,0.19493,0.34095
138,138,2014,Hesse,Post-secondary Non-tertiary Level,Never,0.3877,49,23282,0.2425,0.53508
139,139,2014,Hesse,First Stage of Tertiary Education,"Yes, depending on situation",1.0,33,23282,0.73523,1.31273
140,140,2014,Hesse,Second Stage of Tertiary Education,"Yes, depending on situation",0.471,218,23282,0.39982,0.53871
141,141,2014,Hesse,Second Stage of Tertiary Education,Rather not,0.32272,170,23282,0.27295,0.38565
142,142,2014,Hesse,Second Stage of Tertiary Education,Never,0.20627,104,23282,0.16133,0.26049
143,143,2014,"Rhineland-Palatinate, Saarland",Lower Secondary Level,"Yes, depending on situation",0.14986,44,23282,0.11365,0.19029
144,144,2014,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Rather not,0.20925,63,23282,0.15134,0.28113
145,145,2014,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Never,0.64089,151,23282,0.53548,0.73989
146,146,2014,"Rhineland-Palatinate, Saarland",Upper Secondary Level,"Yes, depending on situation",0.2213,163,23282,0.18784,0.26142
147,147,2014,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Rather not,0.30754,193,23282,0.26722,0.34954
148,148,2014,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Never,0.47116,351,23282,0.42416,0.52092
149,149,2014,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,"Yes, depending on situation",0.33314,34,23282,0.18611,0.51539
150,150,2014,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Rather not,0.40221,34,23282,0.26816,0.52611
151,151,2014,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Never,0.26464,41,23282,0.16453,0.40888
152,152,2014,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Rather not,0.528,31,23282,0.33039,0.69197
153,153,2014,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Never,0.472,34,23282,0.30991,0.6553
154,154,2014,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,"Yes, depending on situation",0.39495,97,23282,0.31492,0.50618
155,155,2014,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Rather not,0.3634,82,23282,0.2822,0.43492
156,156,2014,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Never,0.24165,70,23282,0.18516,0.31676
157,157,2014,Baden-Wuerttemberg,Lower Secondary Level,"Yes, depending on situation",0.16018,57,23282,0.1147,0.20377
158,158,2014,Baden-Wuerttemberg,Lower Secondary Level,Rather not,0.22975,92,23282,0.18039,0.2845
159,159,2014,Baden-Wuerttemberg,Lower Secondary Level,Never,0.61007,238,23282,0.53945,0.68761
160,160,2014,Baden-Wuerttemberg,Upper Secondary Level,"Yes, happily",0.03034,44,23282,0.02202,0.03757
161,161,2014,Baden-Wuerttemberg,Upper Secondary Level,"Yes, depending on situation",0.19971,257,23282,0.16435,0.23225
162,162,2014,Baden-Wuerttemberg,Upper Secondary Level,Rather not,0.32936,453,23282,0.30018,0.36322
163,163,2014,Baden-Wuerttemberg,Upper Secondary Level,Never,0.44059,640,23282,0.40683,0.47819
164,164,2014,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,"Yes, depending on situation",0.3678,60,23282,0.26779,0.4744
165,165,2014,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Rather not,0.32412,80,23282,0.25053,0.386
166,166,2014,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Never,0.30808,75,23282,0.22325,0.40417
167,167,2014,Baden-Wuerttemberg,First Stage of Tertiary Education,"Yes, depending on situation",0.26325,54,23282,0.19012,0.32631
168,168,2014,Baden-Wuerttemberg,First Stage of Tertiary Education,Rather not,0.33864,64,23282,0.23465,0.43659
169,169,2014,Baden-Wuerttemberg,First Stage of Tertiary Education,Never,0.39811,77,23282,0.32045,0.49524
170,170,2014,Baden-Wuerttemberg,Second Stage of Tertiary Education,"Yes, happily",0.07143,54,23282,0.05034,0.10015
171,171,2014,Baden-Wuerttemberg,Second Stage of Tertiary Education,"Yes, depending on situation",0.35682,254,23282,0.30808,0.40674
172,172,2014,Baden-Wuerttemberg,Second Stage of Tertiary Education,Rather not,0.32404,273,23282,0.27325,0.37806
173,173,2014,Baden-Wuerttemberg,Second Stage of Tertiary Education,Never,0.2477,197,23282,0.20946,0.30294
174,174,2014,Bavaria,Primary Level,Never,1.0,41,23282,0.70245,1.47268
175,175,2014,Bavaria,Lower Secondary Level,"Yes, depending on situation",0.09296,58,23282,0.0642,0.12448
176,176,2014,Bavaria,Lower Secondary Level,Rather not,0.19515,108,23282,0.15094,0.24584
177,177,2014,Bavaria,Lower Secondary Level,Never,0.71189,289,23282,0.62559,0.79136
178,178,2014,Bavaria,Upper Secondary Level,"Yes, happily",0.02278,55,23282,0.01701,0.02963
179,179,2014,Bavaria,Upper Secondary Level,"Yes, depending on situation",0.16908,372,23282,0.15023,0.19069
180,180,2014,Bavaria,Upper Secondary Level,Rather not,0.25973,575,23282,0.23695,0.28171
181,181,2014,Bavaria,Upper Secondary Level,Never,0.54841,1117,23282,0.51283,0.58524
182,182,2014,Bavaria,Post-secondary Non-tertiary Level,"Yes, depending on situation",0.2819,77,23282,0.20068,0.39205
183,183,2014,Bavaria,Post-secondary Non-tertiary Level,Rather not,0.33185,82,23282,0.23134,0.43992
184,184,2014,Bavaria,Post-secondary Non-tertiary Level,Never,0.38626,126,23282,0.31376,0.4655
185,185,2014,Bavaria,First Stage of Tertiary Education,"Yes, depending on situation",0.19763,46,23282,0.13109,0.28206
186,186,2014,Bavaria,First Stage of Tertiary Education,Rather not,0.31777,81,23282,0.24627,0.40094
187,187,2014,Bavaria,First Stage of Tertiary Education,Never,0.4846,125,23282,0.39106,0.57392
188,188,2014,Bavaria,Second Stage of Tertiary Education,"Yes, happily",0.04576,53,23282,0.03213,0.05933
189,189,2014,Bavaria,Second Stage of Tertiary Education,"Yes, depending on situation",0.32604,281,23282,0.27665,0.37651
190,190,2014,Bavaria,Second Stage of Tertiary Education,Rather not,0.31988,297,23282,0.27549,0.36451
191,191,2014,Bavaria,Second Stage of Tertiary Education,Never,0.30833,290,23282,0.26775,0.35067
192,192,2014,Berlin,Upper Secondary Level,"Yes, happily",0.14326,46,23282,0.11121,0.18171
193,193,2014,Berlin,Upper Secondary Level,"Yes, depending on situation",0.37718,141,23282,0.31453,0.4318
194,194,2014,Berlin,Upper Secondary Level,Rather not,0.22177,90,23282,0.18339,0.25899
195,195,2014,Berlin,Upper Secondary Level,Never,0.25779,90,23282,0.21899,0.29831
196,196,2014,Berlin,Post-secondary Non-tertiary Level,"Yes, depending on situation",1.0,33,23282,0.65567,1.49329
197,197,2014,Berlin,Second Stage of Tertiary Education,"Yes, happily",0.20172,67,23282,0.16073,0.24751
198,198,2014,Berlin,Second Stage of Tertiary Education,"Yes, depending on situation",0.43726,172,23282,0.36469,0.51128
199,199,2014,Berlin,Second Stage of Tertiary Education,Rather not,0.23706,96,23282,0.18942,0.28917
200,200,2014,Berlin,Second Stage of Tertiary Education,Never,0.12395,44,23282,0.08539,0.17542
201,201,2014,Brandenburg,Lower Secondary Level,Never,1.0,44,23282,0.76641,1.29034
202,202,2014,Brandenburg,Upper Secondary Level,"Yes, depending on situation",0.26909,123,23282,0.21507,0.33053
203,203,2014,Brandenburg,Upper Secondary Level,Rather not,0.26557,125,23282,0.22005,0.313
204,204,2014,Brandenburg,Upper Secondary Level,Never,0.46535,217,23282,0.41467,0.5226
205,205,2014,Brandenburg,Second Stage of Tertiary Education,"Yes, depending on situation",0.33791,81,23282,0.25716,0.42485
206,206,2014,Brandenburg,Second Stage of Tertiary Education,Rather not,0.36235,82,23282,0.27154,0.46257
207,207,2014,Brandenburg,Second Stage of Tertiary Education,Never,0.29973,76,23282,0.2555,0.35591
208,208,2014,Mecklenburg-Western Pomerania,Upper Secondary Level,"Yes, depending on situation",0.25242,77,23282,0.19524,0.32103
209,209,2014,Mecklenburg-Western Pomerania,Upper Secondary Level,Rather not,0.25944,63,23282,0.19477,0.35856
210,210,2014,Mecklenburg-Western Pomerania,Upper Secondary Level,Never,0.48814,118,23282,0.41948,0.56178
211,211,2014,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,"Yes, depending on situation",0.51149,52,23282,0.39715,0.63149
212,212,2014,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Rather not,0.48851,44,23282,0.32439,0.66399
213,213,2014,Saxony,Lower Secondary Level,Never,1.0,38,23282,0.71822,1.28318
214,214,2014,Saxony,Upper Secondary Level,"Yes, happily",0.03798,32,23282,0.02616,0.05351
215,215,2014,Saxony,Upper Secondary Level,"Yes, depending on situation",0.23216,201,23282,0.20432,0.26128
216,216,2014,Saxony,Upper Secondary Level,Rather not,0.36568,283,23282,0.32525,0.40999
217,217,2014,Saxony,Upper Secondary Level,Never,0.36417,310,23282,0.33018,0.40167
218,218,2014,Saxony,First Stage of Tertiary Education,Rather not,0.45777,40,23282,0.30376,0.63333
219,219,2014,Saxony,First Stage of Tertiary Education,Never,0.54223,56,23282,0.41691,0.71405
220,220,2014,Saxony,Second Stage of Tertiary Education,"Yes, depending on situation",0.40221,152,23282,0.32328,0.50314
221,221,2014,Saxony,Second Stage of Tertiary Education,Rather not,0.32669,141,23282,0.27126,0.39052
222,222,2014,Saxony,Second Stage of Tertiary Education,Never,0.27111,114,23282,0.23226,0.30681
223,223,2014,Saxony-Anhalt,Lower Secondary Level,Never,1.0,35,23282,0.74051,1.36379
224,224,2014,Saxony-Anhalt,Upper Secondary Level,"Yes, happily",0.06494,35,23282,0.04322,0.09479
225,225,2014,Saxony-Anhalt,Upper Secondary Level,"Yes, depending on situation",0.28414,149,23282,0.24641,0.3436
226,226,2014,Saxony-Anhalt,Upper Secondary Level,Rather not,0.20943,119,23282,0.17551,0.25236
227,227,2014,Saxony-Anhalt,Upper Secondary Level,Never,0.4415,200,23282,0.38181,0.50593
228,228,2014,Saxony-Anhalt,Second Stage of Tertiary Education,"Yes, depending on situation",0.31607,76,23282,0.25035,0.37485
229,229,2014,Saxony-Anhalt,Second Stage of Tertiary Education,Rather not,0.341,64,23282,0.25873,0.43514
230,230,2014,Saxony-Anhalt,Second Stage of Tertiary Education,Never,0.34293,57,23282,0.28605,0.42188
231,231,2014,Thuringa,Upper Secondary Level,"Yes, happily",0.04983,32,23282,0.03299,0.07118
232,232,2014,Thuringa,Upper Secondary Level,"Yes, depending on situation",0.26449,152,23282,0.22619,0.31315
233,233,2014,Thuringa,Upper Secondary Level,Rather not,0.21588,147,23282,0.17938,0.25978
234,234,2014,Thuringa,Upper Secondary Level,Never,0.4698,234,23282,0.42635,0.51889
235,235,2014,Thuringa,Second Stage of Tertiary Education,"Yes, depending on situation",0.47592,95,23282,0.3866,0.60516
236,236,2014,Thuringa,Second Stage of Tertiary Education,Rather not,0.29255,68,23282,0.1943,0.3918
237,237,2014,Thuringa,Second Stage of Tertiary Education,Never,0.23153,44,23282,0.18089,0.28254
238,238,2019,Schleswig-Holstein,Lower Secondary Level,"Yes, depending on situation",0.42215,33,22113,0.24613,0.64212
239,239,2019,Schleswig-Holstein,Lower Secondary Level,Never,0.57785,42,22113,0.45571,0.7387
240,240,2019,Schleswig-Holstein,Upper Secondary Level,"Yes, depending on situation",0.26799,107,22113,0.20764,0.32656
241,241,2019,Schleswig-Holstein,Upper Secondary Level,Rather not,0.36027,113,22113,0.29718,0.4264
242,242,2019,Schleswig-Holstein,Upper Secondary Level,Never,0.37173,160,22113,0.30772,0.44252
243,243,2019,Schleswig-Holstein,Post-secondary Non-tertiary Level,Never,1.0,36,22113,0.69278,1.47639
244,244,2019,Schleswig-Holstein,First Stage of Tertiary Education,Never,1.0,33,22113,0.64301,1.44253
245,245,2019,Schleswig-Holstein,Second Stage of Tertiary Education,"Yes, depending on situation",0.407,89,22113,0.29971,0.51363
246,246,2019,Schleswig-Holstein,Second Stage of Tertiary Education,Rather not,0.33165,53,22113,0.22104,0.48625
247,247,2019,Schleswig-Holstein,Second Stage of Tertiary Education,Never,0.26135,59,22113,0.19366,0.34156
248,248,2019,Hamburg,Upper Secondary Level,"Yes, depending on situation",0.2282,46,22113,0.15931,0.30075
249,249,2019,Hamburg,Upper Secondary Level,Rather not,0.27495,49,22113,0.20346,0.35063
250,250,2019,Hamburg,Upper Secondary Level,Never,0.49685,80,22113,0.36404,0.63458
251,251,2019,Hamburg,Second Stage of Tertiary Education,"Yes, depending on situation",0.43835,66,22113,0.31582,0.55463
