year,bula_h,hhtyp,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Schleswig-Holstein,Single-person household,No,0.99392,119,119,0.97989,1.00795
2011,Schleswig-Holstein,Couple without children,No,0.96518,161,161,0.93678,0.99359
2011,Schleswig-Holstein,Couple with children,No,0.72234,95,95,0.63180,0.81287
2011,Hamburg,Single-person household,No,0.97658,73,73,0.94165,1.01151
2011,Hamburg,Couple with children,No,0.73535,41,41,0.59863,0.87206
2011,Lower Saxony,Single-person household,No,0.97903,266,266,0.96178,0.99628
2011,Lower Saxony,Couple without children,No,0.97976,420,420,0.96628,0.99324
2011,Lower Saxony,Single parent,No,0.45624,60,60,0.32915,0.58334
2011,Lower Saxony,Couple with children,No,0.77390,300,300,0.72648,0.82131
2011,North Rhine-Westphalia,Single-person household,No,0.99539,629,629,0.99009,1.00069
2011,North Rhine-Westphalia,Couple without children,No,0.99224,840,840,0.98630,0.99818
2011,North Rhine-Westphalia,Single parent,No,0.50890,153,153,0.42943,0.58838
2011,North Rhine-Westphalia,Couple with children,No,0.80484,672,672,0.77485,0.83483
2011,Hesse,Single-person household,No,0.99077,229,229,0.97836,1.00318
2011,Hesse,Couple without children,No,0.99086,279,279,0.97967,1.00205
2011,Hesse,Single parent,No,0.54011,61,61,0.41400,0.66622
2011,Hesse,Couple with children,No,0.77346,240,240,0.72039,0.82653
2011,"Rhineland-Palatinate, Saarland",Single-person household,No,0.98647,223,223,0.97127,1.00167
2011,"Rhineland-Palatinate, Saarland",Couple without children,No,0.99897,233,233,0.99483,1.00310
2011,"Rhineland-Palatinate, Saarland",Single parent,No,0.63234,51,51,0.49868,0.76599
2011,"Rhineland-Palatinate, Saarland",Couple with children,No,0.76839,182,182,0.70693,0.82985
2011,Baden-Wuerttemberg,Single-person household,No,0.99078,394,394,0.98133,1.00023
2011,Baden-Wuerttemberg,Couple without children,No,0.99198,482,482,0.98400,0.99995
2011,Baden-Wuerttemberg,Single parent,No,0.54371,84,84,0.43655,0.65087
2011,Baden-Wuerttemberg,Couple with children,No,0.77639,404,404,0.73571,0.81707
2011,Bavaria,Single-person household,No,0.99366,509,509,0.98676,1.00056
2011,Bavaria,Couple without children,No,0.98918,649,649,0.98122,0.99715
2011,Bavaria,Single parent,No,0.52992,111,111,0.43665,0.62320
2011,Bavaria,Couple with children,No,0.77703,523,523,0.74132,0.81273
2011,Berlin,Single-person household,No,0.99934,212,212,0.99586,1.00281
2011,Berlin,Single parent,No,0.48656,36,36,0.32097,0.65215
2011,Berlin,Couple with children,No,0.79549,93,93,0.71307,0.87791
2011,Brandenburg,Single-person household,No,0.99932,156,156,0.99521,1.00343
2011,Brandenburg,Couple without children,No,0.98848,204,204,0.97380,1.00316
2011,Brandenburg,Single parent,No,0.48333,35,35,0.31535,0.65130
2011,Brandenburg,Couple with children,No,0.75297,110,110,0.67200,0.83393
2011,Mecklenburg-Western Pomerania,Single-person household,No,0.99260,97,97,0.97545,1.00975
2011,Mecklenburg-Western Pomerania,Couple without children,No,0.97171,117,117,0.94154,1.00188
2011,Mecklenburg-Western Pomerania,Single parent,No,0.48043,32,32,0.30455,0.65630
2011,Mecklenburg-Western Pomerania,Couple with children,No,0.78059,59,59,0.67409,0.88710
2011,Saxony,Couple without children,No,0.99353,305,305,0.98451,1.00254
2011,Saxony,Single parent,No,0.63336,56,56,0.50601,0.76072
2011,Saxony,Couple with children,No,0.78375,201,201,0.72670,0.84081
2011,Saxony-Anhalt,Single-person household,No,0.99712,153,153,0.98861,1.00564
2011,Saxony-Anhalt,Couple without children,No,0.99383,184,184,0.98248,1.00518
2011,Saxony-Anhalt,Couple with children,No,0.76217,126,126,0.68754,0.83681
2011,Thuringa,Couple without children,No,0.99107,191,191,0.97769,1.00445
2011,Thuringa,Couple with children,No,0.71572,119,119,0.63433,0.79710
2016,Schleswig-Holstein,Single-person household,No,0.98538,126,126,0.96434,1.00642
2016,Schleswig-Holstein,Couple without children,No,0.93880,128,128,0.89711,0.98049
2016,Schleswig-Holstein,Single parent,No,0.97036,56,56,0.92554,1.01518
2016,Schleswig-Holstein,Couple with children,No,0.95612,172,172,0.92542,0.98682
2016,Hamburg,Single-person household,No,0.99315,71,71,0.97382,1.01247
2016,Hamburg,Couple without children,No,0.99901,68,68,0.99147,1.00654
2016,Hamburg,Couple with children,No,0.98956,89,89,0.96833,1.01080
2016,Lower Saxony,Single-person household,No,0.98001,285,285,0.96373,0.99629
2016,Lower Saxony,Couple without children,No,0.98626,389,389,0.97467,0.99784
2016,Lower Saxony,Single parent,No,0.98790,153,153,0.97051,1.00528
2016,Lower Saxony,Couple with children,No,0.95142,463,463,0.93181,0.97102
2016,Bremen,Couple with children,No,0.96864,36,36,0.91090,1.02638
2016,North Rhine-Westphalia,Single-person household,No,0.99134,605,605,0.98395,0.99873
2016,North Rhine-Westphalia,Couple without children,No,0.98879,779,779,0.98140,0.99619
2016,North Rhine-Westphalia,Single parent,No,0.98780,312,312,0.97559,1.00000
2016,North Rhine-Westphalia,Couple with children,No,0.97502,1122,1122,0.96588,0.98416
2016,North Rhine-Westphalia,Other Combinations,No,0.95856,44,44,0.89899,1.01813
2016,Hesse,Single-person household,No,0.99497,209,209,0.98536,1.00458
2016,Hesse,Couple without children,No,0.97759,275,275,0.96006,0.99511
2016,Hesse,Single parent,No,0.98157,108,108,0.95608,1.00705
2016,Hesse,Couple with children,No,0.96020,337,337,0.93930,0.98111
2016,"Rhineland-Palatinate, Saarland",Single-person household,No,0.99098,205,205,0.97801,1.00395
2016,"Rhineland-Palatinate, Saarland",Couple without children,No,0.97823,236,236,0.95957,0.99689
2016,"Rhineland-Palatinate, Saarland",Single parent,No,0.99605,81,81,0.98231,1.00979
2016,"Rhineland-Palatinate, Saarland",Couple with children,No,0.97816,292,292,0.96137,0.99496
2016,Baden-Wuerttemberg,Single-person household,No,0.98243,345,345,0.96854,0.99631
2016,Baden-Wuerttemberg,Couple without children,No,0.98730,423,423,0.97661,0.99798
2016,Baden-Wuerttemberg,Single parent,No,0.99398,146,146,0.98139,1.00657
2016,Baden-Wuerttemberg,Couple with children,No,0.98416,663,663,0.97465,0.99367
2016,Bavaria,Single-person household,No,0.99255,516,516,0.98513,0.99998
2016,Bavaria,Couple without children,No,0.98706,633,633,0.97824,0.99587
2016,Bavaria,Single parent,No,0.95209,232,232,0.92455,0.97963
2016,Bavaria,Couple with children,No,0.98262,852,852,0.97384,0.99140
2016,Berlin,Single-person household,No,0.99585,226,226,0.98745,1.00425
2016,Berlin,Couple without children,No,0.99979,167,167,0.99756,1.00201
2016,Berlin,Single parent,No,0.96471,67,67,0.92020,1.00923
2016,Berlin,Couple with children,No,0.99459,137,137,0.98225,1.00692
2016,Brandenburg,Single-person household,No,0.99506,134,134,0.98315,1.00697
2016,Brandenburg,Couple without children,No,0.99316,211,211,0.98202,1.00431
2016,Brandenburg,Single parent,No,0.99187,53,53,0.96747,1.01628
2016,Brandenburg,Couple with children,No,0.94977,143,143,0.91385,0.98570
2016,Mecklenburg-Western Pomerania,Single-person household,No,0.99487,102,102,0.98094,1.00880
2016,Mecklenburg-Western Pomerania,Couple without children,No,0.98234,103,103,0.95678,1.00790
2016,Mecklenburg-Western Pomerania,Single parent,No,0.97370,39,39,0.92282,1.02458
2016,Mecklenburg-Western Pomerania,Couple with children,No,0.97418,75,75,0.93805,1.01032
2016,Saxony,Single-person household,No,0.99632,227,227,0.98843,1.00421
2016,Saxony,Couple without children,No,0.99903,285,285,0.99540,1.00265
2016,Saxony,Single parent,No,0.97792,92,92,0.94772,1.00811
2016,Saxony,Couple with children,No,0.97971,241,241,0.96187,0.99755
2016,Saxony-Anhalt,Single-person household,No,0.99228,148,148,0.97812,1.00643
2016,Saxony-Anhalt,Couple without children,No,0.99005,153,153,0.97428,1.00583
2016,Saxony-Anhalt,Single parent,No,0.90544,68,68,0.83538,0.97551
2016,Saxony-Anhalt,Couple with children,No,0.98352,133,133,0.96180,1.00524
2016,Thuringa,Single-person household,No,0.98925,150,150,0.97269,1.00581
2016,Thuringa,Couple without children,No,0.98300,181,181,0.96411,1.00188
2016,Thuringa,Single parent,No,0.99242,53,53,0.96884,1.01600
2016,Thuringa,Couple with children,No,0.98796,149,149,0.97039,1.00553
2021,Schleswig-Holstein,Single-person household,No,0.93900,97,97,0.89113,0.98688
2021,Schleswig-Holstein,Couple without children,No,0.89168,117,117,0.83513,0.94824
2021,Schleswig-Holstein,Single parent,No,0.84450,31,31,0.71482,0.97418
2021,Schleswig-Holstein,Couple with children,No,0.94868,149,149,0.91313,0.98423
2021,Hamburg,Single-person household,No,0.94768,81,81,0.89889,0.99648
2021,Hamburg,Couple without children,No,0.99762,90,90,0.98751,1.00774
2021,Hamburg,Couple with children,No,0.98222,65,65,0.94985,1.01460
2021,Lower Saxony,Single-person household,No,0.99141,288,288,0.98073,1.00209
2021,Lower Saxony,Couple without children,No,0.97422,325,325,0.95697,0.99148
2021,Lower Saxony,Single parent,No,0.96522,89,89,0.92694,1.00350
2021,Lower Saxony,Couple with children,No,0.94281,301,301,0.91653,0.96909
2021,North Rhine-Westphalia,Single-person household,No,0.98541,626,626,0.97601,0.99481
2021,North Rhine-Westphalia,Couple without children,No,0.98913,671,671,0.98128,0.99698
2021,North Rhine-Westphalia,Single parent,No,0.97558,163,163,0.95182,0.99935
2021,North Rhine-Westphalia,Couple with children,No,0.94855,700,700,0.93218,0.96493
2021,North Rhine-Westphalia,Other Combinations,No,0.93553,65,65,0.87537,0.99570
2021,Hesse,Single-person household,No,0.97328,206,206,0.95121,0.99536
2021,Hesse,Couple without children,No,0.96605,207,207,0.94131,0.99078
2021,Hesse,Single parent,No,0.98143,59,59,0.94669,1.01617
2021,Hesse,Couple with children,No,0.89540,176,176,0.85006,0.94074
2021,"Rhineland-Palatinate, Saarland",Single-person household,No,0.98954,149,149,0.97314,1.00593
2021,"Rhineland-Palatinate, Saarland",Couple without children,No,0.97865,162,162,0.95632,1.00098
2021,"Rhineland-Palatinate, Saarland",Single parent,No,0.91912,37,37,0.83005,1.00819
2021,"Rhineland-Palatinate, Saarland",Couple with children,No,0.95952,152,152,0.92808,0.99095
2021,Baden-Wuerttemberg,Single-person household,No,0.97185,308,308,0.95334,0.99035
2021,Baden-Wuerttemberg,Couple without children,No,0.99153,362,362,0.98208,1.00099
2021,Baden-Wuerttemberg,Single parent,No,0.97600,85,85,0.94326,1.00873
2021,Baden-Wuerttemberg,Couple with children,No,0.97620,409,409,0.96141,0.99099
2021,Bavaria,Single-person household,No,0.99368,518,518,0.98685,1.00051
2021,Bavaria,Couple without children,No,0.99149,501,501,0.98344,0.99954
2021,Bavaria,Single parent,No,0.91510,126,126,0.86623,0.96396
2021,Bavaria,Couple with children,No,0.98321,522,522,0.97218,0.99424
2021,Bavaria,Other Combinations,No,0.88760,43,43,0.79208,0.98313
2021,Berlin,Single-person household,No,0.98889,237,237,0.97551,1.00226
2021,Berlin,Couple without children,No,0.99341,151,151,0.98046,1.00636
2021,Berlin,Single parent,No,0.97696,39,39,0.92926,1.02466
2021,Berlin,Couple with children,No,0.95292,117,117,0.91437,0.99146
2021,Brandenburg,Single-person household,No,0.97286,118,118,0.94342,1.00230
2021,Brandenburg,Couple without children,No,0.98279,163,163,0.96277,1.00282
2021,Brandenburg,Single parent,No,0.99143,40,40,0.96250,1.02036
2021,Brandenburg,Couple with children,No,0.95868,109,109,0.92115,0.99622
2021,Mecklenburg-Western Pomerania,Single-person household,No,0.99246,83,83,0.97373,1.01118
2021,Mecklenburg-Western Pomerania,Couple without children,No,0.99376,85,85,0.97693,1.01060
2021,Mecklenburg-Western Pomerania,Couple with children,No,0.93712,55,55,0.87237,1.00186
2021,Saxony,Single-person household,No,0.98786,198,198,0.97257,1.00315
2021,Saxony,Couple without children,No,0.99359,266,266,0.98397,1.00320
2021,Saxony,Single parent,No,0.99980,73,73,0.99654,1.00306
2021,Saxony,Couple with children,No,0.98568,169,169,0.96771,1.00364
2021,Saxony-Anhalt,Single-person household,No,0.99448,116,116,0.98095,1.00802
2021,Saxony-Anhalt,Couple without children,No,0.99902,119,119,0.99336,1.00467
2021,Saxony-Anhalt,Single parent,No,0.99628,39,39,0.97693,1.01563
2021,Saxony-Anhalt,Couple with children,No,0.96170,71,71,0.91674,1.00666
2021,Thuringa,Single-person household,No,0.98860,119,119,0.96944,1.00775
2021,Thuringa,Couple without children,No,0.99336,126,126,0.97912,1.00760
2021,Thuringa,Single parent,No,0.96794,39,39,0.91193,1.02395
2021,Thuringa,Couple with children,No,0.96708,88,88,0.92958,1.00457
