,Unnamed: 0,year,hhtyp,quintil_oecd_hh,pet_horse,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
53,53,2011,Couple without children,4th Quintile,No,1.0,962,11770,0.94439,1.05639
54,54,2011,Couple without children,5th Quintile,No,1.0,1380,11770,0.9518,1.05545
55,55,2011,Single parent,1st Quintile,No,1.0,320,11770,0.89474,1.13193
56,56,2011,Single parent,2nd Quintile,No,1.0,176,11770,0.88048,1.1704
57,57,2011,Single parent,3rd Quintile,No,1.0,143,11770,0.85923,1.15802
58,58,2011,Single parent,4th Quintile,No,1.0,79,11770,0.77351,1.20591
59,59,2011,Single parent,5th Quintile,No,1.0,58,11770,0.79165,1.22935
60,60,2011,Couple with children,1st Quintile,No,1.0,398,11770,0.89641,1.11378
61,61,2011,Couple with children,2nd Quintile,No,1.0,564,11770,0.90498,1.08942
62,62,2011,Couple with children,3rd Quintile,No,1.0,747,11770,0.93443,1.07056
63,63,2011,Couple with children,4th Quintile,No,1.0,763,11770,0.93264,1.07637
64,64,2011,Couple with children,5th Quintile,No,1.0,710,11770,0.92612,1.07475
65,65,2016,Single-person household,1st Quintile,No,1.0,984,14050,0.9502,1.0551
66,66,2016,Single-person household,2nd Quintile,No,1.0,729,14050,0.94985,1.04944
67,67,2016,Single-person household,3rd Quintile,No,1.0,631,14050,0.94305,1.05797
68,68,2016,Single-person household,4th Quintile,No,1.0,539,14050,0.93738,1.05058
69,69,2016,Single-person household,5th Quintile,No,1.0,488,14050,0.93965,1.06395
70,70,2016,Couple without children,1st Quintile,No,1.0,420,14050,0.91858,1.09296
71,71,2016,Couple without children,2nd Quintile,No,1.0,720,14050,0.93058,1.07313
72,72,2016,Couple without children,3rd Quintile,No,1.0,773,14050,0.94107,1.07607
73,73,2016,Couple without children,4th Quintile,No,1.0,913,14050,0.93608,1.05899
74,74,2016,Couple without children,5th Quintile,No,1.0,1228,14050,0.94677,1.06394
75,75,2016,Single parent,1st Quintile,No,1.0,658,14050,0.91328,1.09016
76,76,2016,Single parent,2nd Quintile,No,1.0,396,14050,0.87336,1.11812
77,77,2016,Single parent,3rd Quintile,No,1.0,232,14050,0.87451,1.13938
78,78,2016,Single parent,4th Quintile,No,1.0,149,14050,0.81713,1.18675
79,79,2016,Single parent,5th Quintile,No,1.0,74,14050,0.78503,1.2009
80,80,2016,Couple with children,1st Quintile,No,1.0,897,14050,0.90648,1.09134
81,81,2016,Couple with children,2nd Quintile,No,1.0,1144,14050,0.92714,1.07244
82,82,2016,Couple with children,3rd Quintile,No,1.0,1024,14050,0.9169,1.0939
83,83,2016,Couple with children,4th Quintile,No,1.0,988,14050,0.93346,1.08458
84,84,2016,Couple with children,5th Quintile,No,1.0,850,14050,0.9384,1.07201
85,85,2016,Multi-generational household,1st Quintile,No,1.0,34,14050,0.60189,1.48299
86,86,2016,Multi-generational household,2nd Quintile,No,1.0,31,14050,0.50254,1.79833
87,87,2016,Other Combinations,1st Quintile,No,1.0,60,14050,0.77357,1.24289
88,88,2016,Other Combinations,2nd Quintile,No,1.0,54,14050,0.75722,1.23025
89,89,2016,Other Combinations,3rd Quintile,No,1.0,34,14050,0.7402,1.27002
90,90,2021,Single-person household,1st Quintile,No,1.0,950,10714,0.93505,1.07105
91,91,2021,Single-person household,2nd Quintile,No,1.0,632,10714,0.92713,1.07192
92,92,2021,Single-person household,3rd Quintile,No,1.0,560,10714,0.91444,1.08655
93,93,2021,Single-person household,4th Quintile,No,1.0,485,10714,0.92068,1.09517
94,94,2021,Single-person household,5th Quintile,No,1.0,532,10714,0.92363,1.08112
95,95,2021,Couple without children,1st Quintile,No,1.0,334,10714,0.88249,1.12971
96,96,2021,Couple without children,2nd Quintile,No,1.0,561,10714,0.92261,1.08348
97,97,2021,Couple without children,3rd Quintile,No,1.0,550,10714,0.92083,1.09303
98,98,2021,Couple without children,4th Quintile,No,1.0,703,10714,0.92148,1.07268
99,99,2021,Couple without children,5th Quintile,No,1.0,1208,10714,0.9216,1.08031
100,100,2021,Single parent,1st Quintile,No,1.0,290,10714,0.84879,1.1525
101,101,2021,Single parent,2nd Quintile,No,1.0,259,10714,0.86299,1.16917
102,102,2021,Single parent,3rd Quintile,No,1.0,138,10714,0.78323,1.22827
103,103,2021,Single parent,4th Quintile,No,1.0,124,10714,0.79504,1.24527
104,104,2021,Single parent,5th Quintile,No,1.0,68,10714,0.71972,1.30675
105,105,2021,Couple with children,1st Quintile,No,1.0,393,10714,0.88731,1.13655
106,106,2021,Couple with children,2nd Quintile,No,1.0,632,10714,0.86396,1.10256
107,107,2021,Couple with children,3rd Quintile,No,1.0,663,10714,0.91437,1.11236
108,108,2021,Couple with children,4th Quintile,No,1.0,654,10714,0.89575,1.11188
109,109,2021,Couple with children,5th Quintile,No,1.0,730,10714,0.91819,1.13248
110,110,2021,Other Combinations,1st Quintile,No,1.0,47,10714,0.5311,1.50978
111,111,2021,Other Combinations,2nd Quintile,No,1.0,52,10714,0.67945,1.36975
112,112,2021,Other Combinations,3rd Quintile,No,1.0,48,10714,0.72012,1.31054
113,113,2021,Other Combinations,4th Quintile,No,1.0,53,10714,0.71556,1.39643
114,114,2021,Other Combinations,5th Quintile,No,1.0,48,10714,0.66552,1.41558
