,Unnamed: 0,year,age_gr,sex,plg0267_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
47,47,2017,17-29 y.,female,General education,0.1807,296,2975,0.15331,0.20985
48,48,2017,17-29 y.,female,University/ Technical university,0.4518,432,2975,0.40588,0.50451
49,49,2017,17-29 y.,female,Vocational training,0.33119,401,2975,0.28925,0.37309
50,50,2017,17-29 y.,female,Further training/ Retraining,0.03631,42,2975,0.02369,0.05386
51,51,2017,30-45 y.,male,University/ Technical university,0.5388,89,2975,0.4174,0.69287
52,52,2017,30-45 y.,male,Vocational training,0.17977,54,2975,0.11379,0.2619
53,53,2017,30-45 y.,male,Further training/ Retraining,0.28143,78,2975,0.20098,0.36006
54,54,2017,30-45 y.,female,University/ Technical university,0.45281,86,2975,0.34808,0.55268
55,55,2017,30-45 y.,female,Vocational training,0.16873,54,2975,0.12189,0.22632
56,56,2017,30-45 y.,female,Further training/ Retraining,0.37846,96,2975,0.28251,0.48198
57,57,2017,46-65 y.,female,Further training/ Retraining,1.0,67,2975,0.69719,1.33094
58,58,2018,17-29 y.,male,General education,0.15192,247,2905,0.12957,0.17612
59,59,2018,17-29 y.,male,University/ Technical university,0.4424,461,2905,0.39859,0.48906
60,60,2018,17-29 y.,male,Vocational training,0.36877,489,2905,0.333,0.41616
61,61,2018,17-29 y.,male,Further training/ Retraining,0.03691,47,2905,0.02398,0.05074
62,62,2018,17-29 y.,female,General education,0.17634,270,2905,0.14496,0.21142
63,63,2018,17-29 y.,female,University/ Technical university,0.47552,447,2905,0.43051,0.52476
64,64,2018,17-29 y.,female,Vocational training,0.31697,384,2905,0.27717,0.36475
65,65,2018,17-29 y.,female,Further training/ Retraining,0.03117,38,2905,0.01927,0.0459
66,66,2018,30-45 y.,male,University/ Technical university,0.56222,84,2905,0.42175,0.69642
67,67,2018,30-45 y.,male,Vocational training,0.1598,64,2905,0.09145,0.23885
68,68,2018,30-45 y.,male,Further training/ Retraining,0.27798,80,2905,0.18168,0.39648
69,69,2018,30-45 y.,female,University/ Technical university,0.42372,89,2905,0.30424,0.52569
70,70,2018,30-45 y.,female,Vocational training,0.13397,51,2905,0.0874,0.18314
71,71,2018,30-45 y.,female,Further training/ Retraining,0.44232,96,2905,0.32095,0.59322
72,72,2018,46-65 y.,female,Further training/ Retraining,1.0,58,2905,0.65108,1.37913
73,73,2019,17-29 y.,male,General education,0.14854,228,2694,0.11887,0.18171
74,74,2019,17-29 y.,male,University/ Technical university,0.4722,418,2694,0.42712,0.52458
75,75,2019,17-29 y.,male,Vocational training,0.34914,439,2694,0.30865,0.39058
76,76,2019,17-29 y.,male,Further training/ Retraining,0.03012,40,2694,0.01791,0.04781
77,77,2019,17-29 y.,female,General education,0.16167,210,2694,0.13034,0.20221
78,78,2019,17-29 y.,female,University/ Technical university,0.45253,433,2694,0.41049,0.51211
79,79,2019,17-29 y.,female,Vocational training,0.33731,375,2694,0.29122,0.38509
80,80,2019,17-29 y.,female,Further training/ Retraining,0.04849,42,2694,0.03489,0.06629
81,81,2019,30-45 y.,male,University/ Technical university,0.65546,90,2694,0.4597,0.88512
82,82,2019,30-45 y.,male,Vocational training,0.12524,66,2694,0.07476,0.19133
83,83,2019,30-45 y.,male,Further training/ Retraining,0.2193,53,2694,0.15311,0.28437
84,84,2019,30-45 y.,female,University/ Technical university,0.37134,76,2694,0.27759,0.46157
85,85,2019,30-45 y.,female,Vocational training,0.3075,68,2694,0.20904,0.41203
86,86,2019,30-45 y.,female,Further training/ Retraining,0.32116,73,2694,0.20022,0.43474
87,87,2019,46-65 y.,male,Further training/ Retraining,1.0,32,2694,0.49436,1.55011
88,88,2019,46-65 y.,female,Further training/ Retraining,1.0,51,2694,0.53596,1.53876
89,89,2020,17-29 y.,male,General education,0.13864,216,2830,0.11297,0.16079
90,90,2020,17-29 y.,male,University/ Technical university,0.47824,408,2830,0.41068,0.5511
91,91,2020,17-29 y.,male,Vocational training,0.33172,490,2830,0.28867,0.37712
92,92,2020,17-29 y.,male,Further training/ Retraining,0.05141,52,2830,0.03486,0.07507
93,93,2020,17-29 y.,female,General education,0.12829,215,2830,0.11052,0.15676
94,94,2020,17-29 y.,female,University/ Technical university,0.47125,458,2830,0.42002,0.53224
95,95,2020,17-29 y.,female,Vocational training,0.36407,425,2830,0.3058,0.40967
96,96,2020,17-29 y.,female,Further training/ Retraining,0.03639,32,2830,0.01946,0.05859
97,97,2020,30-45 y.,male,University/ Technical university,0.64257,95,2830,0.47387,0.86563
98,98,2020,30-45 y.,male,Vocational training,0.16973,98,2830,0.09833,0.25842
99,99,2020,30-45 y.,male,Further training/ Retraining,0.1877,69,2830,0.12822,0.25484
100,100,2020,30-45 y.,female,University/ Technical university,0.44177,85,2830,0.32019,0.53976
101,101,2020,30-45 y.,female,Vocational training,0.29922,75,2830,0.19005,0.44555
102,102,2020,30-45 y.,female,Further training/ Retraining,0.25901,64,2830,0.16843,0.3849
103,103,2020,46-65 y.,female,Further training/ Retraining,1.0,48,2830,0.66323,1.45733
104,104,2021,17-29 y.,male,General education,0.14448,145,1913,0.11555,0.17527
105,105,2021,17-29 y.,male,University/ Technical university,0.5375,343,1913,0.44787,0.63474
106,106,2021,17-29 y.,male,Vocational training,0.28839,275,1913,0.22842,0.36006
107,107,2021,17-29 y.,male,Further training/ Retraining,0.02964,33,1913,0.01825,0.04435
108,108,2021,17-29 y.,female,General education,0.1132,121,1913,0.0747,0.15634
109,109,2021,17-29 y.,female,University/ Technical university,0.61103,352,1913,0.52757,0.70076
110,110,2021,17-29 y.,female,Vocational training,0.27577,250,1913,0.22507,0.32979
111,111,2021,30-45 y.,male,University/ Technical university,0.66643,78,1913,0.51027,0.8963
112,112,2021,30-45 y.,male,Vocational training,0.08452,50,1913,0.05082,0.12606
113,113,2021,30-45 y.,male,Further training/ Retraining,0.24906,54,1913,0.17156,0.35352
114,114,2021,30-45 y.,female,University/ Technical university,0.42387,64,1913,0.30047,0.56514
115,115,2021,30-45 y.,female,Vocational training,0.30457,56,1913,0.17225,0.45652
116,116,2021,30-45 y.,female,Further training/ Retraining,0.27155,54,1913,0.17227,0.3774
117,117,2021,46-65 y.,female,Further training/ Retraining,1.0,38,1913,0.51204,1.61792
