,Unnamed: 0,year,pgisced97,sampreg,plg0267_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
74,74,2018,Upper Secondary Level,West,General education,0.02287,33,2392,0.01215,0.04037
75,75,2018,Upper Secondary Level,West,University/ Technical university,0.59783,457,2392,0.53346,0.66868
76,76,2018,Upper Secondary Level,West,Vocational training,0.27937,255,2392,0.23983,0.32318
77,77,2018,Upper Secondary Level,West,Further training/ Retraining,0.09993,85,2392,0.07476,0.12974
78,78,2018,Upper Secondary Level,East,University/ Technical university,0.74999,87,2392,0.58768,0.93614
79,79,2018,Upper Secondary Level,East,Vocational training,0.25001,39,2392,0.14962,0.38406
80,80,2018,Post-secondary Non-tertiary Level,West,University/ Technical university,1.0,82,2392,0.75683,1.24385
81,81,2018,Second Stage of Tertiary Education,West,University/ Technical university,0.6912,258,2392,0.59562,0.79013
82,82,2018,Second Stage of Tertiary Education,West,Vocational training,0.13743,59,2392,0.07985,0.19971
83,83,2018,Second Stage of Tertiary Education,West,Further training/ Retraining,0.17137,82,2392,0.11067,0.23459
84,84,2018,Second Stage of Tertiary Education,East,University/ Technical university,1.0,53,2392,0.70789,1.29036
85,85,2019,Pre-primary Level,West,General education,1.0,258,2235,0.80323,1.20953
86,86,2019,Pre-primary Level,East,General education,1.0,52,2235,0.67503,1.42222
87,87,2019,Primary Level,West,Vocational training,1.0,55,2235,0.56331,1.55597
88,88,2019,Lower Secondary Level,West,General education,0.12821,79,2235,0.08338,0.17328
89,89,2019,Lower Secondary Level,West,Vocational training,0.87179,287,2235,0.70698,1.02004
90,90,2019,Lower Secondary Level,East,Vocational training,1.0,57,2235,0.72951,1.34195
91,91,2019,Upper Secondary Level,West,University/ Technical university,0.62266,450,2235,0.55466,0.70547
92,92,2019,Upper Secondary Level,West,Vocational training,0.27856,250,2235,0.23694,0.32368
93,93,2019,Upper Secondary Level,West,Further training/ Retraining,0.09878,82,2235,0.07315,0.12832
94,94,2019,Upper Secondary Level,East,University/ Technical university,0.65784,70,2235,0.51027,0.86775
95,95,2019,Upper Secondary Level,East,Vocational training,0.34216,43,2235,0.24388,0.45485
96,96,2019,Post-secondary Non-tertiary Level,West,University/ Technical university,0.77429,82,2235,0.61655,0.9779
97,97,2019,Post-secondary Non-tertiary Level,West,Vocational training,0.22571,31,2235,0.15222,0.31666
98,98,2019,Second Stage of Tertiary Education,West,University/ Technical university,0.69877,243,2235,0.6038,0.78567
99,99,2019,Second Stage of Tertiary Education,West,Vocational training,0.13623,78,2235,0.08943,0.18586
100,100,2019,Second Stage of Tertiary Education,West,Further training/ Retraining,0.165,74,2235,0.12578,0.21902
101,101,2019,Second Stage of Tertiary Education,East,University/ Technical university,1.0,44,2235,0.77972,1.38511
102,102,2020,Pre-primary Level,West,General education,1.0,248,2449,0.86038,1.18086
103,103,2020,Pre-primary Level,East,General education,1.0,57,2449,0.65923,1.35763
104,104,2020,Primary Level,West,Vocational training,1.0,63,2449,0.63013,1.43685
105,105,2020,Lower Secondary Level,West,General education,0.1019,69,2449,0.06504,0.13991
106,106,2020,Lower Secondary Level,West,Vocational training,0.81426,305,2449,0.6898,0.9462
107,107,2020,Lower Secondary Level,West,Further training/ Retraining,0.08384,31,2449,0.051,0.13383
108,108,2020,Lower Secondary Level,East,Vocational training,1.0,53,2449,0.60784,1.64082
109,109,2020,Upper Secondary Level,West,University/ Technical university,0.63227,464,2449,0.56071,0.73001
110,110,2020,Upper Secondary Level,West,Vocational training,0.28975,287,2449,0.24462,0.34546
111,111,2020,Upper Secondary Level,West,Further training/ Retraining,0.07798,81,2449,0.06001,0.09941
112,112,2020,Upper Secondary Level,East,University/ Technical university,0.71879,77,2449,0.56293,0.90798
113,113,2020,Upper Secondary Level,East,Vocational training,0.28121,46,2449,0.18564,0.40964
114,114,2020,Post-secondary Non-tertiary Level,West,University/ Technical university,0.67487,90,2449,0.52261,0.82991
115,115,2020,Post-secondary Non-tertiary Level,West,Vocational training,0.12021,40,2449,0.07681,0.17569
116,116,2020,Post-secondary Non-tertiary Level,West,Further training/ Retraining,0.20492,36,2449,0.13072,0.29304
117,117,2020,Second Stage of Tertiary Education,West,University/ Technical university,0.65214,255,2449,0.55262,0.75906
118,118,2020,Second Stage of Tertiary Education,West,Vocational training,0.17375,119,2449,0.11305,0.24065
119,119,2020,Second Stage of Tertiary Education,West,Further training/ Retraining,0.17411,83,2449,0.12573,0.23892
120,120,2020,Second Stage of Tertiary Education,East,University/ Technical university,1.0,45,2449,0.70615,1.31467
121,121,2021,Pre-primary Level,West,General education,1.0,128,1640,0.76494,1.30828
122,122,2021,Pre-primary Level,East,General education,1.0,32,1640,0.63112,1.45278
123,123,2021,Primary Level,West,Vocational training,1.0,33,1640,0.56799,1.43755
124,124,2021,Lower Secondary Level,West,General education,0.25326,57,1640,0.17342,0.36287
125,125,2021,Lower Secondary Level,West,Vocational training,0.74674,175,1640,0.58975,0.92202
126,126,2021,Lower Secondary Level,East,Vocational training,1.0,37,1640,0.52458,1.72434
127,127,2021,Upper Secondary Level,West,University/ Technical university,0.67426,355,1640,0.55598,0.76763
128,128,2021,Upper Secondary Level,West,Vocational training,0.2578,182,1640,0.21192,0.31237
129,129,2021,Upper Secondary Level,West,Further training/ Retraining,0.06794,57,1640,0.04423,0.08744
130,130,2021,Upper Secondary Level,East,University/ Technical university,0.59258,69,1640,0.41495,0.7506
131,131,2021,Upper Secondary Level,East,Vocational training,0.40742,39,1640,0.24024,0.61515
132,132,2021,Post-secondary Non-tertiary Level,West,University/ Technical university,1.0,66,1640,0.8152,1.20002
133,133,2021,Second Stage of Tertiary Education,West,University/ Technical university,0.75275,226,1640,0.63314,0.90038
134,134,2021,Second Stage of Tertiary Education,West,Vocational training,0.11649,81,1640,0.06936,0.17085
135,135,2021,Second Stage of Tertiary Education,West,Further training/ Retraining,0.13075,64,1640,0.08443,0.1865
136,136,2021,Second Stage of Tertiary Education,East,University/ Technical university,1.0,39,1640,0.63886,1.40007
