,Unnamed: 0,year,migback,regtyp,plg0267_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
50,50,2017,No migration background,Urban regions,General education,0.13788,218,2900,0.11966,0.16388
51,51,2017,No migration background,Urban regions,University/ Technical university,0.48519,550,2900,0.44033,0.52904
52,52,2017,No migration background,Urban regions,Vocational training,0.28096,354,2900,0.24531,0.31908
53,53,2017,No migration background,Urban regions,Further training/ Retraining,0.09596,124,2900,0.0775,0.11529
54,54,2017,No migration background,Rural regions,General education,0.15895,124,2900,0.12937,0.19309
55,55,2017,No migration background,Rural regions,University/ Technical university,0.35456,194,2900,0.29465,0.4125
56,56,2017,No migration background,Rural regions,Vocational training,0.37721,257,2900,0.33496,0.4281
57,57,2017,No migration background,Rural regions,Further training/ Retraining,0.10928,78,2900,0.08968,0.13385
58,58,2017,Direct migration background,Urban regions,General education,0.0784,92,2900,0.05388,0.10787
59,59,2017,Direct migration background,Urban regions,University/ Technical university,0.4494,149,2900,0.34009,0.54672
60,60,2017,Direct migration background,Urban regions,Vocational training,0.26957,158,2900,0.18924,0.34542
61,61,2017,Direct migration background,Urban regions,Further training/ Retraining,0.20263,115,2900,0.14989,0.28435
62,62,2017,Direct migration background,Rural regions,Vocational training,1.0,79,2900,0.65381,1.42707
63,63,2017,Indirect migration background,Urban regions,General education,0.17568,98,2900,0.14044,0.21792
64,64,2017,Indirect migration background,Urban regions,University/ Technical university,0.49444,154,2900,0.41064,0.59473
65,65,2017,Indirect migration background,Urban regions,Vocational training,0.32988,120,2900,0.27027,0.39238
66,66,2017,Indirect migration background,Rural regions,Vocational training,1.0,36,2900,0.65643,1.37707
67,67,2018,No migration background,Urban regions,General education,0.13168,193,2860,0.11188,0.15435
68,68,2018,No migration background,Urban regions,University/ Technical university,0.49066,556,2860,0.45385,0.54288
69,69,2018,No migration background,Urban regions,Vocational training,0.27358,344,2860,0.23689,0.30869
70,70,2018,No migration background,Urban regions,Further training/ Retraining,0.10408,108,2860,0.07795,0.12945
71,71,2018,No migration background,Rural regions,General education,0.12492,87,2860,0.09852,0.15797
72,72,2018,No migration background,Rural regions,University/ Technical university,0.43089,190,2860,0.34735,0.50533
73,73,2018,No migration background,Rural regions,Vocational training,0.37365,235,2860,0.32115,0.43226
74,74,2018,No migration background,Rural regions,Further training/ Retraining,0.07054,55,2860,0.05041,0.09783
75,75,2018,Direct migration background,Urban regions,General education,0.08282,95,2860,0.05534,0.11613
76,76,2018,Direct migration background,Urban regions,University/ Technical university,0.44433,155,2860,0.33478,0.55397
77,77,2018,Direct migration background,Urban regions,Vocational training,0.26253,183,2860,0.20407,0.32657
78,78,2018,Direct migration background,Urban regions,Further training/ Retraining,0.21032,115,2860,0.15703,0.27984
79,79,2018,Direct migration background,Rural regions,General education,0.09453,38,2860,0.04859,0.14807
80,80,2018,Direct migration background,Rural regions,Vocational training,0.51775,85,2860,0.32038,0.80328
81,81,2018,Direct migration background,Rural regions,Further training/ Retraining,0.38773,50,2860,0.15037,0.64997
82,82,2018,Indirect migration background,Urban regions,General education,0.20534,95,2860,0.15689,0.24557
83,83,2018,Indirect migration background,Urban regions,University/ Technical university,0.42943,154,2860,0.35055,0.52831
84,84,2018,Indirect migration background,Urban regions,Vocational training,0.36523,122,2860,0.29156,0.45288
85,85,2019,No migration background,Urban regions,General education,0.12618,174,2513,0.1029,0.15935
86,86,2019,No migration background,Urban regions,University/ Technical university,0.47955,518,2513,0.43365,0.52702
87,87,2019,No migration background,Urban regions,Vocational training,0.29488,336,2513,0.25481,0.34348
88,88,2019,No migration background,Urban regions,Further training/ Retraining,0.09938,109,2513,0.07653,0.12818
89,89,2019,No migration background,Rural regions,General education,0.10897,70,2513,0.07901,0.14514
90,90,2019,No migration background,Rural regions,University/ Technical university,0.40196,180,2513,0.32759,0.49917
91,91,2019,No migration background,Rural regions,Vocational training,0.38666,211,2513,0.32597,0.4515
92,92,2019,No migration background,Rural regions,Further training/ Retraining,0.10241,63,2513,0.08181,0.12568
93,93,2019,Direct migration background,Urban regions,General education,0.08978,75,2513,0.05584,0.12901
94,94,2019,Direct migration background,Urban regions,University/ Technical university,0.46704,124,2513,0.3205,0.66213
95,95,2019,Direct migration background,Urban regions,Vocational training,0.275,196,2513,0.19215,0.37681
96,96,2019,Direct migration background,Urban regions,Further training/ Retraining,0.16819,65,2513,0.0866,0.281
97,97,2019,Direct migration background,Rural regions,Vocational training,1.0,81,2513,0.66889,1.43406
98,98,2019,Indirect migration background,Urban regions,General education,0.17779,79,2513,0.12661,0.23341
99,99,2019,Indirect migration background,Urban regions,University/ Technical university,0.48108,131,2513,0.38376,0.57685
100,100,2019,Indirect migration background,Urban regions,Vocational training,0.34113,101,2513,0.26934,0.41977
101,101,2020,No migration background,Urban regions,General education,0.08768,158,2809,0.07164,0.10505
102,102,2020,No migration background,Urban regions,University/ Technical university,0.54009,583,2809,0.49082,0.58068
103,103,2020,No migration background,Urban regions,Vocational training,0.27245,306,2809,0.24357,0.31457
104,104,2020,No migration background,Urban regions,Further training/ Retraining,0.09978,109,2809,0.07849,0.12333
105,105,2020,No migration background,Rural regions,General education,0.12552,66,2809,0.09414,0.16625
106,106,2020,No migration background,Rural regions,University/ Technical university,0.39597,173,2809,0.3088,0.49469
107,107,2020,No migration background,Rural regions,Vocational training,0.3837,203,2809,0.30701,0.46116
108,108,2020,No migration background,Rural regions,Further training/ Retraining,0.09481,47,2809,0.0721,0.12503
109,109,2020,Direct migration background,Urban regions,General education,0.13956,96,2809,0.0932,0.19132
110,110,2020,Direct migration background,Urban regions,University/ Technical university,0.37636,150,2809,0.26923,0.48434
111,111,2020,Direct migration background,Urban regions,Vocational training,0.33602,346,2809,0.24007,0.44707
112,112,2020,Direct migration background,Urban regions,Further training/ Retraining,0.14806,96,2809,0.07326,0.2663
113,113,2020,Direct migration background,Rural regions,Vocational training,1.0,120,2809,0.62118,1.471
114,114,2020,Indirect migration background,Urban regions,General education,0.13586,79,2809,0.109,0.17372
115,115,2020,Indirect migration background,Urban regions,University/ Technical university,0.44909,134,2809,0.33326,0.59247
116,116,2020,Indirect migration background,Urban regions,Vocational training,0.41505,111,2809,0.32275,0.50491
117,117,2020,Indirect migration background,Rural regions,Vocational training,1.0,32,2809,0.69331,1.46037
118,118,2021,No migration background,Urban regions,General education,0.0778,85,1922,0.05325,0.10228
119,119,2021,No migration background,Urban regions,University/ Technical university,0.62396,471,1922,0.55689,0.67801
120,120,2021,No migration background,Urban regions,Vocational training,0.21026,183,1922,0.1765,0.2487
121,121,2021,No migration background,Urban regions,Further training/ Retraining,0.08798,78,1922,0.06624,0.10917
122,122,2021,No migration background,Rural regions,General education,0.17424,56,1922,0.12603,0.23844
123,123,2021,No migration background,Rural regions,University/ Technical university,0.38889,133,1922,0.31825,0.50851
124,124,2021,No migration background,Rural regions,Vocational training,0.38058,141,1922,0.28995,0.48731
125,125,2021,No migration background,Rural regions,Further training/ Retraining,0.05629,35,1922,0.04261,0.07824
126,126,2021,Direct migration background,Urban regions,General education,0.11139,81,1922,0.06449,0.16245
127,127,2021,Direct migration background,Urban regions,University/ Technical university,0.40965,132,1922,0.27705,0.57591
128,128,2021,Direct migration background,Urban regions,Vocational training,0.3263,199,1922,0.23034,0.47752
129,129,2021,Direct migration background,Urban regions,Further training/ Retraining,0.15265,71,1922,0.09572,0.2294
130,130,2021,Direct migration background,Rural regions,Vocational training,1.0,63,1922,0.53919,1.38398
131,131,2021,Indirect migration background,Urban regions,General education,0.09244,32,1922,0.06496,0.13079
132,132,2021,Indirect migration background,Urban regions,University/ Technical university,0.65325,101,1922,0.46563,0.86835
133,133,2021,Indirect migration background,Urban regions,Vocational training,0.25431,61,1922,0.17257,0.35086
