,Unnamed: 0,year,pgisced97,regtyp,plg0267_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
21,21,2015,Upper Secondary Level,Urban regions,University/ Technical university,0.62309,356,1904,0.55506,0.71184
22,22,2015,Upper Secondary Level,Urban regions,Vocational training,0.23996,147,1904,0.1974,0.28455
23,23,2015,Upper Secondary Level,Urban regions,Further training/ Retraining,0.13695,73,1904,0.09182,0.18622
24,24,2015,Upper Secondary Level,Rural regions,University/ Technical university,0.41525,106,1904,0.33733,0.51763
25,25,2015,Upper Secondary Level,Rural regions,Vocational training,0.31637,97,1904,0.24234,0.41902
26,26,2015,Upper Secondary Level,Rural regions,Further training/ Retraining,0.26838,46,1904,0.17341,0.39001
27,27,2015,Post-secondary Non-tertiary Level,Urban regions,University/ Technical university,1.0,61,1904,0.71667,1.27959
28,28,2015,Second Stage of Tertiary Education,Urban regions,University/ Technical university,0.80121,180,1904,0.65055,0.94962
29,29,2015,Second Stage of Tertiary Education,Urban regions,Further training/ Retraining,0.19879,47,1904,0.13075,0.27847
30,30,2015,Second Stage of Tertiary Education,Rural regions,University/ Technical university,1.0,38,1904,0.60675,1.37005
31,31,2016,Pre-primary Level,Urban regions,General education,1.0,251,1986,0.85,1.15559
32,32,2016,Pre-primary Level,Rural regions,General education,1.0,92,1986,0.68647,1.40819
33,33,2016,Lower Secondary Level,Urban regions,General education,0.2368,62,1986,0.15991,0.32036
34,34,2016,Lower Secondary Level,Urban regions,Vocational training,0.7632,208,1986,0.62796,0.90854
35,35,2016,Lower Secondary Level,Rural regions,Vocational training,1.0,143,1986,0.7439,1.27467
36,36,2016,Upper Secondary Level,Urban regions,University/ Technical university,0.63382,346,1986,0.5436,0.72484
37,37,2016,Upper Secondary Level,Urban regions,Vocational training,0.24192,157,1986,0.19994,0.28717
38,38,2016,Upper Secondary Level,Urban regions,Further training/ Retraining,0.12425,81,1986,0.08377,0.17492
39,39,2016,Upper Secondary Level,Rural regions,University/ Technical university,0.51323,89,1986,0.3833,0.64156
40,40,2016,Upper Secondary Level,Rural regions,Vocational training,0.31797,85,1986,0.24773,0.37585
41,41,2016,Upper Secondary Level,Rural regions,Further training/ Retraining,0.1688,37,1986,0.11876,0.22813
42,42,2016,Post-secondary Non-tertiary Level,Urban regions,University/ Technical university,0.66446,54,1986,0.46237,0.8662
43,43,2016,Post-secondary Non-tertiary Level,Urban regions,Further training/ Retraining,0.33554,33,1986,0.21102,0.52129
44,44,2016,Second Stage of Tertiary Education,Urban regions,University/ Technical university,0.73559,205,1986,0.62219,0.85222
45,45,2016,Second Stage of Tertiary Education,Urban regions,Vocational training,0.1311,34,1986,0.07056,0.21079
46,46,2016,Second Stage of Tertiary Education,Urban regions,Further training/ Retraining,0.13332,75,1986,0.08785,0.17938
47,47,2016,Second Stage of Tertiary Education,Rural regions,University/ Technical university,1.0,34,1986,0.63325,1.41737
48,48,2017,Pre-primary Level,Urban regions,General education,1.0,278,2416,0.86063,1.14991
49,49,2017,Pre-primary Level,Rural regions,General education,1.0,115,2416,0.7879,1.26022
50,50,2017,Lower Secondary Level,Urban regions,General education,0.16892,72,2416,0.10963,0.24668
51,51,2017,Lower Secondary Level,Urban regions,Vocational training,0.83108,225,2416,0.67504,0.99314
52,52,2017,Lower Secondary Level,Rural regions,General education,0.20732,31,2416,0.14916,0.27806
53,53,2017,Lower Secondary Level,Rural regions,Vocational training,0.79268,149,2416,0.63699,0.95916
54,54,2017,Upper Secondary Level,Urban regions,University/ Technical university,0.60248,398,2416,0.53544,0.67306
55,55,2017,Upper Secondary Level,Urban regions,Vocational training,0.29936,209,2416,0.25097,0.34489
56,56,2017,Upper Secondary Level,Urban regions,Further training/ Retraining,0.09816,74,2416,0.0714,0.12957
57,57,2017,Upper Secondary Level,Rural regions,University/ Technical university,0.51483,122,2416,0.40415,0.63281
58,58,2017,Upper Secondary Level,Rural regions,Vocational training,0.35034,112,2416,0.27535,0.43254
59,59,2017,Upper Secondary Level,Rural regions,Further training/ Retraining,0.13483,49,2416,0.10338,0.16465
60,60,2017,Post-secondary Non-tertiary Level,Urban regions,University/ Technical university,0.75848,79,2416,0.59316,0.91889
61,61,2017,Post-secondary Non-tertiary Level,Urban regions,Further training/ Retraining,0.24152,35,2416,0.1682,0.33052
62,62,2017,Post-secondary Non-tertiary Level,Rural regions,University/ Technical university,1.0,31,2416,0.65653,1.40965
63,63,2017,Second Stage of Tertiary Education,Urban regions,University/ Technical university,0.74218,249,2416,0.6231,0.86669
64,64,2017,Second Stage of Tertiary Education,Urban regions,Vocational training,0.07984,44,2416,0.05276,0.11512
65,65,2017,Second Stage of Tertiary Education,Urban regions,Further training/ Retraining,0.17798,92,2416,0.12881,0.23475
66,66,2017,Second Stage of Tertiary Education,Rural regions,University/ Technical university,1.0,52,2416,0.69832,1.4364
67,67,2018,Pre-primary Level,Urban regions,General education,1.0,253,2354,0.86601,1.14982
68,68,2018,Pre-primary Level,Rural regions,General education,1.0,88,2354,0.78045,1.24164
69,69,2018,Primary Level,Urban regions,Vocational training,1.0,36,2354,0.48726,1.71898
70,70,2018,Lower Secondary Level,Urban regions,General education,0.11934,64,2354,0.08521,0.15773
71,71,2018,Lower Secondary Level,Urban regions,Vocational training,0.77945,237,2354,0.69563,0.90862
72,72,2018,Lower Secondary Level,Urban regions,Further training/ Retraining,0.10121,36,2354,0.04936,0.16105
73,73,2018,Lower Secondary Level,Rural regions,General education,0.20219,37,2354,0.113,0.31382
74,74,2018,Lower Secondary Level,Rural regions,Vocational training,0.79781,146,2354,0.67858,0.9561
75,75,2018,Upper Secondary Level,Urban regions,University/ Technical university,0.62791,414,2354,0.55176,0.70402
76,76,2018,Upper Secondary Level,Urban regions,Vocational training,0.26916,196,2354,0.22907,0.31383
77,77,2018,Upper Secondary Level,Urban regions,Further training/ Retraining,0.10292,69,2354,0.07579,0.14434
78,78,2018,Upper Secondary Level,Rural regions,University/ Technical university,0.60358,130,2354,0.47614,0.74682
79,79,2018,Upper Secondary Level,Rural regions,Vocational training,0.2897,98,2354,0.23719,0.35775
80,80,2018,Upper Secondary Level,Rural regions,Further training/ Retraining,0.10673,39,2354,0.0692,0.15606
81,81,2018,Post-secondary Non-tertiary Level,Urban regions,University/ Technical university,1.0,76,2354,0.79127,1.28788
82,82,2018,Second Stage of Tertiary Education,Urban regions,University/ Technical university,0.71083,262,2354,0.62124,0.81134
83,83,2018,Second Stage of Tertiary Education,Urban regions,Vocational training,0.13702,54,2354,0.08831,0.20001
84,84,2018,Second Stage of Tertiary Education,Urban regions,Further training/ Retraining,0.15215,70,2354,0.10325,0.20392
85,85,2018,Second Stage of Tertiary Education,Rural regions,University/ Technical university,1.0,49,2354,0.64256,1.43809
86,86,2019,Pre-primary Level,Urban regions,General education,1.0,229,2103,0.80369,1.18898
87,87,2019,Pre-primary Level,Rural regions,General education,1.0,80,2103,0.69357,1.35979
88,88,2019,Primary Level,Urban regions,Vocational training,1.0,39,2103,0.4046,1.83243
89,89,2019,Lower Secondary Level,Urban regions,General education,0.12682,61,2103,0.07795,0.17169
90,90,2019,Lower Secondary Level,Urban regions,Vocational training,0.87318,213,2103,0.6631,1.05254
91,91,2019,Lower Secondary Level,Rural regions,Vocational training,1.0,123,2103,0.82352,1.22915
92,92,2019,Upper Secondary Level,Urban regions,University/ Technical university,0.651,379,2103,0.56429,0.75674
93,93,2019,Upper Secondary Level,Urban regions,Vocational training,0.25408,185,2103,0.20979,0.30534
94,94,2019,Upper Secondary Level,Urban regions,Further training/ Retraining,0.09492,61,2103,0.06293,0.12993
95,95,2019,Upper Secondary Level,Rural regions,University/ Technical university,0.51257,112,2103,0.39207,0.65262
96,96,2019,Upper Secondary Level,Rural regions,Vocational training,0.37836,100,2103,0.29504,0.46916
97,97,2019,Upper Secondary Level,Rural regions,Further training/ Retraining,0.10908,39,2103,0.07697,0.14771
98,98,2019,Post-secondary Non-tertiary Level,Urban regions,University/ Technical university,1.0,69,2103,0.77491,1.31663
99,99,2019,Second Stage of Tertiary Education,Urban regions,University/ Technical university,0.70425,228,2103,0.59194,0.79314
100,100,2019,Second Stage of Tertiary Education,Urban regions,Vocational training,0.14406,73,2103,0.09694,0.19784
101,101,2019,Second Stage of Tertiary Education,Urban regions,Further training/ Retraining,0.15169,68,2103,0.10376,0.20481
102,102,2019,Second Stage of Tertiary Education,Rural regions,University/ Technical university,1.0,44,2103,0.64139,1.44681
103,103,2020,Pre-primary Level,Urban regions,General education,1.0,226,2378,0.84735,1.17863
104,104,2020,Pre-primary Level,Rural regions,General education,1.0,79,2378,0.71773,1.32864
105,105,2020,Primary Level,Urban regions,Vocational training,1.0,55,2378,0.57101,1.49672
106,106,2020,Lower Secondary Level,Urban regions,General education,0.12353,61,2378,0.08377,0.16172
107,107,2020,Lower Secondary Level,Urban regions,Vocational training,0.87647,223,2378,0.7026,1.0178
108,108,2020,Lower Secondary Level,Rural regions,Vocational training,1.0,135,2378,0.74842,1.2427
109,109,2020,Upper Secondary Level,Urban regions,University/ Technical university,0.67558,440,2378,0.59186,0.76383
110,110,2020,Upper Secondary Level,Urban regions,Vocational training,0.26016,222,2378,0.21272,0.31837
111,111,2020,Upper Secondary Level,Urban regions,Further training/ Retraining,0.06426,64,2378,0.04649,0.08248
112,112,2020,Upper Secondary Level,Rural regions,University/ Technical university,0.50794,101,2378,0.38132,0.659
113,113,2020,Upper Secondary Level,Rural regions,Vocational training,0.36075,111,2378,0.27273,0.46979
114,114,2020,Upper Secondary Level,Rural regions,Further training/ Retraining,0.13131,34,2378,0.06895,0.18427
115,115,2020,Post-secondary Non-tertiary Level,Urban regions,University/ Technical university,0.74979,80,2378,0.53926,0.92241
116,116,2020,Post-secondary Non-tertiary Level,Urban regions,Further training/ Retraining,0.25021,32,2378,0.14082,0.37521
117,117,2020,Second Stage of Tertiary Education,Urban regions,University/ Technical university,0.67416,247,2378,0.57416,0.79337
118,118,2020,Second Stage of Tertiary Education,Urban regions,Vocational training,0.15516,101,2378,0.0979,0.22185
119,119,2020,Second Stage of Tertiary Education,Urban regions,Further training/ Retraining,0.17068,79,2378,0.11248,0.23498
120,120,2020,Second Stage of Tertiary Education,Rural regions,University/ Technical university,0.77616,53,2378,0.54976,1.00233
121,121,2020,Second Stage of Tertiary Education,Rural regions,Vocational training,0.22384,35,2378,0.0917,0.36627
122,122,2021,Pre-primary Level,Urban regions,General education,1.0,114,1572,0.72549,1.26486
123,123,2021,Pre-primary Level,Rural regions,General education,1.0,46,1572,0.66357,1.46895
124,124,2021,Lower Secondary Level,Urban regions,General education,0.19371,45,1572,0.11794,0.27988
125,125,2021,Lower Secondary Level,Urban regions,Vocational training,0.80629,124,1572,0.53416,1.12936
126,126,2021,Lower Secondary Level,Rural regions,Vocational training,1.0,88,1572,0.63913,1.44871
127,127,2021,Upper Secondary Level,Urban regions,University/ Technical university,0.69355,343,1572,0.58506,0.80562
128,128,2021,Upper Secondary Level,Urban regions,Vocational training,0.23949,146,1572,0.18234,0.29217
129,129,2021,Upper Secondary Level,Urban regions,Further training/ Retraining,0.06697,49,1572,0.04647,0.09168
130,130,2021,Upper Secondary Level,Rural regions,University/ Technical university,0.56663,81,1572,0.37154,0.79247
131,131,2021,Upper Secondary Level,Rural regions,Vocational training,0.43337,75,1572,0.30379,0.57731
132,132,2021,Post-secondary Non-tertiary Level,Urban regions,University/ Technical university,1.0,64,1572,0.79075,1.22819
133,133,2021,Second Stage of Tertiary Education,Urban regions,University/ Technical university,0.75104,220,1572,0.61038,0.87912
134,134,2021,Second Stage of Tertiary Education,Urban regions,Vocational training,0.11355,69,1572,0.07157,0.17136
135,135,2021,Second Stage of Tertiary Education,Urban regions,Further training/ Retraining,0.13541,63,1572,0.07448,0.19042
136,136,2021,Second Stage of Tertiary Education,Rural regions,University/ Technical university,1.0,45,1572,0.66611,1.34812
