year,age_gr,sampreg,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,17-29 y.,West,University/ Technical university,0.45045,779,2014,0.42872,0.47219
2018,17-29 y.,West,Vocational training,0.35323,730,2014,0.33235,0.37411
2018,17-29 y.,West,Further training/ Retraining,0.03343,66,2014,0.02557,0.04128
2018,17-29 y.,East,General education,0.16039,78,350,0.12189,0.19890
2018,17-29 y.,East,University/ Technical university,0.51266,129,350,0.46022,0.56510
2018,17-29 y.,East,Vocational training,0.28805,143,350,0.24054,0.33557
2018,30-45 y.,West,University/ Technical university,0.44943,127,368,0.39853,0.50032
2018,30-45 y.,West,Vocational training,0.15786,102,368,0.12056,0.19516
2018,30-45 y.,West,Further training/ Retraining,0.39046,139,368,0.34055,0.44037
2018,30-45 y.,East,University/ Technical university,0.66449,46,83,0.56229,0.76669
2018,30-45 y.,East,Further training/ Retraining,0.23625,37,83,0.14431,0.32819
2018,46-65 y.,West,Further training/ Retraining,0.71886,66,66,0.60957,0.82815
2019,17-29 y.,West,General education,0.15092,376,1857,0.13464,0.16721
2019,17-29 y.,West,University/ Technical university,0.46880,735,1857,0.44610,0.49151
2019,17-29 y.,West,Vocational training,0.33976,679,1857,0.31821,0.36130
2019,17-29 y.,West,Further training/ Retraining,0.04052,67,1857,0.03155,0.04949
2019,17-29 y.,East,General education,0.18046,62,309,0.13751,0.22341
2019,17-29 y.,East,University/ Technical university,0.44144,113,309,0.38598,0.49689
2019,17-29 y.,East,Vocational training,0.34808,134,309,0.29488,0.40128
2019,30-45 y.,West,University/ Technical university,0.48694,128,342,0.43389,0.54000
2019,30-45 y.,West,Vocational training,0.22877,117,342,0.18419,0.27335
2019,30-45 y.,West,Further training/ Retraining,0.28230,97,342,0.23452,0.33007
2019,30-45 y.,East,University/ Technical university,0.59366,38,38,0.43540,0.75192
2019,46-65 y.,West,Further training/ Retraining,0.72841,60,60,0.61491,0.84190
2020,17-29 y.,West,General education,0.11900,354,1968,0.10469,0.13331
2020,17-29 y.,West,University/ Technical university,0.48892,756,1968,0.46683,0.51102
2020,17-29 y.,West,Vocational training,0.34401,785,1968,0.32301,0.36500
2020,17-29 y.,West,Further training/ Retraining,0.04807,73,1968,0.03862,0.05753
2020,17-29 y.,East,General education,0.22422,77,319,0.17838,0.27006
2020,17-29 y.,East,University/ Technical university,0.40515,112,319,0.35120,0.45911
2020,17-29 y.,East,Vocational training,0.34387,130,319,0.29166,0.39607
2020,30-45 y.,West,University/ Technical university,0.54227,144,407,0.49380,0.59073
2020,30-45 y.,West,Vocational training,0.25010,154,407,0.20797,0.29222
2020,30-45 y.,West,Further training/ Retraining,0.20334,109,407,0.16419,0.24249
2020,30-45 y.,East,University/ Technical university,0.60090,37,37,0.44092,0.76087
2020,46-65 y.,West,Further training/ Retraining,0.62607,63,63,0.50563,0.74651
2021,17-29 y.,West,General education,0.12615,219,1297,0.10808,0.14423
2021,17-29 y.,West,University/ Technical university,0.58877,590,1297,0.56198,0.61556
2021,17-29 y.,West,Vocational training,0.25917,440,1297,0.23531,0.28302
2021,17-29 y.,West,Further training/ Retraining,0.02591,48,1297,0.01726,0.03456
2021,17-29 y.,East,General education,0.14108,47,240,0.09695,0.18521
2021,17-29 y.,East,University/ Technical university,0.46170,108,240,0.39850,0.52491
2021,17-29 y.,East,Vocational training,0.37821,85,240,0.31673,0.43969
2021,30-45 y.,West,University/ Technical university,0.53244,115,295,0.47541,0.58947
2021,30-45 y.,West,Vocational training,0.19880,91,295,0.15318,0.24442
2021,30-45 y.,West,Further training/ Retraining,0.26735,89,295,0.21676,0.31794
2021,46-65 y.,West,Further training/ Retraining,0.47528,42,42,0.32242,0.62815
2022,17-29 y.,West,General education,0.08663,228,1993,0.07428,0.09899
2022,17-29 y.,West,University/ Technical university,0.63987,1025,1993,0.61879,0.66095
2022,17-29 y.,West,Vocational training,0.23155,632,1993,0.21302,0.25007
2022,17-29 y.,West,Further training/ Retraining,0.04195,108,1993,0.03314,0.05075
2022,17-29 y.,East,General education,0.06812,42,422,0.04405,0.09219
2022,17-29 y.,East,University/ Technical university,0.59738,213,422,0.55054,0.64423
2022,17-29 y.,East,Vocational training,0.31157,167,422,0.26733,0.35581
2022,30-45 y.,West,University/ Technical university,0.50303,255,598,0.46293,0.54314
2022,30-45 y.,West,Vocational training,0.18648,138,598,0.15524,0.21772
2022,30-45 y.,West,Further training/ Retraining,0.30278,205,598,0.26592,0.33963
2022,30-45 y.,East,University/ Technical university,0.43951,53,101,0.34223,0.53679
2022,30-45 y.,East,Further training/ Retraining,0.37187,48,101,0.27714,0.46659
2022,46-65 y.,West,Vocational training,0.28429,32,100,0.19543,0.37315
2022,46-65 y.,West,Further training/ Retraining,0.51942,68,100,0.42100,0.61784
