,Unnamed: 0,year,quintil_oecd,regtyp,plg0267_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
43,43,2015,2nd Quintile,Rural regions,General education,0.26181,42,2346,0.14494,0.42309
44,44,2015,2nd Quintile,Rural regions,University/ Technical university,0.25348,38,2346,0.15261,0.37957
45,45,2015,2nd Quintile,Rural regions,Vocational training,0.48472,80,2346,0.32501,0.69237
46,46,2015,3rd Quintile,Urban regions,General education,0.1318,54,2346,0.09777,0.17204
47,47,2015,3rd Quintile,Urban regions,University/ Technical university,0.36016,122,2346,0.28198,0.43185
48,48,2015,3rd Quintile,Urban regions,Vocational training,0.30631,98,2346,0.22612,0.38784
49,49,2015,3rd Quintile,Urban regions,Further training/ Retraining,0.20173,32,2346,0.11789,0.27919
50,50,2015,3rd Quintile,Rural regions,University/ Technical university,0.5435,49,2346,0.36083,0.77222
51,51,2015,3rd Quintile,Rural regions,Vocational training,0.4565,58,2346,0.33878,0.60468
52,52,2015,4th Quintile,Urban regions,General education,0.08143,44,2346,0.06191,0.10008
53,53,2015,4th Quintile,Urban regions,University/ Technical university,0.51259,118,2346,0.38939,0.6253
54,54,2015,4th Quintile,Urban regions,Vocational training,0.28272,71,2346,0.21364,0.36258
55,55,2015,4th Quintile,Urban regions,Further training/ Retraining,0.12326,33,2346,0.07705,0.18478
56,56,2015,4th Quintile,Rural regions,University/ Technical university,0.36713,39,2346,0.28168,0.4767
57,57,2015,4th Quintile,Rural regions,Vocational training,0.63287,68,2346,0.45836,0.86804
58,58,2015,5th Quintile,Urban regions,General education,0.14663,42,2346,0.10379,0.20024
59,59,2015,5th Quintile,Urban regions,University/ Technical university,0.51078,125,2346,0.40374,0.64579
60,60,2015,5th Quintile,Urban regions,Vocational training,0.21039,46,2346,0.15154,0.27711
61,61,2015,5th Quintile,Urban regions,Further training/ Retraining,0.1322,35,2346,0.08167,0.19402
62,62,2016,1st Quintile,Urban regions,General education,0.09251,104,2137,0.07462,0.11392
63,63,2016,1st Quintile,Urban regions,University/ Technical university,0.57284,260,2137,0.50035,0.65549
64,64,2016,1st Quintile,Urban regions,Vocational training,0.26484,152,2137,0.20953,0.34262
65,65,2016,1st Quintile,Urban regions,Further training/ Retraining,0.0698,65,2137,0.0483,0.09345
66,66,2016,1st Quintile,Rural regions,University/ Technical university,0.45658,47,2137,0.29604,0.65021
67,67,2016,1st Quintile,Rural regions,Vocational training,0.54342,112,2137,0.41371,0.72247
68,68,2016,2nd Quintile,Urban regions,General education,0.15179,85,2137,0.11727,0.18958
69,69,2016,2nd Quintile,Urban regions,University/ Technical university,0.4459,111,2137,0.34759,0.58016
70,70,2016,2nd Quintile,Urban regions,Vocational training,0.32795,135,2137,0.26278,0.4113
71,71,2016,2nd Quintile,Urban regions,Further training/ Retraining,0.07436,32,2137,0.04699,0.10961
72,72,2016,2nd Quintile,Rural regions,University/ Technical university,0.39318,36,2137,0.22325,0.58596
73,73,2016,2nd Quintile,Rural regions,Vocational training,0.60682,78,2137,0.42738,0.79883
74,74,2016,3rd Quintile,Urban regions,General education,0.12185,55,2137,0.08579,0.17066
75,75,2016,3rd Quintile,Urban regions,University/ Technical university,0.42708,107,2137,0.308,0.56107
76,76,2016,3rd Quintile,Urban regions,Vocational training,0.3068,89,2137,0.23453,0.36814
77,77,2016,3rd Quintile,Urban regions,Further training/ Retraining,0.14426,35,2137,0.08931,0.21895
78,78,2016,3rd Quintile,Rural regions,Vocational training,1.0,60,2137,0.70602,1.38811
79,79,2016,4th Quintile,Urban regions,General education,0.15201,43,2137,0.10128,0.20784
80,80,2016,4th Quintile,Urban regions,University/ Technical university,0.46779,123,2137,0.39479,0.56745
81,81,2016,4th Quintile,Urban regions,Vocational training,0.20946,59,2137,0.1547,0.30027
82,82,2016,4th Quintile,Urban regions,Further training/ Retraining,0.17075,31,2137,0.09438,0.26209
83,83,2016,4th Quintile,Rural regions,University/ Technical university,0.54673,37,2137,0.35525,0.75617
84,84,2016,4th Quintile,Rural regions,Vocational training,0.45327,42,2137,0.32223,0.56468
85,85,2016,5th Quintile,Urban regions,General education,0.14403,41,2137,0.10826,0.19045
86,86,2016,5th Quintile,Urban regions,University/ Technical university,0.45536,119,2137,0.36852,0.55016
87,87,2016,5th Quintile,Urban regions,Vocational training,0.21044,43,2137,0.14131,0.28679
88,88,2016,5th Quintile,Urban regions,Further training/ Retraining,0.19017,36,2137,0.11953,0.27959
89,89,2017,1st Quintile,Urban regions,General education,0.10571,122,2141,0.08503,0.13094
90,90,2017,1st Quintile,Urban regions,University/ Technical university,0.54087,227,2141,0.463,0.64259
91,91,2017,1st Quintile,Urban regions,Vocational training,0.27303,204,2141,0.22218,0.33274
92,92,2017,1st Quintile,Urban regions,Further training/ Retraining,0.0804,86,2141,0.06085,0.10511
93,93,2017,1st Quintile,Rural regions,General education,0.08173,35,2141,0.05641,0.10688
94,94,2017,1st Quintile,Rural regions,University/ Technical university,0.38774,65,2141,0.26395,0.53014
95,95,2017,1st Quintile,Rural regions,Vocational training,0.45766,115,2141,0.35234,0.5741
96,96,2017,1st Quintile,Rural regions,Further training/ Retraining,0.07287,31,2141,0.05062,0.09681
97,97,2017,2nd Quintile,Urban regions,General education,0.13144,67,2141,0.10076,0.16862
98,98,2017,2nd Quintile,Urban regions,University/ Technical university,0.46995,135,2141,0.38542,0.57447
99,99,2017,2nd Quintile,Urban regions,Vocational training,0.39861,118,2141,0.30438,0.50987
100,100,2017,2nd Quintile,Rural regions,General education,0.2913,31,2141,0.20472,0.38281
101,101,2017,2nd Quintile,Rural regions,Vocational training,0.7087,75,2141,0.55858,0.86303
102,102,2017,3rd Quintile,Urban regions,General education,0.19556,57,2141,0.12762,0.27905
103,103,2017,3rd Quintile,Urban regions,University/ Technical university,0.5416,111,2141,0.40693,0.69725
104,104,2017,3rd Quintile,Urban regions,Vocational training,0.26284,80,2141,0.19452,0.32728
105,105,2017,3rd Quintile,Rural regions,University/ Technical university,0.40055,34,2141,0.24623,0.61184
106,106,2017,3rd Quintile,Rural regions,Vocational training,0.59945,52,2141,0.43248,0.79441
107,107,2017,4th Quintile,Urban regions,General education,0.24724,49,2141,0.16389,0.34072
108,108,2017,4th Quintile,Urban regions,University/ Technical university,0.48013,101,2141,0.36949,0.60847
109,109,2017,4th Quintile,Urban regions,Vocational training,0.27263,65,2141,0.20149,0.34558
110,110,2017,4th Quintile,Rural regions,University/ Technical university,0.43625,36,2141,0.27166,0.59195
111,111,2017,4th Quintile,Rural regions,Vocational training,0.56375,41,2141,0.43368,0.71381
112,112,2017,5th Quintile,Urban regions,General education,0.17136,37,2141,0.11071,0.24245
113,113,2017,5th Quintile,Urban regions,University/ Technical university,0.49451,121,2141,0.40003,0.62662
114,114,2017,5th Quintile,Urban regions,Vocational training,0.33413,46,2141,0.23303,0.44588
115,115,2018,1st Quintile,Urban regions,General education,0.09108,127,2474,0.07122,0.11189
116,116,2018,1st Quintile,Urban regions,University/ Technical university,0.53591,304,2474,0.46206,0.6111
117,117,2018,1st Quintile,Urban regions,Vocational training,0.29585,250,2474,0.2297,0.3679
118,118,2018,1st Quintile,Urban regions,Further training/ Retraining,0.07716,83,2474,0.05465,0.10837
119,119,2018,1st Quintile,Rural regions,General education,0.13739,46,2474,0.09057,0.1978
120,120,2018,1st Quintile,Rural regions,University/ Technical university,0.34236,50,2474,0.21773,0.51324
121,121,2018,1st Quintile,Rural regions,Vocational training,0.52024,133,2474,0.41943,0.68107
122,122,2018,2nd Quintile,Urban regions,General education,0.15003,78,2474,0.11295,0.20256
123,123,2018,2nd Quintile,Urban regions,University/ Technical university,0.40092,152,2474,0.32469,0.48384
124,124,2018,2nd Quintile,Urban regions,Vocational training,0.34239,152,2474,0.27502,0.40632
125,125,2018,2nd Quintile,Urban regions,Further training/ Retraining,0.10666,32,2474,0.06622,0.17491
126,126,2018,2nd Quintile,Rural regions,University/ Technical university,0.50942,36,2474,0.34313,0.73541
127,127,2018,2nd Quintile,Rural regions,Vocational training,0.49058,73,2474,0.40879,0.60744
128,128,2018,3rd Quintile,Urban regions,General education,0.19938,66,2474,0.15333,0.2679
129,129,2018,3rd Quintile,Urban regions,University/ Technical university,0.4368,129,2474,0.34362,0.52431
130,130,2018,3rd Quintile,Urban regions,Vocational training,0.252,88,2474,0.19712,0.30894
131,131,2018,3rd Quintile,Urban regions,Further training/ Retraining,0.11182,35,2474,0.07552,0.16369
132,132,2018,3rd Quintile,Rural regions,University/ Technical university,0.44369,40,2474,0.34205,0.57304
133,133,2018,3rd Quintile,Rural regions,Vocational training,0.55631,45,2474,0.35554,0.7345
134,134,2018,4th Quintile,Urban regions,General education,0.19183,47,2474,0.125,0.26695
135,135,2018,4th Quintile,Urban regions,University/ Technical university,0.49684,105,2474,0.38442,0.5952
136,136,2018,4th Quintile,Urban regions,Vocational training,0.31134,62,2474,0.24639,0.3808
137,137,2018,4th Quintile,Rural regions,University/ Technical university,0.67348,54,2474,0.43416,0.89654
138,138,2018,4th Quintile,Rural regions,Vocational training,0.32652,40,2474,0.25348,0.41849
139,139,2018,5th Quintile,Urban regions,General education,0.17387,43,2474,0.12443,0.2303
140,140,2018,5th Quintile,Urban regions,University/ Technical university,0.53261,119,2474,0.44887,0.65158
141,141,2018,5th Quintile,Urban regions,Vocational training,0.29352,46,2474,0.20916,0.38562
142,142,2018,5th Quintile,Rural regions,University/ Technical university,1.0,39,2474,0.70966,1.43021
143,143,2019,1st Quintile,Urban regions,General education,0.10349,115,2291,0.07552,0.14575
144,144,2019,1st Quintile,Urban regions,University/ Technical university,0.56108,266,2291,0.48238,0.63536
145,145,2019,1st Quintile,Urban regions,Vocational training,0.2861,268,2291,0.23558,0.34086
146,146,2019,1st Quintile,Urban regions,Further training/ Retraining,0.04934,59,2291,0.03122,0.06884
147,147,2019,1st Quintile,Rural regions,General education,0.09767,39,2291,0.05283,0.15125
148,148,2019,1st Quintile,Rural regions,University/ Technical university,0.42008,58,2291,0.28016,0.59163
149,149,2019,1st Quintile,Rural regions,Vocational training,0.33861,118,2291,0.26198,0.41525
150,150,2019,1st Quintile,Rural regions,Further training/ Retraining,0.14365,35,2291,0.07868,0.21258
151,151,2019,2nd Quintile,Urban regions,General education,0.16182,69,2291,0.10828,0.22372
152,152,2019,2nd Quintile,Urban regions,University/ Technical university,0.47593,145,2291,0.40283,0.57247
153,153,2019,2nd Quintile,Urban regions,Vocational training,0.36225,137,2291,0.28149,0.46117
154,154,2019,2nd Quintile,Rural regions,Vocational training,1.0,91,2291,0.77143,1.23519
155,155,2019,3rd Quintile,Urban regions,General education,0.16352,51,2291,0.11052,0.22839
156,156,2019,3rd Quintile,Urban regions,University/ Technical university,0.44823,125,2291,0.36763,0.51972
157,157,2019,3rd Quintile,Urban regions,Vocational training,0.38825,94,2291,0.30139,0.48424
158,158,2019,3rd Quintile,Rural regions,University/ Technical university,0.36665,44,2291,0.30153,0.45425
159,159,2019,3rd Quintile,Rural regions,Vocational training,0.63335,54,2291,0.45405,0.88572
160,160,2019,4th Quintile,Urban regions,General education,0.12059,40,2291,0.07541,0.1824
161,161,2019,4th Quintile,Urban regions,University/ Technical university,0.45078,99,2291,0.30595,0.61892
162,162,2019,4th Quintile,Urban regions,Vocational training,0.26819,72,2291,0.2098,0.36115
163,163,2019,4th Quintile,Urban regions,Further training/ Retraining,0.16044,36,2291,0.08602,0.2681
164,164,2019,4th Quintile,Rural regions,University/ Technical university,0.65125,52,2291,0.42945,0.92808
165,165,2019,4th Quintile,Rural regions,Vocational training,0.34875,34,2291,0.25154,0.4581
166,166,2019,5th Quintile,Urban regions,General education,0.20209,38,2291,0.13825,0.28765
167,167,2019,5th Quintile,Urban regions,University/ Technical university,0.48807,113,2291,0.39038,0.59061
168,168,2019,5th Quintile,Urban regions,Vocational training,0.30985,39,2291,0.20642,0.4586
169,169,2020,1st Quintile,Urban regions,General education,0.06788,93,2260,0.05183,0.08861
170,170,2020,1st Quintile,Urban regions,University/ Technical university,0.57681,295,2260,0.4927,0.6602
171,171,2020,1st Quintile,Urban regions,Vocational training,0.29266,236,2260,0.23049,0.35754
172,172,2020,1st Quintile,Urban regions,Further training/ Retraining,0.06264,45,2260,0.04018,0.09212
173,173,2020,1st Quintile,Rural regions,University/ Technical university,0.45727,48,2260,0.3249,0.62604
174,174,2020,1st Quintile,Rural regions,Vocational training,0.54273,119,2260,0.39548,0.68972
175,175,2020,2nd Quintile,Urban regions,General education,0.13004,60,2260,0.09436,0.1696
176,176,2020,2nd Quintile,Urban regions,University/ Technical university,0.54713,144,2260,0.4434,0.66638
177,177,2020,2nd Quintile,Urban regions,Vocational training,0.32283,115,2260,0.24586,0.41513
178,178,2020,2nd Quintile,Rural regions,University/ Technical university,0.43699,39,2260,0.20433,0.74077
179,179,2020,2nd Quintile,Rural regions,Vocational training,0.56301,75,2260,0.39702,0.70964
180,180,2020,3rd Quintile,Urban regions,General education,0.14299,53,2260,0.09918,0.20292
181,181,2020,3rd Quintile,Urban regions,University/ Technical university,0.49162,125,2260,0.41061,0.57535
182,182,2020,3rd Quintile,Urban regions,Vocational training,0.36539,100,2260,0.28443,0.459
183,183,2020,3rd Quintile,Rural regions,University/ Technical university,0.62123,38,2260,0.37525,0.99884
184,184,2020,3rd Quintile,Rural regions,Vocational training,0.37877,43,2260,0.23639,0.53521
185,185,2020,4th Quintile,Urban regions,General education,0.1015,38,2260,0.07259,0.13184
186,186,2020,4th Quintile,Urban regions,University/ Technical university,0.5408,120,2260,0.43578,0.65422
187,187,2020,4th Quintile,Urban regions,Vocational training,0.3577,77,2260,0.28082,0.43793
188,188,2020,4th Quintile,Rural regions,University/ Technical university,0.45478,45,2260,0.33792,0.59393
189,189,2020,4th Quintile,Rural regions,Vocational training,0.54522,31,2260,0.30484,0.78186
190,190,2020,5th Quintile,Urban regions,General education,0.11134,50,2260,0.0762,0.14723
191,191,2020,5th Quintile,Urban regions,University/ Technical university,0.45525,141,2260,0.36155,0.54993
192,192,2020,5th Quintile,Urban regions,Vocational training,0.23907,52,2260,0.17108,0.31105
193,193,2020,5th Quintile,Urban regions,Further training/ Retraining,0.19434,38,2260,0.10888,0.268
194,194,2020,5th Quintile,Rural regions,University/ Technical university,1.0,40,2260,0.56549,1.71576
195,195,2021,1st Quintile,Urban regions,General education,0.06516,64,1535,0.03725,0.11187
196,196,2021,1st Quintile,Urban regions,University/ Technical university,0.66075,271,1535,0.56788,0.74644
197,197,2021,1st Quintile,Urban regions,Vocational training,0.24076,196,1535,0.18497,0.30815
198,198,2021,1st Quintile,Urban regions,Further training/ Retraining,0.03333,45,1535,0.02284,0.04826
199,199,2021,1st Quintile,Rural regions,University/ Technical university,0.49098,40,1535,0.33368,0.6447
200,200,2021,1st Quintile,Rural regions,Vocational training,0.50902,78,1535,0.36417,0.67856
201,201,2021,2nd Quintile,Urban regions,General education,0.05913,33,1535,0.03603,0.09095
202,202,2021,2nd Quintile,Urban regions,University/ Technical university,0.55942,119,1535,0.42418,0.6923
203,203,2021,2nd Quintile,Urban regions,Vocational training,0.25833,81,1535,0.18821,0.34475
204,204,2021,2nd Quintile,Urban regions,Further training/ Retraining,0.12313,32,1535,0.06934,0.18498
205,205,2021,2nd Quintile,Rural regions,Vocational training,1.0,56,1535,0.72584,1.28765
206,206,2021,3rd Quintile,Urban regions,University/ Technical university,0.72219,104,1535,0.53202,0.96689
207,207,2021,3rd Quintile,Urban regions,Vocational training,0.27781,65,1535,0.18697,0.39082
208,208,2021,3rd Quintile,Rural regions,Vocational training,1.0,37,1535,0.69496,1.34912
209,209,2021,4th Quintile,Urban regions,General education,0.14735,34,1535,0.09127,0.22509
210,210,2021,4th Quintile,Urban regions,University/ Technical university,0.60579,97,1535,0.46449,0.76249
211,211,2021,4th Quintile,Urban regions,Vocational training,0.24687,43,1535,0.15302,0.3638
212,212,2021,4th Quintile,Rural regions,University/ Technical university,1.0,39,1535,0.57443,1.57689
213,213,2021,5th Quintile,Urban regions,University/ Technical university,1.0,101,1535,0.7787,1.2181
