year,sampreg,sex,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,East,male,Vocational training,0.33755,43,148,0.26110,0.41399
2021,East,female,University/ Technical university,0.53589,71,133,0.45081,0.62096
2021,East,female,Vocational training,0.35270,62,133,0.27119,0.43422
2022,West,male,General education,0.06966,124,1343,0.05604,0.08328
2022,West,male,University/ Technical university,0.57261,650,1343,0.54614,0.59908
2022,West,male,Vocational training,0.21837,397,1343,0.19627,0.24048
2022,West,male,Further training/ Retraining,0.13936,172,1343,0.12083,0.15789
2022,West,female,General education,0.06493,123,1393,0.05198,0.07787
2022,West,female,University/ Technical university,0.59578,655,1393,0.56999,0.62156
2022,West,female,Vocational training,0.23266,404,1393,0.21046,0.25486
2022,West,female,Further training/ Retraining,0.10664,211,1393,0.09042,0.12285
2022,East,male,University/ Technical university,0.57833,128,272,0.51953,0.63712
2022,East,male,Vocational training,0.28024,99,272,0.22676,0.33371
2022,East,male,Further training/ Retraining,0.10467,45,272,0.06823,0.14112
2022,East,female,University/ Technical university,0.51823,145,289,0.46052,0.57594
2022,East,female,Vocational training,0.27083,102,289,0.21951,0.32215
2022,East,female,Further training/ Retraining,0.13606,42,289,0.09646,0.17566
