,Unnamed: 0,year,regtyp,sex,plg0267_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
104,104,2020,Rural regions,male,University/ Technical university,0.40302,103,2929,0.27364,0.54228
105,105,2020,Rural regions,male,Vocational training,0.33846,183,2929,0.26031,0.41414
106,106,2020,Rural regions,male,Further training/ Retraining,0.11865,44,2929,0.08095,0.15869
107,107,2020,Rural regions,female,General education,0.10822,52,2929,0.07237,0.15107
108,108,2020,Rural regions,female,University/ Technical university,0.37882,108,2929,0.29058,0.46872
109,109,2020,Rural regions,female,Vocational training,0.42645,172,2929,0.32055,0.5392
110,110,2020,Rural regions,female,Further training/ Retraining,0.08651,36,2929,0.04885,0.12842
111,111,2021,Urban regions,male,General education,0.0955,103,1965,0.0738,0.11613
112,112,2021,Urban regions,male,University/ Technical university,0.60803,352,1965,0.52206,0.70266
113,113,2021,Urban regions,male,Vocational training,0.21288,230,1965,0.1648,0.26356
114,114,2021,Urban regions,male,Further training/ Retraining,0.0836,80,1965,0.06043,0.11563
115,115,2021,Urban regions,female,General education,0.07086,95,1965,0.03681,0.11125
116,116,2021,Urban regions,female,University/ Technical university,0.58966,349,1965,0.51128,0.68229
117,117,2021,Urban regions,female,Vocational training,0.24234,213,1965,0.1835,0.29114
118,118,2021,Urban regions,female,Further training/ Retraining,0.09714,83,1965,0.06687,0.13361
119,119,2021,Rural regions,male,General education,0.19641,47,1965,0.11866,0.26966
120,120,2021,Rural regions,male,University/ Technical university,0.41435,79,1965,0.28213,0.58531
121,121,2021,Rural regions,male,Vocational training,0.38924,107,1965,0.26848,0.51529
122,122,2021,Rural regions,female,General education,0.13912,32,1965,0.08425,0.20826
123,123,2021,Rural regions,female,University/ Technical university,0.39483,78,1965,0.28666,0.56909
124,124,2021,Rural regions,female,Vocational training,0.46606,117,1965,0.36565,0.58788
