year,migback,quintil_oecd,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,No migration background,3rd Quintile,Vocational training,0.34496,118,297,0.29081,0.39912
2016,No migration background,3rd Quintile,Further training/ Retraining,0.15900,36,297,0.11734,0.20066
2016,No migration background,4th Quintile,General education,0.17217,52,274,0.12739,0.21696
2016,No migration background,4th Quintile,University/ Technical university,0.47809,114,274,0.41884,0.53735
2016,No migration background,4th Quintile,Vocational training,0.22318,73,274,0.17379,0.27258
2016,No migration background,4th Quintile,Further training/ Retraining,0.12655,35,274,0.08711,0.16599
2016,No migration background,5th Quintile,General education,0.16607,51,272,0.12176,0.21038
2016,No migration background,5th Quintile,University/ Technical university,0.40914,124,272,0.35060,0.46768
2016,No migration background,5th Quintile,Vocational training,0.29148,65,272,0.23737,0.34559
2016,No migration background,5th Quintile,Further training/ Retraining,0.13331,32,272,0.09284,0.17378
2016,Direct migration background,1st Quintile,General education,0.13319,38,209,0.08702,0.17937
2016,Direct migration background,1st Quintile,University/ Technical university,0.50895,75,209,0.44101,0.57689
2016,Direct migration background,1st Quintile,Vocational training,0.22165,53,209,0.16520,0.27809
2016,Direct migration background,1st Quintile,Further training/ Retraining,0.13621,43,209,0.08959,0.18282
2016,Direct migration background,2nd Quintile,Vocational training,0.47371,32,32,0.29794,0.64948
2016,Indirect migration background,1st Quintile,General education,0.21554,48,168,0.15318,0.27791
2016,Indirect migration background,1st Quintile,University/ Technical university,0.48868,54,168,0.41286,0.56449
2016,Indirect migration background,1st Quintile,Vocational training,0.26639,66,168,0.19934,0.33344
2016,Indirect migration background,2nd Quintile,General education,0.15627,36,122,0.09157,0.22097
2016,Indirect migration background,2nd Quintile,University/ Technical university,0.45535,35,122,0.36662,0.54409
2016,Indirect migration background,2nd Quintile,Vocational training,0.33444,51,122,0.25037,0.41850
2017,No migration background,1st Quintile,General education,0.06074,57,417,0.03779,0.08370
2017,No migration background,1st Quintile,University/ Technical university,0.59238,171,417,0.54516,0.63960
2017,No migration background,1st Quintile,Vocational training,0.28146,145,417,0.23824,0.32468
2017,No migration background,1st Quintile,Further training/ Retraining,0.06542,44,417,0.04166,0.08918
2017,No migration background,2nd Quintile,General education,0.14349,66,287,0.10286,0.18412
2017,No migration background,2nd Quintile,University/ Technical university,0.40628,98,287,0.34936,0.46320
2017,No migration background,2nd Quintile,Vocational training,0.40723,123,287,0.35029,0.46418
2017,No migration background,3rd Quintile,General education,0.21606,66,257,0.16565,0.26648
2017,No migration background,3rd Quintile,University/ Technical university,0.40277,102,257,0.34269,0.46285
2017,No migration background,3rd Quintile,Vocational training,0.26353,89,257,0.20957,0.31750
2017,No migration background,4th Quintile,General education,0.20439,53,258,0.15509,0.25370
2017,No migration background,4th Quintile,University/ Technical university,0.36479,101,258,0.30594,0.42365
2017,No migration background,4th Quintile,Vocational training,0.32722,104,258,0.26985,0.38458
2017,No migration background,5th Quintile,General education,0.17498,51,256,0.12835,0.22162
2017,No migration background,5th Quintile,University/ Technical university,0.40129,117,256,0.34113,0.46145
2017,No migration background,5th Quintile,Vocational training,0.30811,56,256,0.25144,0.36478
2017,No migration background,5th Quintile,Further training/ Retraining,0.11562,32,256,0.07637,0.15486
2017,Direct migration background,1st Quintile,General education,0.12674,60,308,0.08953,0.16396
2017,Direct migration background,1st Quintile,University/ Technical university,0.39965,75,308,0.34485,0.45444
2017,Direct migration background,1st Quintile,Vocational training,0.28912,107,308,0.23840,0.33983
2017,Direct migration background,1st Quintile,Further training/ Retraining,0.18450,66,308,0.14111,0.22789
2017,Direct migration background,2nd Quintile,University/ Technical university,0.47174,36,72,0.35562,0.58785
2017,Direct migration background,2nd Quintile,Vocational training,0.36448,36,72,0.25253,0.47643
2017,Indirect migration background,1st Quintile,General education,0.22363,51,162,0.15927,0.28800
2017,Indirect migration background,1st Quintile,University/ Technical university,0.48078,54,162,0.40360,0.55796
2017,Indirect migration background,1st Quintile,Vocational training,0.26179,57,162,0.19388,0.32969
2017,Indirect migration background,2nd Quintile,Vocational training,0.48660,41,41,0.33170,0.64149
2018,No migration background,1st Quintile,General education,0.06445,52,451,0.04176,0.08714
2018,No migration background,1st Quintile,University/ Technical university,0.54480,199,451,0.49879,0.59081
2018,No migration background,1st Quintile,Vocational training,0.32962,165,451,0.28618,0.37305
2018,No migration background,1st Quintile,Further training/ Retraining,0.06113,35,451,0.03900,0.08327
2018,No migration background,2nd Quintile,General education,0.15075,62,326,0.11185,0.18965
2018,No migration background,2nd Quintile,University/ Technical university,0.37717,117,326,0.32448,0.42987
2018,No migration background,2nd Quintile,Vocational training,0.33706,147,326,0.28566,0.38845
2018,No migration background,3rd Quintile,General education,0.18968,62,278,0.14351,0.23584
2018,No migration background,3rd Quintile,University/ Technical university,0.41320,121,278,0.35521,0.47119
2018,No migration background,3rd Quintile,Vocational training,0.31134,95,278,0.25681,0.36587
2018,No migration background,4th Quintile,General education,0.16934,55,311,0.12759,0.21109
2018,No migration background,4th Quintile,University/ Technical university,0.47683,136,311,0.42123,0.53243
2018,No migration background,4th Quintile,Vocational training,0.26623,89,311,0.21703,0.31543
2018,No migration background,4th Quintile,Further training/ Retraining,0.08760,31,311,0.05613,0.11907
2018,No migration background,5th Quintile,General education,0.12414,46,266,0.08444,0.16385
2018,No migration background,5th Quintile,University/ Technical university,0.49491,125,266,0.43471,0.55511
2018,No migration background,5th Quintile,Vocational training,0.24383,62,266,0.19213,0.29553
2018,No migration background,5th Quintile,Further training/ Retraining,0.13711,33,266,0.09570,0.17852
2018,Direct migration background,1st Quintile,General education,0.09898,78,400,0.06968,0.12828
2018,Direct migration background,1st Quintile,University/ Technical university,0.42288,93,400,0.37441,0.47136
2018,Direct migration background,1st Quintile,Vocational training,0.30939,161,400,0.26404,0.35475
2018,Direct migration background,1st Quintile,Further training/ Retraining,0.16875,68,400,0.13200,0.20549
2018,Direct migration background,2nd Quintile,University/ Technical university,0.57450,34,65,0.45337,0.69563
2018,Direct migration background,2nd Quintile,Vocational training,0.23361,31,65,0.12995,0.33728
2018,Indirect migration background,1st Quintile,General education,0.18535,42,168,0.12642,0.24429
2018,Indirect migration background,1st Quintile,University/ Technical university,0.43282,65,168,0.35768,0.50797
2018,Indirect migration background,1st Quintile,Vocational training,0.36273,61,168,0.28981,0.43565
2018,Indirect migration background,2nd Quintile,General education,0.25453,37,76,0.15595,0.35312
2018,Indirect migration background,2nd Quintile,Vocational training,0.37957,39,76,0.26974,0.48940
2019,No migration background,1st Quintile,General education,0.04577,46,379,0.02470,0.06683
2019,No migration background,1st Quintile,University/ Technical university,0.57474,192,379,0.52490,0.62458
2019,No migration background,1st Quintile,Vocational training,0.31819,141,379,0.27124,0.36515
2019,No migration background,2nd Quintile,General education,0.18203,58,322,0.13982,0.22424
2019,No migration background,2nd Quintile,University/ Technical university,0.42270,119,322,0.36866,0.47674
2019,No migration background,2nd Quintile,Vocational training,0.32049,145,322,0.26944,0.37154
2019,No migration background,3rd Quintile,General education,0.13179,40,302,0.09358,0.17001
2019,No migration background,3rd Quintile,University/ Technical university,0.31352,116,302,0.26111,0.36593
2019,No migration background,3rd Quintile,Vocational training,0.42345,114,302,0.36763,0.47927
2019,No migration background,3rd Quintile,Further training/ Retraining,0.13124,32,302,0.09309,0.16938
2019,No migration background,4th Quintile,General education,0.12669,42,301,0.08905,0.16433
2019,No migration background,4th Quintile,University/ Technical university,0.51516,136,301,0.45861,0.57172
2019,No migration background,4th Quintile,Vocational training,0.26116,88,301,0.21145,0.31086
2019,No migration background,4th Quintile,Further training/ Retraining,0.09700,35,301,0.06351,0.13049
2019,No migration background,5th Quintile,General education,0.17816,45,237,0.12934,0.22698
2019,No migration background,5th Quintile,University/ Technical university,0.39685,112,237,0.33443,0.45927
2019,No migration background,5th Quintile,Vocational training,0.25054,48,237,0.19526,0.30583
2019,No migration background,5th Quintile,Further training/ Retraining,0.17445,32,237,0.12603,0.22287
2019,Direct migration background,1st Quintile,General education,0.09151,61,394,0.06300,0.12001
2019,Direct migration background,1st Quintile,University/ Technical university,0.48167,75,394,0.43227,0.53107
2019,Direct migration background,1st Quintile,Vocational training,0.31595,201,394,0.26999,0.36191
2019,Direct migration background,1st Quintile,Further training/ Retraining,0.11087,57,394,0.07983,0.14192
2019,Direct migration background,2nd Quintile,Vocational training,0.53490,37,37,0.37196,0.69783
2019,Indirect migration background,1st Quintile,General education,0.18390,45,157,0.12311,0.24469
2019,Indirect migration background,1st Quintile,University/ Technical university,0.47662,59,157,0.39824,0.55500
2019,Indirect migration background,1st Quintile,Vocational training,0.29938,53,157,0.22751,0.37125
2019,Indirect migration background,2nd Quintile,Vocational training,0.28141,41,41,0.14205,0.42076
2020,No migration background,1st Quintile,General education,0.06032,33,395,0.03681,0.08383
2020,No migration background,1st Quintile,University/ Technical university,0.58626,203,395,0.53763,0.63490
2020,No migration background,1st Quintile,Vocational training,0.28274,128,395,0.23827,0.32721
2020,No migration background,1st Quintile,Further training/ Retraining,0.07068,31,395,0.04537,0.09598
2020,No migration background,2nd Quintile,General education,0.13654,49,298,0.09749,0.17559
2020,No migration background,2nd Quintile,University/ Technical university,0.40969,124,298,0.35376,0.46562
2020,No migration background,2nd Quintile,Vocational training,0.36789,125,298,0.31305,0.42274
2020,No migration background,3rd Quintile,General education,0.10857,46,283,0.07226,0.14488
2020,No migration background,3rd Quintile,University/ Technical university,0.51949,133,283,0.46117,0.57780
2020,No migration background,3rd Quintile,Vocational training,0.29148,104,283,0.23844,0.34452
2020,No migration background,4th Quintile,General education,0.09127,45,302,0.05874,0.12381
2020,No migration background,4th Quintile,University/ Technical university,0.45526,146,302,0.39900,0.51152
2020,No migration background,4th Quintile,Vocational training,0.33012,79,302,0.27700,0.38325
2020,No migration background,4th Quintile,Further training/ Retraining,0.12335,32,302,0.08620,0.16050
2020,No migration background,5th Quintile,General education,0.10628,47,295,0.07105,0.14151
2020,No migration background,5th Quintile,University/ Technical university,0.50911,144,295,0.45196,0.56626
2020,No migration background,5th Quintile,Vocational training,0.22772,67,295,0.17978,0.27566
2020,No migration background,5th Quintile,Further training/ Retraining,0.15689,37,295,0.11532,0.19847
2020,Direct migration background,1st Quintile,General education,0.13731,52,324,0.09977,0.17484
2020,Direct migration background,1st Quintile,University/ Technical university,0.45902,72,324,0.40468,0.51337
2020,Direct migration background,1st Quintile,Vocational training,0.27456,169,324,0.22588,0.32323
2020,Direct migration background,1st Quintile,Further training/ Retraining,0.12912,31,324,0.09255,0.16569
2020,Direct migration background,2nd Quintile,Vocational training,0.43560,32,32,0.26106,0.61015
2020,Indirect migration background,1st Quintile,General education,0.13900,38,159,0.08505,0.19294
2020,Indirect migration background,1st Quintile,University/ Technical university,0.40993,62,159,0.33324,0.48662
2020,Indirect migration background,1st Quintile,Vocational training,0.36543,59,159,0.29034,0.44052
2020,Indirect migration background,2nd Quintile,Vocational training,0.40000,33,33,0.23026,0.56975
2021,No migration background,1st Quintile,University/ Technical university,0.68942,202,284,0.63551,0.74334
2021,No migration background,1st Quintile,Vocational training,0.22174,82,284,0.17334,0.27014
2021,No migration background,2nd Quintile,General education,0.13418,31,205,0.08741,0.18095
2021,No migration background,2nd Quintile,University/ Technical university,0.47087,94,205,0.40237,0.53937
2021,No migration background,2nd Quintile,Vocational training,0.27623,80,205,0.21487,0.33759
2021,No migration background,3rd Quintile,University/ Technical university,0.54589,100,176,0.47212,0.61966
2021,No migration background,3rd Quintile,Vocational training,0.26799,76,176,0.20237,0.33362
2021,No migration background,4th Quintile,University/ Technical university,0.51269,106,150,0.43243,0.59295
2021,No migration background,4th Quintile,Vocational training,0.30044,44,150,0.22683,0.37406
2021,No migration background,5th Quintile,General education,0.10896,32,171,0.06212,0.15580
2021,No migration background,5th Quintile,University/ Technical university,0.53265,97,171,0.45764,0.60765
2021,No migration background,5th Quintile,Vocational training,0.21029,42,171,0.14903,0.27155
2021,Direct migration background,1st Quintile,General education,0.12630,60,333,0.09057,0.16203
2021,Direct migration background,1st Quintile,University/ Technical university,0.36475,71,333,0.31297,0.41653
2021,Direct migration background,1st Quintile,Vocational training,0.40608,163,333,0.35325,0.45891
2021,Direct migration background,1st Quintile,Further training/ Retraining,0.10287,39,333,0.07019,0.13555
2021,Indirect migration background,1st Quintile,University/ Technical university,0.56241,45,45,0.41582,0.70899
2021,Indirect migration background,2nd Quintile,University/ Technical university,0.66415,32,32,0.49789,0.83040
2022,No migration background,1st Quintile,University/ Technical university,0.74226,192,261,0.68909,0.79542
2022,No migration background,1st Quintile,Vocational training,0.13626,69,261,0.09456,0.17796
2022,No migration background,2nd Quintile,University/ Technical university,0.46968,86,159,0.39186,0.54750
2022,No migration background,2nd Quintile,Vocational training,0.40432,73,159,0.32780,0.48085
2022,No migration background,3rd Quintile,University/ Technical university,0.49301,86,145,0.41135,0.57467
2022,No migration background,3rd Quintile,Vocational training,0.29940,59,145,0.22459,0.37421
2022,No migration background,4th Quintile,General education,0.10735,32,178,0.06175,0.15295
2022,No migration background,4th Quintile,University/ Technical university,0.50682,78,178,0.43317,0.58048
2022,No migration background,4th Quintile,Vocational training,0.19579,35,178,0.13733,0.25425
2022,No migration background,4th Quintile,Further training/ Retraining,0.19004,33,178,0.13224,0.24783
2022,No migration background,5th Quintile,University/ Technical university,0.54378,102,171,0.46890,0.61865
2022,No migration background,5th Quintile,Vocational training,0.26203,38,171,0.19592,0.32813
2022,No migration background,5th Quintile,Further training/ Retraining,0.14068,31,171,0.08841,0.19295
2022,Direct migration background,1st Quintile,General education,0.16583,58,286,0.12265,0.20902
2022,Direct migration background,1st Quintile,University/ Technical university,0.39649,79,286,0.33970,0.45328
2022,Direct migration background,1st Quintile,Vocational training,0.37309,149,286,0.31694,0.42924
2022,Indirect migration background,1st Quintile,University/ Technical university,0.56928,37,37,0.40752,0.73104
