year,age_gr,regtyp,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,Urban regions,General education,0.07370,348,1454,0.06027,0.08714
2016,17-29 y.,Urban regions,University/ Technical university,0.23400,584,1454,0.21223,0.25577
2016,17-29 y.,Urban regions,Vocational training,0.13824,459,1454,0.12049,0.15599
2016,17-29 y.,Urban regions,Further training/ Retraining,0.02414,63,1454,0.01625,0.03204
2016,17-29 y.,Rural regions,General education,0.07132,112,564,0.05007,0.09258
2016,17-29 y.,Rural regions,University/ Technical university,0.14102,146,564,0.11227,0.16977
2016,17-29 y.,Rural regions,Vocational training,0.17733,306,564,0.14578,0.20888
2016,30-45 y.,Urban regions,University/ Technical university,0.03798,134,316,0.01687,0.05909
2016,30-45 y.,Urban regions,Vocational training,0.01140,58,316,-0.00032,0.02313
2016,30-45 y.,Urban regions,Further training/ Retraining,0.02511,124,316,0.00783,0.04239
2016,30-45 y.,Rural regions,Further training/ Retraining,0.01240,42,42,-0.02148,0.04628
2016,46-65 y.,Urban regions,Further training/ Retraining,0.00485,54,54,-0.01386,0.02356
2017,17-29 y.,Urban regions,General education,0.08125,406,1727,0.06836,0.09414
2017,17-29 y.,Urban regions,University/ Technical university,0.23213,696,1727,0.21221,0.25205
2017,17-29 y.,Urban regions,Vocational training,0.15577,556,1727,0.13866,0.17288
2017,17-29 y.,Urban regions,Further training/ Retraining,0.01839,69,1727,0.01205,0.02473
2017,17-29 y.,Rural regions,General education,0.06858,163,724,0.05016,0.08701
2017,17-29 y.,Rural regions,University/ Technical university,0.14925,206,724,0.12327,0.17522
2017,17-29 y.,Rural regions,Vocational training,0.15519,322,724,0.12880,0.18159
2017,17-29 y.,Rural regions,Further training/ Retraining,0.01963,33,724,0.00952,0.02975
2017,30-45 y.,Urban regions,University/ Technical university,0.03927,145,340,0.01859,0.05995
2017,30-45 y.,Urban regions,Vocational training,0.00840,64,340,-0.00131,0.01812
2017,30-45 y.,Urban regions,Further training/ Retraining,0.02305,131,340,0.00707,0.03902
2017,30-45 y.,Rural regions,Vocational training,0.01732,44,87,-0.01025,0.04489
2017,30-45 y.,Rural regions,Further training/ Retraining,0.01299,43,87,-0.01094,0.03692
2017,46-65 y.,Urban regions,Further training/ Retraining,0.00670,62,62,-0.01377,0.02717
2017,46-65 y.,Rural regions,Further training/ Retraining,0.00650,32,32,-0.02179,0.03478
2018,17-29 y.,Urban regions,General education,0.07871,376,1707,0.06593,0.09149
2018,17-29 y.,Urban regions,University/ Technical university,0.22138,707,1707,0.20168,0.24108
2018,17-29 y.,Urban regions,Vocational training,0.15384,563,1707,0.13672,0.17097
2018,17-29 y.,Urban regions,Further training/ Retraining,0.01557,61,1707,0.00970,0.02145
2018,17-29 y.,Rural regions,General education,0.05200,141,652,0.03494,0.06905
2018,17-29 y.,Rural regions,University/ Technical university,0.14853,201,652,0.12121,0.17585
2018,17-29 y.,Rural regions,Vocational training,0.14405,310,652,0.11707,0.17102
2018,30-45 y.,Urban regions,University/ Technical university,0.03540,146,352,0.01607,0.05473
2018,30-45 y.,Urban regions,Vocational training,0.00928,79,352,-0.00075,0.01931
2018,30-45 y.,Urban regions,Further training/ Retraining,0.02683,127,352,0.00993,0.04373
2018,30-45 y.,Rural regions,Vocational training,0.00829,36,85,-0.01110,0.02768
2018,30-45 y.,Rural regions,Further training/ Retraining,0.01015,49,85,-0.01129,0.03159
2018,46-65 y.,Urban regions,Further training/ Retraining,0.00463,51,51,-0.01419,0.02346
2018,46-65 y.,Rural regions,Further training/ Retraining,0.00379,33,33,-0.01750,0.02508
2019,17-29 y.,Urban regions,General education,0.07208,322,1527,0.05910,0.08505
2019,17-29 y.,Urban regions,University/ Technical university,0.21083,628,1527,0.19037,0.23130
2019,17-29 y.,Urban regions,Vocational training,0.14075,521,1527,0.12330,0.15820
2019,17-29 y.,Urban regions,Further training/ Retraining,0.01784,56,1527,0.01120,0.02448
2019,17-29 y.,Rural regions,General education,0.05394,113,571,0.03539,0.07248
2019,17-29 y.,Rural regions,University/ Technical university,0.15223,183,571,0.12274,0.18173
2019,17-29 y.,Rural regions,Vocational training,0.15858,275,571,0.12859,0.18857
2019,30-45 y.,Urban regions,University/ Technical university,0.03654,131,299,0.01524,0.05785
2019,30-45 y.,Urban regions,Vocational training,0.01526,90,299,0.00134,0.02918
2019,30-45 y.,Urban regions,Further training/ Retraining,0.01696,78,299,0.00230,0.03162
2019,30-45 y.,Rural regions,Vocational training,0.00957,42,84,-0.01137,0.03051
2019,30-45 y.,Rural regions,Further training/ Retraining,0.01528,42,84,-0.01111,0.04166
2019,46-65 y.,Urban regions,Further training/ Retraining,0.00799,55,55,-0.01576,0.03174
2020,17-29 y.,Urban regions,General education,0.05764,327,1694,0.04654,0.06874
2020,17-29 y.,Urban regions,University/ Technical university,0.23088,691,1694,0.21081,0.25095
2020,17-29 y.,Urban regions,Vocational training,0.14555,616,1694,0.12875,0.16235
2020,17-29 y.,Urban regions,Further training/ Retraining,0.02017,60,1694,0.01347,0.02686
2020,17-29 y.,Rural regions,General education,0.06089,104,580,0.04141,0.08037
2020,17-29 y.,Rural regions,University/ Technical university,0.15680,177,580,0.12718,0.18642
2020,17-29 y.,Rural regions,Vocational training,0.16512,299,580,0.13488,0.19536
2020,30-45 y.,Urban regions,University/ Technical university,0.04316,158,386,0.02286,0.06346
2020,30-45 y.,Urban regions,Vocational training,0.01680,129,386,0.00396,0.02963
2020,30-45 y.,Urban regions,Further training/ Retraining,0.01454,99,386,0.00258,0.02649
2020,30-45 y.,Rural regions,Vocational training,0.00853,44,78,-0.01201,0.02907
2020,30-45 y.,Rural regions,Further training/ Retraining,0.01202,34,78,-0.01232,0.03635
2020,46-65 y.,Urban regions,Further training/ Retraining,0.00664,54,54,-0.01523,0.02852
2021,17-29 y.,Urban regions,General education,0.05012,189,1148,0.03749,0.06274
2021,17-29 y.,Urban regions,University/ Technical university,0.29548,574,1148,0.26908,0.32188
2021,17-29 y.,Urban regions,Vocational training,0.10811,343,1148,0.09014,0.12608
2021,17-29 y.,Urban regions,Further training/ Retraining,0.01380,42,1148,0.00705,0.02055
2021,17-29 y.,Rural regions,General education,0.07274,77,383,0.04669,0.09878
2021,17-29 y.,Rural regions,University/ Technical university,0.13699,124,383,0.10251,0.17147
2021,17-29 y.,Rural regions,Vocational training,0.15776,182,383,0.12121,0.19431
2021,30-45 y.,Urban regions,University/ Technical university,0.04484,114,271,0.02016,0.06953
2021,30-45 y.,Urban regions,Vocational training,0.01605,79,271,0.00106,0.03104
2021,30-45 y.,Urban regions,Further training/ Retraining,0.02152,78,271,0.00421,0.03883
2021,46-65 y.,Urban regions,Further training/ Retraining,0.00384,42,42,-0.01509,0.02277
2022,17-29 y.,Urban regions,General education,0.03874,196,1797,0.02981,0.04766
2022,17-29 y.,Urban regions,University/ Technical university,0.32226,979,1797,0.30065,0.34387
2022,17-29 y.,Urban regions,Vocational training,0.09482,528,1797,0.08127,0.10836
2022,17-29 y.,Urban regions,Further training/ Retraining,0.01822,94,1797,0.01204,0.02441
2022,17-29 y.,Rural regions,General education,0.03501,74,604,0.02034,0.04968
2022,17-29 y.,Rural regions,University/ Technical university,0.18902,259,604,0.15777,0.22028
2022,17-29 y.,Rural regions,Vocational training,0.14610,271,604,0.11791,0.17430
2022,30-45 y.,Urban regions,University/ Technical university,0.04512,256,580,0.02821,0.06202
2022,30-45 y.,Urban regions,Vocational training,0.01640,125,580,0.00606,0.02675
2022,30-45 y.,Urban regions,Further training/ Retraining,0.02620,199,580,0.01319,0.03921
2022,30-45 y.,Rural regions,University/ Technical university,0.02547,52,149,0.00009,0.05085
2022,30-45 y.,Rural regions,Vocational training,0.01098,43,149,-0.00581,0.02777
2022,30-45 y.,Rural regions,Further training/ Retraining,0.02186,54,149,-0.00170,0.04541
2022,46-65 y.,Urban regions,Further training/ Retraining,0.00903,67,67,-0.01379,0.03186
