"plh0188","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stimmt eher","1991","Laendlicher Raum","weiblich","561","0.38788578218419","0.362488248186521","0.413283316181859"
"Stimmt eher nicht","1991","Staedtischer Raum","maennlich","210","","",""
"Stimmt eher nicht","1991","Staedtischer Raum","weiblich","244","","",""
"Stimmt eher nicht","1991","Laendlicher Raum","maennlich","396","0.314223144523398","0.2890471288837","0.339399160163096"
"Stimmt eher nicht","1991","Laendlicher Raum","weiblich","509","0.360761192008878","0.335730960908659","0.385791423109098"
"Stimmt ganz u.gar nicht","1991","Staedtischer Raum","maennlich","55","0.0889060316019169","0.066924783108528","0.110887280095306"
"Stimmt ganz u.gar nicht","1991","Staedtischer Raum","weiblich","84","0.127489349524478","0.102835045360935","0.15214365368802"
"Stimmt ganz u.gar nicht","1991","Laendlicher Raum","maennlich","125","","",""
"Stimmt ganz u.gar nicht","1991","Laendlicher Raum","weiblich","147","","",""
"Stimmt ganz u.gar","1992","Staedtischer Raum","maennlich","490","0.155648362882659","0.142884819574013","0.168411906191305"
"Stimmt ganz u.gar","1992","Staedtischer Raum","weiblich","452","0.12626262541044","0.115211380132481","0.137313870688399"
"Stimmt ganz u.gar","1992","Laendlicher Raum","maennlich","313","0.146409520936036","0.131102645332362","0.161716396539709"
"Stimmt ganz u.gar","1992","Laendlicher Raum","weiblich","282","","",""
"Stimmt eher","1992","Staedtischer Raum","maennlich","1517","","",""
"Stimmt eher","1992","Staedtischer Raum","weiblich","1585","","",""
"Stimmt eher","1992","Laendlicher Raum","maennlich","971","0.467985303700091","0.44638026572571","0.489590341674471"
"Stimmt eher","1992","Laendlicher Raum","weiblich","1018","","",""
"Stimmt eher nicht","1992","Staedtischer Raum","maennlich","872","0.290488482860664","0.27450462949011","0.306472336231219"
"Stimmt eher nicht","1992","Staedtischer Raum","weiblich","1174","","",""
"Stimmt eher nicht","1992","Laendlicher Raum","maennlich","623","0.309857014085341","0.289834098481195","0.329879929689487"
"Stimmt eher nicht","1992","Laendlicher Raum","weiblich","740","0.336081540158352","0.316378726138921","0.355784354177783"
"Stimmt ganz u.gar nicht","1992","Staedtischer Raum","maennlich","220","","",""
"Stimmt ganz u.gar nicht","1992","Staedtischer Raum","weiblich","259","","",""
"Stimmt ganz u.gar nicht","1992","Laendlicher Raum","maennlich","142","","",""
"Stimmt ganz u.gar nicht","1992","Laendlicher Raum","weiblich","168","","",""
"Stimmt ganz u.gar","1993","Staedtischer Raum","maennlich","505","0.11371257830589","0.104066722189881","0.123358434421899"
"Stimmt ganz u.gar","1993","Staedtischer Raum","weiblich","484","0.102011311562923","0.0930305103559862","0.11099211276986"
"Stimmt ganz u.gar","1993","Laendlicher Raum","maennlich","212","","",""
"Stimmt ganz u.gar","1993","Laendlicher Raum","weiblich","235","","",""
"Stimmt eher","1993","Staedtischer Raum","maennlich","1846","","",""
"Stimmt eher","1993","Staedtischer Raum","weiblich","1789","","",""
"Stimmt eher","1993","Laendlicher Raum","maennlich","978","0.423341418207248","0.40256249966668","0.444120336747815"
"Stimmt eher","1993","Laendlicher Raum","weiblich","955","0.389103470242173","0.369315547819245","0.408891392665101"
"Stimmt eher nicht","1993","Staedtischer Raum","maennlich","1393","","",""
"Stimmt eher nicht","1993","Staedtischer Raum","weiblich","1613","","",""
"Stimmt eher nicht","1993","Laendlicher Raum","maennlich","778","0.376724892772762","0.356346485828739","0.397103299716785"
"Stimmt eher nicht","1993","Laendlicher Raum","weiblich","903","0.408801114994096","0.388848186003896","0.428754043984296"
"Stimmt ganz u.gar nicht","1993","Staedtischer Raum","maennlich","417","0.109257066969922","0.0997783360531826","0.118735797886661"
"Stimmt ganz u.gar nicht","1993","Staedtischer Raum","weiblich","477","0.1246618278256","0.114859930170115","0.134463725481086"
"Stimmt ganz u.gar nicht","1993","Laendlicher Raum","maennlich","204","","",""
"Stimmt ganz u.gar nicht","1993","Laendlicher Raum","weiblich","239","","",""
"Stimmt ganz u.gar","1994","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","1994","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","1994","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","1994","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","1994","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","1994","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","1994","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","1994","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","1994","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","1994","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","1994","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","1994","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","1994","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","1994","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","1994","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","1994","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","1995","Staedtischer Raum","maennlich","656","0.147730636100467","0.136957055542606","0.158504216658329"
"Stimmt ganz u.gar","1995","Staedtischer Raum","weiblich","679","0.146292832019569","0.135952462856182","0.156633201182956"
"Stimmt ganz u.gar","1995","Laendlicher Raum","maennlich","326","0.147701991786692","0.132919545938058","0.162484437635327"
"Stimmt ganz u.gar","1995","Laendlicher Raum","weiblich","256","","",""
"Stimmt eher","1995","Staedtischer Raum","maennlich","2201","","",""
"Stimmt eher","1995","Staedtischer Raum","weiblich","2312","","",""
"Stimmt eher","1995","Laendlicher Raum","maennlich","1189","","",""
"Stimmt eher","1995","Laendlicher Raum","weiblich","1238","","",""
"Stimmt eher nicht","1995","Staedtischer Raum","maennlich","1096","","",""
"Stimmt eher nicht","1995","Staedtischer Raum","weiblich","1266","","",""
"Stimmt eher nicht","1995","Laendlicher Raum","maennlich","613","0.301188590305856","0.282074367874598","0.320302812737114"
"Stimmt eher nicht","1995","Laendlicher Raum","weiblich","736","0.320272182155142","0.301411868639049","0.339132495671235"
"Stimmt ganz u.gar nicht","1995","Staedtischer Raum","maennlich","214","","",""
"Stimmt ganz u.gar nicht","1995","Staedtischer Raum","weiblich","230","","",""
"Stimmt ganz u.gar nicht","1995","Laendlicher Raum","maennlich","85","0.0414035015245416","0.0331032005812778","0.0497038024678054"
"Stimmt ganz u.gar nicht","1995","Laendlicher Raum","weiblich","121","","",""
"Stimmt ganz u.gar","1996","Staedtischer Raum","maennlich","623","0.134832642517638","0.124342248704916","0.145323036330359"
"Stimmt ganz u.gar","1996","Staedtischer Raum","weiblich","619","0.13348421531409","0.12343859073433","0.14352983989385"
"Stimmt ganz u.gar","1996","Laendlicher Raum","maennlich","258","","",""
"Stimmt ganz u.gar","1996","Laendlicher Raum","weiblich","245","","",""
"Stimmt eher","1996","Staedtischer Raum","maennlich","2043","","",""
"Stimmt eher","1996","Staedtischer Raum","weiblich","2125","","",""
"Stimmt eher","1996","Laendlicher Raum","maennlich","1110","","",""
"Stimmt eher","1996","Laendlicher Raum","weiblich","1143","","",""
"Stimmt eher nicht","1996","Staedtischer Raum","maennlich","1189","","",""
"Stimmt eher nicht","1996","Staedtischer Raum","weiblich","1392","","",""
"Stimmt eher nicht","1996","Laendlicher Raum","maennlich","714","0.32741082313167","0.307801698641528","0.347019947621811"
"Stimmt eher nicht","1996","Laendlicher Raum","weiblich","791","0.34000309259107","0.320760260648691","0.359245924533449"
"Stimmt ganz u.gar nicht","1996","Staedtischer Raum","maennlich","217","","",""
"Stimmt ganz u.gar nicht","1996","Staedtischer Raum","weiblich","267","","",""
"Stimmt ganz u.gar nicht","1996","Laendlicher Raum","maennlich","118","","",""
"Stimmt ganz u.gar nicht","1996","Laendlicher Raum","weiblich","149","","",""
"Stimmt ganz u.gar","1997","Staedtischer Raum","maennlich","419","0.0971685045310034","0.0880171534905561","0.106319855571451"
"Stimmt ganz u.gar","1997","Staedtischer Raum","weiblich","384","0.0861019180191904","0.0777097623665917","0.0944940736717892"
"Stimmt ganz u.gar","1997","Laendlicher Raum","maennlich","143","","",""
"Stimmt ganz u.gar","1997","Laendlicher Raum","weiblich","156","","",""
"Stimmt eher","1997","Staedtischer Raum","maennlich","1756","","",""
"Stimmt eher","1997","Staedtischer Raum","weiblich","1848","","",""
"Stimmt eher","1997","Laendlicher Raum","maennlich","868","0.398443302831314","0.377796977600912","0.419089628061715"
"Stimmt eher","1997","Laendlicher Raum","weiblich","868","0.372351057585283","0.352572644525253","0.392129470645312"
"Stimmt eher nicht","1997","Staedtischer Raum","maennlich","1470","","",""
"Stimmt eher nicht","1997","Staedtischer Raum","weiblich","1633","","",""
"Stimmt eher nicht","1997","Laendlicher Raum","maennlich","933","0.423780712056672","0.402941288372574","0.44462013574077"
"Stimmt eher nicht","1997","Laendlicher Raum","weiblich","1032","","",""
"Stimmt ganz u.gar nicht","1997","Staedtischer Raum","maennlich","379","0.102454546941864","0.0930851217254229","0.111823972158306"
"Stimmt ganz u.gar nicht","1997","Staedtischer Raum","weiblich","427","0.112290449140512","0.102844946145229","0.121735952135795"
"Stimmt ganz u.gar nicht","1997","Laendlicher Raum","maennlich","216","","",""
"Stimmt ganz u.gar nicht","1997","Laendlicher Raum","weiblich","239","","",""
"Stimmt ganz u.gar","1998","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","1998","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","1998","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","1998","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","1998","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","1998","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","1998","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","1998","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","1998","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","1998","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","1998","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","1998","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","1998","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","1998","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","1998","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","1998","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","1999","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","1999","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","1999","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","1999","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","1999","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","1999","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","1999","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","1999","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","1999","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","1999","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","1999","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","1999","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","1999","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","1999","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","1999","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","1999","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","2000","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","2000","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","2000","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","2000","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","2000","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","2000","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","2000","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","2000","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","2000","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","2000","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","2000","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","2000","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2000","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2000","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2000","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2000","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","2001","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","2001","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","2001","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","2001","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","2001","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","2001","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","2001","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","2001","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","2001","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","2001","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","2001","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","2001","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2001","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2001","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2001","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2001","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","2002","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","2002","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","2002","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","2002","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","2002","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","2002","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","2002","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","2002","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","2002","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","2002","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","2002","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","2002","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2002","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2002","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2002","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2002","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","2003","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","2003","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","2003","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","2003","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","2003","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","2003","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","2003","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","2003","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","2003","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","2003","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","2003","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","2003","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2003","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2003","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2003","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2003","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","2004","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","2004","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","2004","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","2004","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","2004","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","2004","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","2004","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","2004","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","2004","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","2004","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","2004","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","2004","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2004","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2004","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2004","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2004","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","2005","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","2005","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","2005","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","2005","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","2005","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","2005","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","2005","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","2005","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","2005","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","2005","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","2005","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","2005","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2005","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2005","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2005","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2005","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","2006","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","2006","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","2006","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","2006","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","2006","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","2006","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","2006","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","2006","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","2006","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","2006","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","2006","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","2006","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2006","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2006","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2006","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2006","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","2007","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","2007","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","2007","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","2007","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","2007","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","2007","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","2007","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","2007","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","2007","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","2007","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","2007","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","2007","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2007","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2007","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2007","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2007","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","2008","Staedtischer Raum","maennlich","751","0.113554219340527","0.105504183783163","0.121604254897892"
"Stimmt ganz u.gar","2008","Staedtischer Raum","weiblich","747","0.103109536320733","0.0957834670532229","0.110435605588244"
"Stimmt ganz u.gar","2008","Laendlicher Raum","maennlich","284","","",""
"Stimmt ganz u.gar","2008","Laendlicher Raum","weiblich","295","","",""
"Stimmt eher","2008","Staedtischer Raum","maennlich","2879","","",""
"Stimmt eher","2008","Staedtischer Raum","weiblich","3144","0.461555711589332","0.449545950929495","0.473565472249168"
"Stimmt eher","2008","Laendlicher Raum","maennlich","1492","","",""
"Stimmt eher","2008","Laendlicher Raum","weiblich","1539","","",""
"Stimmt eher nicht","2008","Staedtischer Raum","maennlich","1974","","",""
"Stimmt eher nicht","2008","Staedtischer Raum","weiblich","2289","","",""
"Stimmt eher nicht","2008","Laendlicher Raum","maennlich","1183","","",""
"Stimmt eher nicht","2008","Laendlicher Raum","weiblich","1371","","",""
"Stimmt ganz u.gar nicht","2008","Staedtischer Raum","maennlich","363","0.0673215532747168","0.0609636618613371","0.0736794446880964"
"Stimmt ganz u.gar nicht","2008","Staedtischer Raum","weiblich","439","0.0792267613879294","0.0727200102551489","0.0857335125207099"
"Stimmt ganz u.gar nicht","2008","Laendlicher Raum","maennlich","254","","",""
"Stimmt ganz u.gar nicht","2008","Laendlicher Raum","weiblich","242","","",""
"Stimmt ganz u.gar","2009","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","2009","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","2009","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","2009","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","2009","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","2009","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","2009","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","2009","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","2009","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","2009","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","2009","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","2009","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2009","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2009","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2009","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2009","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","2010","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","2010","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","2010","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","2010","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","2010","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","2010","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","2010","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","2010","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","2010","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","2010","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","2010","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","2010","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2010","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2010","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2010","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2010","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","2011","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","2011","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","2011","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","2011","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","2011","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","2011","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","2011","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","2011","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","2011","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","2011","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","2011","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","2011","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2011","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2011","Staedtischer Raum","weiblich","","","",""
