"plh0188","year","migback","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stimmt ganz u.gar nicht","1990","direkter Migrationshintergrund","maennlich","4","0.0503631543348253","-0.00321569024663253","0.103941998916283"
"Stimmt ganz u.gar nicht","1990","direkter Migrationshintergrund","weiblich","2","","",""
"Stimmt ganz u.gar nicht","1990","indirekter Migrationshintergrund","maennlich","","","",""
"Stimmt ganz u.gar nicht","1990","indirekter Migrationshintergrund","weiblich","","","",""
"Stimmt ganz u.gar nicht","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt ganz u.gar nicht","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt ganz u.gar","1991","kein Migrationshintergrund","maennlich","327","0.164174141960596","0.147634827187263","0.180713456733928"
"Stimmt ganz u.gar","1991","kein Migrationshintergrund","weiblich","269","","",""
"Stimmt ganz u.gar","1991","direkter Migrationshintergrund","maennlich","10","","",""
"Stimmt ganz u.gar","1991","direkter Migrationshintergrund","weiblich","21","","",""
"Stimmt ganz u.gar","1991","indirekter Migrationshintergrund","maennlich","","","",""
"Stimmt ganz u.gar","1991","indirekter Migrationshintergrund","weiblich","","","",""
"Stimmt ganz u.gar","1991","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt ganz u.gar","1991","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt eher","1991","kein Migrationshintergrund","maennlich","834","0.428790648780952","0.406693942607566","0.450887354954338"
"Stimmt eher","1991","kein Migrationshintergrund","weiblich","833","0.392712225134425","0.371750378403603","0.413674071865247"
"Stimmt eher","1991","direkter Migrationshintergrund","maennlich","20","","",""
"Stimmt eher","1991","direkter Migrationshintergrund","weiblich","34","0.401082933444325","0.29368311845601","0.508482748432641"
"Stimmt eher","1991","indirekter Migrationshintergrund","maennlich","1","","",""
"Stimmt eher","1991","indirekter Migrationshintergrund","weiblich","1","","",""
"Stimmt eher","1991","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt eher","1991","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt eher nicht","1991","kein Migrationshintergrund","maennlich","593","0.315241039160255","0.294496801899065","0.335985276421445"
"Stimmt eher nicht","1991","kein Migrationshintergrund","weiblich","753","0.357934159766806","0.337356953187017","0.378511366346595"
"Stimmt eher nicht","1991","direkter Migrationshintergrund","maennlich","23","","",""
"Stimmt eher nicht","1991","direkter Migrationshintergrund","weiblich","20","","",""
"Stimmt eher nicht","1991","indirekter Migrationshintergrund","maennlich","1","","",""
"Stimmt eher nicht","1991","indirekter Migrationshintergrund","weiblich","","","",""
"Stimmt eher nicht","1991","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt eher nicht","1991","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt ganz u.gar nicht","1991","kein Migrationshintergrund","maennlich","173","","",""
"Stimmt ganz u.gar nicht","1991","kein Migrationshintergrund","weiblich","230","","",""
"Stimmt ganz u.gar nicht","1991","direkter Migrationshintergrund","maennlich","9","0.128200787464403","0.0449849805232894","0.211416594405516"
"Stimmt ganz u.gar nicht","1991","direkter Migrationshintergrund","weiblich","5","0.0557303072680439","0.0054617012993953","0.105998913236692"
"Stimmt ganz u.gar nicht","1991","indirekter Migrationshintergrund","maennlich","","","",""
"Stimmt ganz u.gar nicht","1991","indirekter Migrationshintergrund","weiblich","","","",""
"Stimmt ganz u.gar nicht","1991","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt ganz u.gar nicht","1991","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt ganz u.gar","1992","kein Migrationshintergrund","maennlich","765","0.152035952292634","0.14198872590435","0.162083178680918"
"Stimmt ganz u.gar","1992","kein Migrationshintergrund","weiblich","693","0.125266002432023","0.116426471590239","0.134105533273806"
"Stimmt ganz u.gar","1992","direkter Migrationshintergrund","maennlich","43","0.17055695221638","0.124838721383017","0.216275183049744"
"Stimmt ganz u.gar","1992","direkter Migrationshintergrund","weiblich","44","0.135420122375298","0.0974523640304148","0.173387880720181"
"Stimmt ganz u.gar","1992","indirekter Migrationshintergrund","maennlich","8","0.107130215795598","0.00879561803013575","0.205464813561061"
"Stimmt ganz u.gar","1992","indirekter Migrationshintergrund","weiblich","6","0.150734682658462","0.0412169478875793","0.260252417429346"
"Stimmt ganz u.gar","1992","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt ganz u.gar","1992","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt eher","1992","kein Migrationshintergrund","maennlich","2379","","",""
"Stimmt eher","1992","kein Migrationshintergrund","weiblich","2460","","",""
"Stimmt eher","1992","direkter Migrationshintergrund","maennlich","123","","",""
"Stimmt eher","1992","direkter Migrationshintergrund","weiblich","153","","",""
"Stimmt eher","1992","indirekter Migrationshintergrund","maennlich","16","","",""
"Stimmt eher","1992","indirekter Migrationshintergrund","weiblich","20","","",""
"Stimmt eher","1992","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt eher","1992","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt eher nicht","1992","kein Migrationshintergrund","maennlich","1420","","",""
"Stimmt eher nicht","1992","kein Migrationshintergrund","weiblich","1830","","",""
"Stimmt eher nicht","1992","direkter Migrationshintergrund","maennlich","76","0.265446392311224","0.211772686843747","0.319120097778702"
"Stimmt eher nicht","1992","direkter Migrationshintergrund","weiblich","94","0.315065199536795","0.263519121339103","0.366611277734487"
"Stimmt eher nicht","1992","indirekter Migrationshintergrund","maennlich","11","","",""
"Stimmt eher nicht","1992","indirekter Migrationshintergrund","weiblich","12","","",""
"Stimmt eher nicht","1992","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt eher nicht","1992","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt ganz u.gar nicht","1992","kein Migrationshintergrund","maennlich","342","0.0705965404170838","0.0634288676315068","0.0777642132026607"
"Stimmt ganz u.gar nicht","1992","kein Migrationshintergrund","weiblich","404","0.0808404647645484","0.0735612513473983","0.0881196781816986"
"Stimmt ganz u.gar nicht","1992","direkter Migrationshintergrund","maennlich","18","","",""
"Stimmt ganz u.gar nicht","1992","direkter Migrationshintergrund","weiblich","21","","",""
"Stimmt ganz u.gar nicht","1992","indirekter Migrationshintergrund","maennlich","3","","",""
"Stimmt ganz u.gar nicht","1992","indirekter Migrationshintergrund","weiblich","3","","",""
"Stimmt ganz u.gar nicht","1992","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt ganz u.gar nicht","1992","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt ganz u.gar","1993","kein Migrationshintergrund","maennlich","510","0.103924564593829","0.0953140159416865","0.112535113245971"
"Stimmt ganz u.gar","1993","kein Migrationshintergrund","weiblich","520","0.0977435314649551","0.0897356653987281","0.105751397531182"
"Stimmt ganz u.gar","1993","direkter Migrationshintergrund","maennlich","160","","",""
"Stimmt ganz u.gar","1993","direkter Migrationshintergrund","weiblich","155","","",""
"Stimmt ganz u.gar","1993","indirekter Migrationshintergrund","maennlich","47","0.162805385790174","0.115703349110808","0.209907422469541"
"Stimmt ganz u.gar","1993","indirekter Migrationshintergrund","weiblich","44","0.142019082735956","0.0968082490143424","0.18722991645757"
"Stimmt ganz u.gar","1993","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt ganz u.gar","1993","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt eher","1993","kein Migrationshintergrund","maennlich","2152","","",""
"Stimmt eher","1993","kein Migrationshintergrund","weiblich","2136","","",""
"Stimmt eher","1993","direkter Migrationshintergrund","maennlich","559","0.392985786938152","0.3661451765993","0.419826397277003"
"Stimmt eher","1993","direkter Migrationshintergrund","weiblich","511","0.417392601232233","0.389291969092122","0.445493233372344"
"Stimmt eher","1993","indirekter Migrationshintergrund","maennlich","113","","",""
"Stimmt eher","1993","indirekter Migrationshintergrund","weiblich","97","0.459585922264088","0.395038777603548","0.524133066924628"
"Stimmt eher","1993","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt eher","1993","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt eher nicht","1993","kein Migrationshintergrund","maennlich","1696","","",""
"Stimmt eher nicht","1993","kein Migrationshintergrund","weiblich","2041","","",""
"Stimmt eher nicht","1993","direkter Migrationshintergrund","maennlich","417","0.347987347972398","0.321810685445027","0.374164010499769"
"Stimmt eher nicht","1993","direkter Migrationshintergrund","weiblich","401","0.351340071239851","0.324136363761114","0.378543778718588"
"Stimmt eher nicht","1993","indirekter Migrationshintergrund","maennlich","58","0.281803874444494","0.22440715133403","0.339200597554959"
"Stimmt eher nicht","1993","indirekter Migrationshintergrund","weiblich","74","0.337212070608452","0.275981373897009","0.398442767319895"
"Stimmt eher nicht","1993","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt eher nicht","1993","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt ganz u.gar nicht","1993","kein Migrationshintergrund","maennlich","467","0.104342940954961","0.0957170920724299","0.112968789837491"
"Stimmt ganz u.gar nicht","1993","kein Migrationshintergrund","weiblich","586","0.119882702357589","0.111123666060657","0.128641738654522"
"Stimmt ganz u.gar nicht","1993","direkter Migrationshintergrund","maennlich","136","","",""
"Stimmt ganz u.gar nicht","1993","direkter Migrationshintergrund","weiblich","116","","",""
"Stimmt ganz u.gar nicht","1993","indirekter Migrationshintergrund","maennlich","18","","",""
"Stimmt ganz u.gar nicht","1993","indirekter Migrationshintergrund","weiblich","14","","",""
"Stimmt ganz u.gar nicht","1993","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt ganz u.gar nicht","1993","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt ganz u.gar","1994","kein Migrationshintergrund","maennlich","","","",""
"Stimmt ganz u.gar","1994","kein Migrationshintergrund","weiblich","","","",""
"Stimmt ganz u.gar","1994","direkter Migrationshintergrund","maennlich","","","",""
"Stimmt ganz u.gar","1994","direkter Migrationshintergrund","weiblich","","","",""
"Stimmt ganz u.gar","1994","indirekter Migrationshintergrund","maennlich","","","",""
"Stimmt ganz u.gar","1994","indirekter Migrationshintergrund","weiblich","","","",""
"Stimmt ganz u.gar","1994","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt ganz u.gar","1994","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt eher","1994","kein Migrationshintergrund","maennlich","","","",""
"Stimmt eher","1994","kein Migrationshintergrund","weiblich","","","",""
"Stimmt eher","1994","direkter Migrationshintergrund","maennlich","","","",""
"Stimmt eher","1994","direkter Migrationshintergrund","weiblich","","","",""
"Stimmt eher","1994","indirekter Migrationshintergrund","maennlich","","","",""
"Stimmt eher","1994","indirekter Migrationshintergrund","weiblich","","","",""
"Stimmt eher","1994","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt eher","1994","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt eher nicht","1994","kein Migrationshintergrund","maennlich","","","",""
"Stimmt eher nicht","1994","kein Migrationshintergrund","weiblich","","","",""
"Stimmt eher nicht","1994","direkter Migrationshintergrund","maennlich","","","",""
"Stimmt eher nicht","1994","direkter Migrationshintergrund","weiblich","","","",""
"Stimmt eher nicht","1994","indirekter Migrationshintergrund","maennlich","","","",""
"Stimmt eher nicht","1994","indirekter Migrationshintergrund","weiblich","","","",""
"Stimmt eher nicht","1994","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt eher nicht","1994","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt ganz u.gar nicht","1994","kein Migrationshintergrund","maennlich","","","",""
"Stimmt ganz u.gar nicht","1994","kein Migrationshintergrund","weiblich","","","",""
"Stimmt ganz u.gar nicht","1994","direkter Migrationshintergrund","maennlich","","","",""
"Stimmt ganz u.gar nicht","1994","direkter Migrationshintergrund","weiblich","","","",""
"Stimmt ganz u.gar nicht","1994","indirekter Migrationshintergrund","maennlich","","","",""
"Stimmt ganz u.gar nicht","1994","indirekter Migrationshintergrund","weiblich","","","",""
"Stimmt ganz u.gar nicht","1994","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt ganz u.gar nicht","1994","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt ganz u.gar","1995","kein Migrationshintergrund","maennlich","670","0.139337492179455","0.129473822122134","0.149201162236776"
"Stimmt ganz u.gar","1995","kein Migrationshintergrund","weiblich","648","0.127515899142859","0.118472653705899","0.136559144579819"
"Stimmt ganz u.gar","1995","direkter Migrationshintergrund","maennlich","244","","",""
"Stimmt ganz u.gar","1995","direkter Migrationshintergrund","weiblich","235","","",""
"Stimmt ganz u.gar","1995","indirekter Migrationshintergrund","maennlich","68","0.235012665405747","0.182134988013501","0.287890342797993"
"Stimmt ganz u.gar","1995","indirekter Migrationshintergrund","weiblich","52","0.174890542755042","0.127707345906842","0.222073739603243"
"Stimmt ganz u.gar","1995","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt ganz u.gar","1995","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt eher","1995","kein Migrationshintergrund","maennlich","2553","","",""
"Stimmt eher","1995","kein Migrationshintergrund","weiblich","2731","","",""
"Stimmt eher","1995","direkter Migrationshintergrund","maennlich","706","0.481275079481947","0.45508361702183","0.507466541942065"
"Stimmt eher","1995","direkter Migrationshintergrund","weiblich","695","0.477941221642449","0.451422834344066","0.504459608940832"
"Stimmt eher","1995","indirekter Migrationshintergrund","maennlich","131","","",""
"Stimmt eher","1995","indirekter Migrationshintergrund","weiblich","124","","",""
"Stimmt eher","1995","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt eher","1995","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt eher nicht","1995","kein Migrationshintergrund","maennlich","1300","","",""
"Stimmt eher nicht","1995","kein Migrationshintergrund","weiblich","1573","","",""
"Stimmt eher nicht","1995","direkter Migrationshintergrund","maennlich","365","0.26833531279379","0.245108508135334","0.291562117452246"
"Stimmt eher nicht","1995","direkter Migrationshintergrund","weiblich","363","0.280372689702445","0.256526344011602","0.304219035393288"
"Stimmt eher nicht","1995","indirekter Migrationshintergrund","maennlich","44","0.203014795455071","0.152851207846313","0.25317838306383"
"Stimmt eher nicht","1995","indirekter Migrationshintergrund","weiblich","66","0.285139458954576","0.229062075580933","0.341216842328218"
"Stimmt eher nicht","1995","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt eher nicht","1995","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt ganz u.gar nicht","1995","kein Migrationshintergrund","maennlich","212","","",""
"Stimmt ganz u.gar nicht","1995","kein Migrationshintergrund","weiblich","274","","",""
"Stimmt ganz u.gar nicht","1995","direkter Migrationshintergrund","maennlich","83","0.0661590784012914","0.0531296405319213","0.0791885162706614"
"Stimmt ganz u.gar nicht","1995","direkter Migrationshintergrund","weiblich","70","0.0543916967400419","0.0423518182198165","0.0664315752602673"
"Stimmt ganz u.gar nicht","1995","indirekter Migrationshintergrund","maennlich","4","0.00602259095513521","-0.00362634791864398","0.0156715298289144"
"Stimmt ganz u.gar nicht","1995","indirekter Migrationshintergrund","weiblich","7","0.0129458210961292","-0.00109471575627819","0.0269863579485365"
"Stimmt ganz u.gar nicht","1995","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt ganz u.gar nicht","1995","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt ganz u.gar","1996","kein Migrationshintergrund","maennlich","583","0.122463621639804","0.11309653815051","0.131830705129098"
"Stimmt ganz u.gar","1996","kein Migrationshintergrund","weiblich","628","0.123758466179556","0.114784669439616","0.132732262919495"
"Stimmt ganz u.gar","1996","direkter Migrationshintergrund","maennlich","228","","",""
"Stimmt ganz u.gar","1996","direkter Migrationshintergrund","weiblich","179","","",""
"Stimmt ganz u.gar","1996","indirekter Migrationshintergrund","maennlich","70","0.248465853016325","0.196536251799162","0.300395454233488"
"Stimmt ganz u.gar","1996","indirekter Migrationshintergrund","weiblich","57","0.166638760557971","0.122594795847124","0.210682725268817"
"Stimmt ganz u.gar","1996","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt ganz u.gar","1996","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt eher","1996","kein Migrationshintergrund","maennlich","2384","","",""
"Stimmt eher","1996","kein Migrationshintergrund","weiblich","2509","","",""
"Stimmt eher","1996","direkter Migrationshintergrund","maennlich","631","0.502260242131882","0.475091157308759","0.529429326955005"
"Stimmt eher","1996","direkter Migrationshintergrund","weiblich","629","0.470963684619668","0.443650570733054","0.498276798506282"
"Stimmt eher","1996","indirekter Migrationshintergrund","maennlich","138","","",""
"Stimmt eher","1996","indirekter Migrationshintergrund","weiblich","130","","",""
"Stimmt eher","1996","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt eher","1996","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt eher nicht","1996","kein Migrationshintergrund","maennlich","1490","","",""
"Stimmt eher nicht","1996","kein Migrationshintergrund","weiblich","1721","","",""
"Stimmt eher nicht","1996","direkter Migrationshintergrund","maennlich","364","0.278794937780807","0.254429104525087","0.303160771036526"
"Stimmt eher nicht","1996","direkter Migrationshintergrund","weiblich","387","0.317784525541781","0.292306725861024","0.343262325222538"
"Stimmt eher nicht","1996","indirekter Migrationshintergrund","maennlich","49","0.196379997590871","0.1486401237632","0.244119871418542"
"Stimmt eher nicht","1996","indirekter Migrationshintergrund","weiblich","75","0.313724965570997","0.258883963166772","0.368565967975221"
"Stimmt eher nicht","1996","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt eher nicht","1996","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt ganz u.gar nicht","1996","kein Migrationshintergrund","maennlich","248","","",""
"Stimmt ganz u.gar nicht","1996","kein Migrationshintergrund","weiblich","315","0.0678141919697951","0.0609626489194565","0.0746657350201337"
"Stimmt ganz u.gar nicht","1996","direkter Migrationshintergrund","maennlich","78","0.0633323884922476","0.0500976572061359","0.0765671197783594"
"Stimmt ganz u.gar nicht","1996","direkter Migrationshintergrund","weiblich","88","0.0674445825294571","0.0537216912407636","0.0811674738181507"
"Stimmt ganz u.gar nicht","1996","indirekter Migrationshintergrund","maennlich","9","0.0431806123925916","0.0187538079986378","0.0676074167865454"
"Stimmt ganz u.gar nicht","1996","indirekter Migrationshintergrund","weiblich","13","","",""
"Stimmt ganz u.gar nicht","1996","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt ganz u.gar nicht","1996","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt ganz u.gar","1997","kein Migrationshintergrund","maennlich","377","0.0831935794796728","0.0752573911310426","0.091129767828303"
"Stimmt ganz u.gar","1997","kein Migrationshintergrund","weiblich","404","0.0792068469858152","0.0717971967132866","0.0866164972583437"
"Stimmt ganz u.gar","1997","direkter Migrationshintergrund","maennlich","132","","",""
"Stimmt ganz u.gar","1997","direkter Migrationshintergrund","weiblich","96","0.0817209303963464","0.0662985725779142","0.0971432882147786"
"Stimmt ganz u.gar","1997","indirekter Migrationshintergrund","maennlich","53","0.146048580957317","0.105332644986588","0.186764516928045"
"Stimmt ganz u.gar","1997","indirekter Migrationshintergrund","weiblich","40","0.155204145790267","0.112251065539711","0.198157226040823"
"Stimmt ganz u.gar","1997","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt ganz u.gar","1997","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt eher","1997","kein Migrationshintergrund","maennlich","1917","","",""
"Stimmt eher","1997","kein Migrationshintergrund","weiblich","2024","","",""
"Stimmt eher","1997","direkter Migrationshintergrund","maennlich","564","0.433759180291019","0.406208174791701","0.461310185790337"
"Stimmt eher","1997","direkter Migrationshintergrund","weiblich","571","0.446367745442256","0.418380904753958","0.474354586130555"
"Stimmt eher","1997","indirekter Migrationshintergrund","maennlich","143","","",""
"Stimmt eher","1997","indirekter Migrationshintergrund","weiblich","121","","",""
"Stimmt eher","1997","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt eher","1997","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt eher nicht","1997","kein Migrationshintergrund","maennlich","1903","","",""
"Stimmt eher nicht","1997","kein Migrationshintergrund","weiblich","2124","","",""
"Stimmt eher nicht","1997","direkter Migrationshintergrund","maennlich","422","0.346209910934447","0.319761386897589","0.372658434971304"
"Stimmt eher nicht","1997","direkter Migrationshintergrund","weiblich","443","0.383300131472501","0.355928341865661","0.410671921079341"
"Stimmt eher nicht","1997","indirekter Migrationshintergrund","maennlich","78","0.245674352027233","0.196042724540455","0.295305979514011"
"Stimmt eher nicht","1997","indirekter Migrationshintergrund","weiblich","98","0.332020472069415","0.276156633361481","0.387884310777349"
"Stimmt eher nicht","1997","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt eher nicht","1997","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt ganz u.gar nicht","1997","kein Migrationshintergrund","maennlich","455","0.104752761019009","0.0959527650648061","0.113552756973211"
"Stimmt ganz u.gar nicht","1997","kein Migrationshintergrund","weiblich","551","0.121805155945841","0.112831620463035","0.130778691428648"
"Stimmt ganz u.gar nicht","1997","direkter Migrationshintergrund","maennlich","125","","",""
"Stimmt ganz u.gar nicht","1997","direkter Migrationshintergrund","weiblich","102","","",""
"Stimmt ganz u.gar nicht","1997","indirekter Migrationshintergrund","maennlich","15","","",""
"Stimmt ganz u.gar nicht","1997","indirekter Migrationshintergrund","weiblich","14","","",""
"Stimmt ganz u.gar nicht","1997","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt ganz u.gar nicht","1997","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt ganz u.gar","1998","kein Migrationshintergrund","maennlich","","","",""
"Stimmt ganz u.gar","1998","kein Migrationshintergrund","weiblich","","","",""
"Stimmt ganz u.gar","1998","direkter Migrationshintergrund","maennlich","","","",""
"Stimmt ganz u.gar","1998","direkter Migrationshintergrund","weiblich","","","",""
"Stimmt ganz u.gar","1998","indirekter Migrationshintergrund","maennlich","","","",""
"Stimmt ganz u.gar","1998","indirekter Migrationshintergrund","weiblich","","","",""
"Stimmt ganz u.gar","1998","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt ganz u.gar","1998","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt eher","1998","kein Migrationshintergrund","maennlich","","","",""
"Stimmt eher","1998","kein Migrationshintergrund","weiblich","","","",""
"Stimmt eher","1998","direkter Migrationshintergrund","maennlich","","","",""
"Stimmt eher","1998","direkter Migrationshintergrund","weiblich","","","",""
"Stimmt eher","1998","indirekter Migrationshintergrund","maennlich","","","",""
"Stimmt eher","1998","indirekter Migrationshintergrund","weiblich","","","",""
"Stimmt eher","1998","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt eher","1998","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt eher nicht","1998","kein Migrationshintergrund","maennlich","","","",""
"Stimmt eher nicht","1998","kein Migrationshintergrund","weiblich","","","",""
"Stimmt eher nicht","1998","direkter Migrationshintergrund","maennlich","","","",""
"Stimmt eher nicht","1998","direkter Migrationshintergrund","weiblich","","","",""
"Stimmt eher nicht","1998","indirekter Migrationshintergrund","maennlich","","","",""
"Stimmt eher nicht","1998","indirekter Migrationshintergrund","weiblich","","","",""
"Stimmt eher nicht","1998","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt eher nicht","1998","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt ganz u.gar nicht","1998","kein Migrationshintergrund","maennlich","","","",""
"Stimmt ganz u.gar nicht","1998","kein Migrationshintergrund","weiblich","","","",""
"Stimmt ganz u.gar nicht","1998","direkter Migrationshintergrund","maennlich","","","",""
"Stimmt ganz u.gar nicht","1998","direkter Migrationshintergrund","weiblich","","","",""
"Stimmt ganz u.gar nicht","1998","indirekter Migrationshintergrund","maennlich","","","",""
"Stimmt ganz u.gar nicht","1998","indirekter Migrationshintergrund","weiblich","","","",""
"Stimmt ganz u.gar nicht","1998","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt ganz u.gar nicht","1998","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt ganz u.gar","1999","kein Migrationshintergrund","maennlich","","","",""
"Stimmt ganz u.gar","1999","kein Migrationshintergrund","weiblich","","","",""
"Stimmt ganz u.gar","1999","direkter Migrationshintergrund","maennlich","","","",""
"Stimmt ganz u.gar","1999","direkter Migrationshintergrund","weiblich","","","",""
