year,regtyp,sampreg,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,Rural regions,West,"Yes, Occasionally",0.01419,37,3245,0.01012,0.01826
2017,Rural regions,West,No,0.92057,3043,3245,0.91126,0.92988
2017,Rural regions,East,"Yes, Regularly",0.02917,58,2158,0.02207,0.03627
2017,Rural regions,East,No,0.95870,2100,2158,0.95030,0.96710
2018,Urban regions,West,"Yes, Regularly",0.08721,690,8915,0.08135,0.09307
2018,Urban regions,West,"Yes, Occasionally",0.02238,176,8915,0.01931,0.02545
2018,Urban regions,West,No,0.89041,8049,8915,0.88392,0.89689
2018,Urban regions,East,"Yes, Regularly",0.04816,48,1226,0.03617,0.06016
2018,Urban regions,East,No,0.93232,1178,1226,0.91825,0.94639
2018,Rural regions,West,"Yes, Regularly",0.06940,168,3089,0.06044,0.07836
2018,Rural regions,West,"Yes, Occasionally",0.01997,43,3089,0.01504,0.02491
2018,Rural regions,West,No,0.91063,2878,3089,0.90057,0.92069
2018,Rural regions,East,"Yes, Regularly",0.03541,59,2159,0.02761,0.04321
2018,Rural regions,East,No,0.95674,2100,2159,0.94815,0.96532
2019,No answer / don't know,Does not apply,No,0.94630,59,59,0.88829,1.00432
2019,No answer / don't know,West,"Yes, Regularly",0.10982,35,332,0.07614,0.14351
2019,No answer / don't know,West,No,0.86727,297,332,0.83072,0.90382
2019,No answer / don't know,East,No,0.97148,62,62,0.92971,1.01325
2019,Urban regions,West,"Yes, Regularly",0.09015,918,9026,0.08424,0.09606
2019,Urban regions,West,"Yes, Occasionally",0.02434,255,9026,0.02116,0.02752
2019,Urban regions,West,No,0.88551,7853,9026,0.87894,0.89208
2019,Urban regions,East,"Yes, Regularly",0.04936,91,1253,0.03736,0.06136
2019,Urban regions,East,No,0.94009,1162,1253,0.92694,0.95323
2019,Rural regions,West,"Yes, Regularly",0.07320,224,3090,0.06402,0.08239
2019,Rural regions,West,"Yes, Occasionally",0.02433,62,3090,0.01889,0.02976
2019,Rural regions,West,No,0.90247,2804,3090,0.89201,0.91294
2019,Rural regions,East,"Yes, Regularly",0.03126,105,2217,0.02401,0.03850
2019,Rural regions,East,No,0.95610,2112,2217,0.94757,0.96463
2020,Urban regions,West,"Yes, Regularly",0.08631,791,9676,0.08071,0.09190
2020,Urban regions,West,"Yes, Occasionally",0.02306,222,9676,0.02007,0.02605
2020,Urban regions,West,No,0.89064,8663,9676,0.88442,0.89685
2020,Urban regions,East,"Yes, Regularly",0.05262,71,1262,0.04030,0.06495
2020,Urban regions,East,No,0.93206,1191,1262,0.91817,0.94595
2020,Rural regions,West,"Yes, Regularly",0.05822,178,3127,0.05001,0.06643
2020,Rural regions,West,"Yes, Occasionally",0.02368,45,3127,0.01835,0.02901
2020,Rural regions,West,No,0.91810,2904,3127,0.90849,0.92772
2020,Rural regions,East,"Yes, Regularly",0.04420,97,2119,0.03545,0.05296
2020,Rural regions,East,No,0.95004,2022,2119,0.94076,0.95932
2021,Urban regions,West,"Yes, Regularly",0.08794,558,6522,0.08106,0.09481
2021,Urban regions,West,"Yes, Occasionally",0.02824,182,6522,0.02422,0.03226
2021,Urban regions,West,No,0.88383,5782,6522,0.87605,0.89160
2021,Urban regions,East,"Yes, Regularly",0.07277,59,887,0.05567,0.08988
2021,Urban regions,East,No,0.91705,828,887,0.89889,0.93522
2021,Rural regions,West,"Yes, Regularly",0.07661,156,2161,0.06539,0.08783
2021,Rural regions,West,"Yes, Occasionally",0.02766,41,2161,0.02075,0.03458
2021,Rural regions,West,No,0.89573,1964,2161,0.88284,0.90862
2021,Rural regions,East,"Yes, Regularly",0.05332,78,1473,0.04184,0.06480
2021,Rural regions,East,No,0.93666,1395,1473,0.92422,0.94910
2022,Urban regions,West,"Yes, Regularly",0.07489,771,11526,0.07008,0.07969
2022,Urban regions,West,"Yes, Occasionally",0.03308,307,11526,0.02981,0.03634
2022,Urban regions,West,No,0.89204,10448,11526,0.88637,0.89770
2022,Urban regions,East,"Yes, Regularly",0.04059,78,1633,0.03102,0.05017
2022,Urban regions,East,"Yes, Occasionally",0.02628,45,1633,0.01852,0.03404
2022,Urban regions,East,No,0.93313,1510,1633,0.92101,0.94525
2022,Rural regions,West,"Yes, Regularly",0.06858,182,3498,0.06021,0.07696
2022,Rural regions,West,"Yes, Occasionally",0.01939,61,3498,0.01482,0.02395
2022,Rural regions,West,No,0.91203,3255,3498,0.90264,0.92142
2022,Rural regions,East,"Yes, Regularly",0.04982,109,2573,0.04141,0.05823
2022,Rural regions,East,"Yes, Occasionally",0.01241,38,2573,0.00813,0.01669
2022,Rural regions,East,No,0.93777,2426,2573,0.92843,0.94710
