year,bula_h,hhtyp,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Saxony,Couple with children,Yes,0.13142,32,229,0.08756,0.17527
1996,Saxony,Couple with children,No,0.86858,197,229,0.82473,0.91244
1996,Saxony-Anhalt,Single-person household,No,0.93828,55,55,0.87410,1.00247
1996,Saxony-Anhalt,Couple without children,No,0.90181,93,93,0.84100,0.96262
1996,Saxony-Anhalt,Couple with children,Yes,0.21508,35,143,0.14750,0.28266
1996,Saxony-Anhalt,Couple with children,No,0.78492,108,143,0.71734,0.85250
1996,Thuringa,Single-person household,No,0.96530,57,57,0.91737,1.01324
1996,Thuringa,Couple without children,No,0.94662,81,81,0.89735,0.99588
1996,Thuringa,Couple with children,No,0.80287,110,110,0.72819,0.87756
2001,Schleswig-Holstein,Single-person household,No,0.94931,90,90,0.90374,0.99489
2001,Schleswig-Holstein,Couple without children,No,0.95605,121,121,0.91937,0.99272
2001,Schleswig-Holstein,Couple with children,No,0.90831,102,102,0.85203,0.96459
2001,Hamburg,Single-person household,No,0.92275,82,82,0.86461,0.98090
2001,Hamburg,Couple without children,No,0.97722,42,42,0.93155,1.02289
2001,Hamburg,Couple with children,No,0.93089,36,36,0.84686,1.01492
2001,Lower Saxony,Single-person household,No,0.91090,187,187,0.86996,0.95184
2001,Lower Saxony,Couple without children,No,0.89672,284,284,0.86127,0.93218
2001,Lower Saxony,Single parent,No,0.92731,47,47,0.85228,1.00234
2001,Lower Saxony,Couple with children,Yes,0.12757,47,366,0.09334,0.16179
2001,Lower Saxony,Couple with children,No,0.87243,319,366,0.83821,0.90666
2001,Bremen,Single-person household,No,0.86392,36,36,0.75033,0.97751
2001,North Rhine-Westphalia,Single-person household,No,0.95644,580,580,0.93981,0.97307
2001,North Rhine-Westphalia,Couple without children,Yes,0.07196,53,795,0.05399,0.08994
2001,North Rhine-Westphalia,Couple without children,No,0.92804,742,795,0.91006,0.94601
2001,North Rhine-Westphalia,Single parent,No,0.91383,119,119,0.86320,0.96446
2001,North Rhine-Westphalia,Couple with children,Yes,0.09809,84,895,0.07860,0.11759
2001,North Rhine-Westphalia,Couple with children,No,0.90191,811,895,0.88241,0.92140
2001,Hesse,Single-person household,No,0.98026,175,175,0.95959,1.00093
2001,Hesse,Couple without children,No,0.96922,240,240,0.94733,0.99112
2001,Hesse,Single parent,No,0.97517,37,37,0.92434,1.02600
2001,Hesse,Couple with children,No,0.93584,267,267,0.90639,0.96529
2001,"Rhineland-Palatinate, Saarland",Single-person household,No,0.96114,155,155,0.93061,0.99166
2001,"Rhineland-Palatinate, Saarland",Couple without children,No,0.94339,190,190,0.91045,0.97634
2001,"Rhineland-Palatinate, Saarland",Single parent,No,0.95580,45,45,0.89506,1.01653
2001,"Rhineland-Palatinate, Saarland",Couple with children,Yes,0.12110,35,281,0.08288,0.15931
2001,"Rhineland-Palatinate, Saarland",Couple with children,No,0.87890,246,281,0.84069,0.91712
2001,Baden-Wuerttemberg,Single-person household,No,0.97466,319,319,0.95739,0.99193
2001,Baden-Wuerttemberg,Couple without children,No,0.94912,348,348,0.92600,0.97224
2001,Baden-Wuerttemberg,Single parent,No,0.94928,77,77,0.89994,0.99861
2001,Baden-Wuerttemberg,Couple with children,Yes,0.08836,44,551,0.06464,0.11208
2001,Baden-Wuerttemberg,Couple with children,No,0.91164,507,551,0.88792,0.93536
2001,Bavaria,Single-person household,No,0.97647,404,404,0.96166,0.99127
2001,Bavaria,Couple without children,No,0.96062,450,450,0.94263,0.97861
2001,Bavaria,Single parent,No,0.90623,98,98,0.84822,0.96424
2001,Bavaria,Couple with children,Yes,0.07631,46,584,0.05476,0.09786
2001,Bavaria,Couple with children,No,0.92369,538,584,0.90214,0.94524
2001,Berlin,Single-person household,No,0.96578,171,171,0.93845,0.99311
2001,Berlin,Couple without children,No,0.91650,104,104,0.86308,0.96993
2001,Berlin,Single parent,No,0.92565,40,40,0.84332,1.00799
2001,Berlin,Couple with children,No,0.93094,122,122,0.88576,0.97612
2001,Brandenburg,Single-person household,No,0.94654,111,111,0.90450,0.98858
2001,Brandenburg,Couple without children,No,0.92596,160,160,0.88526,0.96666
2001,Brandenburg,Single parent,No,0.88252,31,31,0.76730,0.99774
2001,Brandenburg,Couple with children,No,0.83065,139,139,0.76808,0.89323
2001,Mecklenburg-Western Pomerania,Single-person household,No,0.92811,83,83,0.87220,0.98402
2001,Mecklenburg-Western Pomerania,Couple without children,No,0.94418,77,77,0.89256,0.99579
2001,Mecklenburg-Western Pomerania,Couple with children,No,0.80478,72,72,0.71258,0.89698
2001,Saxony,Single-person household,No,0.93522,186,186,0.89975,0.97069
2001,Saxony,Couple without children,No,0.90029,259,259,0.86373,0.93685
2001,Saxony,Single parent,No,0.95776,43,43,0.89692,1.01859
2001,Saxony,Couple with children,Yes,0.15642,49,299,0.11517,0.19766
2001,Saxony,Couple with children,No,0.84358,250,299,0.80234,0.88483
2001,Saxony-Anhalt,Single-person household,No,0.93814,101,101,0.89093,0.98536
2001,Saxony-Anhalt,Couple without children,No,0.90302,167,167,0.85800,0.94804
2001,Saxony-Anhalt,Couple with children,No,0.85789,143,143,0.80046,0.91532
2001,Thuringa,Single-person household,No,0.92905,112,112,0.88129,0.97682
2001,Thuringa,Couple without children,No,0.95123,141,141,0.91555,0.98691
2001,Thuringa,Single parent,No,0.88980,33,33,0.78130,0.99830
2001,Thuringa,Couple with children,No,0.82689,150,150,0.76614,0.88764
2006,Schleswig-Holstein,Single-person household,No,0.99086,96,96,0.97172,1.01000
2006,Schleswig-Holstein,Couple without children,No,0.97580,142,142,0.95043,1.00116
2006,Schleswig-Holstein,Couple with children,No,0.93633,111,111,0.89070,0.98196
2006,Hamburg,Single-person household,No,0.96808,77,77,0.92855,1.00760
2006,Hamburg,Couple without children,No,0.99421,55,55,0.97398,1.01444
2006,Hamburg,Couple with children,No,0.98640,45,45,0.95217,1.02062
2006,Lower Saxony,Single-person household,No,0.95848,242,242,0.93330,0.98367
2006,Lower Saxony,Couple without children,No,0.93385,346,346,0.90763,0.96008
2006,Lower Saxony,Single parent,No,0.93366,65,65,0.87269,0.99464
2006,Lower Saxony,Couple with children,No,0.89231,328,328,0.85871,0.92591
2006,Bremen,Single-person household,No,0.88027,31,31,0.76410,0.99645
2006,North Rhine-Westphalia,Single-person household,No,0.97374,630,630,0.96124,0.98623
2006,North Rhine-Westphalia,Couple without children,Yes,0.03738,35,896,0.02495,0.04981
2006,North Rhine-Westphalia,Couple without children,No,0.96262,861,896,0.95019,0.97505
2006,North Rhine-Westphalia,Single parent,No,0.97615,147,147,0.95139,1.00090
2006,North Rhine-Westphalia,Couple with children,Yes,0.06984,57,803,0.05220,0.08747
2006,North Rhine-Westphalia,Couple with children,No,0.93016,746,803,0.91253,0.94780
2006,Hesse,Single-person household,No,0.98662,219,219,0.97138,1.00187
2006,Hesse,Couple without children,No,0.95121,290,290,0.92638,0.97605
2006,Hesse,Single parent,No,0.91175,43,43,0.82596,0.99754
2006,Hesse,Couple with children,No,0.94660,246,246,0.91844,0.97475
2006,"Rhineland-Palatinate, Saarland",Single-person household,No,0.95038,199,199,0.92014,0.98063
2006,"Rhineland-Palatinate, Saarland",Couple without children,No,0.96510,206,206,0.93998,0.99022
2006,"Rhineland-Palatinate, Saarland",Single parent,No,0.93334,47,47,0.86126,1.00542
2006,"Rhineland-Palatinate, Saarland",Couple with children,No,0.92055,217,217,0.88449,0.95662
2006,Baden-Wuerttemberg,Single-person household,No,0.97759,380,380,0.96268,0.99249
2006,Baden-Wuerttemberg,Couple without children,No,0.94159,445,445,0.91978,0.96341
2006,Baden-Wuerttemberg,Single parent,No,0.92939,84,84,0.87428,0.98450
2006,Baden-Wuerttemberg,Couple with children,Yes,0.08231,39,506,0.05834,0.10628
2006,Baden-Wuerttemberg,Couple with children,No,0.91769,467,506,0.89372,0.94166
2006,Bavaria,Single-person household,No,0.98405,428,428,0.97217,0.99594
2006,Bavaria,Couple without children,No,0.97012,551,551,0.95589,0.98435
2006,Bavaria,Single parent,No,0.95120,102,102,0.90918,0.99322
2006,Bavaria,Couple with children,Yes,0.05684,32,583,0.03803,0.07565
2006,Bavaria,Couple with children,No,0.94316,551,583,0.92435,0.96197
2006,Berlin,Single-person household,No,0.95899,173,173,0.92935,0.98863
2006,Berlin,Couple without children,No,0.91935,141,141,0.87425,0.96446
2006,Berlin,Single parent,No,0.91755,34,34,0.82371,1.01140
2006,Berlin,Couple with children,No,0.95900,105,105,0.92089,0.99711
2006,Brandenburg,Single-person household,No,0.93575,133,133,0.89392,0.97758
2006,Brandenburg,Couple without children,No,0.93909,177,177,0.90376,0.97443
2006,Brandenburg,Single parent,No,0.91347,38,38,0.82287,1.00406
2006,Brandenburg,Couple with children,No,0.88448,137,137,0.83075,0.93820
2006,Mecklenburg-Western Pomerania,Single-person household,No,0.92090,81,81,0.86175,0.98004
2006,Mecklenburg-Western Pomerania,Couple without children,No,0.93482,97,97,0.88545,0.98420
2006,Mecklenburg-Western Pomerania,Couple with children,No,0.88226,77,77,0.80980,0.95473
2006,Saxony,Single-person household,No,0.96743,235,235,0.94468,0.99017
2006,Saxony,Couple without children,No,0.91996,297,297,0.88905,0.95087
2006,Saxony,Single parent,No,0.85245,51,51,0.75415,0.95076
2006,Saxony,Couple with children,No,0.91473,216,216,0.87740,0.95206
2006,Saxony-Anhalt,Single-person household,No,0.94781,126,126,0.90881,0.98680
2006,Saxony-Anhalt,Couple without children,No,0.91939,165,165,0.87772,0.96106
2006,Saxony-Anhalt,Couple with children,No,0.79425,131,131,0.72476,0.86374
2006,Thuringa,Single-person household,No,0.96930,139,139,0.94052,0.99808
2006,Thuringa,Couple without children,No,0.95068,156,156,0.91659,0.98477
2006,Thuringa,Couple with children,No,0.88977,140,140,0.83770,0.94183
2011,Schleswig-Holstein,Single-person household,No,0.97208,116,116,0.94197,1.00219
2011,Schleswig-Holstein,Couple without children,No,0.99156,164,164,0.97751,1.00560
2011,Schleswig-Holstein,Couple with children,No,0.98072,95,95,0.95292,1.00852
2011,Hamburg,Single-person household,No,0.98025,73,73,0.94810,1.01239
2011,Lower Saxony,Single-person household,No,0.95126,260,260,0.92504,0.97749
2011,Lower Saxony,Couple without children,No,0.94294,410,410,0.92046,0.96542
2011,Lower Saxony,Single parent,No,0.90431,57,57,0.82726,0.98136
2011,Lower Saxony,Couple with children,No,0.91269,288,288,0.88003,0.94535
2011,North Rhine-Westphalia,Single-person household,No,0.97174,614,614,0.95862,0.98486
2011,North Rhine-Westphalia,Couple without children,Yes,0.04596,35,847,0.03185,0.06007
2011,North Rhine-Westphalia,Couple without children,No,0.95404,812,847,0.93993,0.96815
2011,North Rhine-Westphalia,Single parent,No,0.94092,148,148,0.90280,0.97903
2011,North Rhine-Westphalia,Couple with children,Yes,0.04837,40,682,0.03226,0.06449
2011,North Rhine-Westphalia,Couple with children,No,0.95163,642,682,0.93551,0.96774
2011,Hesse,Single-person household,No,0.98808,228,228,0.97396,1.00220
2011,Hesse,Couple without children,No,0.95852,273,273,0.93482,0.98222
2011,Hesse,Single parent,No,0.99491,61,61,0.97692,1.01291
2011,Hesse,Couple with children,No,0.94500,235,235,0.91578,0.97421
2011,"Rhineland-Palatinate, Saarland",Single-person household,No,0.97937,221,221,0.96059,0.99815
2011,"Rhineland-Palatinate, Saarland",Couple without children,No,0.96715,225,225,0.94380,0.99049
2011,"Rhineland-Palatinate, Saarland",Single parent,No,0.99428,50,50,0.97316,1.01540
2011,"Rhineland-Palatinate, Saarland",Couple with children,No,0.96389,176,176,0.93624,0.99153
2011,Baden-Wuerttemberg,Single-person household,No,0.97867,389,389,0.96430,0.99305
2011,Baden-Wuerttemberg,Couple without children,No,0.96229,468,468,0.94501,0.97956
2011,Baden-Wuerttemberg,Single parent,No,0.98909,84,84,0.96675,1.01144
2011,Baden-Wuerttemberg,Couple with children,No,0.95121,389,389,0.92977,0.97264
2011,Bavaria,Single-person household,No,0.97360,502,502,0.95956,0.98764
2011,Bavaria,Couple without children,No,0.98403,640,640,0.97431,0.99375
2011,Bavaria,Single parent,No,0.99182,109,109,0.97484,1.00881
2011,Bavaria,Couple with children,No,0.95784,503,503,0.94026,0.97542
2011,Berlin,Single-person household,No,0.97422,205,205,0.95248,0.99597
2011,Berlin,Couple without children,No,0.93659,160,160,0.89871,0.97447
2011,Berlin,Single parent,No,0.90533,34,34,0.80545,1.00522
2011,Berlin,Couple with children,No,0.98405,93,93,0.95845,1.00965
2011,Brandenburg,Single-person household,No,0.98393,152,152,0.96387,1.00399
2011,Brandenburg,Couple without children,No,0.95071,199,199,0.92056,0.98086
2011,Brandenburg,Couple with children,No,0.91875,106,106,0.86649,0.97101
2011,Mecklenburg-Western Pomerania,Single-person household,No,0.97710,94,94,0.94670,1.00750
2011,Mecklenburg-Western Pomerania,Couple without children,No,0.95753,118,118,0.92098,0.99407
2011,Mecklenburg-Western Pomerania,Single parent,No,0.97985,31,31,0.92956,1.03013
2011,Mecklenburg-Western Pomerania,Couple with children,No,0.84049,51,51,0.73900,0.94198
2011,Saxony,Single-person household,No,0.97543,230,230,0.95537,0.99548
2011,Saxony,Couple without children,No,0.93032,290,290,0.90097,0.95968
2011,Saxony,Single parent,No,0.97267,52,52,0.92793,1.01742
2011,Saxony,Couple with children,No,0.90278,182,182,0.85962,0.94594
2011,Saxony-Anhalt,Single-person household,No,0.95225,146,146,0.91754,0.98696
2011,Saxony-Anhalt,Couple without children,No,0.95382,176,176,0.92273,0.98492
2011,Saxony-Anhalt,Couple with children,No,0.88245,116,116,0.82358,0.94132
2011,Thuringa,Single-person household,No,0.97004,158,158,0.94337,0.99671
2011,Thuringa,Couple without children,No,0.95114,181,181,0.91965,0.98263
2011,Thuringa,Couple with children,No,0.96617,114,114,0.93283,0.99950
2016,Schleswig-Holstein,Single-person household,No,0.99220,126,126,0.97677,1.00762
2016,Schleswig-Holstein,Couple without children,No,0.97912,128,128,0.95425,1.00399
2016,Schleswig-Holstein,Single parent,No,0.98775,56,56,0.95867,1.01682
2016,Schleswig-Holstein,Couple with children,No,0.98163,168,168,0.96127,1.00200
2016,Hamburg,Single-person household,No,0.96472,68,68,0.92054,1.00889
2016,Hamburg,Couple without children,No,0.96455,66,66,0.91960,1.00951
2016,Hamburg,Couple with children,No,0.98252,88,88,0.95498,1.01006
2016,Lower Saxony,Single-person household,No,0.97283,284,284,0.95389,0.99177
2016,Lower Saxony,Couple without children,No,0.97003,384,384,0.95296,0.98711
2016,Lower Saxony,Single parent,No,0.97499,147,147,0.94965,1.00032
2016,Lower Saxony,Couple with children,No,0.95806,457,457,0.93966,0.97646
2016,Bremen,Couple with children,No,0.98033,34,34,0.93295,1.02771
2016,North Rhine-Westphalia,Single-person household,No,0.97503,598,598,0.96252,0.98755
2016,North Rhine-Westphalia,Couple without children,No,0.96939,762,762,0.95715,0.98163
2016,North Rhine-Westphalia,Single parent,No,0.98249,303,303,0.96770,0.99728
2016,North Rhine-Westphalia,Couple with children,Yes,0.03554,37,1139,0.02478,0.04629
2016,North Rhine-Westphalia,Couple with children,No,0.96446,1102,1139,0.95371,0.97522
2016,North Rhine-Westphalia,Other Combinations,No,0.97867,41,41,0.93389,1.02345
2016,Hesse,Single-person household,No,0.99497,207,207,0.98530,1.00463
2016,Hesse,Couple without children,No,0.98128,277,277,0.96529,0.99727
2016,Hesse,Single parent,No,0.93508,105,105,0.88772,0.98243
2016,Hesse,Couple with children,No,0.93031,331,331,0.90284,0.95778
2016,"Rhineland-Palatinate, Saarland",Single-person household,No,0.97545,201,201,0.95400,0.99690
2016,"Rhineland-Palatinate, Saarland",Couple without children,No,0.97551,232,232,0.95558,0.99544
2016,"Rhineland-Palatinate, Saarland",Single parent,No,0.91254,75,75,0.84817,0.97691
2016,"Rhineland-Palatinate, Saarland",Couple with children,No,0.94629,277,277,0.91969,0.97289
2016,Baden-Wuerttemberg,Single-person household,No,0.99389,346,346,0.98567,1.00211
2016,Baden-Wuerttemberg,Couple without children,No,0.97986,420,420,0.96641,0.99331
2016,Baden-Wuerttemberg,Single parent,No,0.97808,143,143,0.95399,1.00216
2016,Baden-Wuerttemberg,Couple with children,No,0.97682,651,651,0.96525,0.98839
2016,Bavaria,Single-person household,No,0.99062,515,515,0.98229,0.99895
2016,Bavaria,Couple without children,No,0.99149,630,630,0.98430,0.99867
2016,Bavaria,Single parent,No,0.98125,228,228,0.96361,0.99890
2016,Bavaria,Couple with children,No,0.97484,840,840,0.96424,0.98544
2016,Berlin,Single-person household,No,0.98492,223,223,0.96888,1.00095
2016,Berlin,Couple without children,No,0.98751,165,165,0.97051,1.00451
2016,Berlin,Single parent,No,0.92299,67,67,0.85867,0.98731
2016,Berlin,Couple with children,No,0.96900,134,134,0.93954,0.99845
2016,Brandenburg,Single-person household,No,0.97804,130,130,0.95275,1.00333
2016,Brandenburg,Couple without children,No,0.97344,206,206,0.95143,0.99545
2016,Brandenburg,Single parent,No,0.96577,50,50,0.91486,1.01668
2016,Brandenburg,Couple with children,No,0.93862,142,142,0.89900,0.97824
2016,Mecklenburg-Western Pomerania,Single-person household,No,0.94801,98,98,0.90382,0.99219
2016,Mecklenburg-Western Pomerania,Couple without children,No,0.98230,104,104,0.95683,1.00776
2016,Mecklenburg-Western Pomerania,Single parent,No,0.98977,38,38,0.95735,1.02219
2016,Mecklenburg-Western Pomerania,Couple with children,No,0.89080,69,69,0.81667,0.96493
2016,Saxony,Single-person household,No,0.97322,221,221,0.95189,0.99456
2016,Saxony,Couple without children,No,0.93467,276,276,0.90547,0.96388
2016,Saxony,Single parent,No,0.97200,89,89,0.93753,1.00647
2016,Saxony,Couple with children,No,0.95157,232,232,0.92389,0.97926
2016,Saxony-Anhalt,Single-person household,No,0.94454,142,142,0.90677,0.98232
2016,Saxony-Anhalt,Couple without children,No,0.96370,148,148,0.93347,0.99394
2016,Saxony-Anhalt,Single parent,No,0.92674,65,65,0.86290,0.99058
2016,Saxony-Anhalt,Couple with children,No,0.91277,123,123,0.86270,0.96284
2016,Thuringa,Single-person household,No,0.94687,140,140,0.90958,0.98416
2016,Thuringa,Couple without children,No,0.94021,169,169,0.90436,0.97607
2016,Thuringa,Single parent,No,0.83663,49,49,0.73204,0.94122
2016,Thuringa,Couple with children,No,0.97069,143,143,0.94295,0.99843
2021,Schleswig-Holstein,Single-person household,No,0.97955,98,98,0.95139,1.00772
2021,Schleswig-Holstein,Couple without children,No,0.96427,121,121,0.93105,0.99748
2021,Schleswig-Holstein,Couple with children,No,0.96864,147,147,0.94037,0.99691
2021,Hamburg,Single-person household,No,0.97625,80,80,0.94267,1.00983
2021,Hamburg,Couple without children,No,0.96892,89,89,0.93267,1.00518
2021,Lower Saxony,Single-person household,No,0.98101,286,286,0.96516,0.99685
2021,Lower Saxony,Couple without children,No,0.96326,322,322,0.94268,0.98384
2021,Lower Saxony,Single parent,No,0.98198,91,91,0.95450,1.00946
2021,Lower Saxony,Couple with children,No,0.97370,302,302,0.95562,0.99178
2021,North Rhine-Westphalia,Single-person household,No,0.98776,623,623,0.97912,0.99640
2021,North Rhine-Westphalia,Couple without children,No,0.97454,661,661,0.96252,0.98656
2021,North Rhine-Westphalia,Single parent,No,0.98251,159,159,0.96207,1.00295
2021,North Rhine-Westphalia,Couple with children,No,0.97855,694,694,0.96776,0.98933
2021,North Rhine-Westphalia,Other Combinations,No,0.99558,65,65,0.97933,1.01183
2021,Hesse,Single-person household,No,0.99834,206,206,0.99277,1.00391
2021,Hesse,Couple without children,No,0.99554,212,212,0.98655,1.00453
2021,Hesse,Single parent,No,0.98958,59,59,0.96344,1.01571
2021,Hesse,Couple with children,No,0.97814,179,179,0.95666,0.99962
2021,"Rhineland-Palatinate, Saarland",Single-person household,No,0.97634,147,147,0.95168,1.00099
2021,"Rhineland-Palatinate, Saarland",Couple without children,No,0.98199,161,161,0.96139,1.00260
2021,"Rhineland-Palatinate, Saarland",Couple with children,No,0.94087,146,146,0.90248,0.97926
2021,Baden-Wuerttemberg,Single-person household,No,0.99892,311,311,0.99526,1.00258
2021,Baden-Wuerttemberg,Couple without children,No,0.97428,358,358,0.95786,0.99070
2021,Baden-Wuerttemberg,Single parent,No,0.99127,83,83,0.97113,1.01141
2021,Baden-Wuerttemberg,Couple with children,No,0.96412,401,401,0.94589,0.98235
2021,Bavaria,Single-person household,No,0.98787,513,513,0.97839,0.99735
2021,Bavaria,Couple without children,No,0.98845,498,498,0.97906,0.99784
2021,Bavaria,Single parent,No,0.98121,125,125,0.95732,1.00511
2021,Bavaria,Couple with children,No,0.96885,512,512,0.95379,0.98391
2021,Berlin,Single-person household,No,0.99091,235,235,0.97874,1.00307
2021,Berlin,Couple without children,No,0.98900,150,150,0.97225,1.00575
2021,Berlin,Single parent,No,0.81253,36,36,0.68323,0.94183
2021,Berlin,Couple with children,No,0.96978,113,113,0.93807,1.00149
2021,Brandenburg,Single-person household,No,0.97255,117,117,0.94281,1.00228
2021,Brandenburg,Couple without children,No,0.98199,160,160,0.96132,1.00266
2021,Brandenburg,Single parent,No,0.94767,38,38,0.87592,1.01943
2021,Brandenburg,Couple with children,No,0.98738,108,108,0.96623,1.00853
2021,Mecklenburg-Western Pomerania,Single-person household,No,0.97925,80,80,0.94781,1.01068
2021,Mecklenburg-Western Pomerania,Couple without children,No,0.94913,81,81,0.90099,0.99728
2021,Mecklenburg-Western Pomerania,Couple with children,No,0.95962,53,53,0.90612,1.01313
2021,Saxony,Single-person household,No,0.97423,194,194,0.95188,0.99658
2021,Saxony,Couple without children,No,0.98453,262,262,0.96955,0.99950
2021,Saxony,Single parent,No,0.99652,72,72,0.98283,1.01022
2021,Saxony,Couple with children,No,0.96319,165,165,0.93437,0.99201
2021,Saxony-Anhalt,Single-person household,No,0.98761,113,113,0.96713,1.00810
2021,Saxony-Anhalt,Couple without children,No,0.89757,116,116,0.84215,0.95299
2021,Saxony-Anhalt,Couple with children,No,0.99571,70,70,0.98030,1.01113
2021,Thuringa,Single-person household,No,0.94262,116,116,0.90011,0.98512
2021,Thuringa,Couple without children,No,0.94486,119,119,0.90368,0.98604
2021,Thuringa,Couple with children,No,0.98939,84,84,0.96734,1.01143
