,Unnamed: 0,year,regtyp,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
28,28,1999,Urban regions,Yes,0.62591,2847,7049,0.60767,0.642
29,29,1999,Urban regions,No,0.37409,1797,7049,0.36284,0.38527
30,30,1999,Rural regions,Yes,0.67126,1619,7049,0.65185,0.69341
31,31,1999,Rural regions,No,0.32874,786,7049,0.31002,0.34725
32,32,2000,Urban regions,Yes,0.63951,5374,12745,0.63122,0.64791
33,33,2000,Urban regions,No,0.36049,3088,12745,0.35278,0.36683
34,34,2000,Rural regions,Yes,0.64602,2798,12745,0.63168,0.65926
35,35,2000,Rural regions,No,0.35398,1485,12745,0.34422,0.36437
36,36,2001,Urban regions,Yes,0.65147,4960,11498,0.6417,0.66146
37,37,2001,Urban regions,No,0.34853,2684,11498,0.33957,0.35712
38,38,2001,Rural regions,Yes,0.66789,2581,11498,0.6503,0.68463
39,39,2001,Rural regions,No,0.33211,1273,11498,0.3207,0.34577
40,40,2002,Urban regions,Yes,0.60538,5100,12001,0.59519,0.61649
41,41,2002,Urban regions,No,0.39462,2992,12001,0.38484,0.40251
42,42,2002,Rural regions,Yes,0.6193,2540,12001,0.60065,0.63705
43,43,2002,Rural regions,No,0.3807,1369,12001,0.36642,0.39442
44,44,2003,Urban regions,Yes,0.60325,4927,11644,0.58916,0.61478
45,45,2003,Urban regions,No,0.39675,2929,11644,0.38729,0.40596
46,46,2003,Rural regions,Yes,0.62321,2434,11644,0.60479,0.64248
47,47,2003,Rural regions,No,0.37679,1354,11644,0.3618,0.38984
48,48,2004,Urban regions,Yes,0.58581,4702,11374,0.57449,0.59885
49,49,2004,Urban regions,No,0.41419,2968,11374,0.40445,0.42361
50,50,2004,Rural regions,Yes,0.6033,2314,11374,0.58637,0.62216
51,51,2004,Rural regions,No,0.3967,1390,11374,0.38324,0.41189
52,52,2005,Urban regions,Yes,0.60606,4738,11049,0.59094,0.62006
53,53,2005,Urban regions,No,0.39394,2698,11049,0.38035,0.40606
54,54,2005,Rural regions,Yes,0.61614,2285,11049,0.59541,0.63684
55,55,2005,Rural regions,No,0.38386,1328,11049,0.36646,0.40091
56,56,2006,Urban regions,Yes,0.57599,4947,12124,0.56393,0.58864
57,57,2006,Urban regions,No,0.42401,3112,12124,0.415,0.43673
58,58,2006,Rural regions,Yes,0.57813,2481,12124,0.55962,0.59764
59,59,2006,Rural regions,No,0.42187,1584,12124,0.40358,0.437
60,60,2007,Urban regions,Yes,0.5906,4726,11329,0.57517,0.60229
61,61,2007,Urban regions,No,0.4094,2780,11329,0.39742,0.42094
62,62,2007,Rural regions,Yes,0.60427,2407,11329,0.58657,0.62185
63,63,2007,Rural regions,No,0.39573,1416,11329,0.38284,0.40931
64,64,2008,Urban regions,Yes,0.59514,4453,10653,0.58019,0.6136
65,65,2008,Urban regions,No,0.40486,2597,10653,0.3941,0.41343
66,66,2008,Rural regions,Yes,0.60447,2274,10653,0.58158,0.62751
67,67,2008,Rural regions,No,0.39553,1329,10653,0.37874,0.41375
68,68,2009,Urban regions,Yes,0.6015,4174,10052,0.5862,0.6178
69,69,2009,Urban regions,No,0.3985,2428,10052,0.38688,0.41261
70,70,2009,Rural regions,Yes,0.59868,2156,10052,0.57261,0.6207
71,71,2009,Rural regions,No,0.40132,1294,10052,0.38132,0.41929
72,72,2010,Urban regions,Yes,0.58646,5096,13695,0.56879,0.60682
73,73,2010,Urban regions,No,0.41354,3896,13695,0.39889,0.42816
74,74,2010,Rural regions,Yes,0.58934,2677,13695,0.56106,0.61137
75,75,2010,Rural regions,No,0.41066,2026,13695,0.38861,0.43394
76,76,2011,Urban regions,Yes,0.61755,6317,16402,0.59919,0.63156
77,77,2011,Urban regions,No,0.38245,4272,16402,0.36839,0.39364
78,78,2011,Rural regions,Yes,0.60968,3361,16402,0.58902,0.63049
79,79,2011,Rural regions,No,0.39032,2452,16402,0.37392,0.40836
80,80,2012,Urban regions,Yes,0.61863,6205,16158,0.60221,0.6327
81,81,2012,Urban regions,No,0.38137,4135,16158,0.36882,0.39084
82,82,2012,Rural regions,Yes,0.61989,3445,16158,0.59938,0.64267
83,83,2012,Rural regions,No,0.38011,2373,16158,0.36454,0.39762
84,84,2013,Urban regions,Yes,0.61456,6761,17698,0.5999,0.63265
85,85,2013,Urban regions,No,0.38544,4954,17698,0.37288,0.39877
86,86,2013,Rural regions,Yes,0.62847,3577,17698,0.60604,0.65058
87,87,2013,Rural regions,No,0.37153,2406,17698,0.35477,0.38924
88,88,2014,Urban regions,Yes,0.61651,6112,15723,0.59826,0.63032
89,89,2014,Urban regions,No,0.38349,4204,15723,0.37074,0.395
90,90,2014,Rural regions,Yes,0.63267,3303,15723,0.61088,0.65825
91,91,2014,Rural regions,No,0.36733,2104,15723,0.34845,0.38552
92,92,2015,Urban regions,Yes,0.59831,6031,15610,0.58337,0.61585
93,93,2015,Urban regions,No,0.40169,4248,15610,0.38754,0.41483
94,94,2015,Rural regions,Yes,0.63221,3309,15610,0.60624,0.65787
95,95,2015,Rural regions,No,0.36779,2022,15610,0.35002,0.38846
96,96,2016,Urban regions,Yes,0.61515,5664,14182,0.59816,0.63282
97,97,2016,Urban regions,No,0.38485,3624,14182,0.37164,0.40013
98,98,2016,Rural regions,Yes,0.63189,3060,14182,0.61072,0.65519
99,99,2016,Rural regions,No,0.36811,1834,14182,0.34715,0.38745
100,100,2017,Urban regions,Yes,0.62465,6401,15536,0.61149,0.63941
101,101,2017,Urban regions,No,0.37535,3735,15536,0.361,0.38684
102,102,2017,Rural regions,Yes,0.67379,3561,15536,0.65104,0.69767
103,103,2017,Rural regions,No,0.32621,1839,15536,0.30922,0.34253
104,104,2018,Urban regions,Yes,0.64956,6442,15334,0.63237,0.66804
105,105,2018,Urban regions,No,0.35044,3635,15334,0.33856,0.36405
106,106,2018,Rural regions,Yes,0.66662,3482,15334,0.64161,0.6893
107,107,2018,Rural regions,No,0.33338,1775,15334,0.31601,0.34923
108,108,2019,Urban regions,Yes,0.67773,7124,15499,0.65983,0.69485
109,109,2019,Urban regions,No,0.32227,3056,15499,0.30795,0.33503
110,110,2019,Rural regions,Yes,0.71714,3822,15499,0.6889,0.74683
111,111,2019,Rural regions,No,0.28286,1497,15499,0.26596,0.30086
112,112,2020,Urban regions,Yes,0.67014,7078,16057,0.64964,0.68881
113,113,2020,Urban regions,No,0.32986,3743,16057,0.31691,0.34499
114,114,2020,Rural regions,Yes,0.69117,3573,16057,0.66244,0.71669
115,115,2020,Rural regions,No,0.30883,1663,16057,0.29102,0.32642
116,116,2021,Urban regions,Yes,0.76399,5691,12166,0.74049,0.78569
117,117,2021,Urban regions,No,0.23601,2617,12166,0.22195,0.25221
118,118,2021,Rural regions,Yes,0.78049,2841,12166,0.74694,0.81643
119,119,2021,Rural regions,No,0.21951,1017,12166,0.19711,0.23703
