year,rentown,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2003,Owner,Yes,0.69984,4004,11644,0,0.68391,0,0.71542
2003,Owner,No,0.30016,1564,11644,0,0.28875,0,0.31044
2003,Tenant,Yes,0.54341,3357,11644,0,0.53130,0,0.55547
2003,Tenant,No,0.45659,2719,11644,0,0.44540,0,0.46927
2004,Owner,Yes,0.68368,3845,11374,0,0.66718,0,0.70400
2004,Owner,No,0.31632,1616,11374,0,0.30517,0,0.32889
2004,Tenant,Yes,0.52444,3171,11374,0,0.51189,0,0.53885
2004,Tenant,No,0.47556,2742,11374,0,0.46091,0,0.48845
2005,Owner,Yes,0.70267,3811,11048,0,0.68349,0,0.71828
2005,Owner,No,0.29733,1491,11048,0,0.28238,0,0.31008
2005,Tenant,Yes,0.54244,3212,11048,0,0.52645,0,0.55737
2005,Tenant,No,0.45756,2534,11048,0,0.44585,0,0.46949
2006,Owner,Yes,0.67607,4162,12122,0,0.65996,0,0.69088
2006,Owner,No,0.32393,1764,12122,0,0.31180,0,0.33566
2006,Tenant,Yes,0.50624,3265,12122,0,0.49584,0,0.51661
2006,Tenant,No,0.49376,2931,12122,0,0.48027,0,0.50615
2007,Owner,Yes,0.69595,3979,11329,0,0.67566,0,0.71307
2007,Owner,No,0.30405,1561,11329,0,0.29361,0,0.31487
2007,Tenant,Yes,0.52088,3154,11329,0,0.50552,0,0.53335
2007,Tenant,No,0.47912,2635,11329,0,0.46454,0,0.49287
2008,Owner,Yes,0.69603,3792,10653,0,0.67563,0,0.71212
2008,Owner,No,0.30397,1492,10653,0,0.28943,0,0.31576
2008,Tenant,Yes,0.52304,2935,10653,0,0.50767,0,0.53696
2008,Tenant,No,0.47696,2434,10653,0,0.46158,0,0.49059
2009,Owner,Yes,0.68953,3572,10052,0,0.66881,0,0.71004
2009,Owner,No,0.31047,1409,10052,0,0.29588,0,0.32585
2009,Tenant,Yes,0.52992,2758,10052,0,0.51295,0,0.54725
2009,Tenant,No,0.47008,2313,10052,0,0.45666,0,0.48506
2010,Owner,Yes,0.66714,4215,13695,0,0.64940,0,0.69265
2010,Owner,No,0.33286,2059,13695,0,0.31741,0,0.34968
2010,Tenant,Yes,0.52064,3558,13695,0,0.50201,0,0.53788
2010,Tenant,No,0.47936,3863,13695,0,0.46089,0,0.49577
2011,Owner,Yes,0.71892,5350,16402,0,0.69824,0,0.74032
2011,Owner,No,0.28108,2254,16402,0,0.27041,0,0.29348
2011,Tenant,Yes,0.52860,4328,16402,0,0.51378,0,0.54499
2011,Tenant,No,0.47140,4470,16402,0,0.45688,0,0.48868
2012,Owner,Yes,0.71344,5270,16158,0,0.69138,0,0.73156
2012,Owner,No,0.28656,2231,16158,0,0.27361,0,0.30249
2012,Tenant,Yes,0.54058,4380,16158,0,0.52762,0,0.55581
2012,Tenant,No,0.45942,4277,16158,0,0.44592,0,0.47335
2013,Owner,Yes,0.72054,5416,17698,0,0.70098,0,0.74232
2013,Owner,No,0.27946,2190,17698,0,0.26652,0,0.29372
2013,Tenant,Yes,0.53511,4922,17698,0,0.52005,0,0.55103
2013,Tenant,No,0.46489,5170,17698,0,0.45178,0,0.47933
2014,Owner,Yes,0.72124,5020,15723,0,0.70147,0,0.74104
2014,Owner,No,0.27876,1969,15723,0,0.26736,0,0.29165
2014,Tenant,Yes,0.53948,4395,15723,0,0.52724,0,0.55710
2014,Tenant,No,0.46052,4339,15723,0,0.44395,0,0.47528
2015,Owner,Yes,0.71181,4846,15610,0,0.69151,0,0.73329
2015,Owner,No,0.28819,1808,15610,0,0.27688,0,0.30162
2015,Tenant,Yes,0.52326,4494,15610,0,0.50666,0,0.53976
2015,Tenant,No,0.47674,4462,15610,0,0.45976,0,0.49418
2016,Owner,Yes,0.71571,4552,14181,0,0.69168,0,0.73639
2016,Owner,No,0.28429,1679,14181,0,0.27086,0,0.29768
2016,Tenant,Yes,0.53916,4172,14181,0,0.51976,0,0.55589
2016,Tenant,No,0.46084,3778,14181,0,0.44673,0,0.47837
2017,Owner,Yes,0.74117,5284,15536,0,0.72076,0,0.76157
2017,Owner,No,0.25883,1694,15536,0,0.24722,0,0.27201
2017,Tenant,Yes,0.55225,4678,15536,0,0.53642,0,0.56686
2017,Tenant,No,0.44775,3880,15536,0,0.43160,0,0.46178
2018,Owner,Yes,0.75776,5205,15334,0,0.73466,0,0.77860
2018,Owner,No,0.24224,1489,15334,0,0.23137,0,0.25468
2018,Tenant,Yes,0.56438,4719,15334,0,0.54585,0,0.58350
2018,Tenant,No,0.43562,3921,15334,0,0.42019,0,0.45581
2019,Owner,Yes,0.79037,6306,15962,0,0.76661,0,0.81143
2019,Owner,No,0.20963,1458,15962,0,0.19699,0,0.22179
2019,Tenant,Yes,0.60080,4965,15962,0,0.58406,0,0.61926
2019,Tenant,No,0.39920,3233,15962,0,0.38398,0,0.41441
2020,Owner,Yes,0.76655,5413,16057,0,0.73869,0,0.78749
2020,Owner,No,0.23345,1414,16057,0,0.22119,0,0.24628
2020,Tenant,Yes,0.59836,5238,16057,0,0.58089,0,0.61602
2020,Tenant,No,0.40164,3992,16057,0,0.38779,0,0.41951
2021,Owner,Yes,0.84342,4180,12162,0,0.80993,0,0.87980
2021,Owner,No,0.15658,704,12162,0,0.14363,0,0.17214
2021,Tenant,Yes,0.70413,4350,12162,0,0.67854,0,0.72911
2021,Tenant,No,0.29587,2928,12162,0,0.27871,0,0.31211
