,Unnamed: 0,year,regtyp,rentown,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
36,36,1996,Rural regions,Owner,Yes,0.73988,730,6541,0.70852,0.78046
37,37,1996,Rural regions,Owner,No,0.26012,264,6541,0.23247,0.28524
38,38,1996,Rural regions,Tenant,Yes,0.63244,801,6541,0.59917,0.66263
39,39,1996,Rural regions,Tenant,No,0.36756,417,6541,0.33201,0.39609
40,40,1997,Urban regions,Owner,Yes,0.73212,994,6483,0.70718,0.76486
41,41,1997,Urban regions,Owner,No,0.26788,403,6483,0.24925,0.28559
42,42,1997,Urban regions,Tenant,Yes,0.59548,1667,6483,0.57274,0.61838
43,43,1997,Urban regions,Tenant,No,0.40452,1221,6483,0.38109,0.42573
44,44,1997,Rural regions,Owner,Yes,0.70365,734,6483,0.67118,0.74442
45,45,1997,Rural regions,Owner,No,0.29635,280,6483,0.26746,0.32376
46,46,1997,Rural regions,Tenant,Yes,0.62787,764,6483,0.59869,0.66182
47,47,1997,Rural regions,Tenant,No,0.37213,420,6483,0.33784,0.40041
48,48,1998,Urban regions,Owner,Yes,0.74992,1191,7313,0.7152,0.77703
49,49,1998,Urban regions,Owner,No,0.25008,446,7313,0.23506,0.26314
50,50,1998,Urban regions,Tenant,Yes,0.55895,1776,7313,0.53902,0.58145
51,51,1998,Urban regions,Tenant,No,0.44105,1421,7313,0.42241,0.46143
52,52,1998,Rural regions,Owner,Yes,0.72736,879,7313,0.69299,0.76115
53,53,1998,Rural regions,Owner,No,0.27264,332,7313,0.24745,0.29148
54,54,1998,Rural regions,Tenant,Yes,0.58662,773,7313,0.56064,0.61976
55,55,1998,Rural regions,Tenant,No,0.41338,495,7313,0.38842,0.43973
56,56,1999,Urban regions,Owner,Yes,0.7416,1189,7049,0.71579,0.76937
57,57,1999,Urban regions,Owner,No,0.2584,451,7049,0.24339,0.273
58,58,1999,Urban regions,Tenant,Yes,0.5565,1658,7049,0.53787,0.57725
59,59,1999,Urban regions,Tenant,No,0.4435,1346,7049,0.42676,0.46026
60,60,1999,Rural regions,Owner,Yes,0.73713,871,7049,0.70711,0.77293
61,61,1999,Rural regions,Owner,No,0.26287,314,7049,0.2366,0.28733
62,62,1999,Rural regions,Tenant,Yes,0.6045,748,7049,0.57191,0.63822
63,63,1999,Rural regions,Tenant,No,0.3955,472,7049,0.36706,0.42477
64,64,2000,Urban regions,Owner,Yes,0.73938,2490,12745,0.72276,0.75641
65,65,2000,Urban regions,Owner,No,0.26062,946,12745,0.24954,0.27048
66,66,2000,Urban regions,Tenant,Yes,0.57803,2884,12745,0.5668,0.59114
67,67,2000,Urban regions,Tenant,No,0.42197,2142,12745,0.41106,0.43307
68,68,2000,Rural regions,Owner,Yes,0.71331,1605,12745,0.69544,0.7327
69,69,2000,Rural regions,Owner,No,0.28669,662,12745,0.27416,0.29874
70,70,2000,Rural regions,Tenant,Yes,0.58023,1193,12745,0.5624,0.59878
71,71,2000,Rural regions,Tenant,No,0.41977,823,12745,0.40332,0.43678
72,72,2001,Urban regions,Owner,Yes,0.76069,2298,11498,0.7407,0.77697
73,73,2001,Urban regions,Owner,No,0.23931,779,11498,0.22992,0.24909
74,74,2001,Urban regions,Tenant,Yes,0.58443,2662,11498,0.56913,0.60067
75,75,2001,Urban regions,Tenant,No,0.41557,1905,11498,0.4033,0.42993
76,76,2001,Rural regions,Owner,Yes,0.72643,1516,11498,0.70745,0.74946
77,77,2001,Rural regions,Owner,No,0.27357,575,11498,0.26172,0.28834
78,78,2001,Rural regions,Tenant,Yes,0.60697,1065,11498,0.5841,0.63073
79,79,2001,Rural regions,Tenant,No,0.39303,698,11498,0.37498,0.41511
80,80,2002,Urban regions,Owner,Yes,0.71043,2595,12001,0.68377,0.73505
81,81,2002,Urban regions,Owner,No,0.28957,979,12001,0.27539,0.30431
82,82,2002,Urban regions,Tenant,Yes,0.53926,2505,12001,0.52547,0.55099
83,83,2002,Urban regions,Tenant,No,0.46074,2013,12001,0.44961,0.47192
84,84,2002,Rural regions,Owner,Yes,0.67777,1514,12001,0.65396,0.7086
85,85,2002,Rural regions,Owner,No,0.32223,624,12001,0.30477,0.34089
86,86,2002,Rural regions,Tenant,Yes,0.55971,1026,12001,0.53584,0.58686
87,87,2002,Rural regions,Tenant,No,0.44029,745,12001,0.41986,0.46284
88,88,2003,Urban regions,Owner,Yes,0.7091,2536,11644,0.68556,0.72947
89,89,2003,Urban regions,Owner,No,0.2909,949,11644,0.27666,0.30476
90,90,2003,Urban regions,Tenant,Yes,0.5372,2391,11644,0.52294,0.54908
91,91,2003,Urban regions,Tenant,No,0.4628,1980,11644,0.44915,0.47768
92,92,2003,Rural regions,Owner,Yes,0.68383,1468,11644,0.65908,0.71268
93,93,2003,Rural regions,Owner,No,0.31617,615,11644,0.29985,0.33396
94,94,2003,Rural regions,Tenant,Yes,0.56107,966,11644,0.53916,0.58469
95,95,2003,Rural regions,Tenant,No,0.43893,739,11644,0.418,0.46082
96,96,2004,Urban regions,Owner,Yes,0.69104,2432,11374,0.66949,0.71538
97,97,2004,Urban regions,Owner,No,0.30896,980,11374,0.29469,0.32288
98,98,2004,Urban regions,Tenant,Yes,0.52089,2270,11374,0.50611,0.53471
99,99,2004,Urban regions,Tenant,No,0.47911,1988,11374,0.46416,0.49234
100,100,2004,Rural regions,Owner,Yes,0.67094,1413,11374,0.64255,0.69494
101,101,2004,Rural regions,Owner,No,0.32906,636,11374,0.31057,0.34502
102,102,2004,Rural regions,Tenant,Yes,0.53455,901,11374,0.51133,0.55706
103,103,2004,Rural regions,Tenant,No,0.46545,754,11374,0.44152,0.48447
104,104,2005,Urban regions,Owner,Yes,0.71495,2417,11048,0.68818,0.7358
105,105,2005,Urban regions,Owner,No,0.28505,861,11048,0.26853,0.29828
106,106,2005,Urban regions,Tenant,Yes,0.54132,2321,11048,0.52231,0.55864
107,107,2005,Urban regions,Tenant,No,0.45868,1836,11048,0.44463,0.47399
108,108,2005,Rural regions,Owner,Yes,0.68255,1394,11048,0.65164,0.71019
109,109,2005,Rural regions,Owner,No,0.31745,630,11048,0.29421,0.34002
110,110,2005,Rural regions,Tenant,Yes,0.54569,891,11048,0.51708,0.56924
111,111,2005,Rural regions,Tenant,No,0.45431,698,11048,0.42699,0.47726
112,112,2006,Urban regions,Owner,Yes,0.68112,2613,12122,0.6606,0.70471
113,113,2006,Urban regions,Owner,No,0.31888,1044,12122,0.30361,0.33362
114,114,2006,Urban regions,Tenant,Yes,0.51297,2334,12122,0.49903,0.52748
115,115,2006,Urban regions,Tenant,No,0.48703,2067,12122,0.47413,0.50075
116,116,2006,Rural regions,Owner,Yes,0.66776,1549,12122,0.64226,0.69593
117,117,2006,Rural regions,Owner,No,0.33224,720,12122,0.31643,0.35256
118,118,2006,Rural regions,Tenant,Yes,0.48775,931,12122,0.46409,0.51349
119,119,2006,Rural regions,Tenant,No,0.51225,864,12122,0.49116,0.53225
120,120,2007,Urban regions,Owner,Yes,0.70339,2494,11329,0.6817,0.72719
121,121,2007,Urban regions,Owner,No,0.29661,918,11329,0.28234,0.31283
122,122,2007,Urban regions,Tenant,Yes,0.51954,2232,11329,0.5034,0.53794
123,123,2007,Urban regions,Tenant,No,0.48046,1862,11329,0.46609,0.49445
124,124,2007,Rural regions,Owner,Yes,0.68355,1485,11329,0.65921,0.71209
125,125,2007,Rural regions,Owner,No,0.31645,643,11329,0.29488,0.3364
126,126,2007,Rural regions,Tenant,Yes,0.52447,922,11329,0.49947,0.54947
127,127,2007,Rural regions,Tenant,No,0.47553,773,11329,0.44597,0.49849
128,128,2008,Urban regions,Owner,Yes,0.70802,2364,10653,0.68579,0.73237
129,129,2008,Urban regions,Owner,No,0.29198,869,10653,0.27613,0.3065
130,130,2008,Urban regions,Tenant,Yes,0.52149,2089,10653,0.50625,0.5373
131,131,2008,Urban regions,Tenant,No,0.47851,1728,10653,0.46432,0.49589
132,132,2008,Rural regions,Owner,Yes,0.67607,1428,10653,0.64711,0.7096
133,133,2008,Rural regions,Owner,No,0.32393,623,10653,0.30158,0.34526
134,134,2008,Rural regions,Tenant,Yes,0.52731,846,10653,0.50076,0.55436
135,135,2008,Rural regions,Tenant,No,0.47269,706,10653,0.45045,0.49978
136,136,2009,Urban regions,Owner,Yes,0.70113,2218,10052,0.67218,0.73536
137,137,2009,Urban regions,Owner,No,0.29887,830,10052,0.28305,0.31604
138,138,2009,Urban regions,Tenant,Yes,0.53254,1956,10052,0.5096,0.55421
139,139,2009,Urban regions,Tenant,No,0.46746,1598,10052,0.45181,0.48598
140,140,2009,Rural regions,Owner,Yes,0.66957,1354,10052,0.63664,0.70092
141,141,2009,Rural regions,Owner,No,0.33043,579,10052,0.3024,0.35418
142,142,2009,Rural regions,Tenant,Yes,0.52296,802,10052,0.49428,0.55138
143,143,2009,Rural regions,Tenant,No,0.47704,715,10052,0.44596,0.50777
144,144,2010,Urban regions,Owner,Yes,0.67938,2585,13695,0.64821,0.70635
145,145,2010,Urban regions,Owner,No,0.32062,1198,13695,0.30071,0.34107
146,146,2010,Urban regions,Tenant,Yes,0.519,2511,13695,0.49764,0.53946
147,147,2010,Urban regions,Tenant,No,0.481,2698,13695,0.46067,0.50131
148,148,2010,Rural regions,Owner,Yes,0.64578,1630,13695,0.60773,0.68258
149,149,2010,Rural regions,Owner,No,0.35422,861,13695,0.32557,0.38544
150,150,2010,Rural regions,Tenant,Yes,0.52513,1047,13695,0.49195,0.563
151,151,2010,Rural regions,Tenant,No,0.47487,1165,13695,0.43471,0.50619
152,152,2011,Urban regions,Owner,Yes,0.73589,3293,16402,0.71273,0.76063
153,153,2011,Urban regions,Owner,No,0.26411,1240,16402,0.24918,0.28055
154,154,2011,Urban regions,Tenant,Yes,0.53164,3024,16402,0.51373,0.54919
155,155,2011,Urban regions,Tenant,No,0.46836,3032,16402,0.44749,0.4861
156,156,2011,Rural regions,Owner,Yes,0.68994,2057,16402,0.65941,0.72382
157,157,2011,Rural regions,Owner,No,0.31006,1014,16402,0.28747,0.33109
158,158,2011,Rural regions,Tenant,Yes,0.52067,1304,16402,0.49619,0.55015
159,159,2011,Rural regions,Tenant,No,0.47933,1438,16402,0.45019,0.51662
160,160,2012,Urban regions,Owner,Yes,0.71843,3171,16158,0.6895,0.74379
161,161,2012,Urban regions,Owner,No,0.28157,1280,16158,0.2682,0.29518
162,162,2012,Urban regions,Tenant,Yes,0.54513,3034,16158,0.52736,0.56282
163,163,2012,Urban regions,Tenant,No,0.45487,2855,16158,0.43845,0.47379
164,164,2012,Rural regions,Owner,Yes,0.7047,2099,16158,0.67221,0.73326
165,165,2012,Rural regions,Owner,No,0.2953,951,16158,0.27459,0.31584
166,166,2012,Rural regions,Tenant,Yes,0.52899,1346,16158,0.49877,0.5589
167,167,2012,Rural regions,Tenant,No,0.47101,1422,16158,0.44543,0.49666
168,168,2013,Urban regions,Owner,Yes,0.72396,3297,17698,0.69488,0.74612
169,169,2013,Urban regions,Owner,No,0.27604,1306,17698,0.26094,0.29493
170,170,2013,Urban regions,Tenant,Yes,0.53482,3464,17698,0.51613,0.55163
171,171,2013,Urban regions,Tenant,No,0.46518,3648,17698,0.44987,0.48422
172,172,2013,Rural regions,Owner,Yes,0.71469,2119,17698,0.68446,0.74918
173,173,2013,Rural regions,Owner,No,0.28531,884,17698,0.26807,0.3043
174,174,2013,Rural regions,Tenant,Yes,0.53584,1458,17698,0.50496,0.56326
175,175,2013,Rural regions,Tenant,No,0.46416,1522,17698,0.43732,0.49259
176,176,2014,Urban regions,Owner,Yes,0.71547,3036,15723,0.69048,0.7413
177,177,2014,Urban regions,Owner,No,0.28453,1190,15723,0.26801,0.30274
178,178,2014,Urban regions,Tenant,Yes,0.54306,3076,15723,0.52436,0.5645
179,179,2014,Urban regions,Tenant,No,0.45694,3014,15723,0.43842,0.47569
180,180,2014,Rural regions,Owner,Yes,0.73153,1984,15723,0.69935,0.76269
181,181,2014,Rural regions,Owner,No,0.26847,779,15723,0.24702,0.29546
182,182,2014,Rural regions,Tenant,Yes,0.53061,1319,15723,0.49709,0.56102
183,183,2014,Rural regions,Tenant,No,0.46939,1325,15723,0.4409,0.50335
184,184,2015,Urban regions,Owner,Yes,0.70539,2911,15610,0.67818,0.73239
185,185,2015,Urban regions,Owner,No,0.29461,1089,15610,0.27851,0.31395
186,186,2015,Urban regions,Tenant,Yes,0.51751,3120,15610,0.49484,0.5328
187,187,2015,Urban regions,Tenant,No,0.48249,3159,15610,0.46021,0.50356
188,188,2015,Rural regions,Owner,Yes,0.72342,1935,15610,0.6912,0.75972
189,189,2015,Rural regions,Owner,No,0.27658,719,15610,0.25707,0.29924
190,190,2015,Rural regions,Tenant,Yes,0.53756,1374,15610,0.50074,0.56937
191,191,2015,Rural regions,Tenant,No,0.46244,1303,15610,0.43175,0.4929
192,192,2016,Urban regions,Owner,Yes,0.71086,2738,14181,0.68237,0.73761
193,193,2016,Urban regions,Owner,No,0.28914,985,14181,0.27406,0.30634
194,194,2016,Urban regions,Tenant,Yes,0.5427,2926,14181,0.52356,0.56199
195,195,2016,Urban regions,Tenant,No,0.4573,2638,14181,0.44012,0.48054
196,196,2016,Rural regions,Owner,Yes,0.72435,1814,14181,0.68875,0.76214
197,197,2016,Rural regions,Owner,No,0.27565,694,14181,0.25066,0.2965
198,198,2016,Rural regions,Tenant,Yes,0.52997,1246,14181,0.49549,0.56436
199,199,2016,Rural regions,Tenant,No,0.47003,1140,14181,0.43916,0.50315
200,200,2017,Urban regions,Owner,Yes,0.72644,3160,15536,0.69811,0.75603
201,201,2017,Urban regions,Owner,No,0.27356,1039,15536,0.25929,0.28808
202,202,2017,Urban regions,Tenant,Yes,0.54503,3241,15536,0.5264,0.56172
203,203,2017,Urban regions,Tenant,No,0.45497,2696,15536,0.43686,0.47036
204,204,2017,Rural regions,Owner,Yes,0.76897,2124,15536,0.73592,0.81331
205,205,2017,Rural regions,Owner,No,0.23103,655,15536,0.21111,0.24899
206,206,2017,Rural regions,Tenant,Yes,0.57104,1437,15536,0.54455,0.59848
207,207,2017,Rural regions,Tenant,No,0.42896,1184,15536,0.40532,0.45847
208,208,2018,Urban regions,Owner,Yes,0.75883,3146,15334,0.73163,0.78408
209,209,2018,Urban regions,Owner,No,0.24117,882,15334,0.2278,0.25794
210,210,2018,Urban regions,Tenant,Yes,0.56263,3296,15334,0.54165,0.58707
211,211,2018,Urban regions,Tenant,No,0.43737,2753,15334,0.41869,0.45672
212,212,2018,Rural regions,Owner,Yes,0.75575,2059,15334,0.72658,0.78712
213,213,2018,Rural regions,Owner,No,0.24425,607,15334,0.22154,0.26214
214,214,2018,Rural regions,Tenant,Yes,0.56891,1423,15334,0.5348,0.6008
215,215,2018,Rural regions,Tenant,No,0.43109,1168,15334,0.40192,0.4597
216,216,2019,Urban regions,Owner,Yes,0.77868,3767,15499,0.74636,0.81253
217,217,2019,Urban regions,Owner,No,0.22132,876,15499,0.20333,0.23875
218,218,2019,Urban regions,Tenant,Yes,0.59646,3357,15499,0.57395,0.61861
219,219,2019,Urban regions,Tenant,No,0.40354,2180,15499,0.38547,0.42508
220,220,2019,Rural regions,Owner,Yes,0.81323,2416,15499,0.76907,0.85945
221,221,2019,Rural regions,Owner,No,0.18677,550,15499,0.17092,0.20194
222,222,2019,Rural regions,Tenant,Yes,0.61162,1406,15499,0.57807,0.64658
223,223,2019,Rural regions,Tenant,No,0.38838,947,15499,0.3581,0.41876
224,224,2020,Urban regions,Owner,Yes,0.75631,3304,16057,0.72682,0.78428
225,225,2020,Urban regions,Owner,No,0.24369,880,16057,0.22862,0.26009
226,226,2020,Urban regions,Tenant,Yes,0.60238,3774,16057,0.58167,0.62437
227,227,2020,Urban regions,Tenant,No,0.39762,2863,16057,0.37933,0.41586
228,228,2020,Rural regions,Owner,Yes,0.78551,2109,16057,0.75069,0.81956
229,229,2020,Rural regions,Owner,No,0.21449,534,16057,0.19212,0.2357
230,230,2020,Rural regions,Tenant,Yes,0.58801,1464,16057,0.55279,0.62552
231,231,2020,Rural regions,Tenant,No,0.41199,1129,16057,0.38329,0.44508
232,232,2021,Urban regions,Owner,Yes,0.84607,2561,12161,0.80759,0.88702
233,233,2021,Urban regions,Owner,No,0.15393,407,12161,0.13884,0.16995
234,234,2021,Urban regions,Tenant,Yes,0.69975,3128,12161,0.67092,0.72832
235,235,2021,Urban regions,Tenant,No,0.30025,2208,12161,0.28219,0.3209
236,236,2021,Rural regions,Owner,Yes,0.83871,1619,12161,0.79587,0.89097
237,237,2021,Rural regions,Owner,No,0.16129,297,12161,0.13877,0.18133
238,238,2021,Rural regions,Tenant,Yes,0.71426,1221,12161,0.66944,0.764
239,239,2021,Rural regions,Tenant,No,0.28574,720,12161,0.25339,0.31449
